,Concept_ID,tr,ka
759,stark::A,güçlü,ძლიერი
760,stark::A,güçlü,ღონიერი
761,stark::A,kuvvetli,ძლიერი
762,stark::A,kuvvetli,ღონიერი
763,schwach::A,zayıf,სუსტი
764,schwach::A,güçsüz,სუსტი
765,fett::A,şişman,სქელი
766,schlank::A,narin,გამხდარი
767,hübsch::A,güzel,ეშხიანი
768,hübsch::A,güzel,მშვენიერი
769,hübsch::A,sevimli,ეშხიანი
770,hübsch::A,sevimli,მშვენიერი
771,böse::A,kötü,ავი
772,böse::A,kötü,ბოროტი
773,dumm::A,aptal,ბოთე
774,dumm::A,aptal,სულელი
775,faul::A,tembel,ზანტი
776,faul::A,tembel,ზარმაცი
777,fleißig::A,çalışkan,ბეჯითი
778,fleißig::A,çalışkan,მუყაითი
779,geizig::A,cimri,ძუნწი
780,klug::A,zekî,ჭკვიანი
781,klug::A,akıllı,ჭკვიანი
782,geschickt::A,becerikli,მარჯვე
783,geschickt::A,becerikli,გაწაფული
784,lieb::A,sevimli,სატრფიალო
785,lustig::A,neşeli,მხიარული
786,sanft::A,nazik,ალერსიანი
787,sanft::A,nazik,გრძნობიერი
788,hungrig::A,aç,მშიერი
789,krank::A,hasta,სნეული
790,krank::A,hasta,ავადმყოფი
791,krank::A,rahatsız,სნეული
792,krank::A,rahatsız,ავადმყოფი
793,nackt::A,çıplak,ტიტველი
794,traurig::A,kederli,მწუხარე
795,traurig::A,kederli,სევდიანი
796,traurig::A,üzüntülü,მწუხარე
797,traurig::A,üzüntülü,სევდიანი
798,lebendig::A,canlı,ცოცხალი
799,gut::A,iyi,კარგი
800,schlecht::A,kötü,უხეირო
801,richtig::A,doğru,ნამდვილი
802,schlimm::A,kötü,ცუდი
803,wahr::A,doğru,სწორი
804,wahr::A,doğru,ჭეშმარიტი
805,wahr::A,gerçek,სწორი
806,wahr::A,gerçek,ჭეშმარიტი
807,alt::A,eski,ძველი
808,neu::A,yeni,ახალი
809,ehemalig::A,önceki,ყოფილი
810,alt[Lebewesen]::A,yaşlı,ბებერი
811,jung::A,genç,ნორჩი
812,jung::A,genç,ახალგაზრდა
813,arm::A,fakir,ღარიბი
814,reich::A,zengin,მდიდარი
815,bekannt::A,bilinen,ცნობილი
816,berühmt::A,ünlü,გამოჩენილი
817,berühmt::A,meşhur,გამოჩენილი
818,fremd::A,yabancı,უცხო
819,fremd::A,yabancı,გარეშე
820,verschieden::A,ayrı,სხვაგვარი
821,verschieden::A,farklı,სხვაგვარი
822,nah::A,yakın,ახლო
823,nah::A,bitişik,ახლო
824,fern::A,uzak,შორი
825,fern::A,uzak,შორეული
826,linker::A,sol,მარცხენა
827,rechter::A,sağ,მარჯვენა
828,anderer::A,diğer,სხვა
829,erster::A,ilk,პირველი
830,erster::A,birinci,პირველი
831,zweiter::A,ikinci,მეორე
832,dritter::A,üçüncü,მესამე
833,letzter::A,son,ბოლო
834,letzter::A,son,უკანასკნელი
835,letzter::A,sonuncu,ბოლო
836,letzter::A,sonuncu,უკანასკნელი
837,allein::ADV,yalnız,მარტო
838,allein::ADV,tek başına,მარტო
839,auf einmal::ADV,birden,ერთდროულად
840,zusammen::ADV,beraber,ერთად
841,zusammen::ADV,birlikte,ერთად
842,lange::ADV,çok,დიდხანს
843,lange::ADV,uzun,დიდხანს
844,plötzlich::ADV,ansızın,მოულოდნელად
845,plötzlich::ADV,birdenbire,მოულოდნელად
846,sofort::ADV,hemen,ახლავე
847,sofort::ADV,derhal,ახლავე
848,später::ADV,daha sonra,მოგვიანებით
849,jetzt::ADV,şimdi,ახლა
850,heute::ADV,bugün,დღეს
851,morgen::ADV,yarın,ხვალ
852,bald::ADV,yakında,მალე
853,dann::ADV,sonra,მერე
854,gestern::ADV,dün,გუშინ
855,einst::ADV,eskiden,ოდესღაც
856,damals::ADV,o zamanlar,მაშინ
857,danach::ADV,sonradan,მერმე
858,danach::ADV,sonradan,შემდეგ
859,danach::ADV,ondan sonra,მერმე
860,danach::ADV,ondan sonra,შემდეგ
861,vorher::ADV,önce,ადრე
862,vorher::ADV,önce,წინათ
863,vorher::ADV,önceden,ადრე
864,vorher::ADV,önceden,წინათ
865,zuerst::ADV,ilk önce,ჯერ
866,einmal::ADV,bir defa,ერთხელ
867,manchmal::ADV,bazan,ხან
868,manchmal::ADV,bazan,ზოგჯერ
869,oft::ADV,sık sık,ხშირად
870,oft::ADV,çok defa,ხშირად
871,immer::ADV,daima,მუდამ
872,immer::ADV,daima,ყოველთვის
873,immer::ADV,her zaman,მუდამ
874,immer::ADV,her zaman,ყოველთვის
875,niemals::ADV,asla değil,არასდროს
876,niemals::ADV,hiçbir zaman,არასდროს
877,hier::ADV,burada,აქ
878,hierhin::ADV,buraya,აქეთ
879,von hier::ADV,buradan,აქედან
880,dort::ADV,orada,იქ
881,dort::ADV,şurada,იქ
882,dorthin::ADV,oraya,იქით
883,dorthin::ADV,şuraya,იქით
884,geradeaus::ADV,doğru,პირდაპირ
885,vorwärts::ADV,ileri,წინ
886,rückwärts::ADV,geri,უკან
887,zurück::ADV,geriye,უკანვე
888,unten::ADV,aşağıda,დაბლა
889,unten::ADV,aşağıda,ქვევით
890,hinab::ADV,aşağıya,ძირს
891,oben::ADV,yukarıda,ზემოთ
892,hinauf::ADV,yukarı,ზევით
893,hinauf::ADV,yukarıya,ზევით
894,überall::ADV,her yerde,ყველგან
895,nicht::ADV,-mi-,არ
896,nicht::ADV,değil,არ
897,ein wenig::ADV,biraz,ცოტა
898,kaum::ADV,dar,ძლივს
899,kaum::ADV,hemen hemen değil,ძლივს
900,sehr::ADV,pek,მეტად
901,sehr::ADV,pek,ძალიან
902,sehr::ADV,gayet,მეტად
903,sehr::ADV,gayet,ძალიან
904,so::ADV,öyle,ისე
905,so::ADV,böyle,ისე
906,noch::ADV,hâlâ,ჯერ
907,noch::ADV,henüz,ჯერ
908,nur::ADV,ancak,მხოლოდ
909,nur::ADV,yalnız,მხოლოდ
910,schon::ADV,çoktan,უკვე
911,wieder::ADV,tekrar,ისევ
912,wieder::ADV,tekrar,კიდევ
913,wieder::ADV,yeniden,ისევ
914,wieder::ADV,yeniden,კიდევ
915,vergebens::ADV,boşuna,ამაოდ
916,vergebens::ADV,boşuna,ტყუილად
917,vor::PRP,önünde,წინ
918,hinter::PRP,arkasında,უკან
919,hinter::PRP,arkasında,მიღმა
920,unter::PRP,altında,ქვეშ
921,unter::PRP,altında,ქვევით
922,durch::PRP,sayesinde,გავლით
923,durch::PRP,ortasından,გავლით
924,neben::PRP,yanında,გვერდით
925,zwischen::PRP,arasında,შუა
926,zwischen::PRP,arasında,შორის
927,wegen::PRP,dolayı,გამო
928,wegen::PRP,dolayı,შედეგად
929,dies::PRN,bu,ეს
930,das::PRN,o,ეგ
931,das::PRN,şu,ეგ
932,alles::PRN,hepsi,ყველაფერი
933,alles::PRN,her şey,ყველაფერი
934,ich::PRN,ben,მე
935,du::PRN,sen,შენ
936,er::PRN,o,ის
937,er::PRN,o,იგი
938,wir::PRN,biz,ჩვენ
939,ihr::PRN,siz,თქვენ
940,sie::PRN,onlar,ისინი
941,was::FPRN,ne,რა
942,wer::FPRN,kim,ვინ
943,wo::FADV,nerede,სად
944,wohin::FADV,nereye,საით
945,wie::FADV,nasıl,როგორ
946,warum::FADV,neden,რაზე
947,warum::FADV,neden,რატომ
948,wieviel::FNUM,kaç,რამდენი
949,wieviel::FNUM,ne kadar,რამდენი
950,eins::NUM,bir,ერთი
951,zwei::NUM,iki,ორი
952,drei::NUM,üç,სამი
953,vier::NUM,dört,ოთხი
954,fünf::NUM,beş,ხუთი
955,sechs::NUM,altı,ექვსი
956,sieben::NUM,yedi,შვიდი
957,acht::NUM,sekiz,რვა
958,neun::NUM,dokuz,ცხრა
959,zehn::NUM,on,ათი
960,elf::NUM,on bir,თერთმეტი
961,zwölf::NUM,on iki,თორმეტი
962,zwanzig::NUM,yirmi,ოცი
963,dreißig::NUM,otuz,ოცდაათი
964,vierzig::NUM,kırk,ორმოცი
965,fünfzig::NUM,elli,ორმოცდაათი
966,sechzig::NUM,altmış,სამოცი
967,siebzig::NUM,yetmiş,სამოცდაათი
968,achtzig::NUM,seksen,ოთხმოცი
969,neunzig::NUM,doksan,ოთხმოცდაათი
970,hundert::NUM,yüz,ასი
971,tausend::NUM,bin,ათასი
972,und::CNJ,ve,და
973,und::CNJ,ile,და
974,oder::CNJ,ya,ან
975,oder::CNJ,yahut,ან
976,stehen::V,durmak,დგას
977,sitzen::V,oturmak,ზის
978,liegen::V,yatmak,აწევს
979,hängen::V,asılı olmak,კიდია
980,werden::V,olmak,გახდება
981,werden::V,olunmak,გახდება
982,passieren::V,olmak,მოხდება
983,beginnen::V,başlamak,იწყება
984,enden::V,bitmek,გათავდება
985,enden::V,sona ermek,გათავდება
986,wechseln::V,değişmek,იცვლება
987,aufgehen[Sonne]::V,doğmak,ამოდის
988,untergehen[Sonne]::V,batmak,ჩადის
989,scheinen[Sonne]::V,parlamak,ანათებს
990,donnern::V,gök gürlemek,ქუხს
991,wehen::V,esmek,ქრის
992,wehen::V,esmek,დაუბერავს
993,strömen::V,akmak,იღვრება
994,fließen::V,akmak,დის
995,fließen::V,akmak,მიედინება
996,sich drehen::V,dönmek,ტრიალებს
997,schwanken::V,sallanmak,ირხევა
998,schwingen::V,titremek,ირხევა
999,fallen::V,düşmek,დავარდება
1000,brennen::V,yanmak,იწვის
1001,rauchen::V,tütmek,ბოლავს
1002,rauchen::V,tütmek,აბოლებს
1003,regnen::V,yağmak,წვიმს
1004,gefrieren::V,donmak,იყინება
1005,tauen::V,erimek,დნება
1006,schmelzen::V,erimek,დნება
1007,trocknen::V,kurumak,გაშრება
1008,sieden::V,kaynamak,დუღს
1009,faulen::V,çürümek,ლპება
1010,verfaulen::V,çürümek,ლპება
1011,reißen::V,yırtılmak,დაიხევა
1012,versinken::V,batmak,ეფლობა
1013,versinken::V,batmak,ჩაიძირება
1014,vergehen::V,geçmek,გადის
1015,erscheinen::V,görünmek,გამოჩნდება
1016,verschwinden::V,kaybolmak,გააქრება
1017,verschwinden::V,kaybolmak,დაიკარგება
1018,sinken::V,inmek,დაიწევს
1019,abnehmen::V,azalmak,შემცირდება
1020,zunehmen::V,artmak,გასუქდება
1021,zunehmen::V,çoğalmak,გასუქდება
1022,steigen::V,artmak,მოიმატებს
1023,steigen::V,yükselmek,მოიმატებს
1024,wachsen::V,büyümek,იზრდება
1025,wachsen::V,büyümek,მრავლდება
1026,wachsen::V,gelişmek,იზრდება
1027,wachsen::V,gelişmek,მრავლდება
1028,glänzen::V,parlamak,ბრწყინავს
1029,funkeln::V,parıldamak,კაშკაშებს
1030,lärmen::V,gürültü yapmak,ხმაურობს
1031,läuten::V,çalmak,დარეკავს
1032,klingeln::V,zil çalmak,დარეკავს
1033,klirren::V,şakırdamak,დააწკარუნებს
1034,klirren::V,zangırdamak,დააწკარუნებს
1035,brausen::V,köpürmek,ბობოქრობს
1036,brausen::V,kükremek,ბობოქრობს
1037,rauschen::V,fışırdamak,შრიალებს
1038,klingen::V,tınlamak,ხმას გამოსცემს
1039,bellen::V,havlamak,უყეფს
1040,heulen::V,ulumak,ღმუის
1041,blasen::V,üflemek,დაუბერავს
