,Concept_ID,hr,es
199,Gans::N,guska,oca
200,Gans::N,guska,ganso
201,Adler::N,orao,águila
202,Ente::N,patka,pato
203,Eule::N,sova,lechuza
204,Kranich::N,ždral,grulla
205,Krähe::N,vrana,corneja
206,Kuckuck::N,kukavica,cuco
207,Schwan::N,labud,cisne
208,Fisch::N,riba,pez
209,Barsch::N,grgeč,perca
210,Hecht::N,štuka,lucio
211,Schlange[Tier]::N,guja,serpiente
212,Schlange[Tier]::N,zmija,serpiente
213,Wurm::N,crv,gusano
214,Spinne::N,pauk,araña
215,Ameise::N,mrav,hormiga
216,Laus::N,uš,piojo
217,Mücke::N,komarac,mosquito
218,Fliege::N,muha,mosca
219,Schmetterling::N,leptir,mariposa
220,Beere::N,boba,baya
221,Beere::N,bobica,baya
222,Apfel::N,jabuka,manzana
223,Pilz::N,pečurka,seta
224,Pilz::N,pečurka,hongo
225,Zwiebel::N,luk,cebolla
226,Zwiebel::N,kapula,cebolla
227,Saat::N,sjemenje,siembra
228,Korn::N,zrno,grano
229,Heu::N,sijeno,heno
230,Schale::N,kora,cáscara
231,Schale::N,ljuska,cáscara
232,Grube::N,jama,foso
233,Falle::N,zamka,trampa
234,Falle::N,klopka,trampa
235,Schlinge::N,uzao,lazo
236,Schlinge::N,petlja,lazo
237,Spur::N,trag,huella
238,Spur::N,slijed,huella
239,Asche::N,pepeo,ceniza
240,Dreck::N,blato,suciedad
241,Eisen::N,željezo,hierro
242,Gold::N,zlato,oro
243,Silber::N,srebro,plata
244,Kohle::N,ugalj,carbón
245,Kohle::N,ugljen,carbón
246,Glas::N,staklo,vidrio
247,Glas::N,staklo,cristal
248,Lehm::N,glina,barro
249,Lehm::N,ilovača,barro
250,Sand::N,pijesak,arena
251,Mensch::N,čovjek,hombre
252,Mensch::N,čovjek,ser humano
253,Mann::N,muškarac,hombre
254,Frau::N,žena,mujer
255,Kind::N,čedo,niño
256,Kind::N,dijete,niño
257,Junge::N,momče,chico
258,Junge::N,momče,muchacho
259,Junge::N,dječak,chico
260,Junge::N,dječak,muchacho
261,Mädchen::N,djevojka,chica
262,Mädchen::N,djevojka,muchacha
263,Mädchen::N,djevojčica,chica
264,Mädchen::N,djevojčica,muchacha
265,Familie::N,obitelj,familia
266,Familie::N,porodica,familia
267,Großvater::N,djed,abuelo
268,Großmutter::N,baka,abuela
269,Eltern::N,roditelji,padres
270,Vater::N,otac,padre
271,Mutter::N,majka,madre
272,Sohn::N,sin,hijo
273,Tochter::N,kći,hija
274,Tochter::N,kćerka,hija
275,Bruder::N,brat,hermano
276,Schwester::N,sestra,hermana
277,Onkel::N,čika,tío
278,Onkel::N,ujak,tío
279,Tante::N,ujna,tía
280,Tante::N,tetka,tía
281,Ehemann::N,muž,esposo
282,Ehemann::N,suprug,esposo
283,Ehefrau::N,žena,esposa
284,Ehefrau::N,supruga,esposa
285,Freude::N,radost,placer
286,Freude::N,radost,alegría
287,Gelächter::N,grohot,risa
288,Gelächter::N,grohot,carcajada
289,Glück::N,sreća,felicidad
290,Kummer::N,jad,pena
291,Kummer::N,briga,pena
292,Wunsch::N,želja,deseo
293,Lust::N,volja,ganas
294,Geist::N,duh,mente
295,Geist::N,duh,espíritu
296,Gedanke::N,misao,idea
297,Gedanke::N,misao,pensamiento
298,Gedächtnis::N,pamćenje,memoria
299,Verstand::N,um,razón
300,Verstand::N,um,entendimiento
301,Verstand::N,razum,razón
302,Verstand::N,razum,entendimiento
303,Sinn::N,smisao,sentido
304,Sinn::N,smisao,significado
305,Sinn::N,značenje,sentido
306,Sinn::N,značenje,significado
307,Grund::N,razlog,causa
308,Wahrheit::N,istina,verdad
309,Gespräch::N,razgovor,conversación
310,Märchen::N,bajka,cuento
311,Erzählung::N,priča,cuento
312,Erzählung::N,priča,narración
313,Erzählung::N,pripovijest,cuento
314,Erzählung::N,pripovijest,narración
315,Nachricht::N,vijest,mensaje
316,Neuigkeit::N,novost,noticia
317,Name::N,ime,nombre
318,Rätsel::N,zagonetka,acertijo
319,Rätsel::N,zagonetka,adivinanza
320,Rede::N,govor,discurso
321,Rede::N,besjeda,discurso
322,Sprache::N,jezik,lengua
323,Stimme::N,glas,voz
324,Wort::N,riječ,palabra
325,Zeichen::N,znak,señal
326,Ruf::N,povik,llamada
327,Ruf::N,poklik,llamada
328,Lärm::N,buka,ruido
329,Lärm::N,buka,barullo
330,Lärm::N,galama,ruido
331,Lärm::N,galama,barullo
332,Laut::N,zvuk,sonido
333,Ton::N,ton,tono
334,Lied::N,pjesma,canción
335,Ruhe::N,tišina,calma
336,Ruhe::N,tišina,silencio
337,Ruhe::N,počinak,calma
338,Ruhe::N,počinak,silencio
339,Leute::N,ljudi,gente
340,Volk::N,puk,pueblo
341,Volk::N,narod,pueblo
342,Arbeit::N,rad,trabajo
343,Arbeit::N,posao,trabajo
344,Gast::N,gost,huésped
345,Gast::N,gost,invitado
346,Geschenk::N,dar,regalo
347,Geschenk::N,poklon,regalo
348,Spiel::N,igra,juego
349,Gesellschaft::N,društvo,compañía
350,Gesellschaft::N,kompanija,compañía
351,Hilfe::N,pomoć,ayuda
352,Hilfe::N,pomoć,socorro
353,Freund::N,prijatelj,amigo
354,Kamerad::N,drug,camarada
355,Kamerad::N,drug,compañero
356,Kamerad::N,drugar,camarada
357,Kamerad::N,drugar,compañero
358,Angelegenheit::N,posao,asunto
359,Anzahl::N,broj,cantidad
360,Anzahl::N,brojnost,cantidad
361,Art::N,vid,tipo
362,Art::N,vid,clase
363,Art::N,vrst,tipo
364,Art::N,vrst,clase
365,Stück::N,komad,pieza
366,Teil::N,dio,parte
367,Hälfte::N,polovina,mitad
368,Kreis::N,krug,círculo
369,Kreuz::N,križ,cruz
370,Linie::N,crta,línea
371,Strich::N,crta,raya
372,Strich::N,crta,trazo
373,Abstand::N,razmak,distancia
374,Abstand::N,odstojanje,distancia
375,Entfernung::N,udaljenost,distancia
376,Gegend::N,kraj,región
377,Gegend::N,kraj,comarca
378,Gegend::N,predeo,región
379,Gegend::N,predeo,comarca
380,Platz::N,mjesto,espacio
381,Ort::N,mjesto,sitio
382,Seite::N,bok,lado
383,Seite::N,bok,costado
384,Seite::N,strana,lado
385,Seite::N,strana,costado
386,Mitte::N,sredina,medio
387,Mitte::N,sredina,centro
388,Gegenstand::N,predmet,objeto
389,Sache::N,posao,cosa
390,Rand::N,rub,borde
391,Rand::N,kraj,borde
392,Kante::N,brid,borde
393,Kante::N,ivica,borde
394,Ecke::N,ugao,esquina
395,Spitze::N,vrh,punta
396,Spitze::N,šiljak,punta
397,Ende::N,konac,cabo
398,Ende::N,konac,extremo
399,Loch::N,rupa,agujero
400,Loch::N,rupa,abertura
401,Winkel::N,kut,ángulo
402,Winkel::N,ugao,ángulo
403,Muster::N,uzor,dibujo
404,Größe::N,veličina,tamaño
405,Länge::N,duljina,longitud
406,Höhe::N,visina,altura
407,Höhe::N,visina,altitud
408,Gewicht::N,težina,peso
409,Menge::N,mnoštvo,cantidad
410,Menge::N,količina,cantidad
411,Haufen::N,hrpa,montón
412,Haufen::N,gomila,montón
413,Reihe::N,red,fila
414,Boot::N,čun,bote
415,Boot::N,čun,barca
416,Boot::N,čamac,bote
417,Boot::N,čamac,barca
418,Ruder::N,veslo,remo
419,Schlitten::N,saone,trineo
420,Ski::N,ski,esquí
421,Ski::N,smučka,esquí
422,Lagerfeuer::N,logorska vatra,hoguera
423,Last::N,tovar,carga
424,Gang::N,hod,marcha
425,Schritt::N,korak,paso
426,Norden::N,sjever,norte
427,Süden::N,jug,sur
428,Westen::N,zapad,oeste
429,Osten::N,istok,este
430,Holz::N,drvo,madera
431,Brett::N,daska,tabla
432,Platte::N,ploča,placa
433,Platte::N,ploča,plancha
434,Stütze::N,potpora,sostén
435,Stütze::N,potpora,soporte
436,Stange::N,motka,vara
437,Stange::N,motka,percha
438,Stock::N,štap,palo
439,Stock::N,štap,bastón
440,Stock::N,palica,palo
441,Stock::N,palica,bastón
442,Stab::N,štap,vara
443,Stab::N,štap,bastón
444,Stab::N,šipka,vara
445,Stab::N,šipka,bastón
446,Rohr::N,cijev,tubo
447,Haus::N,kuća,casa
448,Heim::N,dom,hogar
449,Ofen::N,peć,estufa
450,Fußboden::N,pod,suelo
451,Tisch::N,stol,mesa
452,Tisch::N,trpeza,mesa
453,Stuhl::N,stolac,silla
454,Stuhl::N,stolica,silla
455,Wiege::N,kolijevka,cuna
456,Bett::N,krevet,cama
457,Bett::N,postelja,cama
458,Regal::N,polica,estantería
459,Kiste::N,sanduk,caja
460,Fenster::N,prozor,ventana
461,Tür::N,vrata,puerta
462,Tor::N,vrata,puerta
463,Tor::N,kapija,puerta
464,Zaun::N,plot,valla
465,Zaun::N,plot,cercado
466,Zaun::N,ograda,valla
467,Zaun::N,ograda,cercado
468,Dach::N,krov,techo
469,Dach::N,krov,tejado
470,Leiter::N,ljestve,escalera
471,Leiter::N,ljestvice,escalera
472,Besen::N,metla,escoba
473,Spaten::N,ašov,pala
474,Schaufel::N,lopata,pala
475,Schaufel::N,lopata,paleta
476,Gabel::N,viljuška,tenedor
477,Löffel::N,žlica,cuchara
478,Messer::N,nož,cuchillo
479,Nagel::N,čavao,clavo
480,Netz::N,mreža,red
481,Haken::N,kuka,gancho
482,Haken::N,kuka,corchete
483,Griff::N,držak,asa
484,Griff::N,držak,mango
485,Griff::N,ručica,asa
486,Griff::N,ručica,mango
487,Schloss::N,brava,cerradura
488,Bild::N,slika,imagen
489,Figur::N,figura,figura
490,Puppe::N,lutka,muñeca
491,Beutel::N,kesa,bolsa
492,Bündel::N,snop,haz
493,Bündel::N,svežanj,haz
494,Tasche::N,torba,bolso
495,Tasche::N,taška,bolso
496,Eimer::N,kabao,cubo
497,Deckel::N,poklopac,tapa
498,Deckel::N,poklopac,tapadera
499,Geschirr::N,suđe,vajilla
500,Geschirr::N,posuđe,vajilla
501,Sack::N,džak,saco
502,Sack::N,vreća,saco
503,Tasse::N,šalica,taza
504,Topf::N,lonac,olla
505,Topf::N,lonac,marmita
506,Kessel::N,kazan,caldera
507,Essen::N,obrok,comida
508,Nahrung::N,hrana,alimento
509,Speise::N,jelo,plato
510,Fleisch::N,meso,carne
511,Getreide::N,žito,cereales
512,Getreide::N,žitarice,cereales
513,Brei::N,kaša,puré
514,Brei::N,kaša,papilla
515,Brot::N,kruh,pan
516,Scheibe::N,kriška,lonja
517,Scheibe::N,kriška,rebanada
518,Fett::N,mast,grasa
519,Fett::N,salo,grasa
520,Butter::N,buter,mantequilla
521,Butter::N,maslac,mantequilla
522,Öl::N,ulje,aceite
523,Salz::N,sol,sal
524,Suppe::N,supa,sopa
525,Honig::N,med,miel
526,Milch::N,mlijeko,leche
527,Tee::N,čaj,té
528,Leder::N,koža,cuero
529,Wolle::N,vuna,lana
530,Stoff::N,štof,tela
531,Stoff::N,štof,tejido
532,Stoff::N,tkanina,tela
533,Stoff::N,tkanina,tejido
534,Nadel::N,igla,aguja
535,Faden::N,nit,hilo
536,Faden::N,konac,hilo
537,Knopf::N,dugme,botón
538,Knoten::N,čvor,nudo
539,Knoten::N,uzao,nudo
540,Farbe::N,farba,pintura
541,Kleidung::N,odjeća,ropa
542,Kleidung::N,odjeća,vestidos
543,Hemd::N,košulja,camisa
544,Kragen::N,ovratnik,cuello
545,Ärmel::N,rukav,manga
546,Hose::N,hlače,pantalón
547,Gürtel::N,pas,cinturón
548,Gürtel::N,pojas,cinturón
549,Mütze::N,kapa,gorro
550,Schuh::N,cipela,zapato
551,Stiefel::N,čizma,bota
552,Ring::N,prsten,anillo
553,Band::N,vrpca,cinta
554,Kamm::N,češalj,peine
555,Spiegel::N,zrcalo,espejo
556,Spiegel::N,ogledalo,espejo
557,Riemen::N,kaiš,correa
558,Riemen::N,remen,correa
559,Schnur::N,vrpca,cuerda
560,Leine::N,uzica,correa
561,Decke::N,ćebe,manta
562,Decke::N,pokrivač,manta
563,Kissen::N,jastuk,almohada
564,Tuch::N,rubac,pañuelo
565,Tuch::N,marama,pañuelo
566,Handtuch::N,ručnik,toalla
567,Kraft::N,snaga,fuerza
568,Stärke::N,jakost,fuerza
569,Gesundheit::N,zdravlje,salud
570,Krankheit::N,bolest,enfermedad
571,Schmerz::N,bol,dolor
572,Wunde::N,rana,llaga
573,Wunde::N,rana,herida
574,Fieber::N,groznica,fiebre
575,Arznei::N,lijek,medicina
576,Arznei::N,lijek,medicamento
577,Brücke::N,most,puente
578,Brücke::N,ćuprija,puente
579,Brunnen::N,bunar,pozo
580,Brunnen::N,zdenac,pozo
581,Weide::N,paša,pasto
582,Weide::N,pašnjak,pasto
583,Pfad::N,staza,sendero
584,Weg::N,put,camino
585,Straße::N,drum,vía
586,Straße::N,drum,carretera
587,Straße::N,cesta,vía
588,Straße::N,cesta,carretera
589,Dorf::N,selo,aldea
590,Dorf::N,selo,pueblo
591,Stadt::N,grad,ciudad
592,Stadt::N,varoš,ciudad
593,Brief::N,list,carta
594,Brief::N,pismo,carta
595,Buch::N,knjiga,libro
596,Buchstabe::N,slovo,letra
597,Buchstabe::N,slovo,carácter
598,Zeitung::N,novine,diario
599,Zeitung::N,novine,periódico
600,Leben::N,život,vida
601,Tod::N,smrt,muerte
602,Grab::N,raka,tumba
603,Grab::N,raka,sepulcro
604,Kirche::N,crkva,iglesia
605,Sünde::N,grijeh,pecado
606,Gott::N,bog,dios
607,Arbeiter::N,radnik,obrero
608,Arbeiter::N,radnik,trabajador
609,Chef::N,šef,jefe
610,Meister::N,majstor,maestro
611,Arzt::N,liječnik,médico
612,Lehrer::N,učitelj,profesor
613,Geld::N,novac,dinero
614,Geschäft::N,posao,negocio
615,Geschäft::N,trgovina,negocio
616,Laden::N,dućan,tienda
617,Preis::N,cijena,precio
618,Ware::N,roba,mercancía
619,Nutzen::N,korist,provecho
620,Reichtum::N,bogatstvo,riqueza
621,Welt::N,svijet,mundo
622,Land::N,zemlja,país
623,Staat::N,država,Estado
624,König::N,kralj,rey
625,Macht::N,moć,poder
626,Macht::N,moć,potencia
627,Macht::N,vlast,poder
628,Macht::N,vlast,potencia
629,Grenze::N,granica,frontera
630,Krieg::N,rat,guerra
631,Feind::N,neprijatelj,enemigo
632,Gewalt::N,sila,violencia
633,Gewalt::N,nasilje,violencia
634,Kampf::N,boj,lucha
635,Kampf::N,boj,combate
636,Kampf::N,borba,lucha
637,Kampf::N,borba,combate
638,Bogen[Waffe]::N,luk,arco
639,Pfeil::N,strijela,flecha
640,Gewehr::N,puška,fusil
641,Gewehr::N,puška,escopeta
642,Fehler::N,pogreška,error
643,Fehler::N,griješka,error
644,Lüge::N,laž,mentira
645,Schaden::N,šteta,daño
646,Unglück::N,nesreća,desgracia
647,Schuld::N,krivnja,culpa
648,Alter::N,dob,edad
649,Schluss::N,kraj,fin
650,Schluss::N,kraj,final
651,Schluss::N,konac,fin
652,Schluss::N,konac,final
653,Zeit::N,doba,tiempo
654,Zeit::N,vrijeme,tiempo
655,Tag::N,dan,día
656,Morgen::N,jutro,mañana
657,Mittag::N,podne,mediodía
658,Abend::N,veče,noche
659,Abend::N,večer,noche
660,Nacht::N,noć,noche
661,Woche::N,sedmica,semana
662,Monat::N,mjesec,mes
663,Jahr::N,godina,año
664,Frühling::N,proljeće,primavera
665,Sommer::N,ljeto,verano
666,Herbst::N,jesen,otoño
667,Winter::N,zima,invierno
668,Januar::N,januar,enero
669,Januar::N,siječanj,enero
670,Februar::N,veljača,febrero
671,Februar::N,februar,febrero
672,März::N,mart,marzo
673,März::N,ožujak,marzo
674,April::N,april,abril
675,April::N,travanj,abril
676,Mai::N,maj,mayo
677,Mai::N,svibanj,mayo
678,Juni::N,juni,junio
679,Juni::N,lipanj,junio
680,Juli::N,juli,julio
681,Juli::N,srpanj,julio
682,August::N,august,agosto
683,August::N,kolovoz,agosto
684,September::N,rujan,septiembre
685,September::N,septembar,septiembre
686,Oktober::N,oktobar,octubre
687,Oktober::N,listopad,octubre
688,November::N,studeni,noviembre
689,November::N,novembar,noviembre
690,Dezember::N,prosinac,diciembre
691,Montag::N,ponedjeljak,lunes
692,Montag::N,ponedjeljnik,lunes
693,Dienstag::N,utorak,martes
694,Dienstag::N,utornik,martes
695,Mittwoch::N,srijeda,miércoles
696,Donnerstag::N,četvrtak,jueves
697,Freitag::N,petak,viernes
698,Samstag::N,subota,sábado
699,Sonntag::N,nedjelja,domingo
700,groß::A,velik,grande
701,klein::A,mali,pequeño
702,klein::A,malen,pequeño
703,lang::A,dug,largo
704,lang::A,dugačak,largo
705,kurz::A,kratak,corto
706,breit::A,širok,ancho
707,schmal::A,uski,estrecho
708,schmal::A,uzak,estrecho
709,dicht::A,gust,denso
710,dick[Gegenstand]::A,debeo,grueso
711,dünn::A,tanak,fino
712,dünn::A,tanak,delgado
713,fein::A,fin,fino
714,fein::A,fin,delicado
715,fein::A,tanak,fino
716,fein::A,tanak,delicado
717,fest::A,čvrst,firme
718,fest::A,čvrst,sólido
719,flach::A,ravan,plano
720,flach::A,plosnat,plano
721,glatt::A,gladak,liso
722,hart::A,tvrd,duro
723,weich::A,mek,muelle
724,weich::A,mekan,muelle
725,rund::A,okrugao,redondo
726,spitz::A,oštar,agudo
727,spitz::A,oštar,apuntado
728,spitz::A,šiljast,agudo
729,spitz::A,šiljast,apuntado
730,scharf::A,oštar,agudo
731,scharf::A,oštar,afilado
732,scharf::A,bridak,agudo
733,scharf::A,bridak,afilado
734,stumpf::A,tup,sin filo
735,schwer::A,težak,pesado
736,schön::A,krasan,bello
737,schön::A,krasan,hermoso
738,heiß::A,vruć,caluroso
739,warm::A,topao,cálido
740,warm::A,topao,caliente
741,kalt::A,hladan,frío
742,kühl::A,hladan,fresco
743,frisch::A,svjež,fresco
744,feucht::A,vlažan,húmedo
745,nass::A,mokar,mojado
746,trocken::A,suh,seco
747,voll::A,pun,lleno
748,leer::A,prazan,vacío
749,offen::A,otvoren,abierto
750,geschlossen::A,zatvoren,cerrado
751,sauber::A,čist,limpio
752,schmutzig::A,nečist,sucio
753,schmutzig::A,blatan,sucio
754,roh::A,sirov,crudo
755,reif::A,zreo,maduro
756,lecker::A,tečan,rico
757,lecker::A,tečan,sabroso
758,lecker::A,ukusan,rico
759,lecker::A,ukusan,sabroso
760,süß::A,sladak,dulce
761,bitter::A,gorak,amargo
762,sauer::A,kiseo,agrio
763,hell::A,vedar,claro
764,hell::A,svijetao,claro
765,dunkel::A,taman,oscuro
766,schwarz::A,crn,negro
767,weiß::A,bio,blanco
768,weiß::A,bijel,blanco
769,rot::A,crven,rojo
770,gelb::A,žut,amarillo
771,blau::A,plav,azul
772,blau::A,modar,azul
773,grün::A,zelen,verde
774,grau::A,siv,gris
775,bunt::A,šaren,multicolor
776,billig::A,jeftin,barato
777,teuer::A,skup,caro
778,wertvoll::A,vrijedan,valioso
779,wertvoll::A,vrijedan,precioso
780,wertvoll::A,dragocjen,valioso
781,wertvoll::A,dragocjen,precioso
782,blind::A,slijep,ciego
783,taub::A,gluh,sordo
784,kräftig::A,snažan,fuerte
785,stark::A,jak,fuerte
786,stark::A,jak,vigoroso
787,stark::A,snažan,fuerte
788,stark::A,snažan,vigoroso
789,schwach::A,slab,débil
790,fett::A,pretio,obeso
791,schlank::A,vitak,esbelto
792,hübsch::A,zgodan,mono
793,hübsch::A,zgodan,guapo
794,böse::A,zao,malo
795,böse::A,opak,malo
796,dumm::A,glup,tonto
797,dumm::A,glup,estúpido
798,faul::A,lijen,vago
799,faul::A,lijen,perezoso
800,fleißig::A,radin,aplicado
801,fleißig::A,radin,diligente
802,fleißig::A,marljiv,aplicado
803,fleißig::A,marljiv,diligente
804,geizig::A,škrt,avaro
805,klug::A,razborit,sensato
806,klug::A,razborit,inteligente
807,geschickt::A,vješt,hábil
808,lieb::A,drag,querido
809,lustig::A,veseo,alegre
810,sanft::A,blag,suave
811,hungrig::A,gladan,hambriento
812,krank::A,bolestan,enfermo
813,nackt::A,nag,desnudo
814,traurig::A,tužan,triste
815,traurig::A,žalostan,triste
816,lebendig::A,živ,vivo
817,lebendig::A,živ,viviente
818,gut::A,dobar,bueno
819,schlecht::A,loš,malo
820,schlecht::A,rđav,malo
821,richtig::A,tačan,justo
822,richtig::A,tačan,correcto
823,richtig::A,ispravan,justo
824,richtig::A,ispravan,correcto
825,schlimm::A,zao,malo
826,schlimm::A,zao,grave
827,schlimm::A,zločest,malo
828,schlimm::A,zločest,grave
829,wahr::A,istinit,verídico
830,wahr::A,istinit,verdadero
831,alt::A,star,viejo
832,neu::A,nov,nuevo
833,ehemalig::A,bivši,antiguo
834,alt[Lebewesen]::A,star,viejo
835,jung::A,mlad,joven
836,arm::A,ubog,pobre
837,arm::A,siromašan,pobre
838,reich::A,bogat,rico
839,bekannt::A,poznat,conocido
840,berühmt::A,čuven,famoso
841,berühmt::A,čuven,célebre
842,berühmt::A,slavan,famoso
843,berühmt::A,slavan,célebre
844,fremd::A,tuđ,extraño
845,fremd::A,stran,extraño
846,verschieden::A,razan,diverso
847,verschieden::A,razan,distinto
848,verschieden::A,razan,diferente
849,verschieden::A,različan,diverso
850,verschieden::A,različan,distinto
851,verschieden::A,različan,diferente
852,nah::A,blizak,cercano
853,fern::A,dalek,lejano
