,Concept_ID,no,av
66,Luft::N,luft,гьава
67,Wind::N,vind,гьури
68,Welle::N,bølge,карачел
69,Wasser::N,vann,лъим
70,Stein::N,stein,гьецӏо
71,Boden::N,bakke,ракь
72,Erde::N,jord,ракь
73,Erde::N,jord,дуниял
74,Staub::N,støv,хӏур
75,Rauch::N,røyk,кӏкӏуй
76,Funke::N,gnist,
77,Feuer::N,ild,цӏа
78,Licht::N,lys,канлъи
79,Schatten::N,skygge,рагӏад
80,Wetter::N,vær,гьава-бакъ
81,Nebel::N,tåke,гӏодобнакӏкӏ
82,Wolke::N,sky,накӏкӏ
83,Regen::N,regn,цӏад
84,Schnee::N,snø,гӏазу
85,Eis::N,is,цӏер
86,Frost::N,frost,замгьари
87,Kälte::N,kulde,квач
88,Hitze::N,hete,багӏари
89,Raureif::N,rimfrost,мартӏ
90,Regenbogen::N,regnbue,нур
91,Regenbogen::N,regnbue,чамбара
92,Donner::N,torden,гъугъай
93,Donner::N,torden,гъугъади
94,Strömung::N,strømning,чвахи
95,Tropfen::N,dråpe,резел
96,Tropfen::N,dråpe,тӏинкӏ
97,Tropfen::N,dråpe,къатӏра
98,Tropfen::N,dråpe,тӏенкӏел
99,Schaum::N,skum,полоп
100,Schmutz::N,søl,чороклъи
101,Schmutz::N,skitt,чороклъи
102,See::N,sjø,хӏор
103,Sumpf::N,sump,хьуцӏ
104,Sumpf::N,myrlende,хьуцӏ
105,Moor::N,myr,
106,Moor::N,myrhei,
107,Wiese::N,eng,мегъ
108,Wiese::N,eng,гӏурдаллъи
109,Wald::N,skog,рохь
110,Hügel::N,haug,гохӏ
111,Hügel::N,bakke,гохӏ
112,Anhöhe::N,haug,сийитма
113,Anhöhe::N,bakke,сийитма
114,Berg::N,berg,мегӏер
115,Berg::N,fjell,мегӏер
116,Gipfel::N,topp,тӏогь
117,Höhle::N,hule,нохъо
118,Abhang::N,li,лабаллъи
119,Abhang::N,skråning,лабаллъи
120,Quelle::N,kilde,ицц
121,Bach::N,bekk,лъар
122,Fluss::N,elv,гӏор
123,Ufer::N,bredd,рагӏал
124,Küste::N,kyst,рагӏал
125,Festland::N,fastland,ракь
126,Festland::N,fastland,ракъдаллъи
127,Meer::N,hav,ралъад
128,Bucht::N,bukt,кӏветӏ
129,Insel::N,øy,чӏинкӏиллъи
130,Blume::N,blomst,тӏегь
131,Gras::N,gress,хер
132,Wurzel::N,rot,кьибил
133,Baum::N,tre,гъветӏ
134,Stamm::N,stamme,рохти
135,Rinde::N,bark,макъар
136,Ast::N,gren,ноцӏ
137,Zweig::N,kvist,гӏаркьел
138,Blatt::N,blad,тӏамах
139,Birke::N,bjørk,мах
140,Birke::N,bjørk,махигъветӏ
141,Kiefer[Baum]::N,furu,накӏкӏигъветӏ
142,Weide[Baum]::N,selje,рицӏцӏ
143,Weide[Baum]::N,selje,рицӏцӏигъветӏ
144,Weide[Baum]::N,piletre,рицӏцӏ
145,Weide[Baum]::N,piletre,рицӏцӏигъветӏ
146,Tanne::N,gran,ёлка
147,Horn::N,horn,лълъар
148,Feder::N,fjær,хӏули
149,Fell::N,skinn,тӏом
150,Fell::N,skinn,цӏоко
151,Flügel::N,vinge,кваркьи
152,Klaue::N,klauv,галъ
153,Kralle::N,klo,квачӏ
154,Kralle::N,klo,катиквачӏ
155,Schwanz::N,hale,рачӏ
156,Ei::N,egg,хоно
157,Nest::N,rede,бусен
158,Bau::N,hi,каратӏ
159,Tier::N,dyr,хӏайван
160,Herde::N,flokk,рехъен
161,Herde::N,flokk,рехъед
162,Kuh::N,ku,гӏака
163,Bulle::N,tyr,оц
164,Pferd::N,hest,чу
165,Schaf::N,får,чахъу
166,Schwein::N,gris,болъон
167,Hund::N,hund,гьой
168,Katze::N,katt,кету
169,Bär::N,bjørn,ци
170,Eichhörnchen::N,ekorn,гвангва
171,Elch::N,elg,
172,Fuchs::N,rev,цер
173,Hase::N,hare,гӏанкӏ
174,Maus::N,mus,гӏункӏкӏ
175,Wolf::N,ulv,бацӏ
176,Wolf::N,varg,бацӏ
177,Vogel::N,fugl,хӏинчӏ
178,Schwarm::N,sverm,тӏел
179,Huhn::N,høne,гӏанкӏу
180,Hahn::N,hane,хӏелеко
181,Gans::N,gås,хъаз
182,Adler::N,ørn,цӏум
183,Ente::N,and,ордек
184,Eule::N,ugle,беццаруз
185,Kranich::N,trane,къункъра
186,Krähe::N,kråke,гъеду
187,Kuckuck::N,gjøk,гагу
188,Schwan::N,svane,хӏанкъва
189,Fisch::N,fisk,ччугӏа
190,Barsch::N,abbor,окунь
191,Hecht::N,gjedde,щука
192,Schlange[Tier]::N,orm,борохь
193,Schlange[Tier]::N,slange,борохь
194,Wurm::N,orm,хӏапара
195,Wurm::N,mark,хӏапара
196,Spinne::N,edderkopp,хъанхъра
197,Ameise::N,maur,цӏунцӏра
198,Laus::N,lus,нацӏ
199,Mücke::N,mygg,кӏкӏара
200,Fliege::N,flue,тӏутӏ
201,Schmetterling::N,sommerfugl,кӏалкӏучӏ
202,Beere::N,bær,
203,Apfel::N,eple,гӏеч
204,Pilz::N,sopp,гӏурдахӏан
205,Zwiebel::N,løk,кӏочӏопер
206,Saat::N,sæd,хьон
207,Korn::N,korn,мугь
208,Heu::N,høy,хер
209,Schale::N,skall,хъал
210,Grube::N,grop,гвенд
211,Falle::N,felle,къор
212,Falle::N,felle,къотен
213,Schlinge::N,snare,кӏичӏ
214,Spur::N,spor,лъалкӏ
215,Asche::N,aske,рахъу
216,Dreck::N,møkk,гъиз
217,Dreck::N,møkk,хӏарщ
218,Dreck::N,skitt,гъиз
219,Dreck::N,skitt,хӏарщ
220,Eisen::N,jern,махх
221,Gold::N,gull,месед
222,Silber::N,sølv,гӏарац
223,Kohle::N,kol,тӏурччи
224,Kohle::N,kull,тӏурччи
225,Glas::N,glass,цӏер
226,Lehm::N,leire,хӏатӏ
227,Sand::N,sand,сали
228,Mensch::N,menneske,чи
229,Mann::N,mann,бихьинчи
230,Frau::N,kvinne,гӏадан
231,Kind::N,barn,лъимер
232,Junge::N,gutt,вас
233,Mädchen::N,pike,яс
234,Mädchen::N,jente,яс
235,Familie::N,familie,хъизан
236,Großvater::N,bestefar,кӏудада
237,Großmutter::N,bestemor,кӏодо
238,Eltern::N,foreldre,эбел-эмен
239,Vater::N,far,эмен
240,Mutter::N,mor,эбел
241,Sohn::N,sønn,вас
242,Tochter::N,datter,яс
243,Bruder::N,bror,вац
244,Schwester::N,søster,яц
245,Onkel::N,onkel,даци
246,Tante::N,tante,ада
247,Ehemann::N,ektemann,рос
248,Ehefrau::N,hustru,чӏужу
249,Freude::N,glede,ракӏбохи
250,Gelächter::N,latter,релъи
251,Glück::N,lykke,талихӏ
252,Glück::N,lykke,талихӏ-рохел
253,Kummer::N,sorg,хӏалкъай
254,Wunsch::N,ønske,къасд
255,Lust::N,lyst,гъира
256,Geist::N,ånd,чӏанкӏ
257,Geist::N,ånd,рухӏ-жан
258,Gedanke::N,tanke,пикру
259,Gedächtnis::N,minne,
260,Gedächtnis::N,hukommelse,
261,Verstand::N,forstand,лумалъи
262,Verstand::N,forstand,цӏодорлъи
263,Sinn::N,mening,магӏна
264,Sinn::N,betydning,магӏна
265,Grund::N,grunn,багьана
266,Wahrheit::N,sannhet,ритӏухълъи
267,Gespräch::N,samtale,накъит
268,Märchen::N,eventyr,маргьа
269,Erzählung::N,fortelling,къиса
270,Nachricht::N,melding,хабар
271,Neuigkeit::N,nyhet,хабар-гӏазаб
272,Name::N,navn,цӏар
273,Rätsel::N,gåte,бицанкӏо
274,Rede::N,tale,речь
275,Rede::N,tale,калам
276,Sprache::N,språk,мацӏ
277,Stimme::N,stemme,гьаракь
278,Wort::N,ord,рагӏи
279,Zeichen::N,tegn,ишара
280,Zeichen::N,tegn,гӏаламат
281,Ruf::N,rop,ахӏи
282,Lärm::N,bråk,хъуй
283,Lärm::N,bråk,хъуди
284,Laut::N,lyd,гьаракь
285,Laut::N,lyd,сас
286,Ton::N,tone,
287,Lied::N,vise,кечӏ
288,Ruhe::N,ro,рахӏат
289,Leute::N,folk,гӏадамал
290,Volk::N,folk,халкъ
291,Arbeit::N,arbeid,хӏалтӏи
292,Gast::N,gjest,гьобол
293,Geschenk::N,gave,сайигъат
294,Spiel::N,lek,хӏай
295,Spiel::N,lek,расанди
296,Spiel::N,spill,хӏай
297,Spiel::N,spill,расанди
298,Gesellschaft::N,selskap,жамагӏат
299,Hilfe::N,hjelp,кумек
300,Freund::N,venn,гьудул
301,Kamerad::N,kamerat,гьалмагъ
302,Angelegenheit::N,sak,къваригӏел
303,Angelegenheit::N,anliggende,къваригӏел
304,Anzahl::N,antall,рикӏкӏен
305,Art::N,art,жинс
306,Art::N,slag,жинс
307,Stück::N,stykke,кесек
308,Teil::N,del,пай
309,Hälfte::N,halvdel,бащдаб
310,Kreis::N,ring,гор
311,Kreis::N,sirkel,гор
312,Kreuz::N,kors,хъанч
313,Kreuz::N,kryss,хъанч
314,Linie::N,linje,мухъ
315,Strich::N,strek,хӏучч
316,Abstand::N,avstand,манзил
317,Entfernung::N,avstand,манзил
318,Gegend::N,strøk,рахъ
319,Platz::N,plass,бакӏ
320,Ort::N,sted,бакӏ
321,Seite::N,side,рахъ
322,Mitte::N,midte,бакьулъбакӏ
323,Gegenstand::N,gjenstand,жо
324,Sache::N,sak,жо
325,Rand::N,rand,мицӏир
326,Kante::N,kant,рагӏал
327,Kante::N,kant,рагӏа-ракьан
328,Ecke::N,hjørne,цили
329,Spitze::N,spiss,тӏогь
330,Ende::N,ende,кӏал
331,Loch::N,hull,каратӏ
332,Winkel::N,vinkel,
333,Muster::N,mønster,накъиш
334,Größe::N,størrelse,кӏодо́лъи
335,Länge::N,lengde,халалъи
336,Höhe::N,høyde,борхалъи
337,Gewicht::N,vekt,бакӏлъи
338,Menge::N,mengde,
339,Haufen::N,haug,гъуни
340,Haufen::N,bunke,гъуни
341,Reihe::N,rekke,ирга́
342,Boot::N,båt,раса
343,Ruder::N,åre,раххан
344,Schlitten::N,slede,чанагъ
345,Schlitten::N,kjelke,чанагъ
346,Ski::N,ski,лыжаби
347,Lagerfeuer::N,leirbål,цӏа
348,Last::N,bør,бакӏлъи
349,Last::N,last,бакӏлъи
350,Gang::N,gang,хьвади
351,Gang::N,gang,хьвада-чӏвади
352,Schritt::N,steg,гали
353,Schritt::N,skritt,гали
354,Norden::N,nord,шимал
355,Süden::N,sør,юг
356,Süden::N,sør,къибла
357,Westen::N,vest,гъарб
358,Westen::N,vest,магъриб
359,Osten::N,øst,шаркъ
360,Osten::N,øst,машрикъ
361,Holz::N,tre,цӏул
362,Brett::N,fjøl,хъарщи
363,Brett::N,brett,хъарщи
364,Platte::N,plate,къоно
365,Stütze::N,støtte,
366,Stange::N,stang,гӏер
367,Stock::N,pinne,тӏил
368,Stab::N,stav,гӏер
369,Stab::N,kjepp,гӏер
370,Rohr::N,rør,турба
371,Haus::N,hus,ригь
372,Haus::N,hus,рукъзал
373,Heim::N,hjem,рукъ
374,Ofen::N,ovn,печь
375,Fußboden::N,gulv,чӏабар
376,Tisch::N,bord,стол
377,Stuhl::N,stol,бакӏу
378,Wiege::N,vogge,кини
379,Bett::N,seng,кровать
380,Regal::N,reol,хъарщи
381,Regal::N,hylle,хъарщи
382,Kiste::N,kasse,ящик
383,Kiste::N,kasse,тӏалагъуд
384,Fenster::N,vindu,гордо
385,Tür::N,dør,нуцӏа
386,Tor::N,port,каву
387,Zaun::N,gjerde,раци
388,Dach::N,tak,тӏох
389,Leiter::N,stige,мали
390,Besen::N,kost,жул
391,Spaten::N,spade,бел
392,Schaufel::N,skuffe,раххан
393,Gabel::N,gaffel,гӏучӏ
394,Löffel::N,skje,гъуд
395,Messer::N,kniv,нус
396,Nagel::N,spiker,магӏ
397,Netz::N,nett,гьин
398,Haken::N,krok,гъанцӏа
399,Griff::N,tak,гӏоркь
400,Griff::N,håndtak,гӏоркь
401,Schloss::N,lås,кӏулал
402,Bild::N,bilde,сурат
403,Figur::N,figur,
404,Puppe::N,dukke,нани
405,Beutel::N,pose,таргьа
406,Bündel::N,bylt,къай
407,Tasche::N,veske,сумка
408,Tasche::N,veske,къвачӏа
409,Eimer::N,bøtte,ведро
410,Deckel::N,lokk,тӏалъел
411,Deckel::N,lokk,дадитӏалъел
412,Geschirr::N,kjøkkentøy,цӏарагӏ
413,Sack::N,sekk,хъап
414,Sack::N,sekk,къандалъо
415,Tasse::N,kopp,чашка
416,Topf::N,gryte,хьаг
417,Kessel::N,kjele,хьаг
418,Kessel::N,kjele,гереги
419,Essen::N,mål,тӏагӏам
420,Nahrung::N,mat,квен
421,Nahrung::N,næring,квен
422,Speise::N,matrett,квен
423,Fleisch::N,kjøtt,гьан
424,Getreide::N,korn,бугӏа-ролъ
425,Getreide::N,korn,могьолабл_культураби
426,Brei::N,grøt,карщ
427,Brot::N,brød,чед
428,Scheibe::N,skive,мочӏу
429,Fett::N,fett,беэнлъи
430,Butter::N,smør,нах
431,Öl::N,olje,нах
432,Salz::N,salt,цӏам
433,Suppe::N,suppe,чурпа
434,Honig::N,honning,гьоцӏо
435,Milch::N,melk,рахь
436,Tee::N,te,чай
437,Leder::N,lær,тӏом
438,Leder::N,skinn,тӏом
439,Wolle::N,ull,квас
440,Stoff::N,tøy,ххам
441,Stoff::N,stoff,ххам
442,Nadel::N,nål,рокӏкӏен
443,Faden::N,tråd,кун
444,Knopf::N,knapp,маргъал
445,Knoten::N,knute,гарацӏ
446,Farbe::N,farge,релъен
447,Kleidung::N,påkledning,ретӏел
448,Hemd::N,skjorte,гурде
449,Kragen::N,krage,габур
450,Ärmel::N,erme,къвал
451,Hose::N,bukse,тӏажу
452,Gürtel::N,belte,рачел
453,Mütze::N,lue,тӏагъур
454,Schuh::N,sko,
455,Stiefel::N,støvel,этек
456,Stiefel::N,støvel,чакма
457,Ring::N,ring,баргъич
458,Band::N,band,лента
459,Kamm::N,kam,гьоркьо
460,Spiegel::N,speil,матӏу
461,Riemen::N,rem,рижу
462,Schnur::N,snor,
463,Leine::N,line,
464,Decke::N,teppe,одея́ло
465,Kissen::N,pute,къандалъо
466,Tuch::N,tøy,квархьи
467,Handtuch::N,håndkle,беркӏалрацӏцӏ
468,Kraft::N,kraft,гуч
469,Kraft::N,kraft,къуват
470,Stärke::N,styrke,хӏалкӏвей
471,Gesundheit::N,helse,сахлъи́
472,Gesundheit::N,sunnhet,сахлъи́
473,Krankheit::N,syke,унти
474,Krankheit::N,syke,щокълъи
475,Krankheit::N,sykdom,унти
476,Krankheit::N,sykdom,щокълъи
477,Schmerz::N,smerte,унти
478,Wunde::N,sår,ругъун
479,Fieber::N,feber,цӏа-кан
480,Arznei::N,medisin,дару
481,Arznei::N,legemiddel,дару
482,Brücke::N,bro,кьо
483,Brunnen::N,brønn,гъуй
484,Weide::N,beite,рицӏцӏ
485,Weide::N,beite,лъичӏирма
486,Weide::N,beite,гӏурдаллъи
487,Weide::N,beite,ри́цӏигъветӏ
488,Weide::N,beite,рицӏцӏигъветӏ
489,Pfad::N,sti,сухъмахъ
490,Weg::N,vei,нух
491,Straße::N,gate,нух
492,Dorf::N,landsby,росу
493,Stadt::N,by,шагьар
494,Brief::N,brev,кагъат
495,Brief::N,brev,рисалат
496,Buch::N,bok,тӏехь
497,Buchstabe::N,bokstav,хӏарп
498,Zeitung::N,avis,газет
499,Leben::N,liv,яшав
500,Tod::N,død,хвел
501,Grab::N,grav,хоб
502,Kirche::N,kirke,килиса
503,Sünde::N,synd,хӏакъ
504,Sünde::N,synd,мунагь
505,Gott::N,gud,бичас
506,Gott::N,gud,аллагь
507,Arbeiter::N,arbeider,хӏалтӏухъан
508,Chef::N,sjef,хӏаким
509,Chef::N,sjef,начальник
510,Meister::N,mester,устар
511,Meister::N,mester,мастер
512,Meister::N,mester,махщалилав
513,Arzt::N,lege,жайрахӏ
514,Lehrer::N,lærer,мугӏалим
515,Geld::N,penger,гӏарац
516,Geschäft::N,forretning,
517,Laden::N,butikk,тукен
518,Preis::N,pris,багьа
519,Ware::N,vare,къайи
520,Nutzen::N,nytte,мунпагӏат
521,Reichtum::N,rikdom,бечелъи
522,Welt::N,verden,дуниял
523,Land::N,land,улка
524,Land::N,land,икълим
525,Staat::N,stat,пачалихъ
526,König::N,konge,пача
527,König::N,konge,малик
528,König::N,konge,къирал
529,König::N,konge,падишагь
530,Macht::N,makt,кверщел
531,Grenze::N,grense,гӏорхъи
532,Krieg::N,krig,рагъ
533,Feind::N,fiende,тушман
534,Gewalt::N,vold,зулму
535,Kampf::N,kamp,къеркьей
536,Bogen[Waffe]::N,bue,газаргъо
537,Pfeil::N,pil,чӏор
538,Gewehr::N,gevær,туманкӏ
539,Fehler::N,feil,гъалатӏ
540,Lüge::N,løgn,гьереси
541,Schaden::N,skade,зиян
542,Schaden::N,skade,зарал
543,Unglück::N,uhell,балагь
544,Schuld::N,skyld,гӏайиб
545,Alter::N,alder,гӏумру
546,Schluss::N,slutt,ахир
547,Zeit::N,tid,заман
548,Tag::N,dag,къо
549,Morgen::N,morgen,радалмех
550,Mittag::N,middag,къадемех
551,Abend::N,aften,релъедамех
552,Nacht::N,natt,сордо
553,Woche::N,uke,анкь
554,Monat::N,måned,моцӏ
555,Jahr::N,år,сон
556,Jahr::N,år,лъагӏел
557,Frühling::N,vår,их
558,Sommer::N,sommer,рии
559,Herbst::N,høst,хасалихълъи
560,Winter::N,vinter,кьин
561,Januar::N,januar,январь
562,Februar::N,februar,февра́ль
563,März::N,mars,март
564,April::N,april,апрель
565,Mai::N,mai,май
566,Juni::N,juni,июнь
567,Juli::N,juli,июль
568,August::N,august,август
569,September::N,september,сентябрь
570,Oktober::N,oktober,октябрь
571,November::N,november,ноябрь
572,Dezember::N,desember,декабрь
573,Montag::N,mandag,итни
574,Dienstag::N,tirsdag,талат
575,Mittwoch::N,onsdag,арбагӏ
576,Donnerstag::N,torsdag,хамиз
577,Freitag::N,fredag,рузман
578,Samstag::N,lørdag,щамат
579,Sonntag::N,søndag,гьатӏан
580,groß::A,stor,кӏудияб
581,klein::A,liten,гьитӏинаб
582,lang::A,lang,халатаб
583,kurz::A,kort,къокъаб
584,breit::A,bred,гӏебаб
585,schmal::A,smal,къваридаб
586,dicht::A,tett,ризаб
587,dick[Gegenstand]::A,tykk,бицатаб
588,dünn::A,tynn,тӏеренаб
589,fein::A,fin,тӏеренаб
590,fest::A,fast,къвакӏараб
591,flach::A,flat,чӏепараб
592,glatt::A,glatt,цӏвакараб
593,hart::A,hard,кьварараб
594,weich::A,myk,тамахаб
595,weich::A,bløt,тамахаб
596,rund::A,rund,гургинаб
597,spitz::A,spiss,бегӏераб
598,scharf::A,kvass,рекӏараб
599,stumpf::A,stubb,тӏехӏараб
600,stumpf::A,stubb,рекӏинчӏеб
601,schwer::A,tung,бакӏаб
602,schön::A,pen,берцинаб
603,schön::A,vakker,берцинаб
604,heiß::A,het,лагьараб
605,warm::A,varm,хинаб
606,kalt::A,kald,квачараб
607,kühl::A,kjølig,квачараб
608,frisch::A,fersk,цӏияб
609,feucht::A,fuktig,рагьараб
610,nass::A,våt,би́ччараб
611,trocken::A,tørr,бакъвараб
612,voll::A,full,
613,leer::A,tom,чӏобогояб
614,offen::A,åpen,рагьараб
615,geschlossen::A,lukket,рахараб-къараб
616,sauber::A,ren,бацӏцӏадаб
617,schmutzig::A,skitten,гъизараб
618,roh::A,rå,хамаб
619,roh::A,rå,гӏатӏгояб
620,reif::A,moden,барщараб
621,lecker::A,lekker,тӏагӏамаб
622,süß::A,søt,гьуинаб
623,bitter::A,besk,кьогӏаб
624,bitter::A,bitter,кьогӏаб
625,sauer::A,sur,цӏекӏаб
626,hell::A,lys,канаб
627,dunkel::A,mørk,бецӏаб
628,schwarz::A,svart,чӏегӏераб
629,weiß::A,hvit,хъахӏаб
630,rot::A,rød,багӏараб
631,gelb::A,gul,гӏобилаб
632,gelb::A,gul,тӏогьилаб
633,blau::A,blå,хъахӏилаб
634,grün::A,grønn,гӏурччинаб
635,grau::A,grå,накӏкӏуяб
636,bunt::A,broket,къвекӏаб
637,bunt::A,broket,чара-гъараб
638,billig::A,billig,учузаб
639,teuer::A,dyr,хири́яб
640,wertvoll::A,verdifull,къиматаб
641,blind::A,blind,беццаб
642,taub::A,døv,гъугъаб
643,kräftig::A,kraftig,гучаб
644,stark::A,sterk,къуватаб
645,schwach::A,svak,гӏажизаб
646,fett::A,fet,кьарияб
647,schlank::A,slank,чергесаб
648,hübsch::A,pen,гьайбатаб
649,böse::A,slem,ракӏквешаб
650,dumm::A,dum,гьагаб
651,dumm::A,dum,гӏантаб
652,faul::A,lat,кӏохӏалаб
653,faul::A,lat,кӏухӏа́лаб
654,faul::A,doven,кӏохӏалаб
655,faul::A,doven,кӏухӏа́лаб
656,fleißig::A,flittig,хӏаракатаб
657,geizig::A,gjerrig,къарумаб
658,klug::A,klok,лумияб
659,geschickt::A,hendig,махщел бугев
660,geschickt::A,skikket,махщел бугев
661,lieb::A,kjær,гӏазизаб
662,lieb::A,snill,гӏазизаб
663,lustig::A,morsom,кепаб
664,sanft::A,blid,хӏалимаб
665,sanft::A,blid,хӏере́наб
666,hungrig::A,sulten,бакъараб
667,krank::A,syk,щокъаб
668,krank::A,syk,унтараб
669,nackt::A,naken,гӏицӏаб
670,nackt::A,naken,чӏанкӏараб
671,traurig::A,sørgmodig,пашманаб
672,lebendig::A,levende,чӏагояб
673,gut::A,god,лъикӏаб
674,schlecht::A,dårlig,къадараб
675,richtig::A,riktig,битӏараб
676,schlimm::A,slem,нажасаб
677,schlimm::A,slem,къабихӏаб
678,wahr::A,sann,хӏакъаб
679,wahr::A,sann,битӏараб
680,alt::A,gammel,басрияб
681,neu::A,ny,цӏияб
682,ehemalig::A,forhenværende,цебе́госеб
683,alt[Lebewesen]::A,gammel,хераб
684,jung::A,ung,тӏинчӏаб
685,jung::A,ung,гӏолохъанаб
686,arm::A,fattig,пакъираб
687,reich::A,rik,бечедаб
688,bekannt::A,kjent,лъалеб
689,berühmt::A,berømt,машгьураб
690,fremd::A,fremmed,чияр
691,verschieden::A,forskjellig,батӏи-батӏияб
692,nah::A,nær,гӏагарда бугеб
693,fern::A,fjern,рикӏкӏадаб
694,linker::A,venstre,квегӏаб
695,rechter::A,høyre,кваранаб
696,anderer::A,annen,батӏияб
697,erster::A,første,тӏоцебесеб
698,zweiter::A,annen,кӏиабилеб
699,dritter::A,tredje,лъабабилеб
700,letzter::A,sist,ахирисеб
701,allein::ADV,alene,ялгъузго
702,auf einmal::ADV,med ett,цихӏинтӏаго
703,zusammen::ADV,sammen,цойида
704,lange::ADV,lenge,
705,plötzlich::ADV,plutselig,цойидасанго
706,sofort::ADV,straks,гьебсагӏат
707,später::ADV,senere,
708,jetzt::ADV,nå,гьанже
709,heute::ADV,i dag,жакъа
710,morgen::ADV,i morgen,метер
711,bald::ADV,snart,гьабсагӏаталъ
712,dann::ADV,så,цинги
713,gestern::ADV,i går,сон
714,einst::ADV,engang,цин
715,damals::ADV,den gang,гьебмехалъ
716,damals::ADV,den gang,гьебмехалда
717,danach::ADV,deretter,цинги
718,danach::ADV,deretter,хадуса
719,vorher::ADV,før,цебе
720,vorher::ADV,i forveien,цебе
721,zuerst::ADV,først,тӏоцебе
722,einmal::ADV,en gang,цинцӏул
723,einmal::ADV,en gang,цихӏин
724,einmal::ADV,en gang,цоцӏул
725,manchmal::ADV,somme tider,олоцӏул
726,oft::ADV,ofte,гӏемерго
727,immer::ADV,alltid,кидаго
728,niemals::ADV,aldri,киданиги
729,hier::ADV,her,аниб
730,hierhin::ADV,hit,анибехун
731,von hier::ADV,herfra,гьаниса
732,dort::ADV,der,гьениб
733,dorthin::ADV,dit,гьадаба
734,geradeaus::ADV,rett fram,битӏутӏа
735,vorwärts::ADV,fram,цебехун
736,vorwärts::ADV,framover,цебехун
737,rückwärts::ADV,baklengs,нахъ-нахъ
738,zurück::ADV,tilbake,нахъе
739,unten::ADV,nede,ахакь
740,unten::ADV,nede,гъоркь
741,hinab::ADV,ned,эхебе
742,hinab::ADV,nedover,эхебе
743,oben::ADV,oppe,тӏад
744,oben::ADV,oppe,тӏадехун
745,oben::ADV,ovenpå,тӏад
746,oben::ADV,ovenpå,тӏадехун
747,hinauf::ADV,opp,эхеде
748,hinauf::ADV,oppover,эхеде
749,überall::ADV,overalt,кибго
750,nicht::ADV,ikke,
751,ein wenig::ADV,litt,дагьабго
752,kaum::ADV,neppe,хӏалалъ
753,sehr::ADV,svært,кутакалда
754,so::ADV,så,гьедин
755,noch::ADV,enda,жеги
756,nur::ADV,bare,гӏӣцӏго
757,schon::ADV,alt,
758,schon::ADV,allerede,
759,wieder::ADV,igjen,на́хъеги
760,vergebens::ADV,forgjeves,чӏалгӏаде
761,vor::PRP,foran,цебе
762,vor::PRP,utenfor,цебе
763,hinter::PRP,bak,хадуса
764,hinter::PRP,bakom,хадуса
765,unter::PRP,under,ахакь
766,unter::PRP,under,гъоркь
767,durch::PRP,gjennom,
768,durch::PRP,igjennom,
769,neben::PRP,ved siden av,аскӏо
770,zwischen::PRP,mellom,гьоркьоб
771,wegen::PRP,på grunn av,гьелда
772,dies::PRN,dette,гьаб
773,dies::PRN,dette,гьеб
774,das::PRN,det,доб
775,alles::PRN,alt,
776,ich::PRN,jeg,дун
777,du::PRN,du,дуца
778,er::PRN,han,доб
779,wir::PRN,vi,ниж
