,Concept_ID,kv,kv
66,Staub::N,бус,бус
67,Rauch::N,тшын,тшын
68,Funke::N,бичир,бичир
69,Feuer::N,би,би
70,Licht::N,би,би
71,Schatten::N,вуджӧр,вуджӧр
72,Wetter::N,погоддя,погоддя
73,Nebel::N,туман,туман
74,Wolke::N,кымӧр,кымӧр
75,Regen::N,зэр,зэр
76,Schnee::N,лым,лым
77,Eis::N,йы,йы
78,Frost::N,мороз,мороз
79,Kälte::N,кӧдзыт,кӧдзыт
80,Hitze::N,ӧд,ӧд
81,Raureif::N,кижа,кижа
82,Regenbogen::N,енӧшка,енӧшка
83,Donner::N,гым,гым
84,Strömung::N,визывтӧм,визывтӧм
85,Tropfen::N,тёп,тёп
86,Schaum::N,быг,быг
87,Schmutz::N,нять,нять
88,See::N,ты,ты
89,Sumpf::N,арай,арай
90,Moor::N,нюр,нюр
91,Wiese::N,видз,видз
92,Wald::N,вӧр,вӧр
93,Hügel::N,мыльк,мыльк
94,Anhöhe::N,вывтас,вывтас
95,Anhöhe::N,вывтас,вылынін
96,Anhöhe::N,вылынін,вывтас
97,Anhöhe::N,вылынін,вылынін
98,Berg::N,керӧс,керӧс
99,Gipfel::N,йыв,йыв
100,Höhle::N,нора,нора
101,Abhang::N,покат,покат
102,Quelle::N,больган,больган
103,Bach::N,шор,шор
104,Fluss::N,ю,ю
105,Ufer::N,берег,берег
106,Küste::N,берег,берег
107,Festland::N,му,му
108,Meer::N,море,море
109,Bucht::N,курья,курья
110,Blume::N,цветок,цветок
111,Gras::N,турун,турун
112,Wurzel::N,вуж,вуж
113,Baum::N,пу,пу
114,Stamm::N,мыр,мыр
115,Stamm::N,мыр,кер
116,Stamm::N,кер,мыр
117,Stamm::N,кер,кер
118,Rinde::N,кач,кач
119,Ast::N,ув,ув
120,Zweig::N,ув,ув
121,Blatt::N,лист,лист
122,Birke::N,кыдз,кыдз
123,Kiefer[Baum]::N,пожум,пожум
124,Weide[Baum]::N,бадь,бадь
125,Tanne::N,кӧз,кӧз
126,Horn::N,сюр,сюр
127,Feder::N,гӧн,гӧн
128,Fell::N,кучик,кучик
129,Flügel::N,борд,борд
130,Klaue::N,гыж,гыж
131,Kralle::N,кабыр,кабыр
132,Schwanz::N,бӧж,бӧж
133,Ei::N,кольть,кольть
134,Nest::N,поз,поз
135,Bau::N,осьта,осьта
136,Bau::N,осьта,нора
137,Bau::N,нора,осьта
138,Bau::N,нора,нора
139,Tier::N,зверь,зверь
140,Herde::N,гурт,гурт
141,Kuh::N,мӧс,мӧс
142,Bulle::N,ӧшка,ӧшка
143,Pferd::N,вӧв,вӧв
144,Schaf::N,баля,баля
145,Schwein::N,порсь,порсь
146,Hund::N,пон,пон
147,Katze::N,кань,кань
148,Bär::N,ош,ош
149,Eichhörnchen::N,ур,ур
150,Elch::N,вӧр мӧс,вӧр мӧс
151,Fuchs::N,руч,руч
152,Hase::N,кӧч,кӧч
153,Maus::N,шыр,шыр
154,Wolf::N,кӧин,кӧин
155,Vogel::N,кай,кай
156,Schwarm::N,стая,стая
157,Schwarm::N,стая,чукӧр
158,Schwarm::N,чукӧр,стая
159,Schwarm::N,чукӧр,чукӧр
160,Huhn::N,курӧг,курӧг
161,Hahn::N,петух,петух
162,Hahn::N,петух,ай курӧг
163,Hahn::N,ай курӧг,петух
164,Hahn::N,ай курӧг,ай курӧг
165,Gans::N,дзодзог,дзодзог
166,Adler::N,куч,куч
167,Adler::N,куч,кутш
168,Adler::N,кутш,куч
169,Adler::N,кутш,кутш
170,Ente::N,утка,утка
171,Eule::N,тупка,тупка
172,Kranich::N,тури,тури
173,Krähe::N,рака,рака
174,Kuckuck::N,кӧк,кӧк
175,Schwan::N,юсь,юсь
176,Fisch::N,чери,чери
177,Barsch::N,ёкыш,ёкыш
178,Hecht::N,сирпинь,сирпинь
179,Schlange[Tier]::N,змей,змей
180,Wurm::N,номыр,номыр
181,Spinne::N,черань,черань
182,Ameise::N,кӧдзывкар,кӧдзывкар
183,Laus::N,ляпа той,ляпа той
184,Mücke::N,ном,ном
185,Fliege::N,гут,гут
186,Schmetterling::N,бабыв,бабыв
187,Beere::N,ягӧд,ягӧд
188,Apfel::N,яблоко,яблоко
189,Pilz::N,тшак,тшак
190,Zwiebel::N,грез,грез
191,Saat::N,кӧдзыс,кӧдзыс
192,Korn::N,сю,сю
193,Heu::N,турун,турун
194,Schale::N,кыш,кыш
195,Schale::N,кыш,киль
196,Schale::N,киль,кыш
197,Schale::N,киль,киль
198,Grube::N,яма,яма
199,Falle::N,нальк,нальк
200,Falle::N,нальк,кляпча
201,Falle::N,кляпча,нальк
202,Falle::N,кляпча,кляпча
203,Schlinge::N,лӧч,лӧч
204,Spur::N,туй,туй
205,Asche::N,пӧим,пӧим
206,Dreck::N,нять,нять
207,Eisen::N,кӧрт,кӧрт
208,Gold::N,зарни,зарни
209,Silber::N,язісь,язісь
210,Kohle::N,шом,шом
211,Kohle::N,шом,уголь
212,Kohle::N,уголь,шом
213,Kohle::N,уголь,уголь
214,Glas::N,стекло,стекло
215,Lehm::N,сёй,сёй
216,Sand::N,лыа,лыа
217,Mensch::N,морт,морт
218,Mann::N,мужик,мужик
219,Frau::N,инька,инька
220,Kind::N,кага,кага
221,Junge::N,зонка,зонка
222,Mädchen::N,нывкаок,нывкаок
223,Familie::N,семья,семья
224,Großvater::N,дед,дед
225,Großmutter::N,баб,баб
226,Eltern::N,ай-мам,ай-мам
227,Vater::N,ай,ай
228,Mutter::N,мам,мам
229,Sohn::N,зон,зон
230,Tochter::N,ныв,ныв
231,Bruder::N,вон,вон
232,Schwester::N,сой,сой
233,Onkel::N,дядь,дядь
234,Tante::N,айӧлӧн сой,айӧлӧн сой
235,Tante::N,айӧлӧн сой,ичинь
236,Tante::N,ичинь,айӧлӧн сой
237,Tante::N,ичинь,ичинь
238,Ehemann::N,жӧник,жӧник
239,Ehefrau::N,инь,инь
240,Freude::N,гаж,гаж
241,Freude::N,гаж,радъялӧм
242,Freude::N,радъялӧм,гаж
243,Freude::N,радъялӧм,радъялӧм
244,Gelächter::N,сералӧм,сералӧм
245,Glück::N,мичлун,мичлун
246,Kummer::N,шог,шог
247,Wunsch::N,мӧдӧм,мӧдӧм
248,Wunsch::N,мӧдӧм,охотитӧм
249,Wunsch::N,охотитӧм,мӧдӧм
250,Wunsch::N,охотитӧм,охотитӧм
251,Lust::N,охота,охота
252,Geist::N,лов,лов
253,Gedanke::N,дума,дума
254,Gedächtnis::N,тӧдвыв,тӧдвыв
255,Verstand::N,вежӧр,вежӧр
256,Sinn::N,ылӧс,ылӧс
257,Grund::N,мог,мог
258,Wahrheit::N,правда,правда
259,Gespräch::N,сёрни,сёрни
260,Märchen::N,сказка,сказка
261,Erzählung::N,висьт,висьт
262,Nachricht::N,юӧр,юӧр
263,Nachricht::N,юӧр,висьталӧм
264,Nachricht::N,висьталӧм,юӧр
265,Nachricht::N,висьталӧм,висьталӧм
266,Neuigkeit::N,новость,новость
267,Name::N,ним,ним
268,Rätsel::N,загадка,загадка
269,Rede::N,сёрни,сёрни
270,Sprache::N,кыв,кыв
271,Stimme::N,голос,голос
272,Wort::N,кыв,кыв
273,Zeichen::N,пас,пас
274,Ruf::N,чуксӧм,чуксӧм
275,Ruf::N,чуксӧм,чукӧстӧм
276,Ruf::N,чукӧстӧм,чуксӧм
277,Ruf::N,чукӧстӧм,чукӧстӧм
278,Lärm::N,шум,шум
279,Laut::N,шы,шы
280,Ton::N,гор,гор
281,Lied::N,сьыланкыв,сьыланкыв
282,Ruhe::N,спокой,спокой
283,Leute::N,йӧз,йӧз
284,Volk::N,йӧз,йӧз
285,Volk::N,йӧз,народ
286,Volk::N,народ,йӧз
287,Volk::N,народ,народ
288,Arbeit::N,удж,удж
289,Gast::N,гӧсь,гӧсь
290,Geschenk::N,гӧснеч,гӧснеч
291,Geschenk::N,гӧснеч,подарок
292,Geschenk::N,подарок,гӧснеч
293,Geschenk::N,подарок,подарок
294,Spiel::N,орсӧм,орсӧм
295,Gesellschaft::N,компания,компания
296,Hilfe::N,отсӧт,отсӧт
297,Freund::N,модз,модз
298,Freund::N,модз,дружок
299,Freund::N,дружок,модз
300,Freund::N,дружок,дружок
301,Kamerad::N,тӧдса,тӧдса
302,Angelegenheit::N,дело,дело
303,Anzahl::N,лыд,лыд
304,Art::N,пӧлӧс,пӧлӧс
305,Stück::N,тор,тор
306,Teil::N,юкӧм,юкӧм
307,Hälfte::N,джын,джын
308,Kreis::N,круг,круг
309,Kreuz::N,перна,перна
310,Linie::N,визь,визь
311,Strich::N,кырӧв,кырӧв
312,Abstand::N,колас,колас
313,Entfernung::N,ылына,ылына
314,Gegend::N,места,места
315,Platz::N,места,места
316,Ort::N,места,места
317,Seite::N,ладор,ладор
318,Mitte::N,шӧр,шӧр
319,Gegenstand::N,тор,тор
320,Sache::N,тор,тор
321,Rand::N,дор,дор
322,Kante::N,ордлы,ордлы
323,Ecke::N,пельӧс,пельӧс
324,Spitze::N,йыв,йыв
325,Ende::N,йыв,йыв
326,Loch::N,осьта,осьта
327,Winkel::N,пельӧс,пельӧс
328,Muster::N,сер,сер
329,Größe::N,ыжда,ыжда
330,Länge::N,кузя,кузя
331,Höhe::N,сувда,сувда
332,Höhe::N,сувда,вылына
333,Höhe::N,вылына,сувда
334,Höhe::N,вылына,вылына
335,Gewicht::N,сьӧкта,сьӧкта
336,Haufen::N,куча,куча
337,Reihe::N,лёдз,лёдз
338,Boot::N,пыж,пыж
339,Ruder::N,пелыс,пелыс
340,Schlitten::N,додь,додь
341,Ski::N,лямпа,лямпа
342,Lagerfeuer::N,бипур,бипур
343,Last::N,тягота,тягота
344,Gang::N,мунӧм,мунӧм
345,Schritt::N,вожмӧв,вожмӧв
346,Norden::N,ой,ой
347,Süden::N,лун,лун
348,Westen::N,рытвыв,рытвыв
349,Osten::N,асыв,асыв
350,Holz::N,пу,пу
351,Brett::N,пӧв,пӧв
352,Platte::N,плита,плита
353,Stütze::N,пика,пика
354,Stange::N,зор,зор
355,Stange::N,зор,потш
356,Stange::N,потш,зор
357,Stange::N,потш,потш
358,Stock::N,бедь,бедь
359,Stab::N,шест,шест
360,Rohr::N,труба,труба
361,Haus::N,керку,керку
362,Heim::N,керку,керку
363,Ofen::N,пӧжавны,пӧжавны
364,Fußboden::N,джодж,джодж
365,Tisch::N,пызан,пызан
366,Stuhl::N,стул,стул
367,Wiege::N,зыбка,зыбка
368,Bett::N,кровать,кровать
369,Regal::N,джадж,джадж
370,Kiste::N,ящик,ящик
371,Fenster::N,ӧшын,ӧшын
372,Tür::N,ыбӧс,ыбӧс
373,Tor::N,ворота,ворота
374,Zaun::N,забор,забор
375,Dach::N,крыша,крыша
376,Leiter::N,лиснич,лиснич
377,Besen::N,рос,рос
378,Spaten::N,зыр,зыр
379,Schaufel::N,зыр,зыр
380,Gabel::N,вила,вила
381,Löffel::N,пань,пань
382,Messer::N,пурт,пурт
383,Nagel::N,кӧрттув,кӧрттув
384,Netz::N,кыйӧт,кыйӧт
385,Haken::N,ем,ем
386,Griff::N,пу,пу
387,Schloss::N,замок,замок
388,Bild::N,картина,картина
389,Figur::N,мыгӧр,мыгӧр
390,Puppe::N,акань,акань
391,Beutel::N,мешӧк,мешӧк
392,Bündel::N,нин,нин
393,Tasche::N,сумка,сумка
394,Eimer::N,ведра,ведра
395,Deckel::N,вевт,вевт
396,Geschirr::N,доз,доз
397,Geschirr::N,доз,бекӧрпань
398,Geschirr::N,бекӧрпань,доз
399,Geschirr::N,бекӧрпань,бекӧрпань
400,Sack::N,мешӧк,мешӧк
401,Tasse::N,бекӧр,бекӧр
402,Topf::N,кастрюля,кастрюля
403,Kessel::N,пӧрт,пӧрт
404,Essen::N,сёйӧм,сёйӧм
405,Nahrung::N,вердан,вердан
406,Speise::N,сёян,сёян
407,Fleisch::N,яй,яй
408,Getreide::N,сю,сю
409,Brei::N,каша,каша
410,Brot::N,нянь,нянь
411,Scheibe::N,шӧрӧм,шӧрӧм
412,Fett::N,гос,гос
413,Butter::N,ви,ви
414,Öl::N,ви,ви
415,Salz::N,сов,сов
416,Suppe::N,шыд,шыд
417,Honig::N,ма,ма
418,Milch::N,йӧв,йӧв
419,Tee::N,чай,чай
420,Leder::N,кучик,кучик
421,Wolle::N,гӧн,гӧн
422,Stoff::N,дӧра,дӧра
423,Nadel::N,ем,ем
424,Faden::N,сунис,сунис
425,Knopf::N,кизь,кизь
426,Knoten::N,узӧв,узӧв
427,Knoten::N,узӧв,гӧрӧд
428,Knoten::N,гӧрӧд,узӧв
429,Knoten::N,гӧрӧд,гӧрӧд
430,Farbe::N,краска,краска
431,Kleidung::N,паськӧм,паськӧм
432,Hemd::N,йӧрнӧс,йӧрнӧс
433,Kragen::N,воротник,воротник
434,Ärmel::N,сос,сос
435,Hose::N,вешьян,вешьян
436,Gürtel::N,йи,йи
437,Mütze::N,шапка,шапка
438,Schuh::N,ботинки,ботинки
439,Stiefel::N,сапог,сапог
440,Ring::N,чунькытш,чунькытш
441,Band::N,ленточка,ленточка
442,Kamm::N,сынан,сынан
443,Spiegel::N,зеркало,зеркало
444,Riemen::N,ремень,ремень
445,Schnur::N,гез,гез
446,Leine::N,повод,повод
447,Decke::N,одеяло,одеяло
448,Kissen::N,подушка,подушка
449,Tuch::N,чышьян,чышьян
450,Handtuch::N,чышкӧт,чышкӧт
451,Kraft::N,прак,прак
452,Stärke::N,вын,вын
453,Gesundheit::N,здоровье,здоровье
454,Krankheit::N,шог,шог
455,Schmerz::N,зубыт,зубыт
456,Wunde::N,рана,рана
457,Fieber::N,лёк тресся,лёк тресся
458,Fieber::N,лёк тресся,кынтан шогӧт
459,Fieber::N,кынтан шогӧт,лёк тресся
460,Fieber::N,кынтан шогӧт,кынтан шогӧт
461,Arznei::N,лекарство,лекарство
462,Brücke::N,пос,пос
463,Brunnen::N,колодец ,колодец 
464,Weide::N,пода йирсян,пода йирсян
465,Pfad::N,туй,туй
466,Weg::N,туй,туй
467,Straße::N,туй,туй
468,Dorf::N,деревня,деревня
469,Stadt::N,город,город
470,Brief::N,гижӧт,гижӧт
471,Buch::N,книга,книга
472,Buchstabe::N,буква,буква
473,Zeitung::N,газета,газета
474,Leben::N,олан,олан
475,Tod::N,кулӧм,кулӧм
476,Grab::N,гу,гу
477,Kirche::N,вичку,вичку
478,Sünde::N,грек,грек
479,Gott::N,ен,ен
480,Arbeiter::N,уджалiсь,уджалiсь
481,Chef::N,начальник,начальник
482,Meister::N,мастер,мастер
483,Arzt::N,врач,врач
484,Lehrer::N,велӧтісь,велӧтісь
485,Geld::N,деньга,деньга
486,Geschäft::N,удж,удж
487,Laden::N,магазин,магазин
488,Preis::N,дон,дон
489,Ware::N,товар,товар
490,Nutzen::N,путь,путь
491,Reichtum::N,богатство,богатство
492,Welt::N,му,му
493,Land::N,страна,страна
494,Staat::N,государство,государство
495,König::N,кан,кан
496,Macht::N,власть,власть
497,Grenze::N,граница,граница
498,Krieg::N,война,война
499,Feind::N,враг,враг
500,Kampf::N,нярасьӧм,нярасьӧм
501,Kampf::N,нярасьӧм,вермасьӧм
502,Kampf::N,вермасьӧм,нярасьӧм
503,Kampf::N,вермасьӧм,вермасьӧм
504,Bogen[Waffe]::N,лук,лук
505,Pfeil::N,ньӧв,ньӧв
506,Gewehr::N,ружьё,ружьё
507,Fehler::N,ошибка,ошибка
508,Lüge::N,ылӧтӧм,ылӧтӧм
509,Lüge::N,ылӧтӧм,пӧрьялӧм
510,Lüge::N,пӧрьялӧм,ылӧтӧм
511,Lüge::N,пӧрьялӧм,пӧрьялӧм
512,Schaden::N,лёк,лёк
513,Unglück::N,пик,пик
514,Unglück::N,пик,оказзё
515,Unglück::N,оказзё,пик
516,Unglück::N,оказзё,оказзё
517,Schuld::N,вина,вина
518,Schluss::N,ком,ком
519,Zeit::N,кад,кад
520,Tag::N,лун,лун
521,Morgen::N,асыв,асыв
522,Mittag::N,луншӧр кад,луншӧр кад
523,Abend::N,рыт,рыт
524,Nacht::N,ой,ой
525,Woche::N,неделя,неделя
526,Monat::N,тӧлicь,тӧлicь
527,Jahr::N,год,год
528,Frühling::N,тулыс,тулыс
529,Sommer::N,гожум,гожум
530,Herbst::N,ар,ар
531,Winter::N,тӧв,тӧв
532,Januar::N,январ,январ
533,Februar::N,февраль,февраль
534,März::N,март,март
535,April::N,апрель,апрель
536,Mai::N,май,май
537,Juni::N,юнь,юнь
538,Juli::N,юль,юль
539,August::N,август,август
540,September::N,сентяб,сентяб
541,Oktober::N,октяб,октяб
542,November::N,нояб,нояб
543,Dezember::N,декаб,декаб
544,Montag::N,вильлун,вильлун
545,Dienstag::N,мӧдӧдзлун,мӧдӧдзлун
546,Mittwoch::N,шӧрлун,шӧрлун
547,Donnerstag::N,нёльӧдзлун,нёльӧдзлун
548,Freitag::N,витӧдзлун,витӧдзлун
549,Samstag::N,пывсянлун,пывсянлун
550,Sonntag::N,кресення,кресення
551,groß::A,ыджыт,ыджыт
552,klein::A,учӧтик,учӧтик
553,lang::A,кузь,кузь
554,kurz::A,дженыт,дженыт
555,breit::A,ота,ота
556,schmal::A,векнит,векнит
557,dicht::A,тшӧк,тшӧк
558,dick[Gegenstand]::A,кыз,кыз
559,dünn::A,вӧснит,вӧснит
560,fein::A,вӧснит,вӧснит
561,fest::A,крепыт,крепыт
562,flach::A,лапкӧса,лапкӧса
563,glatt::A,волькыт,волькыт
564,hart::A,чӧрыт,чӧрыт
565,weich::A,небыт,небыт
566,rund::A,гӧгрӧса,гӧгрӧса
567,spitz::A,ёся,ёся
568,scharf::A,лэчыт,лэчыт
569,stumpf::A,ныж,ныж
570,schwer::A,сьӧкыт,сьӧкыт
571,schön::A,басӧк,басӧк
572,heiß::A,жар,жар
573,warm::A,шоныт,шоныт
574,kalt::A,кӧдзыт,кӧдзыт
575,kühl::A,сайкыт,сайкыт
576,frisch::A,виль,виль
577,feucht::A,вакодь,вакодь
578,nass::A,ва,ва
579,trocken::A,кӧс,кӧс
580,voll::A,тыра,тыра
581,leer::A,тыртӧм,тыртӧм
582,offen::A,оссьӧм,оссьӧм
583,geschlossen::A,игана,игана
584,geschlossen::A,игана,пӧдана
585,geschlossen::A,пӧдана,игана
586,geschlossen::A,пӧдана,пӧдана
587,sauber::A,сӧдз,сӧдз
588,sauber::A,сӧдз,сӧстӧм
589,sauber::A,сӧстӧм,сӧдз
590,sauber::A,сӧстӧм,сӧстӧм
591,schmutzig::A,нятьӧсь,нятьӧсь
592,roh::A,путӧм,путӧм
593,reif::A,кисьмалӧм,кисьмалӧм
594,lecker::A,кӧра ,кӧра 
595,süß::A,чӧскыт,чӧскыт
596,bitter::A,курыт,курыт
597,sauer::A,шӧма ,шӧма 
598,hell::A,югыт,югыт
599,dunkel::A,пемыт,пемыт
600,schwarz::A,сьӧд,сьӧд
601,weiß::A,чочком,чочком
602,rot::A,гӧрд,гӧрд
603,gelb::A,веж,веж
604,blau::A,лӧз,лӧз
605,grün::A,веж,веж
606,grau::A,руд,руд
607,grau::A,руд,бусӧй
608,grau::A,бусӧй,руд
609,grau::A,бусӧй,бусӧй
610,bunt::A,быдрӧма,быдрӧма
611,billig::A,донтӧм,донтӧм
612,teuer::A,дона,дона
613,wertvoll::A,дона,дона
614,blind::A,синтӧм,синтӧм
615,taub::A,пельтӧм,пельтӧм
616,kräftig::A,вына,вына
617,stark::A,вына,вына
618,schwach::A,некодя,некодя
619,fett::A,госа,госа
620,schlank::A,статя,статя
621,hübsch::A,басӧк,басӧк
622,böse::A,лёк,лёк
623,dumm::A,бӧбӧв,бӧбӧв
624,dumm::A,бӧбӧв,вежӧртӧм
625,dumm::A,вежӧртӧм,бӧбӧв
626,dumm::A,вежӧртӧм,вежӧртӧм
627,faul::A,дыш,дыш
628,fleißig::A,уджалicь,уджалicь
629,geizig::A,жикмӧра,жикмӧра
630,geizig::A,жикмӧра,горшаліcь
631,geizig::A,горшаліcь,жикмӧра
632,geizig::A,горшаліcь,горшаліcь
633,klug::A,авья,авья
634,klug::A,авья,вежӧра
635,klug::A,вежӧра,авья
636,klug::A,вежӧра,вежӧра
637,geschickt::A,кипода,кипода
638,lieb::A,муса,муса
639,lieb::A,муса,дзулиньӧй
640,lieb::A,дзулиньӧй,муса
641,lieb::A,дзулиньӧй,дзулиньӧй
642,lustig::A,гажа,гажа
643,sanft::A,лебезнӧй,лебезнӧй
644,hungrig::A,тшыг,тшыг
645,krank::A,шогалiсь,шогалiсь
646,nackt::A,куш,куш
647,traurig::A,жугыль,жугыль
648,lebendig::A,ловья,ловья
649,gut::A,бур,бур
650,schlecht::A,умӧль,умӧль
651,schlimm::A,нештӧм,нештӧм
652,alt::A,важ,важ
653,neu::A,виль,виль
654,ehemalig::A,вӧвлӧм,вӧвлӧм
655,alt[Lebewesen]::A,года,года
656,alt[Lebewesen]::A,года,годдэза
657,alt[Lebewesen]::A,годдэза,года
658,alt[Lebewesen]::A,годдэза,годдэза
659,jung::A,том,том
660,arm::A,гов,гов
661,arm::A,гов,беднӧй
662,arm::A,беднӧй,гов
663,arm::A,беднӧй,беднӧй
664,reich::A,эма,эма
665,bekannt::A,тӧдса,тӧдса
666,fremd::A,чужӧй,чужӧй
667,verschieden::A,быдкодь,быдкодь
668,nah::A,матiсь,матiсь
669,fern::A,ылicь,ылicь
670,linker::A,шульга,шульга
671,rechter::A,веськытланись,веськытланись
672,anderer::A,мукӧд,мукӧд
673,erster::A,медодзза,медодзза
674,zweiter::A,кыкӧт,кыкӧт
675,dritter::A,куимӧт,куимӧт
676,dritter::A,куимӧт,куимӧдз
677,dritter::A,куимӧдз,куимӧт
678,dritter::A,куимӧдз,куимӧдз
679,letzter::A,бӧрья,бӧрья
680,letzter::A,бӧрья,мёдбӧрья
681,letzter::A,мёдбӧрья,бӧрья
682,letzter::A,мёдбӧрья,мёдбӧрья
683,auf einmal::ADV,тшӧтш,тшӧтш
684,zusammen::ADV,ӧтлаын,ӧтлаын
685,lange::ADV,дыр,дыр
686,plötzlich::ADV,друг,друг
687,sofort::ADV,тшӧтш,тшӧтш
688,später::ADV,медбӧрын,медбӧрын
689,jetzt::ADV,ӧні,ӧні
690,heute::ADV,талун,талун
691,morgen::ADV,ашын,ашын
692,bald::ADV,чожа,чожа
693,dann::ADV,сыбӧрын,сыбӧрын
694,gestern::ADV,тӧн,тӧн
695,einst::ADV,ӧтпыр,ӧтпыр
696,damals::ADV,сэк,сэк
697,damals::ADV,сэк,сэки
698,damals::ADV,сэки,сэк
699,damals::ADV,сэки,сэки
700,danach::ADV,сэсся,сэсся
701,vorher::ADV,одзжык,одзжык
702,zuerst::ADV,наперво,наперво
703,einmal::ADV,ӧтпыр,ӧтпыр
704,manchmal::ADV,мукӧдпыр,мукӧдпыр
705,oft::ADV,-лы-,-лы-
706,immer::ADV,быдпыр,быдпыр
707,immer::ADV,быдпыр,быдпырся
708,immer::ADV,быдпырся,быдпыр
709,immer::ADV,быдпырся,быдпырся
710,niemals::ADV,некӧр,некӧр
711,hier::ADV,татӧн,татӧн
712,hierhin::ADV,татчӧ,татчӧ
713,von hier::ADV,тасянь,тасянь
714,dort::ADV,сэтӧн,сэтӧн
715,dorthin::ADV,сэтчин,сэтчин
716,geradeaus::ADV,веськыта,веськыта
717,vorwärts::ADV,одзӧ,одзӧ
718,rückwärts::ADV,бӧр,бӧр
719,zurück::ADV,бӧр,бӧр
720,unten::ADV,увтын,увтын
721,hinab::ADV,увтас,увтас
722,oben::ADV,вевдӧрас,вевдӧрас
723,hinauf::ADV,вывлань,вывлань
724,hinauf::ADV,вывлань,вывланьӧ
725,hinauf::ADV,вывланьӧ,вывлань
726,hinauf::ADV,вывланьӧ,вывланьӧ
727,überall::ADV,быдлан,быдлан
728,nicht::ADV,ог,ог
729,ein wenig::ADV,-ышт,-ышт
730,ein wenig::ADV,-ышт,невна
731,ein wenig::ADV,невна,-ышт
732,ein wenig::ADV,невна,невна
733,kaum::ADV,ӧдва,ӧдва
734,sehr::ADV,вывтi,вывтi
735,so::ADV,сiдз,сiдз
736,noch::ADV,эшӧ,эшӧ
737,nur::ADV,только,только
738,schon::ADV,ни,ни
739,wieder::ADV,бӧра,бӧра
740,vergebens::ADV,весись,весись
741,vor::PRP,одзас,одзас
742,hinter::PRP,бӧрӧ,бӧрӧ
743,unter::PRP,увтын,увтын
744,durch::PRP,пыр,пыр
745,neben::PRP,бокам,бокам
746,neben::PRP,бокам,боксиным
747,neben::PRP,боксиным,бокам
748,neben::PRP,боксиным,боксиным
749,zwischen::PRP,коласас,коласас
750,wegen::PRP,понда,понда
751,dies::PRN,эта,эта
752,das::PRN,сiя,сiя
753,alles::PRN,быдӧс,быдӧс
754,ich::PRN,ме,ме
755,du::PRN,тэ,тэ
756,er::PRN,сiя,сiя
757,wir::PRN,мийӧ,мийӧ
758,ihr::PRN,ті,ті
759,sie::PRN,нія,нія
760,was::FPRN,мый,мый
761,wer::FPRN,кин,кин
762,wo::FADV,кытӧн,кытӧн
763,wohin::FADV,кытчӧ,кытчӧ
764,wie::FADV,дзик,дзик
765,warum::FADV,мыля,мыля
766,warum::FADV,мыля,мыйсянь
767,warum::FADV,мыйсянь,мыля
768,warum::FADV,мыйсянь,мыйсянь
769,wieviel::FNUM,мымда,мымда
770,eins::NUM,ӧт,ӧт
771,zwei::NUM,кык,кык
772,drei::NUM,куим,куим
773,vier::NUM,нёль,нёль
