,Concept_ID,pl,mn
388,Winkel::N,kąt,өнцөг
389,Winkel::N,kącik,өнцөг
390,Muster::N,wzór,хээ
391,Muster::N,wzór,угалз
392,Größe::N,rozmiar,хэмжээ
393,Größe::N,wielkość,хэмжээ
394,Länge::N,długość,урт
395,Höhe::N,wysokość,өндөр
396,Gewicht::N,ciężar,жин
397,Menge::N,ilość,тоо
398,Haufen::N,kupa,бөөн
399,Reihe::N,rząd,эгнээ
400,Reihe::N,szereg,эгнээ
401,Boot::N,łódź,завь
402,Boot::N,łódka,завь
403,Ruder::N,wiosło,сэлүүр
404,Schlitten::N,sanki,чарга
405,Ski::N,narta,цана
406,Lagerfeuer::N,ognisko,түүдэг
407,Last::N,ciężar,ачаа
408,Last::N,brzemię,ачаа
409,Gang::N,chód,явдал
410,Schritt::N,krok,алхам
411,Norden::N,północ,умар
412,Süden::N,południe,урд
413,Süden::N,południe,өмнө
414,Westen::N,zachód,өрнө
415,Westen::N,zachód,баруун
416,Osten::N,wschód,зүүн
417,Osten::N,wschód,дорно
418,Holz::N,drzewo,мод
419,Brett::N,deska,банз
420,Platte::N,płyta,хавтан
421,Stütze::N,podpora,тулгуур
422,Stütze::N,podpora,тулга
423,Stange::N,drąg,сургааг
424,Stange::N,żerdź,сургааг
425,Stock::N,kij,саваа
426,Stock::N,laska,саваа
427,Stab::N,pręt,таяг
428,Rohr::N,rura,хоолой
429,Haus::N,dom,гэр
430,Haus::N,dom,байшин
431,Heim::N,dom,гэр
432,Ofen::N,piec,зуух
433,Ofen::N,piec,пийшин
434,Fußboden::N,podłoga,шал
435,Tisch::N,stół,ширээ
436,Stuhl::N,krzesło,сандал
437,Wiege::N,kołyska,өлгий
438,Bett::N,łóżko,ор
439,Bett::N,pościel,ор
440,Regal::N,regał,тавиур
441,Kiste::N,skrzynia,авдар
442,Kiste::N,skrzynia,хайрцаг
443,Fenster::N,okno,гэгээвч
444,Tür::N,drzwi,үүд
445,Tür::N,drzwi,хаалга
446,Tor::N,brama,хаалга
447,Zaun::N,płot,хашаа
448,Zaun::N,parkan,хашаа
449,Dach::N,dach,дээвэр
450,Leiter::N,drabina,шат
451,Besen::N,miotła,хамуур
452,Besen::N,miotła,туужуу
453,Spaten::N,rydel,хүрз
454,Schaufel::N,łopata,хүрз
455,Gabel::N,widelec,сэрээ
456,Löffel::N,łyżka,халбага
457,Messer::N,nóż,хутга
458,Nagel::N,gwóźdź,хадаас
459,Netz::N,sieć,өөш
460,Netz::N,sieć,тор
461,Haken::N,hak,гох
462,Griff::N,chwyt,иш
463,Griff::N,chwyt,сэнж
464,Schloss::N,zamek,цуурга
465,Schloss::N,zamek,цоож
466,Bild::N,obraz,зураг
467,Figur::N,figura,баримал
468,Puppe::N,lalka,хүүхэлдэй
469,Beutel::N,torba,агсаа
470,Beutel::N,torba,уут
471,Bündel::N,wiązka,боодол
472,Tasche::N,torba,цүнх
473,Eimer::N,kubeł,хөнөг
474,Eimer::N,kubeł,хувин
475,Eimer::N,wiadro,хөнөг
476,Eimer::N,wiadro,хувин
477,Deckel::N,przykrywka,таг
478,Deckel::N,przykrywka,хавхаг
479,Geschirr::N,statki,сав суулга
480,Geschirr::N,naczynia,сав суулга
481,Sack::N,worek,шуудай
482,Tasse::N,filiżanka,аяга
483,Topf::N,garnek,тогоо
484,Kessel::N,kocioł,тогоо
485,Essen::N,jedzenie,идээ
486,Nahrung::N,pokarm,хүнс
487,Nahrung::N,pożywienie,хүнс
488,Speise::N,potrawa,идээ
489,Speise::N,jedzenie,идээ
490,Fleisch::N,mięso,мах
491,Getreide::N,zboże,будаа
492,Brei::N,kasza,богшмол
493,Brei::N,kasza,будаа
494,Brot::N,chleb,талх
495,Scheibe::N,kromka,зүсэм
496,Scheibe::N,kromka,хэрчим
497,Fett::N,tłuszcz,өөх
498,Butter::N,masło,тос
499,Öl::N,olej,тос
500,Salz::N,sól,давс
501,Suppe::N,zupa,шөл
502,Honig::N,miód,бал
503,Milch::N,mleko,сүү
504,Tee::N,herbata,цай
505,Leder::N,skóra,арьс
506,Leder::N,skóra,савхи
507,Wolle::N,wełna,ноос
508,Wolle::N,wełna,унгас
509,Stoff::N,tkanina,бөс
510,Stoff::N,materiał,бөс
