,Concept_ID,hr,hu
75,Wind::N,vjetar,szél
76,Welle::N,val,hullám
77,Welle::N,talas,hullám
78,Wasser::N,voda,víz
79,Stein::N,kamen,kő
80,Boden::N,tlo,föld
81,Boden::N,tlo,talaj
82,Boden::N,zemlja,föld
83,Boden::N,zemlja,talaj
84,Erde::N,zemlja,föld
85,Staub::N,prah,por
86,Staub::N,prašina,por
87,Rauch::N,dim,füst
88,Funke::N,iskra,szikra
89,Funke::N,varnica,szikra
90,Feuer::N,vatra,tűz
91,Licht::N,svjetlo,fény
92,Schatten::N,hlad,árnyék
93,Schatten::N,sjena,árnyék
94,Wetter::N,vrijeme,idő
95,Wetter::N,vrijeme,időjárás
96,Nebel::N,magla,köd
97,Wolke::N,oblak,felhő
98,Regen::N,kiša,eső
99,Schnee::N,snijeg,hó
100,Eis::N,led,jég
101,Frost::N,mraz,fagy
102,Kälte::N,studen,hideg
103,Kälte::N,hladnoća,hideg
104,Hitze::N,vrućina,hő
105,Hitze::N,vrućina,hőség
106,Raureif::N,inje,zúzmara
107,Regenbogen::N,duga,szivárvány
108,Donner::N,grom,dörgés
109,Donner::N,grom,mennydörgés
110,Donner::N,grmljavina,dörgés
111,Donner::N,grmljavina,mennydörgés
112,Strömung::N,struja,áramlat
113,Strömung::N,strujanje,áramlat
114,Tropfen::N,kap,csepp
115,Tropfen::N,kaplja,csepp
116,Schaum::N,pjena,hab
117,Schaum::N,pjena,tajték
118,Schmutz::N,nečistoća,piszok
119,Schmutz::N,prljavština,piszok
120,See::N,jezero,tó
121,Sumpf::N,bara,mocsár
122,Moor::N,močvara,láp
123,Wiese::N,livada,rét
124,Wiese::N,livada,mező
125,Wald::N,šuma,erdő
126,Hügel::N,brijeg,domb
127,Hügel::N,brežuljak,domb
128,Anhöhe::N,uzvišica,magaslat
129,Berg::N,brdo,hegy
130,Gipfel::N,vrh,csúcs
131,Höhle::N,pećina,barlang
132,Höhle::N,spilja,barlang
133,Abhang::N,obronak,lejtő
134,Abhang::N,nizbrdica,lejtő
135,Quelle::N,izvor,forrás
136,Quelle::N,vrelo,forrás
137,Bach::N,potok,patak
138,Fluss::N,rijeka,folyó
139,Ufer::N,obala,part
140,Küste::N,obala,tengerpart
141,Küste::N,morska obala,tengerpart
142,Festland::N,kopno,szárazföld
143,Meer::N,more,tenger
144,Bucht::N,zaliv,öböl
145,Insel::N,ada,sziget
146,Insel::N,otok,sziget
147,Blume::N,cvijet,virág
148,Gras::N,trava,fű
149,Wurzel::N,korijen,gyökér
150,Baum::N,drvo,fa
151,Baum::N,stablo,fa
152,Stamm::N,deblo,tő
153,Stamm::N,deblo,törzs
154,Stamm::N,stablo,tő
155,Stamm::N,stablo,törzs
156,Rinde::N,kora,kéreg
157,Ast::N,grana,ág
158,Zweig::N,grana,gally
159,Blatt::N,list,levél
160,Birke::N,breza,nyír
161,Kiefer[Baum]::N,bor,fenyő
162,Weide[Baum]::N,iva,fűz
163,Weide[Baum]::N,vŕba,fűz
164,Tanne::N,jela,fenyő
165,Horn::N,rog,szarv
166,Feder::N,pero,toll
167,Fell::N,koža,szőr
168,Fell::N,koža,bunda
169,Flügel::N,krilo,szárny
170,Klaue::N,papak,köröm
171,Kralle::N,pandža,karom
172,Schwanz::N,rep,farok
173,Ei::N,jaje,tojás
174,Nest::N,gnijezdo,fészek
175,Bau::N,jazbina,odú
176,Tier::N,životinja,állat
177,Herde::N,krdo,nyáj
178,Herde::N,krdo,csorda
179,Herde::N,stado,nyáj
180,Herde::N,stado,csorda
181,Kuh::N,krava,tehén
182,Bulle::N,bik,bika
183,Pferd::N,konj,ló
184,Schaf::N,ovca,juh
185,Schaf::N,ovca,birka
186,Schwein::N,svinja,sertés
187,Hund::N,pas,eb
188,Hund::N,pas,kutya
189,Hund::N,pseto,eb
190,Hund::N,pseto,kutya
191,Katze::N,mačka,macska
192,Bär::N,medvjed,medve
193,Eichhörnchen::N,vjeverica,mókus
194,Elch::N,los,jávorszarvas
195,Fuchs::N,lisica,róka
196,Hase::N,zec,nyúl
197,Maus::N,miš,egér
198,Wolf::N,vuk,farkas
199,Wolf::N,kurjak,farkas
200,Vogel::N,ptica,madár
201,Schwarm::N,roj,raj
202,Schwarm::N,jato,raj
203,Huhn::N,kokoš,tyúk
204,Hahn::N,kokot,kakas
205,Hahn::N,pijevac,kakas
206,Gans::N,guska,lúd
207,Gans::N,guska,liba
208,Adler::N,orao,sas
209,Ente::N,patka,kacsa
210,Eule::N,sova,bagoly
211,Kranich::N,ždral,daru
212,Krähe::N,vrana,varjú
213,Kuckuck::N,kukavica,kakukk
214,Schwan::N,labud,hattyú
215,Fisch::N,riba,hal
216,Barsch::N,grgeč,sügér
217,Hecht::N,štuka,csuka
218,Schlange[Tier]::N,guja,kígyó
219,Schlange[Tier]::N,zmija,kígyó
220,Wurm::N,crv,kukac
221,Spinne::N,pauk,pók
222,Ameise::N,mrav,hangya
223,Laus::N,uš,tetű
224,Mücke::N,komarac,szúnyog
225,Fliege::N,muha,légy
226,Schmetterling::N,leptir,lepke
227,Schmetterling::N,leptir,pillangó
228,Beere::N,boba,bogyó
229,Beere::N,bobica,bogyó
230,Apfel::N,jabuka,alma
231,Pilz::N,pečurka,gomba
232,Zwiebel::N,luk,hagyma
233,Zwiebel::N,kapula,hagyma
234,Saat::N,sjemenje,vetőmag
235,Korn::N,zrno,mag
236,Korn::N,zrno,szem
237,Heu::N,sijeno,széna
238,Schale::N,kora,héj
239,Schale::N,ljuska,héj
240,Grube::N,jama,verem
241,Falle::N,zamka,csapda
242,Falle::N,klopka,csapda
243,Schlinge::N,uzao,tőr
244,Schlinge::N,petlja,tőr
245,Spur::N,trag,nyom
246,Spur::N,slijed,nyom
247,Asche::N,pepeo,hamu
248,Dreck::N,blato,sár
249,Dreck::N,blato,piszok
250,Eisen::N,željezo,vas
251,Gold::N,zlato,arany
252,Silber::N,srebro,ezüst
253,Kohle::N,ugalj,szén
254,Kohle::N,ugljen,szén
255,Glas::N,staklo,üveg
256,Lehm::N,glina,agyag
257,Lehm::N,glina,vályog
258,Lehm::N,ilovača,agyag
259,Lehm::N,ilovača,vályog
260,Sand::N,pijesak,homok
261,Mensch::N,čovjek,ember
262,Mann::N,muškarac,úr
263,Mann::N,muškarac,férfi
264,Frau::N,žena,nő
265,Frau::N,žena,asszony
266,Kind::N,čedo,gyerek
267,Kind::N,čedo,gyermek
268,Kind::N,dijete,gyerek
269,Kind::N,dijete,gyermek
270,Junge::N,momče,fiú
271,Junge::N,dječak,fiú
272,Mädchen::N,djevojka,lány
273,Mädchen::N,djevojčica,lány
274,Familie::N,obitelj,család
275,Familie::N,porodica,család
276,Großvater::N,djed,nagyapa
277,Großmutter::N,baka,nagyanya
278,Eltern::N,roditelji,szülők
279,Vater::N,otac,apa
280,Vater::N,otac,atya
281,Mutter::N,majka,anya
282,Sohn::N,sin,fiú
283,Tochter::N,kći,lány
284,Tochter::N,kćerka,lány
285,Bruder::N,brat,fivér
286,Bruder::N,brat,testvér
287,Schwester::N,sestra,nővér
288,Schwester::N,sestra,lánytestvér
289,Onkel::N,čika,nagybácsi
290,Onkel::N,ujak,nagybácsi
291,Tante::N,ujna,nagynéni
292,Tante::N,tetka,nagynéni
293,Ehemann::N,muž,férj
294,Ehemann::N,suprug,férj
295,Ehefrau::N,žena,feleség
296,Ehefrau::N,supruga,feleség
297,Freude::N,radost,öröm
298,Gelächter::N,grohot,nevetés
299,Gelächter::N,grohot,hahotázás
300,Glück::N,sreća,boldogság
301,Kummer::N,jad,bánat
302,Kummer::N,briga,bánat
303,Wunsch::N,želja,óhaj
304,Lust::N,volja,kedv
305,Geist::N,duh,elme
306,Geist::N,duh,szellem
307,Gedanke::N,misao,gondolat
308,Gedächtnis::N,pamćenje,emlékezet
309,Verstand::N,um,ész
310,Verstand::N,um,értelem
311,Verstand::N,razum,ész
312,Verstand::N,razum,értelem
313,Sinn::N,smisao,értelem
314,Sinn::N,značenje,értelem
315,Grund::N,razlog,ok
316,Grund::N,razlog,alap
317,Wahrheit::N,istina,igaz
318,Wahrheit::N,istina,igazság
319,Gespräch::N,razgovor,beszélgetés
320,Märchen::N,bajka,mese
321,Erzählung::N,priča,elbeszélés
322,Erzählung::N,pripovijest,elbeszélés
323,Nachricht::N,vijest,hír
324,Nachricht::N,vijest,híradás
325,Neuigkeit::N,novost,újság
326,Name::N,ime,név
327,Rätsel::N,zagonetka,rejtvény
328,Rede::N,govor,beszéd
329,Rede::N,govor,szónoklat
330,Rede::N,besjeda,beszéd
331,Rede::N,besjeda,szónoklat
332,Sprache::N,jezik,nyelv
333,Stimme::N,glas,hang
334,Wort::N,riječ,szó
335,Zeichen::N,znak,jel
336,Ruf::N,povik,kiáltás
337,Ruf::N,poklik,kiáltás
338,Lärm::N,buka,zaj
339,Lärm::N,galama,zaj
340,Laut::N,zvuk,hang
341,Ton::N,ton,hang
342,Lied::N,pjesma,dal
343,Lied::N,pjesma,ének
344,Ruhe::N,tišina,csend
345,Ruhe::N,tišina,nyugalom
346,Ruhe::N,počinak,csend
347,Ruhe::N,počinak,nyugalom
348,Leute::N,ljudi,emberek
349,Volk::N,puk,nép
350,Volk::N,narod,nép
351,Arbeit::N,rad,dolog
352,Arbeit::N,posao,dolog
353,Gast::N,gost,vendég
354,Geschenk::N,dar,ajándék
355,Geschenk::N,poklon,ajándék
356,Spiel::N,igra,játék
357,Gesellschaft::N,društvo,társaság
358,Gesellschaft::N,kompanija,társaság
359,Hilfe::N,pomoć,segítség
360,Freund::N,prijatelj,barát
361,Kamerad::N,drug,társ
362,Kamerad::N,drugar,társ
363,Angelegenheit::N,posao,ügy
364,Anzahl::N,broj,szám
365,Anzahl::N,brojnost,szám
366,Art::N,vid,faj
367,Art::N,vid,fajta
368,Art::N,vrst,faj
369,Art::N,vrst,fajta
370,Stück::N,komad,darab
371,Teil::N,dio,rész
372,Hälfte::N,polovina,fél
373,Kreis::N,krug,kör
374,Kreuz::N,križ,kereszt
375,Linie::N,crta,vonal
376,Strich::N,crta,vonás
377,Abstand::N,razmak,köz
378,Abstand::N,odstojanje,köz
379,Entfernung::N,udaljenost,távolság
380,Gegend::N,kraj,táj
381,Gegend::N,kraj,vidék
382,Gegend::N,predeo,táj
383,Gegend::N,predeo,vidék
384,Platz::N,mjesto,hely
385,Ort::N,mjesto,hely
386,Seite::N,bok,fél
387,Seite::N,bok,oldal
388,Seite::N,strana,fél
389,Seite::N,strana,oldal
390,Mitte::N,sredina,közép
391,Gegenstand::N,predmet,tárgy
392,Sache::N,posao,dolog
393,Rand::N,rub,szél
394,Rand::N,rub,perem
395,Rand::N,rub,szegély
396,Rand::N,kraj,szél
397,Rand::N,kraj,perem
398,Rand::N,kraj,szegély
399,Kante::N,brid,él
400,Kante::N,ivica,él
401,Ecke::N,ugao,sarok
402,Ecke::N,ugao,szöglet
403,Spitze::N,vrh,csúcs
404,Spitze::N,šiljak,csúcs
405,Ende::N,konac,vég
406,Loch::N,rupa,lyuk
407,Winkel::N,kut,szög
408,Winkel::N,ugao,szög
409,Muster::N,uzor,minta
410,Größe::N,veličina,nagyság
411,Länge::N,duljina,hossz
412,Länge::N,duljina,hosszúság
413,Höhe::N,visina,magasság
414,Gewicht::N,težina,súly
415,Menge::N,mnoštvo,sokaság
416,Menge::N,mnoštvo,mennyiség
417,Menge::N,količina,sokaság
418,Menge::N,količina,mennyiség
419,Haufen::N,hrpa,halom
420,Haufen::N,gomila,halom
421,Reihe::N,red,sor
422,Boot::N,čun,csónak
423,Boot::N,čamac,csónak
424,Ruder::N,veslo,evező
425,Schlitten::N,saone,szánkó
426,Ski::N,ski,sí
427,Ski::N,smučka,sí
428,Lagerfeuer::N,logorska vatra,tábortűz
429,Last::N,tovar,teher
430,Gang::N,hod,járás
431,Schritt::N,korak,lépés
432,Norden::N,sjever,észak
433,Süden::N,jug,dél
434,Westen::N,zapad,nyugat
435,Osten::N,istok,kelet
436,Holz::N,drvo,fa
437,Brett::N,daska,deszka
438,Platte::N,ploča,lap
439,Platte::N,ploča,lemez
440,Stütze::N,potpora,támasz
441,Stütze::N,potpora,támaszték
442,Stange::N,motka,rúd
443,Stange::N,motka,pózna
444,Stock::N,štap,pálca
445,Stock::N,palica,pálca
446,Stab::N,štap,bot
447,Stab::N,šipka,bot
448,Rohr::N,cijev,cső
449,Haus::N,kuća,ház
450,Heim::N,dom,otthon
451,Ofen::N,peć,kályha
452,Fußboden::N,pod,padló
453,Tisch::N,stol,asztal
454,Tisch::N,trpeza,asztal
455,Stuhl::N,stolac,szék
456,Stuhl::N,stolica,szék
457,Wiege::N,kolijevka,bölcső
458,Bett::N,krevet,ágy
459,Bett::N,postelja,ágy
460,Regal::N,polica,polc
461,Regal::N,polica,állvány
462,Kiste::N,sanduk,láda
463,Fenster::N,prozor,ablak
464,Tür::N,vrata,ajtó
465,Tor::N,vrata,kapu
466,Tor::N,kapija,kapu
467,Zaun::N,plot,kerítés
468,Zaun::N,ograda,kerítés
469,Dach::N,krov,tető
470,Leiter::N,ljestve,létra
471,Leiter::N,ljestvice,létra
472,Besen::N,metla,seprű
473,Spaten::N,ašov,ásó
474,Schaufel::N,lopata,lapát
475,Gabel::N,viljuška,villa
476,Löffel::N,žlica,kanál
477,Messer::N,nož,kés
478,Nagel::N,čavao,szeg
479,Netz::N,mreža,háló
480,Haken::N,kuka,kampó
481,Griff::N,držak,nyél
482,Griff::N,držak,fogantyú
483,Griff::N,ručica,nyél
484,Griff::N,ručica,fogantyú
485,Schloss::N,brava,zár
486,Bild::N,slika,kép
487,Figur::N,figura,alak
488,Puppe::N,lutka,bábu
489,Beutel::N,kesa,zacskó
490,Bündel::N,snop,köteg
491,Bündel::N,svežanj,köteg
492,Tasche::N,torba,táska
493,Tasche::N,taška,táska
494,Eimer::N,kabao,vödör
495,Deckel::N,poklopac,fedő
496,Deckel::N,poklopac,fedél
497,Geschirr::N,suđe,edény
498,Geschirr::N,posuđe,edény
499,Sack::N,džak,zsák
500,Sack::N,vreća,zsák
501,Tasse::N,šalica,csésze
502,Topf::N,lonac,fazék
503,Kessel::N,kazan,üst
504,Kessel::N,kazan,bogrács
505,Essen::N,obrok,evés
506,Essen::N,obrok,étkezés
507,Nahrung::N,hrana,ennivaló
508,Speise::N,jelo,étel
509,Fleisch::N,meso,hús
510,Getreide::N,žito,gabona
511,Getreide::N,žitarice,gabona
512,Brei::N,kaša,pép
513,Brei::N,kaša,kása
514,Brot::N,kruh,kenyér
515,Scheibe::N,kriška,szelet
516,Fett::N,mast,háj
517,Fett::N,mast,zsír
518,Fett::N,salo,háj
519,Fett::N,salo,zsír
520,Butter::N,buter,vaj
521,Butter::N,maslac,vaj
522,Öl::N,ulje,olaj
523,Salz::N,sol,só
524,Suppe::N,supa,leves
525,Honig::N,med,méz
526,Milch::N,mlijeko,tej
527,Tee::N,čaj,tea
528,Leder::N,koža,bőr
529,Wolle::N,vuna,gyapjú
530,Stoff::N,štof,szövet
531,Stoff::N,tkanina,szövet
532,Nadel::N,igla,tű
533,Faden::N,nit,fonál
534,Faden::N,konac,fonál
535,Knopf::N,dugme,gomb
536,Knoten::N,čvor,csomó
537,Knoten::N,uzao,csomó
538,Farbe::N,farba,szín
539,Farbe::N,farba,festék
540,Kleidung::N,odjeća,ruha
541,Kleidung::N,odjeća,ruházat
542,Hemd::N,košulja,ing
543,Kragen::N,ovratnik,gallér
544,Ärmel::N,rukav,ujj
545,Hose::N,hlače,gatya
546,Hose::N,hlače,nadrág
547,Gürtel::N,pas,öv
548,Gürtel::N,pojas,öv
549,Mütze::N,kapa,sapka
550,Schuh::N,cipela,cipő
551,Stiefel::N,čizma,csizma
552,Ring::N,prsten,gyűrű
553,Band::N,vrpca,szalag
554,Kamm::N,češalj,fésű
555,Spiegel::N,zrcalo,tükör
556,Spiegel::N,ogledalo,tükör
557,Riemen::N,kaiš,szíj
558,Riemen::N,remen,szíj
559,Schnur::N,vrpca,zsinór
560,Leine::N,uzica,póráz
561,Decke::N,ćebe,takaró
562,Decke::N,pokrivač,takaró
563,Kissen::N,jastuk,párna
564,Tuch::N,rubac,kendő
565,Tuch::N,marama,kendő
566,Handtuch::N,ručnik,törülköző
567,Kraft::N,snaga,erő
568,Stärke::N,jakost,erő
569,Stärke::N,jakost,erősség
570,Gesundheit::N,zdravlje,egészség
571,Krankheit::N,bolest,kór
572,Krankheit::N,bolest,betegség
573,Schmerz::N,bol,fájdalom
574,Wunde::N,rana,seb
575,Fieber::N,groznica,láz
576,Arznei::N,lijek,orvosság
577,Arznei::N,lijek,gyógyszer
578,Brücke::N,most,híd
579,Brücke::N,ćuprija,híd
580,Brunnen::N,bunar,kút
581,Brunnen::N,zdenac,kút
582,Weide::N,paša,legelő
583,Weide::N,pašnjak,legelő
584,Pfad::N,staza,ösvény
585,Weg::N,put,út
586,Straße::N,drum,út
587,Straße::N,cesta,út
588,Dorf::N,selo,falu
589,Stadt::N,grad,város
590,Stadt::N,varoš,város
591,Brief::N,list,levél
592,Brief::N,pismo,levél
593,Buch::N,knjiga,könyv
594,Buchstabe::N,slovo,betű
595,Zeitung::N,novine,újság
596,Zeitung::N,novine,hírlap
597,Leben::N,život,élet
598,Tod::N,smrt,halál
599,Grab::N,raka,sír
600,Kirche::N,crkva,templom
601,Sünde::N,grijeh,bűn
602,Sünde::N,grijeh,vétek
603,Gott::N,bog,isten
604,Arbeiter::N,radnik,munkás
605,Chef::N,šef,főnök
606,Meister::N,majstor,mester
607,Arzt::N,liječnik,orvos
608,Lehrer::N,učitelj,tanár
609,Lehrer::N,učitelj,tanító
610,Geld::N,novac,pénz
611,Geschäft::N,posao,üzlet
612,Geschäft::N,trgovina,üzlet
613,Laden::N,dućan,bolt
614,Preis::N,cijena,ár
615,Ware::N,roba,áru
616,Nutzen::N,korist,haszon
617,Reichtum::N,bogatstvo,gazdagság
618,Welt::N,svijet,világ
619,Land::N,zemlja,ország
620,Staat::N,država,állam
621,König::N,kralj,király
622,Macht::N,moć,hatalom
623,Macht::N,vlast,hatalom
624,Grenze::N,granica,határ
625,Krieg::N,rat,háború
626,Feind::N,neprijatelj,ellenség
627,Gewalt::N,sila,erőszak
628,Gewalt::N,nasilje,erőszak
629,Kampf::N,boj,harc
630,Kampf::N,borba,harc
631,Bogen[Waffe]::N,luk,íj
632,Pfeil::N,strijela,nyíl
633,Gewehr::N,puška,puska
634,Gewehr::N,puška,fegyver
635,Fehler::N,pogreška,hiba
636,Fehler::N,griješka,hiba
637,Lüge::N,laž,hazugság
638,Schaden::N,šteta,kár
639,Unglück::N,nesreća,csapás
640,Unglück::N,nesreća,balszerencse
641,Schuld::N,krivnja,bűn
642,Alter::N,dob,kor
643,Schluss::N,kraj,vég
644,Schluss::N,kraj,befejezés
645,Schluss::N,konac,vég
646,Schluss::N,konac,befejezés
647,Zeit::N,doba,idő
648,Zeit::N,vrijeme,idő
649,Tag::N,dan,nap
650,Morgen::N,jutro,reggel
651,Mittag::N,podne,dél
652,Abend::N,veče,este
653,Abend::N,večer,este
654,Nacht::N,noć,éj
655,Nacht::N,noć,éjszaka
656,Woche::N,sedmica,hét
657,Monat::N,mjesec,hó
658,Monat::N,mjesec,hónap
659,Jahr::N,godina,év
660,Frühling::N,proljeće,tavasz
661,Sommer::N,ljeto,nyár
662,Herbst::N,jesen,ősz
663,Winter::N,zima,tél
664,Januar::N,januar,január
665,Januar::N,siječanj,január
666,Februar::N,veljača,február
667,Februar::N,februar,február
668,März::N,mart,március
669,März::N,ožujak,március
670,April::N,april,április
671,April::N,travanj,április
672,Mai::N,maj,május
673,Mai::N,svibanj,május
674,Juni::N,juni,június
675,Juni::N,lipanj,június
676,Juli::N,juli,július
677,Juli::N,srpanj,július
678,August::N,august,augusztus
679,August::N,kolovoz,augusztus
680,September::N,rujan,szeptember
681,September::N,septembar,szeptember
682,Oktober::N,oktobar,október
683,Oktober::N,listopad,október
684,November::N,studeni,november
685,November::N,novembar,november
686,Dezember::N,prosinac,december
687,Montag::N,ponedjeljak,hétfő
688,Montag::N,ponedjeljnik,hétfő
689,Dienstag::N,utorak,kedd
690,Dienstag::N,utornik,kedd
691,Mittwoch::N,srijeda,szerda
692,Donnerstag::N,četvrtak,csütörtök
693,Freitag::N,petak,péntek
694,Samstag::N,subota,szombat
695,Sonntag::N,nedjelja,vasárnap
696,groß::A,velik,nagy
697,klein::A,mali,pici
698,klein::A,mali,kicsi
699,klein::A,malen,pici
700,klein::A,malen,kicsi
701,lang::A,dug,hosszú
702,lang::A,dugačak,hosszú
703,kurz::A,kratak,rövid
704,breit::A,širok,széles
705,schmal::A,uski,keskeny
706,schmal::A,uzak,keskeny
707,dicht::A,gust,sűrű
708,dick[Gegenstand]::A,debeo,vastag
709,dünn::A,tanak,vékony
710,fein::A,fin,vékony
711,fein::A,tanak,vékony
712,fest::A,čvrst,szilárd
713,flach::A,ravan,sík
714,flach::A,ravan,lapos
715,flach::A,plosnat,sík
716,flach::A,plosnat,lapos
717,glatt::A,gladak,sima
718,hart::A,tvrd,kemény
719,weich::A,mek,puha
720,weich::A,mekan,puha
721,rund::A,okrugao,kerek
722,spitz::A,oštar,hegyes
723,spitz::A,šiljast,hegyes
724,scharf::A,oštar,éles
725,scharf::A,bridak,éles
726,stumpf::A,tup,tompa
727,stumpf::A,tup,életlen
728,schwer::A,težak,nehéz
729,schwer::A,težak,súlyos
730,schön::A,krasan,szép
731,heiß::A,vruć,forró
732,warm::A,topao,meleg
733,kalt::A,hladan,hideg
734,kühl::A,hladan,hűs
735,kühl::A,hladan,hűvös
736,frisch::A,svjež,üde
737,frisch::A,svjež,friss
738,feucht::A,vlažan,nedves
739,nass::A,mokar,vizes
740,trocken::A,suh,száraz
741,voll::A,pun,telt
742,leer::A,prazan,üres
743,offen::A,otvoren,nyílt
744,offen::A,otvoren,nyitott
745,geschlossen::A,zatvoren,zárt
746,geschlossen::A,zatvoren,csukott
747,sauber::A,čist,tiszta
748,schmutzig::A,nečist,piszkos
749,schmutzig::A,nečist,szennyes
750,schmutzig::A,blatan,piszkos
751,schmutzig::A,blatan,szennyes
752,roh::A,sirov,nyers
753,reif::A,zreo,érett
754,lecker::A,tečan,finom
755,lecker::A,ukusan,finom
756,süß::A,sladak,édes
757,bitter::A,gorak,keserű
758,sauer::A,kiseo,savanyú
759,hell::A,vedar,világos
760,hell::A,svijetao,világos
761,dunkel::A,taman,sötét
762,schwarz::A,crn,fekete
763,weiß::A,bio,fehér
764,weiß::A,bijel,fehér
765,rot::A,crven,vörös
766,gelb::A,žut,sárga
767,blau::A,plav,kék
768,blau::A,modar,kék
769,grün::A,zelen,zöld
770,grau::A,siv,ősz
771,grau::A,siv,szürke
772,bunt::A,šaren,tarka
773,bunt::A,šaren,színes
774,billig::A,jeftin,olcsó
775,teuer::A,skup,drága
776,wertvoll::A,vrijedan,értékes
777,wertvoll::A,dragocjen,értékes
778,blind::A,slijep,vak
779,taub::A,gluh,süket
780,kräftig::A,snažan,erős
781,stark::A,jak,erős
782,stark::A,snažan,erős
783,schwach::A,slab,gyenge
784,schwach::A,slab,erőtlen
785,fett::A,pretio,hájas
786,schlank::A,vitak,karcsú
787,hübsch::A,zgodan,csinos
788,böse::A,zao,rossz
789,böse::A,zao,gonosz
790,böse::A,opak,rossz
791,böse::A,opak,gonosz
792,dumm::A,glup,buta
793,dumm::A,glup,ostoba
794,faul::A,lijen,lusta
795,fleißig::A,radin,szorgalmas
796,fleißig::A,marljiv,szorgalmas
797,geizig::A,škrt,fukar
798,geizig::A,škrt,fösvény
799,klug::A,razborit,okos
800,klug::A,razborit,eszes
801,geschickt::A,vješt,ügyes
802,lieb::A,drag,drága
803,lieb::A,drag,kedves
804,lustig::A,veseo,víg
805,lustig::A,veseo,vidám
806,sanft::A,blag,enyhe
807,hungrig::A,gladan,éhes
808,krank::A,bolestan,beteg
809,nackt::A,nag,csupasz
810,nackt::A,nag,meztelen
811,traurig::A,tužan,bús
812,traurig::A,tužan,szomorú
813,traurig::A,žalostan,bús
814,traurig::A,žalostan,szomorú
815,lebendig::A,živ,élő
816,gut::A,dobar,jó
817,schlecht::A,loš,rossz
818,schlecht::A,rđav,rossz
819,richtig::A,tačan,helyes
820,richtig::A,ispravan,helyes
821,schlimm::A,zao,rossz
822,schlimm::A,zločest,rossz
823,wahr::A,istinit,igaz
824,alt::A,star,ó
825,alt::A,star,régi
826,neu::A,nov,új
827,ehemalig::A,bivši,volt
828,ehemalig::A,bivši,egykori
829,alt[Lebewesen]::A,star,öreg
830,jung::A,mlad,fiatal
831,arm::A,ubog,szegény
832,arm::A,siromašan,szegény
833,reich::A,bogat,gazdag
834,bekannt::A,poznat,ismert
835,bekannt::A,poznat,ismeretes
836,berühmt::A,čuven,híres
837,berühmt::A,slavan,híres
838,fremd::A,tuđ,idegen
839,fremd::A,stran,idegen
840,verschieden::A,razan,különböző
841,verschieden::A,različan,különböző
842,nah::A,blizak,közeli
843,fern::A,dalek,távoli
844,fern::A,daljnji,távoli
845,linker::A,lijevi,bal
846,rechter::A,desni,jobb
847,anderer::A,drugi,más
848,anderer::A,drugi,másik
849,anderer::A,drugačiji,más
850,anderer::A,drugačiji,másik
851,erster::A,prvi,első
852,zweiter::A,drugi,második
853,dritter::A,treći,harmadik
854,letzter::A,zadnji,utolsó
