,Concept_ID,kk,br
81,Nebel::N,тұман,brumenn
82,Wolke::N,бұлт,koumoulenn
83,Regen::N,жаңбыр,glav
84,Schnee::N,қар,erc'h
85,Eis::N,мұз,skorn
86,Frost::N,суық,rev
87,Kälte::N,ызғар,yen
88,Kälte::N,суықтық,yen
89,Hitze::N,аптап,tommder
90,Raureif::N,қырау,frim
91,Regenbogen::N,кемпірқосақ,gwareg-ar-glav
92,Donner::N,күн күркіреу,kurun
93,Strömung::N,ағын,red
94,Tropfen::N,тамшы,bannac'h
95,Tropfen::N,тамшы,takenn
96,Schaum::N,көбік,spoum
97,Schmutz::N,кір,fank
98,See::N,көл,lenn
99,Sumpf::N,саз,gwern
100,Moor::N,саз,taouarc'heg
101,Wiese::N,шалғын,prad
102,Wald::N,орман,koad
103,Hügel::N,төбе,torgenn
104,Hügel::N,белес,torgenn
105,Hügel::N,белес-белес,torgenn
106,Anhöhe::N,дөң,run
107,Anhöhe::N,адыр,run
108,Anhöhe::N,қырат,run
109,Berg::N,тау,menez
110,Gipfel::N,төбе,barr
111,Höhle::N,үңгір,kav
112,Abhang::N,бауыр,naou
113,Quelle::N,қайнар,feunteun
114,Bach::N,жылға,gwazh
115,Fluss::N,өзен,stêr
116,Ufer::N,жиек,ribl
117,Küste::N,жиегі,aod
118,Küste::N,жағалау,aod
119,Festland::N,құрылық,douar
120,Meer::N,теңіз,mor
121,Bucht::N,шығанақ,mor-bihan
122,Insel::N,арал,enez
123,Blume::N,гүл,bleunienn
124,Gras::N,от,geot
125,Wurzel::N,түбір,gwrizienn
126,Baum::N,ағаш,gwezenn
127,Baum::N,дарақ,gwezenn
128,Stamm::N,сояу,kef
129,Stamm::N,оқпан,kef
130,Rinde::N,қабық,rusk
131,Ast::N,бұтақ,barr
132,Zweig::N,шыбық,bod
133,Blatt::N,жапырақ,delienn
134,Birke::N,қайың,bezvenn
135,Kiefer[Baum]::N,қарағай,pinenn
136,Weide[Baum]::N,тал,halegenn
137,Tanne::N,шырша,sapenn
138,Horn::N,мүйіз,korn
139,Feder::N,қаламұш,pluñv
140,Fell::N,тері,kreoñ
141,Flügel::N,қанат,askell
142,Klaue::N,тырнақ,skilf
143,Kralle::N,аяқ,skilf
144,Schwanz::N,құйрық,lost
145,Ei::N,жұмыртқа,vi
146,Nest::N,ұя,neizh
147,Bau::N,жатақ,douarenn
148,Tier::N,айуан,loen
149,Tier::N,жануар,loen
150,Herde::N,пада,tropell
151,Kuh::N,сиыр,buoc'h
152,Bulle::N,өгіз,tarv
153,Pferd::N,жылқы,marc'h
154,Schaf::N,қой,dañvad
155,Schwein::N,шошқа,pemoc'h
156,Hund::N,ит,ki
157,Katze::N,мысық,kazh
158,Bär::N,аю,arzh
159,Eichhörnchen::N,тиін,gwiñver
160,Elch::N,бұғы,karv-dour
161,Fuchs::N,түлкі,louarn
162,Hase::N,қоян,gad
163,Maus::N,қаптесер,logodenn
164,Wolf::N,бөрі,bleiz
165,Wolf::N,қасқыр,bleiz
166,Vogel::N,құс,labous
167,Schwarm::N,топ,nijad
168,Schwarm::N,үйір,nijad
169,Huhn::N,тауық,yar
170,Huhn::N,мекиен,yar
171,Hahn::N,әтеш,kilhog
172,Hahn::N,қораз,kilhog
173,Gans::N,қаз,gwazenn
174,Adler::N,бүркіт,erer
175,Ente::N,үйрек,houad
176,Eule::N,жапалақ,toud
177,Kranich::N,тырна,garan
178,Krähe::N,қарға,bran
179,Kuckuck::N,көкек,koukoug
180,Schwan::N,аққу,alarc'h
181,Fisch::N,балық,pesk
182,Barsch::N,алабұға,brell
183,Hecht::N,шортан,beked
184,Schlange[Tier]::N,жылан,naer
185,Wurm::N,шұбалшаң,preñv
186,Spinne::N,өрмекші,kevnidenn
187,Ameise::N,қүмырска,merion
188,Laus::N,бит,laouenn
189,Mücke::N,маса,moustik
190,Fliege::N,шыбын,kelienenn
191,Schmetterling::N,көбелек,balafenn
192,Beere::N,жидек,hog
193,Apfel::N,алма,aval
194,Pilz::N,қозықұйрық,kabell-touseg
195,Pilz::N,саңыраукулақ,kabell-touseg
196,Zwiebel::N,жуа,ognonenn
197,Saat::N,тұқым,had
198,Korn::N,дән,ed
199,Heu::N,шөп,foenn
200,Schale::N,қабық,peliadur
201,Schale::N,қабығы,peliadur
202,Grube::N,ор,
203,Falle::N,дұзақ,pech
204,Falle::N,қақпан,pech
205,Schlinge::N,ілмек,krouglas
206,Spur::N,із,
207,Asche::N,күл,ludu
208,Dreck::N,былғаныш,fank
209,Eisen::N,темір,houarn
210,Gold::N,алтын,aour
211,Silber::N,күміс,arc'hant
212,Kohle::N,көмір,glaou
213,Glas::N,шыны,gwer
214,Lehm::N,балшық,
215,Sand::N,құм,traezh
216,Mensch::N,адам,den
217,Mann::N,еркек,den
218,Mann::N,ер адам,den
219,Frau::N,бике,maouez
220,Frau::N,қатын,maouez
221,Kind::N,бала,bugel
222,Kind::N,перзент,bugel
223,Junge::N,бала,paotr
224,Junge::N,ер бала,paotr
225,Mädchen::N,қыз,plac'h
226,Familie::N,жанұя,familh
227,Großvater::N,ата,tad-kozh
228,Großmutter::N,әже,mamm-gozh
229,Großmutter::N,әжей,mamm-gozh
230,Eltern::N,ата-аналар,kerent
231,Vater::N,әке,tad
232,Mutter::N,ана,mamm
233,Sohn::N,ұл,mab
234,Tochter::N,қызым,merc'h
235,Bruder::N,бауырым,breur
236,Schwester::N,әпке,c'hoar
237,Onkel::N,көке,eontr
238,Tante::N,тәте,moereb
239,Ehemann::N,ер,gwaz
240,Ehefrau::N,зайып,gwreg
241,Freude::N,қуаныш,levenez
242,Freude::N,сүйініш,levenez
243,Freude::N,шат-думан,levenez
244,Freude::N,қуаныштылық,levenez
245,Gelächter::N,күлу,c'hoarzherezh
246,Glück::N,бақыт,chañs
247,Glück::N,бақыттылық,chañs
248,Kummer::N,аза,doan
249,Kummer::N,қайғы,doan
250,Kummer::N,қасырет,doan
251,Wunsch::N,мүдде,c'hoant
252,Lust::N,тәбет,c'hoant
253,Lust::N,ынтызар,c'hoant
254,Lust::N,құштарлық,c'hoant
255,Geist::N,рух,spered
256,Gedanke::N,ой,soñj
257,Gedächtnis::N,ес,eñvor
258,Gedächtnis::N,жады,eñvor
259,Gedächtnis::N,ақыл-ес,eñvor
260,Verstand::N,ақыл,skiant
261,Verstand::N,парасат,skiant
262,Sinn::N,мән,ster
263,Sinn::N,маныз,ster
264,Sinn::N,мағына,ster
265,Sinn::N,мән-мағына,ster
266,Grund::N,себеп,kaoz
267,Wahrheit::N,рас,gwirionez
268,Gespräch::N,әңгіме,kaozeadenn
269,Märchen::N,ертеп,kaoz korriganez
270,Märchen::N,ертек,kaoz korriganez
271,Erzählung::N,әңгіме,kontadenn
272,Nachricht::N,хабар,keloù
273,Neuigkeit::N,жаңалық,kelaouenn
274,Name::N,ат,anv
275,Name::N,атау,anv
276,Rätsel::N,жұмбақ,divinatez
277,Rede::N,сөз,diskour
278,Sprache::N,тіл,yezh
279,Stimme::N,үн,mouezh
280,Stimme::N,әуен,mouezh
281,Stimme::N,дауыс,mouezh
282,Wort::N,сөз,ger
283,Zeichen::N,ишара,sin
284,Ruf::N,айғай,galv
285,Lärm::N,айғай-шу,trouz
286,Lärm::N,айғай-ұйғай,trouz
287,Laut::N,дыбыс,
288,Laut::N,дауыс,
289,Ton::N,әуен,ton
290,Lied::N,ән,kanaouenn
291,Lied::N,жыр,kanaouenn
292,Lied::N,ән-жыр,kanaouenn
293,Ruhe::N,тыныштық,sioulded
294,Leute::N,кісілер,tud
295,Volk::N,халық,pobl
296,Arbeit::N,еңбек,labour
297,Gast::N,қонақ,kouviad
298,Gast::N,мейман,kouviad
299,Geschenk::N,қадия,prof
300,Spiel::N,ойын,c'hoari
301,Gesellschaft::N,қауым,kompagnunezh
302,Gesellschaft::N,қауым,kavandad
303,Gesellschaft::N,жұртшылық,kompagnunezh
304,Gesellschaft::N,жұртшылық,kavandad
305,Hilfe::N,жэрдем,sikour
306,Freund::N,дос,mignon
307,Kamerad::N,дос-жар,kamarad
308,Angelegenheit::N,жұмыс,afer
309,Anzahl::N,сан,niver
310,Anzahl::N,саны,niver
311,Art::N,түр,sort
312,Stück::N,тілім,tamm
313,Teil::N,үлес,pezh
314,Teil::N,бөлшек,pezh
315,Hälfte::N,жарты,hanterenn
316,Kreis::N,шеңбер,kelc'h
317,Kreuz::N,крест,kroaz
318,Linie::N,сызық,linenn
319,Strich::N,сызық,tenn
320,Abstand::N,ара,distok
321,Abstand::N,аралық,distok
322,Entfernung::N,аралық,keid
323,Entfernung::N,аралық,kehid
324,Gegend::N,өңір,korn-bro
325,Platz::N,орны,plasenn
326,Ort::N,орын,lec'h
327,Seite::N,жақ,tu
328,Seite::N,бүйір,tu
329,Mitte::N,ортасы,kreiz
330,Gegenstand::N,зат,tra
331,Gegenstand::N,нәрсе,tra
332,Sache::N,бұйым,tra
333,Rand::N,шет,kantenn
334,Rand::N,шеті,kantenn
335,Kante::N,қыр,kantenn
336,Kante::N,қыры,kantenn
337,Ecke::N,қыры,korn
338,Ecke::N,бұрыш,korn
339,Spitze::N,ұшы,begell
340,Ende::N,аяқ,dibenn
341,Ende::N,соңы,dibenn
342,Loch::N,тесік,toull
343,Winkel::N,мүйіс,
344,Muster::N,мәнер,tresadenn
345,Größe::N,ауқым,ment
346,Größe::N,көлемдік,ment
347,Länge::N,бой,hirder
348,Länge::N,ұзындық,hirder
349,Höhe::N,жоғарылық,uhelder
350,Höhe::N,биіктік,uhelder
351,Gewicht::N,салмақ,pouez
352,Menge::N,мөлшер,bern
353,Haufen::N,үйме,bern
354,Haufen::N,үйінді,bern
355,Reihe::N,сап,steud
356,Boot::N,қайық,bag
357,Ruder::N,ескек,roeñv
358,Schlitten::N,шана,trainell
359,Ski::N,шаңғы,ski
360,Lagerfeuer::N,алау,
361,Last::N,ауырлық,karg
362,Last::N,ауыр зат,karg
363,Gang::N,жүріс,kerzh
364,Schritt::N,адым,paz
365,Norden::N,солтүстік,norzh
366,Norden::N,солтүстік,hanternoz
367,Norden::N,терістік,norzh
368,Norden::N,терістік,hanternoz
369,Süden::N,оңтүстік,su
370,Süden::N,оңтүстік,kreisteiz
371,Westen::N,батыс,kuzh-heol
372,Osten::N,күншығыс,reter
373,Osten::N,күншығыс,sav-heol
374,Holz::N,ағаш,koad
375,Holz::N,сүрек,koad
376,Brett::N,тақта,plankenn
377,Platte::N,тақта,plakenn
378,Stütze::N,тіреу,harp
379,Stange::N,қада,sparl
380,Stock::N,сойыл,bazh
381,Stab::N,сырық,bazh
382,Rohr::N,құбыр,tub
383,Rohr::N,құбыр,korz
384,Haus::N,үй,ti
385,Heim::N,үйлі,kêr
386,Heim::N,шаңырақ,kêr
387,Ofen::N,ошақ,forn
388,Ofen::N,пеш,forn
389,Fußboden::N,еден,plañchod
390,Tisch::N,үстел,taol
391,Stuhl::N,орындық,kador
392,Wiege::N,бесік,kavell
393,Bett::N,кереует,gwele
394,Regal::N,сөре,estajerenn
395,Kiste::N,жәшік,kased
396,Fenster::N,терезе,prenestr
397,Tür::N,есік,dor
398,Tor::N,дарбаза,portal
399,Zaun::N,дуал,sklotur
400,Dach::N,шатыр,toenn
401,Leiter::N,саты,skeul
402,Leiter::N,басқыш,skeul
403,Besen::N,сыпырғыш,skubell
404,Spaten::N,күрек,pal
405,Schaufel::N,қалақ,pal
406,Gabel::N,аша,fourchetez
407,Gabel::N,шанышқы,fourchetez
408,Löffel::N,қасық,loa
409,Messer::N,пышақ,kontell
410,Nagel::N,мық,tach
411,Nagel::N,шеге,tach
412,Netz::N,керегекөз,roued
413,Haken::N,ілмек,krog
414,Griff::N,сап,kemer
415,Griff::N,тұтқа,kemer
416,Schloss::N,құлып,potenn
417,Schloss::N,бекіткіш,potenn
418,Bild::N,сурет,skeudenn
419,Figur::N,тұлға,skeud
420,Figur::N,тұлға,figur
421,Puppe::N,қуыршақ,merc'hodenn
422,Beutel::N,қапшық,sac'h
423,Bündel::N,байлам,feskenn
424,Tasche::N,дорба,sac'h
425,Eimer::N,шелек,sailh
426,Deckel::N,жапқыш,pallenn
427,Geschirr::N,ыдыс,listriaj
428,Sack::N,қап,sac'h
429,Tasse::N,шыныаяқ,tas
430,Topf::N,кәстрөл,pod
431,Kessel::N,қазан,chaodouron
432,Essen::N,ас,pred
433,Nahrung::N,ас,boued
434,Nahrung::N,тамақ,boued
435,Speise::N,тағам,meuz
436,Fleisch::N,ет,kig
437,Getreide::N,дәнді,ed
438,Brei::N,ботқа,yod
439,Brot::N,күлше,bara
440,Scheibe::N,тілім,tailhenn
441,Fett::N,май,lard
442,Butter::N,май,amann
443,Öl::N,май,eoul
444,Salz::N,тұз,holen
445,Suppe::N,көже,soubenn
446,Honig::N,бал,mel
447,Milch::N,сүт,laezh
448,Tee::N,шай,te
449,Leder::N,көн,lêr
450,Wolle::N,жүн,gloan
451,Stoff::N,мата,danvez
452,Stoff::N,кездеме,danvez
453,Nadel::N,ине,nadoz
454,Faden::N,жіп,neudenn
455,Knopf::N,түйме,bouton
456,Knoten::N,түйін,skoulm
457,Farbe::N,рең,liv
458,Kleidung::N,киім,dilhad
459,Hemd::N,жейде,roc'hed
460,Kragen::N,жаға,gouzoug
461,Ärmel::N,жең,milgin
462,Hose::N,шалбар,bragoù
463,Gürtel::N,белбеу,gouriz
464,Mütze::N,қалпақ,boned
465,Schuh::N,кебіс,botez
466,Stiefel::N,етік,botez
467,Ring::N,жүзік,gwalenn
468,Band::N,таспа,bagad
469,Kamm::N,тарақ,krib
470,Spiegel::N,айна,melezour
471,Riemen::N,қайыс,lerenn
472,Schnur::N,жіп,kordenn
473,Leine::N,тізгін,roll
474,Decke::N,көрпе,golo
475,Kissen::N,жастық,goubenner
476,Tuch::N,орамал,mezher
477,Handtuch::N,сүлгі,toailhon
478,Kraft::N,қуат,nerzh
479,Kraft::N,қарқын,nerzh
480,Kraft::N,әл-шама,nerzh
481,Kraft::N,әл-дәрмен,nerzh
482,Stärke::N,әл,nerzhder
483,Stärke::N,күш,nerzhder
484,Gesundheit::N,денсаулык,yec'hed
485,Krankheit::N,ауру,klañved
486,Schmerz::N,ауру,poan
487,Schmerz::N,ауру,droug
488,Wunde::N,зақым,gloazadenn
489,Wunde::N,жарақат,gloazadenn
490,Fieber::N,безгек,terzhienn
491,Fieber::N,қалтырау,terzhienn
492,Fieber::N,қызу көтерілуі,terzhienn
493,Arznei::N,дәрі,louzoù
494,Arznei::N,дәрі-дәрмек,louzoù
495,Brücke::N,көпір,pont
496,Brunnen::N,құдық,puñs
497,Weide::N,өріс,prad
498,Weide::N,жайылым,prad
499,Pfad::N,жол,gwenodenn
500,Weg::N,жол,hent
501,Straße::N,жол,ru
502,Straße::N,жол,hent
503,Dorf::N,ауыл,kêr
504,Dorf::N,ауыл,kêriadenn
505,Stadt::N,қала,kêr
506,Stadt::N,шаһар,kêr
507,Brief::N,хат,lizher
508,Brief::N,жазу,lizher
509,Buch::N,кітап,levr
510,Buchstabe::N,әріп,lizherenn
511,Buchstabe::N,қаріп,lizherenn
512,Zeitung::N,газет,kazetenn
513,Leben::N,өмір,buhez
514,Leben::N,тіршілік,buhez
515,Tod::N,опат,marv
516,Grab::N,мола,bez
517,Grab::N,мазар,bez
518,Kirche::N,шіркеу,iliz
519,Sünde::N,күнә,pec'hed
520,Gott::N,алла,doue
521,Gott::N,құдай,doue
522,Gott::N,тәңірі,doue
523,Gott::N,пәруардігер,doue
524,Gott::N,жаратқан тәңірі,doue
525,Arbeiter::N,жүмысшы,labourer
526,Arbeiter::N,жүмысшы,micherour
527,Chef::N,басшы,penn
528,Chef::N,жұмыс басқарушысы,penn
529,Meister::N,шебер,mestr
530,Meister::N,өнерпаз,mestr
531,Arzt::N,дәрігер,mezeg
532,Arzt::N,дәрігер,medisin
533,Lehrer::N,мұғалім,skolaer
534,Lehrer::N,мұғалім,kelenner
535,Geld::N,пұл,arc'hant
536,Geschäft::N,бизнес,stal
537,Laden::N,дүкен,stal
538,Preis::N,ақы,priz
539,Preis::N,құны,priz
540,Preis::N,нарық,priz
541,Ware::N,тауар,marc'hadourezh
542,Nutzen::N,пайда,gounidegezh
543,Nutzen::N,пайда,lañs
544,Nutzen::N,пайда,profit
545,Nutzen::N,пайда,spleit
546,Reichtum::N,бақ-дәулет,pinvidigezh
547,Welt::N,әлем,douar
548,Welt::N,жиһан,douar
549,Land::N,аймақ,bro
550,Staat::N,мемлекет,stad
551,König::N,патша,roue
552,Macht::N,өкімет,galloud
553,Macht::N,қожалық,galloud
554,Grenze::N,шек,harzoù
555,Krieg::N,соғыс,brezel
556,Feind::N,жау,eneber
557,Feind::N,дұшпан,eneber
558,Gewalt::N,зорлык,tâerder
559,Gewalt::N,зорлық-зомбылык,tâerder
560,Kampf::N,күрес,kann
561,Kampf::N,алыспақ,kann
562,Bogen[Waffe]::N,саржа,gwareg
563,Pfeil::N,жебе,saezh
564,Gewehr::N,қару,fuzuilh
565,Fehler::N,әбес,fazi
566,Fehler::N,қаталық,fazi
567,Lüge::N,өтірік,gaou
568,Schaden::N,зиян,gwall
569,Schaden::N,зарар,gwall
570,Unglück::N,пәле,gwalleur
571,Unglück::N,қасырет,gwalleur
572,Unglück::N,ауыртпалық,gwalleur
573,Schuld::N,айыптылық,kablusted
574,Schuld::N,айыптылық,pec'hedigezh
575,Alter::N,жас,oad
576,Alter::N,жас шамасы,oad
577,Schluss::N,ада,diwezh
578,Schluss::N,бітуі,diwezh
579,Zeit::N,уақыт,amzer
580,Tag::N,күн,deizh
581,Morgen::N,таң,beure
582,Morgen::N,таң,mintin
583,Morgen::N,таңертең,beure
584,Morgen::N,таңертең,mintin
585,Mittag::N,талтүс,kreisteiz
586,Abend::N,кеш,abardaez
587,Nacht::N,түн,noz
588,Woche::N,апта,sizhun
589,Monat::N,ай,miz
590,Jahr::N,жыл,bloaz
591,Frühling::N,көктем,nevezamzer
592,Sommer::N,жаз,hañv
593,Herbst::N,күз,diskaramzer
594,Winter::N,қыс,goañv
595,Januar::N,каңтар,Genver
596,Februar::N,ақпан,C'hwevrer
597,März::N,наурыз,Meurzh
598,April::N,сәуір,Ebrel
599,Mai::N,мамыр,Mae
600,Juni::N,маусым,Mezheven
601,Juli::N,шілде,Gouhere
602,August::N,сүмбіле,Eost
603,August::N,тамыз,Eost
604,September::N,қыркүйек,Gwengolo
605,Oktober::N,ақырап,Here
606,November::N,қараша,Du
607,Dezember::N,желтоқсан,Kerzu
608,Montag::N,дүйсенбі,Lun
609,Dienstag::N,сейсенбі,Meurzh
610,Mittwoch::N,сәрсенбі,Merc'her
611,Donnerstag::N,бейсенбі,Yaou
612,Freitag::N,жұма,Gwener
613,Samstag::N,сенбі,Sadorn
614,Sonntag::N,жексембі,Sul
615,groß::A,алпамсадай,bras
616,klein::A,кішкене,bihan
617,klein::A,қарғадай,bihan
618,lang::A,сопақ,hir
619,lang::A,сорайған,hir
620,kurz::A,кеспелтек,berr
621,breit::A,айдынды,ledan
622,schmal::A,қысық,strizh
623,dicht::A,жиі,stank
624,dick[Gegenstand]::A,шомбал,tev
625,dünn::A,жұқа,moan
626,dünn::A,жіңішке,moan
627,fein::A,қаңылтақ,munut
628,fest::A,берік,start
629,fest::A,мызғымас,start
630,flach::A,жалпак,plaen
631,glatt::A,типыл,lintr
632,glatt::A,типыл,levn
633,hart::A,қатты,kalet
634,weich::A,жұмсақ,blot
635,rund::A,домалақ,ront
636,spitz::A,үшкір,poentet
637,scharf::A,сүйрік,dremm
638,stumpf::A,доғал,talsoc'h
639,stumpf::A,өтпейтін,talsoc'h
640,schwer::A,салмақты,pounner
641,schön::A,сұлу,kaer
642,heiß::A,ыссы,tomm
643,warm::A,жылы,tomm
644,kalt::A,аязды,yen
645,kühl::A,салқын,yen
646,frisch::A,таза,fresk
647,frisch::A,жаңа,fresk
648,feucht::A,нам,gleb
649,feucht::A,дымқылды,gleb
650,nass::A,сулы,gleb
651,trocken::A,құрғақ,sec'h
652,voll::A,толы,leun
653,leer::A,бос,goullo
654,offen::A,ашып қойылған,digor
655,geschlossen::A,жабулы,serr
656,sauber::A,дақсыз,naet
657,sauber::A,мұнтаздай,naet
658,schmutzig::A,айғыз,lous
659,schmutzig::A,сатпақ,lous
660,schmutzig::A,сатал-сатал,lous
661,roh::A,шикі,kriz
662,reif::A,піскен,darev
663,lecker::A,дәмді,lipous
664,lecker::A,дәмді,saourus
665,süß::A,тәтті,dous
666,bitter::A,ащы,c'hwerv
667,sauer::A,қышқыл,trenk
668,hell::A,жарық,sklaer
669,hell::A,жарқын,sklaer
670,dunkel::A,қараңғы,teñval
671,schwarz::A,қара,du
672,weiß::A,ақ,gwenn
673,rot::A,қызыл,ruz
674,gelb::A,сары,melen
675,blau::A,көк,glas
676,grün::A,жасыл,gwer
677,grau::A,бозамық,louet
678,bunt::A,алабажак,liesliv
679,billig::A,арзан,marc'had-mat
680,teuer::A,бағалы,ker
681,wertvoll::A,құнды,prizius
682,wertvoll::A,қымбат,prizius
683,blind::A,көзсіз,dall
684,blind::A,көр,dall
685,blind::A,көр_соқыр,dall
686,taub::A,керең,bouzar
687,taub::A,саңырау,bouzar
688,kräftig::A,қуатты,start
689,kräftig::A,қарымды,start
690,stark::A,білекті,kreñv
691,schwach::A,әлсіз,gwan
692,schwach::A,күшсіз,gwan
693,schwach::A,қайратсыз,gwan
694,fett::A,семіз,lard
695,schlank::A,ашаң,sinkl
696,hübsch::A,ажарлы,koant
697,hübsch::A,шырайлы,koant
698,böse::A,өш,gwall
699,böse::A,сұм,gwall
700,böse::A,жауыз,gwall
701,dumm::A,көкми,glep
702,dumm::A,ақымақ,glep
703,dumm::A,миы жоқ,glep
704,faul::A,жалқау,lezirek
705,faul::A,еріншек,lezirek
706,fleißig::A,ұқыпты,studius
707,geizig::A,сараң,tost
708,klug::A,жетік,speredek
709,klug::A,ақылды,speredek
710,geschickt::A,шебер,dornet
711,lieb::A,абзал,koant
712,lieb::A,айналайын,koant
713,lustig::A,көңілді,laouen
714,sanft::A,жуас,flour
715,hungrig::A,аш,marnaon
716,krank::A,кеселді,klañv
717,nackt::A,жалаңаш,noazh
718,traurig::A,қапа,trist
719,lebendig::A,тірі,bev
720,lebendig::A,жанды,bev
721,gut::A,жақсы,mad
722,schlecht::A,жаман,fall
723,schlecht::A,жаман,gwall
724,richtig::A,дұрыс,reizh
725,schlimm::A,жаман,gwall
726,wahr::A,нағыз,gwir
727,alt::A,ескі,kozh
728,neu::A,жаңа,nevez
729,ehemalig::A,өткен,kozh
730,ehemalig::A,бұрынғы,kozh
731,alt[Lebewesen]::A,кексе,kozh
732,jung::A,науша,yaouank
733,arm::A,кедей,paour
734,arm::A,дәулетсіз,paour
735,reich::A,малды,pinvidik
736,bekannt::A,таныс,anavezet
737,bekannt::A,көзтаныс,anavezet
738,berühmt::A,атақты,brudet
739,fremd::A,бөтен,dizanav
740,verschieden::A,түрлі,disheñel
741,nah::A,жуық,nes
742,nah::A,етене,nes
743,fern::A,алыс,diabell
744,fern::A,алыстағы,diabell
745,linker::A,сол,kleiz
746,linker::A,солшыл,kleiz
747,rechter::A,оң,dehoù
748,anderer::A,өзге,all
749,anderer::A,былайғы,all
750,erster::A,алғашқы,kentañ
751,zweiter::A,екінші,eil
752,dritter::A,үшінші,trede
753,letzter::A,артқы,diwezhañ
754,letzter::A,кейінгі,diwezhañ
755,allein::ADV,серіксіз,e-unan
756,auf einmal::ADV,бірден,ar un dro
757,zusammen::ADV,бірлесіп,asambles
758,lange::ADV,ұзақ,pell
759,plötzlich::ADV,кенет,en un taol
760,sofort::ADV,әне-міне дегенше,diouzhtu
761,später::ADV,артынан,diwezhatoc'h
762,jetzt::ADV,енді,bremañ
763,jetzt::ADV,қазір,bremañ
764,heute::ADV,бүгін,hiziv
765,morgen::ADV,ертең,arc'hoazh
766,bald::ADV,тез,hepdale
767,dann::ADV,онан соң,a-c'houde
768,dann::ADV,сонан соң,a-c'houde
769,gestern::ADV,кеше,dec'h
770,einst::ADV,бірде,gwechall
771,einst::ADV,бір кезде,gwechall
772,damals::ADV,анада,neuze
773,danach::ADV,онан соң,goude
774,danach::ADV,сонан соң,goude
775,vorher::ADV,бұрын,diagent
776,zuerst::ADV,әуелі,da gentañ
777,zuerst::ADV,алдымен,da gentañ
778,einmal::ADV,бір жолы,ur wech
779,manchmal::ADV,кейде,a-wechoù
780,oft::ADV,ылғи,alies
781,immer::ADV,өнебойы,atav
782,immer::ADV,өнебойы,bepred
783,niemals::ADV,ешуақытта,gwech ebet
784,hier::ADV,бұнда,amañ
785,hier::ADV,осында,amañ
786,hierhin::ADV,бермен,dre amañ
787,von hier::ADV,бер жақтан,alemañ
788,dort::ADV,анда,aze
789,dort::ADV,анда,ahont
790,dorthin::ADV,әрі,di
791,dorthin::ADV,әрі,aze
792,dorthin::ADV,әрі,ahont
793,geradeaus::ADV,тура,war-eeun
794,vorwärts::ADV,ілгері,war-raok
