,Concept_ID,sl,da
58,Himmel::N,nebó,himmel
59,Sonne::N,sónce,sol
60,Mond::N,lúna,måne
61,Mond::N,mésec,måne
62,Stern::N,zvézda,stjerne
63,Luft::N,zràk,luft
64,Wind::N,véter,vind
65,Welle::N,vál,bølge
66,Wasser::N,vôda,vand
67,Stein::N,kámen,sten
68,Boden::N,tlà,jord
69,Erde::N,pŕst,jord
70,Erde::N,zêmlja,jord
71,Staub::N,práh,støv
72,Rauch::N,dìm,røg
73,Funke::N,ískra,gnist
74,Feuer::N,ôgenj,ild
75,Licht::N,lúč,lys
76,Schatten::N,sénca,skygge
77,Wetter::N,vrême,vejr
78,Nebel::N,meglà,tåge
79,Wolke::N,oblák,sky
80,Regen::N,dèž,regn
81,Schnee::N,snég,sne
82,Eis::N,léd,is
83,Frost::N,zmrzál,frost
84,Kälte::N,mràz,kulde
85,Hitze::N,pripéka,hede
86,Raureif::N,ívje,rimfrost
87,Raureif::N,slána,rimfrost
88,Regenbogen::N,mávrica,regnbue
89,Donner::N,gròm,torden
90,Strömung::N,strúja,strømning
91,Tropfen::N,káplja,dråbe
92,Schaum::N,péna,skum
93,Schmutz::N,nesnága,snavs
94,See::N,jézero,sø
95,Sumpf::N,močvírje,sump
96,Moor::N,bárje,mose
97,Wiese::N,trávnik,eng
98,Wald::N,lés,skov
99,Wald::N,gòzd,skov
100,Hügel::N,brég,høj
101,Hügel::N,brég,bakke
102,Hügel::N,goríca,høj
103,Hügel::N,goríca,bakke
104,Anhöhe::N,gríč,høj
105,Anhöhe::N,gríč,bakke
106,Anhöhe::N,višína,høj
107,Anhöhe::N,višína,bakke
108,Berg::N,gôra,bjerg
109,Berg::N,planína,bjerg
110,Gipfel::N,vŕh,top
111,Höhle::N,jáma,hule
112,Höhle::N,votlína,hule
113,Abhang::N,pobóčje,skrænt
114,Abhang::N,pobóčje,skråning
115,Quelle::N,izvír,kilde
116,Bach::N,pôtok,bæk
117,Fluss::N,réka,flod
118,Ufer::N,brég,bred
119,Küste::N,obála,kyst
120,Küste::N,obréžje,kyst
121,Festland::N,celína,fastland
122,Festland::N,kopnína,fastland
123,Meer::N,mórje,hav
124,Bucht::N,zalív,bugt
125,Insel::N,ôtok,ø
126,Blume::N,cvetlíca,blomst
127,Gras::N,tráva,græs
128,Wurzel::N,korenína,rod
129,Baum::N,drevó,træ
130,Stamm::N,dêblo,stamme
131,Rinde::N,lúbje,bark
132,Rinde::N,skórja,bark
133,Ast::N,véja,gren
134,Zweig::N,véja,kvist
135,Blatt::N,líst,blad
136,Birke::N,bréza,birk
137,Kiefer[Baum]::N,bòr,fyrretræ
138,Weide[Baum]::N,vŕba,piletræ
139,Tanne::N,hója,gran
140,Horn::N,róg,horn
141,Feder::N,peró,fjer
142,Fell::N,kŕzno,skind
143,Flügel::N,krílo,vinge
144,Klaue::N,párkelj,klov
145,Kralle::N,krémpelj,klo
146,Schwanz::N,rèp,hale
147,Ei::N,jájce,æg
148,Nest::N,gnézdo,rede
149,Bau::N,brlòg,bo
150,Tier::N,živál,dyr
151,Herde::N,čréda,flok
152,Kuh::N,kráva,ko
153,Bulle::N,bìk,tyr
154,Pferd::N,kònj,hest
155,Schaf::N,ôvca,får
156,Schwein::N,svínja,gris
157,Hund::N,pès,hund
158,Katze::N,máčka,kat
159,Bär::N,mêdved,bjørn
160,Eichhörnchen::N,véverica,egern
161,Elch::N,lós,elg
162,Fuchs::N,lisíca,ræv
163,Hase::N,zájec,hare
164,Maus::N,mìš,mus
165,Wolf::N,vólk,ulv
166,Vogel::N,ptìč,fugl
167,Vogel::N,ptíca,fugl
168,Schwarm::N,játa,sværm
169,Huhn::N,kokóš,høne
170,Hahn::N,petêlin,hane
171,Gans::N,gós,gås
172,Adler::N,ôrel,ørn
173,Ente::N,ráca,and
174,Eule::N,sôva,ugle
175,Kranich::N,žerjàv,trane
176,Krähe::N,vrána,krage
177,Kuckuck::N,kúkavica,gøg
178,Schwan::N,labód,svane
179,Fisch::N,ríba,fisk
180,Barsch::N,ostríž,aborre
181,Hecht::N,ščúka,gedde
182,Schlange[Tier]::N,káča,slange
183,Wurm::N,čr̀v,orm
184,Wurm::N,glísta,orm
185,Spinne::N,pájek,edderkop
186,Ameise::N,mrávlja,myre
187,Laus::N,úš,lus
188,Mücke::N,komár,myg
189,Fliege::N,múha,flue
190,Schmetterling::N,metúlj,sommerfugl
191,Beere::N,jágoda,bær
192,Apfel::N,jábolko,æble
193,Pilz::N,góba,svamp
194,Zwiebel::N,čebúla,løg
195,Saat::N,séme,sæd
196,Korn::N,zŕno,korn
197,Heu::N,senó,hø
198,Schale::N,lupína,skræl
199,Grube::N,jáma,grav
200,Falle::N,pást,fælde
201,Schlinge::N,zánka,snare
202,Schlinge::N,pêtlja,snare
203,Spur::N,sléd,spor
204,Asche::N,pepél,aske
205,Dreck::N,bláto,snavs
206,Eisen::N,želézo,jern
207,Gold::N,zlató,guld
208,Silber::N,srebró,sølv
209,Kohle::N,ógel,kul
210,Glas::N,stêklo,glas
211,Lehm::N,ílo,ler
212,Sand::N,pések,sand
213,Mensch::N,člôvek,mennesge
214,Mann::N,móž,mand
215,Mann::N,môški,mand
216,Frau::N,gospá,kvinde
217,Frau::N,žénska,kvinde
218,Kind::N,déte,barn
219,Kind::N,otròk,barn
220,Junge::N,fànt,dreng
221,Junge::N,déček,dreng
222,Mädchen::N,deklè,pige
223,Mädchen::N,déklica,pige
224,Familie::N,družína,familie
225,Großvater::N,dèd,bedstefar
226,Großvater::N,dédek,bedstefar
227,Großmutter::N,bábica,bedstemor
228,Eltern::N,stárši,forældre
229,Vater::N,ôče,far
230,Mutter::N,máma,mor
231,Sohn::N,sín,søn
232,Tochter::N,hčí,datter
233,Tochter::N,hčérka,datter
234,Bruder::N,bràt,bror
235,Schwester::N,sêstra,søster
236,Onkel::N,újec,onkel
237,Onkel::N,stríc,onkel
238,Tante::N,têta,tante
239,Tante::N,strína,tante
240,Ehemann::N,móž,ægtemand
241,Ehemann::N,sopróg,ægtemand
242,Ehefrau::N,žêna,hustru
243,Ehefrau::N,sopróga,hustru
244,Freude::N,rádost,glæde
245,Freude::N,vesêlje,glæde
246,Gelächter::N,sméh,latter
247,Gelächter::N,grohòt,latter
248,Glück::N,sréča,lykke
249,Kummer::N,gorjé,sorg
250,Wunsch::N,žêlja,ønske
251,Lust::N,poželênje,lyst
252,Geist::N,dúša,ånd
253,Gedanke::N,mísel,tanke
254,Gedächtnis::N,pámet,hukommelse
255,Sinn::N,pomèn,mening
256,Sinn::N,pomèn,betydning
257,Sinn::N,smísel,mening
258,Sinn::N,smísel,betydning
259,Grund::N,vzròk,grund
260,Wahrheit::N,resníca,sandhed
261,Gespräch::N,pogóvor,samtale
262,Märchen::N,právljica,eventyr
263,Erzählung::N,povést,fortælling
264,Nachricht::N,sporočílo,efterretning
265,Neuigkeit::N,novóst,nyhed
266,Name::N,imé,navn
267,Rätsel::N,ugánka,gåde
268,Rede::N,góvor,tale
269,Sprache::N,jêzik,sprog
270,Stimme::N,glás,stemme
271,Wort::N,beséda,ord
272,Zeichen::N,znák,tegn
273,Ruf::N,klíc,råb
274,Lärm::N,hrúp,larm
275,Lärm::N,trúšč,larm
276,Laut::N,glás,lyd
277,Ton::N,tón,tone
278,Lied::N,pésem,sang
279,Ruhe::N,pokòj,ro
280,Ruhe::N,pokòj,hvile
281,Leute::N,ljudjé,folk
282,Leute::N,ljudjé,mennesker
283,Volk::N,národ,folk
284,Arbeit::N,délo,arbejde
285,Gast::N,gòst,gæst
286,Geschenk::N,darílo,gave
287,Spiel::N,ígra,leg
288,Gesellschaft::N,drúžba,selskab
289,Hilfe::N,pomóč,hjælp
290,Freund::N,prijátelj,ven
291,Kamerad::N,továriš,kammerat
292,Angelegenheit::N,zadéva,sag
293,Angelegenheit::N,zadéva,anliggende
294,Anzahl::N,števílo,antal
295,Art::N,vŕsta,art
296,Stück::N,kós,stykke
297,Teil::N,dél,del
298,Hälfte::N,polovíca,halvdel
299,Kreis::N,króg,cirkel
300,Kreis::N,kolobár,cirkel
301,Kreuz::N,kríž,kors
302,Kreuz::N,kríž,kryds
303,Linie::N,próga,linie
304,Strich::N,čŕta,streg
305,Abstand::N,preslédek,afstand
306,Entfernung::N,oddáljenost,afstand
307,Gegend::N,kràj,egn
308,Gegend::N,dežêla,egn
309,Platz::N,prôstor,plads
310,Ort::N,mésto,sted
311,Seite::N,bòk,side
312,Seite::N,strán,side
313,Mitte::N,sredína,midte
314,Gegenstand::N,prédmet,genstand
315,Sache::N,réč,sag
316,Sache::N,stvár,sag
317,Rand::N,kràj,rand
318,Kante::N,rób,kant
319,Ecke::N,vogál,hjørne
320,Spitze::N,óst,spids
321,Ende::N,kônec,ende
322,Loch::N,lúknja,hul
323,Winkel::N,kót,vinkel
324,Muster::N,vzórec,mønster
325,Größe::N,veličína,størrelse
326,Länge::N,dolžína,længde
327,Höhe::N,vršína,højde
328,Gewicht::N,téža,vægt
329,Menge::N,količína,mængde
330,Haufen::N,kùp,bunke
331,Haufen::N,kopíca,bunke
332,Reihe::N,níz,række
333,Reihe::N,vŕsta,række
334,Boot::N,čóln,båd
335,Ruder::N,vêslo,åre
336,Schlitten::N,saní,kælk
337,Schlitten::N,saní,slæde
338,Ski::N,smučí,ski
339,Lagerfeuer::N,táborni ôgenj,lejrbål
340,Last::N,tôvor,last
341,Last::N,tôvor,byrde
342,Gang::N,hòd,gang
343,Schritt::N,korák,skridt
344,Norden::N,séver,nord
345,Süden::N,júg,syd
346,Westen::N,zapàd,vest
347,Osten::N,vzhòd,øst
348,Holz::N,lés,træ
349,Brett::N,deskà,bræt
350,Platte::N,plôča,plade
351,Stütze::N,opóra,støtte
352,Stütze::N,zaslómba,støtte
353,Stange::N,gréd,stang
354,Stock::N,pálica,stok
355,Stab::N,pálica,stav
356,Rohr::N,cév,rør
357,Haus::N,híša,hus
358,Heim::N,dóm,hjem
359,Ofen::N,péč,ovn
360,Fußboden::N,pòd,gulv
361,Tisch::N,míza,bord
362,Stuhl::N,stòl,stol
363,Wiege::N,zíbel,vugge
364,Bett::N,póstelja,seng
365,Regal::N,políca,reol
366,Kiste::N,zabòj,kasse
367,Fenster::N,ôkno,vindue
368,Tür::N,vráta,dør
369,Tor::N,velíka vráta,port
370,Zaun::N,ográja,stakit
371,Dach::N,stréha,tag
372,Leiter::N,léstev,stige
373,Besen::N,mêtla,kost
374,Spaten::N,lopáta,spade
375,Schaufel::N,lopáta,skovl
376,Gabel::N,vílice,gaffel
377,Löffel::N,žlíca,ske
378,Messer::N,nòž,kniv
379,Nagel::N,žebèlj,søm
380,Netz::N,mréža,net
381,Haken::N,kljúka,krog
382,Griff::N,ročáj,tag
383,Griff::N,ročáj,håndtag
384,Griff::N,oprijèm,tag
385,Griff::N,oprijèm,håndtag
386,Schloss::N,ključávnica,lås
387,Bild::N,slíka,billede
388,Figur::N,figúra,figur
389,Figur::N,postáva,figur
390,Puppe::N,lútka,dukke
391,Beutel::N,môšnja,pose
392,Bündel::N,cúla,bylt
393,Bündel::N,cúla,bundt
394,Bündel::N,svéženj,bylt
395,Bündel::N,svéženj,bundt
396,Tasche::N,tórba,taske
397,Tasche::N,tobôlec,taske
398,Eimer::N,vêdro,spand
399,Deckel::N,pokròv,låg
400,Deckel::N,poklópec,låg
401,Geschirr::N,posóda,husgeråd
402,Sack::N,vréča,sæk
403,Tasse::N,skodélica,kop
404,Topf::N,lônec,gryde
405,Kessel::N,kôtel,kedel
406,Essen::N,hrána,måltid
407,Nahrung::N,živílo,mad
408,Nahrung::N,živílo,næring
409,Speise::N,jéd,ret
410,Fleisch::N,mesó,kød
411,Getreide::N,žíto,korn
412,Brei::N,káša,grød
413,Brot::N,krùh,brød
414,Scheibe::N,réženj,skive
415,Fett::N,mást,fedt
416,Fett::N,maščôba,fedt
417,Butter::N,máslo,smør
418,Öl::N,ólje,olie
419,Salz::N,sól,salt
420,Suppe::N,júha,suppe
421,Honig::N,méd,honning
422,Milch::N,mléko,mælk
423,Tee::N,čáj,te
424,Leder::N,úsnje,skind
425,Wolle::N,vólna,uld
426,Stoff::N,blagó,stof
427,Nadel::N,ígla,nål
428,Faden::N,nít,tråd
429,Knopf::N,gúmb,knap
430,Knoten::N,vôzel,knude
431,Farbe::N,bárva,farve
432,Kleidung::N,obléka,påklædning
433,Hemd::N,srájca,skjorte
434,Kragen::N,ovrátnik,krave
435,Ärmel::N,rokáv,ærme
436,Hose::N,hláče,bukser
437,Gürtel::N,pás,bælte
438,Mütze::N,kápa,hue
439,Mütze::N,čépica,hue
440,Schuh::N,čévelj,sko
441,Stiefel::N,škórenj,støvle
442,Ring::N,pŕstan,ring
443,Band::N,trák,bånd
444,Kamm::N,glavník,kam
445,Spiegel::N,zrcálo,spejl
446,Spiegel::N,ogledálo,spejl
447,Riemen::N,jêrmen,rem
448,Schnur::N,vŕvca,snor
449,Leine::N,konôpec,snor
450,Decke::N,odéja,tæppe
451,Kissen::N,blazína,pude
452,Tuch::N,pŕt,sjaltørklæde
453,Tuch::N,rúta,sjaltørklæde
454,Handtuch::N,brisáča,håndklæde
455,Kraft::N,síla,kraft
456,Stärke::N,jákost,styrke
457,Gesundheit::N,zdrávje,sundhed
458,Krankheit::N,bolézen,sygdom
459,Schmerz::N,ból,smerte
460,Schmerz::N,bolečína,smerte
461,Wunde::N,rána,sår
462,Fieber::N,vročína,feber
463,Arznei::N,lék,medicin
464,Arznei::N,lék,lægemiddel
465,Arznei::N,zdravílo,medicin
466,Arznei::N,zdravílo,lægemiddel
467,Brücke::N,móst,bro
468,Brunnen::N,vodnják,brønd
469,Weide::N,páša,græsgang
470,Pfad::N,stezà,sti
471,Weg::N,pót,vej
472,Straße::N,césta,gade
473,Dorf::N,vás,landsby
474,Stadt::N,mésto,by
475,Brief::N,písmo,brev
476,Buch::N,knjíga,bog
477,Buchstabe::N,čŕka,bogstav
478,Zeitung::N,čásnik,avis
479,Leben::N,življênje,liv
480,Tod::N,smŕt,død
481,Grab::N,gròb,grav
482,Kirche::N,cérkev,kirke
483,Sünde::N,gréh,synd
484,Gott::N,bóg,gud
485,Arbeiter::N,délavec,arbejder
486,Chef::N,šéf,chef
487,Meister::N,mójster,mester
488,Arzt::N,zdravník,læge
489,Lehrer::N,učítelj,lærer
490,Geld::N,denár,penge
491,Geschäft::N,kupčíja,forretning
492,Laden::N,trgovína,butik
493,Laden::N,trgovína,forretning
494,Preis::N,céna,pris
495,Ware::N,róba,vare
496,Nutzen::N,príd,nytte
497,Reichtum::N,bogástvo,rigdom
498,Welt::N,svét,verden
499,Land::N,dežêla,land
500,Staat::N,držáva,stat
501,König::N,králj,konge
502,Macht::N,oblást,magt
503,Grenze::N,mêja,grænse
504,Krieg::N,vôjna,krig
505,Feind::N,sovrážnik,fjende
506,Gewalt::N,nasílje,vold
507,Kampf::N,bòj,kamp
508,Kampf::N,bórba,kamp
509,Bogen[Waffe]::N,lók,bue
510,Pfeil::N,puščíca,pil
511,Gewehr::N,púška,gevær
512,Fehler::N,zmóta,fejl
513,Lüge::N,láž,løgn
514,Schaden::N,okvára,skade
515,Unglück::N,nesréča,uheld
516,Unglück::N,nesréča,ulykke
517,Schuld::N,krívda,skyld
518,Alter::N,dôba,alder
519,Schluss::N,kônec,slut
520,Schluss::N,kônec,slutning
521,Zeit::N,čàs,tid
522,Tag::N,dán,dag
523,Morgen::N,jútro,morgen
524,Mittag::N,póldan,middag
525,Abend::N,večér,aften
526,Nacht::N,nóč,nat
527,Woche::N,téden,uge
528,Monat::N,mésec,måned
529,Jahr::N,léto,år
530,Frühling::N,pomlád,forår
531,Sommer::N,polétje,sommer
532,Herbst::N,jesén,efterår
533,Winter::N,zíma,vinter
534,Januar::N,jánuar,januar
535,Februar::N,fébruar,februar
536,März::N,márec,marts
537,April::N,apríl,april
538,Mai::N,máj,maj
539,Juni::N,júnij,juni
540,Juli::N,júlij,juli
541,August::N,avgúst,august
542,September::N,septêmber,september
543,Oktober::N,október,oktober
544,November::N,novêmber,november
545,Dezember::N,decémber,december
546,Montag::N,ponedéljek,mandag
547,Dienstag::N,tôrek,tirsdag
548,Mittwoch::N,sréda,onsdag
549,Donnerstag::N,četŕtek,torsdag
550,Freitag::N,pétek,fredag
551,Samstag::N,sobóta,lørdag
552,Sonntag::N,nedélja,søndag
553,groß::A,vêlik,stor
554,klein::A,májhen,lille
555,lang::A,dólg,lang
556,kurz::A,krátek,kort
557,breit::A,širòk,bred
558,schmal::A,ózek,smal
559,dicht::A,góst,tæt
560,dick[Gegenstand]::A,dêbel,tyk
561,dünn::A,tánek,tynd
562,fein::A,drôben,fin
563,fest::A,tŕden,fast
564,flach::A,plán,flad
565,flach::A,plòsk,flad
566,glatt::A,gládek,glat
567,hart::A,tŕd,hård
568,weich::A,mehák,blød
569,rund::A,okrógel,rund
570,spitz::A,šílast,spids
571,scharf::A,óster,skarp
572,stumpf::A,tóp,sløv
573,stumpf::A,tóp,stump
574,stumpf::A,skŕhan,sløv
575,stumpf::A,skŕhan,stump
576,schwer::A,têžek,tung
577,schön::A,lép,skøn
578,schön::A,krásen,skøn
579,heiß::A,vròč,hed
580,warm::A,tôpel,varm
581,kalt::A,mŕzel,kold
582,kalt::A,hláden,kold
583,kühl::A,hláden,kølig
584,frisch::A,svéž,frisk
585,feucht::A,vlážen,fugtig
586,nass::A,móker,våd
587,trocken::A,súh,tør
588,voll::A,póln,fuld
589,leer::A,prázen,tom
590,offen::A,odpŕt,åben
591,geschlossen::A,zapŕt,lukket
592,sauber::A,číst,ren
593,sauber::A,líčen,ren
594,schmutzig::A,umázan,snavset
595,roh::A,suròv,rå
596,reif::A,zrèl,moden
597,lecker::A,okúsen,lækker
598,süß::A,sládek,sød
599,bitter::A,grenák,bitter
600,sauer::A,kísel,sur
601,hell::A,svetèl,lys
602,dunkel::A,temèn,mørk
603,schwarz::A,čŕn,sort
604,weiß::A,bél,hvid
605,rot::A,rdèč,rød
606,gelb::A,žólt,gul
607,gelb::A,rumèn,gul
608,blau::A,móder,blå
609,grün::A,zelèn,grøn
610,grau::A,sív,grå
611,bunt::A,písan,broget
612,billig::A,pocéni,billig
613,teuer::A,drág,dyr
614,wertvoll::A,dragocén,værdifuld
615,blind::A,slép,blind
616,taub::A,glúh,døv
617,kräftig::A,močán,kraftig
618,stark::A,ják,stærk
619,schwach::A,šíbek,svag
620,fett::A,dêbel,fed
621,schlank::A,vítek,slank
622,hübsch::A,lép,køn
623,böse::A,zèl,ond
624,böse::A,zèl,slem
625,böse::A,hudôben,ond
626,böse::A,hudôben,slem
627,dumm::A,glúp,dum
628,dumm::A,bédast,dum
629,faul::A,lén,doven
630,fleißig::A,marljív,flittig
631,geizig::A,škŕt,gerrig
632,klug::A,pámeten,klog
633,geschickt::A,spréten,dygtig
634,geschickt::A,spréten,behændig
635,lieb::A,míl,rar
636,lieb::A,ljúb,rar
637,lustig::A,vesél,lystig
638,sanft::A,láhek,blid
639,hungrig::A,láčen,sulten
640,krank::A,bolán,syg
641,nackt::A,nág,nøgen
642,traurig::A,túžen,bedrøvet
643,lebendig::A,žív,levende
644,gut::A,dóber,god
645,schlecht::A,malopríden,dårlig
646,richtig::A,pravílen,rigtig
647,schlimm::A,húd,slem
648,wahr::A,resníčen,sand
649,alt::A,stàr,gammel
650,neu::A,nòv,ny
651,ehemalig::A,nekdánji,forhenværende
652,alt[Lebewesen]::A,stàr,gammel
653,jung::A,mlád,ung
654,arm::A,ubóg,fattig
655,arm::A,réven,fattig
656,reich::A,bogàt,rig
657,bekannt::A,znán,kendt
658,berühmt::A,sláven,berømt
659,berühmt::A,znamenít,berømt
660,fremd::A,túj,fremmed
661,verschieden::A,razlíčen,forskellig
662,nah::A,blížnji,nær
663,fern::A,dáleč,fjern
664,linker::A,lévi,venstre
665,rechter::A,désni,højre
666,anderer::A,drúgi,anden
667,erster::A,pŕvi,første
668,zweiter::A,drúgi,anden
669,dritter::A,trétji,tredje
670,letzter::A,poslédnji,sidste
671,allein::ADV,sám,alene
672,auf einmal::ADV,obênem,på én gang
673,zusammen::ADV,skúpaj,sammen
674,lange::ADV,dólgo,længe
675,plötzlich::ADV,náglo,pludselig
676,plötzlich::ADV,nenádoma,pludselig
677,sofort::ADV,prècej,straks
678,später::ADV,poznêje,senere
679,jetzt::ADV,zdàj,nu
680,heute::ADV,dánes,i dag
681,morgen::ADV,jútri,i morgen
682,bald::ADV,kmálu,snart
683,dann::ADV,nató,så
684,gestern::ADV,včéraj,i går
685,einst::ADV,nékdaj,engang
686,damals::ADV,tedàj,dengang
687,damals::ADV,takràt,dengang
688,danach::ADV,potèm,derefter
689,vorher::ADV,poprèj,før
690,vorher::ADV,poprèj,forud
691,zuerst::ADV,spŕva,først
692,einmal::ADV,ênkrat,en gang
693,manchmal::ADV,včásih,sommetider
694,oft::ADV,pogósto,ofte
695,immer::ADV,védno,altid
696,immer::ADV,zméraj,altid
697,niemals::ADV,nikdàr,aldrig
698,hier::ADV,tù,her
699,hier::ADV,túkaj,her
700,hierhin::ADV,sèmkaj,hid
701,hierhin::ADV,sèmkaj,herhen
702,von hier::ADV,od tú,herfra
703,dort::ADV,tàm,der
704,dorthin::ADV,tjà,derhen
705,geradeaus::ADV,rávno napréj,lige ud
706,vorwärts::ADV,napréj,fremad
707,rückwärts::ADV,zádaj,baglæns
708,zurück::ADV,nazáj,tilbage
709,unten::ADV,dôli,nede
710,unten::ADV,dôli,forneden
711,unten::ADV,spôdaj,nede
712,unten::ADV,spôdaj,forneden
713,hinab::ADV,dôl,ned
714,hinab::ADV,dôl,nedad
715,oben::ADV,gôri,oppe
716,oben::ADV,gôri,ovenpå
717,oben::ADV,zgôraj,oppe
718,oben::ADV,zgôraj,ovenpå
719,hinauf::ADV,gôr,op
720,hinauf::ADV,gôr,opad
721,überall::ADV,povsód,overalt
722,nicht::ADV,ne,ikke
723,ein wenig::ADV,málo,lidt
724,kaum::ADV,kómaj,knap
725,kaum::ADV,kómaj,næppe
726,sehr::ADV,zeló,meget
727,so::ADV,takó,så
728,noch::ADV,še,endnu
729,nur::ADV,samó,kun
730,nur::ADV,samó,bare
731,schon::ADV,žè,alt
732,schon::ADV,žè,allerede
733,wieder::ADV,spét,igen
734,vergebens::ADV,zamàn,forgæves
735,vergebens::ADV,zastónj,forgæves
736,vor::PRP,pred,foran
737,vor::PRP,pred,uden for
738,hinter::PRP,za,bag
739,hinter::PRP,za,bagved
740,unter::PRP,pod,under
741,durch::PRP,skózi,gennem
742,durch::PRP,skózi,igennem
743,neben::PRP,kràj,ved siden af
744,neben::PRP,póleg,ved siden af
745,zwischen::PRP,med,mellem
746,zwischen::PRP,izmed,mellem
747,wegen::PRP,zarádi,på grund af
748,dies::PRN,tó,dette
749,das::PRN,tó,det
750,alles::PRN,vsè,alt
751,ich::PRN,jàz,jeg
752,du::PRN,tí,du
753,er::PRN,òn,han
754,wir::PRN,mí,vi
755,ihr::PRN,ví,I
756,sie::PRN,ôni,de
757,was::FPRN,káj,hvad
758,wer::FPRN,kdó,hvem
759,wo::FADV,kjé,hvor
760,wohin::FADV,kám,hvorhen
761,wie::FADV,kakó,hvordan
762,warum::FADV,zakáj,hvorfor
763,wieviel::FNUM,kóliko,hvor meget
764,eins::NUM,êden,én
765,zwei::NUM,dvá,to
766,drei::NUM,trí,tre
767,vier::NUM,štíri,fire
768,fünf::NUM,pét,fem
769,sechs::NUM,šést,seks
770,sieben::NUM,sédem,syv
771,acht::NUM,ósem,otte
772,neun::NUM,devét,ni
773,zehn::NUM,desét,ti
774,elf::NUM,enájst,elleve
775,zwölf::NUM,dvánajst,tolv
776,zwanzig::NUM,dvájset,tyve
777,dreißig::NUM,trídeset,tredive
778,vierzig::NUM,štírideset,fyrre
779,vierzig::NUM,štírideset,fyrretyve
780,fünfzig::NUM,pétdeset,halvtreds
781,sechzig::NUM,šéstdeset,tres
782,siebzig::NUM,sédemdeset,halvfjerds
783,achtzig::NUM,ósemdeset,firs
784,neunzig::NUM,devétdeset,halvfems
785,hundert::NUM,stó,hundrede
786,tausend::NUM,tísoč,tusind
787,und::CNJ,in,og
788,oder::CNJ,áli,eller
789,stehen::V,státi,stå
790,sitzen::V,sedéti,sidde
791,liegen::V,ležáti,ligge
792,hängen::V,viséti,hænge
793,werden::V,postáti,blive
794,passieren::V,zgodíti se,ske
795,passieren::V,zgodíti se,hænde
796,beginnen::V,začéti se,begynde
797,enden::V,končáti se,ende
798,wechseln::V,ménjati se,veksle
799,aufgehen[Sonne]::V,vzíti,gå op
800,aufgehen[Sonne]::V,vzíti,stå op
801,untergehen[Sonne]::V,zaíti,gå ned
802,scheinen[Sonne]::V,sijáti,skinne
803,donnern::V,grméti,tordne
804,wehen::V,píhati,blæse
805,strömen::V,líti,strømme
806,fließen::V,têči,flyde
807,sich drehen::V,vrtéti se,dreje sig
808,schwanken::V,kolébati,vakle
809,schwingen::V,níhati,svinge
810,fallen::V,pádati,falde
811,brennen::V,goréti,brænde
812,rauchen::V,kadíti se,ryge
813,regnen::V,deževáti,regne
814,gefrieren::V,zmŕzniti,fryse
815,tauen::V,tájati,tø
816,schmelzen::V,kopnéti,smelte
817,trocknen::V,sušíti se,tørre
818,sieden::V,kipéti,koge
819,faulen::V,gníti,rådne
820,verfaulen::V,zgníti,rådne
821,reißen::V,tŕgati se,briste
822,versinken::V,pogrézniti se,synke
823,versinken::V,pogrézniti se,synke ned
824,vergehen::V,miníti,forløbe
825,erscheinen::V,pojáviti se,vise sig
826,verschwinden::V,izgíniti,forsvinde
827,sinken::V,péšati,synke
828,abnehmen::V,pojémati,aftage
829,zunehmen::V,véčati se,tiltage
830,zunehmen::V,množíti se,tiltage
831,steigen::V,dvígati se,stige
832,wachsen::V,rásti,gro
