,Concept_ID,da,ab
123,Ast::N,gren,амахəҭа
124,Zweig::N,kvist,амахə
125,Zweig::N,kvist,амахəҭа
126,Blatt::N,blad,абҕьы
127,Birke::N,birk,аҵааҵла
128,Kiefer[Baum]::N,fyrretræ,амза
129,Weide[Baum]::N,piletræ,аҧслыш
130,Tanne::N,gran,аҧсаӡ
131,Horn::N,horn,атəыҩа
132,Feder::N,fjer,ахӡы
133,Fell::N,skind,ацəа
134,Flügel::N,vinge,амҵəыжəа
135,Klaue::N,klov,ашьапхыц
136,Kralle::N,klo,
137,Schwanz::N,hale,аҵыхəа
138,Ei::N,æg,акəтаӷь
139,Nest::N,rede,аҭра
140,Nest::N,rede,аҵысҭра
141,Bau::N,bo,аҭыҩра
142,Tier::N,dyr,аҧстəы
143,Tier::N,dyr,агыгшəыг
144,Herde::N,flok,агəарҭа
145,Kuh::N,ko,ажə
146,Bulle::N,tyr,ацə
147,Pferd::N,hest,аҽы
148,Schaf::N,får,ауаса
149,Schwein::N,gris,аҳəа
150,Hund::N,hund,ала
151,Katze::N,kat,ацгəы
152,Bär::N,bjørn,амшə
153,Eichhörnchen::N,egern,аеш
154,Elch::N,elg,аҽаҩа
155,Fuchs::N,ræv,абгахəыҷы
156,Hase::N,hare,ажьа
157,Maus::N,mus,аҳəынаҧ
158,Wolf::N,ulv,абгаду
159,Vogel::N,fugl,аҧсаатə
160,Schwarm::N,sværm,
161,Huhn::N,høne,акəты
162,Hahn::N,hane,арбаҕь
163,Gans::N,gås,аҟыз
164,Adler::N,ørn,ауарба
165,Ente::N,and,акəата
166,Eule::N,ugle,аты
167,Kranich::N,trane,апҟа
168,Krähe::N,krage,аҟəараан
169,Kuckuck::N,gøg,акəыкəу
170,Schwan::N,svane,агьад
171,Fisch::N,fisk,аҧсыӡ
172,Barsch::N,aborre,ацəыбла
173,Hecht::N,gedde,ахиаала
174,Schlange[Tier]::N,slange,амаҭ
175,Wurm::N,orm,ахəа
176,Wurm::N,orm,ахəац
177,Spinne::N,edderkop,абызкаҭаҳа
178,Ameise::N,myre,ашышкамс
179,Laus::N,lus,аҵа
180,Mücke::N,myg,акəыбры
181,Fliege::N,flue,амҵ
182,Schmetterling::N,sommerfugl,аҧарҧалыкь
183,Beere::N,bær,аргуц
184,Apfel::N,æble,аҵəа
185,Pilz::N,svamp,акəкəбаа
186,Zwiebel::N,løg,аџьымшьы
187,Zwiebel::N,løg,аџьымшьхы
188,Saat::N,sæd,ажəла
189,Korn::N,korn,арыц
190,Heu::N,hø,аҭəа
191,Schale::N,skræl,ацəа
192,Grube::N,grav,ажра
193,Grube::N,grav,атыша
194,Falle::N,fælde,арыҧҟьа
195,Schlinge::N,snare,аҟəараҟəантə
196,Spur::N,spor,ашьҭа
197,Asche::N,aske,ахəа
198,Dreck::N,snavs,аҳəынҵəа
199,Dreck::N,snavs,аҟьамсар
200,Eisen::N,jern,аиха
201,Gold::N,guld,ахьы
202,Silber::N,sølv,аразны
203,Kohle::N,kul,арацəа
204,Glas::N,glas,асаркьа
205,Lehm::N,ler,анышəаҧшь
206,Sand::N,sand,аҧслымӡ
207,Mensch::N,mennesge,ауаҩы
208,Mann::N,mand,ахаҵа
209,Frau::N,kvinde,аҧҳəыс
210,Kind::N,barn,ахəыҷы
211,Junge::N,dreng,аҷкəын
212,Junge::N,dreng,ахаҵарҧыс
213,Mädchen::N,pige,аӡӷаб
214,Familie::N,familie,аҭаацəа
215,Großvater::N,bedstefar,абду
216,Großmutter::N,bedstemor,анду
217,Eltern::N,forældre,ани аби
218,Vater::N,far,аб
219,Mutter::N,mor,ан
220,Sohn::N,søn,аҧа
221,Tochter::N,datter,аҧҳа
222,Bruder::N,bror,аиашьа
223,Schwester::N,søster,Аҳəшьа
224,Onkel::N,onkel,абиашьа
225,Onkel::N,onkel,аншьа
226,Tante::N,tante,абиаҳəшьа
227,Ehemann::N,ægtemand,ахаҵа
228,Ehemann::N,ægtemand,аҧшəма
229,Ehefrau::N,hustru,аҧҳəыс
230,Freude::N,glæde,агəырӷьара
231,Gelächter::N,latter,ачча
232,Gelächter::N,latter,аччара
233,Glück::N,lykke,аразҟы
234,Kummer::N,sorg,агəырҩа
235,Wunsch::N,ønske,агəхəтəы
236,Wunsch::N,ønske,аҭахра
237,Lust::N,lyst,агəазыҳəара
238,Geist::N,ånd,аҧсы
239,Gedanke::N,tanke,ахəыцырҭа
240,Gedächtnis::N,hukommelse,агəынкылара
241,Verstand::N,forstand,ахшыҩ
242,Sinn::N,mening,аҵакы
243,Sinn::N,betydning,аҵакы
244,Grund::N,grund,амзыз
245,Wahrheit::N,sandhed,аиаша
246,Gespräch::N,samtale,аиҿцәажәара
247,Märchen::N,eventyr,алакə
248,Erzählung::N,fortælling,ажәабжь
249,Nachricht::N,efterretning,адырраҭара
250,Neuigkeit::N,nyhed,ажәабжь ҿыц
251,Name::N,navn,ахьӡ
252,Rätsel::N,gåde,ацуфара
253,Rede::N,tale,ажәа
254,Sprache::N,sprog,абызшəа
255,Stimme::N,stemme,абжьы
256,Wort::N,ord,ажәа
257,Zeichen::N,tegn,адырга
258,Ruf::N,råb,аҿҭы
259,Lärm::N,larm,ашьҭыбжь
260,Laut::N,lyd,ашьҭыбжь
261,Ton::N,tone,атон
262,Lied::N,sang,ашəа
263,Ruhe::N,ro,аҭынчра
264,Ruhe::N,hvile,аҭынчра
265,Leute::N,folk,ауаа
266,Leute::N,mennesker,ауаа
267,Volk::N,folk,ажəлар
268,Arbeit::N,arbejde,аусура
269,Gast::N,gæst,асас
270,Geschenk::N,gave,аҳамҭа
271,Geschenk::N,gave,аҿанҵа
272,Spiel::N,leg,ахəмарра
273,Gesellschaft::N,selskab,агəыҧ
274,Hilfe::N,hjælp,ацхыраара
275,Freund::N,ven,аҩыза
276,Kamerad::N,kammerat,Аҧхнагьла
277,Angelegenheit::N,sag,аус
278,Angelegenheit::N,anliggende,аус
279,Anzahl::N,antal,ахыҧхьаӡара
280,Art::N,art,ахкы
281,Stück::N,stykke,аҽыҭ
282,Teil::N,del,ахəҭа
283,Hälfte::N,halvdel,абжа
284,Kreis::N,cirkel,агьагьа
285,Kreuz::N,kors,аџьар
286,Kreuz::N,kryds,аџьар
287,Linie::N,linie,аицтәар
288,Strich::N,streg,ацəаҳəа
289,Abstand::N,afstand,абжьара
290,Entfernung::N,afstand,абжьара
291,Gegend::N,egn,аҭыҧ
292,Platz::N,plads,аҭыҧ
293,Ort::N,sted,аҭыҧ
294,Seite::N,side,аган
295,Mitte::N,midte,агəҭа
296,Gegenstand::N,genstand,амаҭəар
297,Sache::N,sag,
298,Rand::N,rand,аҵкар
299,Kante::N,kant,авардым
300,Ecke::N,hjørne,акəакь
301,Spitze::N,spids,аҧынҵа
302,Ende::N,ende,анаӡара
303,Loch::N,hul,акылҵəара
304,Winkel::N,vinkel,агҿаҩра
305,Winkel::N,vinkel,акəындхə
306,Winkel::N,vinkel,акəакь
307,Muster::N,mønster,аҟҟа
308,Größe::N,størrelse,изаҟароу
309,Länge::N,længde,аура
310,Höhe::N,højde,агылара
311,Gewicht::N,vægt,акапан
312,Menge::N,mængde,
313,Haufen::N,bunke,ачаҟəа
314,Reihe::N,række,ацəаҳəа
315,Boot::N,båd,анышь
316,Ruder::N,åre,ажəҩа
317,Schlitten::N,kælk,ашəаҩауардын
318,Schlitten::N,slæde,ашəаҩауардын
319,Ski::N,ski,ашəаҩа
320,Ski::N,ski,ашьахаха
321,Lagerfeuer::N,lejrbål,еиқуу амца
322,Last::N,last,ахьанҭара
323,Last::N,byrde,ахьанҭара
324,Gang::N,gang,аныҟəара
325,Schritt::N,skridt,ашьаҿа
326,Norden::N,nord,аҩада
327,Süden::N,syd,алада
328,Westen::N,vest,амраҭашəара
329,Osten::N,øst,амрагылара
330,Holz::N,træ,амҿымаҭəахə
331,Brett::N,bræt,аӷəы
332,Platte::N,plade,ахаҳәцәы
333,Stütze::N,støtte,аҵаргəа
334,Stütze::N,støtte,агəышьаҟа
335,Stange::N,stang,акьат
336,Stock::N,stok,алаба
337,Stab::N,stav,акьат
338,Rohr::N,rør,абыкь
339,Haus::N,hus,аҩны
340,Heim::N,hjem,аҭаацəа
341,Ofen::N,ovn,аҳақə
342,Ofen::N,ovn,ауаџьаҟ
343,Ofen::N,ovn,афрына
344,Fußboden::N,gulv,адашьма
345,Tisch::N,bord,аишәа
346,Stuhl::N,stol,аҟəардə
347,Wiege::N,vugge,агара
348,Bett::N,seng,акаруаҭ
349,Regal::N,reol,акыӷəра
350,Kiste::N,kasse,аидчаҧала
351,Fenster::N,vindue,аҧенџьыр
352,Tür::N,dør,ашə
353,Tor::N,port,агəашə
354,Zaun::N,stakit,аанда
355,Dach::N,tag,ахыб
356,Leiter::N,stige,амардуан
357,Besen::N,kost,аҧссага
358,Spaten::N,spade,ажыга
359,Schaufel::N,skovl,аҭəарӷəы
360,Gabel::N,gaffel,ачқьыҧ
361,Löffel::N,ske,амҳаҵə
362,Messer::N,kniv,аҳəызба
363,Nagel::N,søm,аҵəымӷ
364,Netz::N,net,акаҭа
365,Haken::N,krog,аҵəаҳə
366,Griff::N,tag,амаа
367,Griff::N,håndtag,амаа
368,Schloss::N,lås,асаҧаҭ
369,Bild::N,billede,асахьа
370,Figur::N,figur,афигура
371,Puppe::N,dukke,акьанџьа
372,Beutel::N,pose,асакь
373,Bündel::N,bylt,аҿаҳəара
374,Bündel::N,bundt,аҿаҳəара
375,Tasche::N,taske,арҭмаҟ
376,Eimer::N,spand,аведра
377,Deckel::N,låg,ахҩа
378,Geschirr::N,husgeråd,ачысмаҭəа
379,Sack::N,sæk,асакь
380,Tasse::N,kop,аҵəца
381,Topf::N,gryde,акаструлиа
382,Kessel::N,kedel,ачуан
383,Essen::N,måltid,
384,Nahrung::N,mad,афатə
385,Nahrung::N,næring,афатə
386,Speise::N,ret,афатə
387,Fleisch::N,kød,акəац
388,Getreide::N,korn,ачакуа
389,Brei::N,grød,ақашь
390,Brot::N,brød,ача
391,Scheibe::N,skive,аҽыҭ
392,Scheibe::N,skive,аҿаҵа
393,Fett::N,fedt,ашша
394,Butter::N,smør,ахəша
395,Öl::N,olie,азеҭ
396,Salz::N,salt,аџьыка
397,Suppe::N,suppe,асуҧ
398,Honig::N,honning,ацха
399,Milch::N,mælk,ахш
400,Tee::N,te,ачаи
401,Leder::N,skind,ацəа
402,Wolle::N,uld,аласа
403,Stoff::N,stof,Аба
404,Nadel::N,nål,агəыр
405,Faden::N,tråd,арахəыц
406,Knopf::N,knap,аҳəынҵəра
407,Knoten::N,knude,аиқəҳəала
408,Farbe::N,farve,ашəыга
409,Kleidung::N,påklædning,амаҭəа
410,Hemd::N,skjorte,акьаҿ
411,Kragen::N,krave,ахəда
412,Ärmel::N,ærme,амаӷра
413,Hose::N,bukser,аиқəа
414,Gürtel::N,bælte,амаҟа
415,Mütze::N,hue,ахылҧа
416,Schuh::N,sko,аимаа
417,Stiefel::N,støvle,амагə
418,Ring::N,ring,амацəаз
419,Band::N,bånd,алента
420,Kamm::N,kam,ахҳəа
421,Spiegel::N,spejl,асаркьа
422,Riemen::N,rem,аа
423,Schnur::N,snor,ашаха
424,Leine::N,snor,аҕура
425,Decke::N,tæppe,ахыза
426,Kissen::N,pude,ахчы
427,Tuch::N,sjaltørklæde,акасы
428,Handtuch::N,håndklæde,ампахьшьы
429,Kraft::N,kraft,амч
430,Stärke::N,styrke,амч
431,Gesundheit::N,sundhed,агəабзиара
432,Krankheit::N,sygdom,ачымазара
433,Schmerz::N,smerte,ахьаа
434,Wunde::N,sår,ахəра
435,Fieber::N,feber,ашоура
436,Arznei::N,medicin,ахəшə
437,Arznei::N,lægemiddel,ахəшə
438,Brücke::N,bro,ацҳа
439,Brunnen::N,brønd,аҵыџь
440,Weide::N,græsgang,аҳəырҭа
441,Pfad::N,sti,амхəасҭа
442,Weg::N,vej,амҩа
443,Straße::N,gade,амҩа
444,Dorf::N,landsby,ақыҭа
445,Stadt::N,by,ақалақь
446,Brief::N,brev,ашəҟəы
447,Buch::N,bog,ашəҟəы
448,Buchstabe::N,bogstav,анбан
449,Zeitung::N,avis,агазеҭ
450,Leben::N,liv,аҧсҭазаара
451,Tod::N,død,аҧсра
452,Grab::N,grav,анышəынҭра
453,Kirche::N,kirke,ауахəама
454,Sünde::N,synd,агəнаҳа
455,Gott::N,gud,анцəа
456,Arbeiter::N,arbejder,аусуҩ
457,Chef::N,chef,Аиҳабы
458,Meister::N,mester,аҟаза
459,Arzt::N,læge,аҳақьым
460,Lehrer::N,lærer,арҵаҩы
461,Geld::N,penge,аҧара
462,Geschäft::N,forretning,
463,Laden::N,butik,амагазин
464,Laden::N,forretning,амагазин
465,Preis::N,pris,ахə
466,Ware::N,vare,атауар
467,Nutzen::N,nytte,ақьар
468,Reichtum::N,rigdom,абеиара
469,Welt::N,verden,адунеи
470,Land::N,land,атəыла
471,Staat::N,stat,аҳəынҭқарра
472,König::N,konge,акрал
473,Macht::N,magt,амчра
474,Grenze::N,grænse,аҳəаа
475,Krieg::N,krig,аибашьра
476,Feind::N,fjende,Аҕа
477,Gewalt::N,vold,ақəымчра
478,Kampf::N,kamp,ақəҧара
479,Bogen[Waffe]::N,bue,ахыц
480,Pfeil::N,pil,ахəымпал
481,Gewehr::N,gevær,ашəақь
482,Fehler::N,fejl,агха
483,Lüge::N,løgn,амц
484,Schaden::N,skade,аҧырхага
485,Unglück::N,uheld,арыцҳара
486,Unglück::N,ulykke,арыцҳара
487,Schuld::N,skyld,ахара
488,Alter::N,alder,ақəра
489,Schluss::N,slut,анҵəамҭа
490,Schluss::N,slutning,анҵəамҭа
491,Zeit::N,tid,аамта
492,Tag::N,dag,амш
493,Morgen::N,morgen,ашара
494,Morgen::N,morgen,ашьыбжь
495,Mittag::N,middag,шьыбжьон
496,Abend::N,aften,ахəылҧаз
497,Abend::N,aften,ахəлбыҽха
498,Nacht::N,nat,аҵх
499,Woche::N,uge,амчыбжь
500,Monat::N,måned,
501,Jahr::N,år,
502,Frühling::N,forår,ааҕын
503,Sommer::N,sommer,аҧхын
504,Herbst::N,efterår,ҭагалан
505,Herbst::N,efterår,хкаарачан
506,Winter::N,vinter,аӡын
507,Januar::N,januar,ианвар
508,Februar::N,februar,февраль
509,März::N,marts,март
510,April::N,april,апрель
511,Mai::N,maj,маи
512,Juni::N,juni,иуун
513,Juli::N,juli,иууль
514,August::N,august,август
515,September::N,september,сентиабр
516,Oktober::N,oktober,октиабр
517,November::N,november,ноиабр
518,Dezember::N,december,декабр
519,Montag::N,mandag,ашəахьа
520,Dienstag::N,tirsdag,аҩаша
521,Mittwoch::N,onsdag,ахаша
522,Donnerstag::N,torsdag,аҧшьаша
523,Freitag::N,fredag,ахəаша
524,Samstag::N,lørdag,асабша
525,Sonntag::N,søndag,амҽыша
526,groß::A,stor,аду
527,klein::A,lille,амаҷ
528,lang::A,lang,ахəхəа
529,kurz::A,kort,акьаҿ
530,breit::A,bred,аиужь
531,breit::A,bred,аиҵых
532,schmal::A,smal,аҭшəа
533,dicht::A,tæt,аилач
534,dick[Gegenstand]::A,tyk,ажəпа
535,dünn::A,tynd,
536,fein::A,fin,апа
537,fein::A,fin,аҵаӷа
538,fein::A,fin,аӡа
539,fest::A,fast,аҟаца
540,fest::A,fast,аӷəӷəаҟаца
541,flach::A,flad,ақəаҟьа
542,flach::A,flad,аҧаҟьа
543,glatt::A,glat,аимаҩзы
544,hart::A,hård,акьакьа
545,weich::A,blød,атата
546,rund::A,rund,акəмпыл
547,spitz::A,spids,аҵар
548,scharf::A,skarp,аҵар
549,stumpf::A,sløv,ацагə
550,stumpf::A,stump,ацагə
551,schwer::A,tung,ахьанҭа
552,schön::A,skøn,аҧшӡа
553,heiß::A,hed,ашы
554,warm::A,varm,аҧха
555,kalt::A,kold,ахьшəашəа
556,kühl::A,kølig,ахьшəашəа
557,kühl::A,kølig,ицәыхьшәашәоу
558,frisch::A,frisk,цқьа
559,feucht::A,fugtig,ацəаак
560,nass::A,våd,абааӡа
561,trocken::A,tør,Аба
562,trocken::A,tør,аҩа
563,voll::A,fuld,азна
564,leer::A,tom,аҭацəы
565,offen::A,åben,аарта
566,geschlossen::A,lukket,ихҩоу
567,geschlossen::A,lukket,иаркыу
568,sauber::A,ren,ацқьа
569,schmutzig::A,snavset,аҟьашь
570,roh::A,rå,
571,reif::A,moden,Арҭ
572,reif::A,moden,аҟала
573,reif::A,moden,иҟалахьоу
574,lecker::A,lækker,ахаа
575,süß::A,sød,азла
576,bitter::A,bitter,аша
577,sauer::A,sur,аҵəҵəы
578,hell::A,lys,алаша
579,dunkel::A,mørk,алашьца
580,schwarz::A,sort,аиқуаҵәа
581,weiß::A,hvid,ашкəакəа
582,rot::A,rød,аҟаҧшь
583,gelb::A,gul,аҩеижь
584,blau::A,blå,аҽҵәа
585,grün::A,grøn,ашьацҧшҭəала
586,grün::A,grøn,аеҵəа
587,grau::A,grå,ацəыш
588,bunt::A,broget,Аилыҕраа
589,bunt::A,broget,аҕраҷкəын
590,billig::A,billig,амариа
591,teuer::A,dyr,амҩан
592,wertvoll::A,værdifuld,кыр иаҕсоу
593,wertvoll::A,værdifuld,акыр иаҕсоу
594,blind::A,blind,алашə
595,taub::A,døv,адагəа
596,kräftig::A,kraftig,аӷəӷəа
597,stark::A,stærk,абаҟа
598,schwach::A,svag,акəада
599,fett::A,fed,аҧсыла
600,schlank::A,slank,акала
601,schlank::A,slank,акьалантар
602,schlank::A,slank,аиҿартə
603,hübsch::A,køn,аҧшӡа
604,böse::A,ond,абааҧсы
605,böse::A,slem,абааҧсы
606,dumm::A,dum,агаӡа
607,faul::A,doven,аашьа
608,fleißig::A,flittig,иҟубҷоу
609,geizig::A,gerrig,акы
610,geizig::A,gerrig,акаҷбеи
611,geizig::A,gerrig,аҟəџьыр
612,klug::A,klog,аҟəыш
613,klug::A,klog,аҟəыӷа
614,geschickt::A,dygtig,напҟазала
615,geschickt::A,behændig,напҟазала
616,lieb::A,rar,алашара
617,lustig::A,lystig,алах-ҿых
618,lustig::A,lystig,игурҕьаччо
619,lustig::A,lystig,агурҕьа
620,lustig::A,lystig,агурҿыхага
621,sanft::A,blid,атата
622,sanft::A,blid,аҟəымшəышə
623,sanft::A,blid,ақьыҧш
624,hungrig::A,sulten,амлашь
625,krank::A,syg,ачымазаҩ
626,nackt::A,nøgen,аҟьантаз
627,traurig::A,bedrøvet,алахьеиқəҵага
628,lebendig::A,levende,абза
629,gut::A,god,абзиа
630,schlecht::A,dårlig,-хəарҭам
631,richtig::A,rigtig,иашоу
632,schlimm::A,slem,абааҧсы
633,wahr::A,sand,агəҭылса
634,wahr::A,sand,абзиаҵəҟьа
635,alt::A,gammel,Ажə
636,neu::A,ny,аҿыц
637,ehemalig::A,forhenværende,анкьатәи
638,alt[Lebewesen]::A,gammel,абырг
639,alt[Lebewesen]::A,gammel,ақабада
640,alt[Lebewesen]::A,gammel,Ажə
641,jung::A,ung,аҟата
642,arm::A,fattig,ананамга
643,reich::A,rig,абеиа
644,bekannt::A,kendt,адыр
645,berühmt::A,berømt,адыр
646,fremd::A,fremmed,атəым
647,verschieden::A,forskellig,Еиуа-еиҧшым
648,nah::A,nær,ааигəа
649,fern::A,fjern,ахара
650,linker::A,venstre,арма
651,rechter::A,højre,арҕьа
652,anderer::A,anden,даҽа
653,anderer::A,anden,даҽакы
654,erster::A,første,актәи
655,zweiter::A,anden,аҩбатəи
656,dritter::A,tredje,ахҕатәи
657,letzter::A,sidste,аҵыхəтəантəи
658,allein::ADV,alene,мацара
659,auf einmal::ADV,på én gang,зныкала
660,auf einmal::ADV,på én gang,зныкҟьара
661,zusammen::ADV,sammen,аиц...
662,lange::ADV,længe,акыраамҭа
663,plötzlich::ADV,pludselig,иаалырҟьаны
664,sofort::ADV,straks,иаразнакҵәҟьа
665,später::ADV,senere,уажəшьҭаншəа
666,jetzt::ADV,nu,уажәы
667,heute::ADV,i dag,иахьа
668,morgen::ADV,i morgen,уаҵәы
669,bald::ADV,snart,иласны
670,dann::ADV,så,нас
671,gestern::ADV,i går,иацы
672,einst::ADV,engang,зны
673,damals::ADV,dengang,усҟан
674,danach::ADV,derefter,нас
675,vorher::ADV,før,уаанӡа
676,vorher::ADV,forud,уаанӡа
677,zuerst::ADV,først,азнаказы
678,zuerst::ADV,først,аҧхьа
679,einmal::ADV,en gang,зны
680,manchmal::ADV,sommetider,зны-зынла
681,oft::ADV,ofte,лассы-лассы
682,immer::ADV,altid,енагь
683,immer::ADV,altid,еснагь
684,niemals::ADV,aldrig,ианакəызаалак
685,hier::ADV,her,ара
686,hier::ADV,her,абра
687,hier::ADV,her,араҟа
688,hierhin::ADV,hid,ара
689,hierhin::ADV,hid,араҟа
690,hierhin::ADV,herhen,ара
691,hierhin::ADV,herhen,араҟа
692,von hier::ADV,herfra,арантә
693,dort::ADV,der,уа
694,dorthin::ADV,derhen,уахь
695,dorthin::ADV,derhen,анахь
696,geradeaus::ADV,lige ud,ишиашоу
697,vorwärts::ADV,fremad,ҕхьаҟа
698,rückwärts::ADV,baglæns,шьҭахьла
699,zurück::ADV,tilbage,шьҭахьҟа
700,unten::ADV,nede,лбаа
701,unten::ADV,forneden,лбаа
702,hinab::ADV,ned,алада
703,hinab::ADV,nedad,алада
704,oben::ADV,oppe,хыхь
705,oben::ADV,ovenpå,хыхь
706,hinauf::ADV,op,аҩада
707,hinauf::ADV,opad,аҩада
708,überall::ADV,overalt,зегьынцьара
709,nicht::ADV,ikke,-м
710,ein wenig::ADV,lidt,ҕыҭк
711,kaum::ADV,knap,аарлаҳәа
712,kaum::ADV,knap,афергьҳәа
713,kaum::ADV,næppe,аарлаҳәа
714,kaum::ADV,næppe,афергьҳәа
715,sehr::ADV,meget,даара
716,so::ADV,så,ас
717,so::ADV,så,абас
718,noch::ADV,endnu,макьана
719,nur::ADV,kun,заҵәык
720,nur::ADV,bare,заҵәык
721,schon::ADV,alt,уажәшьҭа
722,schon::ADV,alt,аиҳа ипоу
723,schon::ADV,allerede,уажәшьҭа
724,schon::ADV,allerede,аиҳа ипоу
725,wieder::ADV,igen,ҿыц
726,wieder::ADV,igen,дырҩегь
727,wieder::ADV,igen,дырҩегьых
728,vergebens::ADV,forgæves,баша
729,vor::PRP,foran,аҕхьа
730,vor::PRP,uden for,аҕхьа
731,hinter::PRP,bag,нхыҵ
732,hinter::PRP,bagved,нхыҵ
733,unter::PRP,under,амҵа
734,unter::PRP,under,амҵан
735,durch::PRP,gennem,
736,durch::PRP,igennem,
737,neben::PRP,ved siden af,ааигуара
738,zwischen::PRP,mellem,абжьара
739,wegen::PRP,på grund af,-иззы
740,wegen::PRP,på grund af,-ҟнытә
741,dies::PRN,dette,ари
742,dies::PRN,dette,абри
743,das::PRN,det,Абни
744,das::PRN,det,убри
745,alles::PRN,alt,зегьы
746,ich::PRN,jeg,са
747,ich::PRN,jeg,сара
748,du::PRN,du,бара
749,er::PRN,han,иара
750,wir::PRN,vi,ҳара
751,ihr::PRN,I,шәара
752,sie::PRN,de,дара
753,was::FPRN,hvad,
754,wer::FPRN,hvem,дарбан
755,wo::FADV,hvor,иабыкуу
756,wo::FADV,hvor,аба-
