,Concept_ID,et,hr
127,Hügel::N,küngas,brežuljak
128,Anhöhe::N,küngas,uzvišica
129,Berg::N,mägi,brdo
130,Gipfel::N,mäetipp,vrh
131,Höhle::N,koobas,pećina
132,Höhle::N,koobas,spilja
133,Abhang::N,nõlvak,obronak
134,Abhang::N,nõlvak,nizbrdica
135,Quelle::N,allikas,izvor
136,Quelle::N,allikas,vrelo
137,Bach::N,oja,potok
138,Fluss::N,jõgi,rijeka
139,Ufer::N,kallas,obala
140,Küste::N,rannik,obala
141,Küste::N,rannik,morska obala
142,Festland::N,mander,kopno
143,Festland::N,maismaa,kopno
144,Meer::N,meri,more
145,Bucht::N,laht,zaliv
146,Insel::N,saar,ada
147,Insel::N,saar,otok
148,Blume::N,lill,cvijet
149,Gras::N,rohi,trava
150,Wurzel::N,juur,korijen
151,Baum::N,puu,drvo
152,Baum::N,puu,stablo
153,Stamm::N,tüvi,deblo
154,Stamm::N,tüvi,stablo
155,Rinde::N,koor,kora
156,Ast::N,oks,grana
157,Zweig::N,oks,grana
158,Blatt::N,leht,list
159,Birke::N,kask,breza
160,Kiefer[Baum]::N,mänd,bor
161,Weide[Baum]::N,paju,iva
162,Weide[Baum]::N,paju,vŕba
163,Tanne::N,nulg,jela
164,Horn::N,sarv,rog
165,Feder::N,sulg,pero
166,Fell::N,karvkate,koža
167,Fell::N,karusnahk,koža
168,Flügel::N,tiib,krilo
169,Flügel::N,tiivik,krilo
170,Klaue::N,küüs,papak
171,Kralle::N,küünis,pandža
172,Schwanz::N,saba,rep
173,Ei::N,muna,jaje
174,Nest::N,pesa,gnijezdo
175,Bau::N,urg,jazbina
176,Tier::N,loom,životinja
177,Herde::N,kari,krdo
178,Herde::N,kari,stado
179,Kuh::N,lehm,krava
180,Bulle::N,pull,bik
181,Pferd::N,hobune,konj
182,Schaf::N,lammas,ovca
183,Schwein::N,siga,svinja
184,Hund::N,koer,pas
185,Hund::N,koer,pseto
186,Katze::N,kass,mačka
187,Bär::N,karu,medvjed
188,Eichhörnchen::N,orav,vjeverica
189,Elch::N,põder,los
190,Fuchs::N,rebane,lisica
191,Hase::N,jänes,zec
192,Maus::N,hiir,miš
193,Wolf::N,hunt,vuk
194,Wolf::N,hunt,kurjak
195,Vogel::N,lind,ptica
196,Schwarm::N,parv,roj
197,Schwarm::N,parv,jato
198,Huhn::N,kana,kokoš
199,Hahn::N,kukk,kokot
200,Hahn::N,kukk,pijevac
201,Gans::N,hani,guska
202,Adler::N,kotkas,orao
203,Ente::N,part,patka
204,Eule::N,kakk,sova
205,Eule::N,öökull,sova
206,Kranich::N,kurg,ždral
207,Krähe::N,vares,vrana
208,Kuckuck::N,kägu,kukavica
209,Schwan::N,luik,labud
210,Fisch::N,kala,riba
211,Barsch::N,ahven,grgeč
212,Hecht::N,haug,štuka
213,Schlange[Tier]::N,uss,guja
214,Schlange[Tier]::N,uss,zmija
215,Wurm::N,uss,crv
216,Wurm::N,vagel,crv
217,Spinne::N,ämblik,pauk
218,Ameise::N,sipelgas,mrav
219,Laus::N,täi,uš
220,Mücke::N,sääsk,komarac
221,Fliege::N,kärbes,muha
222,Schmetterling::N,liblikas,leptir
223,Beere::N,mari,boba
224,Beere::N,mari,bobica
225,Apfel::N,õun,jabuka
226,Pilz::N,seen,pečurka
227,Zwiebel::N,sibul,luk
228,Zwiebel::N,sibul,kapula
229,Saat::N,seeme,sjemenje
230,Korn::N,iva,zrno
231,Korn::N,tera,zrno
232,Heu::N,hein,sijeno
233,Schale::N,koor,kora
234,Schale::N,koor,ljuska
235,Grube::N,kaevand,jama
236,Falle::N,lõks,zamka
237,Falle::N,lõks,klopka
238,Falle::N,püünis,zamka
239,Falle::N,püünis,klopka
240,Schlinge::N,aas,uzao
241,Schlinge::N,aas,petlja
242,Spur::N,jälg,trag
243,Spur::N,jälg,slijed
244,Asche::N,tuhk,pepeo
245,Dreck::N,saast,blato
246,Dreck::N,mustus,blato
247,Eisen::N,raud,željezo
248,Gold::N,kuld,zlato
249,Silber::N,hõbe,srebro
250,Kohle::N,süsi,ugalj
251,Kohle::N,süsi,ugljen
252,Glas::N,klaas,staklo
253,Lehm::N,savi,glina
254,Lehm::N,savi,ilovača
255,Sand::N,liiv,pijesak
256,Mensch::N,inimene,čovjek
257,Mann::N,mees,muškarac
258,Frau::N,naine,žena
259,Kind::N,laps,čedo
260,Kind::N,laps,dijete
261,Junge::N,poiss,momče
262,Junge::N,poiss,dječak
263,Mädchen::N,tüdruk,djevojka
264,Mädchen::N,tüdruk,djevojčica
265,Familie::N,perekond,obitelj
266,Familie::N,perekond,porodica
267,Großvater::N,vanaisa,djed
268,Großmutter::N,vanaema,baka
269,Eltern::N,vanemad,roditelji
270,Vater::N,isa,otac
271,Mutter::N,ema,majka
272,Sohn::N,poeg,sin
273,Tochter::N,tütar,kći
274,Tochter::N,tütar,kćerka
275,Bruder::N,vend,brat
276,Schwester::N,õde,sestra
277,Onkel::N,onu,čika
278,Onkel::N,onu,ujak
279,Tante::N,tädi,ujna
280,Tante::N,tädi,tetka
281,Ehemann::N,mees,muž
282,Ehemann::N,mees,suprug
283,Ehemann::N,abikaasa,muž
284,Ehemann::N,abikaasa,suprug
285,Ehefrau::N,naine,žena
286,Ehefrau::N,naine,supruga
287,Ehefrau::N,abikaasa,žena
288,Ehefrau::N,abikaasa,supruga
289,Freude::N,rõõm,radost
290,Gelächter::N,naer,grohot
291,Glück::N,õnn,sreća
292,Kummer::N,mure,jad
293,Kummer::N,mure,briga
294,Kummer::N,kurbus,jad
295,Kummer::N,kurbus,briga
296,Wunsch::N,soov,želja
297,Lust::N,himu,volja
298,Geist::N,vaim,duh
299,Gedanke::N,mõte,misao
300,Gedächtnis::N,mälu,pamćenje
301,Verstand::N,aru,um
302,Verstand::N,aru,razum
303,Verstand::N,mõistus,um
304,Verstand::N,mõistus,razum
305,Sinn::N,tähendus,smisao
306,Sinn::N,tähendus,značenje
307,Grund::N,põhjus,razlog
308,Wahrheit::N,tõde,istina
309,Gespräch::N,kõne,razgovor
310,Gespräch::N,vestlus,razgovor
311,Märchen::N,muinasjutt,bajka
312,Erzählung::N,jutustus,priča
313,Erzählung::N,jutustus,pripovijest
314,Nachricht::N,teade,vijest
315,Neuigkeit::N,uudis,novost
316,Name::N,nimi,ime
317,Rätsel::N,mõistatus,zagonetka
318,Rede::N,kõne,govor
319,Rede::N,kõne,besjeda
320,Sprache::N,keel,jezik
321,Stimme::N,hääl,glas
322,Wort::N,sõna,riječ
323,Zeichen::N,märk,znak
324,Ruf::N,hüüe,povik
325,Ruf::N,hüüe,poklik
326,Lärm::N,müra,buka
327,Lärm::N,müra,galama
328,Laut::N,hääl,zvuk
329,Ton::N,toon,ton
330,Lied::N,laul,pjesma
331,Ruhe::N,rahu,tišina
332,Ruhe::N,rahu,počinak
333,Ruhe::N,vaikus,tišina
334,Ruhe::N,vaikus,počinak
335,Leute::N,inimesed,ljudi
336,Volk::N,rahvas,puk
337,Volk::N,rahvas,narod
338,Arbeit::N,töö,rad
339,Arbeit::N,töö,posao
340,Gast::N,külaline,gost
341,Geschenk::N,kingitus,dar
342,Geschenk::N,kingitus,poklon
343,Spiel::N,mäng,igra
344,Gesellschaft::N,selts,društvo
345,Gesellschaft::N,selts,kompanija
346,Hilfe::N,abi,pomoć
347,Freund::N,sõber,prijatelj
348,Kamerad::N,sõber,drug
349,Kamerad::N,sõber,drugar
350,Angelegenheit::N,asi,posao
351,Anzahl::N,arv,broj
352,Anzahl::N,arv,brojnost
353,Anzahl::N,hulk,broj
354,Anzahl::N,hulk,brojnost
355,Art::N,liik,vid
356,Art::N,liik,vrst
357,Stück::N,tükk,komad
358,Teil::N,osa,dio
359,Hälfte::N,pool,polovina
360,Kreis::N,ring,krug
361,Kreuz::N,rist,križ
362,Linie::N,joon,crta
363,Strich::N,joon,crta
364,Abstand::N,vahe,razmak
365,Abstand::N,vahe,odstojanje
366,Entfernung::N,kaugus,udaljenost
367,Entfernung::N,vahemaa,udaljenost
368,Gegend::N,ümbrus,kraj
369,Gegend::N,ümbrus,predeo
370,Platz::N,ruum,mjesto
371,Ort::N,paik,mjesto
372,Seite::N,pool,bok
373,Seite::N,pool,strana
374,Mitte::N,keskpaik,sredina
375,Gegenstand::N,ese,predmet
376,Sache::N,ese,posao
377,Rand::N,äär,rub
378,Rand::N,äär,kraj
379,Rand::N,serv,rub
380,Rand::N,serv,kraj
381,Kante::N,kant,brid
382,Kante::N,kant,ivica
383,Ecke::N,nurk,ugao
384,Spitze::N,teravik,vrh
385,Spitze::N,teravik,šiljak
386,Ende::N,ots,konac
387,Ende::N,jupp,konac
388,Loch::N,auk,rupa
389,Winkel::N,nurk,kut
390,Winkel::N,nurk,ugao
391,Muster::N,muster,uzor
392,Größe::N,suurus,veličina
393,Länge::N,pikkus,duljina
394,Höhe::N,kõrgus,visina
395,Gewicht::N,kaal,težina
396,Gewicht::N,raskus,težina
397,Menge::N,arv,mnoštvo
398,Menge::N,arv,količina
399,Menge::N,hulk,mnoštvo
400,Menge::N,hulk,količina
401,Haufen::N,hunnik,hrpa
402,Haufen::N,hunnik,gomila
403,Reihe::N,rivi,red
404,Boot::N,paat,čun
405,Boot::N,paat,čamac
406,Ruder::N,aer,veslo
407,Schlitten::N,saan,saone
408,Ski::N,suusk,ski
409,Ski::N,suusk,smučka
410,Lagerfeuer::N,lõke,logorska vatra
411,Last::N,koorem,tovar
412,Gang::N,käik,hod
413,Schritt::N,samm,korak
414,Norden::N,põhi,sjever
415,Süden::N,lõuna,jug
416,Westen::N,lääs,zapad
417,Osten::N,ida,istok
418,Holz::N,puu,drvo
419,Brett::N,saelaud,daska
420,Platte::N,plaat,ploča
421,Stütze::N,tugi,potpora
422,Stange::N,latt,motka
423,Stange::N,teivas,motka
424,Stock::N,kepp,štap
425,Stock::N,kepp,palica
426,Stab::N,varras,štap
427,Stab::N,varras,šipka
428,Rohr::N,toru,cijev
429,Haus::N,maja,kuća
430,Heim::N,kodu,dom
431,Ofen::N,ahi,peć
432,Fußboden::N,põrand,pod
433,Tisch::N,laud,stol
434,Tisch::N,laud,trpeza
435,Stuhl::N,tool,stolac
436,Stuhl::N,tool,stolica
437,Wiege::N,häll,kolijevka
438,Wiege::N,kätki,kolijevka
439,Bett::N,voodi,krevet
440,Bett::N,voodi,postelja
441,Regal::N,riiul,polica
442,Kiste::N,kast,sanduk
443,Fenster::N,aken,prozor
444,Tür::N,uks,vrata
445,Tor::N,värav,vrata
446,Tor::N,värav,kapija
447,Zaun::N,aed,plot
448,Zaun::N,aed,ograda
449,Zaun::N,tara,plot
450,Zaun::N,tara,ograda
451,Dach::N,katus,krov
452,Leiter::N,redel,ljestve
453,Leiter::N,redel,ljestvice
454,Besen::N,luud,metla
455,Spaten::N,labidas,ašov
456,Schaufel::N,kühvel,lopata
457,Gabel::N,kahvel,viljuška
458,Löffel::N,lusikas,žlica
459,Messer::N,nuga,nož
460,Nagel::N,nael,čavao
461,Netz::N,võrk,mreža
462,Haken::N,haak,kuka
463,Haken::N,konks,kuka
464,Griff::N,sang,držak
465,Griff::N,sang,ručica
466,Griff::N,käepide,držak
467,Griff::N,käepide,ručica
468,Schloss::N,lukk,brava
469,Bild::N,pilt,slika
470,Figur::N,kuju,figura
471,Figur::N,kujund,figura
472,Puppe::N,nukk,lutka
473,Beutel::N,paun,kesa
474,Bündel::N,kimp,snop
475,Bündel::N,kimp,svežanj
476,Tasche::N,kott,torba
477,Tasche::N,kott,taška
478,Eimer::N,pang,kabao
479,Eimer::N,ämber,kabao
480,Deckel::N,kaas,poklopac
481,Geschirr::N,nõud,suđe
482,Geschirr::N,nõud,posuđe
483,Sack::N,kott,džak
484,Sack::N,kott,vreća
485,Tasse::N,tass,šalica
486,Topf::N,pada,lonac
487,Kessel::N,pada,kazan
488,Essen::N,söök,obrok
489,Nahrung::N,toit,hrana
490,Speise::N,roog,jelo
491,Fleisch::N,liha,meso
492,Getreide::N,teravili,žito
493,Getreide::N,teravili,žitarice
494,Brei::N,puder,kaša
495,Brot::N,sai,kruh
496,Brot::N,leib,kruh
497,Scheibe::N,viil,kriška
498,Scheibe::N,viilukas,kriška
499,Fett::N,rasv,mast
500,Fett::N,rasv,salo
501,Butter::N,või,buter
502,Butter::N,või,maslac
503,Öl::N,õli,ulje
504,Salz::N,sool,sol
505,Suppe::N,supp,supa
506,Honig::N,mesi,med
507,Milch::N,piim,mlijeko
508,Tee::N,tee,čaj
509,Leder::N,nahk,koža
510,Wolle::N,vill,vuna
511,Stoff::N,kangas,štof
512,Stoff::N,kangas,tkanina
513,Nadel::N,nõel,igla
514,Faden::N,niit,nit
515,Faden::N,niit,konac
516,Knopf::N,nööp,dugme
517,Knoten::N,sõlm,čvor
518,Knoten::N,sõlm,uzao
519,Farbe::N,värv,farba
520,Kleidung::N,riided,odjeća
521,Kleidung::N,riietus,odjeća
522,Hemd::N,särk,košulja
523,Kragen::N,krae,ovratnik
524,Ärmel::N,varrukas,rukav
525,Hose::N,püksid,hlače
526,Gürtel::N,vöö,pas
527,Gürtel::N,vöö,pojas
528,Mütze::N,müts,kapa
529,Schuh::N,king,cipela
530,Stiefel::N,saabas,čizma
531,Ring::N,sõrmus,prsten
532,Band::N,lint,vrpca
533,Kamm::N,kamm,češalj
534,Spiegel::N,peegel,zrcalo
535,Spiegel::N,peegel,ogledalo
536,Riemen::N,rihm,kaiš
537,Riemen::N,rihm,remen
538,Schnur::N,nöör,vrpca
539,Leine::N,jalutusrihm,uzica
540,Decke::N,tekk,ćebe
541,Decke::N,tekk,pokrivač
542,Kissen::N,padi,jastuk
543,Tuch::N,kalev,rubac
544,Tuch::N,kalev,marama
545,Handtuch::N,käterätik,ručnik
546,Kraft::N,jõud,snaga
547,Stärke::N,tugevus,jakost
548,Gesundheit::N,tervis,zdravlje
549,Krankheit::N,haigus,bolest
550,Schmerz::N,valu,bol
551,Wunde::N,haav,rana
552,Fieber::N,palavik,groznica
553,Arznei::N,ravim,lijek
554,Brücke::N,sild,most
555,Brücke::N,sild,ćuprija
556,Brunnen::N,kaev,bunar
557,Brunnen::N,kaev,zdenac
558,Weide::N,karjamaa,paša
559,Weide::N,karjamaa,pašnjak
560,Pfad::N,rada,staza
561,Weg::N,tee,put
562,Straße::N,tee,drum
563,Straße::N,tee,cesta
564,Dorf::N,küla,selo
565,Stadt::N,linn,grad
566,Stadt::N,linn,varoš
567,Brief::N,kiri,list
568,Brief::N,kiri,pismo
569,Buch::N,raamat,knjiga
570,Buchstabe::N,täht,slovo
571,Zeitung::N,ajaleht,novine
572,Leben::N,elu,život
573,Tod::N,surm,smrt
574,Grab::N,haud,raka
575,Kirche::N,kirik,crkva
576,Sünde::N,patt,grijeh
577,Gott::N,jumal,bog
578,Arbeiter::N,tööline,radnik
579,Chef::N,ülemus,šef
580,Chef::N,juhataja,šef
581,Meister::N,meister,majstor
582,Arzt::N,arst,liječnik
583,Lehrer::N,õpetaja,učitelj
584,Geld::N,raha,novac
585,Geschäft::N,äri,posao
586,Geschäft::N,äri,trgovina
587,Laden::N,pood,dućan
588,Laden::N,kauplus,dućan
589,Preis::N,hind,cijena
590,Ware::N,kaup,roba
591,Nutzen::N,tulu,korist
592,Nutzen::N,kasulikkus,korist
593,Reichtum::N,rikkus,bogatstvo
594,Welt::N,maailm,svijet
595,Land::N,maa,zemlja
596,Staat::N,riik,država
597,König::N,kuningas,kralj
598,Macht::N,võim,moć
599,Macht::N,võim,vlast
600,Grenze::N,piir,granica
601,Krieg::N,sõda,rat
602,Feind::N,vaenlane,neprijatelj
603,Gewalt::N,väevõim,sila
604,Gewalt::N,väevõim,nasilje
605,Kampf::N,võitlus,boj
606,Kampf::N,võitlus,borba
607,Bogen[Waffe]::N,vibu,luk
608,Pfeil::N,nool,strijela
609,Gewehr::N,püss,puška
610,Fehler::N,viga,pogreška
611,Fehler::N,viga,griješka
612,Lüge::N,vale,laž
613,Schaden::N,kahju,šteta
614,Unglück::N,häda,nesreća
615,Unglück::N,õnnetus,nesreća
616,Schuld::N,süü,krivnja
617,Alter::N,iga,dob
618,Schluss::N,lõpp,kraj
619,Schluss::N,lõpp,konac
620,Zeit::N,aeg,doba
621,Zeit::N,aeg,vrijeme
622,Tag::N,päev,dan
623,Morgen::N,hommik,jutro
624,Mittag::N,lõuna,podne
625,Mittag::N,keskpäev,podne
626,Abend::N,õhtu,veče
627,Abend::N,õhtu,večer
628,Nacht::N,öö,noć
629,Woche::N,nädal,sedmica
630,Monat::N,kuu,mjesec
631,Jahr::N,aasta,godina
632,Frühling::N,kevad,proljeće
633,Sommer::N,suvi,ljeto
634,Herbst::N,sügis,jesen
635,Winter::N,talv,zima
636,Januar::N,jaanuar,januar
637,Januar::N,jaanuar,siječanj
638,Februar::N,veebruar,veljača
639,Februar::N,veebruar,februar
640,März::N,märts,mart
641,März::N,märts,ožujak
642,April::N,aprill,april
643,April::N,aprill,travanj
644,Mai::N,mai,maj
645,Mai::N,mai,svibanj
646,Juni::N,juuni,juni
647,Juni::N,juuni,lipanj
648,Juli::N,juuli,juli
649,Juli::N,juuli,srpanj
650,August::N,august,august
651,August::N,august,kolovoz
652,September::N,september,rujan
653,September::N,september,septembar
654,Oktober::N,oktoober,oktobar
655,Oktober::N,oktoober,listopad
656,November::N,november,studeni
657,November::N,november,novembar
658,Dezember::N,detsember,prosinac
659,Montag::N,esmaspäev,ponedjeljak
660,Montag::N,esmaspäev,ponedjeljnik
661,Dienstag::N,teisipäev,utorak
662,Dienstag::N,teisipäev,utornik
663,Mittwoch::N,kesknädal,srijeda
664,Donnerstag::N,neljapäev,četvrtak
665,Freitag::N,reede,petak
666,Samstag::N,laupäev,subota
667,Sonntag::N,pühapäev,nedjelja
668,groß::A,suur,velik
669,klein::A,väike,mali
670,klein::A,väike,malen
671,klein::A,pisike,mali
672,klein::A,pisike,malen
673,lang::A,pikk,dug
674,lang::A,pikk,dugačak
675,kurz::A,lühike,kratak
676,breit::A,lai,širok
677,schmal::A,kitsas,uski
678,schmal::A,kitsas,uzak
679,dicht::A,tihe,gust
680,dick[Gegenstand]::A,jäme,debeo
681,dünn::A,õhuke,tanak
682,dünn::A,peenike,tanak
683,fein::A,peen,fin
684,fein::A,peen,tanak
685,fein::A,õhuke,fin
686,fein::A,õhuke,tanak
687,fest::A,püsiv,čvrst
688,fest::A,kindel,čvrst
689,flach::A,lame,ravan
690,flach::A,lame,plosnat
691,flach::A,tasane,ravan
692,flach::A,tasane,plosnat
693,glatt::A,sile,gladak
694,hart::A,kõva,tvrd
695,weich::A,pehme,mek
696,weich::A,pehme,mekan
697,rund::A,ümar,okrugao
698,spitz::A,torkav,oštar
699,spitz::A,torkav,šiljast
700,scharf::A,terav,oštar
701,scharf::A,terav,bridak
702,stumpf::A,nüri,tup
703,schwer::A,raske,težak
704,schön::A,kena,krasan
705,heiß::A,kuum,vruć
706,heiß::A,palav,vruć
707,warm::A,soe,topao
708,kalt::A,külm,hladan
709,kühl::A,jahe,hladan
710,frisch::A,värske,svjež
711,feucht::A,niiske,vlažan
712,nass::A,märg,mokar
713,trocken::A,kuiv,suh
714,voll::A,täis,pun
715,leer::A,tühi,prazan
716,offen::A,avatud,otvoren
717,offen::A,lahtine,otvoren
718,geschlossen::A,suletud,zatvoren
719,sauber::A,puhas,čist
720,schmutzig::A,räpane,nečist
721,schmutzig::A,räpane,blatan
722,schmutzig::A,määrdunud,nečist
723,schmutzig::A,määrdunud,blatan
724,roh::A,toores,sirov
725,reif::A,küps,zreo
726,lecker::A,hõrk,tečan
727,lecker::A,hõrk,ukusan
728,lecker::A,maitsev,tečan
729,lecker::A,maitsev,ukusan
730,süß::A,magus,sladak
731,bitter::A,mõru,gorak
732,sauer::A,hapu,kiseo
733,hell::A,hele,vedar
734,hell::A,hele,svijetao
735,dunkel::A,pime,taman
736,schwarz::A,must,crn
737,weiß::A,valge,bio
738,weiß::A,valge,bijel
739,rot::A,punane,crven
740,gelb::A,kollane,žut
741,blau::A,sinine,plav
742,blau::A,sinine,modar
743,grün::A,roheline,zelen
744,grau::A,hall,siv
745,bunt::A,kirju,šaren
746,bunt::A,värviline,šaren
747,billig::A,odav,jeftin
748,teuer::A,kallis,skup
749,wertvoll::A,väärtuslik,vrijedan
750,wertvoll::A,väärtuslik,dragocjen
751,blind::A,pime,slijep
752,taub::A,kurt,gluh
753,kräftig::A,jõuline,snažan
754,stark::A,tugev,jak
755,stark::A,tugev,snažan
756,schwach::A,nõrk,slab
757,schwach::A,jõuetu,slab
758,fett::A,rasvane,pretio
759,schlank::A,sale,vitak
760,hübsch::A,kena,zgodan
761,böse::A,tige,zao
762,böse::A,tige,opak
763,dumm::A,juhm,glup
764,dumm::A,rumal,glup
765,faul::A,laisk,lijen
766,fleißig::A,virk,radin
767,fleißig::A,virk,marljiv
768,fleißig::A,hoolas,radin
769,fleißig::A,hoolas,marljiv
770,geizig::A,ihne,škrt
771,klug::A,tark,razborit
772,klug::A,arukas,razborit
773,klug::A,mõistlik,razborit
774,geschickt::A,osav,vješt
775,lieb::A,armas,drag
776,lustig::A,lõbus,veseo
777,sanft::A,õrn,blag
778,hungrig::A,näljane,gladan
779,krank::A,haige,bolestan
780,nackt::A,alasti,nag
781,traurig::A,kurb,tužan
782,traurig::A,kurb,žalostan
783,lebendig::A,elus,živ
784,gut::A,hea,dobar
785,schlecht::A,halb,loš
786,schlecht::A,halb,rđav
787,richtig::A,õige,tačan
788,richtig::A,õige,ispravan
789,schlimm::A,paha,zao
790,schlimm::A,paha,zločest
791,wahr::A,tõene,istinit
792,alt::A,vana,star
793,neu::A,uus,nov
794,ehemalig::A,endine,bivši
795,alt[Lebewesen]::A,vana,star
796,jung::A,noor,mlad
797,arm::A,vaene,ubog
798,arm::A,vaene,siromašan
799,reich::A,rikas,bogat
800,bekannt::A,teada,poznat
801,bekannt::A,tuttav,poznat
802,berühmt::A,tuntud,čuven
803,berühmt::A,tuntud,slavan
804,fremd::A,võõras,tuđ
805,fremd::A,võõras,stran
806,verschieden::A,erinev,razan
807,verschieden::A,erinev,različan
808,nah::A,lähedane,blizak
809,fern::A,kauge,dalek
810,fern::A,kauge,daljnji
811,linker::A,vasak,lijevi
812,rechter::A,parem,desni
813,anderer::A,muu,drugi
814,anderer::A,muu,drugačiji
815,anderer::A,teine,drugi
816,anderer::A,teine,drugačiji
817,erster::A,esimene,prvi
818,zweiter::A,teine,drugi
819,dritter::A,kolmas,treći
820,letzter::A,viimane,zadnji
821,allein::ADV,üksi,sam
822,auf einmal::ADV,korraga,istodobno
823,auf einmal::ADV,ühekorraga,istodobno
824,zusammen::ADV,koos,skupa
825,zusammen::ADV,koos,zajedno
826,zusammen::ADV,üheskoos,skupa
827,zusammen::ADV,üheskoos,zajedno
828,lange::ADV,kaua,dugo
829,plötzlich::ADV,äkki,naglo
830,plötzlich::ADV,äkki,iznenada
831,plötzlich::ADV,järsku,naglo
832,plötzlich::ADV,järsku,iznenada
833,sofort::ADV,kohe,odmah
834,später::ADV,hiljem,kasnije
835,jetzt::ADV,nüüd,sad
836,jetzt::ADV,nüüd,sada
837,heute::ADV,täna,danas
838,morgen::ADV,homme,sutra
839,bald::ADV,pea,skoro
840,bald::ADV,pea,doskora
841,bald::ADV,varsti,skoro
842,bald::ADV,varsti,doskora
843,dann::ADV,siis,zatim
844,gestern::ADV,eile,juče
845,gestern::ADV,eile,jučer
846,einst::ADV,vanasti,negda
847,einst::ADV,vanasti,nekada
848,damals::ADV,tookord,tada
849,damals::ADV,tookord,onda
