,Concept_ID,ca,sah
124,Küste::N,costa,кытыл
125,Festland::N,terra ferma,кураанах сир
126,Meer::N,mar,муора
127,Bucht::N,cala,хомо
128,Bucht::N,cala,бухта
129,Bucht::N,badia,хомо
130,Bucht::N,badia,бухта
131,Insel::N,illa,арыы
132,Blume::N,flor,сибэкки
133,Gras::N,herba,от
134,Wurzel::N,rel,силис
135,Wurzel::N,arrel,силис
136,Baum::N,arbre,мас
137,Stamm::N,tronc,умнас
138,Rinde::N,escorça,хатырык
139,Ast::N,branca,мутук
140,Zweig::N,ram,лабаа
141,Blatt::N,fulla,сэбирдэх
142,Birke::N,bedoll,хатыҥ
143,Kiefer[Baum]::N,pi,бэс
144,Weide[Baum]::N,salze,үөт
145,Weide[Baum]::N,salze,талах
146,Tanne::N,avet,харыйа
147,Horn::N,corn,муос
148,Horn::N,banya,муос
149,Feder::N,ploma,куорсун
150,Fell::N,pell,тирии
151,Flügel::N,ala,кынат
152,Klaue::N,urpa,тыҥырах
153,Kralle::N,grapa,баппаҕай
154,Schwanz::N,cua,кутурук
155,Ei::N,ou,сымыыт
156,Nest::N,niu,уйа
157,Bau::N,cau,хороон
158,Tier::N,animāl,кыыл
159,Tier::N,animāl,харамай
160,Herde::N,ramat,үөр
161,Kuh::N,vaca,ынах
162,Bulle::N,toro,оҕус
163,Pferd::N,cavāll,сылгы
164,Schaf::N,be,овца
165,Schaf::N,ovella,овца
166,Schwein::N,bacó,сибиинньэ
167,Hund::N,ca,ыт
168,Hund::N,gos,ыт
169,Katze::N,gat,куоска
170,Bär::N,ós,эһэ
171,Eichhörnchen::N,esquirol,тииҥ
172,Elch::N,ant,тайах
173,Fuchs::N,guilla,саһыл
174,Hase::N,llebre,куобах
175,Maus::N,ratolí,кутуйах
176,Wolf::N,llop,бөрө
177,Vogel::N,au,көтөр
178,Vogel::N,ocēll,көтөр
179,Schwarm::N,bandada,бөлөх
180,Huhn::N,gallina,куурусса
181,Hahn::N,gall,бөтүүк
182,Gans::N,oca,хаас
183,Adler::N,àguila,хотой
184,Ente::N,ànec,кус
185,Eule::N,òliba,мэкчиргэ
186,Eule::N,mussol,мэкчиргэ
187,Kranich::N,grua,туруйа
188,Krähe::N,cornella,тураах
189,Kuckuck::N,cucut,кэҕэ
190,Schwan::N,cigne,куба
191,Fisch::N,peix,балык
192,Barsch::N,perca,алыһар
193,Hecht::N,lluç,сордон
194,Schlange[Tier]::N,serp,моҕой
195,Schlange[Tier]::N,serp,эриэн үөн
196,Wurm::N,cuc,үөн
197,Spinne::N,aranya,ооҕуй
198,Ameise::N,formiga,кымырдаҕас
199,Laus::N,poll,быт
200,Mücke::N,mosquit,кумаар
201,Fliege::N,mosca,сахсырҕа
202,Schmetterling::N,papallona,лыах
203,Schmetterling::N,papallona,үрүмэччи
204,Beere::N,baia,отон
205,Apfel::N,poma,яблоко
206,Pilz::N,bolet,тэллэй
207,Zwiebel::N,ceba,луук
208,Saat::N,sembra,сиэмэ
209,Korn::N,gra,сиэмэ
210,Heu::N,fenc,от
211,Schale::N,closca,хах
212,Grube::N,sot,дьаама
213,Grube::N,clot,дьаама
214,Falle::N,trampa,сохсо
215,Schlinge::N,baga,уктаа
216,Spur::N,traça,суол
217,Asche::N,cendra,күл
218,Dreck::N,llot,бадараан
219,Eisen::N,ferro,тимир
220,Gold::N,or,көмүс
221,Gold::N,or,кыһыл көмүс
222,Silber::N,plata,көмүс
223,Silber::N,plata,үрүҥ көмүс
224,Kohle::N,carbó,чох
225,Glas::N,vidre,өстүөкүлэ
226,Lehm::N,fang,туой
227,Lehm::N,argila,туой
228,Sand::N,arena,кумах
229,Mensch::N,humà,киһи
230,Mensch::N,persona,киһи
231,Mann::N,home,эр
232,Frau::N,dona,дьахтар
233,Kind::N,nen,оҕо
234,Junge::N,noi,уол
235,Mädchen::N,noia,кыыс оҕо
236,Familie::N,família,кэргэн
237,Großvater::N,avi,эһэ
238,Großmutter::N,àvia,эбэ
239,Eltern::N,pares,аҕа-ийэ
240,Vater::N,pare,аҕа
241,Mutter::N,mare,ийэ
242,Sohn::N,fill,уол
243,Tochter::N,filla,кыыс
244,Bruder::N,germà,убай
245,Bruder::N,germà,быраат
246,Schwester::N,germana,аҕас
247,Schwester::N,germana,балыс
248,Onkel::N,oncle,таай
249,Onkel::N,oncle,абаҕа
250,Tante::N,tia,эдьиий
251,Ehemann::N,espòs,эр
252,Ehefrau::N,muller,ойох
253,Freude::N,goig,үөрүү
254,Freude::N,alegria,үөрүү
255,Gelächter::N,riallada,күлүү
256,Glück::N,felicitat,дьол
257,Glück::N,felicitat,соргу
258,Kummer::N,pena,кутурҕан
259,Wunsch::N,desig,баҕарыы
260,Lust::N,ganes,баҕа
261,Geist::N,ment,тыын
262,Geist::N,esperit,тыын
263,Gedanke::N,pensament,санаа
264,Gedächtnis::N,memòria,өй
265,Verstand::N,raó,өй
266,Verstand::N,seny,өй
267,Sinn::N,solta,суолта
268,Sinn::N,sentit,суолта
269,Grund::N,raó,төрүөт
270,Grund::N,causa,төрүөт
271,Wahrheit::N,veritāt,кырдьык
272,Gespräch::N,conversa,бэсиэдэ
273,Gespräch::N,conversa,кэпсэтии
274,Märchen::N,conte,остуоруйа
275,Erzählung::N,narració,кэпсээн
276,Nachricht::N,missatge,биллэриллии
277,Neuigkeit::N,novetat,сонун
278,Name::N,nom,аат
279,Rätsel::N,endevinalla,таабырын
280,Rede::N,discurs,этии
281,Sprache::N,llēngua,тыл
282,Stimme::N,veu,куолас
283,Wort::N,mot,тыл
284,Wort::N,paraula,тыл
285,Zeichen::N,signe,бэлиэ
286,Zeichen::N,senyal,бэлиэ
287,Ruf::N,crida,ыҥырыы
288,Lärm::N,sorōll,айдаан
289,Laut::N,so,тыас
290,Ton::N,to,дорҕоон
291,Lied::N,cançó,ырыа
292,Ruhe::N,calma,уу чуумпу
293,Ruhe::N,silenci,уу чуумпу
294,Leute::N,gent,дьон
295,Volk::N,poble,дьон
296,Volk::N,poble,норуот
297,Arbeit::N,labor,үлэ
298,Arbeit::N,treball,үлэ
299,Gast::N,hoste,ыалдьыт
300,Geschenk::N,regal,бэлэх
301,Geschenk::N,obsequi,бэлэх
302,Spiel::N,joc,оонньуу
303,Gesellschaft::N,companyia,общество
304,Hilfe::N,ajut,көмө
305,Freund::N,amīc,доҕор
306,Kamerad::N,company,атас
307,Kamerad::N,camarada,атас
308,Angelegenheit::N,afer,дьыала
309,Angelegenheit::N,assumpte,дьыала
310,Anzahl::N,nombre,ахсаан
311,Anzahl::N,quantitat,ахсаан
312,Art::N,tipus,биис
313,Art::N,classe,биис
314,Stück::N,peça,кырбас
315,Teil::N,part,ирээт
316,Hälfte::N,meitat,аҥар
317,Kreis::N,cercle,төгүрүк
318,Kreis::N,cercle,төгүрүмтэ
319,Kreuz::N,creu,кириэс
320,Linie::N,línia,сурааһын
321,Strich::N,traç,сурааһын
322,Strich::N,ratlla,сурааһын
323,Abstand::N,distància,арыт
324,Entfernung::N,distància,ыраах
325,Gegend::N,regió,сир
326,Gegend::N,contrada,сир
327,Platz::N,cabuda,арыт
328,Ort::N,lloc,сир
329,Seite::N,banda,өрүт
330,Seite::N,banda,сирэй
331,Seite::N,costāt,өрүт
332,Seite::N,costāt,сирэй
333,Mitte::N,mig,орто
334,Mitte::N,centre,орто
335,Gegenstand::N,objecte,предмет
336,Sache::N,cosa,мал
337,Rand::N,vora,кытыы
338,Rand::N,vora,ойоҕос
339,Rand::N,marge,кытыы
340,Rand::N,marge,ойоҕос
341,Kante::N,caire,кырыы
342,Kante::N,cantell,кырыы
343,Ecke::N,cantonada,муннук
344,Spitze::N,punta,чыпчаал
345,Ende::N,cap,төбө
346,Loch::N,forāt,тэһэҕэс
347,Loch::N,forāt,дьөлөҕөс
348,Winkel::N,racó,муннук
349,Muster::N,dibuix,оһуор
350,Muster::N,disseny,оһуор
351,Größe::N,grandària,кээмэй
352,Länge::N,longitud,уста
353,Höhe::N,altura,үрдүк
354,Höhe::N,altitud,үрдүк
355,Gewicht::N,pes,ыйааһын
356,Menge::N,quantitat,ахсаан
357,Haufen::N,pila,чөмчөх
358,Reihe::N,fila,кэккэ
359,Boot::N,bot,оҥочо
360,Boot::N,barca,оҥочо
361,Ruder::N,rem,эрдии
362,Schlitten::N,trineu,сыарҕа
363,Ski::N,esquí,хайыһар
364,Lagerfeuer::N,foc de campament,кутаа
365,Last::N,càrrega,ыарахан
366,Gang::N,marxa,хаамыы
367,Schritt::N,pas,хардыы
368,Norden::N,nord,хоту
369,Süden::N,sud,соҕуруу
370,Westen::N,oest,арҕаа
371,Westen::N,occident,арҕаа
372,Osten::N,est,илин
373,Osten::N,orient,илин
374,Holz::N,fusta,мас
375,Brett::N,taula,дуоска
376,Brett::N,taula,хаптаһын
377,Platte::N,placa,билиитэ
378,Stütze::N,suport,тулааһын
379,Stange::N,vara,ураҕас
380,Stock::N,pal,мас
381,Stock::N,pal,баалкы
382,Stab::N,bastó,ураҕас
383,Rohr::N,tub,турба
384,Haus::N,casa,дьиэ
385,Heim::N,llar,дьиэ
386,Ofen::N,estufa,оһох
387,Fußboden::N,terra,муоста
388,Tisch::N,taula,остуол
389,Stuhl::N,cadira,устуул
390,Wiege::N,bressol,биһик
391,Bett::N,llit,кырабаат
392,Regal::N,prestatgeria,долбуур
393,Kiste::N,caixa,дьааһык
394,Fenster::N,finestra,түннүк
395,Tür::N,porta,аан
396,Tor::N,portal,аан
397,Zaun::N,tanca,соппулуот
398,Dach::N,teulada,кырыыса
399,Leiter::N,escala,кирилиэс
400,Leiter::N,escala de mà,кирилиэс
401,Besen::N,escombra,миинньик
402,Spaten::N,pala,күрдьэх
403,Schaufel::N,pala,күрдьэх
404,Gabel::N,forquilla,биилкэ
405,Löffel::N,cullera,луоска
406,Messer::N,coltell,быһах
407,Nagel::N,clau,тоһоҕо
408,Netz::N,filat,илим
409,Haken::N,ganxo,көхө
410,Griff::N,puny,ук
411,Griff::N,puny,тутаах
412,Griff::N,mànec,ук
413,Griff::N,mànec,тутаах
414,Schloss::N,pany,күлүүс
415,Bild::N,imatge,хартыына
416,Figur::N,figura,фигура
417,Puppe::N,nina,куукула
418,Beutel::N,bossa,мөһөөччук
419,Bündel::N,feix,баайыы
420,Bündel::N,paquet,баайыы
421,Tasche::N,bossa,суумка
422,Eimer::N,galleda,биэдэрэ
423,Deckel::N,tapa,хаппах
424,Deckel::N,tapadora,хаппах
425,Geschirr::N,vaixella,иһит
426,Sack::N,sac,куул
427,Sack::N,saca,куул
428,Tasse::N,tassa,сэлиэнэй
429,Topf::N,pot,көстүрүүҥкэ
430,Topf::N,olla,көстүрүүҥкэ
431,Kessel::N,caldera,хочуол
432,Essen::N,àpat,аһылык
433,Essen::N,menjada,аһылык
434,Nahrung::N,aliment,ас
435,Speise::N,plat,аһылык
436,Fleisch::N,carn,эт
437,Getreide::N,cereals,злактар
438,Brei::N,puré,хааһы
439,Brot::N,pa,килиэп
440,Scheibe::N,tall,куһуок
441,Scheibe::N,llesca,куһуок
442,Fett::N,greix,сыа
443,Butter::N,mantega,арыы
444,Öl::N,oli,арыы
445,Salz::N,sal,туус
446,Suppe::N,sopa,мин
447,Honig::N,mel,мүөт
448,Milch::N,llet,үүт
449,Tee::N,te,чэй
450,Leder::N,cuir,тирии
451,Wolle::N,llana,түү
452,Stoff::N,tela,таҥас
453,Nadel::N,agulla,иннэ
454,Faden::N,fil,сап
455,Knopf::N,botó,тимэх
456,Knoten::N,nus,түмүк
457,Farbe::N,pintura,кырааска
458,Kleidung::N,roba,таҥас
459,Kleidung::N,vestits,таҥас
460,Hemd::N,camisa,ырбаахы
461,Kragen::N,coll,саҕа
462,Ärmel::N,màniga,сиэх
463,Hose::N,pantalōns,ыстаан
464,Hose::N,pantalōns,бүрүүкэ
465,Gürtel::N,cinturó,кур
466,Mütze::N,gorra,бэргэһэ
467,Schuh::N,sabata,бачыыҥка
468,Stiefel::N,bota,саппыкы
469,Ring::N,anell,биһилэх
470,Band::N,veta,лиэнтэ
471,Band::N,cinta,лиэнтэ
472,Kamm::N,pinta,тараах
473,Spiegel::N,mirāll,сиэркилэ
474,Riemen::N,corretja,кур
475,Schnur::N,corda,быа
476,Leine::N,corretja,тэһиин
477,Decke::N,manta,суорҕан
478,Decke::N,flassada,суорҕан
479,Kissen::N,coixí,сыттык
480,Tuch::N,mocador,былаат
481,Handtuch::N,tovallola,соттор
482,Kraft::N,força,сыра
483,Stärke::N,vigor,күүс
484,Gesundheit::N,salut,доруобуйа
485,Krankheit::N,malaltia,ыарыы
486,Schmerz::N,dolor,ыарыы
487,Wunde::N,ferida,баас
488,Fieber::N,febre,түрүлгэн
489,Fieber::N,febre,лихорадка
490,Fieber::N,febre,температура
491,Arznei::N,medicament,эмп
492,Brücke::N,pont,күргэ
493,Brunnen::N,pou,холуодьас
494,Weide::N,pastura,мэччирэҥ
495,Pfad::N,senda,ыллык
496,Pfad::N,sender,ыллык
497,Weg::N,camí,суол
498,Straße::N,carretera,суол
499,Dorf::N,poble,дэриэбинэ
500,Stadt::N,ciutāt,куорат
501,Brief::N,carta,сурук
502,Buch::N,llibre,кинигэ
503,Buchstabe::N,lletra,буква
504,Zeitung::N,diāri,хаһыат
505,Leben::N,vida,тыын
506,Tod::N,mort,өлүү
507,Grab::N,tomba,иин
508,Kirche::N,església,таҥара дьиэтэ
509,Sünde::N,pecat,айыы
510,Gott::N,déu,тангара
511,Arbeiter::N,obrer,үлэһит
512,Chef::N,cap,баһылык
513,Chef::N,cap,начальник
514,Meister::N,mestre,уус
515,Meister::N,mestre,маастар
516,Arzt::N,metge,врач
517,Lehrer::N,mestre,учуутал
518,Geld::N,dinērs,харчы
519,Geschäft::N,negoci,идэ
520,Laden::N,tenda,маҕаһыын
521,Laden::N,botiga,маҕаһыын
522,Preis::N,preu,сыана
523,Ware::N,mercaderia,табаар
524,Nutzen::N,profit,туһа
525,Reichtum::N,riquesa,баай
526,Welt::N,món,аан дойду
527,Land::N,país,дойду
528,Staat::N,estat,государство
529,König::N,rei,король
530,Macht::N,poder,былаас
531,Macht::N,potència,былаас
532,Grenze::N,frontera,кыраныысса
533,Krieg::N,guerra,сэрии
534,Feind::N,enemic,өстөөх
535,Gewalt::N,violència,күүһүлээһин
536,Kampf::N,lluita,охсуһуу
537,Bogen[Waffe]::N,arc,ох
538,Pfeil::N,fletxa,ох
539,Gewehr::N,fusell,саа
540,Gewehr::N,escopeta,саа
541,Fehler::N,falta,сыыһа
542,Lüge::N,mentida,сымыйа
543,Schaden::N,dany,хоромньу
544,Unglück::N,desgràcia,алдьархай
545,Schuld::N,culpa,буруй
546,Alter::N,edat,саас
547,Schluss::N,fi,тиһэх
548,Schluss::N,final,тиһэх
549,Zeit::N,temps,бириэмэ
550,Tag::N,dia,күн
551,Morgen::N,matí,сарсыарда
552,Mittag::N,migdia,күн ортото
553,Abend::N,vespre,киэһэ
554,Nacht::N,nit,түүн
555,Woche::N,setmana,нэдиэлэ
556,Monat::N,mes,ый
557,Jahr::N,any,сыл
558,Jahr::N,any,дьыл
559,Frühling::N,primavera,саас
560,Sommer::N,estīu,сайын
561,Herbst::N,tardor,күһүн
562,Winter::N,hivērn,кыһын
563,Januar::N,gener,тохсунньу
564,Februar::N,febrer,олунньу
565,März::N,març,кулун тутар
566,April::N,abril,муус устар ый
567,Mai::N,maig,ыам ыйа
568,Juni::N,juny,бэс ыйа
569,Juli::N,juliol,от ыйа
570,August::N,agost,атырдьах ыйа
571,September::N,setembre,балаҕан ыйа
572,Oktober::N,octubre,алтынньы
573,November::N,novembre,сэтинньи
574,Dezember::N,desembre,ахсынньы
575,Montag::N,dilluns,бэнидиэнньик
576,Dienstag::N,dimarts,оптуорунньук
577,Mittwoch::N,dimecres,сэрэдэ
578,Donnerstag::N,dijous,чэппиэр
579,Freitag::N,divendres,бээтинсэ
580,Samstag::N,dissabte,субуота
581,Sonntag::N,diumenge,баскыһыанньа
582,groß::A,gros,бөдөҥ
583,groß::A,gros,улахан
584,klein::A,petīt,кыр
585,lang::A,llarg,уһун
586,kurz::A,curt,кылгас
587,breit::A,ample,кэтит
588,schmal::A,estret,кыараҕас
589,dicht::A,dens,хойуу
590,dick[Gegenstand]::A,gruixūt,суон
591,dick[Gegenstand]::A,gruixūt,хойуу
592,dünn::A,prim,чараас
593,fein::A,fi,бытархай
594,fein::A,fi,синньигес
595,fest::A,ferm,бөҕө
596,fest::A,ferm,кытаанах
597,fest::A,sòlid,бөҕө
598,fest::A,sòlid,кытаанах
599,flach::A,pla,хаптаҕай
600,glatt::A,llis,кылааккай
601,hart::A,dur,хатан
602,hart::A,dur,кытаанах
603,weich::A,tou,сымнаҕас
604,rund::A,rodó,төгүрүк
605,spitz::A,punxegut,сытыы
606,spitz::A,punxegut,уһуктаах
607,scharf::A,agut,сытыы
608,stumpf::A,rom,сыппах
609,stumpf::A,esmussat,сыппах
610,schwer::A,pesāt,ыарахан
611,schön::A,bonīc,кыраһыабай
612,heiß::A,calēnt,итии
613,warm::A,càlid,ичигэс
614,kalt::A,fred,тымныы
615,kühl::A,fresc,сөрүүн
616,frisch::A,fresc,ыраас
617,frisch::A,fresc,сөрүүн
618,frisch::A,fresc,тымныы
619,feucht::A,humit,сииктээх
620,nass::A,mullat,инчэҕэй
621,trocken::A,sec,кураан
622,voll::A,ple,толору
623,leer::A,buit,иччитэх
624,offen::A,obert,аһаҕас
625,geschlossen::A,tancat,бүтэй
626,sauber::A,net,сэбэр
627,schmutzig::A,brut,кирдээх
628,roh::A,cru,сиикэй
629,reif::A,madur,буспут
630,reif::A,madur,сиппит-хоппут
631,lecker::A,deliciós,минньигэс
632,süß::A,dolç,минньигэс
633,bitter::A,amarg,аһыы
634,sauer::A,agre,аһыы
635,hell::A,clar,сырдык
636,dunkel::A,fosc,хараҥа
637,schwarz::A,negre,хара
638,weiß::A,blanc,үрүҥ
639,weiß::A,blanc,маҥан
640,rot::A,vermēll,кыһыл
641,gelb::A,groc,саһархай
642,blau::A,blau,күөх
643,grün::A,verd,күөх
644,grün::A,verd,от күөҕэ
645,grau::A,gris,сиэрэй
646,bunt::A,multicolor,эриэн
647,billig::A,barat,чэпчэки
648,teuer::A,car,сыаналаах
649,wertvoll::A,preciós,сыаналаах
650,blind::A,cec,хараҕа суох
651,taub::A,sord,дьүлэй
652,kräftig::A,fort,модун
653,kräftig::A,vigorós,модун
654,stark::A,fort,күүстээх
655,schwach::A,feble,мөлтөх
656,fett::A,gras,эмис
657,schlank::A,esvelt,дьылҕан
658,schlank::A,esvelt,дьыпсаҕай
659,hübsch::A,maco,олус кэрэ
660,hübsch::A,maco,көрүөхтэн үчүгэй
661,böse::A,dolent,өһүөннээх
662,dumm::A,ximple,акаары
663,dumm::A,estúpid,акаары
664,faul::A,gandūl,нэс
665,faul::A,mandrós,нэс
666,fleißig::A,diligēnt,кыһамньылаах
667,geizig::A,avar,иҥсэлээх
668,klug::A,intel·ligent,өйдөөх
669,geschickt::A,hàbil,наһаа дьоҕурдаах
670,lieb::A,amat,тапталлаах
671,lieb::A,estimat,тапталлаах
672,lustig::A,alegre,көрдөөх
673,sanft::A,suau,намчы
674,sanft::A,suau,сымнаҕас
675,hungrig::A,afamat,аччык
676,krank::A,malālt,ыалдьар
677,nackt::A,nu,сыгынньах
678,traurig::A,trist,санаарҕабыллаах
679,lebendig::A,viu,тыыннаах
680,gut::A,bo,үтүө
681,gut::A,bo,үчүгэй
682,schlecht::A,dolēnt,куһаҕан
683,richtig::A,just,сөп
684,richtig::A,correcte,сөп
685,schlimm::A,greu,сидьиҥ
686,schlimm::A,greu,быдьар
687,wahr::A,vertader,кырдьык
688,wahr::A,veritable,кырдьык
689,alt::A,vell,былыргы
690,neu::A,nou,саҥа
691,ehemalig::A,antic,урукку
692,alt[Lebewesen]::A,vell,кырдьаҕас
693,jung::A,jove,эдэр
694,arm::A,pobre,дьадаҥы
695,reich::A,ric,баай
696,bekannt::A,conegut,билэр
697,berühmt::A,famós,аатырбыт
698,fremd::A,estrany,атын
699,verschieden::A,diferent,араас
700,nah::A,pròxim,чугас
701,fern::A,llunyà,ыраах
702,fern::A,distant,ыраах
703,linker::A,esquerre,хаҥас
704,rechter::A,dret,уҥа
705,anderer::A,altre,атын
706,erster::A,primer,маҥнайгы
707,zweiter::A,segon,иккис
708,dritter::A,tercer,үһүс
709,letzter::A,últim,тиһэх
710,allein::ADV,sol,соҕотох
711,auf einmal::ADV,d'una vegada,биирдэ
712,zusammen::ADV,junt,холбуу
713,lange::ADV,molt de temps,уһуннук
714,plötzlich::ADV,de cop,эмискэ
715,plötzlich::ADV,de sobte,эмискэ
716,sofort::ADV,de seguida,тута
717,später::ADV,més tard,хойут
718,jetzt::ADV,ara,билигин
719,heute::ADV,avūi,бүгүн
720,morgen::ADV,demà,сарсын
721,bald::ADV,aviāt,өтөр
722,dann::ADV,després,кэнна
723,gestern::ADV,ahir,бэҕэһээ
724,einst::ADV,anteriorment,биир төгүл
725,einst::ADV,anteriorment,арай биирдэ
726,damals::ADV,llavōrs,оччоҕо
727,damals::ADV,aleshores,оччоҕо
728,danach::ADV,després,аары
729,danach::ADV,després,ол кэнниттэн
730,vorher::ADV,abāns,урут
731,zuerst::ADV,primer,маҥнай
732,einmal::ADV,una vegada,биирдэ
733,manchmal::ADV,de vegades,арыт
734,oft::ADV,sovint,чаастатык
735,immer::ADV,sempre,мэлдьи
736,niemals::ADV,no ... mai,хаһан да
737,hier::ADV,aquí,маныаха
738,hierhin::ADV,per aquí,бэттэх
739,von hier::ADV,des d'aquí,мантан
740,dort::ADV,allí,онно
741,dorthin::ADV,hi,онно
742,geradeaus::ADV,tot dret,быһа
743,geradeaus::ADV,tot dret,быһаччы
744,vorwärts::ADV,endavānt,инники
745,rückwärts::ADV,endarrera,төттөру
746,zurück::ADV,darrere,төттөрү
747,unten::ADV,a baix,аллара
748,hinab::ADV,cap avall,аллара
749,oben::ADV,dalt,үөһэ
750,hinauf::ADV,cap amunt,өрө
751,hinauf::ADV,cap amunt,үөһэ
752,überall::ADV,pertot,бэйдиэ
753,überall::ADV,per tot arreu,бэйдиэ
754,nicht::ADV,no,буолбатах
755,ein wenig::ADV,una mica,кыратык
756,kaum::ADV,a penes,нэһиилэ
757,sehr::ADV,molt,бэрт
758,sehr::ADV,molt,наһаа
759,so::ADV,així,оччо
760,so::ADV,així,оннук
761,noch::ADV,encara,өссө
762,nur::ADV,només,эрэ
763,nur::ADV,només,сыччах
764,schon::ADV,ja,бэлиэр
765,wieder::ADV,de nou,эмиэ
766,vergebens::ADV,en va,таак
767,vor::PRP,davānt,иннигэр
768,vor::PRP,enfront de,иннигэр
769,hinter::PRP,darrera,кэлин
770,unter::PRP,sota,-ҕа
771,unter::PRP,sota,оһох түгэҕэ
772,durch::PRP,per,курдары
773,neben::PRP,al costāt de,аттыгар
774,zwischen::PRP,entre,ыккардынан
775,wegen::PRP,a causa de,уҥуортан
776,dies::PRN,aquest,ити
777,dies::PRN,aquest,бу
778,das::PRN,això,били
779,alles::PRN,tot,барыта
780,ich::PRN,jo,мин
781,du::PRN,tu,эн
782,er::PRN,ell,кнни
783,wir::PRN,nosaltres,биһиги
784,ihr::PRN,vosaltres,эһиги
785,sie::PRN,ells,кинилэр
786,sie::PRN,elles,кинилэр
787,was::FPRN,què,туох
788,wer::FPRN,qui,ким
789,wo::FADV,on,ханна
790,wohin::FADV,cap a on,ханна
