,Concept_ID,ru,cv
108,Hügel::N,холм,сӑрт
109,Hügel::N,холм,тӗмеске
110,Anhöhe::N,возвышенность,сӑрт
111,Berg::N,гора,ту
112,Gipfel::N,вершина,тӳпе
113,Höhle::N,пещера,ҫӗр хӑвӑлӗ
114,Abhang::N,склон,тӑвайкки
115,Quelle::N,источник,ҫӑл куҫ
116,Bach::N,ручей,пӗчӗк шыв
117,Fluss::N,река,юхан шыв
118,Ufer::N,берег,ҫыран
119,Küste::N,побережье,тинӗс ҫыранӗ
120,Festland::N,суша,тип ҫӗр
121,Meer::N,море,тинӗс
122,Bucht::N,бухта,тинӗс кукӑрӗ
123,Insel::N,остров,утрав
124,Blume::N,цветок,чечек
125,Gras::N,трава,курӑк
126,Wurzel::N,корень,тымар
127,Baum::N,дерево,йывӑҫ
128,Stamm::N,ствол,вулӑ
129,Rinde::N,кора,хуйӑр
130,Ast::N,сук,турат
131,Zweig::N,ветвь,турат
132,Blatt::N,лист,ҫулҫӑ
133,Birke::N,береза,хурӑн
134,Kiefer[Baum]::N,сосна,хыр
135,Weide[Baum]::N,ива,хӑва
136,Tanne::N,ель,чӑрӑш
137,Horn::N,рог,мӑйрака
138,Feder::N,перо,тӗк
139,Fell::N,шкура,ҫӑм
140,Flügel::N,крыло,ҫунат
141,Klaue::N,коготь,чӗрне
142,Kralle::N,лапа,ура
143,Schwanz::N,хвост,хӳре
144,Ei::N,яйцо,ҫӑмарта
145,Nest::N,гнездо,йӑва
146,Bau::N,нора,йӗнӗ
147,Tier::N,животное,выльӑх
148,Herde::N,стадо,кӗтӳ
149,Kuh::N,корова,ӗне
150,Bulle::N,бык,вӑкӑр
151,Pferd::N,лошадь,лаша
152,Schaf::N,овца,сурӑх
153,Schwein::N,свинья,сысна
154,Hund::N,собака,йытӑ
155,Katze::N,кошка,кушак
156,Bär::N,медведь,упа
157,Eichhörnchen::N,белка,пакша
158,Elch::N,лось,пӑши
159,Fuchs::N,лиса,тилӗ
160,Hase::N,заяц,куян
161,Hase::N,заяц,мулкач
162,Maus::N,мышь,шӑши
163,Wolf::N,волк,кашкӑр
164,Vogel::N,птица,кайӑк
165,Vogel::N,птица,вӗҫен кайӑк
166,Schwarm::N,стая,ушкӑн
167,Huhn::N,курица,чӑх
168,Huhn::N,курица,чӑхӑ
169,Hahn::N,петух,автан
170,Gans::N,гусь,хур
171,Adler::N,орел,ӑмӑрт кайӑк
172,Ente::N,утка,кӑвакал
173,Eule::N,сова,тӑмана
174,Kranich::N,журавль,тӑрна
175,Krähe::N,ворона,ула курак
176,Kuckuck::N,кукушка,куккук
177,Schwan::N,лебедь,акӑш
178,Fisch::N,рыба,пулӑ
179,Barsch::N,окунь,уланкӑ
180,Hecht::N,щука,ҫӑрттан
181,Schlange[Tier]::N,змея,ҫӗлен
182,Wurm::N,червяк,ӑман
183,Spinne::N,паук,эрешмен
184,Ameise::N,муравей,кӑткӑ
185,Laus::N,вошь,пыйтӑ
186,Mücke::N,комар,вӑрӑм туна
187,Fliege::N,муха,шӑна
188,Schmetterling::N,бабочка,лӗпӗш
189,Beere::N,ягода,ҫырла
190,Apfel::N,яблоко,улма
191,Apfel::N,яблоко,пан улми
192,Pilz::N,гриб,кӑмпа
193,Zwiebel::N,луковица,сухан
194,Saat::N,семя,вӑрӑ
195,Korn::N,зерно,тӗшӗ
196,Korn::N,зерно,пӗрчӗ
197,Heu::N,сено,утӑ
198,Schale::N,шелуха,хупӑ
199,Grube::N,яма,шӑтӑк
200,Falle::N,ловушка,тапӑ
201,Falle::N,ловушка,капкӑн
202,Schlinge::N,силок,йӑлӑ
203,Spur::N,след,йӗр
204,Asche::N,зола,кӗл
205,Asche::N,пепел,кӗл
206,Dreck::N,грязь,пылчӑк
207,Eisen::N,железо,тимӗр
208,Gold::N,золото,ылтӑн
209,Silber::N,серебро,кӗмӗл
210,Kohle::N,уголь,кӑмрӑк
211,Glas::N,стекло,кӗленче
212,Lehm::N,глина,тӑм
213,Sand::N,песок,хӑйӑр
214,Mensch::N,человек,ҫын
215,Mensch::N,человек,этем
216,Mann::N,мужчина,ар
217,Frau::N,женщина,хӗрарӑм
218,Kind::N,ребенок,ача
219,Junge::N,мальчик,ача
220,Junge::N,мальчик,ар ҫын ача
221,Mädchen::N,девочка,хӗр ача
222,Familie::N,семья,ҫемье
223,Familie::N,семья,кил-йыш
224,Großvater::N,дедушка,кукаҫи
225,Großmutter::N,бабушка,кукамай
226,Eltern::N,родители,аҫа-ама
227,Vater::N,отец,атте
228,Mutter::N,мать,анне
229,Sohn::N,сын,ывӑл
230,Tochter::N,дочь,хӗр
231,Bruder::N,брат,ар тӑван
232,Schwester::N,сестра,аппа
233,Schwester::N,сестра,йӑмӑк
234,Onkel::N,дядя,мучи
235,Onkel::N,дядя,пичче
236,Tante::N,тетя,аппа
237,Ehemann::N,муж,упӑшка
238,Ehefrau::N,жена,арӑм
239,Freude::N,радость,савӑнӑҫ
240,Freude::N,радость,хаваслӑх
241,Gelächter::N,смех,кулӑ
242,Glück::N,счастье,телей
243,Glück::N,счастье,ӑраскал
244,Kummer::N,горе,хурлӑх
245,Wunsch::N,желание,ӗмӗт
246,Wunsch::N,желание,кӑмӑл
247,Lust::N,влечение,кӑмӑл
248,Geist::N,дух,чун-чӗм
249,Geist::N,дух,ыр-усал
250,Geist::N,дух,чун хавалӗ
251,Gedanke::N,мысль,шухӑш
252,Gedächtnis::N,память,ас
253,Verstand::N,ум,ӑс
254,Verstand::N,ум,ӑс-тӑн
255,Verstand::N,ум,ӑс-хакӑл
256,Sinn::N,смысл,тупсӑм
257,Sinn::N,смысл,пӗлтерӗш
258,Grund::N,повод,сӑлтав
259,Wahrheit::N,правда,чӑнлӑх
260,Gespräch::N,беседа,калаҫу
261,Märchen::N,сказка,юмах
262,Erzählung::N,рассказ,акалав
263,Erzählung::N,рассказ,каласа пани
264,Nachricht::N,сообщение,хыпар
265,Neuigkeit::N,новость,ҫӗнӗ хыпар
266,Name::N,имя,ят
267,Rätsel::N,загадка,сутмалли юмах
268,Rede::N,речь,сӑмах
269,Sprache::N,язык,чӗлхе
270,Stimme::N,голос,сасӑ
271,Wort::N,слово,сӑмах
272,Zeichen::N,знак,паллӑ
273,Ruf::N,зов,йыхрав
274,Ruf::N,зов,чӗнӳ
275,Lärm::N,шум,шав
276,Laut::N,звук,сасӑ
277,Ton::N,звучание,сасӑ
278,Lied::N,песня,юрӑ
279,Ruhe::N,покой,канӑҫлӑх
280,Ruhe::N,покой,лӑпкӑлӑх
281,Leute::N,люди,ҫамрӑксем
282,Leute::N,люди,ҫамрӑк ҫынсем
283,Volk::N,народ,халӑх
284,Arbeit::N,работа,ӗҫхӗл
285,Arbeit::N,работа,ӗҫлев
286,Gast::N,гость,хӑна
287,Geschenk::N,подарок,парне
288,Geschenk::N,подарок,кучченеҫ
289,Spiel::N,игра,вӑйӑ
290,Gesellschaft::N,общество,общество
291,Hilfe::N,помощь,пулӑшу
292,Freund::N,друг,тус
293,Kamerad::N,приятель,юлташ
294,Kamerad::N,приятель,тус
295,Angelegenheit::N,дело,ӗҫ
296,Anzahl::N,количество,йыш
297,Anzahl::N,количество,хисеп
298,Art::N,вид,тӗс
299,Stück::N,кусок,татӑк
300,Teil::N,часть,пай
301,Hälfte::N,половина,ҫурӑ
302,Kreis::N,круг,ункӑ
303,Kreis::N,круг,ҫавракӑш
304,Kreuz::N,крест,хӗрес
305,Linie::N,линия,йӗр
306,Strich::N,черта,йӗр
307,Abstand::N,промежуток,хушӑ
308,Entfernung::N,расстояние,хушӑ
309,Gegend::N,местность,вырӑн
310,Platz::N,пространство,хутлӑх
311,Ort::N,место,вырӑн
312,Seite::N,сторона,ен
313,Seite::N,сторона,аяк
314,Seite::N,сторона,айӑк
315,Mitte::N,середина,варӑ
316,Gegenstand::N,предмет,япала
317,Sache::N,вещь,япала
318,Rand::N,край,вӗҫ
319,Rand::N,край,хӗрӗ
320,Rand::N,край,хӗрри
321,Kante::N,ребро,хайкача
322,Kante::N,ребро,хысак
323,Ecke::N,угол,кӗтес
324,Spitze::N,кончик,вӗҫ
325,Ende::N,конец,вӗҫ
326,Loch::N,дыра,шӑтӑк
327,Winkel::N,угол,кӗтес
328,Muster::N,узор,эреш
329,Größe::N,размер,пысӑкӑш
330,Länge::N,длина,вӑрӑмӑш
331,Höhe::N,высота,ҫӳллӗш
332,Gewicht::N,вес,виҫе
333,Gewicht::N,вес,йывӑрӑш
334,Menge::N,количество,йыш
335,Haufen::N,куча,купа
336,Reihe::N,ряд,рет
337,Boot::N,лодка,кимӗ
338,Ruder::N,весло,кӗсмен
339,Schlitten::N,сани,ҫуна
340,Ski::N,лыжа,йӗлтӗр
341,Lagerfeuer::N,костер,вут
342,Lagerfeuer::N,костер,кӑвайт
343,Last::N,тяжесть,сулмаклӑх
344,Last::N,тяжесть,йывӑр япала
345,Gang::N,ход,куҫӑм
346,Schritt::N,шаг,утӑм
347,Schritt::N,шаг,пусӑм
348,Norden::N,север,ҫурҫӗр
349,Süden::N,юг,кӑнтӑр
350,Westen::N,запад,анӑҫ
351,Westen::N,запад,хӗвел анӑҫ
352,Osten::N,восток,хӗвел тухӑҫ
353,Holz::N,древесина,йывӑҫ
354,Brett::N,доска,хӑма
355,Platte::N,плита,плита
356,Stütze::N,подпорка,ура
357,Stange::N,жердь,шерте
358,Stock::N,палка,патак
359,Stab::N,шест,шӑчӑ
360,Rohr::N,труба,пӑрӑх
361,Haus::N,дом,ҫурт
362,Heim::N,дом,кил
363,Ofen::N,печь,кӑмака
364,Fußboden::N,пол,урай
365,Tisch::N,стол,сӗтел
366,Stuhl::N,стул,пукан
367,Wiege::N,колыбель,сӑпка
368,Bett::N,постель,кравать
369,Regal::N,полка,ҫӳлӗк
370,Regal::N,полка,сентре
371,Kiste::N,ящик,ещӗк
372,Kiste::N,ящик,сунтӑх
373,Fenster::N,окно,чӳрече
374,Tür::N,дверь,алӑк
375,Tor::N,ворота,хапха
376,Zaun::N,забор,хӳме
377,Dach::N,крыша,тӑрӑ
378,Leiter::N,лестница,пусма
379,Besen::N,метла,шӑпӑр
380,Spaten::N,лопата,кӗреҫе
381,Schaufel::N,совок,кӗреҫе
382,Gabel::N,вилка,вилка
383,Löffel::N,ложка,кашӑк
384,Messer::N,нож,ҫӗҫӗ
385,Nagel::N,гвоздь,пӑта
386,Netz::N,сеть,тетел
387,Haken::N,крюк,йӑрхах
388,Haken::N,крюк,ҫекӗл
389,Griff::N,ручка,хӑлӑп
390,Schloss::N,замок,ҫӑра
391,Bild::N,картина,сӑн
392,Bild::N,картина,сӑнлӑх
393,Bild::N,картина,картина
394,Figur::N,фигура,кӗлетке
395,Puppe::N,кукла,пукане
396,Beutel::N,мешок,михӗ
397,Bündel::N,связка,ҫыхӑ
398,Bündel::N,связка,тӗрке
399,Tasche::N,сумка,сумка
400,Eimer::N,ведро,витре
401,Deckel::N,крышка,хупӑ
402,Geschirr::N,посуда,савӑт-сапа
403,Sack::N,мешок,михӗ
404,Tasse::N,чашка,курка
405,Topf::N,кастрюля,кастрюль
406,Kessel::N,котел,хуран
407,Essen::N,еда,апат
408,Nahrung::N,пища,апат-ҫимӗс
409,Speise::N,блюдо,апат
410,Speise::N,блюдо,ҫимӗҫ
411,Speise::N,кушанье,апат
412,Speise::N,кушанье,ҫимӗҫ
413,Fleisch::N,мясо,аш
414,Fleisch::N,мясо,какай
415,Getreide::N,хлеб,тырӑ
416,Brei::N,каша,пӑтӑ
417,Brot::N,хлеб,ҫӑкӑр
418,Scheibe::N,ломоть,чӗлӗ
419,Scheibe::N,ломоть,касӑк
420,Fett::N,жир,ҫу
421,Butter::N,масло,ҫу
422,Öl::N,масло,ҫу
423,Salz::N,соль,тӑвар
424,Suppe::N,суп,яшка
425,Honig::N,мед,пыл
426,Milch::N,молоко,сӗт
427,Tee::N,чай,чей
428,Leder::N,кожа,сӑран
429,Wolle::N,шерсть,ҫӑм
430,Stoff::N,ткань,тӗртӗм
431,Nadel::N,игла,йӗп
432,Faden::N,нитка,ҫип
433,Knopf::N,пуговица,тӳме
434,Knoten::N,узел,йӑлӑ
435,Farbe::N,краска,сӑрӑ
436,Kleidung::N,одежда,тум
437,Kleidung::N,одежда,ҫипуҫ
438,Kleidung::N,одежда,тум-тир
439,Hemd::N,рубашка,кӗпе
440,Kragen::N,воротник,ҫуха
441,Ärmel::N,рукав,ҫанӑ
442,Hose::N,брюки,шӑлавар
443,Gürtel::N,пояс,пиҫиххи
444,Mütze::N,шапка,ҫӗлӗк
445,Schuh::N,ботинок,пушмак
446,Schuh::N,ботинок,ботинок
447,Stiefel::N,сапог,атӑ
448,Ring::N,кольцо,ҫӗрӗ
449,Band::N,лента,хаю
450,Band::N,лента,йӗсме
451,Kamm::N,расческа,тура
452,Spiegel::N,зеркало,тӗкӗр
453,Spiegel::N,зеркало,куҫ кӗски
454,Riemen::N,ремень,чӗн
455,Schnur::N,веревка,кантра
456,Leine::N,поводок,касмӑк
457,Decke::N,одеяло,утиял
458,Kissen::N,подушка,ҫытар
459,Kissen::N,подушка,минтер
460,Tuch::N,платок,тутӑр
461,Handtuch::N,полотенце,ал шӑлли
462,Kraft::N,сила,вӑй
463,Kraft::N,сила,хӑват
464,Stärke::N,крепость,хал
465,Stärke::N,крепость,хӑват
466,Gesundheit::N,здоровье,хал
467,Gesundheit::N,здоровье,сывлӑх
468,Krankheit::N,болезнь,чир
469,Schmerz::N,боль,ырату
470,Wunde::N,рана,суран
471,Fieber::N,лихорадка,сив чир
472,Fieber::N,температура,сив чир
473,Arznei::N,лекарство,эмел
474,Brücke::N,мост,кӗпер
475,Brunnen::N,колодец,ҫӑл
476,Brunnen::N,колодец,пусӑ
477,Weide::N,пастбище,ҫаран
478,Pfad::N,тропа,йӗр
479,Pfad::N,тропа,сукмак
480,Weg::N,путь,ҫул
481,Weg::N,путь,ҫул-йӗр
482,Weg::N,дорога,ҫул
483,Weg::N,дорога,ҫул-йӗр
484,Straße::N,улица,ҫӳрев
485,Straße::N,улица,ҫул ҫӳрени
486,Straße::N,дорога,ҫӳрев
487,Straße::N,дорога,ҫул ҫӳрени
488,Dorf::N,деревня,ял
489,Stadt::N,город,хула
490,Brief::N,письмо,ҫыру
491,Buch::N,книга,кӗнеке
492,Buchstabe::N,буква,сас палли
493,Zeitung::N,газета,хаҫат
494,Leben::N,жизнь,пурнӑҫ
495,Tod::N,смерть,вилӗм
496,Grab::N,могила,масар шӑтӑкӗ
497,Kirche::N,церковь,чиркӳ
498,Sünde::N,грех,ҫылӑх
499,Gott::N,бог,турӑ
500,Arbeiter::N,рабочий,рабочи
501,Chef::N,начальник,пуҫлӑх
502,Meister::N,мастер,ӑста
503,Meister::N,мастер,мастер
504,Arzt::N,врач,врач
505,Arzt::N,врач,тухтӑр
506,Lehrer::N,учитель,учитель
507,Lehrer::N,учитель,вӗрентекен
508,Geld::N,деньги,укҫа
509,Geschäft::N,занятие,бизнес
510,Laden::N,магазин,магазин
511,Preis::N,цена,хак
512,Ware::N,товар,тавар
513,Nutzen::N,выгода,пайта
514,Reichtum::N,богатство,мул
515,Welt::N,мир,тӗнче
516,Land::N,страна,ҫӗр-шыв
517,Staat::N,государство,патшàлӑх
518,König::N,король,король
519,Macht::N,власть,власть
520,Grenze::N,граница,чикӗ
521,Krieg::N,война,вӑрҫӑ
522,Feind::N,враг,тӑшман
523,Gewalt::N,насилие,ирӗксӗрлӳ
524,Kampf::N,борьба,кӗрешӳ
525,Bogen[Waffe]::N,лук,ухӑ
526,Pfeil::N,стрела,ҫӗмрен
527,Pfeil::N,стрела,ухӑ йӗппи
528,Gewehr::N,ружье,пӑшал
529,Fehler::N,ошибка,йӑнӑш
530,Lüge::N,ложь,суя
531,Lüge::N,ложь,ултав
532,Schaden::N,вред,сиен
533,Unglück::N,беда,шар
534,Unglück::N,беда,инкек
535,Schuld::N,вина,айӑп
536,Alter::N,возраст,ҫул шучӗ
537,Schluss::N,окончание,пӗтни
538,Schluss::N,окончание,пӗтмӗш
539,Zeit::N,время,вӑхӑт
540,Tag::N,день,кун
541,Morgen::N,утро,ир
542,Mittag::N,полдень,кӑнтӑрла
543,Abend::N,вечер,каҫ
544,Nacht::N,ночь,каҫ
545,Woche::N,неделя,эрне
546,Monat::N,месяц,уйӑх
547,Jahr::N,год,ҫулталӑк
548,Frühling::N,весна,ҫур
549,Frühling::N,весна,ҫуркунне
550,Sommer::N,лето,ҫу
551,Sommer::N,лето,ҫулла
552,Herbst::N,осень,кӗр
553,Herbst::N,осень,кӗркунне
554,Winter::N,зима,хӗл
555,Winter::N,зима,хӗлле
556,Januar::N,январь,январь
557,Februar::N,февраль,февраль
558,Februar::N,февраль,кӗҫӗн кӑрлач
559,März::N,март,март
560,März::N,март,пуш уйӑхӗ
561,April::N,апрель,апрель
562,Mai::N,май,май
563,Juni::N,июнь,июнь
564,Juli::N,июль,июль
565,August::N,август,август
566,September::N,сентябрь,сентябрь
567,September::N,сентябрь,авӑн уйӑхӗ
568,Oktober::N,октябрь,октябрь
569,November::N,ноябрь,ноябрь
570,Dezember::N,декабрь,раштав
571,Dezember::N,декабрь,декабрь
572,Montag::N,понедельник,тунти кун
573,Dienstag::N,вторник,ытлари кун
574,Mittwoch::N,среда,юн кун
575,Donnerstag::N,четверг,кӗҫнерни кун
576,Freitag::N,пятница,эрне кун
577,Samstag::N,суббота,шӑмат кун
578,Sonntag::N,воскресенье,вырсарни кун
579,groß::A,большой,пысӑк
580,klein::A,маленький,пӗчӗк
581,lang::A,длинный,вӑрӑм
582,kurz::A,короткий,кӗске
583,breit::A,широкий,сарлака
584,schmal::A,узкий,ансӑр
585,dicht::A,густой,йӑвӑ
586,dick[Gegenstand]::A,толстый,хулӑн
587,dünn::A,тонкий,ҫинҫе
588,dünn::A,тонкий,ҫӳхе
589,fein::A,тонкий,тарай
590,fein::A,тонкий,вӗлтӗрти
591,fest::A,крепкий,тӗреклӗ
592,flach::A,плоский,лаптак
593,glatt::A,гладкий,такӑр
594,hart::A,твердый,хытӑ
595,weich::A,мягкий,ҫемҫе
596,rund::A,круглый,ҫавра
597,spitz::A,остроконечный,шӗвӗр
598,scharf::A,острый,ҫивӗч
599,stumpf::A,тупой,мӑка
600,stumpf::A,тупой,пуклак
601,stumpf::A,тупой,тӗрӗнчӗк
602,stumpf::A,тупой,ӑнкарусӑр
603,schwer::A,тяжелый,йывӑр
604,schön::A,красивый,илемлӗ
605,heiß::A,жаркий,вӗри
606,warm::A,теплый,ӑшӑ
607,kalt::A,холодный,сивӗ
608,kühl::A,прохладный,уҫӑ
609,frisch::A,свежий,уҫӑ
610,feucht::A,влажный,йӗпе
611,nass::A,мокрый,нӳрӗ
612,trocken::A,сухой,типӗ
613,voll::A,полный,тулли
614,voll::A,наполненный,тулли
615,leer::A,пустой,пушӑ
616,offen::A,открытый,уҫӑ
617,geschlossen::A,закрытый,хупӑ
618,sauber::A,чистый,таса
619,schmutzig::A,грязный,пылчӑклӑ
620,schmutzig::A,грязный,вараланчӑк
621,roh::A,сырой,чӗрӗ
622,reif::A,зрелый,пулнӑ
623,reif::A,зрелый,пиҫӗхнӗ
624,reif::A,зрелый,аталаннӑ
625,reif::A,зрелый,пиҫсе ҫитнӗ
626,lecker::A,вкусный,тутлӑ
627,lecker::A,вкусный,техӗмлӗ
628,süß::A,сладкий,пылак
629,bitter::A,горький,йӳҫӗ
630,sauer::A,кислый,йӳҫӗ
631,sauer::A,кислый,йӳҫек
632,sauer::A,кислый,кӑвасак
633,hell::A,светлый,ҫутӑ
634,dunkel::A,темный,тӗттӗм
635,schwarz::A,черный,хура
636,weiß::A,белый,шурӑ
637,rot::A,красный,хӗрлӗ
638,gelb::A,желтый,сарӑ
639,blau::A,синий,кӑвак
640,grün::A,зеленый,симӗс
641,grün::A,зеленый,пиҫмен
642,grün::A,зеленый,ӑс пухман
643,grau::A,серый,кӑвак
644,bunt::A,пестрый,чӑпар
645,billig::A,дешевый,йӳнӗ
646,teuer::A,дорогой,хаклӑ
647,wertvoll::A,ценный,паха
648,blind::A,слепой,суккӑр
649,taub::A,глухой,хӑлхасӑр
650,kräftig::A,могучий,хӑватлӑ
651,stark::A,сильный,вирлӗ
652,schwach::A,слабый,халсӑр
653,fett::A,жирный,самӑр
654,fett::A,жирный,мӑнтӑр
655,schlank::A,стройный,йӑрӑс
656,schlank::A,стройный,яштака
657,hübsch::A,прелестный,хитре
658,böse::A,злой,усал
659,dumm::A,глупый,ухмах
660,faul::A,ленивый,наян
661,faul::A,ленивый,юлхав
662,faul::A,ленивый,ӳркенчӗк
663,fleißig::A,прилежный,хастар
664,geizig::A,жадный,хытӑ
665,klug::A,умный,ӑслӑ
666,geschickt::A,искусный,ӑста
667,lieb::A,милый,савнӑ
668,lustig::A,веселый,хаваслӑ
669,sanft::A,нежный,ачаш
670,hungrig::A,голодный,выҫӑ
671,krank::A,больной,чирлӗ
672,nackt::A,голый,ҫара
673,traurig::A,грустный,салхуллӑ
674,lebendig::A,живой,чӗрӗ
675,gut::A,хороший,аван
676,gut::A,хороший,лайӑх
677,schlecht::A,плохой,япӑх
678,schlecht::A,плохой,начар
679,richtig::A,правильный,тӗрӗс
680,schlimm::A,отвратительный,йӗрӗнчӗк
681,schlimm::A,мерзкий,йӗрӗнчӗк
682,wahr::A,настоящий,чӑн
683,alt::A,старый,кивӗ
684,neu::A,новый,ҫӗнӗ
685,ehemalig::A,бывший,пулнӑ
686,alt[Lebewesen]::A,пожилой,ватӑ
687,jung::A,молодой,яш
688,jung::A,молодой,ҫамрӑк
689,arm::A,бедный,чухӑн
690,reich::A,богатый,пуян
691,bekannt::A,знакомый,пӗлӗш
692,berühmt::A,знаменитый,чаплӑ
693,fremd::A,чужой,ют
694,verschieden::A,разный,расна
695,nah::A,близкий,ҫывӑх
696,nah::A,близкий,ҫывӑхри
697,fern::A,далекий,инҫе
698,fern::A,далекий,аякри
699,linker::A,левый,сулахай
700,rechter::A,правый,сылтӑм
701,anderer::A,другой,урӑх
702,erster::A,первый,пӗрремӗш
703,zweiter::A,второй,иккӗмӗш
704,dritter::A,третий,виҫҫӗмӗш
705,letzter::A,последний,юлашки
706,allein::ADV,один,пӗччен
707,auf einmal::ADV,сразу,кӗмӗрккен
708,zusammen::ADV,вместе,пӗрле
709,lange::ADV,долго,вӑрах
710,plötzlich::ADV,вдруг,сасартӑк
711,sofort::ADV,тотчас,тӳрех
712,später::ADV,позже,кайран
713,jetzt::ADV,сейчас,халь
714,jetzt::ADV,сейчас,халӗ
715,heute::ADV,сегодня,паян
716,morgen::ADV,завтра,ыран
717,bald::ADV,скоро,халех
718,bald::ADV,скоро,кӗҫех
719,dann::ADV,потом,унтан
720,gestern::ADV,вчера,ӗнер
721,einst::ADV,однажды,пӗррехинче
722,damals::ADV,тогда,ун чухне
723,damals::ADV,тогда,апла пулсан
724,danach::ADV,затем,унтан
725,vorher::ADV,раньше,малтан
726,zuerst::ADV,сперва,пирвай
727,einmal::ADV,раз,пӗррехинче
728,manchmal::ADV,иногда,хӑш чухне
729,oft::ADV,часто,тӑтӑш
730,immer::ADV,всегда,ялан
731,niemals::ADV,никогда,нихӑҫан та
732,hier::ADV,здесь,кунта
733,hierhin::ADV,сюда,кунта
734,von hier::ADV,отсюда,кунтан
735,dort::ADV,там,унта
736,dort::ADV,там,ҫавӑнта
737,dorthin::ADV,туда,унта
738,dorthin::ADV,туда,ҫавӑнта
739,geradeaus::ADV,прямо,тикӗс
740,vorwärts::ADV,вперед,малалла
741,rückwärts::ADV,назад,хыҫала
742,zurück::ADV,обратно,каялла
743,unten::ADV,внизу,аялта
744,hinab::ADV,вниз,аялта
745,oben::ADV,наверху,ҫӳлте
