,Concept_ID,no,hu
114,Wald::N,skog,erdő
115,Hügel::N,haug,domb
116,Hügel::N,bakke,domb
117,Anhöhe::N,haug,magaslat
118,Anhöhe::N,bakke,magaslat
119,Berg::N,berg,hegy
120,Berg::N,fjell,hegy
121,Gipfel::N,topp,csúcs
122,Höhle::N,hule,barlang
123,Abhang::N,li,lejtő
124,Abhang::N,skråning,lejtő
125,Quelle::N,kilde,forrás
126,Bach::N,bekk,patak
127,Fluss::N,elv,folyó
128,Ufer::N,bredd,part
129,Küste::N,kyst,tengerpart
130,Festland::N,fastland,szárazföld
131,Meer::N,hav,tenger
132,Bucht::N,bukt,öböl
133,Insel::N,øy,sziget
134,Blume::N,blomst,virág
135,Gras::N,gress,fű
136,Wurzel::N,rot,gyökér
137,Baum::N,tre,fa
138,Stamm::N,stamme,tő
139,Stamm::N,stamme,törzs
140,Rinde::N,bark,kéreg
141,Ast::N,gren,ág
142,Zweig::N,kvist,gally
143,Blatt::N,blad,levél
144,Birke::N,bjørk,nyír
145,Kiefer[Baum]::N,furu,fenyő
146,Weide[Baum]::N,selje,fűz
147,Weide[Baum]::N,piletre,fűz
148,Tanne::N,gran,fenyő
149,Horn::N,horn,szarv
150,Feder::N,fjær,toll
151,Fell::N,skinn,szőr
152,Fell::N,skinn,bunda
153,Flügel::N,vinge,szárny
154,Klaue::N,klauv,köröm
155,Kralle::N,klo,karom
156,Schwanz::N,hale,farok
157,Ei::N,egg,tojás
158,Nest::N,rede,fészek
159,Bau::N,hi,odú
160,Tier::N,dyr,állat
161,Herde::N,flokk,nyáj
162,Herde::N,flokk,csorda
163,Kuh::N,ku,tehén
164,Bulle::N,tyr,bika
165,Pferd::N,hest,ló
166,Schaf::N,får,juh
167,Schaf::N,får,birka
168,Schwein::N,gris,sertés
169,Hund::N,hund,eb
170,Hund::N,hund,kutya
171,Katze::N,katt,macska
172,Bär::N,bjørn,medve
173,Eichhörnchen::N,ekorn,mókus
174,Elch::N,elg,jávorszarvas
175,Fuchs::N,rev,róka
176,Hase::N,hare,nyúl
177,Maus::N,mus,egér
178,Wolf::N,ulv,farkas
179,Wolf::N,varg,farkas
180,Vogel::N,fugl,madár
181,Schwarm::N,sverm,raj
182,Huhn::N,høne,tyúk
183,Hahn::N,hane,kakas
184,Gans::N,gås,lúd
185,Gans::N,gås,liba
186,Adler::N,ørn,sas
187,Ente::N,and,kacsa
188,Eule::N,ugle,bagoly
189,Kranich::N,trane,daru
190,Krähe::N,kråke,varjú
191,Kuckuck::N,gjøk,kakukk
192,Schwan::N,svane,hattyú
193,Fisch::N,fisk,hal
194,Barsch::N,abbor,sügér
195,Hecht::N,gjedde,csuka
196,Schlange[Tier]::N,orm,kígyó
197,Schlange[Tier]::N,slange,kígyó
198,Wurm::N,orm,kukac
199,Wurm::N,mark,kukac
200,Spinne::N,edderkopp,pók
201,Ameise::N,maur,hangya
202,Laus::N,lus,tetű
203,Mücke::N,mygg,szúnyog
204,Fliege::N,flue,légy
205,Schmetterling::N,sommerfugl,lepke
206,Schmetterling::N,sommerfugl,pillangó
207,Beere::N,bær,bogyó
208,Apfel::N,eple,alma
209,Pilz::N,sopp,gomba
210,Zwiebel::N,løk,hagyma
211,Saat::N,sæd,vetőmag
212,Korn::N,korn,mag
213,Korn::N,korn,szem
214,Heu::N,høy,széna
215,Schale::N,skall,héj
216,Grube::N,grop,verem
217,Falle::N,felle,csapda
218,Schlinge::N,snare,tőr
219,Spur::N,spor,nyom
220,Asche::N,aske,hamu
221,Dreck::N,møkk,sár
222,Dreck::N,møkk,piszok
223,Dreck::N,skitt,sár
224,Dreck::N,skitt,piszok
225,Eisen::N,jern,vas
226,Gold::N,gull,arany
227,Silber::N,sølv,ezüst
228,Kohle::N,kol,szén
229,Kohle::N,kull,szén
230,Glas::N,glass,üveg
231,Lehm::N,leire,agyag
232,Lehm::N,leire,vályog
233,Sand::N,sand,homok
234,Mensch::N,menneske,ember
235,Mann::N,mann,úr
236,Mann::N,mann,férfi
237,Frau::N,kvinne,nő
238,Frau::N,kvinne,asszony
239,Kind::N,barn,gyerek
240,Kind::N,barn,gyermek
241,Junge::N,gutt,fiú
242,Mädchen::N,pike,lány
243,Mädchen::N,jente,lány
244,Familie::N,familie,család
245,Großvater::N,bestefar,nagyapa
246,Großmutter::N,bestemor,nagyanya
247,Eltern::N,foreldre,szülők
248,Vater::N,far,apa
249,Vater::N,far,atya
250,Mutter::N,mor,anya
251,Sohn::N,sønn,fiú
252,Tochter::N,datter,lány
253,Bruder::N,bror,fivér
254,Bruder::N,bror,testvér
255,Schwester::N,søster,nővér
256,Schwester::N,søster,lánytestvér
257,Onkel::N,onkel,nagybácsi
258,Tante::N,tante,nagynéni
259,Ehemann::N,ektemann,férj
260,Ehefrau::N,hustru,feleség
261,Freude::N,glede,öröm
262,Gelächter::N,latter,nevetés
263,Gelächter::N,latter,hahotázás
264,Glück::N,lykke,boldogság
265,Kummer::N,sorg,bánat
266,Wunsch::N,ønske,óhaj
267,Lust::N,lyst,kedv
268,Geist::N,ånd,elme
269,Geist::N,ånd,szellem
270,Gedanke::N,tanke,gondolat
271,Gedächtnis::N,minne,emlékezet
272,Gedächtnis::N,hukommelse,emlékezet
273,Verstand::N,forstand,ész
274,Verstand::N,forstand,értelem
275,Sinn::N,mening,értelem
276,Sinn::N,betydning,értelem
277,Grund::N,grunn,ok
278,Grund::N,grunn,alap
279,Wahrheit::N,sannhet,igaz
280,Wahrheit::N,sannhet,igazság
281,Gespräch::N,samtale,beszélgetés
282,Märchen::N,eventyr,mese
283,Erzählung::N,fortelling,elbeszélés
284,Nachricht::N,melding,hír
285,Nachricht::N,melding,híradás
286,Neuigkeit::N,nyhet,újság
287,Name::N,navn,név
288,Rätsel::N,gåte,rejtvény
289,Rede::N,tale,beszéd
290,Rede::N,tale,szónoklat
291,Sprache::N,språk,nyelv
292,Stimme::N,stemme,hang
293,Wort::N,ord,szó
294,Zeichen::N,tegn,jel
295,Ruf::N,rop,kiáltás
296,Lärm::N,bråk,zaj
297,Laut::N,lyd,hang
298,Ton::N,tone,hang
299,Lied::N,vise,dal
300,Lied::N,vise,ének
301,Ruhe::N,ro,csend
302,Ruhe::N,ro,nyugalom
303,Leute::N,folk,emberek
304,Volk::N,folk,nép
305,Arbeit::N,arbeid,dolog
306,Gast::N,gjest,vendég
307,Geschenk::N,gave,ajándék
308,Spiel::N,lek,játék
309,Spiel::N,spill,játék
310,Gesellschaft::N,selskap,társaság
311,Hilfe::N,hjelp,segítség
312,Freund::N,venn,barát
313,Kamerad::N,kamerat,társ
314,Angelegenheit::N,sak,ügy
315,Angelegenheit::N,anliggende,ügy
316,Anzahl::N,antall,szám
317,Art::N,art,faj
318,Art::N,art,fajta
319,Art::N,slag,faj
320,Art::N,slag,fajta
321,Stück::N,stykke,darab
322,Teil::N,del,rész
323,Hälfte::N,halvdel,fél
324,Kreis::N,ring,kör
325,Kreis::N,sirkel,kör
326,Kreuz::N,kors,kereszt
327,Kreuz::N,kryss,kereszt
328,Linie::N,linje,vonal
329,Strich::N,strek,vonás
330,Abstand::N,avstand,köz
331,Entfernung::N,avstand,távolság
332,Gegend::N,strøk,táj
333,Gegend::N,strøk,vidék
334,Platz::N,plass,hely
335,Ort::N,sted,hely
336,Seite::N,side,fél
337,Seite::N,side,oldal
338,Mitte::N,midte,közép
339,Gegenstand::N,gjenstand,tárgy
340,Sache::N,sak,dolog
341,Rand::N,rand,szél
342,Rand::N,rand,perem
343,Rand::N,rand,szegély
344,Kante::N,kant,él
345,Ecke::N,hjørne,sarok
346,Ecke::N,hjørne,szöglet
347,Spitze::N,spiss,csúcs
348,Ende::N,ende,vég
349,Loch::N,hull,lyuk
350,Winkel::N,vinkel,szög
351,Muster::N,mønster,minta
352,Größe::N,størrelse,nagyság
353,Länge::N,lengde,hossz
354,Länge::N,lengde,hosszúság
355,Höhe::N,høyde,magasság
356,Gewicht::N,vekt,súly
357,Menge::N,mengde,sokaság
358,Menge::N,mengde,mennyiség
359,Haufen::N,haug,halom
360,Haufen::N,bunke,halom
361,Reihe::N,rekke,sor
362,Boot::N,båt,csónak
363,Ruder::N,åre,evező
364,Schlitten::N,slede,szánkó
365,Schlitten::N,kjelke,szánkó
366,Ski::N,ski,sí
367,Lagerfeuer::N,leirbål,tábortűz
368,Last::N,bør,teher
369,Last::N,last,teher
370,Gang::N,gang,járás
371,Schritt::N,steg,lépés
372,Schritt::N,skritt,lépés
373,Norden::N,nord,észak
374,Süden::N,sør,dél
375,Westen::N,vest,nyugat
376,Osten::N,øst,kelet
377,Holz::N,tre,fa
378,Brett::N,fjøl,deszka
379,Brett::N,brett,deszka
380,Platte::N,plate,lap
381,Platte::N,plate,lemez
382,Stütze::N,støtte,támasz
383,Stütze::N,støtte,támaszték
384,Stange::N,stang,rúd
385,Stange::N,stang,pózna
386,Stock::N,pinne,pálca
387,Stab::N,stav,bot
388,Stab::N,kjepp,bot
389,Rohr::N,rør,cső
390,Haus::N,hus,ház
391,Heim::N,hjem,otthon
392,Ofen::N,ovn,kályha
393,Fußboden::N,gulv,padló
394,Tisch::N,bord,asztal
395,Stuhl::N,stol,szék
396,Wiege::N,vogge,bölcső
397,Bett::N,seng,ágy
398,Regal::N,reol,polc
399,Regal::N,reol,állvány
400,Regal::N,hylle,polc
401,Regal::N,hylle,állvány
402,Kiste::N,kasse,láda
403,Fenster::N,vindu,ablak
404,Tür::N,dør,ajtó
405,Tor::N,port,kapu
406,Zaun::N,gjerde,kerítés
407,Dach::N,tak,tető
408,Leiter::N,stige,létra
409,Besen::N,kost,seprű
410,Spaten::N,spade,ásó
411,Schaufel::N,skuffe,lapát
412,Gabel::N,gaffel,villa
413,Löffel::N,skje,kanál
414,Messer::N,kniv,kés
415,Nagel::N,spiker,szeg
416,Netz::N,nett,háló
417,Haken::N,krok,kampó
418,Griff::N,tak,nyél
419,Griff::N,tak,fogantyú
420,Griff::N,håndtak,nyél
421,Griff::N,håndtak,fogantyú
422,Schloss::N,lås,zár
423,Bild::N,bilde,kép
424,Figur::N,figur,alak
425,Puppe::N,dukke,bábu
426,Beutel::N,pose,zacskó
427,Bündel::N,bylt,köteg
428,Tasche::N,veske,táska
429,Eimer::N,bøtte,vödör
430,Deckel::N,lokk,fedő
431,Deckel::N,lokk,fedél
432,Geschirr::N,kjøkkentøy,edény
433,Sack::N,sekk,zsák
434,Tasse::N,kopp,csésze
435,Topf::N,gryte,fazék
436,Kessel::N,kjele,üst
437,Kessel::N,kjele,bogrács
438,Essen::N,mål,evés
439,Essen::N,mål,étkezés
440,Nahrung::N,mat,ennivaló
441,Nahrung::N,næring,ennivaló
442,Speise::N,matrett,étel
443,Fleisch::N,kjøtt,hús
444,Getreide::N,korn,gabona
445,Brei::N,grøt,pép
446,Brei::N,grøt,kása
447,Brot::N,brød,kenyér
448,Scheibe::N,skive,szelet
449,Fett::N,fett,háj
450,Fett::N,fett,zsír
451,Butter::N,smør,vaj
452,Öl::N,olje,olaj
453,Salz::N,salt,só
454,Suppe::N,suppe,leves
455,Honig::N,honning,méz
456,Milch::N,melk,tej
457,Tee::N,te,tea
458,Leder::N,lær,bőr
459,Leder::N,skinn,bőr
460,Wolle::N,ull,gyapjú
461,Stoff::N,tøy,szövet
462,Stoff::N,stoff,szövet
463,Nadel::N,nål,tű
464,Faden::N,tråd,fonál
465,Knopf::N,knapp,gomb
466,Knoten::N,knute,csomó
467,Farbe::N,farge,szín
468,Farbe::N,farge,festék
469,Kleidung::N,påkledning,ruha
470,Kleidung::N,påkledning,ruházat
471,Hemd::N,skjorte,ing
472,Kragen::N,krage,gallér
473,Ärmel::N,erme,ujj
474,Hose::N,bukse,gatya
475,Hose::N,bukse,nadrág
476,Gürtel::N,belte,öv
477,Mütze::N,lue,sapka
478,Schuh::N,sko,cipő
479,Stiefel::N,støvel,csizma
480,Ring::N,ring,gyűrű
481,Band::N,band,szalag
482,Kamm::N,kam,fésű
483,Spiegel::N,speil,tükör
484,Riemen::N,rem,szíj
485,Schnur::N,snor,zsinór
486,Leine::N,line,póráz
487,Decke::N,teppe,takaró
488,Kissen::N,pute,párna
489,Tuch::N,tøy,kendő
490,Handtuch::N,håndkle,törülköző
491,Kraft::N,kraft,erő
492,Stärke::N,styrke,erő
493,Stärke::N,styrke,erősség
494,Gesundheit::N,helse,egészség
495,Gesundheit::N,sunnhet,egészség
496,Krankheit::N,syke,kór
497,Krankheit::N,syke,betegség
498,Krankheit::N,sykdom,kór
499,Krankheit::N,sykdom,betegség
500,Schmerz::N,smerte,fájdalom
501,Wunde::N,sår,seb
502,Fieber::N,feber,láz
503,Arznei::N,medisin,orvosság
504,Arznei::N,medisin,gyógyszer
505,Arznei::N,legemiddel,orvosság
506,Arznei::N,legemiddel,gyógyszer
507,Brücke::N,bro,híd
508,Brunnen::N,brønn,kút
509,Weide::N,beite,legelő
510,Pfad::N,sti,ösvény
511,Weg::N,vei,út
512,Straße::N,gate,út
513,Dorf::N,landsby,falu
514,Stadt::N,by,város
515,Brief::N,brev,levél
516,Buch::N,bok,könyv
517,Buchstabe::N,bokstav,betű
518,Zeitung::N,avis,újság
519,Zeitung::N,avis,hírlap
520,Leben::N,liv,élet
521,Tod::N,død,halál
522,Grab::N,grav,sír
523,Kirche::N,kirke,templom
524,Sünde::N,synd,bűn
525,Sünde::N,synd,vétek
526,Gott::N,gud,isten
527,Arbeiter::N,arbeider,munkás
528,Chef::N,sjef,főnök
529,Meister::N,mester,mester
530,Arzt::N,lege,orvos
531,Lehrer::N,lærer,tanár
532,Lehrer::N,lærer,tanító
533,Geld::N,penger,pénz
534,Geschäft::N,forretning,üzlet
535,Laden::N,butikk,bolt
536,Preis::N,pris,ár
537,Ware::N,vare,áru
538,Nutzen::N,nytte,haszon
539,Reichtum::N,rikdom,gazdagság
540,Welt::N,verden,világ
541,Land::N,land,ország
542,Staat::N,stat,állam
543,König::N,konge,király
544,Macht::N,makt,hatalom
545,Grenze::N,grense,határ
546,Krieg::N,krig,háború
547,Feind::N,fiende,ellenség
548,Gewalt::N,vold,erőszak
549,Kampf::N,kamp,harc
550,Bogen[Waffe]::N,bue,íj
551,Pfeil::N,pil,nyíl
552,Gewehr::N,gevær,puska
553,Gewehr::N,gevær,fegyver
554,Fehler::N,feil,hiba
555,Lüge::N,løgn,hazugság
556,Schaden::N,skade,kár
557,Unglück::N,uhell,csapás
558,Unglück::N,uhell,balszerencse
559,Schuld::N,skyld,bűn
560,Alter::N,alder,kor
561,Schluss::N,slutt,vég
562,Schluss::N,slutt,befejezés
563,Zeit::N,tid,idő
564,Tag::N,dag,nap
565,Morgen::N,morgen,reggel
566,Mittag::N,middag,dél
567,Abend::N,aften,este
568,Nacht::N,natt,éj
569,Nacht::N,natt,éjszaka
570,Woche::N,uke,hét
571,Monat::N,måned,hó
572,Monat::N,måned,hónap
573,Jahr::N,år,év
574,Frühling::N,vår,tavasz
575,Sommer::N,sommer,nyár
576,Herbst::N,høst,ősz
577,Winter::N,vinter,tél
578,Januar::N,januar,január
579,Februar::N,februar,február
580,März::N,mars,március
581,April::N,april,április
582,Mai::N,mai,május
583,Juni::N,juni,június
584,Juli::N,juli,július
585,August::N,august,augusztus
586,September::N,september,szeptember
587,Oktober::N,oktober,október
588,November::N,november,november
589,Dezember::N,desember,december
590,Montag::N,mandag,hétfő
591,Dienstag::N,tirsdag,kedd
592,Mittwoch::N,onsdag,szerda
593,Donnerstag::N,torsdag,csütörtök
594,Freitag::N,fredag,péntek
595,Samstag::N,lørdag,szombat
596,Sonntag::N,søndag,vasárnap
597,groß::A,stor,nagy
598,klein::A,liten,pici
599,klein::A,liten,kicsi
600,lang::A,lang,hosszú
601,kurz::A,kort,rövid
602,breit::A,bred,széles
603,schmal::A,smal,keskeny
604,dicht::A,tett,sűrű
605,dick[Gegenstand]::A,tykk,vastag
606,dünn::A,tynn,vékony
607,fein::A,fin,vékony
608,fest::A,fast,szilárd
609,flach::A,flat,sík
610,flach::A,flat,lapos
611,glatt::A,glatt,sima
612,hart::A,hard,kemény
613,weich::A,myk,puha
614,weich::A,bløt,puha
615,rund::A,rund,kerek
616,spitz::A,spiss,hegyes
617,scharf::A,kvass,éles
618,stumpf::A,stubb,tompa
619,stumpf::A,stubb,életlen
620,schwer::A,tung,nehéz
621,schwer::A,tung,súlyos
622,schön::A,pen,szép
623,schön::A,vakker,szép
624,heiß::A,het,forró
625,warm::A,varm,meleg
626,kalt::A,kald,hideg
627,kühl::A,kjølig,hűs
628,kühl::A,kjølig,hűvös
629,frisch::A,fersk,üde
630,frisch::A,fersk,friss
631,feucht::A,fuktig,nedves
632,nass::A,våt,vizes
633,trocken::A,tørr,száraz
634,voll::A,full,telt
635,leer::A,tom,üres
636,offen::A,åpen,nyílt
637,offen::A,åpen,nyitott
638,geschlossen::A,lukket,zárt
639,geschlossen::A,lukket,csukott
640,sauber::A,ren,tiszta
641,schmutzig::A,skitten,piszkos
642,schmutzig::A,skitten,szennyes
643,roh::A,rå,nyers
644,reif::A,moden,érett
645,lecker::A,lekker,finom
646,süß::A,søt,édes
647,bitter::A,besk,keserű
648,bitter::A,bitter,keserű
649,sauer::A,sur,savanyú
650,hell::A,lys,világos
651,dunkel::A,mørk,sötét
652,schwarz::A,svart,fekete
653,weiß::A,hvit,fehér
654,rot::A,rød,vörös
655,gelb::A,gul,sárga
656,blau::A,blå,kék
657,grün::A,grønn,zöld
658,grau::A,grå,ősz
659,grau::A,grå,szürke
660,bunt::A,broket,tarka
661,bunt::A,broket,színes
662,billig::A,billig,olcsó
663,teuer::A,dyr,drága
664,wertvoll::A,verdifull,értékes
665,blind::A,blind,vak
666,taub::A,døv,süket
667,kräftig::A,kraftig,erős
668,stark::A,sterk,erős
669,schwach::A,svak,gyenge
670,schwach::A,svak,erőtlen
671,fett::A,fet,hájas
672,schlank::A,slank,karcsú
673,hübsch::A,pen,csinos
674,böse::A,slem,rossz
675,böse::A,slem,gonosz
676,dumm::A,dum,buta
677,dumm::A,dum,ostoba
678,faul::A,lat,lusta
679,faul::A,doven,lusta
680,fleißig::A,flittig,szorgalmas
681,geizig::A,gjerrig,fukar
682,geizig::A,gjerrig,fösvény
683,klug::A,klok,okos
684,klug::A,klok,eszes
685,geschickt::A,hendig,ügyes
686,geschickt::A,skikket,ügyes
687,lieb::A,kjær,drága
688,lieb::A,kjær,kedves
689,lieb::A,snill,drága
690,lieb::A,snill,kedves
691,lustig::A,morsom,víg
692,lustig::A,morsom,vidám
693,sanft::A,blid,enyhe
694,hungrig::A,sulten,éhes
695,krank::A,syk,beteg
696,nackt::A,naken,csupasz
697,nackt::A,naken,meztelen
698,traurig::A,sørgmodig,bús
699,traurig::A,sørgmodig,szomorú
700,lebendig::A,levende,élő
701,gut::A,god,jó
702,schlecht::A,dårlig,rossz
703,richtig::A,riktig,helyes
704,schlimm::A,slem,rossz
705,wahr::A,sann,igaz
706,alt::A,gammel,ó
707,alt::A,gammel,régi
708,neu::A,ny,új
709,ehemalig::A,forhenværende,volt
710,ehemalig::A,forhenværende,egykori
711,alt[Lebewesen]::A,gammel,öreg
712,jung::A,ung,fiatal
713,arm::A,fattig,szegény
714,reich::A,rik,gazdag
715,bekannt::A,kjent,ismert
716,bekannt::A,kjent,ismeretes
717,berühmt::A,berømt,híres
718,fremd::A,fremmed,idegen
719,verschieden::A,forskjellig,különböző
720,nah::A,nær,közeli
721,fern::A,fjern,távoli
722,linker::A,venstre,bal
723,rechter::A,høyre,jobb
724,anderer::A,annen,más
725,anderer::A,annen,másik
726,erster::A,første,első
727,zweiter::A,annen,második
728,dritter::A,tredje,harmadik
729,letzter::A,sist,utolsó
730,allein::ADV,alene,egyedül
731,auf einmal::ADV,med ett,egyszerre
732,zusammen::ADV,sammen,együtt
733,zusammen::ADV,sammen,összesen
734,lange::ADV,lenge,sokáig
735,lange::ADV,lenge,hosszan
736,plötzlich::ADV,plutselig,hirtelen
737,plötzlich::ADV,plutselig,egyszerre
738,sofort::ADV,straks,rögtön
739,sofort::ADV,straks,tüstént
740,später::ADV,senere,későn
741,jetzt::ADV,nå,most
742,heute::ADV,i dag,ma
743,morgen::ADV,i morgen,holnap
744,bald::ADV,snart,majd
745,bald::ADV,snart,nemsokára
746,dann::ADV,så,akkor
747,gestern::ADV,i går,tegnap
748,einst::ADV,engang,hajdan
749,damals::ADV,den gang,akkor
750,damals::ADV,den gang,akkoriban
751,danach::ADV,deretter,azután
752,vorher::ADV,før,előbb
753,vorher::ADV,i forveien,előbb
754,zuerst::ADV,først,először
755,einmal::ADV,en gang,egyszer
756,manchmal::ADV,somme tider,néha
757,manchmal::ADV,somme tider,olykor
758,oft::ADV,ofte,sokszor
759,immer::ADV,alltid,mindig
760,niemals::ADV,aldri,sohasem
761,hier::ADV,her,itt
762,hierhin::ADV,hit,erre
763,von hier::ADV,herfra,innen
764,dort::ADV,der,ott
765,dorthin::ADV,dit,oda
766,geradeaus::ADV,rett fram,egyenesen
767,vorwärts::ADV,fram,előre
768,vorwärts::ADV,framover,előre
769,rückwärts::ADV,baklengs,hátrafelé
770,zurück::ADV,tilbake,hátra
771,zurück::ADV,tilbake,vissza
772,unten::ADV,nede,alul
773,hinab::ADV,ned,le
774,hinab::ADV,ned,lefelé
775,hinab::ADV,nedover,le
776,hinab::ADV,nedover,lefelé
777,oben::ADV,oppe,fenn
778,oben::ADV,oppe,felül
779,oben::ADV,ovenpå,fenn
780,oben::ADV,ovenpå,felül
781,hinauf::ADV,opp,fel
782,hinauf::ADV,opp,felfelé
783,hinauf::ADV,oppover,fel
784,hinauf::ADV,oppover,felfelé
785,überall::ADV,overalt,mindenütt
786,nicht::ADV,ikke,nem
787,ein wenig::ADV,litt,egy kicsit
788,kaum::ADV,neppe,alig
789,sehr::ADV,svært,nagyon
790,so::ADV,så,úgy
791,noch::ADV,enda,még
792,nur::ADV,bare,csak
793,nur::ADV,bare,csupán
794,schon::ADV,alt,már
795,schon::ADV,allerede,már
796,wieder::ADV,igjen,ismét
797,wieder::ADV,igjen,megint
798,vergebens::ADV,forgjeves,hiába
799,vor::PRP,foran,előtt
800,vor::PRP,utenfor,előtt
801,hinter::PRP,bak,mögött
802,hinter::PRP,bakom,mögött
803,unter::PRP,under,alatt
804,durch::PRP,gjennom,át
805,durch::PRP,gjennom,keresztül
806,durch::PRP,igjennom,át
807,durch::PRP,igjennom,keresztül
808,neben::PRP,ved siden av,mellett
809,zwischen::PRP,mellom,között
810,wegen::PRP,på grunn av,miatt
811,wegen::PRP,på grunn av,végett
812,dies::PRN,dette,ez
813,das::PRN,det,az
814,alles::PRN,alt,minden
815,ich::PRN,jeg,én
816,du::PRN,du,te
817,er::PRN,han,ő
818,wir::PRN,vi,mi
819,ihr::PRN,dere,ti
820,sie::PRN,de,ők
821,was::FPRN,hva,mi
822,wer::FPRN,hvem,ki
823,wo::FADV,hvor,hol
824,wohin::FADV,hvor ... hen,hova
825,wie::FADV,hvordan,hogy
826,wie::FADV,hvordan,hogyan
827,warum::FADV,hvorfor,miért
828,wieviel::FNUM,hvor mye,hány
829,wieviel::FNUM,hvor mye,mennyi
830,eins::NUM,en,egy
831,eins::NUM,ett,egy
832,zwei::NUM,to,kettő
833,drei::NUM,tre,három
834,vier::NUM,fire,négy
835,fünf::NUM,fem,öt
836,sechs::NUM,seks,hat
837,sieben::NUM,sju,hét
838,acht::NUM,åtte,nyolc
839,neun::NUM,ni,kilenc
840,zehn::NUM,ti,tíz
841,elf::NUM,elleve,tizenegy
842,zwölf::NUM,tolv,tizenkettő
843,zwanzig::NUM,tjue,húsz
844,dreißig::NUM,tretti,harminc
845,vierzig::NUM,førti,negyven
846,fünfzig::NUM,femti,ötven
847,sechzig::NUM,seksti,hatvan
848,siebzig::NUM,sytti,hetven
849,achtzig::NUM,åtti,nyolcvan
850,neunzig::NUM,nitti,kilencven
851,hundert::NUM,hundre,száz
852,tausend::NUM,tusen,ezer
853,und::CNJ,og,és
854,und::CNJ,og,meg
855,oder::CNJ,eller,vagy
856,stehen::V,stå,áll
857,sitzen::V,sitte,ül
