,Concept_ID,es,et
270,Sinn::N,sentido,tähendus
271,Sinn::N,significado,tähendus
272,Grund::N,causa,põhjus
273,Wahrheit::N,verdad,tõde
274,Gespräch::N,conversación,kõne
275,Gespräch::N,conversación,vestlus
276,Märchen::N,cuento,muinasjutt
277,Erzählung::N,cuento,jutustus
278,Erzählung::N,narración,jutustus
279,Nachricht::N,mensaje,teade
280,Neuigkeit::N,noticia,uudis
281,Name::N,nombre,nimi
282,Rätsel::N,acertijo,mõistatus
283,Rätsel::N,adivinanza,mõistatus
284,Rede::N,discurso,kõne
285,Sprache::N,lengua,keel
286,Stimme::N,voz,hääl
287,Wort::N,palabra,sõna
288,Zeichen::N,señal,märk
289,Ruf::N,llamada,hüüe
290,Lärm::N,ruido,müra
291,Lärm::N,barullo,müra
292,Laut::N,sonido,hääl
293,Ton::N,tono,toon
294,Lied::N,canción,laul
295,Ruhe::N,calma,rahu
296,Ruhe::N,calma,vaikus
297,Ruhe::N,silencio,rahu
298,Ruhe::N,silencio,vaikus
299,Leute::N,gente,inimesed
300,Volk::N,pueblo,rahvas
301,Arbeit::N,trabajo,töö
302,Gast::N,huésped,külaline
303,Gast::N,invitado,külaline
304,Geschenk::N,regalo,kingitus
305,Spiel::N,juego,mäng
306,Gesellschaft::N,compañía,selts
307,Hilfe::N,ayuda,abi
308,Hilfe::N,socorro,abi
309,Freund::N,amigo,sõber
310,Kamerad::N,camarada,sõber
311,Kamerad::N,compañero,sõber
312,Angelegenheit::N,asunto,asi
313,Anzahl::N,cantidad,arv
314,Anzahl::N,cantidad,hulk
315,Art::N,tipo,liik
316,Art::N,clase,liik
317,Stück::N,pieza,tükk
318,Teil::N,parte,osa
319,Hälfte::N,mitad,pool
320,Kreis::N,círculo,ring
321,Kreuz::N,cruz,rist
322,Linie::N,línea,joon
323,Strich::N,raya,joon
324,Strich::N,trazo,joon
325,Abstand::N,distancia,vahe
326,Entfernung::N,distancia,kaugus
327,Entfernung::N,distancia,vahemaa
328,Gegend::N,región,ümbrus
329,Gegend::N,comarca,ümbrus
330,Platz::N,espacio,ruum
331,Ort::N,sitio,paik
332,Seite::N,lado,pool
333,Seite::N,costado,pool
334,Mitte::N,medio,keskpaik
335,Mitte::N,centro,keskpaik
336,Gegenstand::N,objeto,ese
337,Sache::N,cosa,ese
338,Rand::N,borde,äär
339,Rand::N,borde,serv
340,Kante::N,borde,kant
341,Ecke::N,esquina,nurk
342,Spitze::N,punta,teravik
343,Ende::N,cabo,ots
344,Ende::N,cabo,jupp
345,Ende::N,extremo,ots
346,Ende::N,extremo,jupp
347,Loch::N,agujero,auk
348,Loch::N,abertura,auk
349,Winkel::N,ángulo,nurk
350,Muster::N,dibujo,muster
351,Größe::N,tamaño,suurus
352,Länge::N,longitud,pikkus
353,Höhe::N,altura,kõrgus
354,Höhe::N,altitud,kõrgus
355,Gewicht::N,peso,kaal
356,Gewicht::N,peso,raskus
357,Menge::N,cantidad,arv
358,Menge::N,cantidad,hulk
359,Haufen::N,montón,hunnik
360,Reihe::N,fila,rivi
361,Boot::N,bote,paat
362,Boot::N,barca,paat
363,Ruder::N,remo,aer
364,Schlitten::N,trineo,saan
365,Ski::N,esquí,suusk
366,Lagerfeuer::N,hoguera,lõke
367,Last::N,carga,koorem
368,Gang::N,marcha,käik
369,Schritt::N,paso,samm
370,Norden::N,norte,põhi
371,Süden::N,sur,lõuna
372,Westen::N,oeste,lääs
373,Osten::N,este,ida
374,Holz::N,madera,puu
375,Brett::N,tabla,saelaud
376,Platte::N,placa,plaat
377,Platte::N,plancha,plaat
378,Stütze::N,sostén,tugi
379,Stütze::N,soporte,tugi
380,Stange::N,vara,latt
381,Stange::N,vara,teivas
382,Stange::N,percha,latt
383,Stange::N,percha,teivas
384,Stock::N,palo,kepp
385,Stock::N,bastón,kepp
386,Stab::N,vara,varras
387,Stab::N,bastón,varras
388,Rohr::N,tubo,toru
389,Haus::N,casa,maja
390,Heim::N,hogar,kodu
391,Ofen::N,estufa,ahi
392,Fußboden::N,suelo,põrand
393,Tisch::N,mesa,laud
394,Stuhl::N,silla,tool
395,Wiege::N,cuna,häll
396,Wiege::N,cuna,kätki
397,Bett::N,cama,voodi
398,Regal::N,estantería,riiul
399,Kiste::N,caja,kast
400,Fenster::N,ventana,aken
401,Tür::N,puerta,uks
402,Tor::N,puerta,värav
403,Zaun::N,valla,aed
404,Zaun::N,valla,tara
405,Zaun::N,cercado,aed
406,Zaun::N,cercado,tara
407,Dach::N,techo,katus
408,Dach::N,tejado,katus
409,Leiter::N,escalera,redel
410,Besen::N,escoba,luud
411,Spaten::N,pala,labidas
412,Schaufel::N,pala,kühvel
413,Schaufel::N,paleta,kühvel
414,Gabel::N,tenedor,kahvel
415,Löffel::N,cuchara,lusikas
416,Messer::N,cuchillo,nuga
417,Nagel::N,clavo,nael
418,Netz::N,red,võrk
419,Haken::N,gancho,haak
420,Haken::N,gancho,konks
421,Haken::N,corchete,haak
422,Haken::N,corchete,konks
423,Griff::N,asa,sang
424,Griff::N,asa,käepide
425,Griff::N,mango,sang
426,Griff::N,mango,käepide
427,Schloss::N,cerradura,lukk
428,Bild::N,imagen,pilt
429,Figur::N,figura,kuju
430,Figur::N,figura,kujund
431,Puppe::N,muñeca,nukk
432,Beutel::N,bolsa,paun
433,Bündel::N,haz,kimp
434,Tasche::N,bolso,kott
435,Eimer::N,cubo,pang
436,Eimer::N,cubo,ämber
437,Deckel::N,tapa,kaas
438,Deckel::N,tapadera,kaas
439,Geschirr::N,vajilla,nõud
440,Sack::N,saco,kott
441,Tasse::N,taza,tass
442,Topf::N,olla,pada
443,Topf::N,marmita,pada
444,Kessel::N,caldera,pada
445,Essen::N,comida,söök
446,Nahrung::N,alimento,toit
447,Speise::N,plato,roog
448,Fleisch::N,carne,liha
449,Getreide::N,cereales,teravili
450,Brei::N,puré,puder
451,Brei::N,papilla,puder
452,Brot::N,pan,sai
453,Brot::N,pan,leib
454,Scheibe::N,lonja,viil
455,Scheibe::N,lonja,viilukas
456,Scheibe::N,rebanada,viil
457,Scheibe::N,rebanada,viilukas
458,Fett::N,grasa,rasv
459,Butter::N,mantequilla,või
460,Öl::N,aceite,õli
461,Salz::N,sal,sool
462,Suppe::N,sopa,supp
463,Honig::N,miel,mesi
464,Milch::N,leche,piim
465,Tee::N,té,tee
466,Leder::N,cuero,nahk
467,Wolle::N,lana,vill
468,Stoff::N,tela,kangas
469,Stoff::N,tejido,kangas
470,Nadel::N,aguja,nõel
471,Faden::N,hilo,niit
472,Knopf::N,botón,nööp
473,Knoten::N,nudo,sõlm
474,Farbe::N,pintura,värv
475,Kleidung::N,ropa,riided
476,Kleidung::N,ropa,riietus
477,Kleidung::N,vestidos,riided
478,Kleidung::N,vestidos,riietus
479,Hemd::N,camisa,särk
480,Kragen::N,cuello,krae
481,Ärmel::N,manga,varrukas
482,Hose::N,pantalón,püksid
483,Gürtel::N,cinturón,vöö
484,Mütze::N,gorro,müts
485,Schuh::N,zapato,king
486,Stiefel::N,bota,saabas
487,Ring::N,anillo,sõrmus
488,Band::N,cinta,lint
489,Kamm::N,peine,kamm
490,Spiegel::N,espejo,peegel
491,Riemen::N,correa,rihm
492,Schnur::N,cuerda,nöör
493,Leine::N,correa,jalutusrihm
494,Decke::N,manta,tekk
495,Kissen::N,almohada,padi
496,Tuch::N,pañuelo,kalev
497,Handtuch::N,toalla,käterätik
498,Kraft::N,fuerza,jõud
499,Stärke::N,fuerza,tugevus
500,Gesundheit::N,salud,tervis
501,Krankheit::N,enfermedad,haigus
502,Schmerz::N,dolor,valu
503,Wunde::N,llaga,haav
504,Wunde::N,herida,haav
505,Fieber::N,fiebre,palavik
506,Arznei::N,medicina,ravim
507,Arznei::N,medicamento,ravim
508,Brücke::N,puente,sild
509,Brunnen::N,pozo,kaev
510,Weide::N,pasto,karjamaa
511,Pfad::N,sendero,rada
512,Weg::N,camino,tee
513,Straße::N,vía,tee
514,Straße::N,carretera,tee
515,Dorf::N,aldea,küla
516,Dorf::N,pueblo,küla
517,Stadt::N,ciudad,linn
518,Brief::N,carta,kiri
519,Buch::N,libro,raamat
520,Buchstabe::N,letra,täht
521,Buchstabe::N,carácter,täht
522,Zeitung::N,diario,ajaleht
523,Zeitung::N,periódico,ajaleht
524,Leben::N,vida,elu
525,Tod::N,muerte,surm
526,Grab::N,tumba,haud
527,Grab::N,sepulcro,haud
528,Kirche::N,iglesia,kirik
529,Sünde::N,pecado,patt
530,Gott::N,dios,jumal
531,Arbeiter::N,obrero,tööline
532,Arbeiter::N,trabajador,tööline
533,Chef::N,jefe,ülemus
534,Chef::N,jefe,juhataja
535,Meister::N,maestro,meister
536,Arzt::N,médico,arst
537,Lehrer::N,profesor,õpetaja
538,Geld::N,dinero,raha
539,Geschäft::N,negocio,äri
540,Laden::N,tienda,pood
541,Laden::N,tienda,kauplus
542,Preis::N,precio,hind
543,Ware::N,mercancía,kaup
544,Nutzen::N,provecho,tulu
545,Nutzen::N,provecho,kasulikkus
546,Reichtum::N,riqueza,rikkus
547,Welt::N,mundo,maailm
548,Land::N,país,maa
549,Staat::N,Estado,riik
550,König::N,rey,kuningas
551,Macht::N,poder,võim
552,Macht::N,potencia,võim
553,Grenze::N,frontera,piir
554,Krieg::N,guerra,sõda
555,Feind::N,enemigo,vaenlane
556,Gewalt::N,violencia,väevõim
557,Kampf::N,lucha,võitlus
558,Kampf::N,combate,võitlus
559,Bogen[Waffe]::N,arco,vibu
560,Pfeil::N,flecha,nool
561,Gewehr::N,fusil,püss
562,Gewehr::N,escopeta,püss
563,Fehler::N,error,viga
564,Lüge::N,mentira,vale
565,Schaden::N,daño,kahju
566,Unglück::N,desgracia,häda
567,Unglück::N,desgracia,õnnetus
568,Schuld::N,culpa,süü
569,Alter::N,edad,iga
570,Schluss::N,fin,lõpp
571,Schluss::N,final,lõpp
572,Zeit::N,tiempo,aeg
573,Tag::N,día,päev
574,Morgen::N,mañana,hommik
575,Mittag::N,mediodía,lõuna
576,Mittag::N,mediodía,keskpäev
577,Abend::N,noche,õhtu
578,Nacht::N,noche,öö
579,Woche::N,semana,nädal
580,Monat::N,mes,kuu
581,Jahr::N,año,aasta
582,Frühling::N,primavera,kevad
583,Sommer::N,verano,suvi
584,Herbst::N,otoño,sügis
585,Winter::N,invierno,talv
586,Januar::N,enero,jaanuar
587,Februar::N,febrero,veebruar
588,März::N,marzo,märts
589,April::N,abril,aprill
590,Mai::N,mayo,mai
591,Juni::N,junio,juuni
592,Juli::N,julio,juuli
593,August::N,agosto,august
594,September::N,septiembre,september
595,Oktober::N,octubre,oktoober
596,November::N,noviembre,november
597,Dezember::N,diciembre,detsember
598,Montag::N,lunes,esmaspäev
599,Dienstag::N,martes,teisipäev
600,Mittwoch::N,miércoles,kesknädal
601,Donnerstag::N,jueves,neljapäev
602,Freitag::N,viernes,reede
603,Samstag::N,sábado,laupäev
604,Sonntag::N,domingo,pühapäev
605,groß::A,grande,suur
606,klein::A,pequeño,väike
607,klein::A,pequeño,pisike
608,lang::A,largo,pikk
609,kurz::A,corto,lühike
610,breit::A,ancho,lai
611,schmal::A,estrecho,kitsas
612,dicht::A,denso,tihe
613,dick[Gegenstand]::A,grueso,jäme
614,dünn::A,fino,õhuke
615,dünn::A,fino,peenike
616,dünn::A,delgado,õhuke
617,dünn::A,delgado,peenike
618,fein::A,fino,peen
619,fein::A,fino,õhuke
620,fein::A,delicado,peen
621,fein::A,delicado,õhuke
622,fest::A,firme,püsiv
623,fest::A,firme,kindel
624,fest::A,sólido,püsiv
625,fest::A,sólido,kindel
626,flach::A,plano,lame
627,flach::A,plano,tasane
628,glatt::A,liso,sile
629,hart::A,duro,kõva
630,weich::A,muelle,pehme
631,rund::A,redondo,ümar
632,spitz::A,agudo,torkav
633,spitz::A,apuntado,torkav
634,scharf::A,agudo,terav
635,scharf::A,afilado,terav
636,stumpf::A,sin filo,nüri
637,schwer::A,pesado,raske
638,schön::A,bello,kena
639,schön::A,hermoso,kena
640,heiß::A,caluroso,kuum
641,heiß::A,caluroso,palav
642,warm::A,cálido,soe
643,warm::A,caliente,soe
644,kalt::A,frío,külm
645,kühl::A,fresco,jahe
646,frisch::A,fresco,värske
647,feucht::A,húmedo,niiske
648,nass::A,mojado,märg
649,trocken::A,seco,kuiv
650,voll::A,lleno,täis
651,leer::A,vacío,tühi
652,offen::A,abierto,avatud
653,offen::A,abierto,lahtine
654,geschlossen::A,cerrado,suletud
655,sauber::A,limpio,puhas
656,schmutzig::A,sucio,räpane
657,schmutzig::A,sucio,määrdunud
658,roh::A,crudo,toores
659,reif::A,maduro,küps
660,lecker::A,rico,hõrk
661,lecker::A,rico,maitsev
662,lecker::A,sabroso,hõrk
663,lecker::A,sabroso,maitsev
664,süß::A,dulce,magus
665,bitter::A,amargo,mõru
666,sauer::A,agrio,hapu
667,hell::A,claro,hele
668,dunkel::A,oscuro,pime
669,schwarz::A,negro,must
670,weiß::A,blanco,valge
671,rot::A,rojo,punane
672,gelb::A,amarillo,kollane
673,blau::A,azul,sinine
674,grün::A,verde,roheline
675,grau::A,gris,hall
676,bunt::A,multicolor,kirju
677,bunt::A,multicolor,värviline
678,billig::A,barato,odav
679,teuer::A,caro,kallis
680,wertvoll::A,valioso,väärtuslik
681,wertvoll::A,precioso,väärtuslik
682,blind::A,ciego,pime
683,taub::A,sordo,kurt
684,kräftig::A,fuerte,jõuline
685,stark::A,fuerte,tugev
686,stark::A,vigoroso,tugev
687,schwach::A,débil,nõrk
688,schwach::A,débil,jõuetu
689,fett::A,obeso,rasvane
690,schlank::A,esbelto,sale
691,hübsch::A,mono,kena
692,hübsch::A,guapo,kena
693,böse::A,malo,tige
694,dumm::A,tonto,juhm
695,dumm::A,tonto,rumal
696,dumm::A,estúpido,juhm
697,dumm::A,estúpido,rumal
698,faul::A,vago,laisk
699,faul::A,perezoso,laisk
700,fleißig::A,aplicado,virk
701,fleißig::A,aplicado,hoolas
702,fleißig::A,diligente,virk
703,fleißig::A,diligente,hoolas
704,geizig::A,avaro,ihne
705,klug::A,sensato,tark
706,klug::A,sensato,arukas
707,klug::A,sensato,mõistlik
708,klug::A,inteligente,tark
709,klug::A,inteligente,arukas
710,klug::A,inteligente,mõistlik
711,geschickt::A,hábil,osav
712,lieb::A,querido,armas
713,lustig::A,alegre,lõbus
714,sanft::A,suave,õrn
715,hungrig::A,hambriento,näljane
716,krank::A,enfermo,haige
717,nackt::A,desnudo,alasti
718,traurig::A,triste,kurb
719,lebendig::A,vivo,elus
720,lebendig::A,viviente,elus
721,gut::A,bueno,hea
722,schlecht::A,malo,halb
723,richtig::A,justo,õige
724,richtig::A,correcto,õige
725,schlimm::A,malo,paha
726,schlimm::A,grave,paha
727,wahr::A,verídico,tõene
728,wahr::A,verdadero,tõene
729,alt::A,viejo,vana
730,neu::A,nuevo,uus
731,ehemalig::A,antiguo,endine
732,alt[Lebewesen]::A,viejo,vana
733,jung::A,joven,noor
734,arm::A,pobre,vaene
735,reich::A,rico,rikas
736,bekannt::A,conocido,teada
737,bekannt::A,conocido,tuttav
738,berühmt::A,famoso,tuntud
739,berühmt::A,célebre,tuntud
740,fremd::A,extraño,võõras
741,verschieden::A,diverso,erinev
742,verschieden::A,distinto,erinev
743,verschieden::A,diferente,erinev
744,nah::A,cercano,lähedane
745,fern::A,lejano,kauge
746,linker::A,izquierdo,vasak
747,rechter::A,derecho,parem
748,anderer::A,otro,muu
749,anderer::A,otro,teine
750,erster::A,primero,esimene
751,zweiter::A,segundo,teine
752,dritter::A,tercero,kolmas
753,letzter::A,último,viimane
754,allein::ADV,a solo,üksi
755,auf einmal::ADV,de una vez,korraga
756,auf einmal::ADV,de una vez,ühekorraga
757,zusammen::ADV,juntos,koos
758,zusammen::ADV,juntos,üheskoos
759,lange::ADV,mucho tiempo,kaua
760,plötzlich::ADV,de repente,äkki
761,plötzlich::ADV,de repente,järsku
762,sofort::ADV,en seguida,kohe
763,später::ADV,más tarde,hiljem
764,jetzt::ADV,ahora,nüüd
765,heute::ADV,hoy,täna
766,morgen::ADV,mañana,homme
767,bald::ADV,pronto,pea
768,bald::ADV,pronto,varsti
769,bald::ADV,en breve,pea
770,bald::ADV,en breve,varsti
771,dann::ADV,luego,siis
772,dann::ADV,entonces,siis
773,gestern::ADV,ayer,eile
774,einst::ADV,antaño,vanasti
775,damals::ADV,entonces,tookord
776,danach::ADV,después,seejärel
777,vorher::ADV,antes,enne
778,zuerst::ADV,primero,enne
779,zuerst::ADV,primero,esmalt
780,einmal::ADV,una vez,kord
781,einmal::ADV,una vez,üks kord
782,manchmal::ADV,a veces,mõnikord
783,oft::ADV,a menudo,tihti
784,oft::ADV,a menudo,sageli
785,oft::ADV,con frecuencia,tihti
786,oft::ADV,con frecuencia,sageli
787,immer::ADV,siempre,ikka
788,immer::ADV,siempre,alati
789,niemals::ADV,jamás,mitte kunagi
790,hier::ADV,aquí,siin
791,hierhin::ADV,acá,siia
792,von hier::ADV,desde aquí,siit
793,dort::ADV,ahí,seal
794,dort::ADV,allí,seal
795,dorthin::ADV,allí,sinna
796,dorthin::ADV,hacia allí,sinna
797,geradeaus::ADV,todo derecho,otse edasi
798,vorwärts::ADV,adelante,edasi
799,rückwärts::ADV,hacia atrás,tagurpidi
800,zurück::ADV,atrás,tagasi
801,unten::ADV,abajo,all
802,unten::ADV,abajo,allpool
803,hinab::ADV,hacia abajo,alla
804,oben::ADV,arriba,ülal
805,hinauf::ADV,hacia arriba,üles
806,überall::ADV,por todas partes,kõikjal
807,nicht::ADV,no,ei
808,nicht::ADV,no,mitte
809,ein wenig::ADV,un poco,veidi
810,ein wenig::ADV,un poco,natuke
811,kaum::ADV,apenas,vaevalt
812,sehr::ADV,muy,väga
813,sehr::ADV,mucho,väga
814,so::ADV,tan,nii
815,noch::ADV,aún,veel
816,noch::ADV,todavía,veel
817,nur::ADV,solamente,ainult
818,schon::ADV,ya,juba
819,wieder::ADV,de nuevo,jälle
820,vergebens::ADV,en vano,asjata
821,vor::PRP,antes de,ees
822,vor::PRP,delante de,ees
823,hinter::PRP,tras,taha
824,hinter::PRP,detrás de,taha
825,unter::PRP,bajo,all
826,unter::PRP,debajo de,all
827,durch::PRP,por,läbi
828,durch::PRP,por,kaudu
829,durch::PRP,a través de,läbi
830,durch::PRP,a través de,kaudu
831,neben::PRP,al lado de,kõrval
832,zwischen::PRP,entre,vahel
833,wegen::PRP,por,tõttu
834,wegen::PRP,por,pärast
835,wegen::PRP,a causa de,tõttu
836,wegen::PRP,a causa de,pärast
837,dies::PRN,esto,see
838,das::PRN,eso,see
839,das::PRN,esto,see
840,alles::PRN,todo,kõik
841,ich::PRN,yo,mina
842,du::PRN,tú,sina
843,er::PRN,él,tema
844,wir::PRN,nosotros,me
845,ihr::PRN,vosotros,te
846,sie::PRN,ellos,nad
