,Concept_ID,cv,xal
64,Luft::N,сывлӑш,аһар
65,Wind::N,ҫил,салькн
66,Welle::N,хум,дольган
67,Wasser::N,шыв,усн
68,Wasser::N,шыв-шур,усн
69,Stein::N,чул,чолун
70,Boden::N,тӑпра,Һазр
71,Erde::N,ҫӗр,Һазр
72,Staub::N,тусан,тоосн
73,Rauch::N,тӗтӗм,утан
74,Funke::N,хӗм,очн
75,Feuer::N,вут,һал
76,Feuer::N,ҫулӑм,һал
77,Licht::N,ҫутӑ,герл
78,Schatten::N,сулхӑн,сүүдр
79,Wetter::N,ҫанталӑк,теңгр
80,Nebel::N,тӗтре,будн
81,Wolke::N,пӗлӗт,үүлн
82,Regen::N,ҫумӑр,хур
83,Schnee::N,юр,цасн
84,Eis::N,пӑр,мөсн
85,Frost::N,сивӗ,киитн
86,Kälte::N,сивӗ,киитн
87,Hitze::N,вӗри,халун
88,Hitze::N,шӑрӑх,халун
89,Raureif::N,пас,цаң
90,Raureif::N,пас,кирү
91,Regenbogen::N,асамат кӗперӗ,солңһ
92,Donner::N,аслати,оһтрһун дун
93,Strömung::N,юхӑ,урсхл
94,Tropfen::N,тумлам,дусал
95,Schaum::N,кӑпӑк,көөсн
96,Schmutz::N,пылчӑк,кир
97,See::N,кӳлӗ,нур
98,Sumpf::N,шур,унул
99,Sumpf::N,шурлӑх,унул
100,Moor::N,торфлӑ шурлӑх,улм
101,Wiese::N,улӑх,хадлһн
102,Wiese::N,ҫаран,хадлһн
103,Wald::N,вӑрман,ө-модн
104,Hügel::N,сӑрт,толһа
105,Hügel::N,тӗмеске,толһа
106,Anhöhe::N,сӑрт,хамр
107,Berg::N,ту,уул
108,Gipfel::N,тӳпе,ора
109,Höhle::N,ҫӗр хӑвӑлӗ,хадин көндә
110,Abhang::N,тӑвайкки,ташу
111,Quelle::N,ҫӑл куҫ,булг
112,Bach::N,пӗчӗк шыв,һооҗур
113,Fluss::N,юхан шыв,һол
114,Ufer::N,ҫыран,көвә
115,Küste::N,тинӗс ҫыранӗ,көвә
116,Küste::N,тинӗс ҫыранӗ,теңгсин көвә
117,Festland::N,тип ҫӗр,хүүрә һазр
118,Meer::N,тинӗс,теңгс
119,Bucht::N,тинӗс кукӑрӗ,цекә
120,Bucht::N,тинӗс кукӑрӗ,теңгсин цекә
121,Insel::N,утрав,арл
122,Blume::N,чечек,цецг
123,Gras::N,курӑк,ноһан
124,Wurzel::N,тымар,уңг
125,Baum::N,йывӑҫ,модн
126,Stamm::N,вулӑ,шилв
127,Stamm::N,вулӑ,һол модн
128,Rinde::N,хуйӑр,көрсн
129,Ast::N,турат,ац
130,Zweig::N,турат,ац
131,Blatt::N,ҫулҫӑ,хамтхасн
132,Birke::N,хурӑн,хусм модн
133,Kiefer[Baum]::N,хыр,шар харһа
134,Weide[Baum]::N,хӑва,удн
135,Tanne::N,чӑрӑш,җөөлн цаһан модн
136,Horn::N,мӑйрака,өвр
137,Feder::N,тӗк,өрвлг
138,Fell::N,ҫӑм,арсн
139,Flügel::N,ҫунат,җивр
140,Klaue::N,чӗрне,хумсн
141,Kralle::N,ура,тавг
142,Schwanz::N,хӳре,сүл
143,Ei::N,ҫӑмарта,өндгн
144,Nest::N,йӑва,үр
145,Bau::N,йӗнӗ,нүкн
146,Tier::N,выльӑх,мал
147,Herde::N,кӗтӳ,сүрг мал
148,Kuh::N,ӗне,үкр
149,Bulle::N,вӑкӑр,бух
150,Pferd::N,лаша,мөрн
151,Schaf::N,сурӑх,хөн
152,Schwein::N,сысна,һаха
153,Hund::N,йытӑ,ноха
154,Katze::N,кушак,мис
155,Bär::N,упа,аю
156,Eichhörnchen::N,пакша,кермн
157,Elch::N,пӑши,хандһа
158,Fuchs::N,тилӗ,арат
159,Hase::N,куян,туула
160,Hase::N,мулкач,туула
161,Maus::N,шӑши,хулһн
162,Wolf::N,кашкӑр,чон
163,Vogel::N,кайӑк,шовун
164,Vogel::N,вӗҫен кайӑк,шовун
165,Schwarm::N,ушкӑн,зел
166,Huhn::N,чӑх,така
167,Huhn::N,чӑхӑ,така
168,Hahn::N,автан,эр така
169,Gans::N,хур,һалун
170,Adler::N,ӑмӑрт кайӑк,һәрд
171,Ente::N,кӑвакал,нуһсн
172,Eule::N,тӑмана,һурвлһ
173,Kranich::N,тӑрна,тоһрун
174,Krähe::N,ула курак,шаазһа
175,Kuckuck::N,куккук,эргин хуцдг
176,Schwan::N,акӑш,хун
177,Fisch::N,пулӑ,заһсн
178,Barsch::N,уланкӑ,шүрг
179,Hecht::N,ҫӑрттан,цурх
180,Schlange[Tier]::N,ҫӗлен,моһа
181,Wurm::N,ӑман,өтн
182,Spinne::N,эрешмен,аралҗн
183,Ameise::N,кӑткӑ,шорһлҗн
184,Laus::N,пыйтӑ,бөөсн
185,Mücke::N,вӑрӑм туна,бөкүн
186,Fliege::N,шӑна,батхн
187,Schmetterling::N,лӗпӗш,эрвәкә
188,Beere::N,ҫырла,бөөлҗрһн
189,Apfel::N,улма,альмн
190,Apfel::N,пан улми,альмн
191,Pilz::N,кӑмпа,теңгрин ки
192,Zwiebel::N,сухан,мәңгрснә толһа
193,Saat::N,вӑрӑ,буудян экн
194,Korn::N,тӗшӗ,экн
195,Korn::N,пӗрчӗ,экн
196,Heu::N,утӑ,өвсн
197,Schale::N,хупӑ,хальсн
198,Grube::N,шӑтӑк,нүкн
199,Falle::N,тапӑ,урх
200,Falle::N,тапӑ,хавх
201,Falle::N,капкӑн,урх
202,Falle::N,капкӑн,хавх
203,Schlinge::N,йӑлӑ,бүтү
204,Spur::N,йӗр,мөр
205,Asche::N,кӗл,үмсн
206,Dreck::N,пылчӑк,бальчг
207,Eisen::N,тимӗр,төмр
208,Gold::N,ылтӑн,алтн
209,Silber::N,кӗмӗл,мөңгн
210,Silber::N,кӗмӗл,цаһан мөңгн
211,Kohle::N,кӑмрӑк,нүүрсн
212,Glas::N,кӗленче,шил
213,Lehm::N,тӑм,шавр
214,Sand::N,хӑйӑр,элсн
215,Mensch::N,ҫын,күн
216,Mensch::N,ҫын,күмн
217,Mensch::N,этем,күн
218,Mensch::N,этем,күмн
219,Mann::N,ар,эр
220,Frau::N,хӗрарӑм,күүкд күн
221,Kind::N,ача,үрн
222,Junge::N,ача,көвүн
223,Junge::N,ар ҫын ача,көвүн
224,Mädchen::N,хӗр ача,бичкн күүкн
225,Familie::N,ҫемье,бүл
226,Familie::N,кил-йыш,бүл
227,Großvater::N,кукаҫи,өвк эцк
228,Großvater::N,кукаҫи,наһц эцк
229,Großmutter::N,кукамай,эмг эк
230,Großmutter::N,кукамай,наһц эк
231,Eltern::N,аҫа-ама,эк эцк хойр
232,Vater::N,атте,эцк
233,Mutter::N,анне,эк
234,Sohn::N,ывӑл,көвүн
235,Tochter::N,хӗр,күүкн
236,Bruder::N,ар тӑван,дү көвүн
237,Schwester::N,аппа,эгч
238,Schwester::N,аппа,дү күүкн
239,Schwester::N,йӑмӑк,эгч
240,Schwester::N,йӑмӑк,дү күүкн
241,Onkel::N,мучи,авһ
242,Onkel::N,мучи,наһцх
243,Onkel::N,пичче,авһ
244,Onkel::N,пичче,наһцх
245,Tante::N,аппа,наһц эгч
246,Ehemann::N,упӑшка,залу
247,Ehefrau::N,арӑм,гергн
248,Freude::N,савӑнӑҫ,байр
249,Freude::N,хаваслӑх,байр
250,Gelächter::N,кулӑ,инәдн
251,Glück::N,телей,җирһл
252,Glück::N,телей,сәәхн җирһл
253,Glück::N,ӑраскал,җирһл
254,Glück::N,ӑраскал,сәәхн җирһл
255,Kummer::N,хурлӑх,зовлң
256,Wunsch::N,ӗмӗт,дурн
257,Wunsch::N,кӑмӑл,дурн
258,Lust::N,кӑмӑл,җилвтлһн
259,Geist::N,чун-чӗм,зөрг
260,Geist::N,ыр-усал,зөрг
261,Geist::N,чун хавалӗ,зөрг
262,Gedanke::N,шухӑш,ухан
263,Gedächtnis::N,ас,чееҗин тодлвр
264,Verstand::N,ӑс,ухан
265,Verstand::N,ӑс-тӑн,ухан
266,Verstand::N,ӑс-хакӑл,ухан
267,Sinn::N,тупсӑм,учр-утх
268,Sinn::N,пӗлтерӗш,учр-утх
269,Grund::N,сӑлтав,учр
270,Grund::N,сӑлтав,шалтан
271,Wahrheit::N,чӑнлӑх,үнн
272,Gespräch::N,калаҫу,күүндвүр
273,Märchen::N,юмах,тууль
274,Erzählung::N,акалав,келвр
275,Erzählung::N,каласа пани,келвр
276,Nachricht::N,хыпар,медүллһн
277,Neuigkeit::N,ҫӗнӗ хыпар,зәңг
278,Name::N,ят,нерн
279,Rätsel::N,сутмалли юмах,тәәлвртә тууль
280,Rede::N,сӑмах,келлһн
281,Sprache::N,чӗлхе,келн
282,Stimme::N,сасӑ,дун
283,Wort::N,сӑмах,үг
284,Zeichen::N,паллӑ,темдг
285,Ruf::N,йыхрав,дуудлһн
286,Ruf::N,чӗнӳ,дуудлһн
287,Lärm::N,шав,шууган
288,Laut::N,сасӑ,ә
289,Ton::N,сасӑ,дун
290,Lied::N,юрӑ,дун
291,Ruhe::N,канӑҫлӑх,амулң
292,Ruhe::N,лӑпкӑлӑх,амулң
293,Leute::N,ҫамрӑксем,әмтн
294,Leute::N,ҫамрӑк ҫынсем,әмтн
295,Volk::N,халӑх,улс
296,Arbeit::N,ӗҫхӗл,көдлмш
297,Arbeit::N,ӗҫлев,көдлмш
298,Gast::N,хӑна,гиич
299,Geschenk::N,парне,белг
300,Geschenk::N,кучченеҫ,белг
301,Spiel::N,вӑйӑ,наадн
302,Gesellschaft::N,общество,олн
303,Hilfe::N,пулӑшу,нөкд
304,Freund::N,тус,иньг
305,Kamerad::N,юлташ,үр
306,Kamerad::N,тус,үр
307,Angelegenheit::N,ӗҫ,керг
308,Anzahl::N,йыш,то
309,Anzahl::N,хисеп,то
310,Art::N,тӗс,зүүл
311,Stück::N,татӑк,хусг
312,Teil::N,пай,хүв
313,Hälfte::N,ҫурӑ,өрәл
314,Kreis::N,ункӑ,төгрг
315,Kreis::N,ҫавракӑш,төгрг
316,Kreuz::N,хӗрес,кирс
317,Linie::N,йӗр,зурасн
318,Strich::N,йӗр,татасн
319,Abstand::N,хушӑ,зә
320,Entfernung::N,хушӑ,һазр
321,Gegend::N,вырӑн,һазр
322,Platz::N,хутлӑх,зә
323,Ort::N,вырӑн,бәәрн
324,Seite::N,ен,тал
325,Seite::N,ен,хаҗу
326,Seite::N,ен,хәврһ
327,Seite::N,аяк,тал
328,Seite::N,аяк,хаҗу
329,Seite::N,аяк,хәврһ
330,Seite::N,айӑк,тал
331,Seite::N,айӑк,хаҗу
332,Seite::N,айӑк,хәврһ
333,Mitte::N,варӑ,дунд
334,Gegenstand::N,япала,юмн
335,Sache::N,япала,юмн
336,Rand::N,вӗҫ,зах
337,Rand::N,хӗрӗ,зах
338,Rand::N,хӗрри,зах
339,Kante::N,хайкача,ирмәг
340,Kante::N,хысак,ирмәг
341,Ecke::N,кӗтес,өнцг
342,Spitze::N,вӗҫ,үзүр
343,Ende::N,вӗҫ,үзүр
344,Loch::N,шӑтӑк,хаһрха
345,Winkel::N,кӗтес,булң
346,Muster::N,эреш,намч
347,Größe::N,пысӑкӑш,кемҗән
348,Länge::N,вӑрӑмӑш,ут
349,Höhe::N,ҫӳллӗш,өндр
350,Gewicht::N,виҫе,күнд
351,Gewicht::N,виҫе,чиңнүр
352,Gewicht::N,йывӑрӑш,күнд
353,Gewicht::N,йывӑрӑш,чиңнүр
354,Menge::N,йыш,ик
355,Haufen::N,купа,ова
356,Reihe::N,рет,зерг
357,Reihe::N,рет,зерглән
358,Boot::N,кимӗ,оңһц
359,Ruder::N,кӗсмен,хәәв
360,Schlitten::N,ҫуна,цан
361,Ski::N,йӗлтӗр,лыҗ
362,Lagerfeuer::N,вут,костёр
363,Lagerfeuer::N,кӑвайт,костёр
364,Last::N,сулмаклӑх,күнд
365,Last::N,йывӑр япала,күнд
366,Gang::N,куҫӑм,йовлһн
367,Schritt::N,утӑм,ишкм
368,Schritt::N,пусӑм,ишкм
369,Norden::N,ҫурҫӗр,ар үзг
370,Süden::N,кӑнтӑр,өмн
371,Süden::N,кӑнтӑр,өмн үзг
372,Westen::N,анӑҫ,барун
373,Westen::N,анӑҫ,барун үзг
374,Westen::N,хӗвел анӑҫ,барун
375,Westen::N,хӗвел анӑҫ,барун үзг
376,Osten::N,хӗвел тухӑҫ,зүн
377,Osten::N,хӗвел тухӑҫ,зүн үзг
378,Holz::N,йывӑҫ,модн
379,Brett::N,хӑма,харһа
380,Platte::N,плита,хавтха чолун
381,Stütze::N,ура,тулг
382,Stange::N,шерте,уньн
383,Stock::N,патак,модн
384,Stab::N,шӑчӑ,шуург
385,Rohr::N,пӑрӑх,турва
386,Haus::N,ҫурт,гер
387,Heim::N,кил,гер-бул
388,Ofen::N,кӑмака,беш
389,Fußboden::N,урай,девскр
390,Tisch::N,сӗтел,ширә
391,Stuhl::N,пукан,стул
392,Wiege::N,сӑпка,өлгә
393,Wiege::N,сӑпка,дүүҗң
394,Bett::N,кравать,орн
395,Bett::N,кравать,орндг
396,Regal::N,ҫӳлӗк,таг
397,Regal::N,ҫӳлӗк,тәвц
398,Regal::N,сентре,таг
399,Regal::N,сентре,тәвц
400,Kiste::N,ещӗк,яршг
401,Kiste::N,сунтӑх,яршг
402,Fenster::N,чӳрече,терз
403,Tür::N,алӑк,үүдн
404,Tor::N,хапха,үүдн
405,Tor::N,хапха,өргн үүдн
406,Tor::N,хапха,хашан үүдн
407,Zaun::N,хӳме,хаша
408,Dach::N,тӑрӑ,деевр
409,Leiter::N,пусма,шат
410,Leiter::N,пусма,давшур
411,Besen::N,шӑпӑр,сәвүр
412,Spaten::N,кӗреҫе,күрз
413,Schaufel::N,кӗреҫе,совг
414,Gabel::N,вилка,серә
415,Löffel::N,кашӑк,ухр
416,Messer::N,ҫӗҫӗ,утх
417,Nagel::N,пӑта,хадасн
418,Netz::N,тетел,гөлм
419,Haken::N,йӑрхах,дегә
420,Haken::N,ҫекӗл,дегә
421,Griff::N,хӑлӑп,иш
422,Griff::N,хӑлӑп,бәрүл
423,Schloss::N,ҫӑра,оньс
424,Bild::N,сӑн,зург
425,Bild::N,сӑнлӑх,зург
426,Bild::N,картина,зург
427,Figur::N,кӗлетке,фигур
428,Puppe::N,пукане,наадһа
429,Beutel::N,михӗ,мишг
430,Bündel::N,ҫыхӑ,багла
431,Bündel::N,ҫыхӑ,боодһа
432,Bündel::N,тӗрке,багла
433,Bündel::N,тӗрке,боодһа
434,Tasche::N,сумка,сумк
435,Eimer::N,витре,суулһ
436,Deckel::N,хупӑ,бүркәсн
437,Geschirr::N,савӑт-сапа,сав
438,Geschirr::N,савӑт-сапа,сав-сарх
439,Sack::N,михӗ,мишг
440,Tasse::N,курка,ааһ
441,Topf::N,кастрюль,кастрюль
442,Kessel::N,хуран,хәәсн
443,Essen::N,апат,зоогллһн
444,Nahrung::N,апат-ҫимӗс,теҗәл
445,Speise::N,апат,хот
446,Speise::N,ҫимӗҫ,хот
447,Fleisch::N,аш,махн
448,Fleisch::N,какай,махн
449,Getreide::N,тырӑ,хот болҗ эдлгддг цецгүдтә урһмл
450,Brei::N,пӑтӑ,хаш
451,Brot::N,ҫӑкӑр,өдмг
452,Scheibe::N,чӗлӗ,зүсм
453,Scheibe::N,касӑк,зүсм
454,Fett::N,ҫу,өөкн
455,Butter::N,ҫу,тосн
456,Öl::N,ҫу,тосн
457,Salz::N,тӑвар,давсн
458,Suppe::N,яшка,шөлн
459,Honig::N,пыл,бал
460,Milch::N,сӗт,үсн
461,Tee::N,чей,цә
462,Leder::N,сӑран,арсн
463,Wolle::N,ҫӑм,утцн
464,Wolle::N,ҫӑм,эд
465,Stoff::N,тӗртӗм,эд
466,Nadel::N,йӗп,зүн
467,Faden::N,ҫип,утцн
468,Knopf::N,тӳме,товч
469,Knoten::N,йӑлӑ,зәңгдә
470,Farbe::N,сӑрӑ,будг
471,Kleidung::N,тум,хувцн
472,Kleidung::N,тум,хувц-хунр
473,Kleidung::N,ҫипуҫ,хувцн
474,Kleidung::N,ҫипуҫ,хувц-хунр
475,Kleidung::N,тум-тир,хувцн
476,Kleidung::N,тум-тир,хувц-хунр
477,Hemd::N,кӗпе,киилг
478,Kragen::N,ҫуха,зах
479,Ärmel::N,ҫанӑ,ханцн
480,Hose::N,шӑлавар,шалвур
481,Gürtel::N,пиҫиххи,бүс
482,Mütze::N,ҫӗлӗк,махла
483,Schuh::N,пушмак,башмгуд
484,Schuh::N,ботинок,башмгуд
485,Stiefel::N,атӑ,һосн
486,Ring::N,ҫӗрӗ,билцг
487,Band::N,хаю,лент
488,Band::N,йӗсме,лент
489,Kamm::N,тура,сам
490,Spiegel::N,тӗкӗр,толь
491,Spiegel::N,куҫ кӗски,толь
492,Riemen::N,чӗн,бүс
493,Schnur::N,кантра,деесн
494,Leine::N,касмӑк,бурнтг
495,Leine::N,касмӑк,нохан көтлвр
496,Decke::N,утиял,көнҗл
497,Kissen::N,ҫытар,дер
498,Kissen::N,минтер,дер
499,Tuch::N,тутӑр,альчур
500,Handtuch::N,ал шӑлли,полотенц
501,Handtuch::N,ал шӑлли,һар-нүүрин альчур
502,Kraft::N,вӑй,күчн
503,Kraft::N,хӑват,күчн
504,Stärke::N,хал,чидл
505,Stärke::N,хӑват,чидл
506,Gesundheit::N,хал,эрүл-менд
507,Gesundheit::N,сывлӑх,эрүл-менд
508,Krankheit::N,чир,өвчн
509,Schmerz::N,ырату,өвдлһн
510,Wunde::N,суран,шав
511,Fieber::N,сив чир,безг
512,Arznei::N,эмел,эм
513,Brücke::N,кӗпер,тагт
514,Brunnen::N,ҫӑл,худг
515,Brunnen::N,пусӑ,худг
516,Weide::N,ҫаран,малын идг
517,Pfad::N,йӗр,цувг
518,Pfad::N,сукмак,цувг
519,Weg::N,ҫул,хаалһ
520,Weg::N,ҫул-йӗр,хаалһ
521,Straße::N,ҫӳрев,зам
522,Straße::N,ҫул ҫӳрени,зам
523,Dorf::N,ял,хотн
524,Stadt::N,хула,балһсн
525,Brief::N,ҫыру,бичг
526,Buch::N,кӗнеке,дегтр
527,Buchstabe::N,сас палли,үзг
528,Zeitung::N,хаҫат,газет
529,Leben::N,пурнӑҫ,җирһл
530,Tod::N,вилӗм,үкл
531,Tod::N,вилӗм,өңгрлһн
532,Grab::N,масар шӑтӑкӗ,оршалһна нүкн
533,Kirche::N,чиркӳ,чонҗ
534,Sünde::N,ҫылӑх,нүл
535,Sünde::N,ҫылӑх,килнц
536,Gott::N,турӑ,бурхн
537,Arbeiter::N,рабочи,көдлмшч
538,Chef::N,пуҫлӑх,толһач
539,Meister::N,ӑста,урн
540,Meister::N,мастер,урн
541,Arzt::N,врач,эмч
542,Arzt::N,тухтӑр,эмч
543,Lehrer::N,учитель,багш
544,Lehrer::N,вӗрентекен,багш
545,Geld::N,укҫа,мөңгн
546,Geschäft::N,бизнес,көдлмш
547,Laden::N,магазин,лавк
548,Preis::N,хак,үн
549,Ware::N,тавар,эд-тавр
550,Nutzen::N,пайта,олз
551,Reichtum::N,мул,зөөр
552,Welt::N,тӗнче,орчлң
553,Welt::N,тӗнче,делкә
554,Land::N,ҫӗр-шыв,орн-нутг
555,Staat::N,патшàлӑх,государств
556,König::N,король,хан
557,Macht::N,власть,йосн
558,Grenze::N,чикӗ,меҗә
559,Krieg::N,вӑрҫӑ,дән
560,Feind::N,тӑшман,дәәсн
561,Gewalt::N,ирӗксӗрлӳ,күч һарһлһн
562,Kampf::N,кӗрешӳ,ноолдан
563,Kampf::N,кӗрешӳ,бәрлдлһн
564,Bogen[Waffe]::N,ухӑ,саадг
565,Pfeil::N,ҫӗмрен,сумн
566,Pfeil::N,ухӑ йӗппи,сумн
567,Gewehr::N,пӑшал,бу
568,Fehler::N,йӑнӑш,алдг
569,Lüge::N,суя,худл
570,Lüge::N,ултав,худл
571,Schaden::N,сиен,хорлт
572,Unglück::N,шар,гүрм
573,Unglück::N,инкек,гүрм
574,Schuld::N,айӑп,гем
575,Schuld::N,айӑп,буру
576,Alter::N,ҫул шучӗ,насн
577,Schluss::N,пӗтни,чилгч
578,Schluss::N,пӗтмӗш,чилгч
579,Zeit::N,вӑхӑт,цаг
580,Tag::N,кун,өдр
581,Morgen::N,ир,өрүн
582,Mittag::N,кӑнтӑрла,үд
583,Abend::N,каҫ,асхн
584,Nacht::N,каҫ,сө
585,Woche::N,эрне,долан хонг
586,Monat::N,уйӑх,сар
587,Jahr::N,ҫулталӑк,җил
588,Frühling::N,ҫур,хавр
589,Frühling::N,ҫуркунне,хавр
590,Sommer::N,ҫу,зун
591,Sommer::N,ҫулла,зун
592,Herbst::N,кӗр,намр
593,Herbst::N,кӗркунне,намр
594,Winter::N,хӗл,үвл
595,Winter::N,хӗлле,үвл
596,Januar::N,январь,январь
597,Februar::N,февраль,февраль
598,Februar::N,кӗҫӗн кӑрлач,февраль
599,März::N,март,март
600,März::N,март,моһа сар
601,März::N,пуш уйӑхӗ,март
602,März::N,пуш уйӑхӗ,моһа сар
603,April::N,апрель,апрель
604,Mai::N,май,май
605,Juni::N,июнь,июнь
606,Juni::N,июнь,мөчн сар
607,Juli::N,июль,июль
608,August::N,август,август
609,September::N,сентябрь,һаха сар
610,September::N,авӑн уйӑхӗ,һаха сар
611,Oktober::N,октябрь,октябрь
612,November::N,ноябрь,ноябрь
613,November::N,ноябрь,үкр сар
614,Dezember::N,раштав,бар сар
615,Dezember::N,декабрь,бар сар
616,Montag::N,тунти кун,понедельник
617,Dienstag::N,ытлари кун,вторник
618,Mittwoch::N,юн кун,среда
619,Mittwoch::N,юн кун,үлмҗ өдр
620,Donnerstag::N,кӗҫнерни кун,четверг
621,Donnerstag::N,кӗҫнерни кун,пүрвә өдр
622,Freitag::N,эрне кун,пятниц
623,Samstag::N,шӑмат кун,суббот
624,Sonntag::N,вырсарни кун,нарн өдр
625,Sonntag::N,вырсарни кун,воскресень
626,groß::A,пысӑк,ик
627,klein::A,пӗчӗк,бичкн
628,lang::A,вӑрӑм,ут
629,kurz::A,кӗске,оһтр
630,breit::A,сарлака,өргн
631,schmal::A,ансӑр,уутьхн
632,dicht::A,йӑвӑ,нигт
633,dick[Gegenstand]::A,хулӑн,зузан
634,dünn::A,ҫинҫе,нимгн
635,dünn::A,ҫӳхе,нимгн
636,fein::A,тарай,нәрхн
637,fein::A,вӗлтӗрти,нәрхн
638,fest::A,тӗреклӗ,бат
639,flach::A,лаптак,хавтха
640,glatt::A,такӑр,тегш
641,glatt::A,такӑр,тиньгр
642,hart::A,хытӑ,хату
643,weich::A,ҫемҫе,җөөлн
644,weich::A,ҫемҫе,җөөлкн
645,rund::A,ҫавра,төгрг
646,spitz::A,шӗвӗр,шовһр
647,scharf::A,ҫивӗч,хурц
648,stumpf::A,мӑка,мука
649,stumpf::A,пуклак,мука
650,stumpf::A,тӗрӗнчӗк,мука
651,stumpf::A,ӑнкарусӑр,мука
652,schwer::A,йывӑр,күнд
653,schön::A,илемлӗ,сәәхн
654,heiß::A,вӗри,халун
655,warm::A,ӑшӑ,дулан
656,kalt::A,сивӗ,киитн
657,kühl::A,уҫӑ,серүн
658,frisch::A,уҫӑ,серүн
659,feucht::A,йӗпе,чиигтә
660,nass::A,нӳрӗ,чиигтә
661,trocken::A,типӗ,хагсу
662,voll::A,тулли,дүүрң
663,leer::A,пушӑ,сул
664,leer::A,пушӑ,хоосн
665,offen::A,уҫӑ,секәтә
666,geschlossen::A,хупӑ,хаалһата
667,sauber::A,таса,цевр
668,schmutzig::A,пылчӑклӑ,киртә
669,schmutzig::A,вараланчӑк,киртә
670,roh::A,чӗрӗ,түүкә
671,reif::A,пулнӑ,болсн
672,reif::A,пиҫӗхнӗ,болсн
673,reif::A,аталаннӑ,болсн
674,reif::A,пиҫсе ҫитнӗ,болсн
675,lecker::A,тутлӑ,әмтәхн
676,lecker::A,техӗмлӗ,әмтәхн
677,süß::A,пылак,әмтәхн
678,bitter::A,йӳҫӗ,һашун
679,bitter::A,йӳҫӗ,һашута
680,sauer::A,йӳҫӗ,ишклң
681,sauer::A,йӳҫек,ишклң
682,sauer::A,кӑвасак,ишклң
683,hell::A,ҫутӑ,герлтә
684,dunkel::A,тӗттӗм,харңһу
685,schwarz::A,хура,хар
686,weiß::A,шурӑ,цаһан
687,rot::A,хӗрлӗ,улан
688,gelb::A,сарӑ,шар
689,blau::A,кӑвак,көк
690,grün::A,симӗс,көк
691,grün::A,пиҫмен,көк
692,grün::A,ӑс пухман,көк
693,grau::A,кӑвак,бор
694,bunt::A,чӑпар,алг
695,bunt::A,чӑпар,эрәтә
696,billig::A,йӳнӗ,кимд
697,teuer::A,хаклӑ,үнтә
698,wertvoll::A,паха,үнтә
699,wertvoll::A,паха,эрднь
700,blind::A,суккӑр,сохр
701,taub::A,хӑлхасӑр,дүлә
702,kräftig::A,хӑватлӑ,күчтә
703,stark::A,вирлӗ,чаңһ
704,schwach::A,халсӑр,күчн тату
705,fett::A,самӑр,тарһн
706,fett::A,мӑнтӑр,тарһн
707,schlank::A,йӑрӑс,эццн
708,schlank::A,яштака,эццн
709,hübsch::A,хитре,көркхн
710,böse::A,усал,уурта
711,dumm::A,ухмах,тенг
