,Concept_ID,et,ba
102,Sumpf::N,soo,һаҙлык
103,Moor::N,raba,һаҙ
104,Wiese::N,aas,болон
105,Wiese::N,nurm,болон
106,Wald::N,mets,урман
107,Hügel::N,küngas,түбә
108,Anhöhe::N,küngas,түбә
109,Anhöhe::N,küngas,ҡалҡыулыҡ
110,Berg::N,mägi,тау
111,Gipfel::N,mäetipp,түбә
112,Höhle::N,koobas,мәмерйә
113,Abhang::N,nõlvak,ипкен
114,Quelle::N,allikas,шишмә
115,Bach::N,oja,шишмә
116,Fluss::N,jõgi,йылға
117,Ufer::N,kallas,яр
118,Küste::N,rannik,яр буйы
119,Festland::N,mander,ҡоро ер
120,Festland::N,maismaa,ҡоро ер
121,Meer::N,meri,диңгез
122,Bucht::N,laht,бухта
123,Insel::N,saar,үтрау
124,Blume::N,lill,сәскә
125,Gras::N,rohi,үлән
126,Wurzel::N,juur,тамыр
127,Baum::N,puu,ағас
128,Stamm::N,tüvi,олон
129,Stamm::N,tüvi,көбәк
130,Rinde::N,koor,ҡабыҡ
131,Ast::N,oks,ботаҡ
132,Zweig::N,oks,ботаҡ
133,Zweig::N,oks,тармаҡ
134,Blatt::N,leht,япраҡ
135,Birke::N,kask,ҡайын
136,Kiefer[Baum]::N,mänd,ҡарғай
137,Weide[Baum]::N,paju,тал
138,Tanne::N,nulg,шыршы
139,Horn::N,sarv,мөғөҙ
140,Feder::N,sulg,ҡауырһын
141,Fell::N,karvkate,тире
142,Fell::N,karusnahk,тире
143,Flügel::N,tiib,ҡанат
144,Flügel::N,tiivik,ҡанат
145,Klaue::N,küüs,тырнаҡ
146,Kralle::N,küünis,аяҡ
147,Schwanz::N,saba,ҡойроҡ
148,Ei::N,muna,йомортҡа
149,Nest::N,pesa,оя
150,Bau::N,urg,оң
151,Tier::N,loom,жайуан
152,Tier::N,loom,йыртҡыс
153,Herde::N,kari,көтөү
154,Kuh::N,lehm,һыйыр
155,Bulle::N,pull,үгеҙ
156,Pferd::N,hobune,ат
157,Schaf::N,lammas,һарыҡ
158,Schwein::N,siga,сусҡа
159,Hund::N,koer,эт
160,Katze::N,kass,бесәй
161,Bär::N,karu,айыу
162,Eichhörnchen::N,orav,тейен
163,Elch::N,põder,мышы
164,Fuchs::N,rebane,төлкө
165,Hase::N,jänes,ҡуян
166,Maus::N,hiir,сысҡан
167,Wolf::N,hunt,бүре
168,Vogel::N,lind,ҡош
169,Schwarm::N,parv,көтөү
170,Huhn::N,kana,тауыҡ
171,Hahn::N,kukk,әтәс
172,Gans::N,hani,ҡаҙ
173,Adler::N,kotkas,бөркөт
174,Ente::N,part,өйрәк
175,Eule::N,kakk,өкө
176,Eule::N,kakk,ябалаҡ
177,Eule::N,öökull,өкө
178,Eule::N,öökull,ябалаҡ
179,Kranich::N,kurg,торна
180,Krähe::N,vares,ҡарға
181,Kuckuck::N,kägu,кәкүк
182,Schwan::N,luik,аҡҡош
183,Fisch::N,kala,балыҡ
184,Barsch::N,ahven,алабуға
185,Hecht::N,haug,суртан
186,Schlange[Tier]::N,uss,йылан
187,Wurm::N,uss,селяүсен
188,Wurm::N,vagel,селяүсен
189,Spinne::N,ämblik,үрмәксе
190,Ameise::N,sipelgas,ҡырмыҫҡа
191,Laus::N,täi,бет
192,Mücke::N,sääsk,серәкәй
193,Fliege::N,kärbes,себен
194,Schmetterling::N,liblikas,күбәләк
195,Beere::N,mari,еләк
196,Apfel::N,õun,алма
197,Pilz::N,seen,бәшмәк
198,Zwiebel::N,sibul,һуган
199,Saat::N,seeme,орлоҡ
200,Korn::N,iva,иген
201,Korn::N,tera,иген
202,Heu::N,hein,бесән
203,Schale::N,koor,ҡабыҡ
204,Grube::N,kaevand,соҡор
205,Falle::N,lõks,тоҙак
206,Falle::N,lõks,ҡапҡан
207,Falle::N,püünis,тоҙак
208,Falle::N,püünis,ҡапҡан
209,Schlinge::N,aas,тоҙак
210,Spur::N,jälg,әҫер
211,Asche::N,tuhk,көл
212,Dreck::N,saast,батҡаҡ
213,Dreck::N,mustus,батҡаҡ
214,Eisen::N,raud,тимер
215,Gold::N,kuld,алтын
216,Silber::N,hõbe,көмөш
217,Kohle::N,süsi,күмер
218,Glas::N,klaas,быяла
219,Lehm::N,savi,балсыҡ
220,Sand::N,liiv,ҡом
221,Mensch::N,inimene,кеше
222,Mann::N,mees,ир
223,Frau::N,naine,ҡатын
224,Kind::N,laps,бала
225,Junge::N,poiss,малай
226,Mädchen::N,tüdruk,ҡыҙ
227,Mädchen::N,tüdruk,ҡыҙыҡай
228,Familie::N,perekond,ғаилә
229,Großvater::N,vanaisa,олатай
230,Großmutter::N,vanaema,әбәй
231,Eltern::N,vanemad,ата-әсә
232,Vater::N,isa,атай
233,Mutter::N,ema,әсә
234,Sohn::N,poeg,ул
235,Tochter::N,tütar,ҡыҙ
236,Bruder::N,vend,агай
237,Schwester::N,õde,алай
238,Schwester::N,õde,һеңле
239,Onkel::N,onu,ағай
240,Tante::N,tädi,апай
241,Ehemann::N,mees,ир
242,Ehemann::N,abikaasa,ир
243,Ehefrau::N,naine,ҡатын
244,Ehefrau::N,abikaasa,ҡатын
245,Freude::N,rõõm,шатлыҡ
246,Freude::N,rõõm,ҡыуаныс
247,Gelächter::N,naer,көлөү
248,Glück::N,õnn,бәхет
249,Kummer::N,mure,ҡайғы
250,Kummer::N,kurbus,ҡайғы
251,Wunsch::N,soov,теләк
252,Lust::N,himu,әүәҫлек
253,Geist::N,vaim,аң
254,Geist::N,vaim,рух
255,Gedanke::N,mõte,уй
256,Gedanke::N,mõte,фекер
257,Gedächtnis::N,mälu,хәтер
258,Verstand::N,aru,аҡыл
259,Verstand::N,mõistus,аҡыл
260,Sinn::N,tähendus,мәғәня
261,Grund::N,põhjus,сәбәп
262,Wahrheit::N,tõde,дөрөҫлөк
263,Gespräch::N,kõne,әңгәмә
264,Gespräch::N,vestlus,әңгәмә
265,Märchen::N,muinasjutt,әкиәт
266,Erzählung::N,jutustus,хикәйә
267,Nachricht::N,teade,хәбәр
268,Neuigkeit::N,uudis,яңылыҡ
269,Name::N,nimi,исем
270,Rätsel::N,mõistatus,йомаҡ
271,Rede::N,kõne,телмәр
272,Sprache::N,keel,тел
273,Sprache::N,keel,телмәр
274,Stimme::N,hääl,тауыш
275,Wort::N,sõna,һүҙ
276,Zeichen::N,märk,билдә
277,Ruf::N,hüüe,саҡырыу
278,Lärm::N,müra,шаулау
279,Laut::N,hääl,тауыш
280,Ton::N,toon,яңғырау
281,Lied::N,laul,йыр
282,Ruhe::N,rahu,ял
283,Ruhe::N,rahu,тыныслыҡ
284,Ruhe::N,vaikus,ял
285,Ruhe::N,vaikus,тыныслыҡ
286,Leute::N,inimesed,кешеләр
287,Volk::N,rahvas,халҡ
288,Arbeit::N,töö,эш
289,Gast::N,külaline,ҡунаҡ
290,Geschenk::N,kingitus,бүләк
291,Spiel::N,mäng,уйын
292,Gesellschaft::N,selts,йәмғиәт
293,Hilfe::N,abi,ярҙам
294,Freund::N,sõber,дуҫ
295,Kamerad::N,sõber,иптәш
296,Angelegenheit::N,asi,әш
297,Anzahl::N,arv,һан
298,Anzahl::N,hulk,һан
299,Art::N,liik,төр
300,Stück::N,tükk,киҫәк
301,Teil::N,osa,өлөш
302,Hälfte::N,pool,ярты
303,Kreis::N,ring,түңәрәк
304,Kreuz::N,rist,тәре
305,Linie::N,joon,һыҙыҡ
306,Strich::N,joon,һыҙат
307,Abstand::N,vahe,ара
308,Entfernung::N,kaugus,алыҫлыҡ
309,Entfernung::N,vahemaa,алыҫлыҡ
310,Gegend::N,ümbrus,урын
311,Platz::N,ruum,арауыҡ
312,Ort::N,paik,ерҙәр
313,Ort::N,paik,урындар
314,Ort::N,paik,эш урыны
315,Seite::N,pool,яҡ
316,Mitte::N,keskpaik,урталыҡ
317,Gegenstand::N,ese,нәмә
318,Sache::N,ese,нәмә
319,Sache::N,ese,әйбер
320,Rand::N,äär,сит
321,Rand::N,serv,сит
322,Kante::N,kant,ҡабырға
323,Kante::N,kant,ян
324,Ecke::N,nurk,мөйөш
325,Spitze::N,teravik,ос
326,Ende::N,ots,аҙаҡ
327,Ende::N,jupp,аҙаҡ
328,Loch::N,auk,тишек
329,Winkel::N,nurk,мөйөш
330,Muster::N,muster,биҙәк
331,Größe::N,suurus,ҙурлыҡ
332,Länge::N,pikkus,оҙонлоҡ
333,Höhe::N,kõrgus,бейеклек
334,Gewicht::N,kaal,үлсәү
335,Gewicht::N,raskus,үлсәү
336,Menge::N,arv,һан
337,Menge::N,hulk,һан
338,Haufen::N,hunnik,өйөм
339,Reihe::N,rivi,рәт
340,Boot::N,paat,кәмә
341,Ruder::N,aer,ишкәк
342,Schlitten::N,saan,сана
343,Ski::N,suusk,саңгы
344,Lagerfeuer::N,lõke,костер
345,Last::N,koorem,ауырлыҡ
346,Gang::N,käik,барыу
347,Schritt::N,samm,аҙым
348,Norden::N,põhi,төньяҡ
349,Süden::N,lõuna,көньяҡ
350,Westen::N,lääs,көнбайыш
351,Osten::N,ida,көнсығыш
352,Holz::N,puu,үағас
353,Brett::N,saelaud,таҡта
354,Platte::N,plaat,плита
355,Stütze::N,tugi,терәк
356,Stange::N,latt,кәртә
357,Stange::N,teivas,кәртә
358,Stock::N,kepp,таяҡ
359,Stab::N,varras,ҡолға
360,Rohr::N,toru,торба
361,Haus::N,maja,өй
362,Haus::N,maja,йорт
363,Heim::N,kodu,өй
364,Ofen::N,ahi,мейес
365,Fußboden::N,põrand,енес
366,Tisch::N,laud,өҫтәл
367,Stuhl::N,tool,ултырғыс
368,Wiege::N,häll,бишек
369,Wiege::N,kätki,бишек
370,Bett::N,voodi,карауат
371,Regal::N,riiul,кәштә
372,Kiste::N,kast,йәшинк
373,Fenster::N,aken,тәҙрә
374,Tür::N,uks,ишек
375,Tor::N,värav,ҡапҡа
376,Zaun::N,aed,ҡойма
377,Zaun::N,tara,ҡойма
378,Dach::N,katus,түбә
379,Dach::N,katus,ҡыйыҡ
380,Leiter::N,redel,баҫҡыс
381,Besen::N,luud,һепертке
382,Spaten::N,labidas,көрәк
383,Schaufel::N,kühvel,көрәк
384,Gabel::N,kahvel,сәнске
385,Löffel::N,lusikas,ҡалаҡ
386,Messer::N,nuga,бысаҡ
387,Nagel::N,nael,сөй
388,Netz::N,võrk,ау
389,Haken::N,haak,ыргаҡ
390,Haken::N,konks,ыргаҡ
391,Griff::N,sang,тотҡа
392,Griff::N,käepide,тотҡа
393,Schloss::N,lukk,йоҙаҡ
394,Bild::N,pilt,картина
395,Figur::N,kuju,һын
396,Figur::N,kujund,һын
397,Puppe::N,nukk,ҡурсаҡ
398,Beutel::N,paun,тоҡ
399,Bündel::N,kimp,төргәк
400,Tasche::N,kott,сумка
401,Eimer::N,pang,биҙрә
402,Eimer::N,ämber,биҙрә
403,Deckel::N,kaas,ҡапҡас
404,Geschirr::N,nõud,һауыт-һаба
405,Sack::N,kott,тоҡ
406,Tasse::N,tass,сынаяҡ
407,Topf::N,pada,кәстрүл
408,Kessel::N,pada,ҡаҙан
409,Essen::N,söök,ашау
410,Nahrung::N,toit,аҙыҡ
411,Speise::N,roog,аш
412,Fleisch::N,liha,ит
413,Getreide::N,teravili,иген
414,Getreide::N,teravili,ашлыҡ
415,Brei::N,puder,бутҡа
416,Brot::N,sai,икмәк
417,Brot::N,leib,икмәк
418,Scheibe::N,viil,телем
419,Scheibe::N,viilukas,телем
420,Fett::N,rasv,май
421,Butter::N,või,май
422,Öl::N,õli,май буяуы
423,Salz::N,sool,тоҙ
424,Suppe::N,supp,һурпа
425,Honig::N,mesi,бал
426,Milch::N,piim,һөт
427,Tee::N,tee,сәй
428,Leder::N,nahk,күн
429,Wolle::N,vill,йөн
430,Stoff::N,kangas,туҡыма
431,Nadel::N,nõel,энә
432,Faden::N,niit,еп
433,Knopf::N,nööp,төймә
434,Knoten::N,sõlm,төйөн
435,Farbe::N,värv,буяу
436,Kleidung::N,riided,кейем
437,Kleidung::N,riietus,кейем
438,Hemd::N,särk,күлдәк
439,Kragen::N,krae,яға
440,Ärmel::N,varrukas,ең
441,Hose::N,püksid,салбар
442,Gürtel::N,vöö,ҡайыш
443,Mütze::N,müts,бүрк
444,Schuh::N,king,туфли
445,Stiefel::N,saabas,итек
446,Ring::N,sõrmus,йөҙөк
447,Ring::N,sõrmus,балдаҡ
448,Band::N,lint,таҫма
449,Kamm::N,kamm,тараҡ
450,Spiegel::N,peegel,көзгө
451,Riemen::N,rihm,ҡайыш
452,Schnur::N,nöör,бау
453,Leine::N,jalutusrihm,бау
454,Decke::N,tekk,одеяд
455,Kissen::N,padi,мендәр
456,Tuch::N,kalev,яулыҡ
457,Handtuch::N,käterätik,таҫтамал
458,Kraft::N,jõud,көс
459,Stärke::N,tugevus,көс
460,Gesundheit::N,tervis,һаулыҡ
461,Krankheit::N,haigus,сир
462,Krankheit::N,haigus,ауырыу
463,Schmerz::N,valu,һыҙлау
464,Schmerz::N,valu,әрнеү
465,Wunde::N,haav,йәрәхәт
466,Fieber::N,palavik,тапма
467,Fieber::N,palavik,биҙгәк
468,Arznei::N,ravim,дарыу
469,Brücke::N,sild,күпер
470,Brunnen::N,kaev,ҡоҙоҡ
471,Weide::N,karjamaa,көтөүлек
472,Pfad::N,rada,һуҡмаҡ
473,Weg::N,tee,юл
474,Straße::N,tee,урам
475,Dorf::N,küla,ауыл
476,Stadt::N,linn,ҡала
477,Brief::N,kiri,хат
478,Buch::N,raamat,китап
479,Buch::N,raamat,кенәгә
480,Buchstabe::N,täht,хәреф
481,Zeitung::N,ajaleht,гәзит
482,Leben::N,elu,йәшәү
483,Tod::N,surm,үлем
484,Grab::N,haud,ҡәбер
485,Kirche::N,kirik,сиркәү
486,Sünde::N,patt,гөнаһ
487,Gott::N,jumal,алла
488,Gott::N,jumal,хоҙай
489,Arbeiter::N,tööline,эшсе
490,Chef::N,ülemus,башлыҡ
491,Chef::N,juhataja,башлыҡ
492,Meister::N,meister,оҫта
493,Arzt::N,arst,врач
494,Lehrer::N,õpetaja,уҡытыусы
495,Geld::N,raha,аҡса
496,Geschäft::N,äri,эш
497,Laden::N,pood,магазин
498,Laden::N,kauplus,магазин
499,Preis::N,hind,хаҡ
500,Ware::N,kaup,тауар
501,Nutzen::N,tulu,файҙа
502,Nutzen::N,kasulikkus,файҙа
503,Reichtum::N,rikkus,байлыҡ
504,Welt::N,maailm,донъя
505,Land::N,maa,ил
506,Staat::N,riik,дәүләт
507,König::N,kuningas,король
508,Macht::N,võim,власть
509,Grenze::N,piir,сик
510,Krieg::N,sõda,һуғыш
511,Feind::N,vaenlane,йылан
512,Gewalt::N,väevõim,көслөк
513,Kampf::N,võitlus,көрәш
514,Bogen[Waffe]::N,vibu,йәйә
515,Pfeil::N,nool,уҡ
516,Gewehr::N,püss,мылтыҡ
517,Fehler::N,viga,хата
518,Lüge::N,vale,ялған
519,Schaden::N,kahju,зыян
520,Schaden::N,kahju,зарар
521,Unglück::N,häda,ҡаза
522,Unglück::N,õnnetus,ҡаза
523,Schuld::N,süü,ғәйеп
524,Alter::N,iga,йәш
525,Schluss::N,lõpp,һуң
526,Schluss::N,lõpp,аҙаҡ
527,Zeit::N,aeg,мәл
528,Zeit::N,aeg,заман
529,Tag::N,päev,көн
530,Morgen::N,hommik,иртә
531,Morgen::N,hommik,иртәнсәк
532,Mittag::N,lõuna,төш
533,Mittag::N,keskpäev,төш
534,Abend::N,õhtu,кис
535,Nacht::N,öö,төн
536,Woche::N,nädal,аҙна
537,Monat::N,kuu,ай
538,Jahr::N,aasta,йыл
539,Frühling::N,kevad,яҙ
540,Sommer::N,suvi,йәй
541,Herbst::N,sügis,көз
542,Winter::N,talv,ҡыш
543,Januar::N,jaanuar,ғинуар
544,Februar::N,veebruar,февраль
545,März::N,märts,март
546,April::N,aprill,апрель
547,Mai::N,mai,май
548,Juni::N,juuni,июнь
549,Juli::N,juuli,июль
550,August::N,august,август
551,September::N,september,сентябрь
552,Oktober::N,oktoober,октябрь
553,November::N,november,ноябрь
554,Dezember::N,detsember,декабрь
555,Montag::N,esmaspäev,дүшәмбе
556,Dienstag::N,teisipäev,шишәмбе
557,Mittwoch::N,kesknädal,шаршамбы
558,Donnerstag::N,neljapäev,кесаҙна
559,Freitag::N,reede,йома
560,Samstag::N,laupäev,шәмбе
561,Sonntag::N,pühapäev,йәкшәмбе
562,groß::A,suur,ҙур
563,klein::A,väike,бәләкәс
564,klein::A,pisike,бәләкәс
565,lang::A,pikk,оҙон
566,kurz::A,lühike,ҡыҫҡа
567,breit::A,lai,киң
568,schmal::A,kitsas,тар
569,dicht::A,tihe,йыш
570,dicht::A,tihe,ҡуйы
571,dick[Gegenstand]::A,jäme,ҡалын
572,dünn::A,õhuke,йоҡа
573,dünn::A,õhuke,нәҙек
574,dünn::A,peenike,йоҡа
575,dünn::A,peenike,нәҙек
576,fein::A,peen,нескә
577,fein::A,õhuke,нескә
578,fest::A,püsiv,ныҡ
579,fest::A,kindel,ныҡ
580,flach::A,lame,яҫы
581,flach::A,lame,ялпаҡ
582,flach::A,tasane,яҫы
583,flach::A,tasane,ялпаҡ
584,glatt::A,sile,шыма
585,hart::A,kõva,ҡаты
586,weich::A,pehme,йомшаҡ
587,rund::A,ümar,түңәрәк
588,spitz::A,torkav,осло түбәле
589,scharf::A,terav,үткер
590,stumpf::A,nüri,утмәҫ
591,schwer::A,raske,ауыр
592,schön::A,kena,матур
593,heiß::A,kuum,эҫе
594,heiß::A,palav,эҫе
595,warm::A,soe,йылы
596,kalt::A,külm,һыуыҡ
597,kühl::A,jahe,һалҡынса
598,frisch::A,värske,һалҡынса
599,feucht::A,niiske,еүеш
600,feucht::A,niiske,дымлы
601,nass::A,märg,еүеш
602,trocken::A,kuiv,кипкән
603,voll::A,täis,тулы
604,leer::A,tühi,буш
605,offen::A,avatud,асыҡ
606,offen::A,lahtine,асыҡ
607,geschlossen::A,suletud,ябыҡ
608,sauber::A,puhas,таҙа
609,schmutzig::A,räpane,бысраҡ
610,schmutzig::A,määrdunud,бысраҡ
611,roh::A,toores,сей
612,reif::A,küps,өлгөрғән
613,lecker::A,hõrk,тәмле
614,lecker::A,maitsev,тәмле
615,süß::A,magus,тямле
616,süß::A,magus,тәм-том
617,bitter::A,mõru,әсе
618,sauer::A,hapu,әсе
619,hell::A,hele,яҡты
620,dunkel::A,pime,ҡараңғы
621,schwarz::A,must,ҡара
622,weiß::A,valge,аҡ
623,rot::A,punane,матур
624,rot::A,punane,һылыу
625,rot::A,punane,сибәр
626,gelb::A,kollane,һары
627,blau::A,sinine,күк
628,grün::A,roheline,йәшел
629,grau::A,hall,буҙ
630,bunt::A,kirju,сыбар
631,bunt::A,kirju,ала-ҡола
632,bunt::A,värviline,сыбар
633,bunt::A,värviline,ала-ҡола
634,billig::A,odav,арзан
635,teuer::A,kallis,ҡыйбатлы
636,wertvoll::A,väärtuslik,ҡиммәтле
637,blind::A,pime,һуҡыр
638,taub::A,kurt,һаңғырау
639,kräftig::A,jõuline,көслө
640,kräftig::A,jõuline,ҡеүәтле
641,stark::A,tugev,көслө
642,stark::A,tugev,ҡеүәтле
643,schwach::A,nõrk,көсһөҙ
644,schwach::A,jõuetu,көсһөҙ
645,fett::A,rasvane,һимеҙ
646,schlank::A,sale,зифа
647,hübsch::A,kena,матур
648,böse::A,tige,асыулы
649,dumm::A,juhm,иҫәр
650,dumm::A,rumal,иҫәр
651,faul::A,laisk,иренсәк
652,fleißig::A,virk,тырыш
653,fleißig::A,hoolas,тырыш
654,geizig::A,ihne,һаран
655,klug::A,tark,аҡыллы
656,klug::A,arukas,аҡыллы
657,klug::A,mõistlik,аҡыллы
658,geschickt::A,osav,оҫта
659,lieb::A,armas,яғымлы
660,lustig::A,lõbus,күңелле
661,sanft::A,õrn,йыуаш
662,hungrig::A,näljane,ас
663,krank::A,haige,сирле
664,krank::A,haige,ауырыу
665,nackt::A,alasti,яланғас
666,traurig::A,kurb,яманһыу
667,lebendig::A,elus,тере
668,lebendig::A,elus,йәнле
669,gut::A,hea,яҡшы
670,schlecht::A,halb,хөрт
671,schlecht::A,halb,алама
672,richtig::A,õige,дөрөҫ
673,schlimm::A,paha,хөрт
674,schlimm::A,paha,алама
675,wahr::A,tõene,дөрөҫ
676,alt::A,vana,иҫке
677,alt::A,vana,боронғо
678,neu::A,uus,яңы
679,ehemalig::A,endine,элекке
680,alt[Lebewesen]::A,vana,ҡарт
681,jung::A,noor,йәш
682,arm::A,vaene,фәҡир
683,reich::A,rikas,бай
684,bekannt::A,teada,таныш
685,bekannt::A,tuttav,таныш
686,berühmt::A,tuntud,атаҡлы
687,berühmt::A,tuntud,данлыҡлы
688,fremd::A,võõras,ят
689,fremd::A,võõras,сит
690,verschieden::A,erinev,төрлө
691,nah::A,lähedane,яҡын
692,fern::A,kauge,алыҫ
693,fern::A,kauge,йыраҡ
694,linker::A,vasak,һул
695,rechter::A,parem,уң
696,anderer::A,muu,бутән
697,anderer::A,teine,бутән
698,erster::A,esimene,тәүге
699,zweiter::A,teine,икенсе
700,dritter::A,kolmas,өсөнсө
701,letzter::A,viimane,һуңғы
702,allein::ADV,üksi,бер үҙе
703,allein::ADV,üksi,яңғыҙ
704,auf einmal::ADV,korraga,бер юлы
705,auf einmal::ADV,ühekorraga,бер юлы
706,zusammen::ADV,koos,бергә
707,zusammen::ADV,üheskoos,бергә
708,lange::ADV,kaua,оҙаҡ
709,plötzlich::ADV,äkki,ҡапыл
710,plötzlich::ADV,järsku,ҡапыл
711,sofort::ADV,kohe,шунда уҡ
712,später::ADV,hiljem,һуңыраҡ
713,jetzt::ADV,nüüd,хәҙер
714,heute::ADV,täna,бөгөн
715,morgen::ADV,homme,иртәгә
716,bald::ADV,pea,тиҙҙән
717,bald::ADV,varsti,тиҙҙән
718,dann::ADV,siis,һуңынан
719,gestern::ADV,eile,кисә
720,einst::ADV,vanasti,ҡасандыр
721,einst::ADV,vanasti,бер баҡыт
722,damals::ADV,tookord,ул саҡта
723,danach::ADV,seejärel,һуңынан
724,vorher::ADV,enne,элек
725,zuerst::ADV,enne,башта
726,zuerst::ADV,esmalt,башта
727,einmal::ADV,kord,бер
728,einmal::ADV,üks kord,бер
729,manchmal::ADV,mõnikord,ҡайһы берҙә
730,oft::ADV,tihti,йыш
731,oft::ADV,sageli,йыш
732,immer::ADV,ikka,һәр ҡасан
733,immer::ADV,alati,һәр ҡасан
734,niemals::ADV,mitte kunagi,бер ҡасан да
735,niemals::ADV,mitte kunagi,бер ваҡытта ла
736,hier::ADV,siin,бында
737,hierhin::ADV,siia,бында
738,von hier::ADV,siit,бынан
739,von hier::ADV,siit,ошонан
740,dort::ADV,seal,шунда
741,dort::ADV,seal,тегендә
742,dorthin::ADV,sinna,шунда
743,dorthin::ADV,sinna,тегеләй
744,geradeaus::ADV,otse edasi,тура
745,vorwärts::ADV,edasi,алға
746,rückwärts::ADV,tagurpidi,кирегә
747,zurück::ADV,tagasi,кирегә
748,unten::ADV,all,түбәндә
749,unten::ADV,allpool,түбәндә
750,hinab::ADV,alla,түбәнгә
751,oben::ADV,ülal,юғарыла
752,hinauf::ADV,üles,юғарыға
753,überall::ADV,kõikjal,бөтә урында
754,nicht::ADV,ei,тугел
755,nicht::ADV,mitte,тугел
756,ein wenig::ADV,veidi,аҙ
757,ein wenig::ADV,natuke,аҙ
758,kaum::ADV,vaevalt,көскә
759,kaum::ADV,vaevalt,саҡ-саҡ
760,sehr::ADV,väga,ифат
761,so::ADV,nii,шулай
762,noch::ADV,veel,йәнә
763,nur::ADV,ainult,бары
764,schon::ADV,juba,инде
765,wieder::ADV,jälle,тағы
766,vergebens::ADV,asjata,бушҡа
767,vor::PRP,ees,алдында
768,hinter::PRP,taha,артында
769,unter::PRP,all,аҫтында
770,durch::PRP,läbi,үтә
771,durch::PRP,kaudu,үтә
772,neben::PRP,kõrval,эргәһендә
773,zwischen::PRP,vahel,араһында
774,wegen::PRP,tõttu,өсөн
775,wegen::PRP,tõttu,сәбәпле
