,Concept_ID,uz,ga
68,Stern::N,yulduz,rinn
69,Stern::N,yulduz,réalta
70,Luft::N,havo,aer
71,Wind::N,el,gaoth
72,Welle::N,to'lqin,tonn
73,Wasser::N,suv,uisce
74,Stein::N,tosh,cloch
75,Boden::N,tuproq,talamh
76,Erde::N,er,cré
77,Erde::N,er,ithir
78,Staub::N,chang,dusta
79,Staub::N,chang,deannach
80,Rauch::N,tutun,toit
81,Rauch::N,tutun,deatach
82,Funke::N,yalt,drithle
83,Feuer::N,o't,tine
84,Licht::N,yorug',solas
85,Schatten::N,soya,scáth
86,Wetter::N,havo,aimsir
87,Nebel::N,tuman,ceo
88,Wolke::N,bulut,néal
89,Wolke::N,bulut,scamall
90,Regen::N,yomg'ir,báisteach
91,Regen::N,yomg'ir,fearthainn
92,Schnee::N,qor,sneachta
93,Eis::N,muz,oighear
94,Frost::N,ajoz,sioc
95,Kälte::N,ajoz,fuacht
96,Hitze::N,issiq,teas
97,Hitze::N,issiq,teocht
98,Raureif::N,qirov,sioc bán
99,Regenbogen::N,kamalak,stua ceatha
100,Regenbogen::N,kamalak,bogha báistí
101,Donner::N,guldur,toirneach
102,Strömung::N,oqim,sruth
103,Tropfen::N,tomchi,deoir
104,Schaum::N,ko'pik,cúr
105,Schmutz::N,gard,salachar
106,See::N,ko'l,loch
107,Sumpf::N,botqoq,portach
108,Moor::N,qir-adir,caorán
109,Moor::N,qir-adir,móinteán
110,Wiese::N,o'tzor,cluain
111,Wiese::N,o'tzor,móinéar
112,Wald::N,o'rmon,coill
113,Wald::N,o'rmon,foraois
114,Hügel::N,tepa,ard
115,Anhöhe::N,adir,ard
116,Anhöhe::N,adir,ardán
117,Berg::N,tog',sliabh
118,Gipfel::N,cho'qqi,barr
119,Gipfel::N,cho'qqi,mullach
120,Höhle::N,kavak,uaimh
121,Höhle::N,kavak,pluais
122,Abhang::N,to'sh,fána
123,Quelle::N,buloq,foinse
124,Bach::N,o'zan,sruthán
125,Fluss::N,daryo,abhainn
126,Ufer::N,sohil,bruach
127,Küste::N,qirg'oq,cósta
128,Küste::N,qirg'oq,cladach
129,Festland::N,materik,míntír
130,Meer::N,dengiz,muir
131,Meer::N,dengiz,farraige
132,Bucht::N,qo'ltiq,bá
133,Bucht::N,qo'ltiq,cuan
134,Insel::N,orol,inis
135,Insel::N,orol,oileán
136,Blume::N,gul,bláth
137,Gras::N,sabza,féar
138,Wurzel::N,tub,rúta
139,Wurzel::N,tub,fréamh
140,Wurzel::N,tomir,rúta
141,Wurzel::N,tomir,fréamh
142,Baum::N,daraxt,crann
143,Stamm::N,o'simta,stoc
144,Stamm::N,o'simta,tamhan
145,Rinde::N,qobiq,coirt
146,Rinde::N,qobiq,craiceann
147,Ast::N,shox,géag
148,Zweig::N,butoq,géag
149,Zweig::N,butoq,craobh
150,Blatt::N,barg,duille
151,Blatt::N,barg,duilleog
152,Birke::N,qayin,beith
153,Birke::N,qayin,crann beithe
154,Kiefer[Baum]::N,qarag'ay,péine
155,Weide[Baum]::N,shum,saileach
156,Tanne::N,archa,giúis
157,Horn::N,mugiz,adharc
158,Feder::N,par,cleite
159,Fell::N,mo'yna,clúmh
160,Flügel::N,qanot,eite
161,Flügel::N,qanot,sciathán
162,Klaue::N,tirnoq,crúb
163,Klaue::N,tirnoq,crobh
164,Kralle::N,tirnoq,crobh
165,Schwanz::N,quyruq,eireaball
166,Ei::N,tuxum,ubh
167,Nest::N,oshyon,nead
168,Bau::N,o'pqon,brocais
169,Tier::N,hayvon,ainmhí
170,Tier::N,hayvon,beithíoch
171,Herde::N,gala,tréad
172,Kuh::N,inak,bó
173,Bulle::N,ho'kiz,tarbh
174,Pferd::N,ot,each
175,Pferd::N,ot,capall
176,Schaf::N,qo'y,caora
177,Schwein::N,cho'chqa,muc
178,Hund::N,it,madra
179,Katze::N,mushuk,cat
180,Bär::N,ayiq,béar
181,Eichhörnchen::N,tiyin,iora
182,Elch::N,los,eilc
183,Fuchs::N,tulki,sionnach
184,Fuchs::N,tulki,madra rua
185,Hase::N,kuyon,giorria
186,Maus::N,sichqon,luch
187,Wolf::N,bo'ri,mac tíre
188,Vogel::N,qush,éan
189,Schwarm::N,to'da,saithe
190,Huhn::N,tovuq,cearc
191,Hahn::N,xo'roz,coileach
192,Gans::N,g'oz,gé
193,Adler::N,burgut,iolar
194,Ente::N,o'rdak,lacha
195,Eule::N,boyo'g'li,ulchabhán
196,Kranich::N,turna,grús
197,Krähe::N,qarg'a,caróg
198,Krähe::N,qarg'a,préachán
199,Kuckuck::N,kakku,cuach
200,Schwan::N,oqkush,eala
201,Fisch::N,baliq,iasc
202,Barsch::N,olabug'a,péirse
203,Hecht::N,cho'rtan,liús
204,Schlange[Tier]::N,ilon,nathair
205,Wurm::N,qurt,péist
206,Spinne::N,o'rgimchak,damhán alla
207,Ameise::N,chumoli,seangán
208,Laus::N,bit,míol
209,Mücke::N,chivin,muiscít
210,Mücke::N,chivin,corrmhíol
211,Fliege::N,pashsha,cuil
212,Fliege::N,pashsha,cuileog
213,Schmetterling::N,kapalak,féileacán
214,Beere::N,meva,caor
215,Apfel::N,olma,úll
216,Pilz::N,qo'ziqorin,beacán
217,Pilz::N,qo'ziqorin,muisiriún
218,Zwiebel::N,piyoz,oinniún
219,Saat::N,äkin,síol
220,Korn::N,zarra,gráinne
221,Heu::N,xashak,féar
222,Schale::N,po'choq,scaimh
223,Grube::N,co'ra,poll
224,Falle::N,qopqon,gaiste
225,Schlinge::N,sirtmoq,sealán
226,Spur::N,iz,rian
227,Asche::N,kul,luaith
228,Dreck::N,kir,salachar
229,Eisen::N,temir,iarann
230,Gold::N,tilla,ór
231,Silber::N,kumush,airgead
232,Kohle::N,ko'mir,gual
233,Glas::N,oyna,gloine
234,Lehm::N,loy,cré
235,Sand::N,qum,gaineamh
236,Mensch::N,odam,duine
237,Mann::N,ärkak,fear
238,Frau::N,ayol,bean
239,Kind::N,bola,gasúr
240,Kind::N,bola,páiste
241,Kind::N,kichkintoy,gasúr
242,Kind::N,kichkintoy,páiste
243,Junge::N,bola,buachaill
244,Mädchen::N,qiz,cailín
245,Familie::N,oila,teaghlach
246,Familie::N,oila,comhluadar
247,Großvater::N,buva,seanathair
248,Großvater::N,katta ota,seanathair
249,Großmutter::N,buvi,seanmháthair
250,Großmutter::N,katta oyi,seanmháthair
251,Eltern::N,ota-ona,tuismitheoirí
252,Vater::N,ota,athair
253,Mutter::N,ona,máthair
254,Sohn::N,o'g'il,mac
255,Tochter::N,qiz,iníon
256,Bruder::N,og'a,deartháir
257,Bruder::N,uka,deartháir
258,Schwester::N,opa,deirfiúr
259,Schwester::N,singil,deirfiúr
260,Onkel::N,amaki,uncail
261,Tante::N,amma,aintín
262,Tante::N,xola,aintín
263,Ehemann::N,är,fear céile
264,Ehefrau::N,rafiqa,bean chéile
265,Freude::N,ayish,áthas
266,Gelächter::N,kulgi,gáire
267,Glück::N,saodat,séan
268,Glück::N,saodat,sonas
269,Kummer::N,g'am,brón
270,Kummer::N,g'am,buairt
271,Wunsch::N,orzu,guí
272,Wunsch::N,orzu,achainí
273,Lust::N,rag'bat,fonn
274,Geist::N,ruh,meon
275,Geist::N,ruh,spiorad
276,Gedanke::N,fikr,smaoineamh
277,Gedächtnis::N,äs,cuimhne
278,Verstand::N,aql,ciall
279,Verstand::N,aql,intinn
280,Sinn::N,ma'ni,brí
281,Sinn::N,ma'ni,ciall
282,Grund::N,sabab,fáth
283,Wahrheit::N,haq,fírinne
284,Gespräch::N,gap,comhrá
285,Märchen::N,ärtak,scéal
286,Erzählung::N,rivoyat,scéal
287,Nachricht::N,xabar,teachtaireacht
288,Neuigkeit::N,yangilik,scéala
289,Name::N,ot,ainm
290,Rätsel::N,topishmoq,tomhas
291,Rede::N,nutq,óráid
292,Rede::N,nutq,aitheasc
293,Sprache::N,til,teanga
294,Stimme::N,ovoz,guth
295,Wort::N,so'z,focal
296,Zeichen::N,alomat,comhartha
297,Ruf::N,chaqiriq,glaoch
298,Lärm::N,taraq,torann
299,Laut::N,tovush,fuaim
300,Ton::N,un,ton
301,Lied::N,ashula,amhrán
302,Ruhe::N,tinchlik,suaimhneas
303,Leute::N,xaloyiq,muintir
304,Volk::N,xalq,pobal
305,Arbeit::N,ish,obair
306,Gast::N,mehmon,aoi
307,Geschenk::N,hadya,féirín
308,Geschenk::N,hadya,bronntanas
309,Spiel::N,o'yin,cluiche
310,Gesellschaft::N,jamiyat,comhluadar
311,Hilfe::N,yordam,cúnamh
312,Hilfe::N,yordam,cabhair
313,Freund::N,do'st,cara
314,Kamerad::N,yo'ldosh,comrádaí
315,Angelegenheit::N,daxl,ábhar
316,Anzahl::N,son,líon
317,Art::N,tur,sórt
318,Art::N,tur,saghas
319,Stück::N,parcha,píosa
320,Teil::N,bo'lak,cuid
321,Teil::N,bo'lak,páirt
322,Hälfte::N,yarim,leath
323,Kreis::N,aylana,ciorcal
324,Kreuz::N,xoch,cros
325,Linie::N,liniya,líne
326,Strich::N,chiziq,stríoc
327,Abstand::N,oralik,achar
328,Entfernung::N,uzoqlik,fad
329,Gegend::N,yer,ceantar
330,Platz::N,oralig,áit
331,Platz::N,oralig,spás
332,Ort::N,joy,áit
333,Seite::N,yon,taobh
334,Mitte::N,o'rta,lár
335,Gegenstand::N,ashyo,ball
336,Gegenstand::N,ashyo,ábhar
337,Sache::N,buyum,ní
338,Sache::N,buyum,rud
339,Rand::N,chek,imeall
340,Rand::N,chek,ciumhais
341,Kante::N,tig',corr
342,Kante::N,tig',colbha
343,Ecke::N,burchak,coirnéal
344,Spitze::N,uch,gob
345,Spitze::N,uch,barr
346,Ende::N,oxir,ceann
347,Ende::N,oxir,foirceann
348,Loch::N,teshik,poll
349,Winkel::N,go'sha,cúinne
350,Winkel::N,go'sha,uillinn
351,Muster::N,nusha,patrún
352,Größe::N,kattalik,méid
353,Größe::N,kattalik,toise
354,Länge::N,uzunlik,fad
355,Höhe::N,yuksaklik,airde
356,Gewicht::N,solmoq,meáchan
357,Menge::N,miqdor,méid
358,Haufen::N,uyum,cnap
359,Reihe::N,saf,líne
360,Reihe::N,saf,sraith
361,Boot::N,qayiq,bád
362,Ruder::N,äshkak,rámh
363,Ruder::N,äshkak,maide rámha
364,Schlitten::N,chana,carr sleamhnáin
365,Ski::N,chang'i,scí
366,Lagerfeuer::N,gulxan,tine champa
367,Last::N,yuk,ualach
368,Gang::N,yurish,siúlóid
369,Schritt::N,qadam,céim
370,Schritt::N,qadam,coiscéim
371,Norden::N,shimol,tuaisceart
372,Süden::N,janub,deisceart
373,Westen::N,g'arb,iarthar
374,Osten::N,sharq,oirthear
375,Holz::N,yog'och,adhmad
376,Brett::N,taxta,clár
377,Platte::N,tabaqa,leac
378,Stütze::N,tayanchi,taca
379,Stange::N,qo'noq,polla
380,Stange::N,qo'noq,cuaille
381,Stock::N,tayoq,bata
382,Stock::N,tayoq,maide
383,Stab::N,gavron,maide
384,Stab::N,gavron,bachall
385,Rohr::N,tarnov,píopa
386,Haus::N,uy,teach
387,Heim::N,makon,baile
388,Ofen::N,pechka,sornóg
389,Fußboden::N,pol,urlár
390,Tisch::N,mosa,bord
391,Tisch::N,mosa,tábla
392,Stuhl::N,o'rindiq,cathaoir
393,Wiege::N,beshik,cliabhán
394,Bett::N,yotoq,leaba
395,Regal::N,tokcha,seilf
396,Kiste::N,sandiq,bosca
397,Fenster::N,deraza,fuinneoig
398,Tür::N,äshik,doras
399,Tor::N,darvoza,geata
400,Zaun::N,panjara,fál
401,Zaun::N,panjara,claí
402,Dach::N,tom,díon
403,Leiter::N,narvon,dréimire
404,Besen::N,supurgi,scuab
405,Spaten::N,bel,spád
406,Spaten::N,bel,rámhainn
407,Schaufel::N,kurak,sluasaid
408,Gabel::N,bilka,forc
409,Gabel::N,bilka,gabhlóg
410,Löffel::N,qoshiq,spúnóg
411,Messer::N,pichoq,scian
412,Nagel::N,mix,tairne
413,Netz::N,to'r,líon
414,Netz::N,to'r,eangach
415,Haken::N,ilgak,croch
416,Griff::N,sop,cos
417,Griff::N,sop,hanla
418,Griff::N,tutqich,cos
419,Griff::N,tutqich,hanla
420,Schloss::N,qulf,glas
421,Bild::N,rasm,pictiúr
422,Figur::N,shakl,fíor
423,Puppe::N,ko'g'irchoq,bábóg
424,Beutel::N,to'rva,mála
425,Beutel::N,to'rva,mealbhóg
426,Bündel::N,bog'lam,beart
427,Tasche::N,kissa,mála
428,Eimer::N,chelak,buicéad
429,Deckel::N,qopqoq,clár
430,Deckel::N,qopqoq,claibín
431,Geschirr::N,idish,soithí
432,Geschirr::N,idish,gréithe
433,Sack::N,qop,sac
434,Sack::N,qop,mála
435,Tasse::N,piyola,cupán
436,Topf::N,tuvak,pota
437,Kessel::N,qozon,citeal
438,Essen::N,tomoq,béile
439,Nahrung::N,emak,bia
440,Speise::N,taom,mias
441,Fleisch::N,go'sht,feoil
442,Getreide::N,g'alla,grán
443,Getreide::N,g'alla,arbhar
444,Brei::N,bo'tqa,brúitín
445,Brot::N,non,arán
446,Scheibe::N,disk,píosa
447,Scheibe::N,disk,slisne
448,Fett::N,moy,saill
449,Fett::N,moy,méathras
450,Butter::N,yog',im
451,Öl::N,moy,ola
452,Salz::N,tuz,salann
453,Suppe::N,sho'rva,sú
454,Suppe::N,sho'rva,anraith
455,Honig::N,asal,mil
456,Milch::N,sut,bainne
457,Tee::N,choy,tae
458,Leder::N,charm,leathar
459,Wolle::N,jun,olann
460,Stoff::N,mato,éadach
461,Nadel::N,igna,snáthaid
462,Faden::N,ip,snáth
463,Knopf::N,tugma,cnaipe
464,Knoten::N,tugun,snaidhm
465,Farbe::N,bo'yok,péint
466,Kleidung::N,kiyim,éadaí
467,Hemd::N,ko'ylak,léine
468,Kragen::N,yoqa,bóna
469,Ärmel::N,yeng,muinchille
470,Hose::N,shim,bríste
471,Hose::N,shim,treabhsar
472,Gürtel::N,tasma,crios
473,Mütze::N,shapka,caipín
474,Schuh::N,but,bróg
475,Stiefel::N,botinka,buatais
476,Ring::N,yuzuk,fáinne
477,Band::N,rishta,ribín
478,Kamm::N,taroq,cíor
479,Spiegel::N,ko'zgu,scáthán
480,Riemen::N,qayish,iall
481,Riemen::N,qayish,strapa
482,Schnur::N,bog'ich,téad
483,Schnur::N,bog'ich,sreangán
484,Leine::N,etak,iall
485,Decke::N,odyol,pluid
486,Decke::N,odyol,blaincéad
487,Kissen::N,yostiq,piliúr
488,Kissen::N,yostiq,adhartán
489,Tuch::N,gazlama,scaif
490,Handtuch::N,sochiq,tuáille
491,Kraft::N,kuch,fórsa
492,Stärke::N,quvvat,neart
493,Gesundheit::N,sog'lik,sláinte
494,Krankheit::N,kasallik,tinneas
495,Krankheit::N,kasallik,breoiteacht
496,Schmerz::N,og'riq,pian
497,Wunde::N,yara,goin
498,Fieber::N,bezgak,fiabhras
499,Arznei::N,dori,cógas
500,Brücke::N,ko'prik,droichead
501,Brunnen::N,buloq,tobar
502,Weide::N,yaylov,féarach
503,Pfad::N,dorojka,cosán
504,Pfad::N,dorojka,conair
505,Weg::N,yo'l,slí
506,Weg::N,yo'l,bealach
507,Straße::N,ko'cha,bóthar
508,Dorf::N,ovul,sráidbhaile
509,Stadt::N,shahar,baile
510,Stadt::N,shahar,cathair
511,Brief::N,maktub,litir
512,Buch::N,kitob,cín
513,Buch::N,kitob,leabhar
514,Buchstabe::N,harf,litir
515,Zeitung::N,gazet,nuachtán
516,Leben::N,hayot,saol
517,Leben::N,hayot,beatha
518,Tod::N,o'lim,bás
519,Grab::N,go'r,uaigh
520,Kirche::N,cherkov,eaglais
521,Sünde::N,gunoh,peaca
522,Gott::N,olloh,dia
523,Arbeiter::N,ishchi,oibrí
524,Chef::N,rais,saoiste
525,Chef::N,rais,ceannasaí
526,Meister::N,usta,máistir
527,Arzt::N,hakim,lia
528,Arzt::N,hakim,dochtúir
529,Lehrer::N,muallim,oide
530,Lehrer::N,muallim,múinteoir
531,Geld::N,pul,airgead
532,Geschäft::N,savdo,gnó
533,Laden::N,do'kon,siopa
534,Preis::N,baho,praghas
535,Ware::N,mol,earra
536,Nutzen::N,foyda,tairbhe
537,Reichtum::N,boylik,rachmas
538,Reichtum::N,boylik,saibhreas
539,Welt::N,olam,domhan
540,Land::N,o'lka,tír
541,Staat::N,davlat,stát
542,König::N,qirol,rí
543,Macht::N,iqtidor,cumhacht
544,Grenze::N,chegara,críoch
545,Grenze::N,chegara,teorainn
546,Krieg::N,harb,cogadh
547,Feind::N,dushman,namhaid
548,Gewalt::N,zo'rlik,foréigean
549,Kampf::N,kurash,troid
550,Bogen[Waffe]::N,yoy,bogha
551,Pfeil::N,o'q,saighead
552,Gewehr::N,vintovka,gunna
553,Fehler::N,xato,botún
554,Fehler::N,xato,meancóg
555,Lüge::N,yolg'on,bréag
556,Lüge::N,yolg'on,éitheach
557,Schaden::N,ziyon,dochar
558,Schaden::N,ziyon,damáiste
559,Unglück::N,balo,drochrath
560,Schuld::N,ayb,locht
561,Schuld::N,ayb,milleán
562,Alter::N,yosh,aois
563,Schluss::N,tamom,deireadh
564,Zeit::N,vaqt,am
565,Zeit::N,vaqt,aimsir
566,Tag::N,kun,lá
567,Morgen::N,saboh,maidin
568,Mittag::N,kun tushlik,nóin
569,Abend::N,oqshom,tráthnóna
570,Nacht::N,tun,oíche
571,Woche::N,hafta,seachtain
572,Monat::N,oy,mí
573,Jahr::N,yil,bliain
574,Frühling::N,bahor,earrach
575,Sommer::N,yoz,samhradh
576,Herbst::N,kuz,fómhar
577,Herbst::N,xazon,fómhar
578,Winter::N,qish,geimhreadh
579,Januar::N,yanvar',Eanáir
580,Februar::N,fevral',Feabhra
581,März::N,mart,Márta
582,April::N,aprel',Aibreán
583,Mai::N,may,Bealtaine
584,Juni::N,iyun',Meitheamh
585,Juli::N,iyul',Iúil
586,August::N,avgust,Lúnasa
587,September::N,sentyabr',Meán Fómhair
588,Oktober::N,oktyabr',Deireadh Fómhair
589,November::N,noyabr',Samhain
590,November::N,noyabr',Mí na Samhna
591,Dezember::N,dekabr',Mí na Nollag
592,Montag::N,dushanba,Luan
593,Montag::N,dushanba,Dé Luain
594,Dienstag::N,seshanba,Máirt
595,Dienstag::N,seshanba,Dé Máirt
596,Mittwoch::N,chorshanba,Céadaoin
597,Mittwoch::N,chorshanba,Dé Céadaoin
598,Donnerstag::N,payshanba,Déardaoin
599,Freitag::N,juma,Aoine
600,Freitag::N,juma,Dé hAoine
601,Samstag::N,shanba,Satharn
602,Samstag::N,shanba,Dé Sathairn
603,Sonntag::N,yakshanba,Domhnach
604,Sonntag::N,yakshanba,Dé Domhnaigh
605,groß::A,buyuk,mór
606,klein::A,kichik,beag
607,lang::A,uzun,fada
608,kurz::A,qisqa,gearr
609,kurz::A,qisqa,gairid
610,breit::A,keng,leathan
611,breit::A,keng,fairsing
612,schmal::A,änsiz,cúng
613,dicht::A,quyuq,dlúth
614,dick[Gegenstand]::A,qalin,tiubh
615,dünn::A,ingichka,caol
616,dünn::A,ingichka,tanaí
617,fein::A,mayin,scáinte
618,fein::A,mayin,fíneálta
619,fest::A,qattiq,daingean
620,flach::A,yalpoq,cothrom
621,glatt::A,tekis,mín
622,glatt::A,tekis,sleamhain
623,hart::A,qattiq,crua
624,weich::A,yumshoq,bog
625,rund::A,yumaloq,cruinn
626,spitz::A,uchli,gobach
627,spitz::A,uchli,biorach
628,scharf::A,keskir,géar
629,scharf::A,keskir,faobhrach
630,stumpf::A,to'mtoq,maol
631,schwer::A,salmoqli,trom
632,schön::A,go'zal,álainn
633,heiß::A,qiziq,te
634,warm::A,issiq,te
635,kalt::A,sovuq,fuar
636,kühl::A,salqin,fionnuar
637,frisch::A,toza,úr
638,frisch::A,toza,friseáilte
639,feucht::A,namli,tais
640,nass::A,nam,fliuch
641,trocken::A,quruq,tirim
642,voll::A,to'la,lán
643,leer::A,puch,folamh
644,offen::A,ochiq,oscailte
645,geschlossen::A,berk,dúnta
646,geschlossen::A,berk,druidte
647,sauber::A,ozoda,glan
648,schmutzig::A,kir,salach
649,roh::A,xom,amh
650,reif::A,pishiq,aibí
651,lecker::A,shirin,blasta
652,süß::A,shirin,milis
653,bitter::A,achchiq,searbh
654,sauer::A,achchiq,géar
655,sauer::A,achchiq,searbh
656,hell::A,yorug',geal
657,hell::A,yorug',soilseach
658,dunkel::A,qorong'i,dorcha
659,schwarz::A,qora,dubh
660,weiß::A,oq,bán
661,rot::A,qizil,dearg
662,gelb::A,sariq,buí
663,blau::A,zangori,gorm
664,grün::A,yashil,glas
665,grün::A,yashil,uaine
666,grau::A,bo'z,liath
667,bunt::A,ola,ildathach
668,bunt::A,ola,dathannach
669,billig::A,arzon,saor
670,teuer::A,qimmat,daor
671,teuer::A,qimmat,costasach
672,wertvoll::A,qimmat,luachmhar
673,blind::A,ko'r,dall
674,blind::A,ko'r,caoch
675,taub::A,garang,bodhar
676,kräftig::A,kuchli,cumhachtach
677,stark::A,quvvatli,tréan
678,stark::A,quvvatli,láidir
679,schwach::A,kuchsiz,lag
680,schwach::A,kuchsiz,fann
681,fett::A,semiz,ramhar
682,schlank::A,ingichka,caol
683,schlank::A,ingichka,seang
684,hübsch::A,ko'rkam,álainn
685,hübsch::A,ko'rkam,dathúil
686,böse::A,yovuz,olc
687,dumm::A,aqlsiz,dúr
688,dumm::A,aqlsiz,amaideach
689,faul::A,ärinchak,falsa
690,faul::A,ärinchak,leisciúil
691,fleißig::A,ishchan,dícheallach
692,geizig::A,qurumsoq,barainneach
693,geizig::A,qurumsoq,sprionlaithe
694,klug::A,oqil,cliste
695,geschickt::A,äpchil,oilte
696,geschickt::A,äpchil,ealaíonta
697,lieb::A,aziz,dil
698,lieb::A,aziz,dílis
699,lustig::A,chaqchaq,aerach
700,lustig::A,chaqchaq,meidhreach
701,sanft::A,asta,bog
702,sanft::A,asta,séimh
703,hungrig::A,och,ocrach
704,krank::A,kasal,tinn
705,krank::A,kasal,breoite
706,nackt::A,yalang,nocht
707,traurig::A,xafa,brónach
708,lebendig::A,hayotiy,beo
709,gut::A,soz,maith
710,schlecht::A,yomon,dona
711,schlecht::A,yomon,droch-
712,richtig::A,rost,ceart
713,schlimm::A,yovuz,gránna
714,schlimm::A,yovuz,tubaisteach
715,wahr::A,haqiqiy,fíor
716,alt::A,äski,sean
717,neu::A,yangi,úr
718,neu::A,yangi,nua
719,ehemalig::A,sobiq,iar-
720,ehemalig::A,sobiq,sean-
721,alt[Lebewesen]::A,qari,sean
722,alt[Lebewesen]::A,qari,aosta
723,jung::A,navqiron,óg
724,arm::A,abgor,bocht
725,reich::A,boy,saibhir
726,reich::A,boy,rachmasach
727,bekannt::A,ma'lum,atá eolas air
728,berühmt::A,mashhur,cailiúil
729,berühmt::A,mashhur,clúiteach
730,fremd::A,yot,coimhthíoch
731,verschieden::A,turli,éagsúil
732,verschieden::A,turli,difriúil
733,nah::A,yaqindagi,gar
734,nah::A,yaqindagi,deas
735,fern::A,uzoq,i bhfad uainn
736,fern::A,uzoq,i bhfad i gcéin
737,linker::A,so'l,clé
738,rechter::A,o'ng,deas
739,anderer::A,boshqa,eile
740,erster::A,birinchi,céad
741,zweiter::A,ikkinchi,dóú
742,zweiter::A,ikkinchi,dara
743,dritter::A,uchinchi,tríú
744,dritter::A,uchinchi,treas
745,letzter::A,oxirgi,déanach
746,letzter::A,oxirgi,deireanach
747,allein::ADV,o'zicha,i d'aonar
748,auf einmal::ADV,varakay,ag an am céanna
749,zusammen::ADV,barobar,le chéile
750,zusammen::ADV,barobar,in eineacht
751,lange::ADV,uzoq,fada
752,plötzlich::ADV,qo'qqisdan,go tobann
753,plötzlich::ADV,qo'qqisdan,i dtobainne
754,sofort::ADV,darrov,ar an toirt
755,sofort::ADV,darrov,ar an bpointe
756,später::ADV,so'ngra,níos déanaí
757,jetzt::ADV,hozirgina,anois
758,heute::ADV,bugun,inniu
759,morgen::ADV,ärta,amárach
760,bald::ADV,toz,go luath
761,bald::ADV,toz,gan mhoill
762,dann::ADV,keyin,ansin
763,gestern::ADV,kecha,inné
764,einst::ADV,avvallari,tráth
765,einst::ADV,avvallari,uair amháin
766,damals::ADV,ugal,ag an am
767,damals::ADV,ugal,an t-am sin
768,danach::ADV,so'ngra,ina dhiaidh sin
769,vorher::ADV,avval,cheana
770,vorher::ADV,avval,roimhe sin
771,zuerst::ADV,avval,ar dtús
772,einmal::ADV,bir marta,uair amháin
773,manchmal::ADV,onda-sonda,uaireanta
774,oft::ADV,tez-tez,minic
775,immer::ADV,har vaqt,i gcónaí
776,niemals::ADV,hargiz,riamh
777,hier::ADV,shu erda,anseo
778,hierhin::ADV,beri,anseo
779,von hier::ADV,shu erdan,an áit seo
780,dort::ADV,ana,ann
781,dort::ADV,ana,ansin
782,dorthin::ADV,u yerga,ann
783,dorthin::ADV,u yerga,ansin
784,geradeaus::ADV,to'g'ri,ar aghaidh
785,vorwärts::ADV,ilgari,
786,rückwärts::ADV,qoloq,siar
787,zurück::ADV,orqada,ar ais
788,unten::ADV,pastda,thíos
789,hinab::ADV,tubanga,síos
790,oben::ADV,ustida,thuas
791,hinauf::ADV,yuqorida,suas
792,überall::ADV,har erda,i ngach áit
793,überall::ADV,har erda,ar fud na háite
794,nicht::ADV,ämas,ní
795,nicht::ADV,ämas,cha
796,ein wenig::ADV,biroz,beagán
797,kaum::ADV,arang,ar éigean
