,Concept_ID,bg,da
90,Schnee::N,сняг,sne
91,Eis::N,лед,is
92,Frost::N,мраз,frost
93,Kälte::N,студ,kulde
94,Hitze::N,жега,hede
95,Hitze::N,горещина,hede
96,Raureif::N,скреж,rimfrost
97,Raureif::N,слана,rimfrost
98,Regenbogen::N,дъга,regnbue
99,Donner::N,гръм,torden
100,Strömung::N,течение,strømning
101,Tropfen::N,капка,dråbe
102,Schaum::N,пяна,skum
103,Schmutz::N,кал,snavs
104,Schmutz::N,мръсотия,snavs
105,See::N,езеро,sø
106,Sumpf::N,блато,sump
107,Moor::N,мочурище,mose
108,Wiese::N,ливада,eng
109,Wald::N,гора,skov
110,Hügel::N,рид,høj
111,Hügel::N,рид,bakke
112,Hügel::N,хълм,høj
113,Hügel::N,хълм,bakke
114,Anhöhe::N,могила,høj
115,Anhöhe::N,могила,bakke
116,Anhöhe::N,възвишение,høj
117,Anhöhe::N,възвишение,bakke
118,Berg::N,планина,bjerg
119,Gipfel::N,връх,top
120,Höhle::N,пещера,hule
121,Abhang::N,склон,skrænt
122,Abhang::N,склон,skråning
123,Abhang::N,стръмнина,skrænt
124,Abhang::N,стръмнина,skråning
125,Quelle::N,извор,kilde
126,Bach::N,поток,bæk
127,Fluss::N,река,flod
128,Ufer::N,бряг,bred
129,Küste::N,бряг,kyst
130,Küste::N,крайбрежие,kyst
131,Festland::N,суша,fastland
132,Meer::N,море,hav
133,Bucht::N,залив,bugt
134,Insel::N,остров,ø
135,Blume::N,цвете,blomst
136,Gras::N,трева,græs
137,Wurzel::N,корен,rod
138,Baum::N,дърво,træ
139,Stamm::N,стъбло,stamme
140,Rinde::N,кора,bark
141,Ast::N,клон,gren
142,Zweig::N,клон,kvist
143,Blatt::N,лист,blad
144,Birke::N,бреза,birk
145,Kiefer[Baum]::N,бор,fyrretræ
146,Weide[Baum]::N,върба,piletræ
147,Tanne::N,ела,gran
148,Horn::N,рог,horn
149,Feder::N,перо,fjer
150,Fell::N,кожа,skind
151,Flügel::N,крило,vinge
152,Klaue::N,нокът,klov
153,Kralle::N,нокът,klo
154,Schwanz::N,опашка,hale
155,Ei::N,яйце,æg
156,Nest::N,гнездо,rede
157,Bau::N,дупка,bo
158,Tier::N,животно,dyr
159,Herde::N,стадо,flok
160,Kuh::N,крава,ko
161,Bulle::N,бик,tyr
162,Pferd::N,кон,hest
163,Schaf::N,овца,får
164,Schwein::N,свиня,gris
165,Hund::N,куче,hund
166,Katze::N,котка,kat
167,Bär::N,мечка,bjørn
168,Eichhörnchen::N,катерица,egern
169,Elch::N,лос,elg
170,Fuchs::N,лисица,ræv
171,Hase::N,заек,hare
172,Maus::N,мишка,mus
173,Wolf::N,вълк,ulv
174,Vogel::N,птица,fugl
175,Schwarm::N,рой,sværm
176,Schwarm::N,рояк,sværm
177,Huhn::N,кокошка,høne
178,Hahn::N,петел,hane
179,Gans::N,гъска,gås
180,Adler::N,орел,ørn
181,Ente::N,патица,and
182,Eule::N,сова,ugle
183,Kranich::N,жерав,trane
184,Krähe::N,врана,krage
185,Kuckuck::N,кукувица,gøg
186,Schwan::N,лебед,svane
187,Fisch::N,риба,fisk
188,Barsch::N,костур,aborre
189,Hecht::N,щука,gedde
190,Schlange[Tier]::N,змия,slange
191,Wurm::N,червей,orm
192,Spinne::N,паяк,edderkop
193,Ameise::N,мравка,myre
194,Laus::N,въшка,lus
195,Mücke::N,комар,myg
196,Fliege::N,муха,flue
197,Schmetterling::N,пеперуда,sommerfugl
198,Beere::N,плод,bær
199,Apfel::N,ябълка,æble
200,Pilz::N,гъба,svamp
201,Zwiebel::N,лук,løg
202,Zwiebel::N,кромид,løg
203,Saat::N,семе,sæd
204,Korn::N,зърно,korn
205,Heu::N,сено,hø
206,Schale::N,кора,skræl
207,Grube::N,яма,grav
208,Grube::N,дупка,grav
209,Falle::N,примка,fælde
210,Schlinge::N,клуп,snare
211,Spur::N,диря,spor
212,Spur::N,следа,spor
213,Asche::N,пепел,aske
214,Dreck::N,кал,snavs
215,Eisen::N,желязо,jern
216,Gold::N,злато,guld
217,Silber::N,сребро,sølv
218,Kohle::N,въглища,kul
219,Glas::N,стъкло,glas
220,Lehm::N,глина,ler
221,Sand::N,пясък,sand
222,Mensch::N,човек,mennesge
223,Mann::N,мъж,mand
224,Frau::N,жена,kvinde
225,Kind::N,дете,barn
226,Junge::N,момче,dreng
227,Mädchen::N,момиче,pige
228,Familie::N,фамилия,familie
229,Familie::N,семейство,familie
230,Großvater::N,дядо,bedstefar
231,Großmutter::N,баба,bedstemor
232,Eltern::N,родители,forældre
233,Vater::N,баща,far
234,Mutter::N,майка,mor
235,Sohn::N,син,søn
236,Tochter::N,дъщеря,datter
237,Bruder::N,брат,bror
238,Schwester::N,сестра,søster
239,Onkel::N,чичо,onkel
240,Onkel::N,вуйчо,onkel
241,Tante::N,леля,tante
242,Ehemann::N,съпруг,ægtemand
243,Ehefrau::N,съпруга,hustru
244,Freude::N,радост,glæde
245,Gelächter::N,смях,latter
246,Glück::N,щастие,lykke
247,Kummer::N,тъга,sorg
248,Wunsch::N,желание,ønske
249,Lust::N,желание,lyst
250,Geist::N,дух,ånd
251,Gedanke::N,мисъл,tanke
252,Gedächtnis::N,памет,hukommelse
253,Verstand::N,ум,forstand
254,Verstand::N,разум,forstand
255,Sinn::N,смисъл,mening
256,Sinn::N,смисъл,betydning
257,Grund::N,причина,grund
258,Wahrheit::N,правда,sandhed
259,Gespräch::N,разговор,samtale
260,Märchen::N,приказка,eventyr
261,Erzählung::N,разказ,fortælling
262,Nachricht::N,вест,efterretning
263,Nachricht::N,известие,efterretning
264,Neuigkeit::N,новина,nyhed
265,Name::N,име,navn
266,Rätsel::N,гатанка,gåde
267,Rede::N,реч,tale
268,Rede::N,слово,tale
269,Sprache::N,език,sprog
270,Stimme::N,глас,stemme
271,Wort::N,дума,ord
272,Zeichen::N,знак,tegn
273,Ruf::N,зов,råb
274,Lärm::N,шум,larm
275,Lärm::N,глъчка,larm
276,Laut::N,звук,lyd
277,Ton::N,тон,tone
278,Lied::N,песен,sang
279,Ruhe::N,тишина,ro
280,Ruhe::N,тишина,hvile
281,Ruhe::N,спокойствие,ro
282,Ruhe::N,спокойствие,hvile
283,Leute::N,хора,folk
284,Leute::N,хора,mennesker
285,Volk::N,народ,folk
286,Arbeit::N,труд,arbejde
287,Arbeit::N,работа,arbejde
288,Gast::N,гост,gæst
289,Geschenk::N,дар,gave
290,Geschenk::N,подарък,gave
291,Spiel::N,игра,leg
292,Gesellschaft::N,общество,selskab
293,Hilfe::N,помощ,hjælp
294,Freund::N,приятел,ven
295,Kamerad::N,другар,kammerat
296,Angelegenheit::N,работа,sag
297,Angelegenheit::N,работа,anliggende
298,Anzahl::N,брой,antal
299,Anzahl::N,количество,antal
300,Art::N,вид,art
301,Stück::N,къс,stykke
302,Stück::N,парче,stykke
303,Teil::N,дял,del
304,Teil::N,част,del
305,Hälfte::N,половина,halvdel
306,Kreis::N,кръг,cirkel
307,Kreuz::N,кръст,kors
308,Kreuz::N,кръст,kryds
309,Linie::N,черта,linie
310,Strich::N,щрих,streg
311,Strich::N,черта,streg
312,Abstand::N,дистанция,afstand
313,Abstand::N,разстояние,afstand
314,Entfernung::N,разстояние,afstand
315,Gegend::N,местност,egn
316,Platz::N,място,plads
317,Ort::N,място,sted
318,Seite::N,страна,side
319,Mitte::N,среда,midte
320,Gegenstand::N,предмет,genstand
321,Sache::N,вещ,sag
322,Rand::N,ръб,rand
323,Kante::N,ръб,kant
324,Kante::N,кант,kant
325,Ecke::N,ъгъл,hjørne
326,Spitze::N,връх,spids
327,Spitze::N,острие,spids
328,Ende::N,край,ende
329,Loch::N,дупка,hul
330,Winkel::N,кът,vinkel
331,Winkel::N,ъгъл,vinkel
332,Muster::N,десен,mønster
333,Muster::N,образец,mønster
334,Größe::N,големина,størrelse
335,Länge::N,дължина,længde
336,Höhe::N,висота,højde
337,Höhe::N,височина,højde
338,Gewicht::N,тегло,vægt
339,Gewicht::N,тежест,vægt
340,Menge::N,количество,mængde
341,Haufen::N,куп,bunke
342,Haufen::N,грамада,bunke
343,Reihe::N,ред,række
344,Reihe::N,редица,række
345,Boot::N,лодка,båd
346,Ruder::N,весло,åre
347,Ruder::N,гребло,åre
348,Schlitten::N,шейна,kælk
349,Schlitten::N,шейна,slæde
350,Ski::N,ски,ski
351,Lagerfeuer::N,огнище,lejrbål
352,Last::N,товар,last
353,Last::N,товар,byrde
354,Gang::N,ход,gang
355,Gang::N,вървеж,gang
356,Schritt::N,стъпка,skridt
357,Norden::N,север,nord
358,Süden::N,юг,syd
359,Westen::N,запад,vest
360,Osten::N,изток,øst
361,Holz::N,дърво,træ
362,Brett::N,дъска,bræt
363,Stange::N,прът,stang
364,Stange::N,върлина,stang
365,Stock::N,прът,stok
366,Stock::N,тояга,stok
367,Stab::N,прът,stav
368,Rohr::N,цев,rør
369,Rohr::N,тръба,rør
370,Haus::N,къща,hus
371,Heim::N,дом,hjem
372,Ofen::N,печка,ovn
373,Fußboden::N,под,gulv
374,Tisch::N,маса,bord
375,Stuhl::N,стол,stol
376,Wiege::N,люлка,vugge
377,Bett::N,легло,seng
378,Bett::N,креват,seng
379,Regal::N,рафт,reol
380,Regal::N,етажерка,reol
381,Kiste::N,кутия,kasse
382,Kiste::N,сандък,kasse
383,Fenster::N,прозорец,vindue
384,Tür::N,врата,dør
385,Tor::N,врата,port
386,Zaun::N,ограда,stakit
387,Dach::N,покрив,tag
388,Leiter::N,стълба,stige
389,Besen::N,метла,kost
390,Spaten::N,лопата,spade
391,Schaufel::N,лопата,skovl
392,Gabel::N,вилица,gaffel
393,Löffel::N,лъжица,ske
394,Messer::N,нож,kniv
395,Nagel::N,гвоздей,søm
396,Netz::N,мрежа,net
397,Haken::N,кука,krog
398,Haken::N,закачалка,krog
399,Griff::N,ръчка,tag
400,Griff::N,ръчка,håndtag
401,Griff::N,дръжка,tag
402,Griff::N,дръжка,håndtag
403,Schloss::N,брава,lås
404,Schloss::N,ключалка,lås
405,Bild::N,картина,billede
406,Figur::N,фигура,figur
407,Puppe::N,кукла,dukke
408,Beutel::N,кесия,pose
409,Bündel::N,връзка,bylt
410,Bündel::N,връзка,bundt
411,Tasche::N,чанта,taske
412,Eimer::N,кофа,spand
413,Deckel::N,капак,låg
414,Deckel::N,похлупак,låg
415,Geschirr::N,съдове,husgeråd
416,Sack::N,чувал,sæk
417,Tasse::N,чаша,kop
418,Topf::N,гърне,gryde
419,Topf::N,тенджера,gryde
420,Kessel::N,котел,kedel
421,Essen::N,ядене,måltid
422,Nahrung::N,храна,mad
423,Nahrung::N,храна,næring
424,Speise::N,ястие,ret
425,Fleisch::N,месо,kød
426,Getreide::N,зърнено храни,korn
427,Brei::N,каша,grød
428,Brot::N,хляб,brød
429,Scheibe::N,резен,skive
430,Fett::N,мазнина,fedt
431,Butter::N,масло,smør
432,Öl::N,олио,olie
433,Öl::N,оливия,olie
434,Salz::N,сол,salt
435,Suppe::N,супа,suppe
436,Honig::N,мед,honning
437,Milch::N,мляко,mælk
438,Tee::N,чай,te
439,Leder::N,кожа,skind
440,Wolle::N,вълна,uld
441,Stoff::N,плат,stof
442,Stoff::N,материал,stof
443,Nadel::N,игла,nål
444,Faden::N,конец,tråd
445,Knopf::N,копче,knap
446,Knoten::N,възел,knude
447,Farbe::N,боя,farve
448,Kleidung::N,дрехи,påklædning
449,Kleidung::N,облекло,påklædning
450,Hemd::N,риза,skjorte
451,Kragen::N,яка,krave
452,Ärmel::N,ръкав,ærme
453,Hose::N,панталони,bukser
454,Gürtel::N,пояс,bælte
455,Gürtel::N,колан,bælte
456,Mütze::N,каскет,hue
457,Mütze::N,фуражка,hue
458,Schuh::N,обувка,sko
459,Stiefel::N,ботуш,støvle
460,Ring::N,пръстен,ring
461,Band::N,лента,bånd
462,Band::N,връзка,bånd
463,Kamm::N,гребен,kam
464,Spiegel::N,огледало,spejl
465,Riemen::N,каиш,rem
466,Riemen::N,ремък,rem
467,Schnur::N,връв,snor
468,Leine::N,връв,snor
469,Leine::N,въже,snor
470,Decke::N,покривка,tæppe
471,Kissen::N,възглавница,pude
472,Tuch::N,сукно,sjaltørklæde
473,Handtuch::N,пешкир,håndklæde
474,Handtuch::N,кърпа за лице,håndklæde
475,Kraft::N,мощ,kraft
476,Kraft::N,сила,kraft
477,Stärke::N,сила,styrke
478,Gesundheit::N,здраве,sundhed
479,Krankheit::N,болест,sygdom
480,Schmerz::N,болка,smerte
481,Wunde::N,рана,sår
482,Fieber::N,треска,feber
483,Fieber::N,температура,feber
484,Arznei::N,лек,medicin
485,Arznei::N,лек,lægemiddel
486,Arznei::N,лекарство,medicin
487,Arznei::N,лекарство,lægemiddel
488,Brücke::N,мост,bro
489,Brunnen::N,чешма,brønd
490,Brunnen::N,кладенец,brønd
491,Weide::N,паша,græsgang
492,Weide::N,пасище,græsgang
493,Pfad::N,пътека,sti
494,Weg::N,път,vej
495,Straße::N,шосе,gade
496,Dorf::N,село,landsby
497,Stadt::N,град,by
498,Brief::N,писмо,brev
499,Buch::N,книга,bog
500,Buchstabe::N,буква,bogstav
501,Zeitung::N,вестник,avis
502,Leben::N,живот,liv
503,Tod::N,смърт,død
504,Grab::N,гроб,grav
505,Kirche::N,църква,kirke
506,Sünde::N,грях,synd
507,Gott::N,бог,gud
508,Arbeiter::N,работник,arbejder
509,Chef::N,шеф,chef
510,Chef::N,началник,chef
511,Meister::N,майстор,mester
512,Arzt::N,лекар,læge
513,Lehrer::N,учител,lærer
514,Geld::N,пари,penge
515,Geschäft::N,сделка,forretning
516,Laden::N,дюкян,butik
517,Laden::N,дюкян,forretning
518,Laden::N,магазин,butik
519,Laden::N,магазин,forretning
520,Preis::N,цена,pris
521,Ware::N,стока,vare
522,Nutzen::N,полза,nytte
523,Nutzen::N,облага,nytte
524,Reichtum::N,богатство,rigdom
525,Welt::N,свят,verden
526,Land::N,страна,land
527,Staat::N,щат,stat
528,Staat::N,държава,stat
529,König::N,крал,konge
530,Macht::N,мощ,magt
531,Macht::N,власт,magt
532,Grenze::N,граница,grænse
533,Krieg::N,война,krig
534,Feind::N,враг,fjende
535,Feind::N,неприятел,fjende
536,Gewalt::N,сила,vold
537,Gewalt::N,насилие,vold
538,Kampf::N,борба,kamp
539,Kampf::N,сражение,kamp
540,Bogen[Waffe]::N,лък,bue
541,Pfeil::N,стрела,pil
542,Gewehr::N,пушка,gevær
543,Fehler::N,грешка,fejl
544,Lüge::N,лъжа,løgn
545,Schaden::N,повреда,skade
546,Unglück::N,нещастие,uheld
547,Unglück::N,нещастие,ulykke
548,Schuld::N,вина,skyld
549,Alter::N,възраст,alder
550,Schluss::N,край,slut
551,Schluss::N,край,slutning
552,Zeit::N,време,tid
553,Tag::N,ден,dag
554,Morgen::N,утро,morgen
555,Morgen::N,сутрин,morgen
556,Mittag::N,обед,middag
557,Mittag::N,пладне,middag
558,Abend::N,вечер,aften
559,Nacht::N,нощ,nat
560,Woche::N,седмица,uge
561,Monat::N,месец,måned
562,Jahr::N,година,år
563,Frühling::N,пролет,forår
564,Sommer::N,лято,sommer
565,Herbst::N,есен,efterår
566,Winter::N,зима,vinter
567,Januar::N,януари,januar
568,Februar::N,февруари,februar
569,März::N,март,marts
570,April::N,април,april
571,Mai::N,май,maj
572,Juni::N,юни,juni
573,Juli::N,юли,juli
574,August::N,август,august
575,September::N,септември,september
576,Oktober::N,октомври,oktober
577,November::N,ноември,november
578,Dezember::N,декември,december
579,Montag::N,понеделник,mandag
580,Dienstag::N,вторник,tirsdag
581,Mittwoch::N,сряда,onsdag
582,Donnerstag::N,четвъртък,torsdag
583,Freitag::N,петък,fredag
584,Samstag::N,събота,lørdag
585,Sonntag::N,неделя,søndag
586,groß::A,едър,stor
587,groß::A,голям,stor
588,klein::A,малък,lille
589,klein::A,дребен,lille
590,lang::A,дълъг,lang
591,kurz::A,къс,kort
592,breit::A,широк,bred
593,schmal::A,тесен,smal
594,dicht::A,гъст,tæt
595,dick[Gegenstand]::A,дебел,tyk
596,dünn::A,тънък,tynd
597,fein::A,фин,fin
598,fein::A,тънък,fin
599,fest::A,твърд,fast
600,fest::A,плътен,fast
601,flach::A,равен,flad
602,flach::A,плосък,flad
603,glatt::A,гладък,glat
604,hart::A,твърд,hård
605,hart::A,корав,hård
606,weich::A,мек,blød
607,rund::A,кръгъл,rund
608,spitz::A,островръх,spids
609,scharf::A,остър,skarp
610,stumpf::A,тъп,sløv
611,stumpf::A,тъп,stump
612,schwer::A,тежък,tung
613,schön::A,хубав,skøn
614,schön::A,красив,skøn
615,heiß::A,жарък,hed
616,warm::A,топъл,varm
617,kalt::A,студен,kold
618,kühl::A,хладен,kølig
619,frisch::A,свеж,frisk
620,feucht::A,влажен,fugtig
621,nass::A,мокър,våd
622,trocken::A,сух,tør
623,voll::A,пълен,fuld
624,leer::A,празен,tom
625,offen::A,откровен,åben
626,geschlossen::A,закрит,lukket
627,geschlossen::A,затворен,lukket
628,sauber::A,чист,ren
629,schmutzig::A,мръсен,snavset
630,roh::A,суров,rå
631,reif::A,зрял,moden
632,lecker::A,вкусен,lækker
633,süß::A,сладък,sød
634,bitter::A,горчив,bitter
635,sauer::A,кисел,sur
636,hell::A,ясен,lys
637,hell::A,светъл,lys
638,dunkel::A,тъмен,mørk
639,schwarz::A,черен,sort
640,weiß::A,бял,hvid
641,rot::A,червен,rød
642,gelb::A,жълт,gul
643,blau::A,син,blå
644,grün::A,зелен,grøn
645,grau::A,сив,grå
646,bunt::A,шарен,broget
647,bunt::A,пъстър,broget
648,billig::A,евтин,billig
649,teuer::A,скъп,dyr
650,wertvoll::A,ценен,værdifuld
651,blind::A,сляп,blind
652,taub::A,глух,døv
653,kräftig::A,силен,kraftig
654,stark::A,здрав,stærk
655,stark::A,силен,stærk
656,schwach::A,слаб,svag
657,fett::A,тлъст,fed
658,schlank::A,тънък,slank
659,schlank::A,строен,slank
660,hübsch::A,хубав,køn
661,böse::A,зъл,ond
662,böse::A,зъл,slem
663,dumm::A,глупав,dum
664,faul::A,ленив,doven
665,faul::A,мързелив,doven
666,fleißig::A,прилежен,flittig
667,geizig::A,скъпернически,gerrig
668,klug::A,умен,klog
669,klug::A,разумен,klog
670,geschickt::A,умел,dygtig
671,geschickt::A,умел,behændig
672,geschickt::A,сръчен,dygtig
673,geschickt::A,сръчен,behændig
674,lieb::A,мил,rar
675,lieb::A,драг,rar
676,lustig::A,весел,lystig
677,sanft::A,нежен,blid
678,sanft::A,кротък,blid
679,hungrig::A,гладен,sulten
680,krank::A,болен,syg
681,nackt::A,гол,nøgen
682,traurig::A,тъжен,bedrøvet
683,traurig::A,печален,bedrøvet
684,lebendig::A,жив,levende
685,gut::A,добър,god
686,schlecht::A,лош,dårlig
687,richtig::A,правилен,rigtig
688,schlimm::A,лош,slem
689,wahr::A,верен,sand
690,wahr::A,истински,sand
691,alt::A,стар,gammel
692,alt::A,древен,gammel
693,neu::A,нов,ny
694,ehemalig::A,бивш,forhenværende
695,alt[Lebewesen]::A,стар,gammel
696,jung::A,млад,ung
697,arm::A,беден,fattig
698,reich::A,богат,rig
699,bekannt::A,познат,kendt
700,bekannt::A,известен,kendt
701,berühmt::A,почут,berømt
702,berühmt::A,известен,berømt
703,fremd::A,чужд,fremmed
704,verschieden::A,разен,forskellig
705,verschieden::A,различен,forskellig
706,nah::A,близък,nær
707,fern::A,далечен,fjern
708,linker::A,ляв,venstre
709,rechter::A,прав,højre
710,anderer::A,друг,anden
711,erster::A,пръв,første
712,erster::A,първи,første
713,zweiter::A,втори,anden
714,dritter::A,трети,tredje
715,letzter::A,последен,sidste
716,allein::ADV,само,alene
717,auf einmal::ADV,същевременно,på én gang
718,zusammen::ADV,заедно,sammen
719,lange::ADV,дълго,længe
720,plötzlich::ADV,изведнъж,pludselig
721,sofort::ADV,веднага,straks
722,später::ADV,по-късно,senere
723,jetzt::ADV,сега,nu
724,heute::ADV,днес,i dag
725,morgen::ADV,утре,i morgen
726,bald::ADV,скоро,snart
727,dann::ADV,после,så
728,dann::ADV,тогава,så
729,gestern::ADV,вчера,i går
730,einst::ADV,някога,engang
731,damals::ADV,тогава,dengang
732,danach::ADV,после,derefter
733,danach::ADV,след това,derefter
734,vorher::ADV,преди,før
735,vorher::ADV,преди,forud
736,vorher::ADV,преди това,før
737,vorher::ADV,преди това,forud
738,zuerst::ADV,най-напред,først
739,einmal::ADV,веднъж,en gang
740,einmal::ADV,един път,en gang
741,manchmal::ADV,понякога,sommetider
742,oft::ADV,често,ofte
743,immer::ADV,винаги,altid
744,niemals::ADV,никога,aldrig
745,hier::ADV,тук,her
746,hier::ADV,тука,her
747,hierhin::ADV,насам,hid
748,hierhin::ADV,насам,herhen
749,von hier::ADV,оттук,herfra
750,von hier::ADV,оттука,herfra
751,dort::ADV,там,der
752,dorthin::ADV,натам,derhen
753,dorthin::ADV,нататък,derhen
754,geradeaus::ADV,направо,lige ud
755,vorwärts::ADV,напред,fremad
756,rückwärts::ADV,назад,baglæns
757,zurück::ADV,обратно,tilbage
758,unten::ADV,долу,nede
759,unten::ADV,долу,forneden
760,hinab::ADV,надолу,ned
761,hinab::ADV,надолу,nedad
762,oben::ADV,горе,oppe
763,oben::ADV,горе,ovenpå
764,hinauf::ADV,нагоре,op
765,hinauf::ADV,нагоре,opad
766,überall::ADV,навсякъде,overalt
767,nicht::ADV,не,ikke
768,ein wenig::ADV,малко,lidt
769,kaum::ADV,едва,knap
770,kaum::ADV,едва,næppe
771,kaum::ADV,едвам,knap
772,kaum::ADV,едвам,næppe
773,sehr::ADV,много,meget
774,sehr::ADV,твърде,meget
775,so::ADV,тъй,så
776,so::ADV,така,så
777,noch::ADV,още,endnu
778,nur::ADV,само,kun
779,nur::ADV,само,bare
780,schon::ADV,вече,alt
781,schon::ADV,вече,allerede
782,wieder::ADV,пак,igen
783,wieder::ADV,отново,igen
784,vergebens::ADV,напразно,forgæves
785,vor::PRP,пред,foran
786,vor::PRP,пред,uden for
787,hinter::PRP,зад,bag
788,hinter::PRP,зад,bagved
789,unter::PRP,под,under
790,durch::PRP,през,gennem
791,durch::PRP,през,igennem
792,neben::PRP,до,ved siden af
793,neben::PRP,при,ved siden af
794,zwischen::PRP,между,mellem
795,zwischen::PRP,помежду,mellem
796,wegen::PRP,заради,på grund af
797,dies::PRN,този,dette
798,das::PRN,туй,det
799,das::PRN,това,det
800,alles::PRN,всичко,alt
801,ich::PRN,аз,jeg
802,du::PRN,ти,du
803,er::PRN,той,han
804,wir::PRN,ние,vi
805,ihr::PRN,вие,I
806,sie::PRN,те,de
807,was::FPRN,що,hvad
808,was::FPRN,какво,hvad
809,wer::FPRN,кой,hvem
810,wo::FADV,къде,hvor
811,wohin::FADV,накъде,hvorhen
812,wohin::FADV,накъдето,hvorhen
813,wie::FADV,как,hvordan
814,warum::FADV,защо,hvorfor
815,wieviel::FNUM,колко,hvor meget
816,eins::NUM,един,én
817,zwei::NUM,два,to
818,drei::NUM,три,tre
819,vier::NUM,четири,fire
820,fünf::NUM,пет,fem
821,sechs::NUM,шест,seks
822,sieben::NUM,седем,syv
823,acht::NUM,осем,otte
824,neun::NUM,девет,ni
825,zehn::NUM,десет,ti
826,elf::NUM,единайсет,elleve
827,elf::NUM,единадесет,elleve
828,zwölf::NUM,дванайсет,tolv
829,zwölf::NUM,дванадесет,tolv
830,zwanzig::NUM,двайсет,tyve
831,zwanzig::NUM,двадесет,tyve
832,dreißig::NUM,тридесет,tredive
833,vierzig::NUM,четиридесет,fyrre
834,vierzig::NUM,четиридесет,fyrretyve
835,fünfzig::NUM,петдесет,halvtreds
836,sechzig::NUM,шестдесет,tres
837,siebzig::NUM,седемдесет,halvfjerds
838,achtzig::NUM,осемдесет,firs
839,neunzig::NUM,деветдесет,halvfems
840,hundert::NUM,сто,hundrede
841,tausend::NUM,хиляда,tusind
842,und::CNJ,а,og
843,und::CNJ,та,og
844,oder::CNJ,или,eller
845,stehen::V,стоя,stå
846,sitzen::V,седя,sidde
847,liegen::V,лежа,ligge
848,hängen::V,вися,hænge
849,werden::V,бъда,blive
850,werden::V,стана,blive
851,passieren::V,случа се,ske
852,passieren::V,случа се,hænde
853,beginnen::V,започна,begynde
854,enden::V,свърша,ende
855,wechseln::V,променям,veksle
856,aufgehen[Sonne]::V,изгрея,gå op
857,aufgehen[Sonne]::V,изгрея,stå op
858,untergehen[Sonne]::V,заляза,gå ned
859,scheinen[Sonne]::V,грея,skinne
860,scheinen[Sonne]::V,светя,skinne
861,donnern::V,гърмя,tordne
862,wehen::V,вея,blæse
863,wehen::V,духам,blæse
864,strömen::V,тека,strømme
865,strömen::V,лея се,strømme
866,fließen::V,тека,flyde
867,sich drehen::V,въртя се,dreje sig
868,schwanken::V,клатя се,vakle
869,schwingen::V,трептя,svinge
870,fallen::V,падам,falde
871,brennen::V,горя,brænde
