,Concept_ID,fa,da
560,Alter::N,عمر,alder
561,Schluss::N,انتها,slut
562,Schluss::N,انتها,slutning
563,Zeit::N,وقت,tid
564,Zeit::N,زمان,tid
565,Tag::N,روز,dag
566,Morgen::N,صبح,morgen
567,Mittag::N,ظهر,middag
568,Abend::N,شب,aften
569,Abend::N,عصر,aften
570,Nacht::N,شب,nat
571,Woche::N,هفته,uge
572,Monat::N,ماه,måned
573,Jahr::N,سال,år
574,Frühling::N,بهار,forår
575,Sommer::N,تابستان,sommer
576,Herbst::N,پاییز,efterår
577,Winter::N,زمستان,vinter
578,Januar::N,ژانویه,januar
579,Februar::N,فوریه,februar
580,März::N,مارس,marts
581,April::N,آوریل,april
582,Mai::N,مه,maj
583,Juni::N,ژوئن,juni
584,Juli::N,ژویه,juli
585,August::N,اوت,august
586,September::N,سپتامبر,september
587,Oktober::N,اکتبر,oktober
588,November::N,نوامبر,november
589,Dezember::N,دسامبر,december
590,Montag::N,دو‌شنبه,mandag
591,Dienstag::N,سه‌شنبه,tirsdag
592,Mittwoch::N,چهار‌شنبه,onsdag
593,Donnerstag::N,پنج شنبه,torsdag
594,Freitag::N,جمعه,fredag
595,Samstag::N,شنبه,lørdag
596,Sonntag::N,یکشنبه,søndag
597,groß::A,بزرگ,stor
598,klein::A,کوچک,lille
599,lang::A,بلند,lang
600,kurz::A,کوتاه,kort
601,breit::A,پهن,bred
602,schmal::A,تنگ,smal
603,schmal::A,نازک,smal
604,dicht::A,چگال,tæt
605,dicht::A,انبوه,tæt
606,dick[Gegenstand]::A,ضخیم,tyk
607,dünn::A,نازک,tynd
608,fein::A,ریز,fin
609,fein::A,باریک,fin
610,fest::A,محکم,fast
611,flach::A,صاف,flad
612,flach::A,مسطح,flad
613,glatt::A,لیز,glat
614,hart::A,سفت,hård
615,weich::A,نرم,blød
616,weich::A,ملایم,blød
617,rund::A,گرد,rund
618,spitz::A,تیز,spids
619,spitz::A,نوک‌تیز,spids
620,scharf::A,تیز,skarp
621,scharf::A,برنده,skarp
622,stumpf::A,کند,sløv
623,stumpf::A,کند,stump
624,schwer::A,سنگین,tung
625,schön::A,زیبا,skøn
626,heiß::A,داغ,hed
627,warm::A,گرم,varm
628,kalt::A,سرد,kold
629,kühl::A,خنک,kølig
630,frisch::A,تازه,frisk
631,feucht::A,مرطوب,fugtig
632,nass::A,تر,våd
633,nass::A,خیش,våd
634,trocken::A,خشک,tør
635,voll::A,پر,fuld
636,leer::A,خالی,tom
637,offen::A,باز,åben
638,geschlossen::A,بسته,lukket
639,sauber::A,پاک,ren
640,sauber::A,تمیز,ren
641,schmutzig::A,کثیف,snavset
642,schmutzig::A,آلوده,snavset
643,roh::A,خام,rå
644,reif::A,رسیده,moden
645,lecker::A,لذیذ,lækker
646,lecker::A,خوشمزه,lækker
647,süß::A,شیرین,sød
648,bitter::A,تلخ,bitter
649,sauer::A,ترش,sur
650,hell::A,روشن,lys
651,dunkel::A,تاریک,mørk
652,schwarz::A,سیاه,sort
653,weiß::A,سفید,hvid
654,rot::A,سرخ,rød
655,rot::A,قرمز,rød
656,gelb::A,زرد,gul
657,blau::A,آبی,blå
658,grün::A,سبز,grøn
659,grau::A,طوسی,grå
660,grau::A,خاکستری,grå
661,bunt::A,رنگارنگ,broget
662,billig::A,ارزان,billig
663,teuer::A,گران,dyr
664,wertvoll::A,قیمتی,værdifuld
665,wertvoll::A,گرانبها,værdifuld
666,blind::A,کور,blind
667,blind::A,نابینا,blind
668,taub::A,کر,døv
669,taub::A,ناشنوا,døv
670,kräftig::A,قوی,kraftig
671,stark::A,قوی,stærk
672,stark::A,نیرومند,stærk
673,schwach::A,ضعیف,svag
674,fett::A,چرب,fed
675,schlank::A,باریک‌اندام,slank
676,hübsch::A,قشنگ,køn
677,hübsch::A,خوشگل,køn
678,böse::A,بد,ond
679,böse::A,بد,slem
680,dumm::A,احمق,dum
681,faul::A,لش,doven
682,faul::A,تنبل,doven
683,fleißig::A,زرنگ,flittig
684,geizig::A,خسیس,gerrig
685,klug::A,عاقل,klog
686,klug::A,باهوش,klog
687,geschickt::A,ماهر,dygtig
688,geschickt::A,ماهر,behændig
689,lieb::A,عزیز,rar
690,lustig::A,شاد,lystig
691,lustig::A,خوشحال,lystig
692,sanft::A,لطیف,blid
693,hungrig::A,گرسنه,sulten
694,krank::A,مریض,syg
695,krank::A,بیمار,syg
696,nackt::A,لخت,nøgen
697,nackt::A,برهنه,nøgen
698,traurig::A,غمگین,bedrøvet
699,lebendig::A,زنده,levende
700,gut::A,خوب,god
701,schlecht::A,بد,dårlig
702,richtig::A,درست,rigtig
703,schlimm::A,وخيم,slem
704,wahr::A,درست,sand
705,wahr::A,حقیقی,sand
706,alt::A,کهنه,gammel
707,neu::A,نو,ny
708,ehemalig::A,قبلی,forhenværende
709,alt[Lebewesen]::A,پیر,gammel
710,jung::A,جوان,ung
711,arm::A,فقیر,fattig
712,reich::A,پولدار,rig
713,reich::A,ثروتمند,rig
714,bekannt::A,آشنا,kendt
715,bekannt::A,معلوم,kendt
716,berühmt::A,مشهور,berømt
717,fremd::A,خارجی,fremmed
718,fremd::A,بیگانه,fremmed
719,verschieden::A,مختلف,forskellig
720,verschieden::A,متفاوت,forskellig
721,nah::A,نزدیک,nær
722,fern::A,دور,fjern
723,linker::A,چپ,venstre
724,rechter::A,راست,højre
725,anderer::A,دیگر,anden
726,erster::A,اول,første
727,zweiter::A,دوم,anden
728,dritter::A,سوم,tredje
729,letzter::A,آخر,sidste
730,allein::ADV,تنها,alene
731,auf einmal::ADV,همزمان,på én gang
732,zusammen::ADV,باهم,sammen
733,lange::ADV,مدت‌ها,længe
734,lange::ADV,مدت زیادی,længe
735,plötzlich::ADV,ناگهان,pludselig
736,sofort::ADV,فوراً,straks
737,später::ADV,بعدها,senere
738,jetzt::ADV,حالا,nu
739,jetzt::ADV,اکنون,nu
740,heute::ADV,امروز,i dag
741,morgen::ADV,فردا,i morgen
742,bald::ADV,زود,snart
743,bald::ADV,بزودی,snart
744,dann::ADV,سپس,så
745,dann::ADV,آنوقت,så
746,gestern::ADV,دیروز,i går
747,einst::ADV,وقتی,engang
748,einst::ADV,زمانی,engang
749,damals::ADV,آنوقت,dengang
750,damals::ADV,آنزمان,dengang
751,danach::ADV,بعد,derefter
752,vorher::ADV,قبلاً,før
753,vorher::ADV,قبلاً,forud
754,zuerst::ADV,اول,først
755,zuerst::ADV,ابتداء,først
756,einmal::ADV,یکدفعه,en gang
757,manchmal::ADV,گاهی,sommetider
758,manchmal::ADV,بعضی اوقات,sommetider
759,oft::ADV,اغلب,ofte
760,immer::ADV,همیشه,altid
761,niemals::ADV,هرگز,aldrig
762,hier::ADV,اینجا,her
763,hierhin::ADV,به اینجا,hid
764,hierhin::ADV,به اینجا,herhen
765,von hier::ADV,از اینجا,herfra
766,dort::ADV,آنجا,der
767,dorthin::ADV,به آنجا,derhen
768,geradeaus::ADV,راست,lige ud
769,vorwärts::ADV,جلو,fremad
770,vorwärts::ADV,به پیش,fremad
771,rückwärts::ADV,عقب,baglæns
772,zurück::ADV,پس,tilbage
773,zurück::ADV,عقب,tilbage
774,zurück::ADV,بالعکس,tilbage
775,unten::ADV,زیر,nede
776,unten::ADV,زیر,forneden
777,unten::ADV,پایین,nede
778,unten::ADV,پایین,forneden
779,hinab::ADV,به پایین,ned
780,hinab::ADV,به پایین,nedad
781,oben::ADV,بالا,oppe
782,oben::ADV,بالا,ovenpå
783,hinauf::ADV,به بالا,op
784,hinauf::ADV,به بالا,opad
785,überall::ADV,همه‌جا,overalt
786,nicht::ADV,نه,ikke
787,ein wenig::ADV,کمی,lidt
788,kaum::ADV,به سختی,knap
789,kaum::ADV,به سختی,næppe
790,sehr::ADV,خیلی,meget
791,sehr::ADV,بسیار,meget
792,so::ADV,چنین,så
793,so::ADV,اینطور,så
794,noch::ADV,هنوز,endnu
795,nur::ADV,فقط,kun
796,nur::ADV,فقط,bare
797,nur::ADV,تنها,kun
798,nur::ADV,تنها,bare
799,schon::ADV,قبلاً,alt
800,schon::ADV,قبلاً,allerede
801,schon::ADV,به این زودی,alt
802,schon::ADV,به این زودی,allerede
803,wieder::ADV,باز,igen
804,wieder::ADV,دوباره,igen
805,vergebens::ADV,بیهوده,forgæves
806,vor::PRP,در جلوی,foran
807,vor::PRP,در جلوی,uden for
808,hinter::PRP,پشت,bag
809,hinter::PRP,پشت,bagved
810,unter::PRP,تحت,under
811,durch::PRP,از وسط,gennem
812,durch::PRP,از وسط,igennem
813,durch::PRP,از ميان,gennem
814,durch::PRP,از ميان,igennem
815,neben::PRP,کنار,ved siden af
816,neben::PRP,پهلوی,ved siden af
817,zwischen::PRP,بین,mellem
818,zwischen::PRP,میان,mellem
819,wegen::PRP,برای,på grund af
820,wegen::PRP,بخاطر,på grund af
821,dies::PRN,این,dette
822,das::PRN,آن,det
823,alles::PRN,تمام,alt
824,alles::PRN,همه‌چیر,alt
825,ich::PRN,من,jeg
826,du::PRN,تو,du
