,Concept_ID,uz,av
261,Stimme::N,ovoz,гьаракь
262,Wort::N,so'z,рагӏи
263,Zeichen::N,alomat,ишара
264,Zeichen::N,alomat,гӏаламат
265,Ruf::N,chaqiriq,ахӏи
266,Lärm::N,taraq,хъуй
267,Lärm::N,taraq,хъуди
268,Laut::N,tovush,гьаракь
269,Laut::N,tovush,сас
270,Ton::N,un,
271,Lied::N,ashula,кечӏ
272,Ruhe::N,tinchlik,рахӏат
273,Leute::N,xaloyiq,гӏадамал
274,Volk::N,xalq,халкъ
275,Arbeit::N,ish,хӏалтӏи
276,Gast::N,mehmon,гьобол
277,Geschenk::N,hadya,сайигъат
278,Spiel::N,o'yin,хӏай
279,Spiel::N,o'yin,расанди
280,Gesellschaft::N,jamiyat,жамагӏат
281,Hilfe::N,yordam,кумек
282,Freund::N,do'st,гьудул
283,Kamerad::N,yo'ldosh,гьалмагъ
284,Angelegenheit::N,daxl,къваригӏел
285,Anzahl::N,son,рикӏкӏен
286,Art::N,tur,жинс
287,Stück::N,parcha,кесек
288,Teil::N,bo'lak,пай
289,Hälfte::N,yarim,бащдаб
290,Kreis::N,aylana,гор
291,Kreuz::N,xoch,хъанч
292,Linie::N,liniya,мухъ
293,Strich::N,chiziq,хӏучч
294,Abstand::N,oralik,манзил
295,Entfernung::N,uzoqlik,манзил
296,Gegend::N,yer,рахъ
297,Platz::N,oralig,бакӏ
298,Ort::N,joy,бакӏ
299,Seite::N,yon,рахъ
300,Mitte::N,o'rta,бакьулъбакӏ
301,Gegenstand::N,ashyo,жо
302,Sache::N,buyum,жо
303,Rand::N,chek,мицӏир
304,Kante::N,tig',рагӏал
305,Kante::N,tig',рагӏа-ракьан
306,Ecke::N,burchak,цили
307,Spitze::N,uch,тӏогь
308,Ende::N,oxir,кӏал
309,Loch::N,teshik,каратӏ
310,Winkel::N,go'sha,
311,Muster::N,nusha,накъиш
312,Größe::N,kattalik,кӏодо́лъи
313,Länge::N,uzunlik,халалъи
314,Höhe::N,yuksaklik,борхалъи
315,Gewicht::N,solmoq,бакӏлъи
316,Menge::N,miqdor,
317,Haufen::N,uyum,гъуни
318,Reihe::N,saf,ирга́
319,Boot::N,qayiq,раса
320,Ruder::N,äshkak,раххан
321,Schlitten::N,chana,чанагъ
322,Ski::N,chang'i,лыжаби
323,Lagerfeuer::N,gulxan,цӏа
324,Last::N,yuk,бакӏлъи
325,Gang::N,yurish,хьвади
326,Gang::N,yurish,хьвада-чӏвади
327,Schritt::N,qadam,гали
328,Norden::N,shimol,шимал
329,Süden::N,janub,юг
