,Concept_ID,myv,fi
167,Schwanz::N,пуло,häntä
168,Schwanz::N,пуло,pyrstö
169,Ei::N,ал,muna
170,Nest::N,пизэ,pesä
171,Bau::N,варя,pesä
172,Bau::N,пизе,pesä
173,Tier::N,ракша,eläin
174,Herde::N,стада,lauma
175,Kuh::N,скал,lehmä
176,Bulle::N,бука,sonni
177,Pferd::N,лишме,hevonen
178,Schaf::N,реве,lammas
179,Schwein::N,туво,sika
180,Hund::N,пине,koira
181,Hund::N,киска,koira
182,Katze::N,псака,kissa
183,Bär::N,овто,karhu
184,Eichhörnchen::N,ур,orava
185,Elch::N,сярдо,hirvi
186,Fuchs::N,ривезь,kettu
187,Hase::N,нумоло,jänis
188,Maus::N,чеерь,hiiri
189,Wolf::N,верьгиз,susi
190,Vogel::N,нармунь,lintu
191,Schwarm::N,полк,parvi
192,Schwarm::N,стада,parvi
193,Huhn::N,сараз,kana
194,Hahn::N,атякш,kukko
195,Gans::N,гала,hanhi
196,Gans::N,мацей,hanhi
197,Adler::N,куцькан,kotka
198,Adler::N,тумоатякш,kotka
199,Ente::N,яксярго,ankka
200,Eule::N,корж,pöllö
201,Kranich::N,карго,kurki
202,Krähe::N,варака,varis
203,Kuckuck::N,куко,käki
204,Schwan::N,локсей,joutsen
205,Fisch::N,кал,kala
206,Barsch::N,окунь,ahven
207,Hecht::N,щука,hauki
208,Schlange[Tier]::N,гуй,käärme
209,Wurm::N,сукс,mato
210,Spinne::N,шанжав,hämähäkki
211,Ameise::N,коткудав,muurahainen
212,Laus::N,сий,täi
213,Mücke::N,сеське,sääski
214,Mücke::N,сеське,hyttynen
215,Fliege::N,карво,kärpänen
216,Schmetterling::N,нимиляв,perhonen
217,Beere::N,умарь,marja
218,Apfel::N,умарь,omena
219,Pilz::N,панго,sieni
220,Zwiebel::N,чурька,sipuli
221,Saat::N,видьметь,siemenet
222,Korn::N,сюро,jyvä
223,Korn::N,сюро,vilja
224,Heu::N,тикше,heinä
225,Schale::N,кедь,kuori
226,Schale::N,ваткавкс,kuori
227,Grube::N,латко,kuoppa
228,Falle::N,тувор,loukku
229,Falle::N,кундамка,loukku
230,Schlinge::N,килькш,ansa
231,Spur::N,челькс,jälki
232,Spur::N,пильгеки,jälki
233,Asche::N,кулов,tuhka
234,Dreck::N,рудаз,lika
235,Eisen::N,кшни,rauta
236,Gold::N,сырне,kulta
237,Silber::N,сия,hopea
238,Kohle::N,сэдь,hiili
239,Kohle::N,уголия,hiili
240,Glas::N,сулика,lasi
241,Lehm::N,сёвонь,savi
242,Sand::N,човар,hiekka
243,Mensch::N,ломань,ihminen
244,Mann::N,аля,mies
245,Mann::N,цёраломань,mies
246,Frau::N,ава,nainen
247,Kind::N,эйкакш,lapsi
248,Junge::N,цёрыне,poika
249,Mädchen::N,тейтерне,tyttö
250,Familie::N,семия,perhe
251,Großvater::N,покштя,isoisä
252,Großmutter::N,баба,isoäiti
253,Eltern::N,тетят-ават,vanhemmat
254,Vater::N,тетя,isä
255,Mutter::N,ава,äiti
256,Sohn::N,цёра,poika
257,Tochter::N,тейтерь,tytär
258,Bruder::N,леля,veli
259,Bruder::N,ялакс,veli
260,Schwester::N,сазор,sisko
261,Onkel::N,леля,eno
262,Onkel::N,леля,setä
263,Tante::N,патя,täti
264,Ehemann::N,мирде,mies
265,Ehemann::N,мирде,aviomies
266,Ehefrau::N,ни,vaimo
267,Ehefrau::N,ни,aviovaimo
268,Freude::N,кеняркс,ilo
269,Freude::N,кеняркс,riemu
270,Gelächter::N,ракамо,nauru
271,Gelächter::N,пейдема,nauru
272,Glück::N,уцяска,onni
273,Kummer::N,рискс,suru
274,Kummer::N,рискс,murhe
275,Kummer::N,мелявкс,suru
276,Kummer::N,мелявкс,murhe
277,Wunsch::N,мель,toive
278,Wunsch::N,мель,toivomus
279,Wunsch::N,бажамо,toive
280,Wunsch::N,бажамо,toivomus
281,Lust::N,бажамо,himo
282,Geist::N,ойме,henki
283,Gedanke::N,мель,aate
284,Gedanke::N,мель,ajatus
285,Gedächtnis::N,мель,muisti
286,Verstand::N,прев,äly
287,Verstand::N,прев,järki
288,Verstand::N,прев,ymmärrys
289,Sinn::N,толк,merkitys
290,Sinn::N,смысла,merkitys
291,Grund::N,тувтал,syy
292,Grund::N,тувтал,peruste
293,Wahrheit::N,видечи,tosi
294,Wahrheit::N,видечи,totuus
295,Gespräch::N,кортнема,puhelu
296,Gespräch::N,кортнема,keskustelu
297,Märchen::N,ёвкс,satu
298,Erzählung::N,ёвтнема,tarina
299,Erzählung::N,ёвтнема,kertomus
300,Nachricht::N,куля,tieto
301,Nachricht::N,куля,ilmoitus
302,Neuigkeit::N,куля,uutinen
303,Name::N,лем,nimi
304,Rätsel::N,содамоёвкс,arvoitus
305,Rede::N,кортамо,puhe
306,Sprache::N,кель,kieli
307,Stimme::N,ваигель,ääni
308,Wort::N,вал,sana
309,Zeichen::N,теште,merkki
310,Ruf::N,тердема,kutsu
311,Lärm::N,шалнома,melu
312,Lärm::N,шалнома,hälinä
313,Laut::N,вайгель,ääni
314,Ton::N,гайнема,sävel
315,Lied::N,моро,laulu
316,Ruhe::N,оймамо,lepo
317,Ruhe::N,оймамо,rauha
318,Leute::N,ломанть,väki
319,Leute::N,ломанть,ihmiset
320,Volk::N,народ,kansa
321,Arbeit::N,тев,työ
322,Gast::N,инже,vieras
323,Geschenk::N,казне,lahja
324,Spiel::N,налксема,peli
325,Spiel::N,налксема,leikki
326,Gesellschaft::N,община,seura
327,Hilfe::N,лездамо,apu
328,Freund::N,оя,ystävä
329,Freund::N,ялга,ystävä
330,Kamerad::N,оя,toveri
331,Kamerad::N,ялга,toveri
332,Angelegenheit::N,тев,asia
333,Anzahl::N,ламоксчи,lukumäärä
334,Art::N,вид,laji
335,Stück::N,пакш,pala
336,Stück::N,пакш,kappale
337,Stück::N,пелькс,pala
338,Stück::N,пелькс,kappale
339,Teil::N,часть,osa
340,Teil::N,пелькс,osa
341,Hälfte::N,пель,puoli
342,Hälfte::N,пелькс,puoli
343,Kreis::N,кирькс,ympyrä
344,Kreuz::N,крёст,risti
345,Linie::N,кикс,viiva
346,Strich::N,межа,piirto
347,Abstand::N,ютко,väli
348,Abstand::N,ютко,väljyys
349,Entfernung::N,ютко,etäisyys
350,Gegend::N,тарка,seutu
351,Gegend::N,пертьпелькс,seutu
352,Platz::N,васолкс,tila
353,Ort::N,тарка,kohta
354,Ort::N,тарка,paikka
355,Seite::N,ён,sivu
356,Seite::N,ён,kylki
357,Seite::N,чире,sivu
358,Seite::N,чире,kylki
359,Mitte::N,куншка,keskus
360,Mitte::N,куншка,puoliväli
361,Gegenstand::N,предмет,kalu
362,Gegenstand::N,предмет,esine
363,Sache::N,тев,asia
364,Sache::N,веща,asia
365,Rand::N,пе,ääri
366,Rand::N,пе,syrjä
367,Rand::N,чире,ääri
368,Rand::N,чире,syrjä
369,Kante::N,ирдез,särmä
370,Ecke::N,ужо,nurkka
371,Spitze::N,пряне,terä
372,Spitze::N,пряне,kärki
373,Spitze::N,пе,terä
374,Spitze::N,пе,kärki
375,Ende::N,пе,pää
376,Ende::N,пе,perä
377,Loch::N,варя,kolo
378,Loch::N,варя,reikä
379,Winkel::N,ужо,kulma
380,Muster::N,сёрма,kuvio
381,Größe::N,сэрь,koko
382,Größe::N,сэрь,suuruus
383,Größe::N,покшолма,koko
384,Größe::N,покшолма,suuruus
385,Länge::N,кувалмо,pituus
386,Höhe::N,сэрь,korkeus
387,Höhe::N,пандо,korkeus
388,Gewicht::N,сталмо,paino
389,Menge::N,лововкс,määrä
390,Haufen::N,мар,kasa
391,Haufen::N,валявкс,kasa
392,Reihe::N,ряд,rivi
393,Boot::N,венч,vene
394,Ruder::N,милё,airo
395,Schlitten::N,нурдт,reki
396,Schlitten::N,нурдт,kelkka
397,Ski::N,сокс,suksi
398,Lagerfeuer::N,толбандя,nuotio
399,Last::N,сталмо,kuorma
400,Last::N,кандома,kuorma
401,Gang::N,молема,kulku
402,Gang::N,молема,käynti
403,Gang::N,якамо,kulku
404,Gang::N,якамо,käynti
405,Schritt::N,эскелькс,askel
406,Norden::N,якшамо ёнкс,pohjoinen
407,Süden::N,лембе ёнкс,etelä
408,Westen::N,чивалгома,länsi
409,Osten::N,чилисема,itä
410,Holz::N,чувто,puu
411,Brett::N,лаз,lauta
412,Platte::N,плита,levy
413,Stütze::N,неже,noja
414,Stange::N,олга,tanko
415,Stock::N,мандо,keppi
416,Stab::N,олога,sauva
417,Stab::N,олога,seiväs
418,Rohr::N,турба,putki
419,Haus::N,кудо,talo
420,Heim::N,кудо,koti
421,Ofen::N,каштомо,uuni
422,Fußboden::N,киякс,lattia
423,Tisch::N,столь,pöytä
424,Stuhl::N,стул,tuoli
425,Wiege::N,лавсь,kehto
426,Wiege::N,нурямот,kehto
427,Bett::N,ацамо,sänky
428,Regal::N,лався,hylly
429,Regal::N,лавсяланго,hylly
430,Kiste::N,горобия,arkku
431,Kiste::N,горобия,kirstu
432,Kiste::N,горобия,laatikko
433,Kiste::N,сундук,arkku
434,Kiste::N,сундук,kirstu
435,Kiste::N,сундук,laatikko
436,Fenster::N,вальма,ikkuna
437,Tür::N,кенкш,ovi
438,Tor::N,ортат,portti
439,Zaun::N,пирявт,aita
440,Zaun::N,пирвякс,aita
441,Dach::N,кудопря,katto
442,Leiter::N,кузтема,tikkaat
443,Leiter::N,кузтема,tikapuut
444,Besen::N,тенсть,luuta
445,Spaten::N,койме,lapio
446,Schaufel::N,кече,lapio
447,Schaufel::N,келей койме,lapio
448,Gabel::N,сянгине,haarukka
449,Löffel::N,пенч,lusikka
450,Messer::N,пеель,veitsi
451,Nagel::N,эске,naula
452,Netz::N,алтыма,verkko
453,Haken::N,кечказ,haka
454,Haken::N,кечказ,koukku
455,Griff::N,кедне,ripa
456,Griff::N,кедне,kahva
457,Schloss::N,замок,lukko
458,Schloss::N,панжома,lukko
459,Bild::N,картина,kuva
460,Figur::N,рунго,kuvio
461,Puppe::N,няка,nukke
462,Beutel::N,кескав,pussi
463,Bündel::N,керькс,nippu
464,Bündel::N,керькс,kimppu
465,Tasche::N,юдма,laukku
466,Eimer::N,ведра,sanko
467,Eimer::N,ведра,ämpäri
468,Deckel::N,велькс,kansi
469,Geschirr::N,кедьге,astia
470,Sack::N,кескав,säkki
471,Tasse::N,чакш,kuppi
472,Topf::N,кастрюля,pata
473,Kessel::N,котёл,kattila
474,Essen::N,ярсамо,syönti
475,Nahrung::N,ярсамопель,ruoka
476,Nahrung::N,ярсамопель,ravinto
477,Speise::N,ярсамопель,ruoka
478,Fleisch::N,сывель,liha
479,Getreide::N,сюро,vilja
480,Brei::N,каша,puuro
481,Brot::N,кши,leipä
482,Scheibe::N,кочом,viipale
483,Scheibe::N,сускомо,viipale
484,Fett::N,куя,rasva
485,Butter::N,ой,voi
486,Öl::N,ой,öljy
487,Salz::N,сал,suola
488,Suppe::N,ям,keitto
489,Honig::N,медь,hunaja
490,Milch::N,ловсо,maito
491,Tee::N,чай,tee
492,Leder::N,киське,nahka
493,Wolle::N,пона,villa
494,Stoff::N,коцт,kangas
495,Nadel::N,салмукс,neula
496,Faden::N,суре,lanka
497,Knopf::N,пов,nappi
498,Knoten::N,сюлмо,solmu
499,Farbe::N,артомапель,maali
500,Kleidung::N,оршамот,vaatteet
501,Hemd::N,панар,paita
502,Kragen::N,сиве,kaulus
503,Ärmel::N,ожа,hiha
504,Hose::N,понкст,housut
505,Gürtel::N,каркс,vyö
506,Mütze::N,чапка,lakki
507,Schuh::N,туфля,kenkä
508,Stiefel::N,кем,saapas
509,Ring::N,суркс,sormus
510,Band::N,лента,nauha
511,Kamm::N,сурсеме,kampa
512,Spiegel::N,чавачамо,peili
513,Riemen::N,кшнань каркс,hihna
514,Schnur::N,пикс,naru
515,Schnur::N,пикс,nuora
516,Leine::N,ведьме,talutushihna
517,Decke::N,вельтямо,peite
518,Kissen::N,тодов,tyyny
519,Kissen::N,тодов,pielus
520,Tuch::N,паця,huivi
521,Handtuch::N,нардамо,pyyheliina
522,Kraft::N,вий,väki
523,Kraft::N,вий,voima
524,Stärke::N,виевчи,vahvuus
525,Gesundheit::N,шумбрачи,terveys
526,Krankheit::N,орма,tauti
527,Krankheit::N,орма,sairaus
528,Krankheit::N,сэредема,tauti
529,Krankheit::N,сэредема,sairaus
530,Schmerz::N,сэредькс,kipu
531,Schmerz::N,сэредькс,särky
532,Wunde::N,керявкс,haava
533,Fieber::N,маштыкс,kuume
534,Arznei::N,ормаменькс,lääke
535,Brücke::N,сэдь,silta
536,Brücke::N,мадамо,silta
537,Brunnen::N,лисьма,kaivo
538,Weide::N,ракшань ванома тарка,laidun
539,Pfad::N,ян,polku
540,Weg::N,ки,tie
541,Straße::N,ки,katu
542,Dorf::N,веле,kylä
543,Stadt::N,ош,kaupunki
544,Brief::N,сёрма,kirje
545,Buch::N,книга,kirja
546,Buchstabe::N,буква,kirjain
547,Zeitung::N,газета,lehti
548,Zeitung::N,газета,sanomalehti
549,Leben::N,эрямо,elo
550,Leben::N,эрямо,elämä
551,Tod::N,кулома,kuolema
552,Grab::N,калмо,hauta
553,Kirche::N,церькова,kirkko
554,Sünde::N,чумочи,synti
555,Gott::N,паз,jumala
556,Arbeiter::N,робочей,työläinen
557,Chef::N,прявт,päällikkö
558,Meister::N,кол тевень тенця,mestari
559,Arzt::N,врач,lääkäri
560,Lehrer::N,учитель,opettaja
561,Lehrer::N,тонавтыця,opettaja
562,Geld::N,ярмак,raha
563,Geschäft::N,ладязь тев,liike
564,Laden::N,лавка,puoti
565,Laden::N,лавка,kauppa
566,Preis::N,питне,hinta
567,Ware::N,миевкс,tavara
568,Ware::N,рамавкс,tavara
569,Nutzen::N,паро,hyöty
570,Nutzen::N,лезэ,hyöty
571,Reichtum::N,сюпавчи,rikkaus
572,Welt::N,мир,maailma
573,Welt::N,мастор ланго,maailma
574,Land::N,мастор,maa
575,Staat::N,государства,valtio
576,König::N,король,kuningas
577,Macht::N,азорксчи,mahti
578,Grenze::N,буен тешкс,raja
579,Krieg::N,война,sota
580,Feind::N,душман,vihollinen
581,Gewalt::N,нарьгамо,väkivalta
582,Kampf::N,тюрема,taistelu
583,Bogen[Waffe]::N,нал,jousi
584,Pfeil::N,нал,nuoli
585,Gewehr::N,ружия,kivääri
586,Gewehr::N,винтовка,kivääri
587,Fehler::N,ильведькс,vika
588,Fehler::N,ильведькс,virhe
589,Fehler::N,ильведевкс,vika
590,Fehler::N,ильведевкс,virhe
591,Lüge::N,манчема,valhe
592,Lüge::N,кенгелема,valhe
593,Schaden::N,зыян,vaurio
594,Schaden::N,зыян,vahinko
595,Unglück::N,зыян,vahinko
596,Unglück::N,зыян,onnettomuus
597,Schuld::N,чумочи,syy
598,Alter::N,шка,ikä
599,Schluss::N,пе,loppu
600,Zeit::N,шка,aika
601,Zeit::N,пинге,aika
602,Tag::N,чи,päivä
603,Morgen::N,валске,aamu
604,Morgen::N,валске,huomen
605,Mittag::N,чикуншка,keskipäivä
606,Abend::N,чокшнэ,ilta
607,Nacht::N,ве,yö
608,Woche::N,недля,viikko
609,Monat::N,ков,kuukausi
610,Jahr::N,ие,vuosi
611,Frühling::N,тундо,kevät
612,Sommer::N,кизэ,kesä
613,Herbst::N,сёксь,syksy
614,Winter::N,теле,talvi
615,Januar::N,якшамков,tammikuu
616,Februar::N,февраль,helmikuu
617,März::N,март,maaliskuu
618,April::N,апрель,huhtikuu
619,Mai::N,май,toukokuu
620,Juni::N,июнь,kesäkuu
621,Juli::N,июль,heinäkuu
622,August::N,август,elokuu
623,September::N,сентября,syyskuu
624,Oktober::N,октября,lokakuu
625,November::N,ноября,marraskuu
626,Dezember::N,декабря,joulukuu
627,Montag::N,пондельник,maanantai
628,Dienstag::N,овторник,tiistai
629,Mittwoch::N,серёда,keskiviikko
630,Donnerstag::N,цетьверьг,torstai
631,Freitag::N,пеця,perjantai
632,Samstag::N,субута,lauantai
633,Samstag::N,шлямочи,lauantai
634,Sonntag::N,недлячи,sunnuntai
635,groß::A,ине,iso
636,groß::A,ине,suuri
637,groß::A,покш,iso
638,groß::A,покш,suuri
639,klein::A,вишка,pieni
640,lang::A,кувака,pitkä
641,kurz::A,нурькине,lyhyt
642,breit::A,келей,leveä
643,schmal::A,теине,kapea
644,dicht::A,тусто,taaja
645,dick[Gegenstand]::A,эчке,paksu
646,dünn::A,човине,ohut
647,fein::A,човине,hieno
648,fest::A,кеме,luja
649,flach::A,лапужа,litteä
650,flach::A,лапужа,tasainen
651,glatt::A,валаня,sileä
652,glatt::A,валаня,siloinen
653,hart::A,калгодо,kova
654,weich::A,чевте,pehmeä
655,rund::A,кеверь,pyöreä
656,spitz::A,пшти,terävä
657,scharf::A,пшти,terävä
658,stumpf::A,ношка,tylsä
659,schwer::A,стака,raskas
660,schwer::A,стака,painava
661,schön::A,мазый,kaunis
662,heiß::A,пси,kuuma
663,warm::A,лембе,lämmin
664,kalt::A,якшамо,kylmä
665,kalt::A,якшамо,viluinen
666,kühl::A,экше,viileä
667,frisch::A,свежа,tuore
668,feucht::A,летьке,kostea
669,nass::A,начко,märkä
670,trocken::A,коське,kuiva
671,voll::A,пешксе,täysi
672,leer::A,чаво,tyhjä
673,offen::A,панжадо,avonainen
674,offen::A,виде,avonainen
675,geschlossen::A,пекстазь,suljettu
676,geschlossen::A,сёлгозь,suljettu
677,sauber::A,ванькс,puhdas
678,schmutzig::A,ливезев,likainen
679,roh::A,верек,raaka
680,reif::A,кенерезь,kypsä
681,lecker::A,тантей,herkullinen
682,süß::A,ламбамо,makea
683,bitter::A,сэпей,karvas
684,bitter::A,сэпей,kitkerä
685,sauer::A,чапамо,hapan
686,hell::A,валдо,kirkas
687,hell::A,валдо,valoisa
688,dunkel::A,чопода,pimeä
689,schwarz::A,раужо,musta
690,weiß::A,ашо,valkea
691,rot::A,якстере,punainen
692,gelb::A,ожо,keltainen
693,blau::A,сэнь,sininen
694,grün::A,пиже,vihreä
695,grau::A,шержев,harmaa
696,bunt::A,сёрмав,kirjava
697,billig::A,аволь питней,halpa
698,billig::A,аволь питней,huokea
699,teuer::A,питней,kallis
700,wertvoll::A,питней,arvokas
701,blind::A,сокор,sokea
702,taub::A,амариця,kuuro
703,kräftig::A,пек виев,väkevä
704,kräftig::A,пек виев,voimakas
705,stark::A,виев,vahva
706,schwach::A,лавшо,heikko
707,fett::A,куя,lihava
708,schlank::A,виде ронга,hoikka
709,schlank::A,виде ронга,solakka
710,hübsch::A,мазый,soma
711,hübsch::A,мазый,sievä
712,böse::A,кежей,paha
713,böse::A,кежей,häijy
714,dumm::A,чавола,tyhmä
715,dumm::A,чавола,typerä
716,dumm::A,превтеме,tyhmä
717,dumm::A,превтеме,typerä
718,faul::A,нузякс,laiska
719,fleißig::A,мелень путыця,ahkera
720,geizig::A,скупой,saita
721,klug::A,превей,älykäs
722,geschickt::A,маштозь теезь,taitava
723,lieb::A,вадря,rakas
724,lustig::A,весёла,hauska
725,lustig::A,весёла,iloinen
726,sanft::A,сэтьме,lauha
727,sanft::A,сэтьме,lempeä
728,hungrig::A,вачо,nälkäinen
729,krank::A,сэредиця,sairas
730,nackt::A,штапо,alaston
731,traurig::A,нусманя,surullinen
732,traurig::A,нусманя,murheellinen
733,lebendig::A,эриця,elävä
734,gut::A,паро,hyvä
735,schlecht::A,берянь,paha
736,schlecht::A,берянь,huono
737,richtig::A,виде,oikea
738,schlimm::A,берянь,paha
739,wahr::A,алкуксонь,tosi
740,alt::A,ташто,vanha
741,neu::A,од,uusi
742,ehemalig::A,икелень,entinen
743,ehemalig::A,икелень,muinainen
744,alt[Lebewesen]::A,сыре,vanha
745,jung::A,од,nuori
746,arm::A,кажов,köyhä
747,reich::A,сюпав,rikas
748,bekannt::A,содавикс,tuttu
749,bekannt::A,содавикс,tunnettu
750,berühmt::A,содавикс,kuuluisa
751,fremd::A,лия,vieras
752,fremd::A,асодавикс,vieras
753,verschieden::A,эрьва,eri
754,verschieden::A,эрьва,erilainen
755,nah::A,а васолонь,läheinen
756,fern::A,умонь,etäinen
757,fern::A,кезэрень,etäinen
758,linker::A,керш,vasen
759,rechter::A,вить,oikea
760,anderer::A,лия,muu
761,anderer::A,лия,toinen
762,erster::A,васень,ensimmäinen
763,erster::A,васенце,ensimmäinen
764,zweiter::A,омбоце,toinen
765,dritter::A,колмоце,kolmas
766,letzter::A,меельце,viimeinen
767,allein::ADV,башка,yksin
768,allein::ADV,ськамонзо,yksin
769,auf einmal::ADV,вейсэ,yhdellä kertaa
770,zusammen::ADV,вейс,yhdessä
771,zusammen::ADV,вейсэ,yhdessä
772,lange::ADV,кувать,kauan
773,lange::ADV,кувать,pitkään
774,plötzlich::ADV,апак учо,äkkiä
775,sofort::ADV,курок,heti
776,sofort::ADV,нейке,heti
777,später::ADV,мейле,myöhemmin
778,jetzt::ADV,ней,nyt
779,heute::ADV,течи,tänään
780,morgen::ADV,ванды,huomenna
781,bald::ADV,курок,pian
782,dann::ADV,мейле,sitten
783,dann::ADV,седе мейле,sitten
784,gestern::ADV,исяк,eilen
785,einst::ADV,весть,aikanaan
786,einst::ADV,зярдо-бути,aikanaan
787,damals::ADV,сестэ,silloin
788,damals::ADV,сестэ,siihen aikaan
789,danach::ADV,мейле,sen jälkeen
790,danach::ADV,седе мейле,sen jälkeen
791,vorher::ADV,васняяк,ennen
792,zuerst::ADV,васня,ensin
793,zuerst::ADV,васня,ensiksi
794,einmal::ADV,весть,kerran
795,manchmal::ADV,лиясто,joskus
796,oft::ADV,сеетьстэ,usein
797,immer::ADV,свал,aina
798,niemals::ADV,а зярдояк,ei koskaan
799,hier::ADV,тесэ,tässä
800,hier::ADV,тесэ,täällä
801,hierhin::ADV,тей,tähän
802,von hier::ADV,тестэ,tästä
803,von hier::ADV,тестэ,täältä
804,dort::ADV,тосо,siinä
805,dort::ADV,тосо,siellä
806,dorthin::ADV,тов,sinne
807,dorthin::ADV,тов,tuonne
808,geradeaus::ADV,витьстэ,suoraan
