,Concept_ID,ca,it
94,Wolke::N,núvol,nube
95,Wolke::N,núvol,nùvola
96,Regen::N,pluja,pioggia
97,Schnee::N,neu,neve
98,Eis::N,gel,ghiaccio
99,Eis::N,glaç,ghiaccio
100,Frost::N,glaçada,gelo
101,Kälte::N,fred,freddo
102,Hitze::N,calor,caldo
103,Hitze::N,calor,calura
104,Raureif::N,gebre,brina
105,Regenbogen::N,arc iris,arcobaleno
106,Donner::N,tro,tuono
107,Strömung::N,corrent,corrente
108,Tropfen::N,gota,goccia
109,Schaum::N,escuma,spuma
110,Schaum::N,escuma,schiuma
111,Schmutz::N,brutícia,sudiciume
112,See::N,llac,lago
113,Sumpf::N,pantà,palude
114,Moor::N,pantà,torbiera
115,Wiese::N,prat,prato
116,Wiese::N,prada,prato
117,Wald::N,bosc,bosco
118,Wald::N,bosc,foresta
119,Hügel::N,puig,colle
120,Hügel::N,puig,collina
121,Hügel::N,pujol,colle
122,Hügel::N,pujol,collina
123,Anhöhe::N,turó,altura
124,Berg::N,muntanya,monte
125,Berg::N,muntanya,montagna
126,Gipfel::N,cim,cima
127,Höhle::N,cova,grotta
128,Höhle::N,cova,caverna
129,Abhang::N,coster,pendìo
130,Quelle::N,font,sorgente
131,Bach::N,riera,ruscello
132,Fluss::N,riu,fiume
133,Ufer::N,riba,riva
134,Küste::N,costa,costa
135,Festland::N,terra ferma,terraferma
136,Meer::N,mar,mare
137,Bucht::N,cala,cala
138,Bucht::N,badia,cala
139,Insel::N,illa,ìsola
140,Blume::N,flor,fiore
141,Gras::N,herba,erba
142,Wurzel::N,rel,radice
143,Wurzel::N,arrel,radice
144,Baum::N,arbre,àlbero
145,Stamm::N,tronc,tronco
146,Rinde::N,escorça,corteccia
147,Ast::N,branca,ramo
148,Zweig::N,ram,ramo
149,Blatt::N,fulla,foglia
150,Birke::N,bedoll,betulla
151,Kiefer[Baum]::N,pi,pino
152,Weide[Baum]::N,salze,sàlice
153,Tanne::N,avet,abete
154,Horn::N,corn,corno
155,Horn::N,banya,corno
156,Feder::N,ploma,penna
157,Fell::N,pell,manto
158,Fell::N,pell,pelame
159,Flügel::N,ala,ala
160,Klaue::N,urpa,grinfia
161,Kralle::N,grapa,unghia
162,Kralle::N,grapa,artiglio
163,Schwanz::N,cua,coda
164,Ei::N,ou,uovo
165,Nest::N,niu,nido
166,Bau::N,cau,covo
167,Tier::N,animāl,bestia
168,Tier::N,animāl,animale
169,Herde::N,ramat,gregge
170,Kuh::N,vaca,vacca
171,Bulle::N,toro,toro
172,Pferd::N,cavāll,cavallo
173,Schaf::N,be,pècora
174,Schaf::N,ovella,pècora
175,Schwein::N,bacó,porco
176,Schwein::N,bacó,maiale
177,Hund::N,ca,cane
178,Hund::N,gos,cane
179,Katze::N,gat,gatta
180,Bär::N,ós,orso
181,Eichhörnchen::N,esquirol,scoiàttolo
182,Elch::N,ant,alce
183,Fuchs::N,guilla,volpe
184,Hase::N,llebre,lepre
185,Maus::N,ratolí,topo
186,Maus::N,ratolí,sorcio
187,Wolf::N,llop,lupo
188,Vogel::N,au,uccello
189,Vogel::N,ocēll,uccello
190,Schwarm::N,bandada,stormo
191,Huhn::N,gallina,gallina
192,Hahn::N,gall,gallo
193,Gans::N,oca,oca
194,Adler::N,àguila,àquila
195,Ente::N,ànec,ànatra
196,Eule::N,òliba,gufo
197,Eule::N,òliba,civetta
198,Eule::N,mussol,gufo
199,Eule::N,mussol,civetta
200,Kranich::N,grua,gru
201,Krähe::N,cornella,cornacchia
202,Kuckuck::N,cucut,cuccù
203,Kuckuck::N,cucut,cùculo
204,Schwan::N,cigne,cigno
205,Fisch::N,peix,pesce
206,Barsch::N,perca,pèrsico
207,Hecht::N,lluç,luccio
208,Schlange[Tier]::N,serp,serpente
209,Wurm::N,cuc,baco
210,Wurm::N,cuc,verme
211,Spinne::N,aranya,ragno
212,Ameise::N,formiga,formica
213,Laus::N,poll,pidocchio
214,Mücke::N,mosquit,zanzara
215,Fliege::N,mosca,mosca
216,Schmetterling::N,papallona,farfalla
217,Beere::N,baia,bacca
218,Apfel::N,poma,mela
219,Pilz::N,bolet,fungo
220,Zwiebel::N,ceba,cipolla
221,Saat::N,sembra,semente
222,Korn::N,gra,grano
223,Heu::N,fenc,fieno
224,Schale::N,closca,buccia
225,Grube::N,sot,cava
226,Grube::N,sot,fossa
227,Grube::N,clot,cava
228,Grube::N,clot,fossa
229,Falle::N,trampa,tràppola
230,Schlinge::N,baga,laccio
231,Spur::N,traça,traccia
232,Asche::N,cendra,cenere
233,Dreck::N,llot,fango
234,Eisen::N,ferro,ferro
235,Gold::N,or,oro
236,Silber::N,plata,argento
237,Kohle::N,carbó,carbone
238,Glas::N,vidre,vetro
239,Lehm::N,fang,argilla
240,Lehm::N,argila,argilla
241,Sand::N,arena,arena
242,Sand::N,arena,sabbia
243,Mensch::N,humà,uomo
244,Mensch::N,humà,èssere umano
245,Mensch::N,persona,uomo
246,Mensch::N,persona,èssere umano
247,Mann::N,home,uomo
248,Frau::N,dona,donna
249,Kind::N,nen,bambino
250,Junge::N,noi,ragazzo
251,Mädchen::N,noia,ragazza
252,Familie::N,família,famiglia
253,Großvater::N,avi,nonno
254,Großmutter::N,àvia,nonna
255,Eltern::N,pares,genitori
256,Vater::N,pare,padre
257,Mutter::N,mare,madre
258,Sohn::N,fill,figlio
259,Tochter::N,filla,figlia
260,Bruder::N,germà,fratello
261,Schwester::N,germana,sorella
262,Onkel::N,oncle,zio
263,Tante::N,tia,zia
264,Ehemann::N,espòs,marito
265,Ehefrau::N,muller,moglie
266,Freude::N,goig,gioia
267,Freude::N,goig,piacere
268,Freude::N,alegria,gioia
269,Freude::N,alegria,piacere
270,Gelächter::N,riallada,risata
271,Glück::N,felicitat,felicità
272,Kummer::N,pena,afflizione
273,Wunsch::N,desig,desiderio
274,Lust::N,ganes,voglia
275,Geist::N,ment,mente
276,Geist::N,ment,spìrito
277,Geist::N,esperit,mente
278,Geist::N,esperit,spìrito
279,Gedanke::N,pensament,idea
280,Gedanke::N,pensament,pensiero
281,Gedächtnis::N,memòria,memoria
282,Verstand::N,raó,intelletto
283,Verstand::N,seny,intelletto
284,Sinn::N,solta,senso
285,Sinn::N,solta,significato
286,Sinn::N,sentit,senso
287,Sinn::N,sentit,significato
288,Grund::N,raó,causa
289,Grund::N,raó,motivo
290,Grund::N,raó,ragione
291,Grund::N,causa,causa
292,Grund::N,causa,motivo
293,Grund::N,causa,ragione
294,Wahrheit::N,veritāt,verità
295,Gespräch::N,conversa,discorso
296,Gespräch::N,conversa,conversazione
297,Märchen::N,conte,fiaba
298,Märchen::N,conte,fàvola
299,Erzählung::N,narració,racconto
300,Erzählung::N,narració,narrazione
301,Nachricht::N,missatge,messaggio
302,Neuigkeit::N,novetat,notizia
303,Name::N,nom,nome
304,Rätsel::N,endevinalla,indovinello
305,Rede::N,discurs,discorso
306,Sprache::N,llēngua,lingua
307,Sprache::N,llēngua,linguaggio
308,Stimme::N,veu,voce
309,Wort::N,mot,parola
310,Wort::N,paraula,parola
311,Zeichen::N,signe,segno
312,Zeichen::N,signe,segnale
313,Zeichen::N,senyal,segno
314,Zeichen::N,senyal,segnale
315,Ruf::N,crida,chiamata
316,Lärm::N,sorōll,chiasso
317,Lärm::N,sorōll,strèpito
318,Laut::N,so,suono
319,Ton::N,to,tono
320,Lied::N,cançó,canto
321,Lied::N,cançó,canzone
322,Ruhe::N,calma,calma
323,Ruhe::N,calma,tranquillità
324,Ruhe::N,silenci,calma
325,Ruhe::N,silenci,tranquillità
326,Leute::N,gent,gente
327,Volk::N,poble,pòpolo
328,Arbeit::N,labor,lavoro
329,Arbeit::N,treball,lavoro
330,Gast::N,hoste,òspite
331,Gast::N,hoste,invitato
332,Geschenk::N,regal,regalo
333,Geschenk::N,obsequi,regalo
334,Spiel::N,joc,gioco
335,Gesellschaft::N,companyia,compagnìa
336,Hilfe::N,ajut,aiuto
337,Hilfe::N,ajut,soccorso
338,Freund::N,amīc,amico
339,Kamerad::N,company,camerata
340,Kamerad::N,camarada,camerata
341,Angelegenheit::N,afer,affare
342,Angelegenheit::N,afer,faccenda
343,Angelegenheit::N,assumpte,affare
344,Angelegenheit::N,assumpte,faccenda
345,Anzahl::N,nombre,nùmero
346,Anzahl::N,nombre,quantità
347,Anzahl::N,quantitat,nùmero
348,Anzahl::N,quantitat,quantità
349,Art::N,tipus,tipo
350,Art::N,tipus,specie
351,Art::N,classe,tipo
352,Art::N,classe,specie
353,Stück::N,peça,pezzo
354,Teil::N,part,parte
355,Hälfte::N,meitat,metà
356,Kreis::N,cercle,cìrcolo
357,Kreuz::N,creu,croce
358,Linie::N,línia,lìnea
359,Strich::N,traç,tratto
360,Strich::N,ratlla,tratto
361,Abstand::N,distància,distanza
362,Entfernung::N,distància,distanza
363,Entfernung::N,distància,lontananza
364,Gegend::N,regió,regione
365,Gegend::N,contrada,regione
366,Platz::N,cabuda,posto
367,Platz::N,cabuda,spazio
368,Ort::N,lloc,luogo
369,Ort::N,lloc,località
370,Seite::N,banda,lato
371,Seite::N,banda,parte
372,Seite::N,costāt,lato
373,Seite::N,costāt,parte
374,Mitte::N,mig,mezzo
375,Mitte::N,mig,centro
376,Mitte::N,centre,mezzo
377,Mitte::N,centre,centro
378,Gegenstand::N,objecte,oggetto
379,Sache::N,cosa,cosa
380,Rand::N,vora,orlo
381,Rand::N,vora,bordo
382,Rand::N,marge,orlo
383,Rand::N,marge,bordo
384,Kante::N,caire,spìgolo
385,Kante::N,cantell,spìgolo
386,Ecke::N,cantonada,canto
387,Spitze::N,punta,punta
388,Ende::N,cap,capo
389,Ende::N,cap,estremità
390,Loch::N,forāt,buco
391,Winkel::N,racó,àngolo
392,Muster::N,dibuix,disegno
393,Muster::N,disseny,disegno
394,Größe::N,grandària,taglia
395,Größe::N,grandària,grandezza
396,Länge::N,longitud,lunghezza
397,Höhe::N,altura,altezza
398,Höhe::N,altitud,altezza
399,Gewicht::N,pes,peso
400,Menge::N,quantitat,quantità
401,Haufen::N,pila,cùmulo
402,Haufen::N,pila,mucchio
403,Reihe::N,fila,fila
404,Boot::N,bot,barca
405,Boot::N,bot,battello
406,Boot::N,barca,barca
407,Boot::N,barca,battello
408,Ruder::N,rem,remo
409,Schlitten::N,trineu,slitta
410,Ski::N,esquí,sci
411,Lagerfeuer::N,foc de campament,falò
412,Lagerfeuer::N,foc de campament,fuoco di bivacco
413,Last::N,càrrega,càrico
414,Gang::N,marxa,andata
415,Schritt::N,pas,passo
416,Norden::N,nord,nord
417,Norden::N,nord,settentrione
418,Süden::N,sud,sud
419,Süden::N,sud,meridione
420,Westen::N,oest,òvest
421,Westen::N,oest,occidente
422,Westen::N,occident,òvest
423,Westen::N,occident,occidente
424,Osten::N,est,est
425,Osten::N,est,oriente
426,Osten::N,orient,est
427,Osten::N,orient,oriente
428,Holz::N,fusta,legno
429,Brett::N,taula,asse
430,Brett::N,taula,tàvola
431,Platte::N,placa,lastra
432,Platte::N,placa,piastra
433,Stütze::N,suport,supporto
434,Stange::N,vara,sbarra
435,Stange::N,vara,pèrtica
436,Stock::N,pal,verga
437,Stock::N,pal,bastone
438,Stock::N,pal,bacchetta
439,Stab::N,bastó,asta
440,Rohr::N,tub,tubo
441,Haus::N,casa,casa
442,Heim::N,llar,casa
443,Ofen::N,estufa,stufa
444,Fußboden::N,terra,pavimento
445,Tisch::N,taula,tàvolo
446,Stuhl::N,cadira,sedia
447,Wiege::N,bressol,culla
448,Bett::N,llit,letto
449,Regal::N,prestatgeria,scaffale
450,Kiste::N,caixa,cassa
451,Fenster::N,finestra,finestra
452,Tür::N,porta,porta
453,Tor::N,portal,portone
454,Zaun::N,tanca,recinto
455,Dach::N,teulada,tetto
456,Leiter::N,escala,scala
457,Leiter::N,escala,scala a pioli
458,Leiter::N,escala de mà,scala
459,Leiter::N,escala de mà,scala a pioli
460,Besen::N,escombra,scopa
461,Spaten::N,pala,vanga
462,Schaufel::N,pala,pala
463,Gabel::N,forquilla,forchetta
464,Löffel::N,cullera,cucchiaio
465,Messer::N,coltell,coltello
466,Nagel::N,clau,chiodo
467,Netz::N,filat,rete
468,Haken::N,ganxo,uncino
469,Griff::N,puny,mànico
470,Griff::N,puny,maniglia
471,Griff::N,mànec,mànico
472,Griff::N,mànec,maniglia
473,Schloss::N,pany,serratura
474,Bild::N,imatge,quadro
475,Bild::N,imatge,immàgine
476,Figur::N,figura,figura
477,Puppe::N,nina,bàmbola
478,Beutel::N,bossa,borsa
479,Beutel::N,bossa,sacchetto
480,Bündel::N,feix,fascio
481,Bündel::N,feix,fagotto
482,Bündel::N,paquet,fascio
483,Bündel::N,paquet,fagotto
484,Tasche::N,bossa,borsa
485,Eimer::N,galleda,secchio
486,Deckel::N,tapa,coperchio
487,Deckel::N,tapadora,coperchio
488,Geschirr::N,vaixella,stoviglie
489,Sack::N,sac,sacco
490,Sack::N,saca,sacco
491,Tasse::N,tassa,tazza
492,Topf::N,pot,pèntola
493,Topf::N,olla,pèntola
494,Kessel::N,caldera,paiolo
495,Kessel::N,caldera,calderone
496,Essen::N,àpat,pasto
497,Essen::N,àpat,mangiare
498,Essen::N,menjada,pasto
499,Essen::N,menjada,mangiare
500,Nahrung::N,aliment,cibo
501,Nahrung::N,aliment,alimento
502,Speise::N,plat,piatto
503,Fleisch::N,carn,carne
504,Getreide::N,cereals,cereali
505,Brei::N,puré,purè
506,Brei::N,puré,pappa
507,Brot::N,pa,pane
508,Scheibe::N,tall,fetta
509,Scheibe::N,tall,trancia
510,Scheibe::N,llesca,fetta
511,Scheibe::N,llesca,trancia
512,Fett::N,greix,grasso
513,Butter::N,mantega,burro
514,Öl::N,oli,olio
515,Salz::N,sal,sale
516,Suppe::N,sopa,zuppa
517,Suppe::N,sopa,minestra
518,Honig::N,mel,miele
519,Milch::N,llet,latte
520,Tee::N,te,tè
521,Leder::N,cuir,pelle
522,Wolle::N,llana,lana
523,Stoff::N,tela,panno
524,Stoff::N,tela,tessuto
525,Nadel::N,agulla,ago
526,Faden::N,fil,filo
527,Knopf::N,botó,bottone
528,Knoten::N,nus,nodo
529,Farbe::N,pintura,pittura
530,Kleidung::N,roba,vestiti
531,Kleidung::N,roba,vestiario
532,Kleidung::N,vestits,vestiti
533,Kleidung::N,vestits,vestiario
534,Hemd::N,camisa,camicia
535,Kragen::N,coll,bàvero
536,Kragen::N,coll,colletto
537,Ärmel::N,màniga,mànica
538,Hose::N,pantalōns,calzoni
539,Gürtel::N,cinturó,cintura
540,Mütze::N,gorra,berretto
541,Schuh::N,sabata,scarpa
542,Stiefel::N,bota,stivale
543,Ring::N,anell,anello
544,Band::N,veta,nastro
545,Band::N,veta,fettuccia
546,Band::N,cinta,nastro
547,Band::N,cinta,fettuccia
548,Kamm::N,pinta,pèttine
549,Spiegel::N,mirāll,specchio
550,Riemen::N,corretja,cinghia
551,Schnur::N,corda,corda
552,Leine::N,corretja,guinzaglio
553,Decke::N,manta,coperta
554,Decke::N,flassada,coperta
555,Kissen::N,coixí,cuscino
556,Kissen::N,coixí,guanciale
557,Tuch::N,mocador,fazzoletto
558,Handtuch::N,tovallola,asciugamano
559,Kraft::N,força,forza
560,Stärke::N,vigor,forza
561,Stärke::N,vigor,vigore
562,Stärke::N,vigor,fortezza
563,Gesundheit::N,salut,salute
564,Krankheit::N,malaltia,malattìa
565,Schmerz::N,dolor,dolore
566,Wunde::N,ferida,piaga
567,Wunde::N,ferida,ferita
568,Fieber::N,febre,febbre
569,Arznei::N,medicament,fàrmaco
570,Arznei::N,medicament,medicina
571,Brücke::N,pont,ponte
572,Brunnen::N,pou,pozzo
573,Weide::N,pastura,pàscolo
574,Pfad::N,senda,sentiero
575,Pfad::N,sender,sentiero
576,Weg::N,camí,via
577,Weg::N,camí,cammino
578,Straße::N,carretera,strada
579,Dorf::N,poble,paese
580,Dorf::N,poble,villaggio
581,Stadt::N,ciutāt,città
582,Brief::N,carta,lèttera
583,Buch::N,llibre,libro
584,Buchstabe::N,lletra,lèttera
585,Zeitung::N,diāri,giornale
586,Leben::N,vida,vita
587,Tod::N,mort,morte
588,Grab::N,tomba,tomba
589,Grab::N,tomba,sepolcro
590,Kirche::N,església,chiesa
591,Sünde::N,pecat,peccato
592,Gott::N,déu,dio
593,Arbeiter::N,obrer,operaio
594,Arbeiter::N,obrer,lavoratore
595,Chef::N,cap,capo
596,Chef::N,cap,padrone
597,Meister::N,mestre,mastro
598,Meister::N,mestre,maestro
599,Arzt::N,metge,mèdico
600,Arzt::N,metge,dottore
601,Lehrer::N,mestre,professore
602,Geld::N,dinērs,soldi
603,Geld::N,dinērs,denaro
604,Geschäft::N,negoci,affare
605,Geschäft::N,negoci,negozio
606,Laden::N,tenda,negozio
607,Laden::N,botiga,negozio
608,Preis::N,preu,prezzo
609,Ware::N,mercaderia,merce
610,Nutzen::N,profit,ùtile
611,Nutzen::N,profit,profitto
612,Reichtum::N,riquesa,ricchezza
613,Welt::N,món,mondo
614,Land::N,país,paese
615,Staat::N,estat,Stato
616,König::N,rei,re
617,Macht::N,poder,potere
618,Macht::N,potència,potere
619,Grenze::N,frontera,confine
620,Grenze::N,frontera,frontiera
621,Krieg::N,guerra,guerra
622,Feind::N,enemic,nemico
623,Gewalt::N,violència,violenza
624,Kampf::N,lluita,lotta
625,Bogen[Waffe]::N,arc,arco
626,Pfeil::N,fletxa,freccia
627,Gewehr::N,fusell,fucile
628,Gewehr::N,escopeta,fucile
629,Fehler::N,falta,errore
630,Fehler::N,falta,sbaglio
631,Lüge::N,mentida,bugìa
632,Lüge::N,mentida,menzogna
633,Schaden::N,dany,danno
634,Unglück::N,desgràcia,sfortuna
635,Schuld::N,culpa,colpa
636,Alter::N,edat,età
637,Schluss::N,fi,fine
638,Schluss::N,final,fine
639,Zeit::N,temps,tempo
640,Tag::N,dia,giorno
641,Tag::N,dia,giornata
642,Morgen::N,matí,mattina
643,Mittag::N,migdia,mezzogiorno
644,Abend::N,vespre,sera
645,Abend::N,vespre,serata
646,Nacht::N,nit,notte
647,Woche::N,setmana,settimana
648,Monat::N,mes,mese
649,Jahr::N,any,anno
650,Frühling::N,primavera,primavera
651,Sommer::N,estīu,estate
652,Herbst::N,tardor,autunno
653,Winter::N,hivērn,inverno
654,Januar::N,gener,gennaio
655,Februar::N,febrer,febbraio
656,März::N,març,marzo
657,April::N,abril,aprile
658,Mai::N,maig,maggio
659,Juni::N,juny,giugno
660,Juli::N,juliol,luglio
661,August::N,agost,agosto
662,September::N,setembre,settembre
663,Oktober::N,octubre,ottobre
664,November::N,novembre,novembre
665,Dezember::N,desembre,dicembre
666,Montag::N,dilluns,lunedì
667,Dienstag::N,dimarts,martedì
668,Mittwoch::N,dimecres,mercoledì
669,Donnerstag::N,dijous,giovedì
670,Freitag::N,divendres,venerdì
671,Samstag::N,dissabte,sàbato
672,Sonntag::N,diumenge,domenica
673,groß::A,gros,grande
674,klein::A,petīt,pìccolo
675,lang::A,llarg,lungo
676,kurz::A,curt,corto
677,breit::A,ample,largo
678,schmal::A,estret,stretto
679,dicht::A,dens,denso
680,dick[Gegenstand]::A,gruixūt,spesso
681,dünn::A,prim,sottile
682,fein::A,fi,fine
683,fein::A,fi,delicato
684,fest::A,ferm,sodo
685,fest::A,ferm,fisso
686,fest::A,sòlid,sodo
687,fest::A,sòlid,fisso
688,flach::A,pla,piano
689,flach::A,pla,piatto
690,glatt::A,llis,liscio
691,hart::A,dur,duro
692,weich::A,tou,molle
693,rund::A,rodó,rotondo
694,spitz::A,punxegut,aguzzo
695,spitz::A,punxegut,appuntito
696,scharf::A,agut,affilato
697,scharf::A,agut,tagliente
698,stumpf::A,rom,smussato
699,stumpf::A,esmussat,smussato
700,schwer::A,pesāt,pesante
701,schön::A,bonīc,bello
702,heiß::A,calēnt,caldo
703,heiß::A,calēnt,bollente
704,warm::A,càlid,caldo
705,kalt::A,fred,freddo
706,kühl::A,fresc,fresco
707,frisch::A,fresc,fresco
708,feucht::A,humit,ùmido
709,nass::A,mullat,bagnato
710,trocken::A,sec,secco
711,voll::A,ple,pieno
712,leer::A,buit,vuoto
713,offen::A,obert,aperto
714,geschlossen::A,tancat,chiuso
715,sauber::A,net,netto
716,sauber::A,net,pulito
717,schmutzig::A,brut,sporco
718,schmutzig::A,brut,sùdicio
719,roh::A,cru,crudo
720,reif::A,madur,maturo
721,lecker::A,deliciós,ghiotto
722,lecker::A,deliciós,squisito
723,süß::A,dolç,dolce
724,bitter::A,amarg,amaro
725,sauer::A,agre,aspro
726,sauer::A,agre,acerbo
727,hell::A,clar,chiaro
728,dunkel::A,fosc,buio
729,dunkel::A,fosc,oscuro
730,schwarz::A,negre,nero
731,weiß::A,blanc,bianco
732,rot::A,vermēll,rosso
733,gelb::A,groc,giallo
734,blau::A,blau,blu
735,blau::A,blau,azzurro
736,grün::A,verd,verde
737,grau::A,gris,grigio
738,bunt::A,multicolor,variopinto
739,billig::A,barat,a buon prezzo
740,billig::A,barat,a buon mercato
741,teuer::A,car,caro
742,wertvoll::A,preciós,prezioso
743,blind::A,cec,cieco
744,taub::A,sord,sordo
745,kräftig::A,fort,forte
746,kräftig::A,fort,robusto
747,kräftig::A,vigorós,forte
748,kräftig::A,vigorós,robusto
749,stark::A,fort,forte
750,stark::A,fort,vigoroso
751,schwach::A,feble,dèbole
752,fett::A,gras,grasso
753,schlank::A,esvelt,snello
754,schlank::A,esvelt,slanciato
755,hübsch::A,maco,bello
756,hübsch::A,maco,carino
757,böse::A,dolent,cattivo
758,dumm::A,ximple,stùpido
759,dumm::A,estúpid,stùpido
760,faul::A,gandūl,pigro
761,faul::A,mandrós,pigro
762,fleißig::A,diligēnt,diligente
763,geizig::A,avar,avaro
764,klug::A,intel·ligent,intelligente
765,geschickt::A,hàbil,àbile
766,lieb::A,amat,caro
767,lieb::A,estimat,caro
768,lustig::A,alegre,gaio
769,lustig::A,alegre,allegro
770,sanft::A,suau,dolce
771,hungrig::A,afamat,affamato
772,krank::A,malālt,malato
773,krank::A,malālt,infermo
774,nackt::A,nu,nudo
775,traurig::A,trist,triste
776,lebendig::A,viu,vivo
777,gut::A,bo,buono
778,schlecht::A,dolēnt,cattivo
779,richtig::A,just,giusto
780,richtig::A,correcte,giusto
781,schlimm::A,greu,grave
782,wahr::A,vertader,vero
783,wahr::A,veritable,vero
784,alt::A,vell,vecchio
785,neu::A,nou,nuovo
786,ehemalig::A,antic,vecchio
787,ehemalig::A,antic,d'una_volta
788,alt[Lebewesen]::A,vell,anziano
789,jung::A,jove,giovane
790,arm::A,pobre,pòvero
791,reich::A,ric,ricco
792,bekannt::A,conegut,noto
793,bekannt::A,conegut,conosciuto
794,berühmt::A,famós,famoso
795,berühmt::A,famós,cèlebre
796,fremd::A,estrany,estràneo
797,fremd::A,estrany,straniero
798,verschieden::A,diferent,diverso
799,verschieden::A,diferent,differente
800,nah::A,pròxim,vicino
801,nah::A,pròxim,propinquo
802,fern::A,llunyà,lontano
803,fern::A,distant,lontano
804,linker::A,esquerre,sinistro
805,rechter::A,dret,destro
806,anderer::A,altre,altro
807,erster::A,primer,primo
808,zweiter::A,segon,secondo
809,dritter::A,tercer,terzo
810,letzter::A,últim,ùltimo
811,allein::ADV,sol,solo
812,allein::ADV,sol,da solo
813,auf einmal::ADV,d'una vegada,insieme
814,zusammen::ADV,junt,insieme
815,lange::ADV,molt de temps,a lungo
816,plötzlich::ADV,de cop,all'improvviso
817,plötzlich::ADV,de sobte,all'improvviso
818,sofort::ADV,de seguida,sùbito
819,sofort::ADV,de seguida,all'istante
820,später::ADV,més tard,più tardi
821,jetzt::ADV,ara,ora
822,jetzt::ADV,ara,adesso
823,heute::ADV,avūi,oggi
824,morgen::ADV,demà,domani
825,bald::ADV,aviāt,presto
826,bald::ADV,aviāt,tra poco
827,dann::ADV,després,allora
828,gestern::ADV,ahir,ieri
829,einst::ADV,anteriorment,prima
830,einst::ADV,anteriorment,un tempo
831,damals::ADV,llavōrs,allora
832,damals::ADV,aleshores,allora
833,danach::ADV,després,poi
834,danach::ADV,després,dopo
835,vorher::ADV,abāns,prima
836,zuerst::ADV,primer,prima
837,zuerst::ADV,primer,dapprima
838,einmal::ADV,una vegada,una volta
839,manchmal::ADV,de vegades,talvolta
840,manchmal::ADV,de vegades,qualche volta
841,oft::ADV,sovint,spesso
842,immer::ADV,sempre,sempre
843,niemals::ADV,no ... mai,non mai
844,hier::ADV,aquí,qua
845,hierhin::ADV,per aquí,qua
846,von hier::ADV,des d'aquí,ne
847,von hier::ADV,des d'aquí,da qui
848,dort::ADV,allí,lì
849,dorthin::ADV,hi,là
850,geradeaus::ADV,tot dret,diritto
