,Concept_ID,uk,ba
486,Land::N,країна,ил
487,Staat::N,держава,дәүләт
488,König::N,король,король
489,Macht::N,влада,власть
490,Grenze::N,кордон,сик
491,Krieg::N,війна,һуғыш
492,Feind::N,ворог,йылан
493,Gewalt::N,насильство,көслөк
494,Kampf::N,бій,көрәш
495,Kampf::N,боротьба,көрәш
496,Bogen[Waffe]::N,лук,йәйә
497,Pfeil::N,стріла,уҡ
498,Gewehr::N,рушниця,мылтыҡ
499,Gewehr::N,гвинтівка,мылтыҡ
500,Fehler::N,помилка,хата
501,Lüge::N,брехня,ялған
502,Schaden::N,шкода,зыян
503,Schaden::N,шкода,зарар
504,Schaden::N,збиток,зыян
505,Schaden::N,збиток,зарар
506,Unglück::N,нещастя,ҡаза
507,Schuld::N,провина,ғәйеп
508,Alter::N,вік,йәш
509,Alter::N,літа,йәш
510,Schluss::N,кінець,һуң
511,Schluss::N,кінець,аҙаҡ
512,Zeit::N,час,мәл
513,Zeit::N,час,заман
514,Tag::N,день,көн
515,Morgen::N,ранок,иртә
516,Morgen::N,ранок,иртәнсәк
517,Mittag::N,південь,төш
518,Abend::N,вечір,кис
519,Nacht::N,ніч,төн
520,Woche::N,тиждень,аҙна
521,Monat::N,місяць,ай
522,Jahr::N,рік,йыл
523,Frühling::N,весна,яҙ
524,Sommer::N,літо,йәй
525,Herbst::N,осінь,көз
526,Winter::N,зима,ҡыш
527,Januar::N,січень,ғинуар
528,Februar::N,лютий,февраль
529,März::N,березень,март
530,April::N,квітень,апрель
531,Mai::N,травень,май
532,Juni::N,червень,июнь
533,Juli::N,липень,июль
534,August::N,серпень,август
535,September::N,вересень,сентябрь
536,Oktober::N,жовтень,октябрь
537,November::N,листопад,ноябрь
538,Dezember::N,грудень,декабрь
539,Montag::N,понеділок,дүшәмбе
540,Dienstag::N,вівторок,шишәмбе
541,Mittwoch::N,середа,шаршамбы
542,Donnerstag::N,четвер,кесаҙна
543,Freitag::N,п’ятниця,йома
544,Samstag::N,субота,шәмбе
545,Sonntag::N,неділя,йәкшәмбе
546,groß::A,великий,ҙур
547,klein::A,малий,бәләкәс
548,klein::A,маленький,бәләкәс
549,lang::A,довгий,оҙон
550,kurz::A,короткий,ҡыҫҡа
551,breit::A,широкий,киң
552,schmal::A,вузький,тар
553,dicht::A,густий,йыш
554,dicht::A,густий,ҡуйы
555,dick[Gegenstand]::A,товстий,ҡалын
556,dünn::A,тонкий,йоҡа
557,dünn::A,тонкий,нәҙек
558,fein::A,дрібний,нескә
559,fest::A,міцний,ныҡ
560,flach::A,плоский,яҫы
561,flach::A,плоский,ялпаҡ
562,glatt::A,рівний,шыма
563,glatt::A,гладенький,шыма
564,hart::A,твердий,ҡаты
565,weich::A,м’який,йомшаҡ
566,rund::A,круглий,түңәрәк
567,spitz::A,гострокінцевий,осло түбәле
568,scharf::A,гострий,үткер
569,stumpf::A,тупий,утмәҫ
570,schwer::A,важкий,ауыр
571,schön::A,вродливий,матур
572,heiß::A,жаркий,эҫе
573,heiß::A,гарячий,эҫе
574,warm::A,теплий,йылы
575,kalt::A,холодний,һыуыҡ
576,kühl::A,прохолодний,һалҡынса
577,frisch::A,свіжий,һалҡынса
578,feucht::A,вогкий,еүеш
579,feucht::A,вогкий,дымлы
580,nass::A,мокрий,еүеш
581,trocken::A,сухий,кипкән
582,voll::A,повний,тулы
583,leer::A,пустий,буш
584,offen::A,відкритий,асыҡ
585,geschlossen::A,закритий,ябыҡ
586,geschlossen::A,зачинений,ябыҡ
587,sauber::A,чистий,таҙа
588,sauber::A,охайний,таҙа
589,schmutzig::A,брудний,бысраҡ
590,roh::A,сирий,сей
591,reif::A,зрілий,өлгөрғән
592,lecker::A,смачний,тәмле
593,süß::A,солодкий,тямле
594,süß::A,солодкий,тәм-том
595,bitter::A,гіркий,әсе
596,sauer::A,кислий,әсе
597,hell::A,світлий,яҡты
598,dunkel::A,темний,ҡараңғы
599,schwarz::A,чорний,ҡара
600,weiß::A,сивий,аҡ
601,rot::A,червоний,матур
602,rot::A,червоний,һылыу
603,rot::A,червоний,сибәр
604,gelb::A,жовтий,һары
605,blau::A,синій,күк
606,grün::A,зелений,йәшел
607,grau::A,сірий,буҙ
608,bunt::A,барвистий,сыбар
609,bunt::A,барвистий,ала-ҡола
610,billig::A,дешевий,арзан
611,teuer::A,дорогий,ҡыйбатлы
612,wertvoll::A,цінний,ҡиммәтле
613,blind::A,сліпий,һуҡыр
614,taub::A,глухий,һаңғырау
615,kräftig::A,могутній,көслө
616,kräftig::A,могутній,ҡеүәтле
617,stark::A,сильний,көслө
618,stark::A,сильний,ҡеүәтле
619,schwach::A,слабкий,көсһөҙ
620,fett::A,жирний,һимеҙ
621,fett::A,товстий,һимеҙ
622,schlank::A,тонкий,зифа
623,schlank::A,стрункий,зифа
624,hübsch::A,чарівний,матур
625,böse::A,злий,асыулы
626,böse::A,лихий,асыулы
627,dumm::A,дурний,иҫәр
628,faul::A,ледачий,иренсәк
629,fleißig::A,старанний,тырыш
630,geizig::A,скупий,һаран
631,klug::A,мудрий,аҡыллы
632,klug::A,розумний,аҡыллы
633,geschickt::A,умілий,оҫта
634,lieb::A,милий,яғымлы
635,lustig::A,веселий,күңелле
636,sanft::A,лагідний,йыуаш
637,hungrig::A,голодний,ас
638,krank::A,слабий,сирле
639,krank::A,слабий,ауырыу
640,nackt::A,голий,яланғас
641,traurig::A,сумний,яманһыу
642,lebendig::A,живий,тере
643,lebendig::A,живий,йәнле
644,gut::A,добрий,яҡшы
645,schlecht::A,поганий,хөрт
646,schlecht::A,поганий,алама
647,schlecht::A,кепський,хөрт
648,schlecht::A,кепський,алама
649,richtig::A,правильний,дөрөҫ
650,schlimm::A,бридкий,хөрт
651,schlimm::A,бридкий,алама
652,wahr::A,справжній,дөрөҫ
653,alt::A,старий,иҫке
654,alt::A,старий,боронғо
655,neu::A,новий,яңы
656,ehemalig::A,колишній,элекке
657,alt[Lebewesen]::A,старий,ҡарт
658,jung::A,молодий,йәш
659,arm::A,бідний,фәҡир
660,reich::A,багатий,бай
661,bekannt::A,знайомий,таныш
662,berühmt::A,славетний,атаҡлы
663,berühmt::A,славетний,данлыҡлы
664,fremd::A,чужий,ят
665,fremd::A,чужий,сит
666,verschieden::A,різний,төрлө
667,nah::A,близький,яҡын
668,fern::A,далекий,алыҫ
669,fern::A,далекий,йыраҡ
670,linker::A,лівий,һул
671,rechter::A,правий,уң
672,anderer::A,інакший,бутән
673,erster::A,перший,тәүге
674,zweiter::A,другий,икенсе
675,dritter::A,третій,өсөнсө
676,letzter::A,останній,һуңғы
677,allein::ADV,сам,бер үҙе
678,allein::ADV,сам,яңғыҙ
679,allein::ADV,один,бер үҙе
680,allein::ADV,один,яңғыҙ
681,auf einmal::ADV,відразу,бер юлы
682,zusammen::ADV,разом,бергә
683,zusammen::ADV,спільно,бергә
684,lange::ADV,довго,оҙаҡ
685,plötzlich::ADV,раптом,ҡапыл
686,sofort::ADV,зараз,шунда уҡ
687,später::ADV,пізніше,һуңыраҡ
688,jetzt::ADV,тепер,хәҙер
689,heute::ADV,сьогодні,бөгөн
690,morgen::ADV,завтра,иртәгә
691,bald::ADV,незабаром,тиҙҙән
692,dann::ADV,потім,һуңынан
693,gestern::ADV,вчора,кисә
694,einst::ADV,колись,ҡасандыр
695,einst::ADV,колись,бер баҡыт
696,damals::ADV,тоді,ул саҡта
697,danach::ADV,згодом,һуңынан
698,vorher::ADV,раніше,элек
699,zuerst::ADV,спершу,башта
700,zuerst::ADV,спочатку,башта
701,einmal::ADV,один раз,бер
702,manchmal::ADV,іноді,ҡайһы берҙә
703,manchmal::ADV,інколи,ҡайһы берҙә
704,oft::ADV,часто,йыш
705,immer::ADV,завжди,һәр ҡасан
706,niemals::ADV,ніколи,бер ҡасан да
707,niemals::ADV,ніколи,бер ваҡытта ла
708,hier::ADV,тут,бында
709,hierhin::ADV,сюди,бында
710,von hier::ADV,звідси,бынан
711,von hier::ADV,звідси,ошонан
712,dort::ADV,там,шунда
713,dort::ADV,там,тегендә
714,dorthin::ADV,туди,шунда
715,dorthin::ADV,туди,тегеләй
716,geradeaus::ADV,прямо,тура
717,vorwärts::ADV,вперед,алға
718,rückwärts::ADV,назад,кирегә
719,zurück::ADV,назад,кирегә
720,unten::ADV,внизу,түбәндә
721,hinab::ADV,вниз,түбәнгә
722,oben::ADV,вгорі,юғарыла
723,hinauf::ADV,вгору,юғарыға
724,überall::ADV,скрізь,бөтә урында
725,nicht::ADV,не,тугел
726,ein wenig::ADV,трохи,аҙ
727,ein wenig::ADV,небагато,аҙ
728,kaum::ADV,ледве,көскә
729,kaum::ADV,ледве,саҡ-саҡ
730,sehr::ADV,дуже,ифат
731,so::ADV,так,шулай
732,noch::ADV,ще,йәнә
733,nur::ADV,лише,бары
734,nur::ADV,тільки,бары
735,schon::ADV,вже,инде
736,wieder::ADV,знову,тағы
737,vergebens::ADV,дарма,бушҡа
738,vor::PRP,перед,алдында
739,hinter::PRP,ззаду,артында
740,hinter::PRP,позаду,артында
741,unter::PRP,під,аҫтында
742,durch::PRP,крізь,үтә
743,neben::PRP,біля,эргәһендә
744,zwischen::PRP,між,араһында
745,wegen::PRP,з-за,өсөн
746,wegen::PRP,з-за,сәбәпле
747,wegen::PRP,через,өсөн
748,wegen::PRP,через,сәбәпле
749,dies::PRN,це,был
750,dies::PRN,це,ошо
751,das::PRN,то,ул
752,alles::PRN,все,бөтә
753,ich::PRN,я,мин
754,du::PRN,ти,һин
755,er::PRN,він,ул
756,wir::PRN,ми,беҙ
757,ihr::PRN,ви,һеҙ
758,sie::PRN,вони,улар
759,was::FPRN,що,ә
760,was::FPRN,що,ни
761,was::FPRN,що,нәмә
762,wer::FPRN,хто,ҡем
763,wo::FADV,де,ҡайҙа
764,wohin::FADV,куди,ҡайҙа
765,wie::FADV,як,инидәй
766,warum::FADV,чому,ин өсөн
767,wieviel::FNUM,скільки,күпме
768,eins::NUM,один,бер
769,zwei::NUM,два,ике
770,zwei::NUM,два,икәү
771,drei::NUM,три,өс
772,vier::NUM,чотири,дүрт
773,fünf::NUM,п’ять,биш
774,sechs::NUM,шість,алты
775,sieben::NUM,сім,ете
776,acht::NUM,вісім,һигеҙ
777,neun::NUM,дев’ять,туғыҙ
778,zehn::NUM,десять,ун
779,elf::NUM,одинадцять,ун бер
