,Concept_ID,mrj,ku
99,Sumpf::N,лӱкӹ,hezek
100,Moor::N,куп,mafêl
101,Wiese::N,алык,sûrik
102,Wald::N,шӹргӹ,çiya
103,Wald::N,шӹргӹ,daristan
104,Hügel::N,пӱгӹрикӓ,gir
105,Anhöhe::N,кӱкшикӓ,sere gir
106,Berg::N,кырык,kaş
107,Gipfel::N,неркӓ,sere gir
108,Höhle::N,ы́раж,şikeft
109,Abhang::N,полом,kaş
110,Quelle::N,вӹдсӹнзӓ,kanî
111,Bach::N,ӓнгӹр,çem
112,Fluss::N,вӹд,çem
113,Fluss::N,вӹд,rûbar
114,Ufer::N,сир,kevî
115,Küste::N,сир,berav
116,Festland::N,мӱлӓндӹ,bejahî
117,Meer::N,тангыж,behr
118,Bucht::N,вӹдъял,derav
119,Insel::N,острок,girav
120,Blume::N,пеледӹш,kulînk
121,Gras::N,шуды,giha
122,Wurzel::N,важ,reh
123,Baum::N,пушӓнгӹ,dar
124,Stamm::N,пушӓнгӹ тӹнг,bavik
125,Rinde::N,каргыж,qaqil
126,Ast::N,укш,gulî
127,Zweig::N,укш,şax
128,Blatt::N,листӹ,pel
129,Birke::N,куги,dara sipî
130,Kiefer[Baum]::N,йӓктӹ,dara bî
131,Weide[Baum]::N,уа,dara belalûk
132,Tanne::N,кож,merx
133,Horn::N,шур,strô
134,Feder::N,пын,pîrtîk
135,Fell::N,кавашты,heyar
136,Flügel::N,шылдыр,per
137,Klaue::N,кӹч,napîk
138,Kralle::N,лапа,dinik
139,Kralle::N,лапа,dirnax
140,Schwanz::N,пач,dûv
141,Ei::N,мыны,hêk
142,Nest::N,пӹжӓш,hêlîn
143,Bau::N,ыраж,avahî
144,Tier::N,во́льык,heywan
145,Herde::N,кӹтö,hoz
146,Kuh::N,ышкал,çêlek
147,Bulle::N,ӱшкӱж,ga
148,Pferd::N,имни,hesp
149,Schaf::N,шарык,mîh
150,Schwein::N,сасна,beraz
151,Hund::N,пи,seh
152,Katze::N,коти,pişîk
153,Bär::N,мöскӓ,hirç
154,Eichhörnchen::N,ур,pilûr
155,Elch::N,шарды,pazkovî
156,Fuchs::N,рӹвӹж,rovî
157,Hase::N,морен,kîroşk
158,Maus::N,каля,mişk
159,Wolf::N,пирӹ,gur
160,Vogel::N,кек,çûk
161,Schwarm::N,цуца,lufik
162,Huhn::N,цӹвӹ,mirîşk
163,Hahn::N,ӓптӓн,dîk
164,Gans::N,комбы,qaz
165,Adler::N,кучкыж,eylo
166,Ente::N,лыды,werdek
167,Eule::N,тымана,bûm
168,Eule::N,тымана,kund
169,Kranich::N,тырня,quling
170,Kranich::N,тыртня,quling
171,Krähe::N,лудыгарак,qijik
172,Kuckuck::N,куку,pepûk
173,Schwan::N,йӱксӹ,qû
174,Fisch::N,кол,masî
175,Barsch::N,алангы,okûn
176,Hecht::N,нуж,mesîyê lûf
177,Hecht::N,нужгол,mesîyê lûf
178,Schlange[Tier]::N,кӹшкы,mar
179,Wurm::N,шукш,kurm
180,Spinne::N,ӓнгӹремшӹ,pîrê
181,Ameise::N,кыткы,mîro
182,Ameise::N,кыткы,gêrîk
183,Laus::N,ти,spi
184,Mücke::N,кужнер,mêş
185,Mücke::N,кужынер,mêş
186,Fliege::N,шӹнгӓ,mêş
187,Schmetterling::N,лӹпӹ,perperîk
188,Beere::N,мöр,hirç
189,Apfel::N,олма,sêv
190,Pilz::N,понгы,bîrov
191,Zwiebel::N,охыра,pîvaz
192,Saat::N,нӱшмӹ,tov
193,Saat::N,нӱшмӱ,tov
194,Korn::N,пӹрцӹ,dexl
195,Heu::N,шуды,sap
196,Schale::N,аваха,qaşik
197,Schale::N,карлангы,qaşik
198,Grube::N,йӓм,çahl
199,Falle::N,лӱдӹ,dafik
200,Falle::N,лӱдӹш,dafik
201,Schlinge::N,онгы,dahf
202,Spur::N,кишӓ,rêç
203,Asche::N,ломых,xweli
204,Asche::N,ломпыж,xweli
205,Dreck::N,лявӹрӓ,gemarî
206,Eisen::N,кӹртни,hesing
207,Gold::N,шöртни,zêr
208,Gold::N,шöртньӹ,zêr
209,Silber::N,ши,zîv
210,Kohle::N,шӱ,komir
211,Glas::N,охоница,qedeh
212,Lehm::N,шун,kelpîç
213,Sand::N,ошма,qûm
214,Mensch::N,эдем,mirov
215,Mann::N,пӱэргӹ,mêr
216,Frau::N,ӹдӹрӓмӓш,jin
217,Kind::N,ӓзӓ,zarok
218,Kind::N,шачшы,zarok
219,Junge::N,рвезӹ,kur
220,Junge::N,ӹрвезӹ,kur
221,Mädchen::N,ӹдӹрӓш,keç
222,Mädchen::N,ӹдӹрӓш,keçik
223,Familie::N,йиш,malbat
224,Familie::N,семня,malbat
225,Großvater::N,тьоти,bapîr
226,Großmutter::N,папа,pîrik
227,Eltern::N,ӓтя-ӓвӓ,bavudê
228,Vater::N,ӓтя,bav
229,Mutter::N,ӓвӓ,dê
230,Mutter::N,ӓвӓ,dayik
231,Sohn::N,эргӹ,kur
232,Tochter::N,ӹдӹр,keç
233,Bruder::N,ӹза,bira
234,Schwester::N,ӓкӓ,xweh
235,Onkel::N,кугуза,am
236,Onkel::N,кугуза,xal
237,Tante::N,куака,metik
238,Tante::N,куака,xaltîk
239,Ehemann::N,мары,mêr
240,Ehefrau::N,вӓтӹ,kulfet
241,Freude::N,ӹвӹртӹмӓш,kêfxweşî
242,Gelächter::N,ваштылмаш,pîrqînî
243,Glück::N,пиӓл,bext
244,Kummer::N,ясы,derd
245,Wunsch::N,охата,daxwaz
246,Wunsch::N,охата,xwestek
247,Wunsch::N,шанымаш,daxwaz
248,Wunsch::N,шанымаш,xwestek
249,Lust::N,шӓр,şewq
250,Lust::N,охата,şewq
251,Lust::N,шанымаш,şewq
252,Geist::N,тух,aqil
253,Gedanke::N,шанымаш,fikir
254,Gedächtnis::N,ӓш,aqil
255,Verstand::N,ыш,fêm
256,Sinn::N,кын,aqil
257,Grund::N,вир,asas
258,Wahrheit::N,тöр,rastî
259,Gespräch::N,хытырымаш,guftûgo
260,Märchen::N,ямак,çirok
261,Erzählung::N,шайыштмаш,çirok
262,Erzählung::N,шайыштмаш,vegotin
263,Nachricht::N,увертӓрӹмӓш,nûçe
264,Neuigkeit::N,увер,hewal
265,Name::N,лӹм,nav
266,Name::N,лӹм,paşnav
267,Rätsel::N,тышты,tiştonek
268,Rede::N,шая,gotar
269,Rede::N,шая,axavtin
270,Rede::N,шамак,gotar
271,Rede::N,шамак,axavtin
272,Sprache::N,йӹлмӹ,ziman
273,Stimme::N,юк,pejn
274,Wort::N,шамак,gotin
275,Zeichen::N,палӹ,şanek
276,Ruf::N,сӹгӹрӹмӓш,hawar
277,Lärm::N,юкланымащ,xarbalix
278,Laut::N,юк,deng
279,Laut::N,юк,hês
280,Ton::N,юк,awaz
281,Lied::N,мыры,sitran
282,Ruhe::N,тыр,rihetî
283,Leute::N,эдемвлӓ,xelk
284,Volk::N,халык,xelk
285,Arbeit::N,пӓшӓ,xebat
286,Gast::N,хына,mêvan
287,Geschenk::N,подарка,diyarî
288,Spiel::N,мадыш,lîstik
289,Gesellschaft::N,йӓл,komal
290,Gesellschaft::N,йӓлвлӓ,komal
291,Hilfe::N,палшык,alîkarî
292,Freund::N,тӓнг,heval
293,Kamerad::N,тос,heval
294,Angelegenheit::N,дела,pirsgirêk
295,Angelegenheit::N,йела,pirsgirêk
296,Angelegenheit::N,йыла,pirsgirêk
297,Angelegenheit::N,пӓшӓ,pirsgirêk
298,Anzahl::N,шот,çend
299,Art::N,цӹре,çeh
300,Stück::N,лаштык,lib
301,Stück::N,лаштык,parçe
302,Teil::N,пай,parçe
303,Teil::N,часть,parçe
304,Hälfte::N,пел,nîvî
305,Kreis::N,тӹртӹш,çemil
306,Kreuz::N,крестӹ,xaç
307,Abstand::N,ло,dûrahî
308,Entfernung::N,ло,dûrahî
309,Gegend::N,вӓр,dever
310,Platz::N,вӓр,çih
311,Ort::N,вӓр,dever
312,Seite::N,öрдӹж,rûpel
313,Mitte::N,ло,nav
314,Mitte::N,ло,nabênê
315,Gegenstand::N,хӓдӹр,tişt
316,Sache::N,хӓдӹр,tişt
317,Rand::N,шöр,kevî
318,Kante::N,шöр,kevî
319,Ecke::N,лык,qunç
320,Spitze::N,вуй,derzî
321,Ende::N,вуй,talî
322,Ende::N,мычаш,talî
323,Loch::N,ыраж,qul
324,Winkel::N,лык,kurnîşk
325,Muster::N,тӹрлец,desen
326,Größe::N,кӱкшӹц,mezinî
327,Länge::N,кыт,dirêjahî
328,Höhe::N,кӱкшӹц,bilindayî
329,Gewicht::N,нелӹц,giranî
330,Menge::N,шот,qas
331,Haufen::N,ара,lod
332,Reihe::N,ряд,rêz
333,Boot::N,пыш,kelek
334,Ruder::N,вешлӓ,bêrik
335,Schlitten::N,тир,xîjik
336,Ski::N,ечӹ,lakan
337,Lagerfeuer::N,тыл,agir
338,Last::N,нелӹц,bar
339,Gang::N,ход,fîtêz
340,Schritt::N,ашкыл,gav
341,Norden::N,йыдпелвел,bakur
342,Süden::N,кечӹвӓлвел,başur
343,Westen::N,кечӹ шӹцмӹ,rojava
344,Osten::N,ирвел,rojhilat
345,Osten::N,кечӹ лӱлтмӹ,rojhilat
346,Holz::N,пушӓнгӹ,dep
347,Brett::N,ханга,dep
348,Platte::N,плитӓ,dep
349,Stütze::N,цӓрӓк,destek
350,Stange::N,равы,sing
351,Stange::N,намаш,sing
352,Stock::N,панды,çam
353,Stab::N,равы,qat
354,Rohr::N,пыч,borî
355,Haus::N,пöрт,mal
356,Haus::N,пöрт,xanî
357,Heim::N,пöрт,mal
358,Ofen::N,камака,sobe
359,Fußboden::N,седӹрӓ,binpê
360,Tisch::N,стöл,mase
361,Stuhl::N,пöкен,kursî
362,Wiege::N,шипкӓ,derguş
363,Bett::N,койка,qerewêle
364,Bett::N,кравать,qerewêle
365,Regal::N,полицӓ,rêbaz
366,Kiste::N,шӱ́ндӹк,sindoq
367,Fenster::N,окня,çam
368,Fenster::N,окня,şibeke
369,Tür::N,амаса,derî
370,Tor::N,хапка,derge
371,Zaun::N,забор,hejik
372,Dach::N,левӓш,sere xanî
373,Leiter::N,ташкалтыш,pêling
374,Besen::N,сало,melkes
375,Besen::N,салко,melkes
376,Spaten::N,кольмы,mer
377,Schaufel::N,лоток,bêr
378,Gabel::N,ви́лка,çetel
379,Löffel::N,савала,kevçî
380,Messer::N,кӹзӹ,kêr
381,Nagel::N,пыда,bizmar
382,Netz::N,вӓпш,tor
383,Haken::N,крӱк,çenqel
384,Haken::N,кагак,çenqel
385,Griff::N,кычем,destî
386,Schloss::N,замок,qonax
387,Schloss::N,сыравач,qonax
388,Bild::N,картин,dimen
389,Figur::N,кӓн,figûr
390,Puppe::N,поханя,bûk
391,Beutel::N,мешӓк,kîsik
392,Bündel::N,топ,pêçek
393,Bündel::N,пидӹш,pêçek
394,Bündel::N,кӹлдӹш,pêçek
395,Tasche::N,сумкы,bêrîk
396,Eimer::N,ведӹрӓ,dewl
397,Deckel::N,комдыш,devik
398,Geschirr::N,ӓтӹ,ferax
399,Sack::N,мешӓк,tûr
400,Tasse::N,цӓшкӓ,kada
401,Topf::N,ми́ска,beroş
402,Kessel::N,пад,şîril
403,Essen::N,качкыш,xwarin
404,Essen::N,качкыш-йӱш,xwarin
405,Nahrung::N,качкыш,xwarin
406,Nahrung::N,качкыш-йӱш,xwarin
407,Speise::N,няня,xwarin
408,Fleisch::N,пай,goşt
409,Getreide::N,киндӹ,zad
410,Brei::N,шӹрӓш,hewdêl
411,Brot::N,сыкыр,
412,Scheibe::N,ламыт,parçe
413,Scheibe::N,лаштык,parçe
414,Fett::N,кая,rûn
415,Butter::N,ӱ,rûn
416,Öl::N,ӱ,rûn
417,Salz::N,санзал,xwe
418,Suppe::N,лем,şorbe
419,Honig::N,мӱ,hingiv
420,Milch::N,шӹшер,şîr
421,Tee::N,чӓй,çay
422,Leder::N,шарга,çerm
423,Leder::N,кавашты,çerm
424,Wolle::N,миж,herî
425,Stoff::N,матер,paç
426,Stoff::N,матери,paç
427,Nadel::N,им,derzî
428,Faden::N,шӹртӹ,ta
429,Knopf::N,полдыш,bişkok
430,Knoten::N,пӱкшем,girêk
431,Farbe::N,чиӓ,boyax
432,Farbe::N,крӓскӓ,boyax
433,Kleidung::N,выргем,çil
434,Hemd::N,тыгыр,qutik
435,Hemd::N,тыгыр,miltan
436,Kragen::N,шӱ,stûvang
437,Ärmel::N,шокш,hûçik
438,Hose::N,ялаш,şewel
439,Gürtel::N,ӹштӹ,qayiş
440,Mütze::N,упш,fîno
441,Schuh::N,ту́фльы,şêkal
442,Stiefel::N,кем,gizme
443,Stiefel::N,кем,çizme
444,Ring::N,шӓргӓш,xelek
445,Band::N,лемтӓ,band
446,Kamm::N,шерге,şeh
447,Spiegel::N,тӹгӹр,eynik
448,Riemen::N,прӓжӓ,qayiş
449,Schnur::N,кӓндӹра,doxin
450,Leine::N,керем,şirît
451,Decke::N,одеял,bataniye
452,Kissen::N,кӹпцӹк,balgî
453,Tuch::N,савыц,şar
454,Handtuch::N,шӹргӹсавыц,dezmal
455,Handtuch::N,шӹргӹмсавыц,dezmal
456,Kraft::N,ви,hêz
457,Kraft::N,ви,qewet
458,Stärke::N,ви,xurtî
459,Gesundheit::N,шу,nojdarî
460,Gesundheit::N,шулык,nojdarî
461,Krankheit::N,мыж,nexweşî
462,Schmerz::N,карштыш,êş
463,Wunde::N,шушыр,kul
464,Fieber::N,ӱштӹмыж,ta
465,Arznei::N,лекӓрцӹ,derman
466,Brücke::N,кӹвер,kopî
467,Brunnen::N,вӹдсӹнзӓ,çal
468,Brunnen::N,вӹдсӹнзӓ,kani
469,Weide::N,ныр,beyar
470,Pfad::N,ялгорны,xaçirek
471,Weg::N,корны,rê
472,Straße::N,корны,rê
473,Dorf::N,сола,gund
474,Stadt::N,города,baçar
475,Brief::N,сирмӓш,name
476,Buch::N,книгӓ,kitêb
477,Buch::N,книгӓ,pirtûk
478,Buchstabe::N,буква́,herf
479,Zeitung::N,газет,rojname
480,Zeitung::N,кайзет,rojname
481,Leben::N,житя,jiyan
482,Tod::N,смöрт,mirin
483,Grab::N,шӹгер,mezel
484,Grab::N,мыгилӓ,mezel
485,Grab::N,шӹгерлӓ,mezel
486,Kirche::N,церкӹ,gilyas
487,Sünde::N,сулык,guneh
488,Gott::N,йымы,xwedê
489,Arbeiter::N,пӓшӓзӹ,hîşçî
490,Chef::N,вуй,bêg
491,Meister::N,мастар,hoste
492,Arzt::N,доктор,doktor
493,Lehrer::N,тымдышы,mamoste
494,Geld::N,окса,pere
495,Geschäft::N,торге́йӹмӓш,firoşgeh
496,Laden::N,лапка,dikan
497,Laden::N,магазин,dikan
498,Preis::N,ӓк,buha
499,Ware::N,товар,tişt
500,Nutzen::N,пайда,fêde
501,Reichtum::N,перке,serwet
502,Welt::N,сӓндӓлӹк,dinya
503,Welt::N,свет,dinya
504,Land::N,сӓндӓлӹк,welat
505,Staat::N,кугижӓншӹ,dewlet
506,König::N,король,şah
507,König::N,король,qral
508,Macht::N,власть,qewet
509,Macht::N,власть,destihilat
510,Grenze::N,пӹсмӓн,kevî
511,Krieg::N,вырсы,çeng
512,Krieg::N,вырсы,sêwaş
513,Feind::N,тышман,dijmin
514,Gewalt::N,ви,zor
515,Kampf::N,кредӓлмӓш,şer
516,Bogen[Waffe]::N,янгеж,kêvan
517,Pfeil::N,пикш,çîrik
518,Gewehr::N,пичӓл,tifing
519,Fehler::N,самынь,şaşî
520,Lüge::N,шая,derew
521,Schaden::N,вре́дӓ,xisar
522,Unglück::N,пёда,bêbextî
523,Unglück::N,тымаша,bêbextî
524,Schuld::N,вуйнамат,suç
525,Alter::N,иӓш,temen
526,Alter::N,игечӹ,temen
527,Schluss::N,пӹтӓртӹш,girtin
528,Zeit::N,веремӓ,çax
529,Tag::N,кечӹ,roj
530,Morgen::N,ир,sibeh
531,Morgen::N,ирок,sibeh
532,Mittag::N,кечӹвӓл,nîro
533,Abend::N,вады,êvar
534,Nacht::N,йыд,şev
535,Woche::N,ӓрня,heftî
536,Monat::N,тӹ́лзӹ,meh
537,Jahr::N,год,sal
538,Frühling::N,шошым,bihar
539,Sommer::N,кӓнгӹж,havîn
540,Herbst::N,шӹжӹ,payîz
541,Winter::N,тел,zistan
542,Winter::N,телӹ,zistan
543,Januar::N,январ,çile
544,Januar::N,январь,çile
545,Februar::N,февраль,sibat
546,März::N,март,adar
547,April::N,апрель,nîsan
548,Mai::N,май,gûlan
549,Juni::N,июнь,hezîran
550,Juli::N,июль,tîmeh
551,August::N,август,tebax
552,September::N,сентябрь,îlon
553,Oktober::N,октябрь,çotmeh
554,November::N,ноябрь,mijdar
555,Dezember::N,декавыр,kanûn
556,Montag::N,шачмы,duşemb
557,Dienstag::N,кышкыжмы,sêşem
558,Mittwoch::N,вӹрчегӹ,çarşemb
559,Donnerstag::N,изӓрня,pêşemb
560,Freitag::N,когарня,în
561,Samstag::N,кукшыгечӹ,şemî
562,Sonntag::N,рушӓрня,yekşemb
563,groß::A,кого,mezin
564,klein::A,изи,çûçik
565,lang::A,кужы,dirêj
566,kurz::A,кӹтӹк,kin
567,breit::A,кымда,fireh
568,schmal::A,ӓнгӹсӹр,tenik
569,dicht::A,шӹре,gir
570,dick[Gegenstand]::A,кӹжгӹ,şîşman
571,dünn::A,вӹцкӹж,zirav
572,fein::A,пыльга,tenik
573,fest::A,цаткыды,saxlem
574,flach::A,тӓлякӓ,pahn
575,glatt::A,ягылгы,dûz
576,glatt::A,ягылгы,şayîk
577,hart::A,пингӹдӹ,hişk
578,weich::A,пышкыды,nerm
579,rund::A,тӹртӹш,gilover
580,spitz::A,кашар,pîj
581,scharf::A,кашар,tûj
582,stumpf::A,нӹшкӹ,ne tûj
583,schwer::A,нелӹ,giran
584,schön::A,цевер,xweş
585,schön::A,цевер,xweşik
586,schön::A,олмыдшы,xweş
587,schön::A,олмыдшы,xweşik
588,heiß::A,шокшы,kelandî
589,warm::A,шокшы,germ
590,kalt::A,ӱштӹ,sar
591,kühl::A,юалгы,jemîrî
592,kühl::A,йонгата,jemîrî
593,frisch::A,йонгата,ter
594,feucht::A,ӹлӹкшӹ,şil
595,feucht::A,вӹдӹжгӹ,şil
596,nass::A,начкы,şilek
597,trocken::A,кукшы,zuwa
598,voll::A,темшӹ,tijî
599,voll::A,темыман,tijî
600,leer::A,йӓрӓ,vala
601,offen::A,виш,vekirî
602,geschlossen::A,чӱчмӹ,asê
603,geschlossen::A,тӹкӹлӓлтшӹ,asê
604,sauber::A,ире,pakij
605,schmutzig::A,шоран,lewitî
606,schmutzig::A,лявӹрӓн,lewitî
607,schmutzig::A,шорангшы,lewitî
608,roh::A,пеле кӱшӹ,xav
609,reif::A,кӱшӹ,gihaştî
610,lecker::A,тотан,xweş
611,süß::A,мӱӓн,şîrîn
612,bitter::A,качы,tahl
613,sauer::A,шапы,tirş
614,hell::A,соты,ronî
615,hell::A,валгыды,ronî
616,dunkel::A,пӹц,tarî
617,dunkel::A,пӹцкемӹш,tarî
618,schwarz::A,шим,reş
619,weiß::A,ош,sipî
620,weiß::A,ошы,sipî
621,rot::A,якшаргы,sor
622,gelb::A,сар,zer
623,gelb::A,сары,zer
624,blau::A,симсӹ,şîn
625,grün::A,ыжар,şîn
626,grau::A,луды,gewr
627,bunt::A,ала,rengîn
628,billig::A,шулдаш,erzan
629,teuer::A,шергӹ,biha
630,teuer::A,шергӓкӓн,biha
631,wertvoll::A,ӓкӓн,hêja
632,wertvoll::A,ӓкӓн,giranbiha
633,blind::A,слöпöй,kor
634,blind::A,сльöпöй,kor
635,taub::A,тӱтӱк,kerr
636,kräftig::A,виӓн,gir
637,kräftig::A,виӓн,xurt
638,stark::A,виӓн,xurt
639,schwach::A,шава,kesad
640,schwach::A,лӹпкӓ,kesad
641,schwach::A,слабка,kesad
642,fett::A,таза,qelew
643,schlank::A,яштака,zirav
644,hübsch::A,сӹлнӹ,xweşik
645,hübsch::A,олмыдшы,xweşik
646,böse::A,шӹдӓн,xerab
647,böse::A,шӹдӓн,aciz
648,dumm::A,окмак,gêj
649,faul::A,ялахай,têmbêl
650,fleißig::A,пӓшам яратышы,jêhatî
651,geizig::A,шык,destgirtî
652,klug::A,ышан,baqil
653,geschickt::A,мастар,zîrek
654,geschickt::A,мастар,ziring
655,lieb::A,тыри,delal
656,lustig::A,мындыр,kêfxweş
657,lustig::A,сусу,kêfxweş
658,sanft::A,йӹвӹжӓ,nazenîn
659,hungrig::A,шужышы,birçî
660,krank::A,церлӹ,nexweş
661,krank::A,хворой,nexweş
662,nackt::A,цӓрӓ,rût
663,nackt::A,цӓрӓ,tazî
664,traurig::A,сы́лыкан,xemgîn
665,traurig::A,кымы́лдымы,xemgîn
666,lebendig::A,живой,bisaxî
667,gut::A,яжо,baş
668,schlecht::A,уда,xerab
669,schlecht::A,худа,xerab
670,richtig::A,вургамла,rast
671,richtig::A,вургамла,saxlem
672,schlimm::A,йӹрнык,nebaş
673,wahr::A,настоящий,rast
674,wahr::A,настояшый,rast
675,alt::A,шонгы,pîr
676,alt::A,шонгы,kevn
677,neu::A,у,nû
678,ehemalig::A,тошты,kevnar
679,ehemalig::A,тошты,peşidar
680,alt[Lebewesen]::A,ӹлалшӹ,pîr
681,jung::A,нöргӹ,xort
682,jung::A,молода,xort
683,arm::A,укеӓн,feqîr
684,arm::A,укеӓн,desteng
685,reich::A,паян,dewlemend
686,reich::A,пурлыкан,dewlemend
687,bekannt::A,палӹмӹ,naskirî
688,berühmt::A,лӹмлы,navdar
689,fremd::A,эдемӹн,xerîb
690,verschieden::A,тӹрлӹ,çîhê
691,nah::A,лишӹл,nêzîk
692,fern::A,мӹндӹр,dûr
693,linker::A,шалахай,çepê
694,rechter::A,вургамла,rastê
695,anderer::A,вес,yê din
696,anderer::A,весӹ,yê din
697,erster::A,икшӹ,yekemîn
698,erster::A,икӹмшӹ,yekemîn
699,zweiter::A,кокшы,duda
700,dritter::A,кымшы,sisêya
701,letzter::A,остатка,paşîn
702,allein::ADV,иктӹ,tenê
703,allein::ADV,иктӹт,tenê
704,auf einmal::ADV,тöрöк,jar kê
705,zusammen::ADV,икараш,tev
706,zusammen::ADV,икараш,bi hev re
707,zusammen::ADV,цымырын,tev
708,zusammen::ADV,цымырын,bi hev re
709,lange::ADV,кужын,dirêj
710,plötzlich::ADV,трӱк,ji nişkave
711,sofort::ADV,полт,yekser
712,sofort::ADV,тöрöк,yekser
713,sofort::ADV,тӹшӓкок,yekser
714,später::ADV,вара,paşiyê
715,heute::ADV,тагачы,îro
716,morgen::ADV,иргод,sibeh
717,morgen::ADV,иргодым,sibeh
718,bald::ADV,чӹнь,nêzîk
719,bald::ADV,вӓшке,nêzîk
720,bald::ADV,выртышты,nêzîk
721,dann::ADV,пакыла,paşê
722,gestern::ADV,тенгечӹ,do
723,einst::ADV,икӓнӓ,jar ke
724,damals::ADV,тӹнӓм,hîngî
725,danach::ADV,пакыла,piştra
726,vorher::ADV,перви,pîşî
727,zuerst::ADV,андак,bere
728,einmal::ADV,гӓнӓк,çarik
729,einmal::ADV,гӓнӓ,çarik
730,manchmal::ADV,кынамжы,çarna
731,oft::ADV,чӹчкӹдӹн,gelek çaran
732,immer::ADV,со,daîm
733,immer::ADV,соок,daîm
734,niemals::ADV,нинам,tu çar
735,niemals::ADV,нигынам,tu çar
736,niemals::ADV,нигынамат,tu çar
737,hier::ADV,тиштӹ,li vir
738,hierhin::ADV,тишкӹ,vir
739,von hier::ADV,тишец,ji vir
740,von hier::ADV,тишецӹн,ji vir
741,dort::ADV,тӹштӹ,li wê derê
742,dorthin::ADV,тӹшкӹ,wêda
743,dorthin::ADV,тӹшкӹлӓ,wêda
744,geradeaus::ADV,вик,rastê rast
745,geradeaus::ADV,тура,rastê rast
746,vorwärts::ADV,анзыкы,ber bi pêş
747,rückwärts::ADV,мӹнгеш,paşpê
748,zurück::ADV,мӹнгеш,paşdo
749,zurück::ADV,мӹнгеш,paşvê
750,unten::ADV,ӱлнӹ,jêrî
751,unten::ADV,лӹвӓлнӹ,jêrî
