,Concept_ID,zh,ru
61,Traum::N,梦,сновидение
62,Himmel::N,天空,небо
63,Sonne::N,太阳,солнце
64,Mond::N,月亮,луна
65,Stern::N,星,звезда
66,Luft::N,空气,воздух
67,Wind::N,风,ветер
68,Welle::N,波,волна
69,Wasser::N,水,вода
70,Stein::N,石头,камень
71,Boden::N,地面,почва
72,Erde::N,地,земля
73,Staub::N,灰尘,пыль
74,Rauch::N,烟,дым
75,Funke::N,火花,искра
76,Feuer::N,火,огонь
77,Licht::N,光,свет
78,Schatten::N,影子,тень
79,Wetter::N,天气,погода
80,Nebel::N,雾,туман
81,Wolke::N,云,облако
82,Regen::N,雨,дождь
83,Schnee::N,雪,снег
84,Eis::N,冰,лед
85,Frost::N,霜冻,мороз
86,Kälte::N,寒冷,холод
87,Hitze::N,炎热,жара
88,Raureif::N,霜,иней
89,Regenbogen::N,虹,радуга
90,Donner::N,雷,гром
91,Strömung::N,水流,течение
92,Tropfen::N,滴,капля
93,Schaum::N,泡沫,пена
94,Schmutz::N,赃物,грязь
95,See::N,湖,озеро
96,Sumpf::N,沼泽,топь
97,Moor::N,沼泽,болото
98,Wiese::N,草地,луг
99,Wald::N,森林,лес
100,Hügel::N,丘陵,холм
101,Anhöhe::N,山丘,возвышенность
102,Berg::N,山,гора
103,Gipfel::N,峰,вершина
104,Höhle::N,洞穴,пещера
105,Abhang::N,斜坡,склон
106,Quelle::N,泉,источник
107,Bach::N,溪,ручей
108,Fluss::N,河流,река
109,Ufer::N,岸,берег
110,Küste::N,海岸,побережье
111,Festland::N,大陆,суша
112,Meer::N,海,море
113,Bucht::N,海湾,бухта
114,Insel::N,岛,остров
115,Blume::N,花,цветок
116,Gras::N,草,трава
117,Wurzel::N,根,корень
118,Baum::N,树,дерево
119,Stamm::N,树干,ствол
120,Rinde::N,树皮,кора
121,Ast::N,树枝,сук
122,Zweig::N,树枝,ветвь
123,Blatt::N,叶子,лист
124,Birke::N,桦木,береза
125,Kiefer[Baum]::N,松树,сосна
126,Weide[Baum]::N,柳树,ива
127,Tanne::N,冷杉,ель
128,Horn::N,角,рог
129,Feder::N,羽毛,перо
130,Fell::N,皮毛,шкура
131,Flügel::N,翅膀,крыло
132,Klaue::N,爪子,коготь
133,Kralle::N,爪子,лапа
134,Schwanz::N,尾巴,хвост
135,Ei::N,蛋,яйцо
136,Nest::N,巢,гнездо
137,Bau::N,穴,нора
138,Tier::N,动物,животное
139,Herde::N,群,стадо
140,Kuh::N,母牛,корова
141,Bulle::N,公牛,бык
142,Pferd::N,马,лошадь
143,Schaf::N,羊,овца
144,Schwein::N,猪,свинья
145,Hund::N,狗,собака
146,Katze::N,猫,кошка
147,Bär::N,熊,медведь
148,Eichhörnchen::N,松鼠,белка
149,Elch::N,麋鹿,лось
150,Fuchs::N,狐狸,лиса
151,Hase::N,兔子,заяц
152,Maus::N,老鼠,мышь
153,Wolf::N,狼,волк
154,Vogel::N,鸟,птица
155,Schwarm::N,群,стая
156,Huhn::N,鸡,курица
157,Hahn::N,公鸡,петух
158,Gans::N,鹅,гусь
159,Adler::N,鹰,орел
160,Ente::N,鸭,утка
161,Eule::N,猫头鹰,сова
162,Kranich::N,鹤,журавль
163,Krähe::N,乌鸦,ворона
164,Kuckuck::N,布谷鸟,кукушка
165,Schwan::N,天鹅,лебедь
166,Fisch::N,鱼,рыба
167,Barsch::N,鲈鱼,окунь
168,Hecht::N,狗鱼,щука
169,Schlange[Tier]::N,蛇,змея
170,Wurm::N,蠕虫,червяк
171,Spinne::N,蜘蛛,паук
172,Ameise::N,蚂蚁,муравей
173,Laus::N,虱子,вошь
174,Mücke::N,蚊子,комар
175,Fliege::N,苍蝇,муха
176,Schmetterling::N,蝴蝶,бабочка
177,Beere::N,将果,ягода
178,Apfel::N,苹果,яблоко
179,Pilz::N,蘑菇,гриб
180,Zwiebel::N,洋葱,луковица
181,Saat::N,种子,семя
182,Korn::N,谷粒,зерно
183,Heu::N,干草,сено
184,Schale::N,壳,шелуха
185,Grube::N,坑,яма
186,Falle::N,圈套,ловушка
187,Schlinge::N,活扣,силок
188,Spur::N,踪迹,след
189,Asche::N,灰烬,зола
190,Asche::N,灰烬,пепел
191,Dreck::N,污垢,грязь
192,Eisen::N,铁,железо
193,Gold::N,金子,золото
194,Silber::N,银,серебро
195,Kohle::N,煤,уголь
196,Glas::N,玻璃,стекло
197,Lehm::N,粘土,глина
198,Sand::N,沙,песок
199,Mensch::N,人,человек
200,Mann::N,男子,мужчина
201,Frau::N,妇女,женщина
202,Kind::N,小孩,ребенок
203,Junge::N,男孩,мальчик
204,Mädchen::N,女孩,девочка
205,Familie::N,家庭,семья
206,Großvater::N,祖父,дедушка
207,Großmutter::N,祖母,бабушка
208,Eltern::N,父母,родители
209,Vater::N,父亲,отец
210,Mutter::N,母亲,мать
211,Sohn::N,儿子,сын
212,Tochter::N,女儿,дочь
213,Bruder::N,兄弟,брат
214,Schwester::N,姐妹,сестра
215,Onkel::N,伯父,дядя
216,Tante::N,阿姨,тетя
217,Ehemann::N,丈夫,муж
218,Ehefrau::N,妻子,жена
219,Freude::N,愉快,радость
220,Gelächter::N,大笑,смех
221,Glück::N,运气,счастье
222,Kummer::N,苦恼,горе
223,Wunsch::N,愿望,желание
224,Lust::N,乐趣,влечение
225,Geist::N,精神,дух
226,Gedanke::N,思想,мысль
227,Gedächtnis::N,记性,память
228,Verstand::N,理智,ум
229,Sinn::N,感觉,смысл
230,Grund::N,理由,повод
231,Wahrheit::N,真理,правда
232,Gespräch::N,谈话,беседа
233,Märchen::N,童话,сказка
234,Erzählung::N,故事,рассказ
235,Nachricht::N,消息,сообщение
236,Neuigkeit::N,新闻,новость
237,Name::N,名字,имя
238,Rätsel::N,谜语,загадка
239,Rede::N,讲话,речь
240,Sprache::N,语言,язык
241,Stimme::N,声音,голос
242,Wort::N,词,слово
243,Zeichen::N,标记,знак
244,Ruf::N,呼喊,зов
245,Lärm::N,噪音,шум
246,Laut::N,响声,звук
247,Ton::N,声音,звучание
248,Lied::N,歌曲,песня
249,Ruhe::N,安静,покой
250,Leute::N,人们,люди
251,Volk::N,人民,народ
252,Arbeit::N,劳动,работа
253,Gast::N,客人,гость
254,Geschenk::N,礼物,подарок
255,Spiel::N,游戏,игра
256,Gesellschaft::N,陪同,общество
257,Hilfe::N,帮助,помощь
258,Freund::N,朋友,друг
259,Kamerad::N,同志,приятель
260,Angelegenheit::N,事情,дело
261,Anzahl::N,数目,количество
262,Art::N,种类,вид
263,Stück::N,块,кусок
264,Teil::N,部分,часть
265,Hälfte::N,一半,половина
266,Kreis::N,圆,круг
267,Kreuz::N,十字架,крест
268,Linie::N,线条,линия
269,Strich::N,划,черта
270,Abstand::N,距离,промежуток
271,Entfernung::N,距离,расстояние
272,Gegend::N,地区,местность
273,Platz::N,场所,пространство
274,Ort::N,地点,место
275,Seite::N,面,сторона
276,Mitte::N,中间,середина
277,Gegenstand::N,物品,предмет
278,Sache::N,物,вещь
279,Rand::N,边,край
280,Kante::N,棱,ребро
281,Ecke::N,角,угол
282,Spitze::N,尖,кончик
283,Ende::N,结尾,конец
284,Loch::N,洞,дыра
285,Winkel::N,角度,угол
286,Muster::N,模型,узор
287,Größe::N,大小,размер
288,Länge::N,长度,длина
289,Höhe::N,高度,высота
290,Gewicht::N,重量,вес
291,Menge::N,数量,количество
292,Haufen::N,堆,куча
293,Reihe::N,行,ряд
294,Boot::N,小船,лодка
295,Ruder::N,奖,весло
296,Schlitten::N,雪橇,сани
297,Ski::N,雪板,лыжа
298,Lagerfeuer::N,营火,костер
299,Last::N,负担,тяжесть
300,Gang::N,行走,ход
301,Schritt::N,步伐,шаг
302,Norden::N,北,север
303,Süden::N,南,юг
304,Westen::N,西,запад
305,Osten::N,东,восток
306,Holz::N,木材,древесина
307,Brett::N,木板,доска
308,Platte::N,平板,плита
309,Stütze::N,支架,подпорка
310,Stange::N,杆,жердь
311,Stock::N,棒,палка
312,Stab::N,棍,шест
313,Rohr::N,管子,труба
314,Haus::N,房屋,дом
315,Heim::N,家,дом
316,Ofen::N,炉子,печь
317,Fußboden::N,地板,пол
318,Tisch::N,桌子,стол
319,Stuhl::N,椅子,стул
320,Wiege::N,摇蓝,колыбель
321,Bett::N,床,постель
322,Regal::N,架子,полка
323,Kiste::N,箱子,ящик
324,Fenster::N,窗户,окно
325,Tür::N,门,дверь
326,Tor::N,大门,ворота
327,Zaun::N,篱笆,забор
328,Dach::N,屋顶,крыша
329,Leiter::N,梯子,лестница
330,Besen::N,扫帚,метла
331,Spaten::N,铁锹,лопата
332,Schaufel::N,铁锹,совок
333,Gabel::N,叉,вилка
334,Löffel::N,食匙,ложка
335,Messer::N,刀,нож
336,Nagel::N,钉子,гвоздь
337,Netz::N,网,сеть
338,Haken::N,钩子,крюк
339,Griff::N,把柄,ручка
340,Schloss::N,锁,замок
341,Bild::N,图画,картина
342,Figur::N,人像,фигура
343,Puppe::N,娃娃,кукла
344,Beutel::N,袋子,мешок
345,Bündel::N,捆,связка
346,Tasche::N,手提包,сумка
347,Eimer::N,桶,ведро
348,Deckel::N,盖子,крышка
349,Geschirr::N,餐具,посуда
350,Sack::N,袋子,мешок
351,Tasse::N,杯子,чашка
352,Topf::N,锅,кастрюля
353,Kessel::N,水壶,котел
354,Essen::N,进餐,еда
355,Nahrung::N,食物,пища
356,Speise::N,菜肴,блюдо
357,Speise::N,菜肴,кушанье
358,Fleisch::N,肉,мясо
359,Getreide::N,谷物,хлеб
360,Brei::N,粥,каша
361,Brot::N,面包,хлеб
362,Scheibe::N,片,ломоть
363,Fett::N,脂肪,жир
364,Butter::N,黄油,масло
365,Öl::N,油,масло
366,Salz::N,盐,соль
367,Suppe::N,汤,суп
368,Honig::N,蜂蜜,мед
369,Milch::N,奶,молоко
370,Tee::N,茶,чай
371,Leder::N,皮革,кожа
372,Wolle::N,毛线,шерсть
373,Stoff::N,织物,ткань
374,Nadel::N,针,игла
375,Faden::N,线,нитка
376,Knopf::N,纽扣,пуговица
377,Knoten::N,结,узел
378,Farbe::N,颜色,краска
379,Kleidung::N,衣服,одежда
380,Hemd::N,衬衫,рубашка
381,Kragen::N,领子,воротник
382,Ärmel::N,袖子,рукав
383,Hose::N,裤子,брюки
384,Gürtel::N,腰带,пояс
385,Mütze::N,帽子,шапка
386,Schuh::N,鞋,ботинок
387,Stiefel::N,靴子,сапог
388,Ring::N,戒指,кольцо
389,Band::N,带子,лента
390,Kamm::N,梳子,расческа
391,Spiegel::N,镜子,зеркало
392,Riemen::N,皮带,ремень
393,Schnur::N,绳子,веревка
394,Leine::N,皮带,поводок
395,Decke::N,被子,одеяло
396,Kissen::N,软垫,подушка
397,Tuch::N,巾,платок
398,Handtuch::N,手巾,полотенце
399,Kraft::N,力,сила
400,Stärke::N,力量,крепость
401,Gesundheit::N,健康,здоровье
402,Krankheit::N,病,болезнь
403,Schmerz::N,痛,боль
404,Wunde::N,伤口,рана
405,Fieber::N,发烧,лихорадка
406,Fieber::N,发烧,температура
407,Arznei::N,药,лекарство
408,Brücke::N,桥,мост
409,Brunnen::N,井,колодец
410,Weide::N,牧场,пастбище
411,Pfad::N,小路,тропа
412,Weg::N,路,путь
413,Weg::N,路,дорога
414,Straße::N,街,улица
415,Straße::N,街,дорога
416,Dorf::N,村庄,деревня
417,Stadt::N,城市,город
418,Brief::N,信,письмо
419,Buch::N,书,книга
420,Buchstabe::N,字母,буква
421,Zeitung::N,报纸,газета
422,Leben::N,生命,жизнь
423,Tod::N,死亡,смерть
424,Grab::N,坟墓,могила
425,Kirche::N,教堂,церковь
426,Sünde::N,罪,грех
427,Gott::N,上帝,бог
428,Arbeiter::N,工人,рабочий
429,Chef::N,上司,начальник
430,Meister::N,师傅,мастер
431,Arzt::N,医生,врач
432,Lehrer::N,教师,учитель
433,Geld::N,钱,деньги
434,Geschäft::N,交易,занятие
435,Laden::N,商店,магазин
436,Preis::N,价格,цена
437,Ware::N,商品,товар
438,Nutzen::N,好处,выгода
439,Reichtum::N,财富,богатство
440,Welt::N,世界,мир
441,Land::N,国家,страна
442,Staat::N,国家,государство
443,König::N,国王,король
444,Macht::N,权力,власть
445,Grenze::N,边界,граница
446,Krieg::N,战争,война
447,Feind::N,敌人,враг
448,Gewalt::N,暴力,насилие
449,Kampf::N,战斗,борьба
450,Bogen[Waffe]::N,弓,лук
451,Pfeil::N,箭,стрела
452,Gewehr::N,枪,ружье
453,Fehler::N,错误,ошибка
454,Lüge::N,谎话,ложь
455,Schaden::N,损失,вред
456,Unglück::N,不幸,беда
457,Schuld::N,过错,вина
458,Alter::N,年龄,возраст
459,Schluss::N,结束,окончание
460,Zeit::N,时间,время
461,Tag::N,天,день
462,Morgen::N,早晨,утро
463,Mittag::N,中午,полдень
464,Abend::N,晚上,вечер
465,Nacht::N,夜,ночь
466,Woche::N,星期,неделя
467,Monat::N,月,месяц
468,Jahr::N,年,год
469,Frühling::N,春天,весна
470,Sommer::N,夏天,лето
471,Herbst::N,秋天,осень
472,Winter::N,冬天,зима
473,Januar::N,一月,январь
474,Februar::N,二月,февраль
475,März::N,三月,март
476,April::N,四月,апрель
477,Mai::N,五月,май
478,Juni::N,六月,июнь
479,Juli::N,七月,июль
480,August::N,八月,август
481,September::N,九月,сентябрь
482,Oktober::N,十月,октябрь
483,November::N,十一月,ноябрь
484,Dezember::N,十二月,декабрь
485,Montag::N,星期一,понедельник
486,Dienstag::N,星期二,вторник
487,Mittwoch::N,星期三,среда
488,Donnerstag::N,星期四,четверг
489,Freitag::N,星期五,пятница
490,Samstag::N,星期六,суббота
491,Sonntag::N,星期日,воскресенье
492,groß::A,大,большой
493,klein::A,小,маленький
494,lang::A,长,длинный
495,kurz::A,短,короткий
496,breit::A,宽,широкий
497,schmal::A,细长的,узкий
498,dicht::A,密,густой
499,dick[Gegenstand]::A,厚,толстый
500,dünn::A,薄,тонкий
501,fein::A,细小,тонкий
502,fest::A,固体,крепкий
503,flach::A,平坦,плоский
504,glatt::A,光滑,гладкий
505,hart::A,硬,твердый
506,weich::A,软,мягкий
507,rund::A,圆,круглый
508,spitz::A,尖,остроконечный
509,scharf::A,锋利,острый
510,stumpf::A,钝,тупой
511,schwer::A,重,тяжелый
512,schön::A,美丽,красивый
513,heiß::A,烫,жаркий
514,warm::A,暖和,теплый
515,kalt::A,冷,холодный
516,kühl::A,凉,прохладный
517,frisch::A,新鲜,свежий
518,feucht::A,潮湿,влажный
519,nass::A,湿,мокрый
520,trocken::A,干,сухой
521,voll::A,满,полный
522,voll::A,满,наполненный
523,leer::A,空,пустой
524,offen::A,敞开,открытый
525,geschlossen::A,关闭,закрытый
526,sauber::A,干净,чистый
527,schmutzig::A,肮脏,грязный
528,roh::A,生,сырой
529,reif::A,成熟,зрелый
530,lecker::A,好吃,вкусный
531,süß::A,甜,сладкий
532,bitter::A,苦,горький
533,sauer::A,酸,кислый
534,hell::A,亮,светлый
535,dunkel::A,阴暗,темный
536,schwarz::A,黑,черный
537,weiß::A,白,белый
538,rot::A,红,красный
539,gelb::A,黄,желтый
540,blau::A,蓝,синий
541,grün::A,绿,зеленый
542,grau::A,灰色,серый
543,bunt::A,五彩,пестрый
544,billig::A,便宜,дешевый
545,teuer::A,贵,дорогой
546,wertvoll::A,贵重,ценный
547,blind::A,瞎,слепой
548,taub::A,聋,глухой
549,kräftig::A,强壮,могучий
550,stark::A,强壮,сильный
551,schwach::A,弱,слабый
552,fett::A,胖,жирный
553,schlank::A,苗条,стройный
554,hübsch::A,漂亮,прелестный
555,böse::A,邪恶,злой
556,dumm::A,笨,глупый
557,faul::A,懒惰,ленивый
558,fleißig::A,勤奋,прилежный
559,geizig::A,吝啬,жадный
560,klug::A,聪明,умный
561,geschickt::A,灵巧,искусный
562,lieb::A,可爱,милый
563,lustig::A,快乐,веселый
564,sanft::A,柔和,нежный
565,hungrig::A,饥饿,голодный
566,krank::A,患病,больной
567,nackt::A,裸体,голый
568,traurig::A,悲哀,грустный
569,lebendig::A,活,живой
570,gut::A,好,хороший
571,schlecht::A,坏,плохой
572,richtig::A,正确,правильный
573,schlimm::A,糟糕,отвратительный
574,schlimm::A,糟糕,мерзкий
575,wahr::A,真,настоящий
576,alt::A,旧,старый
577,neu::A,新,новый
578,ehemalig::A,以前,бывший
579,alt[Lebewesen]::A,老,пожилой
580,jung::A,年轻,молодой
581,arm::A,贫穷,бедный
582,reich::A,富裕,богатый
583,bekannt::A,出名,знакомый
584,berühmt::A,著名,знаменитый
585,fremd::A,陌生,чужой
586,verschieden::A,不同,разный
587,nah::A,近,близкий
588,fern::A,遥远,далекий
589,linker::A,左,левый
590,rechter::A,右,правый
591,anderer::A,别的,другой
592,erster::A,第一,первый
593,zweiter::A,第二,второй
594,dritter::A,第三,третий
595,letzter::A,最后,последний
596,allein::ADV,单独,один
597,auf einmal::ADV,同时,сразу
598,zusammen::ADV,一起,вместе
599,lange::ADV,许久,долго
600,plötzlich::ADV,忽然,вдруг
601,sofort::ADV,立刻,тотчас
602,später::ADV,以后,позже
603,jetzt::ADV,现在,сейчас
604,heute::ADV,今天,сегодня
605,morgen::ADV,明天,завтра
606,bald::ADV,即将,скоро
607,dann::ADV,然后,потом
608,gestern::ADV,昨天,вчера
609,einst::ADV,曾经,однажды
610,damals::ADV,当时,тогда
611,danach::ADV,随后,затем
612,vorher::ADV,事先,раньше
613,zuerst::ADV,首先,сперва
614,einmal::ADV,一次,раз
615,manchmal::ADV,有时,иногда
616,oft::ADV,时常,часто
617,immer::ADV,总是,всегда
618,niemals::ADV,从未,никогда
619,hier::ADV,这里,здесь
620,hierhin::ADV,到这里,сюда
621,von hier::ADV,由此,отсюда
622,dort::ADV,那里,там
623,dorthin::ADV,到那里,туда
624,geradeaus::ADV,一直往前,прямо
625,vorwärts::ADV,向前,вперед
626,rückwärts::ADV,向后,назад
627,zurück::ADV,退后,обратно
628,unten::ADV,下面,внизу
629,hinab::ADV,向下,вниз
630,oben::ADV,上面,наверху
631,hinauf::ADV,向上,вверх
632,überall::ADV,到处,везде
633,nicht::ADV,不,не
634,ein wenig::ADV,一点儿,немного
635,kaum::ADV,几乎不,едва
636,sehr::ADV,很,очень
637,so::ADV,如此,так
638,noch::ADV,还,еще
639,nur::ADV,只,только
640,schon::ADV,已经,уже
641,wieder::ADV,又,опять
642,vor::PRP,在...面前,перед
643,hinter::PRP,在...背后,за
644,hinter::PRP,在...背后,позади
645,unter::PRP,在...下面,под
646,durch::PRP,穿过,сквозь
647,neben::PRP,在...旁,возле
648,zwischen::PRP,在...之间,между
649,wegen::PRP,由于,из-за
650,dies::PRN,这,это
651,das::PRN,那,то
652,alles::PRN,一切,все
653,ich::PRN,我,я
654,du::PRN,你,ты
655,er::PRN,他,он
656,wir::PRN,我们,мы
657,ihr::PRN,你们,вы
658,sie::PRN,她,они
659,was::FPRN,什么,что
660,wer::FPRN,谁,кто
661,wo::FADV,哪里,где
662,wohin::FADV,去哪里,куда
663,wie::FADV,怎么,как
664,warum::FADV,为什么,почему
665,wieviel::FNUM,多少,сколько
666,eins::NUM,一,один
667,zwei::NUM,二,два
668,drei::NUM,三,три
669,vier::NUM,四,четыре
670,fünf::NUM,五,пять
671,sechs::NUM,六,шесть
672,sieben::NUM,七,семь
673,acht::NUM,八,восемь
674,neun::NUM,九,девять
675,zehn::NUM,十,десять
676,elf::NUM,十一,одиннадцать
677,zwölf::NUM,十二,двенадцать
678,zwanzig::NUM,二十,двадцать
679,dreißig::NUM,三十,тридцать
680,vierzig::NUM,四十,сорок
681,fünfzig::NUM,五十,пятьдесят
682,sechzig::NUM,六十,шестьдесят
683,siebzig::NUM,七十,семьдесят
684,achtzig::NUM,八十,восемьдесят
685,neunzig::NUM,九十,девяносто
686,hundert::NUM,百,сто
687,tausend::NUM,千,тысяча
688,und::CNJ,和,и
689,oder::CNJ,或者,или
690,oder::CNJ,或者,либо
691,stehen::V,站,стоять
692,sitzen::V,坐,сидеть
693,liegen::V,躺着,лежать
694,hängen::V,挂着,висеть
695,werden::V,成为,стать
696,passieren::V,发生,случиться
697,beginnen::V,开始,начаться
698,enden::V,终止,кончиться
699,wechseln::V,变迁,меняться
700,aufgehen[Sonne]::V,升起,взойти
701,untergehen[Sonne]::V,下落,зайти
702,scheinen[Sonne]::V,照射,светить
703,donnern::V,打雷,греметь
704,wehen::V,飘扬,дуть
705,strömen::V,流,литься
706,fließen::V,流动,течь
707,sich drehen::V,转动,вращаться
708,schwanken::V,摇摆,колебаться
709,schwingen::V,摇,качаться
710,fallen::V,坠落,падать
711,brennen::V,燃烧,гореть
712,rauchen::V,冒烟,дымить
713,regnen::V,下雨,дождить
714,gefrieren::V,结冰,замерзнуть
715,tauen::V,融化,таять
716,schmelzen::V,溶化,плавиться
717,trocknen::V,变干,сохнуть
718,sieden::V,煮,кипеть
719,faulen::V,腐烂,гнить
720,verfaulen::V,腐烂,сгнить
721,reißen::V,撕,рваться
722,versinken::V,下沉,тонуть
723,vergehen::V,流逝,проходить
724,erscheinen::V,出现,появиться
725,verschwinden::V,消失,исчезнуть
726,sinken::V,下降,спадать
727,abnehmen::V,减少,уменьшиться
728,zunehmen::V,增加,увеличиваться
729,steigen::V,上升,подниматься
730,wachsen::V,生长,расти
731,glänzen::V,发光,блестеть
732,funkeln::V,闪烁,сверкать
733,lärmen::V,吵闹,шуметь
734,läuten::V,响,звонить
735,klingeln::V,按铃,звонить
736,brausen::V,疾驶,бушевать
737,klingen::V,听起来,звучать
738,bellen::V,吠,лаять
739,heulen::V,嗥,выть
740,blasen::V,吹,дунуть
741,pfeifen::V,吹口哨,свистеть
742,schreien::V,叫喊,кричать
743,stöhnen::V,呻吟,стонать
744,zittern::V,颤抖,дрожать
745,leben::V,生存,жить
746,geboren werden::V,出生,родиться
747,atmen::V,呼吸,дышать
748,trinken::V,喝,пить
749,essen::V,吃,есть
750,essen::V,吃,кушать
751,schlucken::V,咽,глотать
752,müde werden::V,疲倦,устать
753,einschlafen::V,入睡,заснуть
754,schlafen::V,睡觉,спать
755,aufwachen::V,睡醒,проснуться
756,aufstehen::V,起床,встать
757,sich erholen::V,休养,отдыхать
758,krank werden::V,生病,заболеть
759,krank sein::V,生病,болеть
760,schmerzen::V,疼痛,болеть
761,husten::V,咳,кашлять
762,genesen::V,痊愈,поправиться
763,sterben::V,死,умереть
764,umkommen::V,丧命,погибнуть
765,sich bewegen::V,移动,двигаться
766,sich rühren::V,动弹,шевельнуться
767,sich erheben::V,站起,встать
768,sich setzen::V,坐,сесть
769,hinfallen::V,跌倒,упасть
770,laufen::V,步行,ходить
771,schreiten::V,迈步,шагать
772,spazierengehen::V,散步,гулять
773,eilen::V,急忙,спешить
774,sich beeilen::V,赶快,торопиться
775,sausen::V,疾驰,мчаться
776,rennen::V,奔跑,бегать
777,springen::V,跳,прыгать
778,klettern::V,攀缘,лазать
779,schaukeln::V,荡秋千,раскачиваться
780,kriechen::V,爬行,ползать
781,schwimmen::V,游泳,плавать
782,tauchen::V,潜水,нырять
783,rudern::V,划船,грести
784,fahren::V,行驶,ехать
785,fliegen::V,飞,летать
786,gehen::V,走,идти
787,weggehen::V,离去,уйти
788,abfahren::V,出发,отправиться
789,anhalten::V,停住,остановиться
790,hineingehen::V,进去,входить
791,eintreten::V,进入,войти
792,kommen::V,来,прийти
793,ankommen::V,到达,прибыть
794,zurückkommen::V,回来,возвратиться
795,bleiben::V,停留,остаться
796,warten::V,等,ждать
797,erwarten::V,等候,ожидать
798,suchen::V,找,искать
799,finden::V,找到,найти
800,versuchen::V,尝试,пытаться
801,vorbereiten::V,预备,подготовить
802,lieben::V,爱,любить
803,mögen::V,喜欢,любить
804,lachen::V,笑,смеяться
805,weinen::V,哭,плакать
806,schimpfen::V,骂,ругаться
807,sich ärgern::V,生气,сердиться
808,sich fürchten::V,害怕,бояться
809,fürchten::V,害怕,бояться
810,fliehen::V,逃走,убегать
811,flüchten::V,逃跑,убежать
812,sehen::V,看,видеть
813,anschauen::V,注视,посмотреть
814,ansehen::V,注视,смотреть
815,hören::V,听,слышать
816,zuhören::V,倾听,слушать
817,probieren::V,尝,пробовать
818,riechen::V,闻,нюхать
819,fühlen::V,感到,чувствовать
820,scheinen::V,照耀,казаться
821,zu sehen sein::V,可以看到,виднеться
822,vernehmen::V,审讯,услышать
823,frieren::V,觉得冷,мерзнуть
824,tun::V,作,делать
825,können::V,能,мочь
826,können::V,能,уметь
827,wollen::V,要,хотеть
828,anfangen::V,开始,начать
829,beenden::V,结束,закончить
830,aufhören::V,停止,перестать
831,gelingen::V,成功,удаться
832,geraten::V,陷于,оказаться
833,öffnen::V,打开,открыть
834,schließen::V,关,закрыть
835,stellen::V,放,поставить
836,setzen::V,放,посадить
837,legen::V,摆,класть
838,berühren::V,触,трогать
839,verbinden::V,联结,связать
840,bedecken::V,覆盖,покрыть
841,aufhängen::V,挂,повесить
842,anzünden::V,点,зажечь
843,aufheben::V,拾起,поднять
844,zurücklassen::V,遗留,оставить
845,verlieren::V,丧失,потерять
846,fallen lassen::V,让掉下,уронить
847,machen::V,做,сделать
848,herstellen::V,生产,изготовить
849,bauen::V,建造,строить
850,reparieren::V,修理,чинить
851,verbessern::V,改进,улучшить
852,ändern::V,改变,изменить
853,graben::V,挖,копать
854,beugen::V,弯下,согнуть
855,biegen::V,弯,погнуть
856,drehen::V,转动,вертеть
857,wenden::V,转动,повернуть
858,umdrehen::V,转动,перевернуть
859,heben::V,举起,поднимать
860,hochheben::V,抬高,поднять
861,ergreifen::V,抓住,схватить
862,halten::V,拿着,держать
863,drücken::V,压,нажимать
864,schieben::V,推,толкать
865,kratzen::V,搔,скрести
866,lecken::V,舔,лизать
867,beißen::V,咬,кусать
868,abreißen::V,撕下,оторвать
