,Concept_ID,ku,ta
96,Wald::N,çiya,காடு
97,Wald::N,daristan,காடு
98,Hügel::N,gir,குன்று
99,Anhöhe::N,sere gir,பதுக்கை
100,Berg::N,kaş,மலை
101,Gipfel::N,sere gir,உச்சி மாநாடு
102,Höhle::N,şikeft,குகை
103,Abhang::N,kaş,சரிவு
104,Quelle::N,kanî,மூலம்
105,Bach::N,çem,ஓடை
106,Fluss::N,çem,ஆறு
107,Fluss::N,rûbar,ஆறு
108,Ufer::N,kevî,நீர்க்கரை
109,Küste::N,berav,கடற்கரை
110,Festland::N,bejahî,நிலம்
111,Meer::N,behr,கடல்
112,Bucht::N,derav,சிறுகுடா
113,Insel::N,girav,தீவு
114,Blume::N,kulînk,பூ
115,Gras::N,giha,புல்தரை
116,Wurzel::N,reh,வேர்
117,Baum::N,dar,மரம்
118,Stamm::N,bavik,அடிமரம்
119,Rinde::N,qaqil,பட்டை
120,Rinde::N,qaqil,மரப்பட்டை
121,Ast::N,gulî,கினை
122,Zweig::N,şax,குச்சி
123,Blatt::N,pel,இலை
124,Birke::N,dara sipî,பிர்ச் மரம்
125,Kiefer[Baum]::N,dara bî,தேவதாரு மரம்
126,Weide[Baum]::N,dara belalûk,மர வகைகளுள் ஒன்று
127,Tanne::N,merx,சாதிக்கய்
128,Horn::N,strô,கொம்பு
129,Feder::N,pîrtîk,இறகு
130,Fell::N,heyar,மென்முடி
131,Flügel::N,per,இறக்கை
132,Klaue::N,napîk,நகம்
133,Kralle::N,dinik,நகம்
134,Kralle::N,dirnax,நகம்
135,Schwanz::N,dûv,வால்
136,Ei::N,hêk,முட்டை
137,Nest::N,hêlîn,கூடு
138,Bau::N,avahî,குகை
139,Tier::N,heywan,விலங்கு
140,Herde::N,hoz,கூட்டம்
141,Kuh::N,çêlek,பசு
142,Bulle::N,ga,காளை
143,Pferd::N,hesp,குதிரை
144,Schaf::N,mîh,செம்மறிஆடு
145,Schwein::N,beraz,பன்றி
146,Hund::N,seh,நாய்
147,Katze::N,pişîk,பூனை
148,Bär::N,hirç,கரடி
149,Eichhörnchen::N,pilûr,அணில்
150,Elch::N,pazkovî,கடம்பை
151,Fuchs::N,rovî,நரி
152,Hase::N,kîroşk,முயல்
153,Maus::N,mişk,எலி
154,Wolf::N,gur,ஓநாய்
155,Vogel::N,çûk,பறவை
156,Schwarm::N,lufik,தொகுதி
157,Huhn::N,mirîşk,கோழிக்குஞசு
158,Hahn::N,dîk,சேவல்
159,Gans::N,qaz,பெண் வாத்து
160,Adler::N,eylo,பருநது
161,Ente::N,werdek,வாத்து
162,Eule::N,bûm,ஆந்தை
163,Eule::N,kund,ஆந்தை
164,Kranich::N,quling,நாரை
165,Krähe::N,qijik,காகம்
166,Kuckuck::N,pepûk,குயில்
167,Schwan::N,qû,அன்னம்
168,Fisch::N,masî,மீன்
169,Barsch::N,okûn,பேர்ச்
170,Hecht::N,mesîyê lûf,கோலாச்சி மீன்
171,Schlange[Tier]::N,mar,பாம்பு
172,Wurm::N,kurm,புழு
173,Spinne::N,pîrê,சிலந்தி
174,Ameise::N,mîro,எறும்பு
175,Ameise::N,gêrîk,எறும்பு
176,Laus::N,spi,பேன்
177,Mücke::N,mêş,கொசுவினப்பூச்சி
178,Fliege::N,mêş,ஈ
179,Schmetterling::N,perperîk,வண்ணத்துப்பூச்சி
180,Beere::N,hirç,சதைப்பழம்
181,Apfel::N,sêv,ஆப்பிள பழம்
182,Pilz::N,bîrov,காளான்
183,Zwiebel::N,pîvaz,வெங்காயம்
184,Saat::N,tov,விதை
185,Korn::N,dexl,தானியம்
186,Heu::N,sap,வைக்கோல்
187,Schale::N,qaşik,தோல்
188,Grube::N,çahl,குழி
189,Falle::N,dafik,பொறி
190,Schlinge::N,dahf,கண்ணி
191,Spur::N,rêç,சுவடு
192,Asche::N,xweli,சாம்பல்
193,Dreck::N,gemarî,அழுக்கு
194,Eisen::N,hesing,இரும்பு
195,Gold::N,zêr,தங்கம்
196,Silber::N,zîv,வெள்ளி
197,Kohle::N,komir,நிலக்கரி
198,Glas::N,qedeh,கண்ணாடி
199,Lehm::N,kelpîç,களிமண்
200,Sand::N,qûm,மணல்
201,Mensch::N,mirov,மனிதர்கள்
202,Mann::N,mêr,மனிதன்
203,Frau::N,jin,பெண்
204,Kind::N,zarok,குழந்தை
205,Junge::N,kur,பையன்
206,Mädchen::N,keç,சிறுமி
207,Mädchen::N,keçik,சிறுமி
208,Familie::N,malbat,குடும்பம்
209,Großvater::N,bapîr,தாத்தா
210,Großmutter::N,pîrik,பாட்டி
211,Eltern::N,bavudê,பெற்றோர்
212,Vater::N,bav,தந்தை
213,Mutter::N,dê,தாய்
214,Mutter::N,dayik,தாய்
215,Sohn::N,kur,மகன்
216,Tochter::N,keç,மகள்
217,Bruder::N,bira,சகோதரன்
218,Schwester::N,xweh,அக்கா
219,Onkel::N,am,தாய் மாமன்
220,Onkel::N,xal,தாய் மாமன்
221,Tante::N,metik,அத்தை
222,Tante::N,xaltîk,அத்தை
223,Ehemann::N,mêr,கணவன்
224,Ehefrau::N,kulfet,மனைவி
225,Freude::N,kêfxweşî,கொண்டாட்டம்
226,Gelächter::N,pîrqînî,சிரிப்பு
227,Glück::N,bext,மகிழ்ச்சி
228,Kummer::N,derd,துயரம்
229,Wunsch::N,daxwaz,விருப்பம்
230,Wunsch::N,xwestek,விருப்பம்
231,Lust::N,şewq,விருப்பம்
232,Geist::N,aqil,ஆன்மா
233,Gedanke::N,fikir,எண்ணம்
234,Gedächtnis::N,aqil,ஞாபகம்
235,Verstand::N,fêm,மனம்
236,Sinn::N,aqil,அர்த்தம்
237,Grund::N,asas,காரணம்
238,Wahrheit::N,rastî,உண்நை
239,Gespräch::N,guftûgo,பெசு
240,Märchen::N,çirok,நம்பத்தகாத கதை
241,Erzählung::N,çirok,கதை
242,Erzählung::N,vegotin,கதை
243,Nachricht::N,nûçe,செய்தி
244,Neuigkeit::N,hewal,செய்தி
245,Name::N,nav,பெயர்
246,Name::N,paşnav,பெயர்
247,Rätsel::N,tiştonek,புதிர்
248,Rede::N,gotar,பேச்சு
249,Rede::N,axavtin,பேச்சு
250,Sprache::N,ziman,மொழி
251,Stimme::N,pejn,குரல்
252,Wort::N,gotin,வார்த்தை
253,Zeichen::N,şanek,குறி
254,Ruf::N,hawar,அழைப்பு
255,Lärm::N,xarbalix,சத்தம்
256,Laut::N,deng,ஒலி
257,Laut::N,hês,ஒலி
258,Ton::N,awaz,குரல்
259,Lied::N,sitran,பாட்டு
260,Ruhe::N,rihetî,அமைதி
261,Leute::N,xelk,மக்கள்
262,Volk::N,xelk,மக்கள்
263,Arbeit::N,xebat,வேலை
264,Gast::N,mêvan,விருந்தாளி
265,Geschenk::N,diyarî,பரிசுப் பொருள்
266,Spiel::N,lîstik,விளையாட்டு
267,Gesellschaft::N,komal,சமுதாயம்
268,Hilfe::N,alîkarî,உதவி
269,Freund::N,heval,நண்பன்
270,Kamerad::N,heval,உடனிருப்பவன்
271,Angelegenheit::N,pirsgirêk,செய்தி
272,Anzahl::N,çend,எண்ணிக்கை
273,Art::N,çeh,வகை
274,Stück::N,lib,துண்டம்
275,Stück::N,parçe,துண்டம்
276,Teil::N,parçe,பகுதி
277,Hälfte::N,nîvî,பாதி
278,Kreis::N,çemil,வட்டம்
279,Kreuz::N,xaç,சிலுவை
280,Linie::N,xezik,கோடு
281,Strich::N,xezik,வாத நோய்
282,Abstand::N,dûrahî,இடைவெளி
283,Entfernung::N,dûrahî,தூரம்
284,Gegend::N,dever,வட்டாரம்
285,Platz::N,çih,வெற்றிடம்
286,Ort::N,dever,இடம்
287,Seite::N,rûpel,பக்கம்
288,Mitte::N,nav,இடைப்பகுதி
289,Mitte::N,nabênê,இடைப்பகுதி
290,Gegenstand::N,tişt,உருப்படி
291,Sache::N,tişt,பொருள்
292,Rand::N,kevî,தொங்கு
293,Kante::N,kevî,விளிம்பு
294,Ecke::N,qunç,மூலை
295,Spitze::N,derzî,முனை
296,Ende::N,talî,முடிவு
297,Loch::N,qul,துளை
298,Winkel::N,kurnîşk,கோணம்
299,Muster::N,desen,பாங்கு
300,Größe::N,mezinî,அளவு
301,Länge::N,dirêjahî,நீளம்
302,Höhe::N,bilindayî,உயரம்
303,Gewicht::N,giranî,எடை
304,Menge::N,qas,தொகை
305,Haufen::N,lod,குவியல்
306,Reihe::N,rêz,வரிசை
307,Boot::N,kelek,படகு
308,Ruder::N,bêrik,துடுப்பு
309,Schlitten::N,xîjik,சகடையிலா வண்டி
310,Ski::N,lakan,பனிச் சறுக்கல்
311,Lagerfeuer::N,agir,மூட்டம்
312,Last::N,bar,பாரம்
313,Gang::N,fîtêz,நடை
314,Schritt::N,gav,காலடி
315,Norden::N,bakur,வடக்கு
316,Süden::N,başur,தெற்கு
317,Westen::N,rojava,மேற்கு திசை
318,Osten::N,rojhilat,கிழக்கு
319,Holz::N,dep,மரக்கட்டை
320,Brett::N,dep,பலகை
321,Platte::N,dep,பலகம்
322,Stütze::N,destek,அடைப்புகன்
323,Stange::N,sing,கம்பம்
324,Stock::N,çam,குச்சி
325,Stab::N,qat,கம்பு
326,Rohr::N,borî,குழாய்
327,Haus::N,mal,வீடு
328,Haus::N,xanî,வீடு
329,Heim::N,mal,வீடு
330,Ofen::N,sobe,அடுப்பு
331,Fußboden::N,binpê,தரை
332,Tisch::N,mase,மேசை
333,Stuhl::N,kursî,நாற்காலி
334,Wiege::N,derguş,தொட்டில்
335,Bett::N,qerewêle,படுக்கை
336,Regal::N,rêbaz,அலமாரி
337,Kiste::N,sindoq,பெட்டி
338,Fenster::N,çam,சாளரம்
339,Fenster::N,şibeke,சாளரம்
340,Tür::N,derî,கதவு
341,Tor::N,derge,வாசற்கதவு
342,Zaun::N,hejik,வேலி
343,Dach::N,sere xanî,கூரை
344,Leiter::N,pêling,ஏணி
345,Besen::N,melkes,விளக்குமாறு
346,Spaten::N,mer,மண்வெட்டி
347,Schaufel::N,bêr,அடிதண்டா
348,Gabel::N,çetel,முட்கரண்டி
349,Löffel::N,kevçî,கரண்டி
350,Messer::N,kêr,கத்தி
351,Nagel::N,bizmar,ஆணி
352,Netz::N,tor,வலை
353,Haken::N,çenqel,கொக்கி
354,Griff::N,destî,கைப்பிடி
355,Schloss::N,qonax,பூட்டு
356,Bild::N,dimen,படம்
357,Figur::N,figûr,எண்ணிக்கை
358,Puppe::N,bûk,பொம்மை
359,Beutel::N,kîsik,பை
360,Bündel::N,pêçek,பொதி
361,Tasche::N,bêrîk,பை
362,Eimer::N,dewl,வாளி
363,Deckel::N,devik,உறை
364,Geschirr::N,ferax,பாத்திரம்
365,Sack::N,tûr,பை
366,Tasse::N,kada,கிண்ணம்
367,Topf::N,beroş,பானை
368,Kessel::N,şîril,கெண்டி
369,Essen::N,xwarin,உணவருந்துதல்
370,Nahrung::N,xwarin,உணவு
371,Speise::N,xwarin,உணவு வகை
372,Fleisch::N,goşt,இறைச்சி
373,Getreide::N,zad,மக்காச்சோளம்
374,Brei::N,hewdêl,கஞ்சி
375,Brot::N,,ரொட்டி
376,Scheibe::N,parçe,துண்டு
377,Fett::N,rûn,கொழுப்பு
378,Butter::N,rûn,வெண்ணெய்
379,Öl::N,rûn,எண்ணெய்
380,Salz::N,xwe,உப்பு
381,Suppe::N,şorbe,ரசம்
382,Honig::N,hingiv,தேன்
383,Milch::N,şîr,பால்
384,Tee::N,çay,தெனீர்
385,Leder::N,çerm,பதம் செய்யப்பட்ட தோல்
386,Wolle::N,herî,கம்பளி
387,Stoff::N,paç,துணி
388,Nadel::N,derzî,ஊசி
389,Faden::N,ta,நூல்
390,Knopf::N,bişkok,பொத்தான்
391,Knoten::N,girêk,முடிச்சு
392,Farbe::N,boyax,வண்ணக் குழம்பு
393,Kleidung::N,çil,ஆடைகள்
394,Hemd::N,qutik,சட்டை
395,Hemd::N,miltan,சட்டை
396,Kragen::N,stûvang,கழுத்துப் பட்டை
397,Ärmel::N,hûçik,சட்டைக்கை
398,Hose::N,şewel,கால்சட்டை
399,Gürtel::N,qayiş,பெல்ட்
400,Mütze::N,fîno,தொப்பி
401,Schuh::N,şêkal,காலணி
402,Stiefel::N,gizme,காலணி
403,Stiefel::N,çizme,காலணி
404,Ring::N,xelek,மோதிரம்
405,Band::N,band,நாடா
406,Kamm::N,şeh,கீப்பு
407,Spiegel::N,eynik,ஆடி
408,Spiegel::N,eynik,கண்ணாடி
409,Riemen::N,qayiş,வார்
410,Schnur::N,doxin,கயிறு
411,Leine::N,şirît,தோல்வார்
412,Decke::N,bataniye,போர்வை
413,Kissen::N,balgî,தலையணை
414,Tuch::N,şar,துணி
415,Handtuch::N,dezmal,தண்டு
416,Kraft::N,hêz,நிர்பந்தம்
417,Kraft::N,qewet,நிர்பந்தம்
418,Stärke::N,xurtî,பலம்
419,Gesundheit::N,nojdarî,ஆரோக்கியம்
420,Krankheit::N,nexweşî,நோய்
421,Schmerz::N,êş,வலி
422,Wunde::N,kul,காயம்
423,Fieber::N,ta,காய்ச்சல்
424,Arznei::N,derman,மருந்து
425,Brücke::N,kopî,பாலம்
426,Brunnen::N,çal,கேணி
427,Brunnen::N,kani,கேணி
428,Weide::N,beyar,மேய்ச்சல் நிலம்
429,Pfad::N,xaçirek,நடை வழி
430,Weg::N,rê,வழி
431,Straße::N,rê,சாலை
432,Dorf::N,gund,கிராமம்
433,Stadt::N,baçar,நகரம்
434,Brief::N,name,கடிதம்
435,Buch::N,kitêb,புத்தகம்
436,Buch::N,pirtûk,புத்தகம்
437,Buchstabe::N,herf,எழத்து
438,Zeitung::N,rojname,செய்தித்தாள்
439,Leben::N,jiyan,வாழ்க்கை
440,Tod::N,mirin,மரணம்
441,Grab::N,mezel,சமாதி
442,Kirche::N,gilyas,தேவாலயம்
443,Sünde::N,guneh,பாவம்
444,Gott::N,xwedê,கடவுள்
445,Arbeiter::N,hîşçî,தொழிலாளி
446,Chef::N,bêg,மேலாளர்
447,Meister::N,hoste,தலைவன்
448,Arzt::N,doktor,மருத்துவர்
449,Lehrer::N,mamoste,ஆசிரியர்
450,Geld::N,pere,பணம்
451,Geschäft::N,firoşgeh,வாணிபம்
452,Laden::N,dikan,கடை
453,Preis::N,buha,விலை
454,Ware::N,tişt,சாமன்கள்
455,Nutzen::N,fêde,இலாபம்
456,Reichtum::N,serwet,சொத்து
457,Welt::N,dinya,உலகம்
458,Land::N,welat,நாடு
459,Staat::N,dewlet,நாடு
460,König::N,şah,அரசன்
461,König::N,qral,அரசன்
462,Macht::N,qewet,அதிகாரம்
463,Macht::N,destihilat,அதிகாரம்
464,Grenze::N,kevî,எல்லை
465,Krieg::N,çeng,போர்
466,Krieg::N,sêwaş,போர்
467,Feind::N,dijmin,எதிரி
468,Gewalt::N,zor,வன்முறை
469,Kampf::N,şer,போராட்டம்
470,Bogen[Waffe]::N,kêvan,வில்
471,Pfeil::N,çîrik,அம்பு
472,Gewehr::N,tifing,துப்பாக்கி
473,Fehler::N,şaşî,தவறு
474,Lüge::N,derew,பொய்
475,Schaden::N,xisar,சேதாரம்
476,Unglück::N,bêbextî,இடையூறு
477,Schuld::N,suç,குற்றம்
478,Alter::N,temen,வயது
479,Schluss::N,girtin,முடிவு
480,Zeit::N,çax,காலம்
481,Tag::N,roj,நாள்
482,Morgen::N,sibeh,காலை நேரம்
483,Mittag::N,nîro,மதியம்
484,Abend::N,êvar,மாலைப் பொழுது
485,Nacht::N,şev,இரவு
486,Woche::N,heftî,வாரம்
487,Monat::N,meh,மாதம்
488,Jahr::N,sal,வருடம்
489,Frühling::N,bihar,வசந்தம்
490,Sommer::N,havîn,கோடை
491,Herbst::N,payîz,இலையுதிர் காலம்
492,Winter::N,zistan,குளிர்காலம்
493,Januar::N,çile,ஜனவரி
494,Februar::N,sibat,பிபரவரி மாதம்
495,März::N,adar,மார்ச் மாதம்
496,April::N,nîsan,ஏப்ரல் மாதம்
497,Mai::N,gûlan,மே மாதம்
498,Juni::N,hezîran,ஜூன் மாதம்
499,Juli::N,tîmeh,ஜூலை மாதம்
500,August::N,tebax,ஆகஸ்ட் மாதம்
501,September::N,îlon,செப்டம்பர் மாதம்
502,Oktober::N,çotmeh,அக்டோபர் மாதம்
503,November::N,mijdar,நவம்பர் மாதம்
504,Dezember::N,kanûn,டிசம்பர்
505,Montag::N,duşemb,திங்கட் கிழமை
506,Dienstag::N,sêşem,செவ்வாய்க்கிழமை
507,Mittwoch::N,çarşemb,புதன் கிழமை
508,Donnerstag::N,pêşemb,வியாழக் கிழமை
509,Freitag::N,în,வெள்ளிக்கிழமை
510,Samstag::N,şemî,சனிக்கிழமை
511,Sonntag::N,yekşemb,ஞாயிறுக் கிழமை
512,groß::A,mezin,பெரிய
513,klein::A,çûçik,சிறிய
514,lang::A,dirêj,நீண்ட
515,kurz::A,kin,குட்டையான
516,breit::A,fireh,அகலமான
517,schmal::A,tenik,குறுகலான
518,dicht::A,gir,அடர்த்தியான
519,dick[Gegenstand]::A,şîşman,தடித்த
520,dünn::A,zirav,சன்னமான
521,fein::A,tenik,மெல்லிய
522,fest::A,saxlem,உறுதியாள
523,flach::A,pahn,தட்டையான
524,glatt::A,dûz,வழுவழுப்பான
525,glatt::A,şayîk,வழுவழுப்பான
526,hart::A,hişk,கடினமான
527,weich::A,nerm,மென்மையான
528,rund::A,gilover,உருண்டையான
529,spitz::A,pîj,திகந்தமாக
530,scharf::A,tûj,கூரான
531,stumpf::A,ne tûj,உளம் திறந்த
532,schwer::A,giran,கனமான
533,schön::A,xweş,அழகான
534,schön::A,xweşik,அழகான
535,heiß::A,kelandî,சூடான
536,warm::A,germ,இதமான
537,kalt::A,sar,குளிர்ச்சியான
538,kühl::A,jemîrî,குளிர்ச்சியான
539,frisch::A,ter,சுத்தமான
540,feucht::A,şil,ஈரமான
541,nass::A,şilek,ஈரமான
542,trocken::A,zuwa,உலர்ந்த
543,voll::A,tijî,நிரம்பிய
544,leer::A,vala,காலியான
545,offen::A,vekirî,திறந்த
546,geschlossen::A,asê,மூடப்பட்ட
547,sauber::A,pakij,சுத்தமான
548,schmutzig::A,lewitî,அழக்கான
549,roh::A,xav,கச்சா
550,reif::A,gihaştî,பழுத்த
551,lecker::A,xweş,சுவைமிக்க
552,süß::A,şîrîn,இனிப்பான
553,bitter::A,tahl,கசப்பான
554,sauer::A,tirş,புளிப்பாக
555,hell::A,ronî,பளபளப்பான
556,dunkel::A,tarî,கருமையான
557,schwarz::A,reş,கருப்பு வண்ண
558,weiß::A,sipî,வெண்மையன
559,rot::A,sor,சிவப்பு
560,gelb::A,zer,மஞ்சள் வண்ணம்
561,blau::A,şîn,நீல வண்ண
562,grün::A,şîn,பச்சை வண்ண
563,grau::A,gewr,சாம்பல் நிற
564,bunt::A,rengîn,வண்ண மயமான
565,billig::A,erzan,மலிவான
566,teuer::A,biha,விலை அதிகமான
567,wertvoll::A,hêja,மதிப்புள்ள
568,wertvoll::A,giranbiha,மதிப்புள்ள
569,blind::A,kor,பார்வையற்ற
570,taub::A,kerr,செவிடான
571,kräftig::A,gir,வலிமையான
572,kräftig::A,xurt,வலிமையான
573,stark::A,xurt,பலமான
574,schwach::A,kesad,பலவீனமான
575,fett::A,qelew,பருமனாக
576,schlank::A,zirav,ஒல்லியான
577,hübsch::A,xweşik,அழகிய
578,böse::A,xerab,கேடு விளைவிக்கும்
579,böse::A,aciz,கேடு விளைவிக்கும்
580,dumm::A,gêj,முட்டாள்தனமான
581,faul::A,têmbêl,சோம்பலான
582,fleißig::A,jêhatî,ஊக்கந்தளராத
583,geizig::A,destgirtî,கஞேசத்தனமான
584,klug::A,baqil,சாதுரியமான
585,geschickt::A,zîrek,திறமையள்ள
586,geschickt::A,ziring,திறமையள்ள
587,lieb::A,delal,அன்புக்குரிய
588,lustig::A,kêfxweş,களிப்புமிக்க
589,sanft::A,nazenîn,சாதுவான
590,hungrig::A,birçî,பசியுடன்
591,krank::A,nexweş,நோயுற்று
592,nackt::A,rût,ஆடையற்ற
593,nackt::A,tazî,ஆடையற்ற
594,traurig::A,xemgîn,சோகமான
595,lebendig::A,bisaxî,பிழைப்பு
596,gut::A,baş,நல்ல
597,schlecht::A,xerab,கெட்ட
598,richtig::A,rast,சரியான
599,richtig::A,saxlem,சரியான
600,schlimm::A,nebaş,அருவருப்பான
601,wahr::A,rast,உண்மையான
602,alt::A,pîr,பழைய
603,alt::A,kevn,பழைய
604,neu::A,nû,புதிய
605,ehemalig::A,kevnar,முன்நாள்
606,ehemalig::A,peşidar,முன்நாள்
607,alt[Lebewesen]::A,pîr,வயதான
608,jung::A,xort,இளமையான
609,arm::A,feqîr,ஏழ்மையான
610,arm::A,desteng,ஏழ்மையான
611,reich::A,dewlemend,செல்வம் படைத்த
612,bekannt::A,naskirî,பழக்கப்பட்ட
613,berühmt::A,navdar,புகழ்பெற்ற
614,fremd::A,xerîb,அயல் நாட்டு
615,verschieden::A,çîhê,வித்தியாசமான
616,nah::A,nêzîk,பக்கத்தில் உள்ள
617,fern::A,dûr,தொலை தூரத்தில்
618,linker::A,çepê,மீந்திருக்கும்
619,rechter::A,rastê,வலதுபக்கம்
620,anderer::A,yê din,மற்ற
621,erster::A,yekemîn,முதனமையான
622,zweiter::A,duda,இரண்டாவது
623,dritter::A,sisêya,மூன்றாவது
624,letzter::A,paşîn,கடைசி
625,allein::ADV,tenê,தனியாக
626,auf einmal::ADV,jar kê,தடீரென்று
627,zusammen::ADV,tev,சேர்ந்து
628,zusammen::ADV,bi hev re,சேர்ந்து
629,lange::ADV,dirêj,அதிக நோம்
630,plötzlich::ADV,ji nişkave,தடீரென்று
631,sofort::ADV,yekser,உடனடியாக
632,später::ADV,paşiyê,பிறகு
633,jetzt::ADV,nuha,இப்பொழது
634,heute::ADV,îro,இன்று
635,morgen::ADV,sibeh,நாளைக்கு
636,bald::ADV,nêzîk,சீக்கிரம்
637,dann::ADV,paşê,அப்பொழுது
638,gestern::ADV,do,நேற்று
639,einst::ADV,jar ke,ஒரே முறை
640,damals::ADV,hîngî,அப்பொழுது
641,danach::ADV,piştra,பிற்பாடு
642,vorher::ADV,pîşî,முன்பாக
643,zuerst::ADV,bere,முதலில்
644,einmal::ADV,çarik,ஒரே முறை
645,manchmal::ADV,çarna,சில நேரங்களில்
646,oft::ADV,gelek çaran,அடிக்கடி
647,immer::ADV,daîm,எப்பொழுதும்
648,niemals::ADV,tu çar,ஒருபோதும் இல்லை
649,hier::ADV,li vir,இங்கே
650,hierhin::ADV,vir,இவ்விடத்திற்கு
651,von hier::ADV,ji vir,இனி
652,dort::ADV,li wê derê,அங்கே
653,dorthin::ADV,wêda,அவ்விடத்திற்கு
654,geradeaus::ADV,rastê rast,முன்னாலிருக்கும்
655,vorwärts::ADV,ber bi pêş,முன்புறமாக
656,rückwärts::ADV,paşpê,பின்னோக்கி
657,zurück::ADV,paşdo,பின்பக்கம்
658,zurück::ADV,paşvê,பின்பக்கம்
659,unten::ADV,jêrî,கீழாக
660,hinab::ADV,berjêr,கீழ் நோக்கி
661,oben::ADV,banî,மேலே
662,hinauf::ADV,banî,மேலே
663,überall::ADV,li her derê,எல்லா இடத்திலும்
664,nicht::ADV,ne,இல்லை
665,nicht::ADV,nîn,இல்லை
666,nicht::ADV,tine,இல்லை
667,ein wenig::ADV,hebkî,கொஞ்சம்
668,kaum::ADV,tema,அரிதாக
669,kaum::ADV,himangi,அரிதாக
670,sehr::ADV,gelek,மிக்க
671,so::ADV,weha,மிகவும்
672,noch::ADV,hêj,இப்பொழுதும்
673,noch::ADV,dîsa,இப்பொழுதும்
674,nur::ADV,tenê,மட்டும்
675,nur::ADV,bes,மட்டும்
676,schon::ADV,hew,ஏற்கனவே
677,wieder::ADV,jar din,மறுபடியும்
678,wieder::ADV,dîsa,மறுபடியும்
679,vergebens::ADV,deya çun,வீண்
680,vergebens::ADV,îfleh bûn,வீண்
681,vor::PRP,li ber,முன்
682,hinter::PRP,li pişt,பின்பக்கம்
683,unter::PRP,li bin,கீழே
684,durch::PRP,kura,ஊடே
