,Concept_ID,uk,mn
150,Fell::N,хутро,арьс
151,Flügel::N,крило,жигүүр
152,Flügel::N,крило,далавч
153,Klaue::N,кіготь,савар
154,Klaue::N,кіготь,хумс
155,Kralle::N,лапа,савар
156,Schwanz::N,хвіст,сүүл
157,Ei::N,яйце,өндөг
158,Nest::N,гніздо,үүр
159,Bau::N,лігво,нүх
160,Bau::N,лігво,элүү
161,Tier::N,тварина,амьтан
162,Tier::N,тварина,адгуус
163,Herde::N,стадо,сүрэг
164,Kuh::N,корова,үнээ
165,Bulle::N,бик,бух
166,Bulle::N,бугай,бух
167,Pferd::N,кінь,морь
168,Pferd::N,кінь,адуу
169,Schaf::N,вівця,хонь
170,Schwein::N,свиня,гахай
171,Hund::N,собака,нохой
172,Katze::N,кішка,муур
173,Katze::N,кішка,мигуй
174,Bär::N,ведмідь,баавгай
175,Eichhörnchen::N,білка,хэрэм
176,Elch::N,лось,хандгай
177,Fuchs::N,лисиця,үнэг
178,Hase::N,заєць,туулай
179,Maus::N,миша,хулгана
180,Wolf::N,вовк,чоно
181,Vogel::N,птах,шувуу
182,Schwarm::N,зграя,сүрэг
183,Huhn::N,курка,тахиа
184,Hahn::N,півень,эр тахиа
185,Gans::N,гуска,галуу
186,Adler::N,орел,бүргэд
187,Ente::N,качка,нугас
188,Eule::N,сова,ууль
189,Kranich::N,журавель,тогоруу
190,Krähe::N,ворона,хэрээ
191,Kuckuck::N,зозуля,хөхөө
192,Schwan::N,лебідь,хун
193,Fisch::N,риба,загас
194,Barsch::N,окунь,алгана
195,Hecht::N,щука,цурхай
196,Schlange[Tier]::N,змія,могой
197,Wurm::N,черв’як,өт
198,Wurm::N,черв’як,хорхой
199,Spinne::N,павук,аалз
200,Ameise::N,мурашка,шоргоолж
201,Laus::N,воша,бөөс
202,Mücke::N,комар,шумуул
203,Fliege::N,муха,ялаа
204,Schmetterling::N,метелик,эрвээхэй
205,Beere::N,ягода,жимсгэнэ
206,Apfel::N,яблуко,алим
207,Pilz::N,гриб,мөөг
208,Zwiebel::N,цибуля,сонгино
209,Saat::N,сім’я,тариа
210,Korn::N,зерно,үр
211,Korn::N,зерно,мөхлөг
212,Heu::N,сіно,өвс
213,Schale::N,шкірка,хальс
214,Grube::N,яма,алам
215,Grube::N,яма,нүх
216,Falle::N,пастка,хавх
217,Falle::N,пастка,занга
218,Schlinge::N,петля,урхи
219,Spur::N,слід,мөр
220,Asche::N,зола,үнс
221,Asche::N,попіл,үнс
222,Dreck::N,бруд,хир
223,Eisen::N,залізо,төмөр
224,Gold::N,золото,алт
225,Silber::N,срібло,мөнгө
226,Kohle::N,вугілля,нүүрс
227,Glas::N,скло,шил
228,Lehm::N,глина,шавар
229,Sand::N,пісок,элс
230,Mensch::N,людина,хүн
231,Mann::N,чоловік,эр
232,Mann::N,чоловік,эрэгтэй
233,Frau::N,жінка,эмэгтэй
234,Frau::N,жінка,хатагтай
235,Kind::N,дитина,хүүхэд
236,Junge::N,хлопець,хүү
237,Mädchen::N,дівчина,охин
238,Mädchen::N,дівчина,бүсгүй
239,Familie::N,сім’я,айл
240,Familie::N,родина,айл
241,Großvater::N,дідусь,өвгөн аав
242,Großmutter::N,бабуся,эмэг эх
243,Großmutter::N,бабуся,эмгээ
244,Eltern::N,батьки,эцэг эх
245,Vater::N,батько,аав
246,Vater::N,батько,эцэг
247,Mutter::N,мати,эх
248,Mutter::N,мати,ээж
249,Sohn::N,син,хүү
250,Tochter::N,дочка,охин
251,Bruder::N,брат,ах
252,Bruder::N,брат,дүү
253,Schwester::N,сестра,эгч
254,Schwester::N,сестра,охин дүү
255,Onkel::N,дядько,авга ах
256,Onkel::N,дядько,нагац ах
257,Tante::N,тітка,авга эгч
258,Tante::N,тітка,нагац эгч
259,Ehemann::N,чоловік,нөхөр
260,Ehefrau::N,жінка,эхнэр
261,Ehefrau::N,жінка,гэргий
262,Ehefrau::N,дружина,эхнэр
263,Ehefrau::N,дружина,гэргий
264,Freude::N,радощі,баяр
265,Freude::N,радощі,баясгалан
266,Gelächter::N,сміх,инээдэм
267,Glück::N,щастя,жаргалан
268,Kummer::N,горе,гаслан
269,Wunsch::N,бажання,ерөөл
270,Lust::N,бажання,дур
271,Lust::N,бажання,хүсэл
272,Geist::N,дух,оюун
273,Gedanke::N,думка,сэтгэл
274,Gedächtnis::N,пам’ять,ой
275,Gedächtnis::N,пам’ять,цээж
276,Verstand::N,розум,ухаан
277,Sinn::N,зміст,утга
278,Sinn::N,значення,утга
279,Grund::N,причина,учир
280,Wahrheit::N,правда,үнэн
281,Gespräch::N,розмова,яриа
282,Märchen::N,байка,явган үлгэр
283,Erzählung::N,повість,тууж
284,Erzählung::N,оповідання,тууж
285,Nachricht::N,повідомлення,мэдээ
286,Neuigkeit::N,новина,сонин
287,Name::N,ім’я,нэр
288,Rätsel::N,загадка,оньсого
289,Rede::N,промова,хэлсэн үг
290,Sprache::N,мова,хэл
291,Stimme::N,голос,дуу
292,Wort::N,слово,үг
293,Zeichen::N,знак,тамга
294,Zeichen::N,знак,тэмдэг
295,Ruf::N,оклик,дуудлага
296,Lärm::N,шум,шуугиан
297,Lärm::N,шум,чимээ
298,Laut::N,звук,анир
299,Laut::N,звук,дуу
300,Ton::N,тон,авиа
301,Ton::N,тон,аялгуу
302,Lied::N,пісня,дуу
303,Ruhe::N,спокій,энх
304,Ruhe::N,спокій,тайван
305,Leute::N,люди,хүмүүс
306,Volk::N,народ,улс
307,Arbeit::N,робота,ажил
308,Arbeit::N,робота,хөдөлмөр
309,Gast::N,гість,зочин
310,Gast::N,гість,айлчин
311,Geschenk::N,подарунок,бэлэг
312,Spiel::N,гра,наадам
313,Spiel::N,гра,тоглоом
314,Gesellschaft::N,товариство,хамт байх
315,Hilfe::N,допомога,тусламж
316,Freund::N,друг,найз
317,Freund::N,друг,нөхөр
318,Freund::N,приятель,найз
319,Freund::N,приятель,нөхөр
320,Kamerad::N,товариш,хань
321,Kamerad::N,товариш,нөхөр
322,Angelegenheit::N,справа,хэрэг
323,Anzahl::N,число,тоо
324,Art::N,рід,төрөл
325,Art::N,рід,янз
326,Stück::N,кусок,хэсэг
327,Teil::N,частина,хувь
328,Teil::N,частина,хэсэг
329,Hälfte::N,половина,хагас
330,Kreis::N,круг,тойрог
331,Kreis::N,круг,хүрээ
332,Kreis::N,коло,тойрог
333,Kreis::N,коло,хүрээ
334,Kreuz::N,хрест,загалмай
335,Linie::N,лінія,шугам
336,Strich::N,штрих,зураас
337,Abstand::N,проміжок,зай
338,Entfernung::N,відстань,зай
339,Entfernung::N,відстань,хол ойр
340,Gegend::N,місцевість,хавь
341,Gegend::N,місцевість,газар
342,Platz::N,площа,зай
343,Platz::N,площа,завсар
344,Ort::N,місце,газар
345,Ort::N,місце,байр
346,Seite::N,сторона,тал
347,Seite::N,сторона,этгээд
348,Mitte::N,середина,төв
349,Mitte::N,середина,дунд
350,Gegenstand::N,предмет,юм
351,Sache::N,річ,үйл
352,Sache::N,річ,хэрэг
353,Rand::N,край,зах
354,Rand::N,край,хөвөө
355,Kante::N,ребро,ирмэг
356,Ecke::N,ріг,өнцөг
357,Spitze::N,кінчик,үзүүр
358,Ende::N,кінець,зах
359,Ende::N,кінець,үзүүр
360,Loch::N,діра,цоорхой
361,Loch::N,діра,онгорхой
362,Winkel::N,куток,өнцөг
363,Muster::N,узор,хээ
364,Muster::N,узор,угалз
365,Größe::N,розмір,хэмжээ
366,Länge::N,довжина,урт
367,Höhe::N,висота,өндөр
368,Gewicht::N,вага,жин
369,Menge::N,кількість,тоо
370,Haufen::N,купа,бөөн
371,Reihe::N,ряд,эгнээ
372,Boot::N,човен,завь
373,Ruder::N,весло,сэлүүр
374,Schlitten::N,сани,чарга
375,Ski::N,лижа,цана
376,Lagerfeuer::N,вогнище,түүдэг
377,Last::N,тягар,ачаа
378,Last::N,вантаж,ачаа
379,Gang::N,хід,явдал
380,Schritt::N,крок,алхам
381,Norden::N,північ,умар
382,Süden::N,південь,урд
383,Süden::N,південь,өмнө
384,Westen::N,захід,өрнө
385,Westen::N,захід,баруун
386,Osten::N,схід,зүүн
387,Osten::N,схід,дорно
388,Holz::N,дрова,мод
389,Brett::N,дошка,банз
390,Platte::N,плита,хавтан
391,Stütze::N,підпірка,тулгуур
392,Stütze::N,підпірка,тулга
393,Stange::N,жердина,сургааг
394,Stock::N,палиця,саваа
395,Stab::N,палиця,таяг
396,Rohr::N,труба,хоолой
397,Haus::N,дім,гэр
398,Haus::N,дім,байшин
399,Haus::N,хата,гэр
400,Haus::N,хата,байшин
401,Heim::N,житло,гэр
402,Ofen::N,піч,зуух
403,Ofen::N,піч,пийшин
404,Fußboden::N,підлога,шал
405,Tisch::N,стіл,ширээ
406,Stuhl::N,стілець,сандал
407,Wiege::N,колиска,өлгий
408,Bett::N,ліжко,ор
409,Bett::N,постіль,ор
410,Regal::N,полиця,тавиур
411,Kiste::N,ящик,авдар
412,Kiste::N,ящик,хайрцаг
413,Fenster::N,вікно,гэгээвч
414,Tür::N,двері,үүд
415,Tür::N,двері,хаалга
416,Tor::N,ворота,хаалга
417,Zaun::N,паркан,хашаа
418,Zaun::N,огорожа,хашаа
419,Dach::N,дах,дээвэр
420,Leiter::N,драбина,шат
421,Besen::N,мітла,хамуур
422,Besen::N,мітла,туужуу
423,Spaten::N,заступ,хүрз
424,Schaufel::N,совок,хүрз
425,Schaufel::N,лопата,хүрз
426,Gabel::N,виделка,сэрээ
427,Löffel::N,ложка,халбага
428,Messer::N,ніж,хутга
429,Nagel::N,цвях,хадаас
430,Netz::N,сіть,өөш
431,Netz::N,сіть,тор
432,Haken::N,крюк,гох
433,Griff::N,ручка,иш
434,Griff::N,ручка,сэнж
435,Griff::N,держак,иш
436,Griff::N,держак,сэнж
437,Schloss::N,замок,цуурга
438,Schloss::N,замок,цоож
439,Bild::N,картина,зураг
440,Figur::N,фігура,баримал
441,Puppe::N,лялька,хүүхэлдэй
442,Beutel::N,мішечок,агсаа
443,Beutel::N,мішечок,уут
444,Beutel::N,торбинка,агсаа
445,Beutel::N,торбинка,уут
446,Bündel::N,в’язка,боодол
447,Tasche::N,сумка,цүнх
448,Eimer::N,відро,хөнөг
449,Eimer::N,відро,хувин
450,Deckel::N,кришка,таг
451,Deckel::N,кришка,хавхаг
452,Geschirr::N,посуд,сав суулга
453,Sack::N,мішок,шуудай
454,Tasse::N,чашка,аяга
455,Topf::N,горщик,тогоо
456,Kessel::N,котел,тогоо
457,Essen::N,їжа,идээ
458,Nahrung::N,харч,хүнс
459,Speise::N,страва,идээ
460,Fleisch::N,м’ясо,мах
461,Getreide::N,хліб,будаа
462,Getreide::N,збіжжя,будаа
463,Brei::N,каша,богшмол
464,Brei::N,каша,будаа
465,Brot::N,хліб,талх
466,Scheibe::N,скибочка,зүсэм
467,Scheibe::N,скибочка,хэрчим
468,Fett::N,жир,өөх
469,Butter::N,масло,тос
470,Öl::N,олія,тос
471,Salz::N,сіль,давс
472,Suppe::N,суп,шөл
473,Honig::N,мед,бал
474,Milch::N,молоко,сүү
475,Tee::N,чай,цай
476,Leder::N,шкіра,арьс
477,Leder::N,шкіра,савхи
478,Wolle::N,шерсть,ноос
479,Wolle::N,шерсть,унгас
480,Stoff::N,тканина,бөс
481,Nadel::N,голка,зүү
482,Faden::N,нитка,боолт
483,Faden::N,нитка,утас
484,Knopf::N,ґудзик,товч
485,Knoten::N,вузол,зангилаа
486,Farbe::N,фарба,будаг
487,Kleidung::N,одяг,хувцас
488,Kleidung::N,убрання,хувцас
489,Hemd::N,сорочка,цамц
490,Kragen::N,комір,зах заам
491,Ärmel::N,рукав,ханцуй
492,Hose::N,брюки,өмд
493,Gürtel::N,пояс,бүс
494,Mütze::N,шапка,малгай
495,Mütze::N,шапка,бүрх
496,Schuh::N,ботинок,туфли
497,Stiefel::N,чобіт,гутал
498,Ring::N,кільце,бөгж
499,Band::N,стрічка,тууз
500,Kamm::N,гребінець,сам
501,Spiegel::N,дзеркало,толь
502,Riemen::N,ремінь,тасам
503,Riemen::N,ремінь,сур
504,Schnur::N,вірьовка,татлага
505,Leine::N,шворка,оосор
506,Decke::N,ковдра,хөнжил
507,Decke::N,ковдра,хучлага
508,Kissen::N,подушка,дэр
509,Tuch::N,хустка,алчуур
510,Tuch::N,хустка,даавуу
511,Handtuch::N,рушник,алчуур
512,Kraft::N,сила,чадал
513,Kraft::N,сила,хүч
514,Stärke::N,сила,эрч
515,Stärke::N,сила,тэнхээ
516,Gesundheit::N,здоров’я,бие
517,Gesundheit::N,здоров’я,эрүүл мэнд
518,Krankheit::N,хвороба,эмгэг
519,Schmerz::N,біль,өвчин
520,Wunde::N,рана,шарх
521,Fieber::N,гарячка,халуун
522,Arznei::N,ліки,эм
523,Brücke::N,міст,гүүр
524,Brunnen::N,колодязь,худаг
525,Weide::N,пасовище,бэлчээр
526,Pfad::N,стежка,жим
527,Pfad::N,стежка,зөрөг
528,Weg::N,шлях,зам
529,Weg::N,шлях,харгуй
530,Weg::N,дорога,зам
531,Weg::N,дорога,харгуй
532,Straße::N,вулиця,зам
533,Straße::N,вулиця,харгуй
534,Dorf::N,село,тосгон
535,Dorf::N,село,гацаа
536,Stadt::N,місто,хот
537,Brief::N,лист,захидал
538,Brief::N,лист,захиа
539,Buch::N,книга,ном
540,Buch::N,книга,бичиг
541,Buch::N,книжка,ном
542,Buch::N,книжка,бичиг
543,Buchstabe::N,буква,үсэг
544,Buchstabe::N,літера,үсэг
545,Zeitung::N,газета,сонин
546,Leben::N,життя,амь
547,Leben::N,життя,амьдрал
548,Tod::N,смерть,үхэл
549,Grab::N,могила,булш
550,Kirche::N,церква,сүм
551,Sünde::N,гріх,нүгэл
552,Sünde::N,гріх,хилэнц
553,Gott::N,бог,бурхан
554,Arbeiter::N,робітник,ажилчин
555,Arbeiter::N,робітник,хөдөлмөрчин
556,Chef::N,хазяїн,дарга
557,Meister::N,умілець,дархан
558,Arzt::N,лікар,эмч
559,Lehrer::N,вчитель,багш
560,Geld::N,гроші,цаас
561,Geld::N,гроші,мөнгө
562,Geschäft::N,заняття,наймаа
563,Laden::N,магазин,дэлгүүр
564,Laden::N,крамниця,дэлгүүр
565,Preis::N,ціна,үнэ
566,Ware::N,товар,таваар
567,Ware::N,товар,бараа
568,Nutzen::N,вигода,ашиг
569,Nutzen::N,користь,ашиг
570,Reichtum::N,багатство,баялаг
571,Welt::N,світ,дэлхий
572,Welt::N,світ,орчлон
573,Land::N,країна,улс
574,Land::N,країна,орон
575,Staat::N,держава,төр
576,Staat::N,держава,гүрэн
577,König::N,король,ван
578,Macht::N,влада,засаг
579,Grenze::N,кордон,хил
580,Krieg::N,війна,дайн
581,Feind::N,ворог,дайсан
582,Gewalt::N,насильство,хүчирхэх
583,Kampf::N,бій,тэмцэл
584,Kampf::N,бій,байлдаан
585,Kampf::N,боротьба,тэмцэл
586,Kampf::N,боротьба,байлдаан
587,Bogen[Waffe]::N,лук,нум
588,Pfeil::N,стріла,годил
589,Pfeil::N,стріла,сум
590,Gewehr::N,рушниця,буу
591,Gewehr::N,гвинтівка,буу
592,Fehler::N,помилка,эндэл
593,Fehler::N,помилка,алдаа
594,Lüge::N,брехня,худал
595,Schaden::N,шкода,хор
596,Schaden::N,шкода,хөнөөл
597,Schaden::N,збиток,хор
598,Schaden::N,збиток,хөнөөл
599,Unglück::N,нещастя,гай
600,Unglück::N,нещастя,гамшиг
601,Schuld::N,провина,гэм
602,Schuld::N,провина,буруу
603,Alter::N,вік,нас
604,Alter::N,літа,нас
605,Schluss::N,кінець,эцэс
606,Schluss::N,кінець,төгсгөл
607,Zeit::N,час,цаг
608,Tag::N,день,өдөр
609,Morgen::N,ранок,өглөө
610,Mittag::N,південь,үд
611,Abend::N,вечір,үдэш
612,Nacht::N,ніч,шөнө
613,Woche::N,тиждень,долоо хоног
614,Monat::N,місяць,сар
615,Jahr::N,рік,жил
616,Frühling::N,весна,хавар
617,Sommer::N,літо,зун
618,Herbst::N,осінь,намар
619,Winter::N,зима,өвөл
620,Januar::N,січень,нэгдүгээр сар
621,Februar::N,лютий,хоёрдугаар сар
622,März::N,березень,гуравдугаар сар
623,April::N,квітень,дөрөвдүгээр сар
624,Mai::N,травень,тавдугаар сар
625,Juni::N,червень,зургаадугаар сар
626,Juli::N,липень,долдугаар сар
627,August::N,серпень,наймдугаар сар
628,September::N,вересень,есдүгээр сар
629,Oktober::N,жовтень,аравдугаар сар
630,November::N,листопад,арван нэгдүгээр сар
631,Dezember::N,грудень,арван хоёрдугаар сар
632,Montag::N,понеділок,даваа
633,Dienstag::N,вівторок,мягмар
634,Mittwoch::N,середа,лхагва
635,Donnerstag::N,четвер,пүрэв
636,Freitag::N,п’ятниця,баасан
637,Samstag::N,субота,бямба
638,Sonntag::N,неділя,ням
639,groß::A,великий,их
640,groß::A,великий,том
641,klein::A,малий,бага
642,klein::A,малий,жаахан
643,klein::A,маленький,бага
644,klein::A,маленький,жаахан
645,lang::A,довгий,урт
646,kurz::A,короткий,охор
647,kurz::A,короткий,богино
648,breit::A,широкий,өргөн
649,schmal::A,вузький,уйтан
650,schmal::A,вузький,нарийн
651,dicht::A,густий,нягт
652,dicht::A,густий,чигжүү
653,dick[Gegenstand]::A,товстий,зузаан
654,dünn::A,тонкий,нимгэн
655,fein::A,дрібний,нарийн
656,fest::A,міцний,бөх
657,fest::A,міцний,хатуу
658,flach::A,плоский,хавтгай
659,glatt::A,рівний,цагаан
660,glatt::A,гладенький,цагаан
661,hart::A,твердий,хатуу
662,weich::A,м’який,зөөлөн
663,rund::A,круглий,дугуй
664,rund::A,круглий,дугариг
665,spitz::A,гострокінцевий,шовх
666,spitz::A,гострокінцевий,шовгор
667,scharf::A,гострий,хурц
668,scharf::A,гострий,иртэй
669,stumpf::A,тупий,мохоо
670,schwer::A,важкий,хүнд
671,schön::A,вродливий,гуа
672,schön::A,вродливий,сайхан
673,heiß::A,жаркий,халуун
674,heiß::A,гарячий,халуун
675,warm::A,теплий,дулаан
676,kalt::A,холодний,хүйтэн
677,kühl::A,прохолодний,сэрүүн
678,frisch::A,свіжий,эрүүл
679,frisch::A,свіжий,жихүүн
680,feucht::A,вогкий,чийгтэй
681,nass::A,мокрий,нойтон
682,trocken::A,сухий,хатсан
683,voll::A,повний,дүүрэн
684,leer::A,пустий,хоосон
685,offen::A,відкритий,онгорхой
686,geschlossen::A,закритий,битүү
687,geschlossen::A,закритий,хаалтай
688,geschlossen::A,зачинений,битүү
689,geschlossen::A,зачинений,хаалтай
690,sauber::A,чистий,цэвэр
691,sauber::A,чистий,хиргүй
692,sauber::A,охайний,цэвэр
693,sauber::A,охайний,хиргүй
694,schmutzig::A,брудний,бохир
695,schmutzig::A,брудний,хиртэй
696,roh::A,сирий,түүхий
697,reif::A,зрілий,болсон
698,lecker::A,смачний,амттай
699,süß::A,солодкий,амттай
700,süß::A,солодкий,чихэрлэг
701,bitter::A,гіркий,гашуун
702,sauer::A,кислий,эсгэлэн
703,hell::A,світлий,гэгээн
704,hell::A,світлий,гэрэлтэй
705,dunkel::A,темний,бараан
706,dunkel::A,темний,харанхуй
707,schwarz::A,чорний,хар
708,weiß::A,сивий,цагаан
709,rot::A,червоний,улаан
710,gelb::A,жовтий,шар
711,blau::A,синій,хөх
712,blau::A,синій,цэнхэр
713,grün::A,зелений,ногоон
714,grau::A,сірий,орог
715,grau::A,сірий,саарал
716,bunt::A,барвистий,эрээн
717,billig::A,дешевий,хямд
718,teuer::A,дорогий,үнэтэй
719,wertvoll::A,цінний,үнэт
720,blind::A,сліпий,сохор
721,taub::A,глухий,чих хатуу
722,kräftig::A,могутній,чийрэг
723,stark::A,сильний,хүчтэй
724,stark::A,сильний,чадалтай
725,schwach::A,слабкий,сул
726,fett::A,жирний,тарган
727,fett::A,жирний,голигор
728,fett::A,товстий,тарган
729,fett::A,товстий,голигор
730,schlank::A,тонкий,голшиг
731,schlank::A,стрункий,голшиг
732,hübsch::A,чарівний,сайхан
733,hübsch::A,чарівний,хөөрхөн
734,böse::A,злий,муу
735,böse::A,злий,хортой
736,böse::A,лихий,муу
737,böse::A,лихий,хортой
738,dumm::A,дурний,тэнэг
739,faul::A,ледачий,залхуу
740,fleißig::A,старанний,чармайлтгай
741,geizig::A,скупий,харамч
742,klug::A,мудрий,цэцэн
743,klug::A,розумний,цэцэн
744,geschickt::A,умілий,дүйтэй
745,lieb::A,милий,хайрт
746,lustig::A,веселий,цэнгэлтэй
747,sanft::A,лагідний,наалинхай
748,hungrig::A,голодний,өлөн
749,hungrig::A,голодний,өлссөн
750,krank::A,слабий,өвчтэй
751,nackt::A,голий,нүцгэн
752,traurig::A,сумний,гунигт
753,lebendig::A,живий,амьд
754,lebendig::A,живий,амьтай
755,gut::A,добрий,сайн
756,schlecht::A,поганий,муу
757,schlecht::A,поганий,өөдгүй
758,schlecht::A,кепський,муу
759,schlecht::A,кепський,өөдгүй
760,richtig::A,правильний,зөв
761,richtig::A,правильний,зүйтэй
762,schlimm::A,бридкий,муухай
763,wahr::A,справжній,үнэн
764,wahr::A,справжній,жинхэнэ
765,alt::A,старий,хуучин
766,neu::A,новий,шинэ
767,ehemalig::A,колишній,агсан
768,ehemalig::A,колишній,байсан
769,alt[Lebewesen]::A,старий,өвгөн
770,alt[Lebewesen]::A,старий,хижээл
771,jung::A,молодий,залуу
772,arm::A,бідний,ядуу
773,reich::A,багатий,баян
774,reich::A,багатий,баялаг
775,bekannt::A,знайомий,танил
776,berühmt::A,славетний,цуутай
777,berühmt::A,славетний,алдартай
778,fremd::A,чужий,харь
779,fremd::A,чужий,гадаад
780,verschieden::A,різний,ондоо
781,verschieden::A,різний,янз янзын
782,nah::A,близький,ойрын
783,nah::A,близький,дөтийн
784,fern::A,далекий,холын
785,linker::A,лівий,буруу
786,rechter::A,правий,баруун
787,anderer::A,інакший,өөр
788,anderer::A,інакший,нөгөө
789,erster::A,перший,нэгдэх
790,erster::A,перший,нэгдүгээр
791,zweiter::A,другий,хоёрдугаар
792,dritter::A,третій,гуравдугаар
793,letzter::A,останній,сүүлийн
794,allein::ADV,сам,ганцаараа
795,allein::ADV,один,ганцаараа
796,auf einmal::ADV,відразу,нэгмөсөн
797,zusammen::ADV,разом,цуг
798,zusammen::ADV,разом,хамт
799,zusammen::ADV,спільно,цуг
800,zusammen::ADV,спільно,хамт
801,lange::ADV,довго,удаан
802,plötzlich::ADV,раптом,гэнэт
803,sofort::ADV,зараз,дороо
804,später::ADV,пізніше,дараа
805,jetzt::ADV,тепер,өнөө
806,heute::ADV,сьогодні,өнөө
807,heute::ADV,сьогодні,өнөөдөр
