,Concept_ID,pt,sl
492,Fett::N,banha,mást
493,Fett::N,banha,maščôba
494,Fett::N,gordura,mást
495,Fett::N,gordura,maščôba
496,Butter::N,manteiga,máslo
497,Öl::N,azeite,ólje
498,Salz::N,sal,sól
499,Suppe::N,sopa,júha
500,Suppe::N,caldo,júha
501,Honig::N,mel,méd
502,Milch::N,leite,mléko
503,Tee::N,chá,čáj
504,Leder::N,couro,úsnje
505,Wolle::N,lã,vólna
506,Stoff::N,pano,blagó
507,Stoff::N,tecido,blagó
508,Nadel::N,agulha,ígla
509,Faden::N,fio,nít
510,Knopf::N,botão,gúmb
511,Knoten::N,nó,vôzel
512,Farbe::N,corante,bárva
513,Kleidung::N,roupa,obléka
514,Kleidung::N,vestuário,obléka
515,Hemd::N,camisa,srájca
516,Kragen::N,gola,ovrátnik
517,Ärmel::N,manga,rokáv
518,Hose::N,calça,hláče
519,Gürtel::N,cinto,pás
520,Mütze::N,boné,kápa
521,Mütze::N,boné,čépica
522,Mütze::N,barrete,kápa
523,Mütze::N,barrete,čépica
524,Schuh::N,sapato,čévelj
525,Stiefel::N,bota,škórenj
526,Ring::N,anel,pŕstan
527,Band::N,fita,trák
528,Band::N,faixa,trák
529,Kamm::N,pente,glavník
530,Spiegel::N,espelho,zrcálo
531,Spiegel::N,espelho,ogledálo
532,Riemen::N,correia,jêrmen
533,Schnur::N,corda,vŕvca
534,Schnur::N,cordel,vŕvca
535,Leine::N,trela,konôpec
536,Decke::N,cobertor,odéja
537,Kissen::N,almofada,blazína
538,Tuch::N,pano,pŕt
539,Tuch::N,pano,rúta
540,Handtuch::N,toalha,brisáča
541,Kraft::N,força,síla
542,Stärke::N,força,jákost
543,Gesundheit::N,saúde,zdrávje
544,Krankheit::N,doença,bolézen
545,Krankheit::N,enfermidade,bolézen
546,Schmerz::N,dor,ból
547,Schmerz::N,dor,bolečína
548,Wunde::N,chaga,rána
549,Wunde::N,ferida,rána
550,Fieber::N,febre,vročína
551,Arznei::N,remédio,lék
552,Arznei::N,remédio,zdravílo
553,Brücke::N,ponte,móst
554,Brunnen::N,poço,vodnják
555,Weide::N,pastagem,páša
556,Pfad::N,senda,stezà
557,Pfad::N,trilho,stezà
558,Weg::N,caminho,pót
559,Straße::N,via,césta
560,Straße::N,estrada,césta
561,Dorf::N,aldeia,vás
562,Stadt::N,cidade,mésto
563,Brief::N,carta,písmo
564,Buch::N,livro,knjíga
565,Buchstabe::N,letra,čŕka
566,Zeitung::N,jornal,čásnik
567,Leben::N,vida,življênje
568,Tod::N,morte,smŕt
569,Grab::N,túmulo,gròb
570,Grab::N,sepultura,gròb
571,Kirche::N,igreja,cérkev
572,Sünde::N,pecado,gréh
573,Gott::N,deus,bóg
574,Arbeiter::N,operário,délavec
575,Arbeiter::N,trabalhador,délavec
576,Chef::N,chefe,šéf
577,Chef::N,patrão,šéf
578,Meister::N,mestre,mójster
579,Arzt::N,médico,zdravník
580,Lehrer::N,professor,učítelj
581,Geld::N,dinheiro,denár
582,Geschäft::N,negócio,kupčíja
583,Laden::N,loja,trgovína
584,Preis::N,preço,céna
585,Ware::N,mercadoria,róba
586,Nutzen::N,proveito,príd
587,Reichtum::N,riqueza,bogástvo
588,Welt::N,mundo,svét
589,Land::N,país,dežêla
590,Staat::N,Estado,držáva
591,König::N,rei,králj
592,Macht::N,poder,oblást
593,Macht::N,potência,oblást
594,Grenze::N,fronteira,mêja
595,Krieg::N,guerra,vôjna
596,Feind::N,inimigo,sovrážnik
597,Gewalt::N,violência,nasílje
598,Kampf::N,luta,bòj
599,Kampf::N,luta,bórba
600,Kampf::N,combate,bòj
601,Kampf::N,combate,bórba
602,Bogen[Waffe]::N,arco,lók
603,Pfeil::N,seta,puščíca
604,Pfeil::N,flecha,puščíca
605,Gewehr::N,espingarda,púška
606,Fehler::N,erro,zmóta
607,Fehler::N,falha,zmóta
608,Lüge::N,mentira,láž
609,Schaden::N,dano,okvára
610,Schaden::N,estrago,okvára
611,Unglück::N,desgraça,nesréča
612,Schuld::N,culpa,krívda
613,Alter::N,idade,dôba
614,Schluss::N,fim,kônec
615,Zeit::N,tempo,čàs
616,Tag::N,dia,dán
617,Morgen::N,manhã,jútro
618,Mittag::N,meio-dia,póldan
619,Abend::N,noite,večér
620,Abend::N,tardinha,večér
621,Nacht::N,noite,nóč
622,Woche::N,semana,téden
623,Monat::N,mês,mésec
624,Jahr::N,ano,léto
625,Frühling::N,primavera,pomlád
626,Sommer::N,verão,polétje
627,Herbst::N,outono,jesén
628,Winter::N,inverno,zíma
629,Januar::N,Janeiro,jánuar
630,Februar::N,Fevereiro,fébruar
631,März::N,Março,márec
632,April::N,Abril,apríl
633,Mai::N,Maio,máj
634,Juni::N,Junho,júnij
635,Juli::N,Julho,júlij
636,August::N,Agosto,avgúst
637,September::N,Setembro,septêmber
638,Oktober::N,Outubro,október
639,November::N,Novembro,novêmber
640,Dezember::N,Dezembro,decémber
