,Concept_ID,zh,he
94,Hügel::N,丘陵,תל
95,Anhöhe::N,山丘,מעלה
96,Berg::N,山,הר
97,Gipfel::N,峰,פסגה
98,Höhle::N,洞穴,מערה
99,Abhang::N,斜坡,מדרון
100,Abhang::N,斜坡,שפוע
101,Quelle::N,泉,מעין
102,Bach::N,溪,נחל
103,Fluss::N,河流,נהר
104,Ufer::N,岸,גדה
105,Küste::N,海岸,חוף
106,Festland::N,大陆,יבשה
107,Meer::N,海,ים
108,Bucht::N,海湾,מפרץ
109,Insel::N,岛,אי
110,Blume::N,花,פרח
111,Gras::N,草,דשא
112,Wurzel::N,根,שרש
113,Baum::N,树,עץ
114,Stamm::N,树干,גזע
115,Rinde::N,树皮,קלפת עץ
116,Ast::N,树枝,ענף
117,Zweig::N,树枝,ענף
118,Blatt::N,叶子,עלה
119,Birke::N,桦木,שדר
120,Kiefer[Baum]::N,松树,ארן
121,Weide[Baum]::N,柳树,ערבה
122,Tanne::N,冷杉,אשוח
123,Horn::N,角,קרן
124,Feder::N,羽毛,נוצה
125,Fell::N,皮毛,פרוה
126,Flügel::N,翅膀,כנף
127,Klaue::N,爪子,טלף
128,Kralle::N,爪子,טפר
129,Schwanz::N,尾巴,זנב
130,Ei::N,蛋,ביצה
131,Nest::N,巢,קן
132,Bau::N,穴,מחלה
133,Tier::N,动物,חיה
134,Herde::N,群,עדר
135,Kuh::N,母牛,פרה
136,Bulle::N,公牛,פר
137,Pferd::N,马,סוס
138,Schaf::N,羊,כבשה
139,Schwein::N,猪,חזיר
140,Hund::N,狗,כלב
141,Katze::N,猫,חתול
142,Bär::N,熊,דב
143,Eichhörnchen::N,松鼠,סנאי
144,Elch::N,麋鹿,דישון
145,Fuchs::N,狐狸,שועל
146,Hase::N,兔子,ארנב
147,Maus::N,老鼠,עכבר
148,Wolf::N,狼,זאב
149,Vogel::N,鸟,צפור
150,Schwarm::N,群,נחיל
151,Schwarm::N,群,להקה
152,Huhn::N,鸡,תרנגלת
153,Hahn::N,公鸡,תרנגול
154,Gans::N,鹅,אוז
155,Adler::N,鹰,עיט
156,Ente::N,鸭,ברוז
157,Eule::N,猫头鹰,ינשוף
158,Kranich::N,鹤,עגור
159,Kranich::N,鹤,כרוכיה
160,Krähe::N,乌鸦,עורב
161,Kuckuck::N,布谷鸟,קוקיה
162,Schwan::N,天鹅,ברבור
163,Fisch::N,鱼,דג
164,Barsch::N,鲈鱼,אוקונוס
165,Hecht::N,狗鱼,זאב הים
166,Schlange[Tier]::N,蛇,נחש
167,Wurm::N,蠕虫,תולעת
168,Spinne::N,蜘蛛,עכביש
169,Ameise::N,蚂蚁,נמלה
170,Laus::N,虱子,כנה
171,Mücke::N,蚊子,יתוש
172,Fliege::N,苍蝇,זבוב
173,Schmetterling::N,蝴蝶,פרפר
174,Beere::N,将果,ענבה
175,Apfel::N,苹果,תפוח
176,Pilz::N,蘑菇,פטריה
177,Zwiebel::N,洋葱,בצל
178,Saat::N,种子,זרעים
179,Korn::N,谷粒,גרעין
180,Heu::N,干草,חציר
181,Schale::N,壳,קלפה
182,Grube::N,坑,בור
183,Grube::N,坑,שוחה
184,Falle::N,圈套,מלכדת
185,Schlinge::N,活扣,לולאה
186,Spur::N,踪迹,עקבה
187,Asche::N,灰烬,אפר
188,Dreck::N,污垢,זהמה
189,Eisen::N,铁,ברזל
190,Gold::N,金子,זהב
191,Silber::N,银,כסף
192,Kohle::N,煤,פחם
193,Glas::N,玻璃,זכוכית
194,Lehm::N,粘土,חרסית
195,Sand::N,沙,חול
196,Mensch::N,人,אדם
197,Mann::N,男子,איש
198,Mann::N,男子,גבר
199,Frau::N,妇女,אשה
200,Frau::N,妇女,גברת
201,Kind::N,小孩,ילד
202,Junge::N,男孩,ילד
203,Mädchen::N,女孩,נערה
204,Familie::N,家庭,משפחה
205,Großvater::N,祖父,סבא
206,Großmutter::N,祖母,סבתא
207,Eltern::N,父母,הורים
208,Vater::N,父亲,אב
209,Mutter::N,母亲,אם
210,Sohn::N,儿子,בן
211,Tochter::N,女儿,בת
212,Bruder::N,兄弟,אח
213,Schwester::N,姐妹,אחות
214,Onkel::N,伯父,דוד
215,Tante::N,阿姨,דודה
216,Ehemann::N,丈夫,איש
217,Ehemann::N,丈夫,בעל
218,Ehefrau::N,妻子,אשה
219,Freude::N,愉快,שמחה
220,Gelächter::N,大笑,צחוק
221,Glück::N,运气,אשר
222,Kummer::N,苦恼,יגון
223,Kummer::N,苦恼,עגמה
224,Wunsch::N,愿望,אחול
225,Wunsch::N,愿望,משאלה
226,Lust::N,乐趣,חשק
227,Lust::N,乐趣,תשוקה
228,Geist::N,精神,רוח
229,Gedanke::N,思想,מחשבה
230,Gedächtnis::N,记性,זכרון
231,Verstand::N,理智,שכל
232,Sinn::N,感觉,מובן
233,Sinn::N,感觉,משמעות
234,Grund::N,理由,סבה
235,Wahrheit::N,真理,אמת
236,Gespräch::N,谈话,דיון
237,Märchen::N,童话,אגדה
238,Erzählung::N,故事,ספור
239,Nachricht::N,消息,ידיעה
240,Neuigkeit::N,新闻,חדשה
241,Name::N,名字,שם
242,Rätsel::N,谜语,תעלומה
243,Rede::N,讲话,נאום
244,Sprache::N,语言,לשון
245,Stimme::N,声音,קול
246,Wort::N,词,מלה
247,Zeichen::N,标记,סימן
248,Ruf::N,呼喊,קריאה
249,Lärm::N,噪音,רעש
250,Laut::N,响声,הגה
251,Ton::N,声音,צליל
252,Lied::N,歌曲,שיר
253,Ruhe::N,安静,שלוה
254,Leute::N,人们,אנשים
255,Volk::N,人民,עם
256,Arbeit::N,劳动,עבודה
257,Gast::N,客人,אורח
258,Geschenk::N,礼物,מתנה
259,Spiel::N,游戏,משחק
260,Gesellschaft::N,陪同,חברה
261,Hilfe::N,帮助,עזרה
262,Freund::N,朋友,חבר
263,Freund::N,朋友,ידיד
264,Kamerad::N,同志,רע
265,Angelegenheit::N,事情,ענין
266,Anzahl::N,数目,מספר
267,Art::N,种类,סוג
268,Stück::N,块,חתיכה
269,Teil::N,部分,פרק
270,Hälfte::N,一半,חצי
271,Kreis::N,圆,מעגל
272,Kreuz::N,十字架,צלב
273,Linie::N,线条,קו
274,Strich::N,划,קו קצר
275,Abstand::N,距离,מרחק
276,Entfernung::N,距离,מרחק
277,Gegend::N,地区,נוף
278,Platz::N,场所,שטח
279,Ort::N,地点,אתר
280,Ort::N,地点,מקום
281,Seite::N,面,צד
282,Mitte::N,中间,אמצע
283,Gegenstand::N,物品,אוביקט
284,Sache::N,物,דבר
285,Rand::N,边,פרור
286,Kante::N,棱,קצה
287,Ecke::N,角,פנה
288,Spitze::N,尖,קצה
289,Ende::N,结尾,סוף
290,Loch::N,洞,חר
291,Winkel::N,角度,פנה
292,Muster::N,模型,תבנית
293,Größe::N,大小,גדל
294,Länge::N,长度,ארך
295,Höhe::N,高度,קומה
296,Höhe::N,高度,גבה
297,Gewicht::N,重量,משקל
298,Menge::N,数量,כמות
299,Haufen::N,堆,ערמה
300,Reihe::N,行,רצף
301,Boot::N,小船,סירה
302,Ruder::N,奖,משוט
303,Schlitten::N,雪橇,מזחלת
304,Ski::N,雪板,מגלשים
305,Lagerfeuer::N,营火,מדורה
306,Last::N,负担,משא
307,Gang::N,行走,הליכה
308,Schritt::N,步伐,צעד
309,Norden::N,北,צפון
310,Süden::N,南,דרום
311,Westen::N,西,מערב
312,Osten::N,东,מזרח
313,Holz::N,木材,עץ
314,Brett::N,木板,קרש
315,Platte::N,平板,לוח
316,Stütze::N,支架,משען
317,Stange::N,杆,מוט
318,Stock::N,棒,מקל
319,Stab::N,棍,מוט
320,Rohr::N,管子,צנור
321,Haus::N,房屋,בית
322,Heim::N,家,בית
323,Ofen::N,炉子,תנור
324,Fußboden::N,地板,רצפה
325,Tisch::N,桌子,שלחן
326,Stuhl::N,椅子,כסא
327,Wiege::N,摇蓝,ערש
328,Bett::N,床,מטה
329,Regal::N,架子,מדף
330,Kiste::N,箱子,תבה
331,Kiste::N,箱子,ארגז
332,Fenster::N,窗户,חלון
333,Tür::N,门,דלת
334,Tor::N,大门,שער
335,Zaun::N,篱笆,גדר
336,Dach::N,屋顶,גג
337,Leiter::N,梯子,סלם
338,Besen::N,扫帚,מטאטא
339,Spaten::N,铁锹,את
340,Schaufel::N,铁锹,את
341,Gabel::N,叉,מזלג
342,Löffel::N,食匙,כף
343,Messer::N,刀,סכין
344,Nagel::N,钉子,מסמר
345,Netz::N,网,רשת
346,Haken::N,钩子,וו
347,Haken::N,钩子,קרס
348,Griff::N,把柄,ידית
349,Schloss::N,锁,מנעול
350,Bild::N,图画,תמונה
351,Figur::N,人像,פסל
352,Puppe::N,娃娃,בבה
353,Beutel::N,袋子,שק
354,Bündel::N,捆,צרור
355,Tasche::N,手提包,שקית
356,Eimer::N,桶,דלי
357,Deckel::N,盖子,מכסה
358,Geschirr::N,餐具,כלים
359,Sack::N,袋子,שק
360,Tasse::N,杯子,ספל
361,Topf::N,锅,סיר
362,Kessel::N,水壶,קנקן
363,Essen::N,进餐,אכל
364,Essen::N,进餐,ארוחה
365,Nahrung::N,食物,הזנה
366,Nahrung::N,食物,תזונה
367,Speise::N,菜肴,מאכל
368,Speise::N,菜肴,ארוחה
369,Fleisch::N,肉,בשר
370,Getreide::N,谷物,דגן
371,Brei::N,粥,מחית
372,Brot::N,面包,לחם
373,Scheibe::N,片,עגול
374,Scheibe::N,片,פרוסה
375,Fett::N,脂肪,שמן
376,Butter::N,黄油,חמאה
377,Öl::N,油,שמן
378,Salz::N,盐,מלח
379,Suppe::N,汤,מרק
380,Honig::N,蜂蜜,דבש
381,Milch::N,奶,חלב
382,Tee::N,茶,תה
383,Leder::N,皮革,עור
384,Wolle::N,毛线,צמר
385,Stoff::N,织物,בד
386,Stoff::N,织物,אריג
387,Nadel::N,针,מחט
388,Faden::N,线,חוט
389,Knopf::N,纽扣,כפתור
390,Knoten::N,结,קשר
391,Farbe::N,颜色,צבע
392,Kleidung::N,衣服,בגדים
393,Hemd::N,衬衫,חלצה
394,Kragen::N,领子,צוארון
395,Ärmel::N,袖子,שרוול
396,Hose::N,裤子,מכנסים
397,Gürtel::N,腰带,חגורה
398,Mütze::N,帽子,כובע
399,Schuh::N,鞋,נעל
400,Stiefel::N,靴子,מגף
401,Ring::N,戒指,טבעת
402,Band::N,带子,סרט
403,Kamm::N,梳子,מסרק
404,Spiegel::N,镜子,מראה
405,Riemen::N,皮带,רצועה
406,Schnur::N,绳子,חבל
407,Leine::N,皮带,מושכות
408,Decke::N,被子,שמיכה
409,Kissen::N,软垫,כרית
410,Tuch::N,巾,צעיף
411,Handtuch::N,手巾,מגבת
412,Kraft::N,力,כוח
413,Stärke::N,力量,און
414,Gesundheit::N,健康,בריאות
415,Krankheit::N,病,מחלה
416,Schmerz::N,痛,כאב
417,Wunde::N,伤口,פציעה
418,Fieber::N,发烧,חם
419,Arznei::N,药,תרופה
420,Brücke::N,桥,גשר
421,Brunnen::N,井,באר
422,Weide::N,牧场,אחו
423,Weide::N,牧场,מרעה
424,Pfad::N,小路,שביל
425,Pfad::N,小路,מדרכה
426,Weg::N,路,דרך
427,Straße::N,街,כביש
428,Dorf::N,村庄,כפר
429,Stadt::N,城市,עיר
430,Brief::N,信,מכתב
431,Buch::N,书,ספר
432,Buchstabe::N,字母,אות
433,Zeitung::N,报纸,עתון
434,Leben::N,生命,חיים
435,Tod::N,死亡,מות
436,Grab::N,坟墓,קבר
437,Kirche::N,教堂,כנסיה
438,Sünde::N,罪,חטא
439,Gott::N,上帝,אל
440,Arbeiter::N,工人,פועל
441,Chef::N,上司,ראש
442,Chef::N,上司,מנהל
443,Meister::N,师傅,ממחה
444,Arzt::N,医生,רופא
445,Lehrer::N,教师,מורה
446,Geld::N,钱,כסף
447,Geschäft::N,交易,עסקה
448,Laden::N,商店,חנות
449,Preis::N,价格,מחיר
450,Ware::N,商品,סחורה
451,Nutzen::N,好处,תועלת
452,Reichtum::N,财富,עשר
453,Welt::N,世界,עולם
454,Land::N,国家,ארץ
455,Staat::N,国家,מדינה
456,König::N,国王,מלך
457,Macht::N,权力,כוח
458,Grenze::N,边界,גבול
459,Krieg::N,战争,מלחמה
460,Feind::N,敌人,אויב
461,Gewalt::N,暴力,אלימות
462,Kampf::N,战斗,קרב
463,Kampf::N,战斗,לחימה
464,Bogen[Waffe]::N,弓,קשת
465,Pfeil::N,箭,חץ
466,Gewehr::N,枪,רובה
467,Fehler::N,错误,טעות
468,Lüge::N,谎话,שקר
469,Schaden::N,损失,נזק
470,Unglück::N,不幸,מזל רע
471,Schuld::N,过错,אשמה
472,Alter::N,年龄,גיל
473,Schluss::N,结束,סיום
474,Zeit::N,时间,זמן
475,Tag::N,天,יום
476,Morgen::N,早晨,בקר
477,Mittag::N,中午,צהרים
478,Abend::N,晚上,ערב
479,Nacht::N,夜,לילה
480,Woche::N,星期,שבוע
481,Monat::N,月,חדש
482,Jahr::N,年,שנה
483,Frühling::N,春天,אביב
484,Sommer::N,夏天,קיץ
485,Herbst::N,秋天,סתו
486,Winter::N,冬天,חרף
487,Januar::N,一月,ינואר
488,Februar::N,二月,פברואר
489,März::N,三月,מרץ
490,April::N,四月,אפריל
491,Mai::N,五月,מאי
492,Juni::N,六月,יוני
493,Juli::N,七月,יולי
494,August::N,八月,אוגוסט
495,September::N,九月,ספטמבר
496,Oktober::N,十月,אוקטובר
497,November::N,十一月,נובמבר
498,Dezember::N,十二月,דצמבר
499,Montag::N,星期一,יום שני
500,Dienstag::N,星期二,יום שלישי
501,Mittwoch::N,星期三,יום רביעי
502,Donnerstag::N,星期四,יום חמישי
503,Freitag::N,星期五,יום ששי
504,Samstag::N,星期六,יום שבת
505,Sonntag::N,星期日,יום ראשון
506,groß::A,大,גדול
507,klein::A,小,קטן
508,lang::A,长,ארך
509,kurz::A,短,קצר
510,breit::A,宽,רחב
511,schmal::A,细长的,צר
512,dicht::A,密,צפוף
513,dick[Gegenstand]::A,厚,עבה
514,dünn::A,薄,דק
515,fein::A,细小,מעדן
516,fest::A,固体,מוצק
517,flach::A,平坦,שטוח
518,glatt::A,光滑,חלק
519,hart::A,硬,קשיח
520,weich::A,软,רך
521,rund::A,圆,עגל
522,spitz::A,尖,חד
523,scharf::A,锋利,חד
524,stumpf::A,钝,קהה
525,schwer::A,重,כבד
526,schön::A,美丽,יפה
527,heiß::A,烫,חם
528,warm::A,暖和,חם
529,kalt::A,冷,קר
530,kühl::A,凉,צונן
531,frisch::A,新鲜,טרי
532,feucht::A,潮湿,לח
533,nass::A,湿,רטוב
534,trocken::A,干,יבש
535,voll::A,满,מלא
536,leer::A,空,ריק
537,offen::A,敞开,פתוח
538,geschlossen::A,关闭,סגור
539,sauber::A,干净,נקי
540,schmutzig::A,肮脏,מלכלך
541,roh::A,生,חי
542,reif::A,成熟,בשל
543,lecker::A,好吃,טעים
544,süß::A,甜,מתוק
545,bitter::A,苦,מר
546,sauer::A,酸,חמוץ
547,hell::A,亮,בהיר
548,dunkel::A,阴暗,עמום
549,schwarz::A,黑,שחר
550,weiß::A,白,לבן
551,rot::A,红,אדם
552,gelb::A,黄,צהב
553,blau::A,蓝,כחל
554,grün::A,绿,ירק
555,grau::A,灰色,אפר
556,bunt::A,五彩,צבעוני
557,billig::A,便宜,זול
558,teuer::A,贵,יקר
559,wertvoll::A,贵重,יקר ערך
560,blind::A,瞎,עור
561,taub::A,聋,חרש
562,kräftig::A,强壮,חסן
563,stark::A,强壮,חזק
564,schwach::A,弱,חלש
565,fett::A,胖,שמן
566,schlank::A,苗条,רזה
567,hübsch::A,漂亮,יפה תאר
568,böse::A,邪恶,רשע
569,dumm::A,笨,טפש
570,faul::A,懒惰,עצלן
571,fleißig::A,勤奋,חרוץ
572,geizig::A,吝啬,קמצן
573,klug::A,聪明,נבון
574,klug::A,聪明,פקח
575,geschickt::A,灵巧,מימן
576,lieb::A,可爱,יקר
577,lieb::A,可爱,אהוב
578,lustig::A,快乐,עליז
579,sanft::A,柔和,עדין
580,hungrig::A,饥饿,רעב
581,krank::A,患病,חולה
582,nackt::A,裸体,ערום
583,traurig::A,悲哀,עצוב
584,lebendig::A,活,חי
585,gut::A,好,טוב
586,schlecht::A,坏,גרוע
587,richtig::A,正确,נכון
588,schlimm::A,糟糕,רע
589,wahr::A,真,אמתי
590,alt::A,旧,ישן
591,neu::A,新,חדש
592,ehemalig::A,以前,לשעבר
593,alt[Lebewesen]::A,老,זקן
594,jung::A,年轻,צעיר
595,arm::A,贫穷,עני
596,reich::A,富裕,עשיר
597,bekannt::A,出名,ידוע
598,berühmt::A,著名,מפרסם
599,fremd::A,陌生,זר
600,verschieden::A,不同,שונה
601,nah::A,近,קרוב
602,fern::A,遥远,רחוק
603,linker::A,左,שמאלי
604,rechter::A,右,ימין
605,anderer::A,别的,אחר
606,erster::A,第一,ראשון
607,zweiter::A,第二,שני
608,dritter::A,第三,שלישי
609,letzter::A,最后,אחרון
610,allein::ADV,单独,לבד
611,auf einmal::ADV,同时,בו-זמנית
612,zusammen::ADV,一起,ביחד
613,lange::ADV,许久,הרבה זמן
614,plötzlich::ADV,忽然,לפתע
615,plötzlich::ADV,忽然,פתאום
616,sofort::ADV,立刻,מיד
617,später::ADV,以后,לאחר זמן
618,später::ADV,以后,יותר מאחר
619,jetzt::ADV,现在,עכשיו
620,heute::ADV,今天,היום
621,morgen::ADV,明天,מחר
622,bald::ADV,即将,בקרוב
623,dann::ADV,然后,אחר-כך
624,gestern::ADV,昨天,אתמול
625,einst::ADV,曾经,לפנים
626,damals::ADV,当时,אז
627,danach::ADV,随后,אחר-כך
628,vorher::ADV,事先,לפני זה
629,zuerst::ADV,首先,קדם
630,einmal::ADV,一次,פעם
631,manchmal::ADV,有时,לפעמים
632,oft::ADV,时常,לעתים קרובות
633,immer::ADV,总是,תמיד
634,niemals::ADV,从未,אף פעם
635,hier::ADV,这里,כאן
636,hierhin::ADV,到这里,פה
637,von hier::ADV,由此,מפה
638,dort::ADV,那里,שם
639,dorthin::ADV,到那里,שם
640,geradeaus::ADV,一直往前,ישר
641,vorwärts::ADV,向前,קדימה
642,rückwärts::ADV,向后,לאחור
643,zurück::ADV,退后,בחזרה
644,zurück::ADV,退后,אחורנית
645,unten::ADV,下面,למטה
646,hinab::ADV,向下,למטה
647,oben::ADV,上面,מעל
648,oben::ADV,上面,למעלה
649,hinauf::ADV,向上,למעלה
650,überall::ADV,到处,בכל מקום
651,nicht::ADV,不,לא
652,ein wenig::ADV,一点儿,קצת
653,kaum::ADV,几乎不,בקשי
654,sehr::ADV,很,מאוד
655,so::ADV,如此,כך
656,so::ADV,如此,ככה
657,noch::ADV,还,עוד
658,noch::ADV,还,עדין
659,nur::ADV,只,רק
660,schon::ADV,已经,כבר
661,wieder::ADV,又,שוב
662,vor::PRP,在...面前,מול
663,hinter::PRP,在...背后,מאחורי
664,unter::PRP,在...下面,מתחת
665,durch::PRP,穿过,דרך
666,neben::PRP,在...旁,ליד
667,neben::PRP,在...旁,על-יד
668,zwischen::PRP,在...之间,בין
669,wegen::PRP,由于,בשל
670,wegen::PRP,由于,בגלל
671,dies::PRN,这,זה
672,das::PRN,那,זה
673,alles::PRN,一切,הכל
674,ich::PRN,我,אני
675,du::PRN,你,את
676,du::PRN,你,אתה
677,er::PRN,他,הוא
678,wir::PRN,我们,אנחנו
679,ihr::PRN,你们,לה
680,sie::PRN,她,הם
681,was::FPRN,什么,מה
682,wer::FPRN,谁,מי
683,wo::FADV,哪里,איפה
684,wohin::FADV,去哪里,לאן
685,wie::FADV,怎么,איך
686,warum::FADV,为什么,למה
687,wieviel::FNUM,多少,כמה
688,eins::NUM,一,אחד
689,zwei::NUM,二,שתים
690,drei::NUM,三,שלושה
691,vier::NUM,四,ארבעה
692,fünf::NUM,五,חמשה
693,sechs::NUM,六,ששה
694,sieben::NUM,七,שבעה
695,acht::NUM,八,שמונה
696,neun::NUM,九,תשעה
697,zehn::NUM,十,עשרה
698,elf::NUM,十一,אחת עשרה
699,zwölf::NUM,十二,שתים עשרה
700,zwanzig::NUM,二十,עשרים
701,dreißig::NUM,三十,שלושים
702,vierzig::NUM,四十,ארבעים
703,fünfzig::NUM,五十,חמשים
704,sechzig::NUM,六十,ששים
705,siebzig::NUM,七十,שבעים
706,achtzig::NUM,八十,שמונים
707,neunzig::NUM,九十,תשעים
708,hundert::NUM,百,מאה
709,tausend::NUM,千,אלף
710,und::CNJ,和,ו
711,oder::CNJ,或者,או
712,stehen::V,站,עמד
713,sitzen::V,坐,ישב
714,liegen::V,躺着,שכב
715,hängen::V,挂着,היה תלוי
716,werden::V,成为,הפך ל
717,passieren::V,发生,קרה
718,beginnen::V,开始,התחיל
719,enden::V,终止,הסתים
720,wechseln::V,变迁,השתנה
721,aufgehen[Sonne]::V,升起,זרח
722,untergehen[Sonne]::V,下落,שקע
723,scheinen[Sonne]::V,照射,בהק
724,donnern::V,打雷,רעם
725,wehen::V,飘扬,נשב
726,strömen::V,流,זרם
727,fließen::V,流动,זרם
728,sich drehen::V,转动,הסתובב
729,schwanken::V,摇摆,התנודד
730,schwingen::V,摇,התנענע
731,fallen::V,坠落,נפל
732,brennen::V,燃烧,בער
733,rauchen::V,冒烟,עשן
734,regnen::V,下雨,ירד גשם
735,gefrieren::V,结冰,קפא
736,tauen::V,融化,נמס
737,schmelzen::V,溶化,התיך
738,trocknen::V,变干,התיבש
739,sieden::V,煮,רתח
740,faulen::V,腐烂,רקב
741,verfaulen::V,腐烂,רקב
742,reißen::V,撕,נקרע
743,versinken::V,下沉,טבע
744,vergehen::V,流逝,עבר
745,erscheinen::V,出现,נגלה
746,erscheinen::V,出现,הופיע
747,verschwinden::V,消失,נעלם
748,sinken::V,下降,ירד
749,abnehmen::V,减少,הפחית
750,zunehmen::V,增加,רבה
751,steigen::V,上升,עלה
752,wachsen::V,生长,גדל
753,glänzen::V,发光,נצץ
754,glänzen::V,发光,בהק
755,funkeln::V,闪烁,נצנץ
756,lärmen::V,吵闹,רעש
757,läuten::V,响,צלצל
758,klingeln::V,按铃,צלצל
759,brausen::V,疾驶,געש
760,klingen::V,听起来,נשמע
761,bellen::V,吠,נבח
762,heulen::V,嗥,ילל
763,blasen::V,吹,נשף
764,pfeifen::V,吹口哨,שרק
765,schreien::V,叫喊,צעק
766,stöhnen::V,呻吟,נאנק
767,zittern::V,颤抖,רעד
768,leben::V,生存,חי
769,geboren werden::V,出生,נולד
770,atmen::V,呼吸,נשם
771,trinken::V,喝,שתה
772,essen::V,吃,אכל
773,schlucken::V,咽,בלע
774,müde werden::V,疲倦,התעיף
775,einschlafen::V,入睡,נרדם
776,schlafen::V,睡觉,ישן
777,aufwachen::V,睡醒,התעורר
778,aufstehen::V,起床,קם
779,sich erholen::V,休养,נפש
780,krank werden::V,生病,חלה
781,krank sein::V,生病,היה חולה
782,schmerzen::V,疼痛,כאב
783,husten::V,咳,השתעל
784,genesen::V,痊愈,הבריא
785,sterben::V,死,מת
786,umkommen::V,丧命,נספה
787,sich bewegen::V,移动,נע
788,sich rühren::V,动弹,זז
789,sich erheben::V,站起,קם
790,sich setzen::V,坐,התישב
791,hinfallen::V,跌倒,נפל
792,laufen::V,步行,הלך ברגל
793,schreiten::V,迈步,פסע
794,spazierengehen::V,散步,טיל
795,eilen::V,急忙,אץ
796,eilen::V,急忙,מהר
797,sich beeilen::V,赶快,מהר
798,sausen::V,疾驰,אץ
799,rennen::V,奔跑,רץ
800,springen::V,跳,קפץ
801,klettern::V,攀缘,טפס
802,schaukeln::V,荡秋千,התנדנד
803,kriechen::V,爬行,זחל
804,schwimmen::V,游泳,שחה
805,tauchen::V,潜水,צלל
806,rudern::V,划船,חתר
807,fahren::V,行驶,נסע
808,fliegen::V,飞,עף
809,gehen::V,走,הלך
810,weggehen::V,离去,עזב
811,abfahren::V,出发,יצא
812,anhalten::V,停住,עצר
813,hineingehen::V,进去,נכנס
814,eintreten::V,进入,נכנס
815,kommen::V,来,בא
816,ankommen::V,到达,הגיע
817,zurückkommen::V,回来,שב
818,zurückkommen::V,回来,חזר
819,bleiben::V,停留,נשאר
820,warten::V,等,חכה
821,warten::V,等,המתין
822,erwarten::V,等候,צפה
823,suchen::V,找,חפש
824,finden::V,找到,מצא
825,versuchen::V,尝试,נסה
826,vorbereiten::V,预备,הכין
827,lieben::V,爱,אהב
828,mögen::V,喜欢,אהב
829,lachen::V,笑,צחק
830,weinen::V,哭,בכה
831,schimpfen::V,骂,גער
832,sich ärgern::V,生气,זעם
833,sich ärgern::V,生气,כעס
834,sich fürchten::V,害怕,פחד
835,sich fürchten::V,害怕,חשש
836,fürchten::V,害怕,פחד מ
