,Concept_ID,kv,ce
53,Schlaf::N,он,наб
54,Traum::N,вӧт,гӏан
55,Himmel::N,небо,стигал
56,Sonne::N,шондi,малх
57,Mond::N,тӧлiсь,бутт
58,Stern::N,кӧдзыв,седа
59,Luft::N,ру,xӏаваъ
60,Wind::N,тӧв,мох
61,Welle::N,гы,тулгӏе
62,Wasser::N,ва,хи
63,Stein::N,из,тӏулг
64,Boden::N,му,цӏенкъа
65,Erde::N,му,латта
66,Staub::N,бус,чан
67,Rauch::N,тшын,кӏур
68,Funke::N,бичир,суй
69,Feuer::N,би,цӏе
70,Licht::N,би,серло
71,Schatten::N,вуджӧр,ӏиндагӏ
72,Wetter::N,погоддя,хенан хӏоттам
73,Nebel::N,туман,дохк
74,Wolke::N,кымӧр,марха
75,Regen::N,зэр,догӏа
76,Schnee::N,лым,ло
77,Eis::N,йы,ша
78,Frost::N,мороз,шело
79,Kälte::N,кӧдзыт,шело
80,Hitze::N,ӧд,йовхо
81,Raureif::N,кижа,йис
82,Regenbogen::N,енӧшка,стелаӏад
83,Donner::N,гым,ткъес
84,Strömung::N,визывтӧм,дӏаэхар
85,Strömung::N,визывтӧм,дӏасалелар
86,Tropfen::N,тёп,тӏадам
87,Schaum::N,быг,чопа
88,Schmutz::N,нять,хатт
89,See::N,ты,ӏам
90,Sumpf::N,арай,уьшал
91,Moor::N,нюр,уьшал
92,Wiese::N,видз,бай
93,Wald::N,вӧр,хьун
94,Hügel::N,мыльк,гу
95,Hügel::N,мыльк,шу
96,Hügel::N,мыльк,барз
97,Anhöhe::N,вывтас,акъари
98,Anhöhe::N,вылынін,акъари
99,Berg::N,керӧс,лам
100,Gipfel::N,йыв,бохь
101,Höhle::N,нора,хьех
102,Abhang::N,покат,басе
103,Quelle::N,больган,шовда
104,Bach::N,шор,татол
105,Fluss::N,ю,хи
106,Ufer::N,берег,хийист
107,Küste::N,берег,йист
108,Festland::N,му,латта
109,Meer::N,море,xӏорд
110,Bucht::N,курья,чож
111,Blume::N,цветок,зезаг
112,Gras::N,турун,буц
113,Wurzel::N,вуж,орам
114,Baum::N,пу,дитт
115,Stamm::N,мыр,гӏад
116,Stamm::N,мыр,тайпа
117,Stamm::N,кер,гӏад
118,Stamm::N,кер,тайпа
119,Rinde::N,кач,кевстиг
120,Ast::N,ув,га
121,Zweig::N,ув,га
122,Blatt::N,лист,гӏа
123,Birke::N,кыдз,дакх
124,Kiefer[Baum]::N,пожум,бага
125,Weide[Baum]::N,бадь,дак
126,Tanne::N,кӧз,база
127,Horn::N,сюр,маӏа
128,Feder::N,гӧн,пелаг
129,Fell::N,кучик,цӏока
130,Flügel::N,борд,тӏам
131,Klaue::N,гыж,мӏара
132,Kralle::N,кабыр,тlод
133,Schwanz::N,бӧж,цӏога
134,Ei::N,кольть,xӏoa
135,Nest::N,поз,бен
136,Bau::N,осьта,lуьрг
137,Bau::N,нора,lуьрг
138,Tier::N,зверь,дийнат
139,Herde::N,гурт,жа
140,Kuh::N,мӧс,етт
141,Bulle::N,ӧшка,сту
142,Pferd::N,вӧв,говр
143,Schaf::N,баля,жий
144,Schaf::N,баля,уьстагӏ
145,Schwein::N,порсь,хьакха
146,Hund::N,пон,жӏаьла
147,Katze::N,кань,цициг
148,Bär::N,ош,ча
149,Eichhörnchen::N,ур,тарсал
150,Elch::N,вӧр мӧс,сай
151,Fuchs::N,руч,цхьогал
152,Hase::N,кӧч,пхьагал
153,Maus::N,шыр,дахка
154,Wolf::N,кӧин,борз
155,Vogel::N,кай,олхазар
156,Schwarm::N,стая,
157,Schwarm::N,чукӧр,
158,Huhn::N,курӧг,котам
159,Hahn::N,петух,нӏаьна
160,Hahn::N,петух,боргӏал
161,Hahn::N,ай курӧг,нӏаьна
162,Hahn::N,ай курӧг,боргӏал
163,Gans::N,дзодзог,гӏаз
164,Adler::N,куч,aьрзу
165,Adler::N,кутш,aьрзу
166,Ente::N,утка,бад
167,Eule::N,тупка,бухӏа
168,Kranich::N,тури,гӏаргӏули
169,Krähe::N,рака,къиг
170,Kuckuck::N,кӧк,aттйокх
171,Schwan::N,юсь,гӏургӏаз
172,Fisch::N,чери,чӏара
173,Barsch::N,ёкыш,окунь
174,Hecht::N,сирпинь,гӏазкхийн чӏара
175,Schlange[Tier]::N,змей,лаьхьа
176,Wurm::N,номыр,нӏаьна
177,Spinne::N,черань,гезг
178,Ameise::N,кӧдзывкар,зингат
179,Laus::N,ляпа той,меза
180,Laus::N,ляпа той,гӏениг
181,Mücke::N,ном,чуьрк
182,Fliege::N,гут,моза
183,Schmetterling::N,бабыв,полла
184,Beere::N,ягӧд,цӏазам
185,Apfel::N,яблоко,ӏаж
186,Pilz::N,тшак,жӏаьлин нускал
187,Zwiebel::N,грез,xох
188,Saat::N,кӧдзыс,чlу
189,Korn::N,сю,буьртиг
190,Heu::N,турун,йол
191,Schale::N,кыш,пардо
192,Schale::N,киль,пардо
193,Grube::N,яма,ор
194,Falle::N,нальк,кӏело
195,Falle::N,кляпча,кӏело
196,Schlinge::N,лӧч,
197,Spur::N,туй,лар
198,Asche::N,пӧим,чим
199,Dreck::N,нять,мода
200,Eisen::N,кӧрт,эчиг
201,Gold::N,зарни,деши
202,Silber::N,язісь,дети
203,Kohle::N,шом,кӏора
204,Kohle::N,уголь,кӏора
205,Glas::N,стекло,aнгали
206,Lehm::N,сёй,поппар
207,Sand::N,лыа,гӏум
208,Mensch::N,морт,адам
209,Mann::N,мужик,майра
210,Frau::N,инька,зуда
211,Kind::N,кага,бер
212,Junge::N,зонка,жимха
213,Mädchen::N,нывкаок,жима йоӏ
214,Familie::N,семья,доьзал
215,Großvater::N,дед,ненада
216,Großmutter::N,баб,денана
217,Eltern::N,ай-мам,да-нана
218,Vater::N,ай,да
219,Mutter::N,мам,нана
220,Sohn::N,зон,кӏант
221,Tochter::N,ныв,йоӏ
222,Bruder::N,вон,ваша
223,Schwester::N,сой,йиша
224,Onkel::N,дядь,деваша
225,Tante::N,айӧлӧн сой,дейиша
226,Tante::N,ичинь,дейиша
227,Ehemann::N,жӧник,майра
228,Ehefrau::N,инь,зуда
229,Freude::N,гаж,самукъа
230,Freude::N,гаж,хазахетар
231,Freude::N,радъялӧм,самукъа
232,Freude::N,радъялӧм,хазахетар
233,Gelächter::N,сералӧм,белам
234,Glück::N,мичлун,ирс
235,Kummer::N,шог,бала
236,Wunsch::N,мӧдӧм,лаам
237,Wunsch::N,охотитӧм,лаам
238,Lust::N,охота,лаам
239,Geist::N,лов,са
240,Gedanke::N,дума,ойла
241,Gedächtnis::N,тӧдвыв,диццадалар
242,Verstand::N,вежӧр,хьекъал
243,Sinn::N,ылӧс,маьӏна
244,Grund::N,мог,бахьана
245,Wahrheit::N,правда,бакъдерг
246,Gespräch::N,сёрни,къамел
247,Märchen::N,сказка,туьйра
248,Erzählung::N,висьт,дийцар
249,Nachricht::N,юӧр,хаам
250,Nachricht::N,висьталӧм,хаам
251,Neuigkeit::N,новость,керланиг
252,Name::N,ним,цӏе
253,Rätsel::N,загадка,хӏетал-метал
254,Rede::N,сёрни,къамел
255,Sprache::N,кыв,мотт
256,Stimme::N,голос,aз
257,Wort::N,кыв,дош
258,Zeichen::N,пас,билгало
259,Ruf::N,чуксӧм,кхайкхар
260,Ruf::N,чукӧстӧм,кхайкхар
261,Lärm::N,шум,гӏовгӏа
262,Laut::N,шы,аз
263,Ton::N,гор,aз
264,Lied::N,сьыланкыв,илли
265,Ruhe::N,спокой,тийналла
266,Leute::N,йӧз,нах
267,Volk::N,йӧз,халкъ
268,Volk::N,народ,халкъ
269,Arbeit::N,удж,болх
270,Gast::N,гӧсь,хьаша
271,Geschenk::N,гӧснеч,совгӏат
272,Geschenk::N,подарок,совгӏат
273,Spiel::N,орсӧм,ловзар
274,Gesellschaft::N,компания,юкъаралла
275,Hilfe::N,отсӧт,гӏо
276,Freund::N,модз,доттагl
277,Freund::N,дружок,доттагl
278,Kamerad::N,тӧдса,накъост
279,Angelegenheit::N,дело,гӏуллакх
280,Anzahl::N,лыд,терахь
281,Art::N,пӧлӧс,
282,Stück::N,тор,юьхк
283,Teil::N,юкӧм,дакъа
284,Hälfte::N,джын,ах
285,Kreis::N,круг,го
286,Kreuz::N,перна,жӏара
287,Linie::N,визь,сиз
288,Strich::N,кырӧв,сиз
289,Abstand::N,колас,юкъ
290,Entfernung::N,ылына,
291,Gegend::N,места,мeттиг
292,Platz::N,места,майда
293,Ort::N,места,меттиг
294,Seite::N,ладор,aгӏo
295,Mitte::N,шӧр,юкъ
296,Gegenstand::N,тор,хӏума
297,Sache::N,тор,хӏума
298,Rand::N,дор,йист
299,Kante::N,ордлы,йист
300,Ecke::N,пельӧс,са
301,Spitze::N,йыв,ралла
302,Ende::N,йыв,юьхьиг
303,Loch::N,осьта,ӏуьрг
304,Winkel::N,пельӧс,са
305,Muster::N,сер,дагар
306,Muster::N,сер,тӏамар
307,Größe::N,ыжда,барам
308,Länge::N,кузя,йохалла
309,Höhe::N,сувда,локхалла
310,Höhe::N,вылына,локхалла
311,Gewicht::N,сьӧкта,йозалла
312,Haufen::N,куча,сал
313,Haufen::N,куча,оьла
314,Reihe::N,лёдз,рагӏ
315,Reihe::N,лёдз,могӏа
316,Boot::N,пыж,кема
317,Ruder::N,пелыс,пийсиг
318,Schlitten::N,додь,салаз
319,Ski::N,лямпа,когсалаз
320,Lagerfeuer::N,бипур,цӏе
321,Last::N,тягота,дукъ
322,Gang::N,мунӧм,лелар
323,Schritt::N,вожмӧв,гӏулч
324,Norden::N,ой,къилбаседе
325,Süden::N,лун,къилбе
326,Westen::N,рытвыв,малхбузе
327,Osten::N,асыв,малхбале
328,Holz::N,пу,дечиг
329,Brett::N,пӧв,у
330,Platte::N,плита,у
331,Stütze::N,пика,гӏopтоp
332,Stange::N,зор,гӏуркх
333,Stange::N,потш,гӏуркх
334,Stock::N,бедь,ӏаса
335,Stab::N,шест,гӏаж
336,Rohr::N,труба,биргӏа
337,Haus::N,керку,цӏа
338,Heim::N,керку,кхерч
339,Ofen::N,пӧжавны,кхерч
340,Fußboden::N,джодж,цӏенкъа
341,Tisch::N,пызан,шун
342,Stuhl::N,стул,гӏант
343,Wiege::N,зыбка,ага
344,Bett::N,кровать,маьнга
345,Regal::N,джадж,терхи
346,Kiste::N,ящик,яьшка
347,Fenster::N,ӧшын,кор
348,Tür::N,ыбӧс,неӏ
349,Tor::N,ворота,ков
350,Zaun::N,забор,керт
351,Dach::N,крыша,тхов
352,Leiter::N,лиснич,лами
353,Besen::N,рос,нуй
354,Spaten::N,зыр,бел
355,Schaufel::N,зыр,аьшкал
356,Gabel::N,вила,мӏара
357,Löffel::N,пань,ӏайг
358,Messer::N,пурт,урс
359,Nagel::N,кӧрттув,хьостам
360,Netz::N,кыйӧт,бой
361,Haken::N,ем,мӏара
362,Griff::N,пу,
363,Schloss::N,замок,чӏега
364,Bild::N,картина,сурт
365,Figur::N,мыгӧр,
366,Puppe::N,акань,тайниг
367,Beutel::N,мешӧк,гали
368,Bündel::N,нин,кочар
369,Tasche::N,сумка,тӏоьрмиг
370,Eimer::N,ведра,чийлик
371,Deckel::N,вевт,негӏар
372,Geschirr::N,доз,пхьегӏа
373,Geschirr::N,бекӧрпань,пхьегӏа
374,Sack::N,мешӧк,гали
375,Tasse::N,бекӧр,кад
376,Topf::N,кастрюля,яй
377,Kessel::N,пӧрт,яй
378,Essen::N,сёйӧм,юург
379,Nahrung::N,вердан,кхача
380,Speise::N,сёян,юург
381,Fleisch::N,яй,жижиг
382,Getreide::N,сю,буьртиг
383,Brei::N,каша,xудар
384,Brot::N,нянь,бепиг
385,Brot::N,нянь,кхаллар
386,Scheibe::N,шӧрӧм,цастар
387,Fett::N,гос,мохь
388,Butter::N,ви,налха
389,Öl::N,ви,даьтта
390,Salz::N,сов,туьха
391,Suppe::N,шыд,чорпа
392,Honig::N,ма,моз
393,Milch::N,йӧв,шура
394,Tee::N,чай,чай
395,Leder::N,кучик,цӏока
396,Wolle::N,гӧн,тӏapгӏa
397,Stoff::N,дӧра,кӏади
398,Nadel::N,ем,маха
399,Faden::N,сунис,тай
400,Knopf::N,кизь,нуьйда
401,Knoten::N,узӧв,шад
402,Knoten::N,гӧрӧд,шад
403,Farbe::N,краска,сир
404,Farbe::N,краска,басар
405,Kleidung::N,паськӧм,бедар
406,Hemd::N,йӧрнӧс,коч
407,Kragen::N,воротник,кач
408,Ärmel::N,сос,пхьош
409,Hose::N,вешьян,хеча
410,Gürtel::N,йи,доьхка
411,Mütze::N,шапка,куй
412,Schuh::N,ботинки,мача
413,Stiefel::N,сапог,этка
414,Ring::N,чунькытш,чӏуг
415,Band::N,ленточка,лента
416,Kamm::N,сынан,ехк
417,Spiegel::N,зеркало,куьзга
418,Riemen::N,ремень,доьхка
419,Schnur::N,гез,муш
420,Leine::N,повод,кочатосу доьхка
421,Decke::N,одеяло,юргӏа
422,Kissen::N,подушка,гIайба
423,Tuch::N,чышьян,исхар
424,Handtuch::N,чышкӧт,гата
425,Kraft::N,прак,гӏора
426,Stärke::N,вын,гӏап
427,Gesundheit::N,здоровье,могашалла
428,Krankheit::N,шог,цамгар
429,Schmerz::N,зубыт,лазар
430,Wunde::N,рана,чов
431,Fieber::N,лёк тресся,xорша
432,Fieber::N,кынтан шогӧт,xорша
433,Arznei::N,лекарство,молха
434,Brücke::N,пос,тӏай
435,Brunnen::N,колодец ,гӏу
436,Weide::N,пода йирсян,дак
437,Pfad::N,туй,тача
438,Weg::N,туй,некъ
439,Straße::N,туй,урам
440,Dorf::N,деревня,юрт
441,Stadt::N,город,гӏала
442,Brief::N,гижӧт,кехат
443,Buch::N,книга,жайна
444,Buchstabe::N,буква,элп
445,Zeitung::N,газета,газет
446,Leben::N,олан,дахар
447,Tod::N,кулӧм,далар
448,Tod::N,кулӧм,ӏожалла
449,Grab::N,гу,каш
450,Kirche::N,вичку,килс
451,Sünde::N,грек,къа
452,Gott::N,ен,дела
453,Arbeiter::N,уджалiсь,белхало
454,Chef::N,начальник,хьаькам
455,Meister::N,мастер,говзанча
456,Arzt::N,врач,лор
457,Lehrer::N,велӧтісь,хьехархо
458,Geld::N,деньга,aхча
459,Geschäft::N,удж,туька
460,Laden::N,магазин,туька
461,Preis::N,дон,мах
462,Ware::N,товар,хlума
463,Nutzen::N,путь,пайда
464,Reichtum::N,богатство,хьал
465,Welt::N,му,дуьне
466,Land::N,страна,мохк
467,Staat::N,государство,пачхьалкх
468,König::N,кан,паччахь
469,Macht::N,власть,ӏедал
470,Grenze::N,граница,доза
471,Krieg::N,война,тӏом
472,Feind::N,враг,мостагӏ
473,Kampf::N,нярасьӧм,къийсам
474,Kampf::N,вермасьӧм,къийсам
475,Bogen[Waffe]::N,лук,
476,Pfeil::N,ньӧв,пха
477,Gewehr::N,ружьё,топ
478,Fehler::N,ошибка,гӏалат
479,Lüge::N,ылӧтӧм,аьшпаш
480,Lüge::N,пӧрьялӧм,аьшпаш
481,Schaden::N,лёк,зен
482,Unglück::N,пик,бала
483,Unglück::N,оказзё,бала
484,Schuld::N,вина,бехк
485,Schluss::N,ком,чакхе
486,Zeit::N,кад,хан
487,Tag::N,лун,де
488,Morgen::N,асыв,ӏуьйре
489,Mittag::N,луншӧр кад,делкъе
490,Abend::N,рыт,суьйре
491,Nacht::N,ой,буьйса
492,Woche::N,неделя,кӏира
493,Monat::N,тӧлicь,бутт
494,Jahr::N,год,шо
495,Frühling::N,тулыс,бӏаьсте
496,Sommer::N,гожум,аьхке
497,Herbst::N,ар,гуьйре
498,Winter::N,тӧв,ӏа
499,Januar::N,январ,январь
500,Februar::N,февраль,февраль
501,März::N,март,март
502,April::N,апрель,апрель
503,Mai::N,май,май
504,Juni::N,юнь,июнь
505,Juli::N,юль,июль
506,August::N,август,август
507,September::N,сентяб,сентябрь
508,Oktober::N,октяб,октябрь
509,November::N,нояб,ноябрь
510,Dezember::N,декаб,декабрь
511,Montag::N,вильлун,оршот
512,Dienstag::N,мӧдӧдзлун,шинара
513,Mittwoch::N,шӧрлун,кхаара
514,Donnerstag::N,нёльӧдзлун,еара
515,Freitag::N,витӧдзлун,пӏераска
516,Samstag::N,пывсянлун,шот
517,Sonntag::N,кресення,кӏиранде
518,groß::A,ыджыт,доккха
519,klein::A,учӧтик,кегий
520,lang::A,кузь,еха
521,kurz::A,дженыт,доца
522,breit::A,ота,шуьйра
523,schmal::A,векнит,готта
524,dicht::A,тшӧк,луьста
525,dick[Gegenstand]::A,кыз,стомма
526,dünn::A,вӧснит,дуткъа
527,fein::A,вӧснит,ховха
528,fest::A,крепыт,чӏогӏа
529,flach::A,лапкӧса,чӏапа
530,glatt::A,волькыт,шера
531,hart::A,чӧрыт,чӏогӏa
532,weich::A,небыт,кӏеда
533,rund::A,гӧгрӧса,горга
534,spitz::A,ёся,ира
535,scharf::A,лэчыт,ира
536,stumpf::A,ныж,аьртa
537,schwer::A,сьӧкыт,деза
538,schön::A,басӧк,хаза
539,heiß::A,жар,довха
540,warm::A,шоныт,довха
541,kalt::A,кӧдзыт,шийла
542,kühl::A,сайкыт,шийла
543,frisch::A,виль,керла
544,feucht::A,вакодь,тӏуьна
545,nass::A,ва,тӏеда
546,trocken::A,кӧс,eкъа
547,voll::A,тыра,дуьзна
548,leer::A,тыртӧм,яьсса
549,offen::A,оссьӧм,диллина
550,geschlossen::A,игана,дӏакъевлина
551,geschlossen::A,игана,дӏачӏагӏдина
552,geschlossen::A,пӧдана,дӏакъевлина
553,geschlossen::A,пӧдана,дӏачӏагӏдина
554,sauber::A,сӧдз,цӏена
555,sauber::A,сӧстӧм,цӏена
556,schmutzig::A,нятьӧсь,боьха
557,roh::A,путӧм,буьйда
558,reif::A,кисьмалӧм,хилла
559,lecker::A,кӧра ,чоме
560,süß::A,чӧскыт,мерза
561,bitter::A,курыт,къаьхьа
562,sauer::A,шӧма ,муьста
563,hell::A,югыт,сирла
564,dunkel::A,пемыт,бодане
565,schwarz::A,сьӧд,ӏаьржа
566,weiß::A,чочком,кӏайн
567,rot::A,гӧрд,цӏен
568,gelb::A,веж,можа
569,blau::A,лӧз,сийна
570,grün::A,веж,баьццара
571,grau::A,руд,cира
572,grau::A,руд,мокха
573,grau::A,бусӧй,cира
574,grau::A,бусӧй,мокха
575,bunt::A,быдрӧма,къорза
576,billig::A,донтӧм,дораха
577,teuer::A,дона,деза
578,wertvoll::A,дона,мехала
579,blind::A,синтӧм,бӏаьрзе
580,taub::A,пельтӧм,къора
581,kräftig::A,вына,нуьцкъала
582,stark::A,вына,зоьртала
583,stark::A,вына,нуьцкъала
584,schwach::A,некодя,гӏорасиза
585,fett::A,госа,дерстана
586,schlank::A,статя,куц долу
587,hübsch::A,басӧк,хаза
588,böse::A,лёк,вон
589,dumm::A,бӧбӧв,сонта
590,dumm::A,вежӧртӧм,сонта
591,faul::A,дыш,мало ен
592,fleißig::A,уджалicь,тӏера
593,geizig::A,жикмӧра,пис
594,geizig::A,жикмӧра,сутара
595,geizig::A,горшаліcь,пис
596,geizig::A,горшаліcь,сутара
597,klug::A,авья,хьекъале
598,klug::A,вежӧра,хьекъале
599,geschickt::A,кипода,тӏахъаьлла
600,lieb::A,муса,хьоме
601,lieb::A,дзулиньӧй,хьоме
602,lustig::A,гажа,самукъане
603,sanft::A,лебезнӧй,кlеда
604,hungrig::A,тшыг,меца
605,krank::A,шогалiсь,цомгуш долу
606,nackt::A,куш,дерзана
607,traurig::A,жугыль,самукъане воцу
608,lebendig::A,ловья,дийна
609,gut::A,бур,дика
610,schlecht::A,умӧль,вон
611,schlimm::A,нештӧм,вон
612,alt::A,важ,къена
613,neu::A,виль,керла
614,ehemalig::A,вӧвлӧм,хилла
615,alt[Lebewesen]::A,года,къена
616,alt[Lebewesen]::A,годдэза,къена
617,jung::A,том,къона
618,arm::A,гов,къен
619,arm::A,беднӧй,къен
620,reich::A,эма,хьоле
621,bekannt::A,тӧдса,девзаш долу
622,fremd::A,чужӧй,нехан
623,verschieden::A,быдкодь,тайп-тайпанара
624,nah::A,матiсь,гергара
625,fern::A,ылicь,гена
626,fern::A,ылicь,генара
627,linker::A,шульга,аьрру
628,rechter::A,веськытланись,аьтту
629,anderer::A,мукӧд,кхин
630,erster::A,медодзза,хьалхара
631,zweiter::A,кыкӧт,шолгIа
632,dritter::A,куимӧт,кхоалгӏа
633,dritter::A,куимӧдз,кхоалгӏа
634,letzter::A,бӧрья,тӏаьххьара
635,letzter::A,мёдбӧрья,тӏаьххьара
636,auf einmal::ADV,тшӧтш,цу сохьтта
637,zusammen::ADV,ӧтлаын,цхьана
638,lange::ADV,дыр,дукха
639,plötzlich::ADV,друг,цIеххьана
640,sofort::ADV,тшӧтш,цу сохьтта
641,später::ADV,медбӧрын,тӏаьхьо
642,jetzt::ADV,ӧні,хӏинца
643,heute::ADV,талун,тахана
644,morgen::ADV,ашын,кхана
645,bald::ADV,чожа,кеста
646,dann::ADV,сыбӧрын,тӏаккха
647,gestern::ADV,тӧн,селхана
648,einst::ADV,ӧтпыр,цкъа
649,damals::ADV,сэк,хӏетахьь
650,damals::ADV,сэки,хӏетахьь
651,danach::ADV,сэсся,тӏаккха
652,vorher::ADV,одзжык,хьалхa
653,zuerst::ADV,наперво,хьалха
654,einmal::ADV,ӧтпыр,цкъа
655,manchmal::ADV,мукӧдпыр,цкъаццкъа
656,oft::ADV,-лы-,кест-кеста
657,immer::ADV,быдпыр,даим
658,immer::ADV,быдпырся,даим
659,niemals::ADV,некӧр,цкъа а
660,hier::ADV,татӧн,кхузахь
661,hierhin::ADV,татчӧ,кхуза
662,von hier::ADV,тасянь,кхузара
663,dort::ADV,сэтӧн,цигахь
664,dorthin::ADV,сэтчин,цига
665,geradeaus::ADV,веськыта,нийса дӏа
666,vorwärts::ADV,одзӧ,хьалха
667,rückwärts::ADV,бӧр,юха
668,zurück::ADV,бӧр,юха
669,unten::ADV,увтын,лахахь
670,hinab::ADV,увтас,охьа
671,oben::ADV,вевдӧрас,лакхахь
672,hinauf::ADV,вывлань,хьала
673,hinauf::ADV,вывланьӧ,хьала
674,überall::ADV,быдлан,массанхьа
675,nicht::ADV,ог,ца
676,ein wenig::ADV,-ышт,кӏеззиг
677,ein wenig::ADV,невна,кӏеззиг
678,kaum::ADV,ӧдва,халла
679,sehr::ADV,вывтi,вуно
680,so::ADV,сiдз,
681,noch::ADV,эшӧ,кхин
682,nur::ADV,только,бен ...ца
683,schon::ADV,ни,хӏинцале
684,wieder::ADV,бӧра,юха а
685,vergebens::ADV,весись,эрна
686,vor::PRP,одзас,хьалха
687,hinter::PRP,бӧрӧ,тӏехьа
688,unter::PRP,увтын,кIелахь
689,durch::PRP,пыр,чекх
690,neben::PRP,бокам,юххе
691,neben::PRP,боксиным,юххе
692,zwischen::PRP,коласас,юккъехь
693,wegen::PRP,понда,дуьхьа
694,dies::PRN,эта,и
695,dies::PRN,эта,иза
696,das::PRN,сiя,и
697,das::PRN,сiя,иза
698,alles::PRN,быдӧс,дерриг
699,ich::PRN,ме,cо
700,du::PRN,тэ,хьо
701,er::PRN,сiя,и
702,er::PRN,сiя,иза
703,wir::PRN,мийӧ,тхо
704,wir::PRN,мийӧ,вай
705,ihr::PRN,ті,шу
706,sie::PRN,нія,уьш
707,was::FPRN,мый,хӏун
708,wer::FPRN,кин,мила
709,wo::FADV,кытӧн,мичaхь
710,wohin::FADV,кытчӧ,мича
711,wie::FADV,дзик,муха
712,warum::FADV,мыля,хӏунда
713,warum::FADV,мыйсянь,хӏунда
714,wieviel::FNUM,мымда,мел
715,wieviel::FNUM,мымда,маса
716,eins::NUM,ӧт,цхьаъ
717,zwei::NUM,кык,шиъ
718,drei::NUM,куим,кхоъ
719,vier::NUM,нёль,диъ
720,fünf::NUM,вит,пхиъ
721,sechs::NUM,квать,ялх
722,sieben::NUM,сизим,ворхӏ
723,acht::NUM,кыкьямыс,бархӏ
724,neun::NUM,ӧкмыс,исс
725,zehn::NUM,дас,итт
726,elf::NUM,дасотік,цхьайтта
727,zwölf::NUM,даскык,шийтта
728,zwanzig::NUM,кыкдас,ткъа
729,dreißig::NUM,куимдас,ткъе итт
730,vierzig::NUM,нёльдас,шовзткъа
731,fünfzig::NUM,витдас,шовзткъе итт
732,sechzig::NUM,кватьдас,кхузткъа
733,siebzig::NUM,сизимдас,кхузткъе итт
734,achtzig::NUM,кыкьямысдас,дезткъа
735,neunzig::NUM,ӧкмысдас,дезткъе итт
736,hundert::NUM,сто,бӏе
737,tausend::NUM,тысяча,эзар
738,und::CNJ,и,a
739,und::CNJ,да,a
740,oder::CNJ,или,я
741,stehen::V,сулавны,латта
742,sitzen::V,пукавны,хиъна ӏан
743,liegen::V,куйлыны,ӏилла
744,hängen::V,ӧшавны,кхаза
745,werden::V,лоны,хила
746,passieren::V,аркмыны,хила
747,beginnen::V,петны,доло
748,enden::V,-сь,дӏадерза
749,enden::V,бырны,дӏадерза
750,wechseln::V,вежсьыны,хийца
751,aufgehen[Sonne]::V,петавны,кхета
752,untergehen[Sonne]::V,пуксьыны,чубуза
753,scheinen[Sonne]::V,югьявны,серло яла
754,donnern::V,гымавны,къекъа
755,wehen::V,пӧлявны,хьекха
756,strömen::V,киссьыны,эха
757,fließen::V,визывтны,охьаэха
758,sich drehen::V,бергавны,хьийза
759,schwanken::V,кӧвьясьны,леста
760,schwingen::V,дюттясьны,лесто
761,fallen::V,усьны,охьакхета
762,brennen::V,сотчыны,дага
763,rauchen::V,тшынасьны,оза
764,regnen::V,зэрны,догlа догlу
765,gefrieren::V,гегдыны,гӏоро
766,tauen::V,сывны,даша
767,schmelzen::V,сывны,лала
768,trocknen::V,косьмыны,дакъо
769,sieden::V,пизьны,кхехка
770,faulen::V,нёльзьыны,дахкадала
771,verfaulen::V,тӧрмыны,дахкадала
