,Concept_ID,tt,no
239,Eltern::N,ата-ана,foreldre
240,Vater::N,ата,far
241,Mutter::N,ана,mor
242,Sohn::N,ул,sønn
243,Tochter::N,кыз,datter
244,Bruder::N,кардәш,bror
245,Schwester::N,апа,søster
246,Schwester::N,сеңел,søster
247,Onkel::N,дәдә,onkel
248,Onkel::N,дәдәй,onkel
249,Tante::N,түти,tante
250,Tante::N,тәтәй,tante
251,Ehemann::N,ир,ektemann
252,Ehefrau::N,хатын,hustru
253,Freude::N,сөенеч,glede
254,Gelächter::N,көлү,latter
255,Gelächter::N,көлеш,latter
256,Glück::N,бәхет,lykke
257,Kummer::N,хәсрәт,sorg
258,Wunsch::N,теләк,ønske
259,Lust::N,теләк,lyst
260,Lust::N,теләү,lyst
261,Geist::N,рух,ånd
262,Gedanke::N,уй,tanke
263,Gedanke::N,фикер,tanke
264,Gedächtnis::N,хәтер,minne
265,Gedächtnis::N,хәтер,hukommelse
266,Verstand::N,акыл,forstand
267,Sinn::N,мәгънә,mening
268,Sinn::N,мәгънә,betydning
269,Grund::N,сәбәп,grunn
270,Wahrheit::N,хак,sannhet
271,Gespräch::N,әңгәмә,samtale
272,Märchen::N,әкият,eventyr
273,Erzählung::N,хикәя,fortelling
274,Nachricht::N,хәбәр,melding
275,Neuigkeit::N,яңалык,nyhet
276,Name::N,исем,navn
277,Rätsel::N,табышмак,gåte
278,Rede::N,нотык,tale
279,Sprache::N,тел,språk
280,Stimme::N,тавыш,stemme
281,Wort::N,сүз,ord
282,Zeichen::N,ишарә,tegn
283,Ruf::N,дәшү,rop
284,Lärm::N,шау,bråk
285,Laut::N,аваз,lyd
286,Ton::N,шалтырату,tone
287,Lied::N,җыр,vise
288,Ruhe::N,тынлык,ro
289,Leute::N,халык,folk
290,Volk::N,халык,folk
291,Arbeit::N,эш,arbeid
292,Arbeit::N,хезмәт,arbeid
293,Gast::N,кунак,gjest
294,Geschenk::N,бүләк,gave
295,Spiel::N,уен,lek
296,Spiel::N,уен,spill
297,Gesellschaft::N,җәмгыять,selskap
298,Hilfe::N,ярдәм,hjelp
299,Hilfe::N,булышлык,hjelp
300,Freund::N,дус,venn
301,Kamerad::N,иптәш,kamerat
302,Angelegenheit::N,эш,sak
303,Angelegenheit::N,эш,anliggende
304,Anzahl::N,микъдар,antall
305,Art::N,төр,art
306,Art::N,төр,slag
307,Stück::N,кисәк,stykke
308,Teil::N,өлеш,del
309,Hälfte::N,ярым,halvdel
310,Kreis::N,түгәрәк,ring
311,Kreis::N,түгәрәк,sirkel
312,Kreuz::N,хач,kors
313,Kreuz::N,хач,kryss
314,Kreuz::N,тәре,kors
315,Kreuz::N,тәре,kryss
316,Linie::N,сызык,linje
317,Strich::N,сызык,strek
318,Abstand::N,ара,avstand
319,Entfernung::N,ераклык,avstand
320,Gegend::N,урын,strøk
321,Platz::N,бушлык,plass
322,Ort::N,урын,sted
323,Seite::N,як,side
324,Mitte::N,урта,midte
325,Gegenstand::N,нәрсә,gjenstand
326,Sache::N,нәрсә,sak
327,Rand::N,чит,rand
328,Kante::N,кырый,kant
329,Ecke::N,почмак,hjørne
330,Spitze::N,оч,spiss
331,Ende::N,азак,ende
332,Loch::N,тишек,hull
333,Winkel::N,почмак,vinkel
334,Muster::N,парча,mønster
335,Größe::N,зурлык,størrelse
336,Länge::N,озынлык,lengde
337,Höhe::N,биеклек,høyde
338,Gewicht::N,авырлык,vekt
339,Menge::N,микъдар,mengde
340,Haufen::N,өем,haug
341,Haufen::N,өем,bunke
342,Reihe::N,рәт,rekke
343,Boot::N,каек,båt
344,Boot::N,көймә,båt
345,Ruder::N,ишкәк,åre
346,Schlitten::N,чана,slede
347,Schlitten::N,чана,kjelke
348,Ski::N,чаңгы,ski
349,Lagerfeuer::N,костёр,leirbål
350,Last::N,йөк,bør
351,Last::N,йөк,last
352,Gang::N,йөреш,gang
353,Schritt::N,адым,steg
354,Schritt::N,адым,skritt
355,Norden::N,төньяк,nord
356,Süden::N,көньяк,sør
357,Westen::N,көнбатыш,vest
358,Osten::N,шәрык,øst
359,Osten::N,көнчыгыш,øst
360,Holz::N,агач,tre
361,Brett::N,такта,fjøl
362,Brett::N,такта,brett
363,Platte::N,плитә,plate
364,Stütze::N,таяу,støtte
365,Stange::N,колга,stang
366,Stock::N,таяк,pinne
367,Stab::N,таяк,stav
368,Stab::N,таяк,kjepp
369,Rohr::N,торба,rør
370,Haus::N,өй,hus
371,Haus::N,йорт,hus
372,Heim::N,гаилә,hjem
373,Heim::N,нәсел,hjem
374,Ofen::N,мич,ovn
375,Fußboden::N,идән,gulv
376,Tisch::N,өстәл,bord
377,Stuhl::N,утыргыч,stol
378,Wiege::N,бишек,vogge
379,Bett::N,ятак,seng
380,Bett::N,урын-җир,seng
381,Regal::N,киштә,reol
382,Regal::N,киштә,hylle
383,Regal::N,шүрлек,reol
384,Regal::N,шүрлек,hylle
385,Kiste::N,әрҗә,kasse
386,Fenster::N,тәрәзә,vindu
387,Tür::N,ишек,dør
388,Tor::N,капка,port
389,Zaun::N,койма,gjerde
390,Dach::N,түбә,tak
391,Leiter::N,баскыч,stige
392,Besen::N,себерке,kost
393,Spaten::N,көрәк,spade
394,Schaufel::N,көрәк,skuffe
395,Gabel::N,чәннечке,gaffel
396,Löffel::N,кашык,skje
397,Messer::N,пычак,kniv
398,Nagel::N,кадак,spiker
399,Netz::N,челтәр,nett
400,Haken::N,ыргак,krok
401,Griff::N,тотка,tak
402,Griff::N,тотка,håndtak
403,Schloss::N,йозак,lås
404,Bild::N,рәсем,bilde
405,Bild::N,картина,bilde
406,Figur::N,сын,figur
407,Figur::N,фигура,figur
408,Puppe::N,курчак,dukke
409,Beutel::N,луза,pose
410,Bündel::N,бәйләм,bylt
411,Tasche::N,букча,veske
412,Eimer::N,чиләк,bøtte
413,Deckel::N,капкач,lokk
414,Geschirr::N,савыт-саба,kjøkkentøy
415,Geschirr::N,кашык-аяк,kjøkkentøy
416,Sack::N,капчык,sekk
417,Tasse::N,чынаяк,kopp
418,Topf::N,чүлмәк,gryte
419,Kessel::N,казан,kjele
420,Essen::N,ашау,mål
421,Nahrung::N,азык,mat
422,Nahrung::N,азык,næring
423,Nahrung::N,тәгам,mat
424,Nahrung::N,тәгам,næring
425,Nahrung::N,ашамлык,mat
426,Nahrung::N,ашамлык,næring
427,Speise::N,ризык,matrett
428,Fleisch::N,ит,kjøtt
429,Getreide::N,ашлык,korn
430,Brei::N,ботка,grøt
431,Brot::N,ипи,brød
432,Brot::N,икмәк,brød
433,Scheibe::N,телем,skive
434,Fett::N,май,fett
435,Butter::N,май,smør
436,Öl::N,май,olje
437,Salz::N,тоз,salt
438,Suppe::N,шулпа,suppe
439,Honig::N,бал,honning
440,Milch::N,сөт,melk
441,Tee::N,чәй,te
442,Leder::N,күн,lær
443,Leder::N,күн,skinn
444,Wolle::N,йон,ull
445,Stoff::N,тукыма,tøy
446,Stoff::N,тукыма,stoff
447,Nadel::N,энә,nål
448,Faden::N,җеп,tråd
449,Knopf::N,төймә,knapp
450,Knoten::N,төен,knute
451,Farbe::N,буяу,farge
452,Kleidung::N,кием,påkledning
453,Hemd::N,күлмәк,skjorte
454,Kragen::N,яка,krage
455,Ärmel::N,җиң,erme
456,Hose::N,чалбар,bukse
457,Gürtel::N,билбау,belte
458,Mütze::N,бүрек,lue
459,Schuh::N,башмак,sko
460,Stiefel::N,итек,støvel
461,Ring::N,балдак,ring
462,Band::N,тасма,band
463,Kamm::N,тарак,kam
464,Spiegel::N,көзге,speil
465,Riemen::N,каеш,rem
466,Schnur::N,бау,snor
467,Leine::N,тезген,line
468,Decke::N,юрган,teppe
469,Kissen::N,мендәр,pute
470,Tuch::N,яулык,tøy
471,Handtuch::N,сөлгә,håndkle
472,Kraft::N,егәр,kraft
473,Kraft::N,дәрман,kraft
474,Stärke::N,көч,styrke
475,Stärke::N,дәрман,styrke
476,Gesundheit::N,саулык,helse
477,Gesundheit::N,саулык,sunnhet
478,Krankheit::N,чир,syke
479,Krankheit::N,чир,sykdom
480,Krankheit::N,хаста,syke
481,Krankheit::N,хаста,sykdom
482,Krankheit::N,сырхау,syke
483,Krankheit::N,сырхау,sykdom
484,Schmerz::N,авырту,smerte
485,Wunde::N,яра,sår
486,Wunde::N,җәрәхәт,sår
487,Fieber::N,бизгәк,feber
488,Arznei::N,дару,medisin
489,Arznei::N,дару,legemiddel
490,Brücke::N,күпер,bro
491,Brunnen::N,кое,brønn
492,Weide::N,утлавык,beite
493,Pfad::N,сукмак,sti
494,Weg::N,юл,vei
495,Straße::N,урам,gate
496,Dorf::N,авыл,landsby
497,Stadt::N,шәһәр,by
498,Brief::N,хат,brev
499,Buch::N,китап,bok
500,Buchstabe::N,хәреф,bokstav
501,Zeitung::N,газет,avis
502,Zeitung::N,газета,avis
503,Leben::N,гомер,liv
504,Leben::N,тормыш,liv
505,Leben::N,тереклек,liv
506,Tod::N,үлем,død
507,Grab::N,гүр,grav
508,Grab::N,кабер,grav
509,Kirche::N,чиркәү,kirke
510,Sünde::N,язык,synd
511,Sünde::N,гөнаһ,synd
512,Gott::N,алла,gud
513,Gott::N,ходай,gud
514,Arbeiter::N,эшче,arbeider
515,Chef::N,башлык,sjef
516,Meister::N,оста,mester
517,Arzt::N,врач,lege
518,Arzt::N,табиб,lege
519,Lehrer::N,укытучы,lærer
520,Lehrer::N,мөгаллим,lærer
521,Geld::N,акча,penger
522,Geschäft::N,эш,forretning
523,Laden::N,кибет,butikk
524,Laden::N,магазин,butikk
525,Preis::N,бәя,pris
526,Preis::N,бәһа,pris
527,Ware::N,товар,vare
528,Nutzen::N,файда,nytte
529,Reichtum::N,байлык,rikdom
530,Welt::N,дөнья,verden
531,Land::N,ил,land
532,Staat::N,дәүләт,stat
533,König::N,патша,konge
534,Macht::N,хакимият,makt
535,Grenze::N,чик,grense
536,Krieg::N,сугыш,krig
537,Feind::N,дошман,fiende
538,Gewalt::N,көчләү,vold
539,Kampf::N,көрәш,kamp
540,Bogen[Waffe]::N,җәя,bue
541,Pfeil::N,ук,pil
542,Gewehr::N,мылтык,gevær
543,Fehler::N,хата,feil
544,Lüge::N,ялган,løgn
545,Schaden::N,зыян,skade
546,Schaden::N,зарар,skade
547,Unglück::N,бәла,uhell
548,Schuld::N,гаеп,skyld
549,Alter::N,яшь,alder
550,Schluss::N,ахыр,slutt
551,Zeit::N,заман,tid
552,Tag::N,көн,dag
553,Morgen::N,иртә,morgen
554,Mittag::N,өйлә,middag
555,Abend::N,кич,aften
556,Nacht::N,төн,natt
557,Woche::N,атна,uke
558,Monat::N,ай,måned
559,Jahr::N,ел,år
560,Frühling::N,яз,vår
561,Sommer::N,җәй,sommer
562,Herbst::N,көз,høst
563,Winter::N,кыш,vinter
564,Januar::N,гыйнвар,januar
565,Februar::N,февраль,februar
566,März::N,март,mars
567,April::N,апрель,april
568,Mai::N,май,mai
569,Juni::N,июнь,juni
570,Juli::N,июль,juli
571,August::N,август,august
572,September::N,сентябрь,september
573,Oktober::N,октябрь,oktober
574,November::N,ноябрь,november
575,Dezember::N,декабрь,desember
576,Montag::N,дүшәмбе,mandag
577,Dienstag::N,сишәмбе,tirsdag
578,Mittwoch::N,чәршәмбе,onsdag
579,Donnerstag::N,атнакич,torsdag
580,Donnerstag::N,пәнҗешәмбе,torsdag
581,Freitag::N,җомга,fredag
582,Samstag::N,шимбә,lørdag
583,Sonntag::N,якшәмбе,søndag
584,groß::A,зур,stor
585,klein::A,кечкенә,liten
586,lang::A,озын,lang
587,kurz::A,кыска,kort
588,breit::A,киң,bred
589,schmal::A,кысык,smal
590,dicht::A,куе,tett
591,dick[Gegenstand]::A,калын,tykk
592,dünn::A,нечкә,tynn
593,fein::A,нәзакәтле,fin
594,fest::A,нык,fast
595,flach::A,яссы,flat
596,flach::A,ялпак,flat
597,glatt::A,шома,glatt
598,hart::A,каты,hard
599,weich::A,йомшак,myk
600,weich::A,йомшак,bløt
601,rund::A,түгәрәк,rund
602,spitz::A,очлы,spiss
603,scharf::A,үткен,kvass
604,stumpf::A,үтмәс,stubb
605,schwer::A,салмак,tung
606,schön::A,гүзәл,pen
607,schön::A,гүзәл,vakker
608,heiß::A,эссе,het
609,warm::A,җылы,varm
610,kalt::A,суык,kald
611,kalt::A,салкын,kald
612,kühl::A,салкынча,kjølig
613,frisch::A,салкынча,fersk
614,feucht::A,юеш,fuktig
615,nass::A,дымлы,våt
616,trocken::A,коры,tørr
617,voll::A,тулы,full
618,leer::A,буш,tom
619,offen::A,ачык,åpen
620,geschlossen::A,йомык,lukket
621,sauber::A,пакь,ren
622,sauber::A,чиста,ren
623,schmutzig::A,керле,skitten
624,schmutzig::A,пычрак,skitten
625,roh::A,чи,rå
626,reif::A,өлгергән,moden
627,lecker::A,тәмле,lekker
628,süß::A,татлы,søt
629,bitter::A,ачы,besk
630,bitter::A,ачы,bitter
631,sauer::A,әче,sur
632,hell::A,якты,lys
633,dunkel::A,кара,mørk
634,schwarz::A,кара,svart
635,weiß::A,ак,hvit
636,rot::A,кызыл,rød
637,gelb::A,сары,gul
638,blau::A,күк,blå
639,grün::A,яшел,grønn
640,grau::A,соры,grå
641,bunt::A,чуар,broket
642,billig::A,арзан,billig
643,teuer::A,хаклы,dyr
644,wertvoll::A,кыйммәтле,verdifull
645,blind::A,сукыр,blind
646,blind::A,күзсез,blind
647,taub::A,чукрак,døv
648,taub::A,саңгырау,døv
649,kräftig::A,егәрле,kraftig
650,stark::A,нык,sterk
651,stark::A,базык,sterk
652,schwach::A,зәгыйфь,svak
653,fett::A,симез,fet
654,schlank::A,нәзек,slank
655,hübsch::A,чибәр,pen
656,böse::A,усал,slem
657,dumm::A,акылсыз,dum
658,faul::A,ялкау,lat
659,faul::A,ялкау,doven
660,faul::A,иренчәк,lat
661,faul::A,иренчәк,doven
662,fleißig::A,тырыш,flittig
663,fleißig::A,тырышучан,flittig
664,geizig::A,саран,gjerrig
665,klug::A,акыллы,klok
666,geschickt::A,маһир,hendig
667,geschickt::A,маһир,skikket
668,lieb::A,сөекле,kjær
669,lieb::A,сөекле,snill
670,lustig::A,күңелле,morsom
671,sanft::A,басынкы,blid
672,hungrig::A,ач,sulten
673,krank::A,чирле,syk
674,krank::A,сырхау,syk
675,nackt::A,шәрә,naken
676,traurig::A,ямансу,sørgmodig
677,lebendig::A,тере,levende
678,gut::A,яхшы,god
679,schlecht::A,начар,dårlig
680,richtig::A,дөрес,riktig
681,schlimm::A,әшәкә,slem
682,wahr::A,чып-чын,sann
683,alt::A,иске,gammel
684,neu::A,яңа,ny
685,ehemalig::A,элекке,forhenværende
686,alt[Lebewesen]::A,карт,gammel
687,jung::A,яшь,ung
688,arm::A,фәкыйрь,fattig
689,reich::A,бай,rik
690,bekannt::A,таныш,kjent
691,berühmt::A,атаклы,berømt
692,fremd::A,ят,fremmed
693,verschieden::A,төрле,forskjellig
694,nah::A,якын,nær
695,fern::A,ерак,fjern
696,linker::A,сул,venstre
697,rechter::A,уң,høyre
698,anderer::A,бүтән,annen
699,erster::A,беренче,første
700,zweiter::A,икенче,annen
701,dritter::A,өченче,tredje
702,letzter::A,ахыргы,sist
703,allein::ADV,ялгыз,alene
704,auf einmal::ADV,бердән,med ett
705,zusammen::ADV,бергә,sammen
706,lange::ADV,озак,lenge
707,plötzlich::ADV,искәрмәстән,plutselig
708,sofort::ADV,хәзер,straks
709,später::ADV,соңрак,senere
710,jetzt::ADV,хәзер,nå
711,heute::ADV,бүген,i dag
712,morgen::ADV,иртәгә,i morgen
713,bald::ADV,тиздән,snart
714,dann::ADV,аннары,så
715,gestern::ADV,кичә,i går
716,einst::ADV,берчак,engang
717,damals::ADV,ул вакытта,den gang
718,damals::ADV,ул чакта,den gang
719,danach::ADV,да,deretter
720,vorher::ADV,элек,før
721,vorher::ADV,элек,i forveien
722,zuerst::ADV,башта,først
723,einmal::ADV,бер,en gang
724,einmal::ADV,бер мәртәбә,en gang
725,manchmal::ADV,кайчакта,somme tider
726,oft::ADV,еш,ofte
727,immer::ADV,һәркайчан,alltid
728,niemals::ADV,hичбер вакыт,aldri
729,hier::ADV,монда,her
730,hier::ADV,биредә,her
731,hierhin::ADV,монда,hit
732,von hier::ADV,моннан,herfra
733,dort::ADV,анда,der
734,dorthin::ADV,тегеләй,dit
735,geradeaus::ADV,турыдан-туры,rett fram
736,vorwärts::ADV,алга,fram
737,vorwärts::ADV,алга,framover
738,rückwärts::ADV,кире,baklengs
739,zurück::ADV,кире,tilbake
740,unten::ADV,түбәндә,nede
741,hinab::ADV,аска,ned
742,hinab::ADV,аска,nedover
743,oben::ADV,өстә,oppe
744,oben::ADV,өстә,ovenpå
745,oben::ADV,югарыда,oppe
746,oben::ADV,югарыда,ovenpå
747,hinauf::ADV,өскә,opp
748,hinauf::ADV,өскә,oppover
749,überall::ADV,hәркайда,overalt
750,nicht::ADV,түгел,ikke
751,ein wenig::ADV,бераз,litt
752,kaum::ADV,көчкә,neppe
753,sehr::ADV,бик,svært
754,so::ADV,алай,så
755,noch::ADV,янә,enda
756,noch::ADV,тагын,enda
757,nur::ADV,фәкать,bare
758,schon::ADV,инде,alt
759,schon::ADV,инде,allerede
760,wieder::ADV,янә,igjen
761,wieder::ADV,тагын,igjen
762,vergebens::ADV,юкка,forgjeves
763,vor::PRP,алдыннан,foran
764,vor::PRP,алдыннан,utenfor
765,hinter::PRP,арттан,bak
766,hinter::PRP,арттан,bakom
767,unter::PRP,астында,under
768,durch::PRP,аша,gjennom
769,durch::PRP,аша,igjennom
770,neben::PRP,тирәсендә,ved siden av
771,zwischen::PRP,арасында,mellom
772,wegen::PRP,сәбәпле,på grunn av
773,dies::PRN,бу,dette
774,das::PRN,ул,det
775,alles::PRN,һәммә,alt
776,ich::PRN,мин,jeg
777,du::PRN,син,du
778,er::PRN,ул,han
779,wir::PRN,без,vi
780,ihr::PRN,сез,dere
781,sie::PRN,ул,de
782,was::FPRN,ни,hva
783,was::FPRN,нәрсә,hva
784,wer::FPRN,кем,hvem
785,wo::FADV,кайда,hvor
786,wohin::FADV,кая,hvor ... hen
787,wie::FADV,ничек,hvordan
788,warum::FADV,нигә,hvorfor
789,wieviel::FNUM,ничә,hvor mye
790,eins::NUM,бер,en
791,eins::NUM,бер,ett
792,zwei::NUM,ике,to
793,drei::NUM,өч,tre
794,vier::NUM,дүрт,fire
795,fünf::NUM,биш,fem
796,sechs::NUM,алты,seks
797,sieben::NUM,җиде,sju
798,acht::NUM,сигез,åtte
799,neun::NUM,тугыз,ni
800,zehn::NUM,ун,ti
801,elf::NUM,унбер,elleve
802,zwölf::NUM,унике,tolv
803,zwanzig::NUM,егерме,tjue
804,dreißig::NUM,утыз,tretti
805,vierzig::NUM,кырык,førti
806,fünfzig::NUM,илле,femti
807,sechzig::NUM,алтмыш,seksti
808,siebzig::NUM,җитмеш,sytti
809,achtzig::NUM,сиксән,åtti
810,neunzig::NUM,туксан,nitti
811,hundert::NUM,йөз,hundre
812,tausend::NUM,мең,tusen
813,und::CNJ,вә,og
814,oder::CNJ,яки,eller
815,oder::CNJ,яисә,eller
816,stehen::V,тору,stå
817,sitzen::V,утыру,sitte
818,liegen::V,яту,ligge
819,hängen::V,эленү,henge
820,werden::V,булу,bli
821,passieren::V,булу,skje
822,passieren::V,булу,hende
823,beginnen::V,башлану,begynne
824,enden::V,бетү,ende
825,enden::V,бетү,slutte
826,wechseln::V,үзгәртү,veksle
827,aufgehen[Sonne]::V,чыгу,stå opp
828,untergehen[Sonne]::V,бату,gå ned
829,scheinen[Sonne]::V,яктырту,skinne
830,donnern::V,күкрәү,tordne
831,wehen::V,исү,blåse
832,strömen::V,агу,strømme
833,fließen::V,агу,flyte
834,sich drehen::V,бөтерелү,dreie seg
835,schwanken::V,икеләнү,svaie
836,schwingen::V,тирбәлү,svinge
837,fallen::V,егылу,falle
838,brennen::V,яну,brenne
