,Concept_ID,bg,pt
973,elf::NUM,единадесет,onze
974,zwölf::NUM,дванайсет,doze
975,zwölf::NUM,дванадесет,doze
976,zwanzig::NUM,двайсет,vinte
977,zwanzig::NUM,двадесет,vinte
978,dreißig::NUM,тридесет,trinta
979,vierzig::NUM,четиридесет,quarenta
980,fünfzig::NUM,петдесет,cinquenta
981,sechzig::NUM,шестдесет,sessenta
982,siebzig::NUM,седемдесет,setenta
983,achtzig::NUM,осемдесет,oitenta
984,neunzig::NUM,деветдесет,noventa
985,hundert::NUM,сто,cem
986,hundert::NUM,сто,cento
987,tausend::NUM,хиляда,mil
988,und::CNJ,а,e
989,und::CNJ,та,e
990,oder::CNJ,или,ou
991,stehen::V,стоя,estar em pé
992,sitzen::V,седя,estar sentado
993,liegen::V,лежа,jazer
994,liegen::V,лежа,estar deitado
995,hängen::V,вися,pender
996,hängen::V,вися,estar pendurado
997,werden::V,бъда,tornar-se
998,werden::V,стана,tornar-se
999,passieren::V,случа се,acontecer
1000,beginnen::V,започна,começar
1001,enden::V,свърша,acabar
1002,enden::V,свърша,terminar
1003,wechseln::V,променям,variar
1004,wechseln::V,променям,alternar
1005,aufgehen[Sonne]::V,изгрея,nascer
1006,untergehen[Sonne]::V,заляза,pôr-se
1007,scheinen[Sonne]::V,грея,brilhar
1008,scheinen[Sonne]::V,светя,brilhar
1009,donnern::V,гърмя,trovejar
1010,wehen::V,вея,soprar
1011,wehen::V,духам,soprar
1012,strömen::V,тека,correr
1013,strömen::V,лея се,correr
1014,fließen::V,тека,fluir
1015,sich drehen::V,въртя се,girar
1016,schwanken::V,клатя се,oscilar
1017,schwingen::V,трептя,vibrar
1018,fallen::V,падам,cair
1019,brennen::V,горя,arder
1020,rauchen::V,димя,fumegar
1021,regnen::V,вали дъжд,chover
1022,gefrieren::V,замръзна,gelar
1023,gefrieren::V,замръзна,congelar
1024,tauen::V,топя се,derreter
1025,tauen::V,топя се,descongelar
1026,schmelzen::V,разтопя се,fundir-se
1027,trocknen::V,съхна,secar
1028,sieden::V,вря,ferver
1029,sieden::V,кипя,ferver
1030,faulen::V,гния,estragar-se
1031,verfaulen::V,изгния,apodrecer
1032,reißen::V,напукам се,romper-se
1033,versinken::V,потъна,afundar-se
1034,vergehen::V,минавам,passar
1035,erscheinen::V,явя се,aparecer
1036,verschwinden::V,изчезна,desaparecer
1037,sinken::V,падна,descer
1038,abnehmen::V,отслабна,diminuir
1039,abnehmen::V,отслабна,decrescer
1040,zunehmen::V,нарасна,crescer
1041,zunehmen::V,нарасна,aumentar
1042,steigen::V,увелича се,subir
1043,steigen::V,покачвам се,subir
1044,wachsen::V,раста,crescer
1045,glänzen::V,лъщя,brilhar
1046,glänzen::V,блестя,brilhar
1047,funkeln::V,искря,cintilar
1048,lärmen::V,шумя,fazer barulho
1049,läuten::V,звъня,chocalhar
1050,klingeln::V,звъня,tocar
1051,klirren::V,звънтя,tinir
1052,klirren::V,дрънкам,tinir
1053,brausen::V,буча,bramar
1054,rauschen::V,шумя,murmurar
1055,rauschen::V,шумя,rumorejar
1056,klingen::V,звуча,soar
1057,bellen::V,лая,ladrar
1058,heulen::V,вия,uivar
1059,heulen::V,рева,uivar
