,Concept_ID,de,cv
1059,bekommen::V,bekommen,ил
1060,bekommen::V,bekommen,туян
1061,erhalten::V,erhalten,ил
1062,erhalten::V,erhalten,туян
1063,nehmen::V,nehmen,ил
1064,wählen::V,wählen,суйла
1065,auswählen::V,auswählen,суйла
1066,bewahren::V,bewahren,упра
1067,behindern::V,behindern,кансӗрле
1068,behindern::V,behindern,чӑрмантар
1069,verderben::V,verderben,пӑс
1070,beschädigen::V,beschädigen,пӑс
1071,zerbrechen::V,zerbrechen,ват
1072,zerbrechen::V,zerbrechen,ҫӗмӗр
1073,zerreißen::V,zerreißen,ҫур
1074,zerstören::V,zerstören,иш
1075,verbrennen::V,verbrennen,ҫунтар
1076,geben::V,geben,пар
1077,reichen::V,reichen,пар
1078,schenken::V,schenken,парнеле
1079,versprechen::V,versprechen,тума пул
1080,versprechen::V,versprechen,сӑмах пар
1081,wünschen::V,wünschen,сун
1082,loben::V,loben,ырла
1083,küssen::V,küssen,чуп ту
1084,wiegen::V,wiegen,сиктер
1085,wiegen::V,wiegen,силле
1086,zudecken::V,zudecken,вит
1087,wecken::V,wecken,вӑрат
1088,zeigen::V,zeigen,кӑтарт
1089,führen::V,führen,илсе пыр
1090,führen::V,führen,ҫавӑтса пыр
1091,lehren::V,lehren,вёрент
1092,unterrichten::V,unterrichten,вёрент
1093,aufziehen::V,aufziehen,вӗрент
1094,leiten::V,leiten,тытса пыр
1095,antreiben::V,antreiben,васкат
1096,lassen::V,lassen,пусахла
1097,lassen::V,lassen,хуш
1098,einladen::V,einladen,чӗн
1099,vereinigen::V,vereinigen,пӗрлештер
1100,besuchen::V,besuchen,ҫит
1101,besuchen::V,besuchen,кӗрсе кур
1102,treffen::V,treffen,тӗл пул
1103,sich versammeln::V,sich versammeln,пуҫтарӑн
1104,spielen::V,spielen,выля
1105,singen::V,singen,юрла
1106,tanzen::V,tanzen,ташла
1107,sich trennen::V,sich trennen,уйрӑл
1108,verlassen::V,verlassen,хӑвар
1109,retten::V,retten,ҫӑл
1110,bewachen::V,bewachen,хуралла
1111,schützen::V,schützen,сыхла
1112,verteidigen::V,verteidigen,хӳтӗле
1113,sich schlagen::V,sich schlagen,ҫапӑҫ
1114,schießen::V,schießen,пер
1115,siegen::V,siegen,ҫӗн
1116,siegen::V,siegen,ҫӗнтер
1117,ärgern::V,ärgern,тарӑхтар
1118,ärgern::V,ärgern,ҫиллентер
1119,schlagen::V,schlagen,ҫап
1120,treten::V,treten,тап
1121,stechen::V,stechen,чик
1122,stoßen::V,stoßen,чыш
1123,stehlen::V,stehlen,вӑрла
1124,stören::V,stören,кансӗрле
1125,belästigen::V,belästigen,аптӑрат
1126,belästigen::V,belästigen,хупла
1127,verbergen::V,verbergen,пытар
1128,täuschen::V,täuschen,суй
1129,betrügen::V,betrügen,ултала
1130,töten::V,töten,вӗлер
1131,wohnen::V,wohnen,чуна пар
1132,wohnen::V,wohnen,парӑнса тӑр
1133,arbeiten::V,arbeiten,ӗҫле
1134,sammeln::V,sammeln,пух
1135,pflücken::V,pflücken,тат
1136,jagen::V,jagen,сунара ҫӳре
1137,fischen::V,fischen,пулӑ тыт
1138,fassen::V,fassen,тыт
1139,hüten::V,hüten,кӗт
1140,treiben::V,treiben,хӑвала
1141,anbinden::V,anbinden,кӑкар
1142,füttern::V,füttern,ҫитер
1143,melken::V,melken,су
1144,hacken::V,hacken,вакла
1145,gießen::V,gießen,шӑвар
1146,reifen::V,reifen,пиҫ
1147,zubereiten::V,zubereiten,пӗҫер
1148,kochen::V,kochen,пӗҫер
1149,backen::V,backen,пӗҫер
1150,braten::V,braten,ӑшала
1151,umrühren::V,umrühren,хутӑштар
1152,stricken::V,stricken,ҫых
1153,nähen::V,nähen,ҫӗле
1154,färben::V,färben,пӗвет
1155,reinigen::V,reinigen,тасат
1156,waschen::V,waschen,ҫу
1157,abwischen::V,abwischen,шӑл
1158,spülen::V,spülen,чӳхе
1159,fegen::V,fegen,шӑл
1160,kehren::V,kehren,шӑл
1161,baden::V,baden,шыва кӗр
1162,sich waschen::V,sich waschen,ҫӑвӑн
1163,ausziehen::V,ausziehen,салан
1164,anziehen::V,anziehen,тӑхӑн
1165,sich anziehen::V,sich anziehen,тӑхӑн
1166,kämmen::V,kämmen,тура
1167,schmücken::V,schmücken,илемлет
1168,sagen::V,sagen,те
1169,sprechen::V,sprechen,кала
1170,reden::V,reden,сӑмахла
1171,reden::V,reden,калаҫ
1172,sich unterhalten::V,sich unterhalten,пупле
1173,fragen::V,fragen,ыйт
1174,bitten::V,bitten,ыйт
1175,erzählen::V,erzählen,каласа пар
1176,mitteilen::V,mitteilen,пӗлтер
1177,mitteilen::V,mitteilen,хыпарла
1178,nennen::V,nennen,те
1179,nennen::V,nennen,чӗн
1180,rufen::V,rufen,чӗн
1181,prahlen::V,prahlen,мухтан
1182,prahlen::V,prahlen,вӗҫкӗнлен
1183,übersetzen::V,übersetzen,куҫар
1184,denken::V,denken,шухӑшла
1185,glauben::V,glauben,ӗнен
1186,bemerken::V,bemerken,асӑрха
1187,erkennen::V,erkennen,палла
1188,begreifen::V,begreifen,ӑнлан
1189,verstehen::V,verstehen,пӗл
1190,lernen::V,lernen,вӗрен
1191,wissen::V,wissen,пӗл
1192,wissen::V,wissen,ӑнкар
1193,sich erinnern an::V,sich erinnern an,аса ил
1194,vergessen::V,vergessen,ман
1195,vergessen::V,vergessen,манса кай
1196,messen::V,messen,виҫ
1197,zählen::V,zählen,шутла
1198,rechnen::V,rechnen,шутла
1199,lesen::V,lesen,вула
1200,malen::V,malen,ӳкер
1201,zeichnen::V,zeichnen,ӳкер
1202,schreiben::V,schreiben,ҫыр
1203,besitzen::V,besitzen,тыт
1204,kaufen::V,kaufen,ил
1205,kaufen::V,kaufen,туян
1206,verkaufen::V,verkaufen,сут
1207,bezahlen::V,bezahlen,тӳле
1208,zahlen::V,zahlen,тӳле
1209,beherrschen::V,beherrschen,тыт
1210,ertragen::V,ertragen,тӳс
