,Concept_ID,ja,mn
83,Funke::N,火花,оч
84,Feuer::N,火,гал
85,Licht::N,光,гэрэл
86,Licht::N,光,гэгээ
87,Schatten::N,陰,сүүдэр
88,Wetter::N,天気,тэнгэр
89,Wetter::N,天気,цаг уур
90,Nebel::N,霧,будан
91,Wolke::N,雲,үүл
92,Regen::N,雨,бороо
93,Schnee::N,雪,цас
94,Eis::N,氷,мөс
95,Frost::N,霜,хүйт
96,Kälte::N,寒さ,хүйт
97,Hitze::N,暑さ,халуун
98,Raureif::N,霧氷,цан
99,Raureif::N,霧氷,хяруу
100,Regenbogen::N,虹,солонго
101,Donner::N,雷,тэнгэрийн дуу
102,Strömung::N,流れ,урсгал
103,Tropfen::N,滴,дусал
104,Schaum::N,泡,хөөс
105,Schmutz::N,汚れ,хир
106,Schmutz::N,汚れ,шавхай
107,See::N,湖,нуур
108,Sumpf::N,沼,намаг
109,Sumpf::N,沼,балчиг
110,Moor::N,湿原,хүлрийн намаг
111,Wiese::N,草原,нуга
112,Wald::N,森,ой
113,Hügel::N,丘,болдог
114,Anhöhe::N,高み,гүвээ
115,Berg::N,山,уул
116,Gipfel::N,頂上,орой
117,Gipfel::N,頂上,оргил
118,Höhle::N,洞窟,агуй
119,Abhang::N,斜面,хүр
120,Quelle::N,泉,булаг
121,Bach::N,小川,горхи
122,Fluss::N,川,гол
123,Fluss::N,川,мөрөн
124,Ufer::N,岸,эрэг
125,Küste::N,海岸,эрэг
126,Festland::N,陸,хуурай газар
127,Meer::N,海,далай
128,Meer::N,海,тэнгис
129,Bucht::N,湾,булан
130,Bucht::N,湾,далайн тохой
131,Insel::N,島,арал
132,Blume::N,花,цэцэг
133,Gras::N,草,өвс
134,Gras::N,草,ногоо
135,Wurzel::N,根,үндэс
136,Baum::N,木,мод
137,Stamm::N,幹,иш
138,Stamm::N,幹,гуалин
139,Rinde::N,皮層,холтос
140,Ast::N,枝,гишүү
141,Zweig::N,小枝,салаа
142,Blatt::N,葉,навч
143,Birke::N,樺,хус
144,Kiefer[Baum]::N,松,нарс
145,Weide[Baum]::N,柳,уд
146,Weide[Baum]::N,柳,бургас
147,Tanne::N,樅,гачуур
148,Horn::N,角,эвэр
149,Feder::N,羽根,өд
150,Fell::N,毛皮,арьс
151,Flügel::N,羽,жигүүр
152,Flügel::N,羽,далавч
153,Klaue::N,鉤爪,савар
154,Klaue::N,鉤爪,хумс
155,Kralle::N,爪,савар
156,Schwanz::N,尻尾,сүүл
157,Ei::N,卵,өндөг
158,Nest::N,巣,үүр
159,Bau::N,穴,нүх
160,Bau::N,穴,элүү
161,Tier::N,動物,амьтан
162,Tier::N,動物,адгуус
163,Herde::N,群れ,сүрэг
164,Kuh::N,牛,үнээ
165,Bulle::N,雄牛,бух
166,Pferd::N,馬,морь
167,Pferd::N,馬,адуу
168,Schaf::N,羊,хонь
169,Schwein::N,豚,гахай
170,Hund::N,犬,нохой
171,Katze::N,猫,муур
172,Katze::N,猫,мигуй
173,Bär::N,熊,баавгай
174,Eichhörnchen::N,栗鼠,хэрэм
175,Elch::N,ヘラジカ,хандгай
176,Fuchs::N,狐,үнэг
177,Hase::N,兎,туулай
178,Maus::N,鼠,хулгана
179,Wolf::N,狼,чоно
180,Vogel::N,鳥,шувуу
181,Schwarm::N,群れ,сүрэг
182,Huhn::N,鶏,тахиа
183,Hahn::N,雄鶏,эр тахиа
184,Gans::N,ガチョウ,галуу
185,Adler::N,鷲,бүргэд
186,Ente::N,鴨,нугас
187,Eule::N,フクロウ,ууль
188,Kranich::N,鶴,тогоруу
189,Krähe::N,烏,хэрээ
190,Kuckuck::N,郭公,хөхөө
191,Schwan::N,白鳥,хун
192,Fisch::N,魚,загас
193,Barsch::N,鱸,алгана
194,Hecht::N,川魳,цурхай
195,Schlange[Tier]::N,蛇,могой
196,Wurm::N,虫,өт
197,Wurm::N,虫,хорхой
198,Spinne::N,蜘蛛,аалз
199,Ameise::N,蟻,шоргоолж
200,Laus::N,虱,бөөс
201,Mücke::N,蚊,шумуул
202,Fliege::N,蝿,ялаа
203,Schmetterling::N,蝶,эрвээхэй
204,Beere::N,漿果,жимсгэнэ
205,Apfel::N,林檎,алим
206,Pilz::N,茸,мөөг
207,Zwiebel::N,玉葱,сонгино
208,Saat::N,種,тариа
209,Korn::N,粒,үр
210,Korn::N,粒,мөхлөг
211,Heu::N,干し草,өвс
212,Schale::N,皮,хальс
213,Grube::N,穴,алам
214,Grube::N,穴,нүх
215,Falle::N,わな,хавх
216,Falle::N,わな,занга
217,Schlinge::N,輪,урхи
218,Spur::N,跡,мөр
219,Asche::N,灰,үнс
220,Dreck::N,泥,хир
221,Eisen::N,鉄,төмөр
222,Gold::N,金,алт
223,Silber::N,銀,мөнгө
224,Kohle::N,炭,нүүрс
225,Glas::N,ガラス,шил
226,Lehm::N,ローム,шавар
227,Sand::N,砂,элс
228,Mensch::N,人,хүн
229,Mann::N,男,эр
230,Mann::N,男,эрэгтэй
231,Mann::N,男性,эр
232,Mann::N,男性,эрэгтэй
233,Frau::N,女,эмэгтэй
234,Frau::N,女,хатагтай
235,Frau::N,女性,эмэгтэй
236,Frau::N,女性,хатагтай
237,Kind::N,子,хүүхэд
238,Kind::N,子供,хүүхэд
239,Junge::N,男の子,хүү
240,Mädchen::N,女の子,охин
241,Mädchen::N,女の子,бүсгүй
242,Familie::N,家族,айл
243,Großvater::N,祖父,өвгөн аав
244,Großvater::N,おじいさん,өвгөн аав
245,Großmutter::N,祖母,эмэг эх
246,Großmutter::N,祖母,эмгээ
247,Großmutter::N,おばあさん,эмэг эх
248,Großmutter::N,おばあさん,эмгээ
249,Eltern::N,親,эцэг эх
250,Eltern::N,両親,эцэг эх
251,Vater::N,父,аав
252,Vater::N,父,эцэг
253,Vater::N,お父さん,аав
254,Vater::N,お父さん,эцэг
255,Mutter::N,母,эх
256,Mutter::N,母,ээж
257,Mutter::N,お母さん,эх
258,Mutter::N,お母さん,ээж
259,Sohn::N,息子,хүү
260,Sohn::N,息子さん,хүү
261,Tochter::N,娘,охин
262,Tochter::N,お嬢さん,охин
263,Bruder::N,弟,ах
264,Bruder::N,弟,дүү
265,Schwester::N,妹,эгч
266,Schwester::N,妹,охин дүү
267,Onkel::N,伯父,авга ах
268,Onkel::N,伯父,нагац ах
269,Onkel::N,伯父さん,авга ах
270,Onkel::N,伯父さん,нагац ах
271,Tante::N,叔母,авга эгч
272,Tante::N,叔母,нагац эгч
273,Tante::N,叔母さん,авга эгч
274,Tante::N,叔母さん,нагац эгч
275,Ehemann::N,夫,нөхөр
276,Ehemann::N,主人,нөхөр
277,Ehefrau::N,妻,эхнэр
278,Ehefrau::N,妻,гэргий
279,Ehefrau::N,奥さん,эхнэр
280,Ehefrau::N,奥さん,гэргий
281,Freude::N,喜び,баяр
282,Freude::N,喜び,баясгалан
283,Gelächter::N,笑い,инээдэм
284,Glück::N,幸せ,жаргалан
285,Kummer::N,悩み,гаслан
286,Wunsch::N,希望,ерөөл
287,Lust::N,気,дур
288,Lust::N,気,хүсэл
289,Geist::N,精神,оюун
290,Gedanke::N,考え,сэтгэл
291,Gedächtnis::N,記憶,ой
292,Gedächtnis::N,記憶,цээж
293,Verstand::N,理解力,ухаан
294,Sinn::N,意味,утга
295,Grund::N,理由,учир
296,Wahrheit::N,真実,үнэн
297,Gespräch::N,会話,яриа
298,Märchen::N,童話,явган үлгэр
299,Erzählung::N,物語,тууж
300,Nachricht::N,報告,мэдээ
301,Neuigkeit::N,ニュース,сонин
302,Name::N,名前,нэр
303,Rätsel::N,謎,оньсого
304,Rede::N,演説,хэлсэн үг
305,Sprache::N,言語,хэл
306,Stimme::N,声,дуу
307,Wort::N,言葉,үг
308,Zeichen::N,記号,тамга
309,Zeichen::N,記号,тэмдэг
310,Ruf::N,呼び声,дуудлага
311,Lärm::N,騒音,шуугиан
312,Lärm::N,騒音,чимээ
313,Laut::N,音,анир
314,Laut::N,音,дуу
315,Ton::N,音,авиа
316,Ton::N,音,аялгуу
317,Lied::N,歌,дуу
318,Ruhe::N,静けさ,энх
319,Ruhe::N,静けさ,тайван
320,Leute::N,人々,хүмүүс
321,Volk::N,民族,улс
322,Arbeit::N,仕事,ажил
323,Arbeit::N,仕事,хөдөлмөр
324,Gast::N,客,зочин
325,Gast::N,客,айлчин
326,Geschenk::N,贈り物,бэлэг
327,Spiel::N,遊び,наадам
328,Spiel::N,遊び,тоглоом
329,Gesellschaft::N,社会,хамт байх
330,Hilfe::N,援助,тусламж
331,Freund::N,友達,найз
332,Freund::N,友達,нөхөр
333,Kamerad::N,同志,хань
334,Kamerad::N,同志,нөхөр
335,Angelegenheit::N,件,хэрэг
336,Anzahl::N,数,тоо
337,Art::N,種類,төрөл
338,Art::N,種類,янз
339,Stück::N,部分,хэсэг
340,Teil::N,部分,хувь
341,Teil::N,部分,хэсэг
342,Hälfte::N,半分,хагас
343,Kreis::N,円,тойрог
344,Kreis::N,円,хүрээ
345,Kreuz::N,十字,загалмай
346,Linie::N,線,шугам
347,Strich::N,線,зураас
348,Abstand::N,距離,зай
349,Entfernung::N,距離,зай
350,Entfernung::N,距離,хол ойр
351,Gegend::N,辺,хавь
352,Gegend::N,辺,газар
353,Gegend::N,地域,хавь
354,Gegend::N,地域,газар
355,Platz::N,ゆとり,зай
356,Platz::N,ゆとり,завсар
357,Ort::N,所,газар
358,Ort::N,所,байр
359,Ort::N,場所,газар
360,Ort::N,場所,байр
361,Seite::N,横,тал
362,Seite::N,横,этгээд
363,Mitte::N,真ん中,төв
364,Mitte::N,真ん中,дунд
365,Gegenstand::N,物件,юм
366,Sache::N,物,үйл
367,Sache::N,物,хэрэг
368,Rand::N,端,зах
369,Rand::N,端,хөвөө
370,Kante::N,縁,ирмэг
371,Ecke::N,角,өнцөг
372,Spitze::N,先頭,үзүүр
373,Ende::N,端,зах
374,Ende::N,端,үзүүр
375,Loch::N,穴,цоорхой
376,Loch::N,穴,онгорхой
377,Winkel::N,片隅,өнцөг
378,Muster::N,模様,хээ
379,Muster::N,模様,угалз
380,Größe::N,大きさ,хэмжээ
381,Länge::N,長さ,урт
382,Höhe::N,高さ,өндөр
383,Gewicht::N,重さ,жин
384,Menge::N,量,тоо
385,Haufen::N,堆積,бөөн
386,Reihe::N,並び,эгнээ
387,Boot::N,ボート,завь
388,Ruder::N,オール,сэлүүр
389,Schlitten::N,そり,чарга
390,Ski::N,スキー,цана
391,Lagerfeuer::N,篝火,түүдэг
392,Last::N,荷物,ачаа
393,Gang::N,歩み,явдал
394,Schritt::N,歩,алхам
395,Norden::N,北,умар
396,Süden::N,南,урд
397,Süden::N,南,өмнө
398,Westen::N,西,өрнө
399,Westen::N,西,баруун
400,Osten::N,東,зүүн
401,Osten::N,東,дорно
402,Holz::N,木,мод
403,Holz::N,木材,мод
404,Brett::N,板,банз
405,Platte::N,盤,хавтан
406,Stütze::N,支柱,тулгуур
407,Stütze::N,支柱,тулга
408,Stange::N,棒,сургааг
409,Stock::N,杖,саваа
410,Stab::N,棒,таяг
411,Rohr::N,管,хоолой
412,Haus::N,家,гэр
413,Haus::N,家,байшин
414,Heim::N,家,гэр
415,Ofen::N,ストーブ,зуух
416,Ofen::N,ストーブ,пийшин
417,Fußboden::N,床,шал
418,Tisch::N,机,ширээ
419,Stuhl::N,椅子,сандал
420,Wiege::N,揺籃,өлгий
421,Bett::N,ベッド,ор
422,Regal::N,棚,тавиур
423,Kiste::N,箱,авдар
424,Kiste::N,箱,хайрцаг
425,Fenster::N,窓,гэгээвч
426,Tür::N,戸,үүд
427,Tür::N,戸,хаалга
428,Tür::N,ドア,үүд
429,Tür::N,ドア,хаалга
430,Tor::N,門,хаалга
431,Zaun::N,垣根,хашаа
432,Dach::N,屋根,дээвэр
433,Leiter::N,梯子,шат
434,Besen::N,ほうき,хамуур
435,Besen::N,ほうき,туужуу
436,Spaten::N,スコップ,хүрз
437,Schaufel::N,シャベル,хүрз
438,Gabel::N,フォーク,сэрээ
439,Löffel::N,スプーン,халбага
440,Messer::N,ナイフ,хутга
441,Nagel::N,釘,хадаас
442,Netz::N,網,өөш
443,Netz::N,網,тор
444,Haken::N,鉤,гох
445,Haken::N,フック,гох
446,Griff::N,取っ手,иш
447,Griff::N,取っ手,сэнж
448,Schloss::N,錠,цуурга
449,Schloss::N,錠,цоож
450,Bild::N,絵,зураг
451,Figur::N,像,баримал
452,Puppe::N,人形,хүүхэлдэй
453,Beutel::N,袋,агсаа
454,Beutel::N,袋,уут
455,Bündel::N,束,боодол
456,Bündel::N,包み,боодол
457,Tasche::N,かばん,цүнх
458,Eimer::N,バケツ,хөнөг
459,Eimer::N,バケツ,хувин
460,Deckel::N,蓋,таг
461,Deckel::N,蓋,хавхаг
462,Geschirr::N,食器,сав суулга
463,Sack::N,袋,шуудай
464,Tasse::N,カップ,аяга
465,Topf::N,鍋,тогоо
466,Kessel::N,釜,тогоо
467,Essen::N,食事,идээ
468,Nahrung::N,食物,хүнс
469,Speise::N,料理,идээ
470,Fleisch::N,肉,мах
471,Getreide::N,麦,будаа
472,Getreide::N,穀物,будаа
473,Brei::N,粥,богшмол
474,Brei::N,粥,будаа
475,Brot::N,パン,талх
476,Scheibe::N,枚,зүсэм
477,Scheibe::N,枚,хэрчим
478,Scheibe::N,切れ,зүсэм
479,Scheibe::N,切れ,хэрчим
480,Fett::N,脂肪,өөх
481,Butter::N,バター,тос
482,Öl::N,油,тос
483,Salz::N,塩,давс
484,Suppe::N,スープ,шөл
485,Honig::N,蜂蜜,бал
486,Milch::N,牛乳,сүү
487,Tee::N,茶,цай
488,Tee::N,お茶,цай
489,Leder::N,革,арьс
490,Leder::N,革,савхи
491,Wolle::N,毛糸,ноос
492,Wolle::N,毛糸,унгас
493,Stoff::N,布,бөс
494,Nadel::N,針,зүү
495,Faden::N,糸,боолт
496,Faden::N,糸,утас
497,Knopf::N,ボタン,товч
498,Knoten::N,結び目,зангилаа
499,Farbe::N,ペンキ,будаг
500,Kleidung::N,衣服,хувцас
501,Hemd::N,シャツ,цамц
502,Kragen::N,襟,зах заам
503,Ärmel::N,袖,ханцуй
504,Hose::N,ズボン,өмд
505,Gürtel::N,帯,бүс
506,Gürtel::N,ベルト,бүс
507,Mütze::N,帽子,малгай
508,Mütze::N,帽子,бүрх
509,Schuh::N,靴,туфли
510,Stiefel::N,ブーツ,гутал
511,Ring::N,輪,бөгж
512,Band::N,リボン,тууз
513,Kamm::N,櫛,сам
514,Spiegel::N,鏡,толь
515,Riemen::N,緒,тасам
516,Riemen::N,緒,сур
517,Schnur::N,紐,татлага
518,Leine::N,綱,оосор
519,Decke::N,掛け布団,хөнжил
520,Decke::N,掛け布団,хучлага
521,Kissen::N,枕,дэр
522,Tuch::N,スカーフ,алчуур
523,Tuch::N,スカーフ,даавуу
524,Handtuch::N,タオル,алчуур
525,Kraft::N,力,чадал
526,Kraft::N,力,хүч
527,Stärke::N,強さ,эрч
528,Stärke::N,強さ,тэнхээ
529,Gesundheit::N,健康,бие
530,Gesundheit::N,健康,эрүүл мэнд
531,Krankheit::N,病気,эмгэг
532,Schmerz::N,痛み,өвчин
533,Wunde::N,傷,шарх
534,Fieber::N,熱,халуун
535,Arznei::N,薬,эм
536,Brücke::N,橋,гүүр
537,Brunnen::N,井戸,худаг
538,Weide::N,牧場,бэлчээр
539,Pfad::N,小路,жим
540,Pfad::N,小路,зөрөг
541,Weg::N,道,зам
542,Weg::N,道,харгуй
543,Straße::N,街道,зам
544,Straße::N,街道,харгуй
545,Dorf::N,村,тосгон
546,Dorf::N,村,гацаа
547,Stadt::N,町,хот
548,Stadt::N,都市,хот
549,Brief::N,手紙,захидал
550,Brief::N,手紙,захиа
551,Buch::N,本,ном
552,Buch::N,本,бичиг
553,Buchstabe::N,文字,үсэг
554,Zeitung::N,新聞,сонин
555,Leben::N,生活,амь
556,Leben::N,生活,амьдрал
557,Tod::N,死,үхэл
558,Grab::N,墓,булш
559,Kirche::N,教会,сүм
560,Sünde::N,罪,нүгэл
561,Sünde::N,罪,хилэнц
562,Gott::N,神,бурхан
563,Arbeiter::N,労働者,ажилчин
564,Arbeiter::N,労働者,хөдөлмөрчин
565,Chef::N,上司,дарга
566,Meister::N,達人,дархан
567,Meister::N,マイスター,дархан
568,Arzt::N,医者,эмч
569,Lehrer::N,先生,багш
570,Geld::N,金,цаас
571,Geld::N,金,мөнгө
572,Geschäft::N,取り引き,наймаа
573,Laden::N,店,дэлгүүр
574,Preis::N,値段,үнэ
575,Ware::N,商品,таваар
576,Ware::N,商品,бараа
577,Nutzen::N,利益,ашиг
578,Reichtum::N,豊かさ,баялаг
579,Welt::N,世界,дэлхий
580,Welt::N,世界,орчлон
581,Land::N,国,улс
582,Land::N,国,орон
583,Staat::N,国家,төр
584,Staat::N,国家,гүрэн
585,König::N,国王,ван
586,Macht::N,権力,засаг
587,Grenze::N,国境,хил
588,Krieg::N,戦争,дайн
589,Feind::N,敵,дайсан
590,Gewalt::N,暴力,хүчирхэх
591,Kampf::N,戦い,тэмцэл
592,Kampf::N,戦い,байлдаан
593,Bogen[Waffe]::N,弓,нум
594,Pfeil::N,矢,годил
595,Pfeil::N,矢,сум
596,Gewehr::N,銃,буу
597,Fehler::N,間違い,эндэл
598,Fehler::N,間違い,алдаа
599,Lüge::N,嘘,худал
600,Schaden::N,損害,хор
601,Schaden::N,損害,хөнөөл
602,Unglück::N,不幸,гай
603,Unglück::N,不幸,гамшиг
604,Schuld::N,罪,гэм
605,Schuld::N,罪,буруу
606,Alter::N,年,нас
607,Alter::N,年齢,нас
608,Schluss::N,終わり,эцэс
609,Schluss::N,終わり,төгсгөл
610,Zeit::N,時,цаг
611,Zeit::N,時間,цаг
612,Tag::N,日,өдөр
613,Morgen::N,朝,өглөө
614,Mittag::N,昼,үд
615,Abend::N,晩,үдэш
616,Abend::N,夕方,үдэш
617,Nacht::N,夜,шөнө
618,Woche::N,週,долоо хоног
619,Monat::N,月,сар
620,Jahr::N,年,жил
621,Frühling::N,春,хавар
622,Sommer::N,夏,зун
623,Herbst::N,秋,намар
624,Winter::N,冬,өвөл
625,Januar::N,一月,нэгдүгээр сар
626,Februar::N,二月,хоёрдугаар сар
627,März::N,三月,гуравдугаар сар
628,April::N,四月,дөрөвдүгээр сар
629,Mai::N,五月,тавдугаар сар
630,Juni::N,六月,зургаадугаар сар
631,Juli::N,七月,долдугаар сар
632,August::N,八月,наймдугаар сар
633,September::N,九月,есдүгээр сар
634,Oktober::N,十月,аравдугаар сар
635,November::N,十一月,арван нэгдүгээр сар
636,Dezember::N,十二月,арван хоёрдугаар сар
637,Montag::N,月曜日,даваа
638,Dienstag::N,火曜日,мягмар
639,Mittwoch::N,水曜日,лхагва
640,Donnerstag::N,木曜日,пүрэв
641,Freitag::N,金曜日,баасан
642,Samstag::N,土曜日,бямба
643,Sonntag::N,日曜日,ням
644,groß::A,大きい,их
645,groß::A,大きい,том
646,klein::A,小さい,бага
647,klein::A,小さい,жаахан
648,lang::A,長い,урт
649,kurz::A,短い,охор
650,kurz::A,短い,богино
651,breit::A,広い,өргөн
652,schmal::A,狭い,уйтан
653,schmal::A,狭い,нарийн
654,dicht::A,密な,нягт
655,dicht::A,密な,чигжүү
656,dick[Gegenstand]::A,厚い,зузаан
657,dünn::A,薄い,нимгэн
658,fein::A,細い,нарийн
659,fest::A,硬い,бөх
660,fest::A,硬い,хатуу
661,flach::A,平らな,хавтгай
662,glatt::A,滑らかな,цагаан
663,hart::A,堅い,хатуу
664,weich::A,柔らかい,зөөлөн
665,rund::A,丸い,дугуй
666,rund::A,丸い,дугариг
667,spitz::A,尖った,шовх
668,spitz::A,尖った,шовгор
669,scharf::A,鋭い,хурц
670,scharf::A,鋭い,иртэй
671,stumpf::A,鈍い,мохоо
672,schwer::A,重い,хүнд
673,schön::A,綺麗な,гуа
674,schön::A,綺麗な,сайхан
675,heiß::A,熱い,халуун
676,warm::A,温かい,дулаан
677,kalt::A,寒い,хүйтэн
678,kalt::A,冷たい,хүйтэн
679,kühl::A,涼しい,сэрүүн
680,frisch::A,ひんやりした,эрүүл
681,frisch::A,ひんやりした,жихүүн
682,feucht::A,湿った,чийгтэй
683,nass::A,濡れた,нойтон
684,trocken::A,乾いた,хатсан
685,voll::A,いっぱいの,дүүрэн
686,leer::A,空の,хоосон
687,offen::A,開いた,онгорхой
688,geschlossen::A,閉まった,битүү
689,geschlossen::A,閉まった,хаалтай
690,sauber::A,清潔な,цэвэр
691,sauber::A,清潔な,хиргүй
692,schmutzig::A,汚い,бохир
693,schmutzig::A,汚い,хиртэй
694,roh::A,生の,түүхий
695,reif::A,熟した,болсон
696,lecker::A,美味しい,амттай
697,süß::A,甘い,амттай
698,süß::A,甘い,чихэрлэг
699,bitter::A,苦い,гашуун
700,sauer::A,酸っぱい,эсгэлэн
701,hell::A,明るい,гэгээн
702,hell::A,明るい,гэрэлтэй
703,dunkel::A,暗い,бараан
704,dunkel::A,暗い,харанхуй
705,schwarz::A,黒い,хар
706,weiß::A,白い,цагаан
707,rot::A,赤い,улаан
708,gelb::A,黄色い,шар
709,blau::A,青い,хөх
710,blau::A,青い,цэнхэр
711,grün::A,緑の,ногоон
712,grau::A,灰色の,орог
713,grau::A,灰色の,саарал
714,bunt::A,色取り取りの,эрээн
715,billig::A,安い,хямд
716,teuer::A,高い,үнэтэй
717,wertvoll::A,貴重な,үнэт
718,blind::A,盲目の,сохор
719,taub::A,耳が聞こえない,чих хатуу
720,kräftig::A,強力な,чийрэг
721,stark::A,強い,хүчтэй
722,stark::A,強い,чадалтай
723,schwach::A,弱い,сул
724,fett::A,太った,тарган
725,fett::A,太った,голигор
726,schlank::A,ほっそりした,голшиг
727,hübsch::A,素敵な,сайхан
728,hübsch::A,素敵な,хөөрхөн
729,böse::A,悪い,муу
730,böse::A,悪い,хортой
731,dumm::A,馬鹿な,тэнэг
732,faul::A,怠惰な,залхуу
733,fleißig::A,勤勉な,чармайлтгай
734,geizig::A,けちな,харамч
735,klug::A,賢い,цэцэн
736,klug::A,頭のいい,цэцэн
737,geschickt::A,器用な,дүйтэй
738,lieb::A,愛らしい,хайрт
739,lustig::A,楽しい,цэнгэлтэй
740,sanft::A,温和な,наалинхай
741,hungrig::A,空腹の,өлөн
742,hungrig::A,空腹の,өлссөн
743,krank::A,病気の,өвчтэй
744,nackt::A,裸の,нүцгэн
745,traurig::A,悲しい,гунигт
746,lebendig::A,生きた,амьд
747,lebendig::A,生きた,амьтай
748,gut::A,良い,сайн
749,schlecht::A,悪い,муу
750,schlecht::A,悪い,өөдгүй
751,schlecht::A,駄目な,муу
752,schlecht::A,駄目な,өөдгүй
753,richtig::A,正しい,зөв
754,richtig::A,正しい,зүйтэй
755,schlimm::A,ひどい,муухай
756,wahr::A,本当の,үнэн
757,wahr::A,本当の,жинхэнэ
758,alt::A,古い,хуучин
759,neu::A,新しい,шинэ
760,ehemalig::A,以前の,агсан
761,ehemalig::A,以前の,байсан
762,alt[Lebewesen]::A,年を取った,өвгөн
763,alt[Lebewesen]::A,年を取った,хижээл
764,jung::A,若い,залуу
765,arm::A,貧乏な,ядуу
766,reich::A,裕福な,баян
767,reich::A,裕福な,баялаг
768,bekannt::A,有名な,танил
769,berühmt::A,有名な,цуутай
770,berühmt::A,有名な,алдартай
771,fremd::A,見知らぬ,харь
772,fremd::A,見知らぬ,гадаад
773,verschieden::A,色々な,ондоо
774,verschieden::A,色々な,янз янзын
775,nah::A,近い,ойрын
776,nah::A,近い,дөтийн
777,fern::A,遠い,холын
778,linker::A,左の,буруу
779,rechter::A,右の,баруун
780,anderer::A,別の,өөр
781,anderer::A,別の,нөгөө
782,erster::A,一番目,нэгдэх
783,erster::A,一番目,нэгдүгээр
784,zweiter::A,二番目,хоёрдугаар
785,dritter::A,三番目,гуравдугаар
786,letzter::A,最後の,сүүлийн
787,allein::ADV,一人で,ганцаараа
788,auf einmal::ADV,同時に,нэгмөсөн
789,zusammen::ADV,一緒に,цуг
790,zusammen::ADV,一緒に,хамт
791,lange::ADV,長い間,удаан
792,plötzlich::ADV,急に,гэнэт
793,sofort::ADV,すぐに,дороо
794,später::ADV,後で,дараа
795,jetzt::ADV,今,өнөө
796,heute::ADV,今日,өнөө
797,heute::ADV,今日,өнөөдөр
798,morgen::ADV,明日,маргааш
799,morgen::ADV,明日,маргаадар
800,bald::ADV,間もなく,түргэн
801,bald::ADV,間もなく,удахгүй
802,dann::ADV,それから,хожим
803,dann::ADV,それから,тэгээд
804,gestern::ADV,昨日,өчигдөр
805,einst::ADV,過去に,нэг
806,damals::ADV,あの時,тэгэхэд
807,danach::ADV,その後で,тэгээд
808,danach::ADV,その後で,дараа нь
809,vorher::ADV,以前に,урьд
810,zuerst::ADV,まず,анх
811,zuerst::ADV,まず,эхлээд
812,zuerst::ADV,最初に,анх
813,zuerst::ADV,最初に,эхлээд
814,einmal::ADV,一回,нэг удаа
815,manchmal::ADV,時々,хааяа
816,manchmal::ADV,時々,заримдаа
817,oft::ADV,よく,олонтоо
818,immer::ADV,いつも,байнга
