,Concept_ID,lt,zh
58,Schlaf::N,miegas,睡眠
59,Traum::N,sapnas,梦
60,Himmel::N,dangus,天空
61,Sonne::N,saulė,太阳
62,Mond::N,mėnulis,月亮
63,Stern::N,žvaigždė,星
64,Luft::N,oras,空气
65,Wind::N,vėjas,风
66,Welle::N,banga,波
67,Welle::N,vilnis,波
68,Wasser::N,vanduo,水
69,Stein::N,akmuo,石头
70,Boden::N,žemė,地面
71,Boden::N,dugnas,地面
72,Erde::N,žemė,地
73,Staub::N,dulkės,灰尘
74,Rauch::N,dūmai,烟
75,Funke::N,kibirkštis,火花
76,Feuer::N,ugnis,火
77,Licht::N,šviesa,光
78,Schatten::N,paūksmė,影子
79,Wetter::N,oras,天气
80,Nebel::N,migla,雾
81,Nebel::N,rūkas,雾
82,Wolke::N,debesis,云
83,Regen::N,lietus,雨
84,Schnee::N,sniegas,雪
85,Eis::N,ledas,冰
86,Frost::N,šalna,霜冻
87,Kälte::N,šaltis,寒冷
88,Hitze::N,karštis,炎热
89,Raureif::N,šerkšnas,霜
90,Regenbogen::N,vaivorykštė,虹
91,Donner::N,perkūnas,雷
92,Donner::N,griaustinis,雷
93,Strömung::N,tėkmė,水流
94,Tropfen::N,lašas,滴
95,Schaum::N,putos,泡沫
96,Schmutz::N,purvas,赃物
97,See::N,ežeras,湖
98,Sumpf::N,klampynė,沼泽
99,Sumpf::N,liūnas,沼泽
100,Moor::N,pelkė,沼泽
101,Wiese::N,pieva,草地
102,Wald::N,miškas,森林
103,Hügel::N,kalva,丘陵
104,Anhöhe::N,kauburys,山丘
105,Berg::N,kalnas,山
106,Gipfel::N,viršūnė,峰
107,Höhle::N,ola,洞穴
108,Abhang::N,šlaitas,斜坡
109,Abhang::N,nuokalnė,斜坡
110,Quelle::N,versmė,泉
111,Quelle::N,šaltinis,泉
112,Bach::N,upelis,溪
113,Fluss::N,upė,河流
114,Ufer::N,krantas,岸
115,Küste::N,pajūris,海岸
116,Festland::N,sausuma,大陆
117,Meer::N,jūra,海
118,Bucht::N,įlanka,海湾
119,Bucht::N,užutekis,海湾
120,Insel::N,sala,岛
121,Blume::N,gėlė,花
122,Gras::N,žolė,草
123,Wurzel::N,šaknis,根
124,Baum::N,medis,树
125,Stamm::N,kamienas,树干
126,Rinde::N,žievė,树皮
127,Ast::N,šaka,树枝
128,Zweig::N,šakelė,树枝
129,Blatt::N,lapas,叶子
130,Birke::N,beržas,桦木
131,Kiefer[Baum]::N,pušis,松树
132,Weide[Baum]::N,karklas,柳树
133,Tanne::N,eglė,冷杉
134,Tanne::N,kėnis,冷杉
135,Horn::N,ragas,角
136,Feder::N,plunksna,羽毛
137,Fell::N,kailis,皮毛
138,Flügel::N,sparnas,翅膀
139,Klaue::N,kanopa,爪子
140,Kralle::N,nagas,爪子
141,Schwanz::N,uodega,尾巴
142,Ei::N,kiaušinis,蛋
143,Nest::N,gūžta,巢
144,Nest::N,lizdas,巢
145,Bau::N,ola,穴
146,Tier::N,gyvūnas,动物
147,Herde::N,banda,群
148,Herde::N,kaimenė,群
149,Kuh::N,karvė,母牛
150,Bulle::N,bulius,公牛
151,Pferd::N,arklys,马
152,Schaf::N,avis,羊
153,Schwein::N,kiaulė,猪
154,Hund::N,šuo,狗
155,Katze::N,katė,猫
156,Bär::N,lokys,熊
157,Eichhörnchen::N,voveraitė,松鼠
158,Elch::N,briedis,麋鹿
159,Fuchs::N,lapė,狐狸
160,Hase::N,kiškas,兔子
161,Maus::N,pelė,老鼠
162,Wolf::N,vilkas,狼
163,Vogel::N,paukštis,鸟
164,Schwarm::N,spiečius,群
165,Huhn::N,višta,鸡
166,Hahn::N,gaidys,公鸡
167,Gans::N,žąsis,鹅
168,Adler::N,erelis,鹰
169,Ente::N,antis,鸭
170,Eule::N,pelėda,猫头鹰
171,Kranich::N,gervė,鹤
172,Krähe::N,varna,乌鸦
173,Kuckuck::N,gegužė,布谷鸟
174,Schwan::N,gulbė,天鹅
175,Fisch::N,žuvis,鱼
176,Barsch::N,ešerys,鲈鱼
177,Hecht::N,lydeka,狗鱼
178,Schlange[Tier]::N,gyvatė,蛇
179,Wurm::N,kirmėlė,蠕虫
180,Spinne::N,voras,蜘蛛
181,Ameise::N,skruzdė,蚂蚁
182,Laus::N,utėlė,虱子
183,Mücke::N,uodas,蚊子
184,Fliege::N,musė,苍蝇
185,Schmetterling::N,drugys,蝴蝶
186,Schmetterling::N,peteliškė,蝴蝶
187,Beere::N,uoga,将果
188,Apfel::N,obuolys,苹果
189,Pilz::N,grybas,蘑菇
190,Zwiebel::N,svogūnas,洋葱
191,Saat::N,sėkla,种子
192,Korn::N,grūdai,谷粒
193,Heu::N,šienas,干草
194,Schale::N,žievelė,壳
195,Grube::N,duobė,坑
196,Falle::N,pinklės,圈套
197,Falle::N,žabangai,圈套
198,Schlinge::N,kilpa,活扣
199,Spur::N,vėžė,踪迹
200,Spur::N,pėdos,踪迹
201,Spur::N,pėdsakas,踪迹
202,Asche::N,pelenai,灰烬
203,Dreck::N,purvas,污垢
204,Eisen::N,geležis,铁
205,Gold::N,auksas,金子
206,Silber::N,sidabras,银
207,Kohle::N,anglis,煤
208,Glas::N,stiklas,玻璃
209,Lehm::N,molis,粘土
210,Sand::N,smėlis,沙
211,Mensch::N,žmogus,人
212,Mann::N,vyras,男子
213,Mann::N,vyriškis,男子
214,Frau::N,moteris,妇女
215,Kind::N,vaikas,小孩
216,Junge::N,vaikinas,男孩
217,Junge::N,berniukas,男孩
218,Mädchen::N,mergytė,女孩
219,Mädchen::N,mergaitė,女孩
220,Familie::N,šeima,家庭
221,Großvater::N,senelis,祖父
222,Großmutter::N,senelė,祖母
223,Eltern::N,tėvai,父母
224,Vater::N,tėvas,父亲
225,Mutter::N,motina,母亲
226,Sohn::N,sūnus,儿子
227,Tochter::N,duktė,女儿
228,Bruder::N,brolis,兄弟
229,Schwester::N,sesuo,姐妹
230,Onkel::N,dėdė,伯父
231,Tante::N,teta,阿姨
232,Ehemann::N,vyras,丈夫
233,Ehefrau::N,žmona,妻子
234,Freude::N,džiaugsmas,愉快
235,Gelächter::N,juokas,大笑
236,Glück::N,laimė,运气
237,Kummer::N,vargas,苦恼
238,Kummer::N,rūpestis,苦恼
239,Wunsch::N,troškimas,愿望
240,Wunsch::N,pageidavimas,愿望
241,Lust::N,noras,乐趣
242,Lust::N,geidulys,乐趣
243,Geist::N,dvasia,精神
244,Gedanke::N,mintis,思想
245,Gedächtnis::N,atmintis,记性
246,Verstand::N,protas,理智
247,Sinn::N,prasmė,感觉
248,Grund::N,priežastis,理由
249,Wahrheit::N,tiesa,真理
250,Wahrheit::N,teisybė,真理
251,Gespräch::N,pokalbis,谈话
252,Märchen::N,pasaka,童话
253,Erzählung::N,apsakymas,故事
254,Erzählung::N,pasakojimas,故事
255,Nachricht::N,žinia,消息
256,Neuigkeit::N,naujiena,新闻
257,Name::N,vardas,名字
258,Rätsel::N,mįslė,谜语
259,Rede::N,kalba,讲话
260,Sprache::N,kalba,语言
261,Stimme::N,balsas,声音
262,Wort::N,žodis,词
263,Zeichen::N,žymė,标记
264,Zeichen::N,ženklas,标记
265,Ruf::N,šauksmas,呼喊
266,Lärm::N,triukšmas,噪音
267,Laut::N,garsas,响声
268,Ton::N,tonas,声音
269,Ton::N,garsas,声音
270,Lied::N,daina,歌曲
271,Lied::N,giesmė,歌曲
272,Ruhe::N,ramybė,安静
273,Ruhe::N,ramumas,安静
274,Leute::N,žmonės,人们
275,Volk::N,tauta,人民
276,Arbeit::N,darbas,劳动
277,Arbeit::N,triūsas,劳动
278,Gast::N,svečias,客人
279,Geschenk::N,dovana,礼物
280,Spiel::N,žaismas,游戏
281,Spiel::N,žaidimas,游戏
282,Gesellschaft::N,draugija,陪同
283,Gesellschaft::N,kompanija,陪同
284,Hilfe::N,pagalba,帮助
285,Freund::N,draugas,朋友
286,Freund::N,bičiulis,朋友
287,Kamerad::N,draugas,同志
288,Angelegenheit::N,dalykas,事情
289,Angelegenheit::N,reikalas,事情
290,Anzahl::N,kiekis,数目
291,Anzahl::N,skaičius,数目
292,Art::N,rūšis,种类
293,Stück::N,gabalas,块
294,Teil::N,dalis,部分
295,Hälfte::N,pusė,一半
296,Kreis::N,ratas,圆
297,Kreis::N,apskritis,圆
298,Kreis::N,apskritimas,圆
299,Kreuz::N,kryžius,十字架
300,Linie::N,linija,线条
301,Strich::N,brėžis,划
302,Strich::N,brūkšnys,划
303,Abstand::N,atstumas,距离
304,Entfernung::N,atstumas,距离
305,Gegend::N,vietovė,地区
306,Platz::N,vieta,场所
307,Ort::N,vieta,地点
308,Ort::N,vietovė,地点
309,Seite::N,pusė,面
310,Seite::N,šonas,面
311,Mitte::N,vidurys,中间
312,Gegenstand::N,dalykas,物品
313,Sache::N,daiktas,物
314,Rand::N,kraštas,边
315,Rand::N,pakraštys,边
316,Kante::N,kraštas,棱
317,Ecke::N,kertė,角
318,Ecke::N,kampas,角
319,Spitze::N,priekis,尖
320,Spitze::N,priešakys,尖
321,Ende::N,galas,结尾
322,Loch::N,skylė,洞
323,Winkel::N,kampas,角度
324,Winkel::N,kampelis,角度
325,Muster::N,raštas,模型
326,Größe::N,dydis,大小
327,Größe::N,didumas,大小
328,Länge::N,ilgis,长度
329,Länge::N,ilgumas,长度
330,Höhe::N,aukštis,高度
331,Höhe::N,aukštuma,高度
332,Gewicht::N,svoris,重量
333,Gewicht::N,svarstis,重量
334,Menge::N,kiekis,数量
335,Menge::N,daugybė,数量
336,Haufen::N,krūva,堆
337,Haufen::N,šūsnis,堆
338,Reihe::N,greta,行
339,Boot::N,valtis,小船
340,Boot::N,laivelis,小船
341,Ruder::N,irklas,奖
342,Schlitten::N,rogės,雪橇
343,Schlitten::N,rogutės,雪橇
344,Ski::N,slidė,雪板
345,Lagerfeuer::N,laužas,营火
346,Last::N,našta,负担
347,Last::N,nešulys,负担
348,Gang::N,eisena,行走
349,Schritt::N,žingsnis,步伐
350,Norden::N,šiaurė,北
351,Norden::N,žiemiai,北
352,Süden::N,pietūs,南
353,Westen::N,vakarai,西
354,Osten::N,rytai,东
355,Holz::N,mediena,木材
356,Brett::N,lenta,木板
357,Platte::N,plokštė,平板
358,Stütze::N,atrama,支架
359,Stütze::N,atspara,支架
360,Stange::N,lazda,杆
361,Stange::N,kartis,杆
362,Stock::N,lazda,棒
363,Stab::N,kartis,棍
364,Rohr::N,vamzdis,管子
365,Haus::N,namas,房屋
366,Heim::N,namai,家
367,Ofen::N,krosnis,炉子
368,Fußboden::N,grindys,地板
369,Tisch::N,stalas,桌子
370,Stuhl::N,kėdė,椅子
371,Wiege::N,lopšys,摇蓝
372,Bett::N,lova,床
373,Bett::N,patalai,床
374,Regal::N,lentyna,架子
375,Kiste::N,dėžė,箱子
376,Fenster::N,langas,窗户
377,Tür::N,durys,门
378,Tor::N,vartai,大门
379,Zaun::N,tvora,篱笆
380,Dach::N,stogas,屋顶
381,Leiter::N,kopėčios,梯子
382,Besen::N,šluota,扫帚
383,Spaten::N,lopeta,铁锹
384,Spaten::N,kastuvas,铁锹
385,Schaufel::N,semtuvas,铁锹
386,Gabel::N,šakutė,叉
387,Löffel::N,šaukštas,食匙
388,Messer::N,peilis,刀
389,Nagel::N,vinis,钉子
390,Netz::N,tinklas,网
391,Haken::N,vagis,钩子
392,Haken::N,kablys,钩子
393,Griff::N,kotas,把柄
394,Griff::N,rankena,把柄
395,Schloss::N,spyna,锁
396,Schloss::N,užraktas,锁
397,Bild::N,paveikslas,图画
398,Figur::N,figūra,人像
399,Puppe::N,lėlė,娃娃
400,Beutel::N,krepšys,袋子
401,Beutel::N,maišelis,袋子
402,Bündel::N,ryšulys,捆
403,Tasche::N,krepšelis,手提包
404,Eimer::N,kibiras,桶
405,Deckel::N,dangtis,盖子
406,Geschirr::N,indai,餐具
407,Sack::N,maišas,袋子
408,Tasse::N,puodukas,杯子
409,Topf::N,puodas,锅
410,Kessel::N,katilas,水壶
411,Essen::N,valgis,进餐
412,Nahrung::N,penas,食物
413,Nahrung::N,maistas,食物
414,Speise::N,patiekalas,菜肴
415,Fleisch::N,mėsa,肉
416,Getreide::N,javai,谷物
417,Brei::N,košė,粥
418,Brot::N,duona,面包
419,Scheibe::N,riekė,片
420,Fett::N,taukai,脂肪
421,Fett::N,riebalai,脂肪
422,Butter::N,sviestas,黄油
423,Öl::N,aliejus,油
424,Salz::N,druska,盐
425,Suppe::N,sriuba,汤
426,Honig::N,medus,蜂蜜
427,Milch::N,pienas,奶
428,Tee::N,arbata,茶
429,Leder::N,oda,皮革
430,Wolle::N,vilna,毛线
431,Stoff::N,audeklas,织物
432,Nadel::N,adata,针
433,Faden::N,gija,线
434,Faden::N,siūlas,线
435,Knopf::N,saga,纽扣
436,Knoten::N,mazgas,结
437,Farbe::N,dažai,颜色
438,Kleidung::N,rūbai,衣服
439,Kleidung::N,drabužiai,衣服
440,Hemd::N,marškiniai,衬衫
441,Kragen::N,apykaklė,领子
442,Ärmel::N,rankovė,袖子
443,Hose::N,kelnės,裤子
444,Gürtel::N,juosta,腰带
445,Gürtel::N,diržas,腰带
446,Mütze::N,kepurė,帽子
447,Schuh::N,batas,鞋
448,Stiefel::N,auliniai batai,靴子
449,Ring::N,žiedas,戒指
450,Band::N,kaspinas,带子
451,Kamm::N,šukos,梳子
452,Spiegel::N,veidrodis,镜子
453,Riemen::N,diržas,皮带
454,Schnur::N,virvė,绳子
455,Leine::N,pavadėlis,皮带
456,Decke::N,antklodė,被子
457,Kissen::N,pagalvė,软垫
458,Kissen::N,priegalvis,软垫
459,Tuch::N,skarelė,巾
460,Handtuch::N,rankšluostis,手巾
461,Kraft::N,jėga,力
462,Stärke::N,stiprumas,力量
463,Gesundheit::N,sveikata,健康
464,Krankheit::N,liga,病
465,Schmerz::N,skausmas,痛
466,Wunde::N,žaizda,伤口
467,Fieber::N,karštis,发烧
468,Arznei::N,vaistas,药
469,Brücke::N,tiltas,桥
470,Brunnen::N,šulinys,井
471,Weide::N,ganykla,牧场
472,Weide::N,gluosnis,牧场
473,Pfad::N,takas,小路
474,Weg::N,kelias,路
475,Straße::N,gatvė,街
476,Dorf::N,kaimas,村庄
477,Dorf::N,sodžius,村庄
478,Stadt::N,miestas,城市
479,Brief::N,laiškas,信
480,Buch::N,knyga,书
481,Buchstabe::N,raidė,字母
482,Zeitung::N,laikraštis,报纸
483,Leben::N,gyvybė,生命
484,Leben::N,gyvenimas,生命
485,Tod::N,mirtis,死亡
486,Grab::N,kapas,坟墓
487,Kirche::N,bažnyčia,教堂
488,Sünde::N,nuodėmė,罪
489,Sünde::N,nusidėjimas,罪
490,Gott::N,dievas,上帝
491,Arbeiter::N,darbininkas,工人
492,Chef::N,šefas,上司
493,Chef::N,vadovas,上司
494,Chef::N,viršininkas,上司
495,Meister::N,meistras,师傅
496,Arzt::N,gydytojas,医生
497,Lehrer::N,mokytojas,教师
498,Geld::N,pinigai,钱
499,Geschäft::N,biznis,交易
500,Laden::N,krautuvė,商店
501,Laden::N,parduotuvė,商店
502,Preis::N,kaina,价格
503,Ware::N,prekė,商品
504,Nutzen::N,nauda,好处
505,Nutzen::N,pelnas,好处
506,Reichtum::N,turtas,财富
507,Welt::N,pasaulis,世界
508,Land::N,žemė,国家
509,Land::N,šalis,国家
510,Staat::N,valstija,国家
511,König::N,karalius,国王
512,Macht::N,galia,权力
513,Macht::N,valdžia,权力
514,Grenze::N,riba,边界
515,Grenze::N,siena,边界
516,Krieg::N,karas,战争
517,Feind::N,priešas,敌人
518,Gewalt::N,jėga,暴力
519,Gewalt::N,smurtas,暴力
520,Gewalt::N,prievarta,暴力
521,Kampf::N,kova,战斗
522,Bogen[Waffe]::N,lankas,弓
523,Pfeil::N,strėlė,箭
524,Gewehr::N,šautuvas,枪
525,Fehler::N,klaida,错误
526,Lüge::N,melas,谎话
527,Schaden::N,nuostolis,损失
528,Schaden::N,apgadinimas,损失
529,Unglück::N,nelaimė,不幸
530,Schuld::N,kaltė,过错
531,Alter::N,amžius,年龄
532,Schluss::N,pabaiga,结束
533,Zeit::N,laikas,时间
534,Tag::N,diena,天
535,Morgen::N,rytas,早晨
536,Mittag::N,vidurdienis,中午
537,Abend::N,vakaras,晚上
538,Nacht::N,naktis,夜
539,Woche::N,savaitė,星期
540,Monat::N,mėnuo,月
541,Jahr::N,metai,年
542,Frühling::N,pavasaris,春天
543,Sommer::N,vasara,夏天
544,Herbst::N,ruduo,秋天
545,Winter::N,žiema,冬天
546,Januar::N,sausis,一月
547,Februar::N,vasaris,二月
548,März::N,kovas,三月
549,April::N,balandis,四月
550,Mai::N,gegužė,五月
551,Juni::N,birželis,六月
552,Juli::N,liepa,七月
553,August::N,rugpjūtis,八月
554,September::N,rugsėjis,九月
555,Oktober::N,spalis,十月
556,November::N,lapkritis,十一月
557,Dezember::N,gruodis,十二月
558,Montag::N,pirmadienis,星期一
559,Dienstag::N,antradienis,星期二
560,Mittwoch::N,trečiadienis,星期三
561,Donnerstag::N,ketvirtadienis,星期四
562,Freitag::N,penktadienis,星期五
563,Samstag::N,šeštadienis,星期六
564,Sonntag::N,sekmadienis,星期日
565,groß::A,didis,大
566,groß::A,didelis,大
567,klein::A,mažas,小
568,lang::A,ilgas,长
569,kurz::A,trumpas,短
570,breit::A,platus,宽
571,schmal::A,smulkus,细长的
572,dicht::A,tankus,密
573,dick[Gegenstand]::A,storas,厚
574,dünn::A,plonas,薄
575,fein::A,smulkus,细小
576,fest::A,kietas,固体
577,fest::A,tvirtas,固体
578,flach::A,lėkštas,平坦
579,flach::A,plokščias,平坦
580,glatt::A,slidus,光滑
581,hart::A,kietas,硬
582,weich::A,minkštas,软
583,rund::A,apvalus,圆
584,rund::A,apskritas,圆
585,spitz::A,aštrus,尖
586,spitz::A,smailus,尖
587,scharf::A,aštrus,锋利
588,stumpf::A,bukas,钝
589,stumpf::A,atšipęs,钝
590,schwer::A,sunkus,重
591,schön::A,gražus,美丽
592,heiß::A,karštas,烫
593,warm::A,šiltas,暖和
594,kalt::A,šaltas,冷
595,kühl::A,vėsus,凉
596,kühl::A,bejausmis,凉
597,frisch::A,šviežias,新鲜
598,feucht::A,drėgnas,潮湿
599,nass::A,šlapias,湿
600,trocken::A,sausas,干
601,voll::A,pilnas,满
602,leer::A,tuščias,空
603,offen::A,atviras,敞开
604,geschlossen::A,uždaras,关闭
605,geschlossen::A,uždarytas,关闭
606,sauber::A,švarus,干净
607,schmutzig::A,nešvarus,肮脏
608,schmutzig::A,purvinas,肮脏
609,roh::A,žalias,生
610,reif::A,prinokęs,成熟
611,reif::A,pribrendęs,成熟
612,lecker::A,gardus,好吃
613,süß::A,saldus,甜
614,bitter::A,kartus,苦
615,sauer::A,gižus,酸
616,sauer::A,rūgštus,酸
617,hell::A,šviesus,亮
618,hell::A,skaistus,亮
619,dunkel::A,tamsus,阴暗
620,schwarz::A,juodas,黑
621,weiß::A,baltas,白
622,rot::A,raudonas,红
623,gelb::A,geltonas,黄
624,blau::A,mėlynas,蓝
625,grün::A,žalias,绿
626,grau::A,pilkas,灰色
627,bunt::A,margas,五彩
628,bunt::A,spalvotas,五彩
629,billig::A,pigus,便宜
630,teuer::A,brangus,贵
631,wertvoll::A,vertingas,贵重
632,blind::A,aklas,瞎
633,taub::A,kurčias,聋
634,kräftig::A,stiprus,强壮
635,stark::A,stiprus,强壮
636,schwach::A,silpnas,弱
637,fett::A,riebus,胖
638,schlank::A,laibas,苗条
639,schlank::A,lieknas,苗条
640,hübsch::A,gražus,漂亮
641,böse::A,blogas,邪恶
642,dumm::A,paikas,笨
643,dumm::A,kvailas,笨
644,faul::A,tingus,懒惰
645,fleißig::A,stropus,勤奋
646,fleißig::A,kruopštus,勤奋
647,geizig::A,šykštus,吝啬
648,klug::A,sumanus,聪明
649,klug::A,protingas,聪明
650,geschickt::A,apsukrus,灵巧
651,lieb::A,mielas,可爱
652,lustig::A,smagus,快乐
653,lustig::A,linksmas,快乐
654,sanft::A,švelnus,柔和
655,sanft::A,minkštas,柔和
656,hungrig::A,alkanas,饥饿
657,krank::A,ligotas,患病
658,krank::A,sergantis,患病
659,nackt::A,nuogas,裸体
660,traurig::A,liūdnas,悲哀
661,lebendig::A,gyvas,活
662,gut::A,geras,好
663,schlecht::A,blogas,坏
664,schlecht::A,prastas,坏
665,richtig::A,tikras,正确
666,richtig::A,teisingas,正确
667,schlimm::A,blogas,糟糕
668,schlimm::A,prastas,糟糕
669,wahr::A,tikras,真
670,alt::A,senas,旧
671,neu::A,naujas,新
672,ehemalig::A,buvęs,以前
673,alt[Lebewesen]::A,pagyvenęs,老
674,jung::A,jaunas,年轻
675,arm::A,neturtingas,贫穷
676,reich::A,turtingas,富裕
677,bekannt::A,žinomas,出名
678,bekannt::A,pažįstamas,出名
679,berühmt::A,žymus,著名
680,berühmt::A,garsus,著名
681,fremd::A,svetimas,陌生
682,verschieden::A,įvairus,不同
683,nah::A,artimas,近
684,fern::A,tolimas,遥远
685,linker::A,kairys,左
686,rechter::A,dešinys,右
687,anderer::A,kitas,别的
688,erster::A,pirmas,第一
689,zweiter::A,antras,第二
690,dritter::A,trečias,第三
691,letzter::A,paskutinis,最后
692,allein::ADV,vienas,单独
693,auf einmal::ADV,iš karto,同时
694,zusammen::ADV,kartu,一起
695,zusammen::ADV,drauge,一起
696,lange::ADV,ilgai,许久
697,plötzlich::ADV,staiga,忽然
698,sofort::ADV,tuojau,立刻
699,später::ADV,vėliau,以后
700,später::ADV,paskiau,以后
701,jetzt::ADV,dabãr,现在
702,heute::ADV,šiandien,今天
703,morgen::ADV,rytoj,明天
704,bald::ADV,greitai,即将
705,bald::ADV,netrukus,即将
706,dann::ADV,po to,然后
707,gestern::ADV,vakar,昨天
708,einst::ADV,kadaise,曾经
709,einst::ADV,kitą kartą,曾经
710,damals::ADV,anuomet,当时
711,damals::ADV,anuokart,当时
712,danach::ADV,po to,随后
713,danach::ADV,paskui,随后
714,vorher::ADV,anksčiau,事先
715,zuerst::ADV,pirma,首先
716,zuerst::ADV,iš pradžių̃,首先
717,einmal::ADV,kartą,一次
718,einmal::ADV,vieną kartą,一次
719,manchmal::ADV,kai kada,有时
720,oft::ADV,dažnai,时常
721,immer::ADV,visada,总是
722,immer::ADV,visuomet,总是
723,niemals::ADV,niekada,从未
724,niemals::ADV,niekuomet,从未
725,hier::ADV,čia,这里
726,hierhin::ADV,šen,到这里
727,hierhin::ADV,čionai,到这里
728,von hier::ADV,iš čia,由此
729,dort::ADV,ten,那里
730,dort::ADV,tenai,那里
731,dorthin::ADV,ten,到那里
732,dorthin::ADV,ten link,到那里
733,geradeaus::ADV,tiesiai,一直往前
734,vorwärts::ADV,pirmyn,向前
735,rückwärts::ADV,atbulai,向后
736,zurück::ADV,atgal,退后
737,unten::ADV,žemai,下面
738,unten::ADV,apačioje,下面
739,hinab::ADV,žemyn,向下
740,oben::ADV,viršuj,上面
741,hinauf::ADV,aukštyn,向上
742,hinauf::ADV,į viršų,向上
743,überall::ADV,visur,到处
744,nicht::ADV,ne,不
745,ein wenig::ADV,truputį,一点儿
746,kaum::ADV,vos,几乎不
747,sehr::ADV,labai,很
748,sehr::ADV,baisiai,很
749,so::ADV,taip,如此
750,noch::ADV,dar,还
751,nur::ADV,tik,只
752,nur::ADV,vien,只
753,schon::ADV,jau,已经
754,wieder::ADV,vėl,又
755,wieder::ADV,iš naujo,又
756,vergebens::ADV,veltui,
757,vergebens::ADV,bergždžiai,
758,vor::PRP,prieš,在...面前
759,hinter::PRP,už,在...背后
760,unter::PRP,po,在...下面
761,durch::PRP,pro,穿过
762,durch::PRP,per,穿过
763,neben::PRP,prie,在...旁
764,neben::PRP,šalia,在...旁
765,zwischen::PRP,tarp,在...之间
766,wegen::PRP,dėl,由于
767,wegen::PRP,dėlei,由于
768,dies::PRN,šis,这
769,dies::PRN,šitas,这
770,das::PRN,tat,那
771,alles::PRN,visas,一切
772,ich::PRN,aš,我
773,du::PRN,tu,你
774,er::PRN,jis,他
775,wir::PRN,mes,我们
776,ihr::PRN,jūs,你们
777,sie::PRN,ji,她
778,sie::PRN,jos,她
779,was::FPRN,kas,什么
780,wer::FPRN,kas,谁
781,wo::FADV,kur,哪里
782,wohin::FADV,kur,去哪里
783,wohin::FADV,kur link,去哪里
784,wie::FADV,kaip,怎么
785,warum::FADV,kod̃ėl,为什么
786,warum::FADV,dėl ko,为什么
787,wieviel::FNUM,kiek,多少
788,eins::NUM,vienas,一
789,zwei::NUM,du,二
790,drei::NUM,trys,三
791,vier::NUM,keturi,四
792,fünf::NUM,penki,五
793,sechs::NUM,šeši,六
794,sieben::NUM,septyni,七
795,acht::NUM,aštuoni,八
796,neun::NUM,devyni,九
797,zehn::NUM,dešimt,十
798,elf::NUM,vienuolika,十一
799,zwölf::NUM,dvylika,十二
800,zwanzig::NUM,dvidešimt,二十
801,dreißig::NUM,trisdešimt,三十
802,vierzig::NUM,keturiasdešimt,四十
803,fünfzig::NUM,penkiasdešimt,五十
804,sechzig::NUM,šešiasdešimt,六十
805,siebzig::NUM,septyniasdešimt,七十
806,achtzig::NUM,aštuoniasdešimt,八十
807,neunzig::NUM,devyniasdešimt,九十
808,hundert::NUM,šimtas,百
809,tausend::NUM,tūkstantis,千
810,und::CNJ,ĩr,和
811,oder::CNJ,ar,或者
812,oder::CNJ,arba,或者
813,stehen::V,stovėti,站
814,sitzen::V,sėdėti,坐
815,liegen::V,gulėti,躺着
816,hängen::V,kyboti,挂着
817,hängen::V,kabėti,挂着
818,werden::V,taptis,成为
819,werden::V,darytis,成为
820,passieren::V,atsitikti,发生
821,passieren::V,pasitaikyti,发生
822,beginnen::V,prasid́ėti,开始
823,enden::V,baigtis,终止
