,Concept_ID,cs,it
266,Gelächter::N,smích,risata
267,Glück::N,štěstí,felicità
268,Kummer::N,žal,afflizione
269,Kummer::N,trápení,afflizione
270,Wunsch::N,přání,desiderio
271,Lust::N,chuť,voglia
272,Geist::N,duch,mente
273,Geist::N,duch,spìrito
274,Gedanke::N,myšlenka,idea
275,Gedanke::N,myšlenka,pensiero
276,Gedächtnis::N,paměť,memoria
277,Verstand::N,rozum,intelletto
278,Sinn::N,smysl,senso
279,Sinn::N,smysl,significato
280,Grund::N,důvod,causa
281,Grund::N,důvod,motivo
282,Grund::N,důvod,ragione
283,Wahrheit::N,pravda,verità
284,Gespräch::N,rozhovor,discorso
285,Gespräch::N,rozhovor,conversazione
286,Märchen::N,pohádka,fiaba
287,Märchen::N,pohádka,fàvola
288,Erzählung::N,povídka,racconto
289,Erzählung::N,povídka,narrazione
290,Nachricht::N,zpráva,messaggio
291,Neuigkeit::N,novina,notizia
292,Neuigkeit::N,novinka,notizia
293,Name::N,jméno,nome
294,Rätsel::N,hádanka,indovinello
295,Rede::N,řeč,discorso
296,Rede::N,proslov,discorso
297,Sprache::N,řeč,lingua
298,Sprache::N,řeč,linguaggio
299,Sprache::N,jazyk,lingua
300,Sprache::N,jazyk,linguaggio
301,Stimme::N,hlas,voce
302,Wort::N,slovo,parola
303,Zeichen::N,znamení,segno
304,Zeichen::N,znamení,segnale
305,Ruf::N,zavolání,chiamata
306,Lärm::N,hluk,chiasso
307,Lärm::N,hluk,strèpito
308,Laut::N,zvuk,suono
309,Ton::N,tón,tono
310,Lied::N,píseň,canto
311,Lied::N,píseň,canzone
312,Ruhe::N,klid,calma
313,Ruhe::N,klid,tranquillità
314,Ruhe::N,pokoj,calma
315,Ruhe::N,pokoj,tranquillità
316,Leute::N,lidé,gente
317,Volk::N,národ,pòpolo
318,Arbeit::N,práce,lavoro
319,Gast::N,host,òspite
320,Gast::N,host,invitato
321,Geschenk::N,dar,regalo
322,Spiel::N,hra,gioco
323,Gesellschaft::N,společnost,compagnìa
324,Hilfe::N,pomoc,aiuto
325,Hilfe::N,pomoc,soccorso
326,Freund::N,přítel,amico
327,Kamerad::N,kamarád,camerata
328,Angelegenheit::N,záležitost,affare
329,Angelegenheit::N,záležitost,faccenda
330,Anzahl::N,počet,nùmero
331,Anzahl::N,počet,quantità
332,Art::N,druh,tipo
333,Art::N,druh,specie
334,Stück::N,kus,pezzo
335,Stück::N,kousek,pezzo
336,Teil::N,díl,parte
337,Teil::N,část,parte
338,Hälfte::N,půl,metà
339,Kreis::N,kruh,cìrcolo
340,Kreuz::N,kříž,croce
341,Linie::N,linka,lìnea
342,Strich::N,čára,tratto
343,Strich::N,čárka,tratto
344,Abstand::N,vzdálenost,distanza
345,Entfernung::N,vzdálenost,distanza
346,Entfernung::N,vzdálenost,lontananza
347,Gegend::N,krajina,regione
348,Platz::N,prostor,posto
349,Platz::N,prostor,spazio
350,Ort::N,místo,luogo
351,Ort::N,místo,località
352,Seite::N,strana,lato
353,Seite::N,strana,parte
354,Mitte::N,střed,mezzo
355,Mitte::N,střed,centro
356,Mitte::N,prostředek,mezzo
357,Mitte::N,prostředek,centro
358,Gegenstand::N,předmět,oggetto
359,Sache::N,věc,cosa
360,Rand::N,kraj,orlo
361,Rand::N,kraj,bordo
362,Rand::N,okraj,orlo
363,Rand::N,okraj,bordo
364,Kante::N,hrana,spìgolo
365,Ecke::N,roh,canto
366,Spitze::N,hrot,punta
367,Spitze::N,špička,punta
368,Ende::N,konec,capo
369,Ende::N,konec,estremità
370,Loch::N,díra,buco
371,Winkel::N,kout,àngolo
372,Muster::N,vzor,disegno
373,Größe::N,velikost,taglia
374,Größe::N,velikost,grandezza
375,Länge::N,délka,lunghezza
376,Höhe::N,výška,altezza
377,Gewicht::N,váha,peso
378,Menge::N,množství,quantità
379,Haufen::N,kupa,cùmulo
380,Haufen::N,kupa,mucchio
381,Haufen::N,hromada,cùmulo
382,Haufen::N,hromada,mucchio
383,Reihe::N,řada,fila
384,Reihe::N,řádek,fila
385,Boot::N,člun,barca
386,Boot::N,člun,battello
387,Ruder::N,veslo,remo
388,Schlitten::N,sáně,slitta
389,Ski::N,lyže,sci
390,Lagerfeuer::N,táborák,falò
391,Lagerfeuer::N,táborák,fuoco di bivacco
392,Last::N,náklad,càrico
393,Last::N,břemeno,càrico
394,Gang::N,chůze,andata
395,Gang::N,chodba,andata
396,Schritt::N,krok,passo
397,Norden::N,sever,nord
398,Norden::N,sever,settentrione
399,Süden::N,jih,sud
400,Süden::N,jih,meridione
401,Westen::N,západ,òvest
402,Westen::N,západ,occidente
403,Osten::N,východ,est
404,Osten::N,východ,oriente
405,Holz::N,dřevo,legno
406,Brett::N,prkno,asse
407,Brett::N,prkno,tàvola
408,Platte::N,deska,lastra
409,Platte::N,deska,piastra
410,Stütze::N,opěra,supporto
411,Stange::N,tyč,sbarra
412,Stange::N,tyč,pèrtica
413,Stange::N,tyčka,sbarra
414,Stange::N,tyčka,pèrtica
415,Stock::N,hůlka,verga
416,Stock::N,hůlka,bastone
417,Stock::N,hůlka,bacchetta
418,Stab::N,hůl,asta
419,Rohr::N,trubka,tubo
420,Haus::N,dům,casa
421,Heim::N,domov,casa
422,Ofen::N,kamna,stufa
423,Fußboden::N,podlaha,pavimento
424,Tisch::N,stůl,tàvolo
425,Stuhl::N,židle,sedia
426,Wiege::N,kolébka,culla
427,Bett::N,postel,letto
428,Regal::N,regál,scaffale
429,Regal::N,police,scaffale
430,Kiste::N,bedna,cassa
431,Fenster::N,okno,finestra
432,Tür::N,dveře,porta
433,Tor::N,vrata,portone
434,Zaun::N,plot,recinto
435,Dach::N,střecha,tetto
436,Leiter::N,žebřík,scala
437,Leiter::N,žebřík,scala a pioli
438,Besen::N,koště,scopa
439,Besen::N,smeták,scopa
440,Spaten::N,rýč,vanga
441,Schaufel::N,lopata,pala
442,Gabel::N,vidlička,forchetta
443,Löffel::N,lžíce,cucchiaio
444,Messer::N,nůž,coltello
445,Nagel::N,hřebík,chiodo
446,Netz::N,síť,rete
447,Haken::N,hák,uncino
448,Griff::N,držadlo,mànico
449,Griff::N,držadlo,maniglia
450,Schloss::N,zámek,serratura
451,Bild::N,obraz,quadro
452,Bild::N,obraz,immàgine
453,Figur::N,figura,figura
454,Puppe::N,panenka,bàmbola
455,Beutel::N,pytlík,borsa
456,Beutel::N,pytlík,sacchetto
457,Bündel::N,svazek,fascio
458,Bündel::N,svazek,fagotto
459,Tasche::N,taška,borsa
460,Tasche::N,brašna,borsa
461,Eimer::N,kýbl,secchio
462,Eimer::N,vědro,secchio
463,Deckel::N,víko,coperchio
464,Deckel::N,příklop,coperchio
465,Geschirr::N,nádobí,stoviglie
466,Sack::N,pytel,sacco
467,Tasse::N,šálek,tazza
468,Topf::N,hrnec,pèntola
469,Kessel::N,kotel,paiolo
470,Kessel::N,kotel,calderone
471,Essen::N,jídlo,pasto
472,Essen::N,jídlo,mangiare
473,Nahrung::N,strava,cibo
474,Nahrung::N,strava,alimento
475,Nahrung::N,potrava,cibo
476,Nahrung::N,potrava,alimento
477,Speise::N,jídlo,piatto
478,Fleisch::N,maso,carne
479,Getreide::N,obilí,cereali
480,Brei::N,kaše,purè
481,Brei::N,kaše,pappa
482,Brot::N,chléb,pane
483,Scheibe::N,krajíc,fetta
484,Scheibe::N,krajíc,trancia
485,Fett::N,tuk,grasso
486,Fett::N,omastek,grasso
487,Butter::N,máslo,burro
488,Öl::N,olej,olio
489,Salz::N,sůl,sale
490,Suppe::N,polévka,zuppa
491,Suppe::N,polévka,minestra
492,Honig::N,med,miele
493,Milch::N,mléko,latte
494,Tee::N,čaj,tè
495,Leder::N,kůže,pelle
496,Wolle::N,vlna,lana
497,Stoff::N,látka,panno
498,Stoff::N,látka,tessuto
499,Nadel::N,jehla,ago
500,Faden::N,nit,filo
501,Knopf::N,knoflík,bottone
502,Knoten::N,uzel,nodo
503,Farbe::N,barva,pittura
504,Kleidung::N,šaty,vestiti
505,Kleidung::N,šaty,vestiario
506,Kleidung::N,šatstvo,vestiti
507,Kleidung::N,šatstvo,vestiario
508,Hemd::N,košile,camicia
509,Kragen::N,límec,bàvero
510,Kragen::N,límec,colletto
511,Ärmel::N,rukáv,mànica
512,Hose::N,kalhoty,calzoni
513,Gürtel::N,pás,cintura
514,Gürtel::N,opasek,cintura
515,Mütze::N,čepice,berretto
516,Schuh::N,bota,scarpa
517,Stiefel::N,holínka,stivale
518,Ring::N,prsten,anello
519,Band::N,pásek,nastro
520,Band::N,pásek,fettuccia
521,Kamm::N,hřeben,pèttine
522,Spiegel::N,zrcadlo,specchio
523,Riemen::N,řemen,cinghia
524,Schnur::N,šňůra,corda
525,Leine::N,vodítko,guinzaglio
526,Decke::N,pokrývka,coperta
527,Decke::N,přikrývka,coperta
528,Kissen::N,polštář,cuscino
529,Kissen::N,polštář,guanciale
530,Tuch::N,šátek,fazzoletto
531,Handtuch::N,ručník,asciugamano
532,Kraft::N,síla,forza
533,Stärke::N,síla,forza
534,Stärke::N,síla,vigore
535,Stärke::N,síla,fortezza
536,Gesundheit::N,zdraví,salute
537,Krankheit::N,nemoc,malattìa
538,Krankheit::N,choroba,malattìa
539,Schmerz::N,bolest,dolore
540,Wunde::N,rána,piaga
541,Wunde::N,rána,ferita
