,Concept_ID,mn,cy
80,Staub::N,тоос,llwch
81,Rauch::N,утаа,mwg
82,Funke::N,оч,gwreichioni
83,Feuer::N,гал,tân
84,Licht::N,гэрэл,golau
85,Licht::N,гэгээ,golau
86,Schatten::N,сүүдэр,cysgod
87,Wetter::N,тэнгэр,tywydd
88,Wetter::N,цаг уур,tywydd
89,Nebel::N,будан,niwl
90,Wolke::N,үүл,cwmwl
91,Regen::N,бороо,glaw
92,Schnee::N,цас,ôd
93,Schnee::N,цас,eira
94,Eis::N,мөс,iâ
95,Frost::N,хүйт,rhew
96,Kälte::N,хүйт,oerni
97,Kälte::N,хүйт,annwyd
98,Hitze::N,халуун,gwres
99,Raureif::N,цан,barrug
100,Raureif::N,хяруу,barrug
101,Regenbogen::N,солонго,enfys
102,Donner::N,тэнгэрийн дуу,tyrfau
103,Strömung::N,урсгал,cerrynt
104,Tropfen::N,дусал,dafn
105,Tropfen::N,дусал,diferyn
106,Schaum::N,хөөс,ewyn
107,Schmutz::N,хир,baw
108,Schmutz::N,хир,budreddi
109,Schmutz::N,шавхай,baw
110,Schmutz::N,шавхай,budreddi
111,See::N,нуур,llyn
112,Sumpf::N,намаг,cors
113,Sumpf::N,балчиг,cors
114,Moor::N,хүлрийн намаг,rhos
115,Wiese::N,нуга,dôl
116,Wald::N,ой,coedwig
117,Hügel::N,болдог,bryn
118,Anhöhe::N,гүвээ,bryn
119,Berg::N,уул,mynydd
120,Gipfel::N,орой,copa
121,Gipfel::N,оргил,copa
122,Höhle::N,агуй,ogof
123,Abhang::N,хүр,llethr
124,Quelle::N,булаг,tarddiad
125,Quelle::N,булаг,ffynhonnell
126,Bach::N,горхи,nant
127,Bach::N,горхи,afonig
128,Bach::N,горхи,cornant
129,Fluss::N,гол,afon
130,Fluss::N,мөрөн,afon
131,Ufer::N,эрэг,glan
132,Küste::N,эрэг,traeth
133,Küste::N,эрэг,arfordir
134,Festland::N,хуурай газар,tir
135,Meer::N,далай,môr
136,Meer::N,тэнгис,môr
137,Bucht::N,булан,bae
138,Bucht::N,далайн тохой,bae
139,Insel::N,арал,ynys
140,Blume::N,цэцэг,blodyn
141,Gras::N,өвс,glaswellt
142,Gras::N,ногоо,glaswellt
143,Wurzel::N,үндэс,gwreiddyn
144,Baum::N,мод,coeden
145,Stamm::N,иш,colfen
146,Stamm::N,иш,boncyff
147,Stamm::N,гуалин,colfen
148,Stamm::N,гуалин,boncyff
149,Rinde::N,холтос,rhisgl
150,Ast::N,гишүү,cangen
151,Zweig::N,салаа,cainc
152,Zweig::N,салаа,cangen
153,Blatt::N,навч,deilen
154,Birke::N,хус,bedwen
155,Kiefer[Baum]::N,нарс,pinwydden
156,Weide[Baum]::N,уд,helygen
157,Weide[Baum]::N,бургас,helygen
158,Tanne::N,гачуур,ffynidwydden
159,Horn::N,эвэр,corn
160,Feder::N,өд,plufyn
161,Fell::N,арьс,ffwr
162,Flügel::N,жигүүр,adain
163,Flügel::N,далавч,adain
164,Klaue::N,савар,crafanc
165,Klaue::N,хумс,crafanc
166,Kralle::N,савар,ewin
167,Schwanz::N,сүүл,cwt
168,Schwanz::N,сүүл,cynffon
169,Ei::N,өндөг,wy
170,Nest::N,үүр,nyth
171,Bau::N,нүх,ffau
172,Bau::N,элүү,ffau
173,Tier::N,амьтан,anifail
174,Tier::N,адгуус,anifail
175,Herde::N,сүрэг,praidd
176,Herde::N,сүрэг,diadell
177,Kuh::N,үнээ,buwch
178,Bulle::N,бух,tarw
179,Pferd::N,морь,ceffyl
180,Pferd::N,адуу,ceffyl
181,Schaf::N,хонь,dafad
182,Schwein::N,гахай,mochyn
183,Hund::N,нохой,ci
184,Katze::N,муур,cath
185,Katze::N,мигуй,cath
186,Bär::N,баавгай,arth
187,Eichhörnchen::N,хэрэм,gwiwer
188,Elch::N,хандгай,elc
189,Fuchs::N,үнэг,cadno
190,Hase::N,туулай,ysgyfarnog
191,Maus::N,хулгана,llygoden
192,Wolf::N,чоно,blaidd
193,Vogel::N,шувуу,aderyn
194,Schwarm::N,сүрэг,haid
195,Huhn::N,тахиа,cyw
196,Hahn::N,эр тахиа,ceiliog
197,Gans::N,галуу,gŵydd
198,Adler::N,бүргэд,eryr
199,Ente::N,нугас,hwyad
200,Eule::N,ууль,tylluan
201,Kranich::N,тогоруу,garan
202,Kranich::N,тогоруу,crychydd
203,Krähe::N,хэрээ,brân
204,Kuckuck::N,хөхөө,cog
205,Kuckuck::N,хөхөө,cwcw
206,Schwan::N,хун,alarch
207,Fisch::N,загас,pysgod
208,Barsch::N,алгана,draenog
209,Hecht::N,цурхай,penhwyad
210,Schlange[Tier]::N,могой,neidr
211,Wurm::N,өт,abwydyn
212,Wurm::N,өт,pryf genwair
213,Wurm::N,хорхой,abwydyn
214,Wurm::N,хорхой,pryf genwair
215,Spinne::N,аалз,cor
216,Spinne::N,аалз,pryf copyn
217,Ameise::N,шоргоолж,morgrugyn
218,Laus::N,бөөс,lleuen
219,Mücke::N,шумуул,gwybedyn
220,Fliege::N,ялаа,cleren
221,Schmetterling::N,эрвээхэй,glöyn byw
222,Schmetterling::N,эрвээхэй,iâr fach yr haf
223,Beere::N,жимсгэнэ,aeronen
224,Apfel::N,алим,afal
225,Pilz::N,мөөг,madarch
226,Zwiebel::N,сонгино,nionyn
227,Zwiebel::N,сонгино,winwnsyn
228,Saat::N,тариа,had
229,Korn::N,үр,grawn
230,Korn::N,мөхлөг,grawn
231,Heu::N,өвс,gwair
232,Schale::N,хальс,croen
233,Schale::N,хальс,plisgyn
234,Grube::N,алам,pwll
235,Grube::N,алам,pydew
236,Grube::N,нүх,pwll
237,Grube::N,нүх,pydew
238,Falle::N,хавх,magl
239,Falle::N,занга,magl
240,Schlinge::N,урхи,cwlwm rhedeg
241,Spur::N,мөр,ôl
242,Asche::N,үнс,lludw
243,Dreck::N,хир,baw
244,Dreck::N,хир,budreddi
245,Eisen::N,төмөр,haearn
246,Gold::N,алт,aur
247,Silber::N,мөнгө,arian
248,Kohle::N,нүүрс,glo
249,Glas::N,шил,gwydr
250,Lehm::N,шавар,clai
251,Sand::N,элс,tywod
252,Mensch::N,хүн,dyn
253,Mann::N,эр,dyn
254,Mann::N,эрэгтэй,dyn
255,Frau::N,эмэгтэй,merch
256,Frau::N,эмэгтэй,gwraig
257,Frau::N,хатагтай,merch
258,Frau::N,хатагтай,gwraig
259,Kind::N,хүүхэд,plentyn
260,Junge::N,хүү,hogyn
261,Junge::N,хүү,bachgen
262,Mädchen::N,охин,merch
263,Mädchen::N,охин,geneth
264,Mädchen::N,бүсгүй,merch
265,Mädchen::N,бүсгүй,geneth
266,Familie::N,айл,teulu
267,Familie::N,айл,tylwyth
268,Großvater::N,өвгөн аав,taid
269,Großvater::N,өвгөн аав,tad-cu
270,Großmutter::N,эмэг эх,nain
271,Großmutter::N,эмэг эх,mam-gu
272,Großmutter::N,эмгээ,nain
273,Großmutter::N,эмгээ,mam-gu
274,Eltern::N,эцэг эх,rhieni
275,Vater::N,аав,tad
276,Vater::N,эцэг,tad
277,Mutter::N,эх,mam
278,Mutter::N,ээж,mam
279,Sohn::N,хүү,mab
280,Tochter::N,охин,merch
281,Bruder::N,ах,brawd
282,Bruder::N,дүү,brawd
283,Schwester::N,эгч,chwaer
284,Schwester::N,охин дүү,chwaer
285,Onkel::N,авга ах,ewythr
286,Onkel::N,нагац ах,ewythr
287,Tante::N,авга эгч,modryb
288,Tante::N,нагац эгч,modryb
289,Ehemann::N,нөхөр,gŵr
290,Ehefrau::N,эхнэр,gwraig
291,Ehefrau::N,гэргий,gwraig
292,Freude::N,баяр,gorfoledd
293,Freude::N,баясгалан,gorfoledd
294,Gelächter::N,инээдэм,chwerthin
295,Glück::N,жаргалан,hapusrwydd
296,Kummer::N,гаслан,galar
297,Wunsch::N,ерөөл,dymuniad
298,Lust::N,дур,chwant
299,Lust::N,хүсэл,chwant
300,Geist::N,оюун,ysbryd
301,Gedanke::N,сэтгэл,meddwl
302,Gedächtnis::N,ой,cof
303,Gedächtnis::N,цээж,cof
304,Verstand::N,ухаан,meddwl
305,Sinn::N,утга,ystyr
306,Grund::N,учир,achos
307,Grund::N,учир,rheswm
308,Wahrheit::N,үнэн,gwir
309,Wahrheit::N,үнэн,gwirionedd
310,Gespräch::N,яриа,sgwrs
311,Märchen::N,явган үлгэр,chwedl werin
312,Erzählung::N,тууж,stori
313,Nachricht::N,мэдээ,neges
314,Neuigkeit::N,сонин,newydd
315,Name::N,нэр,enw
316,Rätsel::N,оньсого,pos
317,Rede::N,хэлсэн үг,araith
318,Sprache::N,хэл,iaith
319,Stimme::N,дуу,llais
320,Wort::N,үг,gair
321,Zeichen::N,тамга,arwydd
322,Zeichen::N,тэмдэг,arwydd
323,Ruf::N,дуудлага,galwad
324,Lärm::N,шуугиан,trwst
325,Lärm::N,чимээ,trwst
326,Laut::N,анир,sain
327,Laut::N,дуу,sain
328,Ton::N,авиа,tôn
329,Ton::N,аялгуу,tôn
330,Lied::N,дуу,cân
331,Ruhe::N,энх,tawelwch
332,Ruhe::N,тайван,tawelwch
333,Leute::N,хүмүүс,pobl
334,Volk::N,улс,pobl
335,Arbeit::N,ажил,gwaith
336,Arbeit::N,хөдөлмөр,gwaith
337,Gast::N,зочин,gwestai
338,Gast::N,айлчин,gwestai
339,Geschenk::N,бэлэг,rhodd
340,Geschenk::N,бэлэг,anrheg
341,Spiel::N,наадам,chwarae
342,Spiel::N,тоглоом,chwarae
343,Gesellschaft::N,хамт байх,cwmni
344,Hilfe::N,тусламж,cymorth
345,Freund::N,найз,cyfaill
346,Freund::N,нөхөр,cyfaill
347,Kamerad::N,хань,cydymaith
348,Kamerad::N,нөхөр,cydymaith
349,Angelegenheit::N,хэрэг,pwnc
350,Anzahl::N,тоо,cyfrif
351,Art::N,төрөл,bath
352,Art::N,янз,bath
353,Stück::N,хэсэг,darn
354,Teil::N,хувь,rhan
355,Teil::N,хэсэг,rhan
356,Hälfte::N,хагас,hanner
357,Kreis::N,тойрог,cylch
358,Kreis::N,хүрээ,cylch
359,Kreuz::N,загалмай,croes
360,Linie::N,шугам,llinell
361,Strich::N,зураас,strôc
362,Strich::N,зураас,trawiad
363,Abstand::N,зай,bwlch
364,Abstand::N,зай,pellter
365,Entfernung::N,зай,pellter
366,Entfernung::N,хол ойр,pellter
367,Gegend::N,хавь,cylch
368,Gegend::N,газар,cylch
369,Platz::N,зай,lle
370,Platz::N,завсар,lle
371,Ort::N,газар,lle
372,Ort::N,байр,lle
373,Seite::N,тал,ochr
374,Seite::N,этгээд,ochr
375,Mitte::N,төв,canol
376,Mitte::N,дунд,canol
377,Gegenstand::N,юм,eitem
378,Sache::N,үйл,peth
379,Sache::N,хэрэг,peth
380,Rand::N,зах,cwr
381,Rand::N,зах,ymyl
382,Rand::N,хөвөө,cwr
383,Rand::N,хөвөө,ymyl
384,Kante::N,ирмэг,min
385,Kante::N,ирмэг,ymyl
386,Ecke::N,өнцөг,cornel
387,Spitze::N,үзүүр,blaen
388,Ende::N,зах,pen
389,Ende::N,үзүүр,pen
390,Loch::N,цоорхой,twll
391,Loch::N,онгорхой,twll
392,Winkel::N,өнцөг,congl
393,Muster::N,хээ,patrwm
394,Muster::N,угалз,patrwm
395,Größe::N,хэмжээ,maint
396,Größe::N,хэмжээ,maintioli
397,Länge::N,урт,hyd
398,Höhe::N,өндөр,uchder
399,Gewicht::N,жин,pwysau
400,Menge::N,тоо,swm
401,Menge::N,тоо,maint
402,Haufen::N,бөөн,pentwr
403,Reihe::N,эгнээ,rhes
404,Boot::N,завь,cwch
405,Ruder::N,сэлүүр,rhwyf
406,Schlitten::N,чарга,sled
407,Schlitten::N,чарга,car llusg
408,Ski::N,цана,sgi
409,Lagerfeuer::N,түүдэг,coelcerth
410,Last::N,ачаа,llwyth
411,Gang::N,явдал,tro
412,Schritt::N,алхам,cam
413,Norden::N,умар,gogledd
414,Süden::N,урд,de
415,Süden::N,өмнө,de
416,Westen::N,өрнө,gorllewin
417,Westen::N,баруун,gorllewin
418,Osten::N,зүүн,dwyrain
419,Osten::N,дорно,dwyrain
420,Holz::N,мод,pren
421,Brett::N,банз,bwrdd
422,Brett::N,банз,astell
423,Platte::N,хавтан,llech
424,Stütze::N,тулгуур,ateg
425,Stütze::N,тулгуур,cynhalydd
426,Stütze::N,тулга,ateg
427,Stütze::N,тулга,cynhalydd
428,Stange::N,сургааг,polyn
429,Stock::N,саваа,ffon
430,Stock::N,саваа,brigyn
431,Stab::N,таяг,ffon
432,Rohr::N,хоолой,pibell
433,Haus::N,гэр,tŷ
434,Haus::N,байшин,tŷ
435,Heim::N,гэр,cartref
436,Ofen::N,зуух,stof
437,Ofen::N,пийшин,stof
438,Fußboden::N,шал,llawr
439,Tisch::N,ширээ,bwrdd
440,Stuhl::N,сандал,cadair
441,Wiege::N,өлгий,crud
442,Bett::N,ор,gwely
443,Regal::N,тавиур,silff
444,Kiste::N,авдар,bocs
445,Kiste::N,авдар,blwch
446,Kiste::N,хайрцаг,bocs
447,Kiste::N,хайрцаг,blwch
448,Fenster::N,гэгээвч,ffenestr
449,Tür::N,үүд,drws
450,Tür::N,хаалга,drws
451,Tor::N,хаалга,porth
452,Zaun::N,хашаа,ffens
453,Dach::N,дээвэр,to
454,Leiter::N,шат,ysgol
455,Besen::N,хамуур,ysgub
456,Besen::N,туужуу,ysgub
457,Spaten::N,хүрз,rhaw
458,Schaufel::N,хүрз,rhaw
459,Gabel::N,сэрээ,fforc
460,Löffel::N,халбага,llwy
461,Messer::N,хутга,cyllell
462,Nagel::N,хадаас,hoel
463,Netz::N,өөш,gwe
464,Netz::N,өөш,rhwyd
465,Netz::N,тор,gwe
466,Netz::N,тор,rhwyd
467,Haken::N,гох,bach
468,Griff::N,иш,carn
469,Griff::N,сэнж,carn
470,Schloss::N,цуурга,clo
471,Schloss::N,цоож,clo
472,Bild::N,зураг,llun
473,Bild::N,зураг,pictiwr
474,Figur::N,баримал,ffigur
475,Puppe::N,хүүхэлдэй,dol
476,Beutel::N,агсаа,cwd
477,Beutel::N,уут,cwd
478,Bündel::N,боодол,bwndel
479,Bündel::N,боодол,coflaid
480,Tasche::N,цүнх,cod
481,Eimer::N,хөнөг,bwced
482,Eimer::N,хөнөг,cunnog
483,Eimer::N,хувин,bwced
484,Eimer::N,хувин,cunnog
485,Deckel::N,таг,caead
486,Deckel::N,хавхаг,caead
487,Geschirr::N,сав суулга,llestri
488,Sack::N,шуудай,sach
489,Tasse::N,аяга,cwpan
490,Topf::N,тогоо,pot
491,Topf::N,тогоо,crochan
492,Kessel::N,тогоо,tegell
493,Essen::N,идээ,pryd o fwyd
494,Nahrung::N,хүнс,bwyd
495,Speise::N,идээ,saig
496,Fleisch::N,мах,cig
497,Getreide::N,будаа,ŷd
498,Getreide::N,будаа,llafur
499,Brei::N,богшмол,uwd
500,Brei::N,будаа,uwd
501,Brot::N,талх,bara
502,Scheibe::N,зүсэм,tafell
503,Scheibe::N,хэрчим,tafell
504,Fett::N,өөх,saim
505,Fett::N,өөх,braster
506,Butter::N,тос,ymenyn
507,Öl::N,тос,olew
508,Salz::N,давс,halen
509,Suppe::N,шөл,cawl
510,Honig::N,бал,mêl
511,Milch::N,сүү,llaeth
512,Milch::N,сүү,llefrith
513,Tee::N,цай,te
514,Leder::N,арьс,lledr
515,Leder::N,савхи,lledr
516,Wolle::N,ноос,gwlân
517,Wolle::N,унгас,gwlân
518,Stoff::N,бөс,lliain
519,Stoff::N,бөс,brethyn
520,Nadel::N,зүү,nodwydd
521,Faden::N,боолт,edau
522,Faden::N,боолт,edefyn
523,Faden::N,утас,edau
524,Faden::N,утас,edefyn
525,Knopf::N,товч,botwm
526,Knoten::N,зангилаа,cwlwm
527,Farbe::N,будаг,paent
528,Kleidung::N,хувцас,dillad
529,Kleidung::N,хувцас,gwisgoedd
530,Hemd::N,цамц,crys
531,Kragen::N,зах заам,coler
532,Ärmel::N,ханцуй,llawes
533,Hose::N,өмд,trowsus
534,Gürtel::N,бүс,gwregys
535,Mütze::N,малгай,cap
536,Mütze::N,бүрх,cap
537,Schuh::N,туфли,esgid
538,Stiefel::N,гутал,botasen
539,Ring::N,бөгж,modrwy
540,Band::N,тууз,rhuban
541,Kamm::N,сам,crib
542,Spiegel::N,толь,drych
543,Riemen::N,тасам,strap
544,Riemen::N,сур,strap
545,Schnur::N,татлага,llinyn
546,Leine::N,оосор,tennyn
547,Decke::N,хөнжил,blanced
548,Decke::N,хөнжил,gwrthban
549,Decke::N,хучлага,blanced
550,Decke::N,хучлага,gwrthban
551,Kissen::N,дэр,clustog
552,Kissen::N,дэр,gobennydd
553,Tuch::N,алчуур,sgarff
554,Tuch::N,даавуу,sgarff
555,Handtuch::N,алчуур,tywel
556,Handtuch::N,алчуур,lliain sychu
557,Kraft::N,чадал,grym
558,Kraft::N,хүч,grym
559,Stärke::N,эрч,nerth
560,Stärke::N,эрч,cryfder
561,Stärke::N,тэнхээ,nerth
562,Stärke::N,тэнхээ,cryfder
563,Gesundheit::N,бие,iechyd
564,Gesundheit::N,эрүүл мэнд,iechyd
565,Krankheit::N,эмгэг,afiechyd
566,Krankheit::N,эмгэг,anhwylder
567,Schmerz::N,өвчин,poen
568,Schmerz::N,өвчин,gwayw
569,Wunde::N,шарх,clwyf
570,Fieber::N,халуун,twymyn
571,Arznei::N,эм,meddyginiaeth
572,Brücke::N,гүүр,pont
573,Brunnen::N,худаг,ffynnon
574,Weide::N,бэлчээр,porfa
575,Pfad::N,жим,llwybr
576,Pfad::N,зөрөг,llwybr
577,Weg::N,зам,ffordd
578,Weg::N,харгуй,ffordd
579,Straße::N,зам,heol
580,Straße::N,зам,ffordd
581,Straße::N,харгуй,heol
582,Straße::N,харгуй,ffordd
583,Dorf::N,тосгон,pentref
584,Dorf::N,гацаа,pentref
585,Stadt::N,хот,tref
586,Brief::N,захидал,llythyr
587,Brief::N,захиа,llythyr
588,Buch::N,ном,llyfr
589,Buch::N,бичиг,llyfr
590,Buchstabe::N,үсэг,llythyren
591,Zeitung::N,сонин,papur newydd
592,Leben::N,амь,bywyd
593,Leben::N,амьдрал,bywyd
594,Tod::N,үхэл,marwolaeth
595,Grab::N,булш,bedd
596,Kirche::N,сүм,eglwys
597,Sünde::N,нүгэл,pechod
598,Sünde::N,хилэнц,pechod
599,Gott::N,бурхан,duw
600,Arbeiter::N,ажилчин,gweithiwr
601,Arbeiter::N,хөдөлмөрчин,gweithiwr
602,Chef::N,дарга,pennaeth
603,Meister::N,дархан,meistr
604,Arzt::N,эмч,meddyg
605,Lehrer::N,багш,athro
606,Geld::N,цаас,pres
607,Geld::N,цаас,arian
608,Geld::N,мөнгө,pres
609,Geld::N,мөнгө,arian
610,Geschäft::N,наймаа,busnes
611,Laden::N,дэлгүүр,siop
612,Preis::N,үнэ,pris
613,Ware::N,таваар,nwydd
614,Ware::N,бараа,nwydd
615,Nutzen::N,ашиг,elw
616,Nutzen::N,ашиг,budd
617,Reichtum::N,баялаг,cyfoeth
618,Welt::N,дэлхий,byd
619,Welt::N,орчлон,byd
620,Land::N,улс,gwlad
621,Land::N,орон,gwlad
622,Staat::N,төр,gwladwriaeth
623,Staat::N,гүрэн,gwladwriaeth
624,König::N,ван,brenin
625,Macht::N,засаг,grym
626,Macht::N,засаг,awdurdod
627,Grenze::N,хил,ffin
628,Grenze::N,хил,goror
629,Krieg::N,дайн,rhyfel
630,Feind::N,дайсан,gelyn
631,Gewalt::N,хүчирхэх,ffyrnigrwydd
632,Kampf::N,тэмцэл,brwydr
633,Kampf::N,байлдаан,brwydr
634,Bogen[Waffe]::N,нум,bwa
635,Pfeil::N,годил,saeth
636,Pfeil::N,сум,saeth
637,Gewehr::N,буу,dryll
638,Fehler::N,эндэл,gwall
639,Fehler::N,эндэл,camgymeriad
640,Fehler::N,алдаа,gwall
641,Fehler::N,алдаа,camgymeriad
642,Lüge::N,худал,celwydd
643,Lüge::N,худал,anwiredd
644,Schaden::N,хор,niwed
645,Schaden::N,хор,difrod
646,Schaden::N,хөнөөл,niwed
647,Schaden::N,хөнөөл,difrod
648,Unglück::N,гай,anffawd
649,Unglück::N,гамшиг,anffawd
650,Schuld::N,гэм,bai
651,Schuld::N,буруу,bai
652,Alter::N,нас,oed
653,Schluss::N,эцэс,diwedd
654,Schluss::N,төгсгөл,diwedd
655,Zeit::N,цаг,amser
656,Tag::N,өдөр,dydd
657,Tag::N,өдөр,diwrnod
658,Morgen::N,өглөө,bore
659,Mittag::N,үд,nawn
660,Abend::N,үдэш,noswaith
661,Nacht::N,шөнө,nos
662,Woche::N,долоо хоног,wythnos
663,Monat::N,сар,mis
664,Jahr::N,жил,blwyddyn
665,Frühling::N,хавар,gwanwyn
666,Sommer::N,зун,haf
667,Herbst::N,намар,hydref
668,Winter::N,өвөл,gaeaf
669,Januar::N,нэгдүгээр сар,Ionawr
670,Februar::N,хоёрдугаар сар,Chwefror
671,März::N,гуравдугаар сар,Mawrth
672,April::N,дөрөвдүгээр сар,Ebrill
673,Mai::N,тавдугаар сар,Mai
674,Juni::N,зургаадугаар сар,Mehefin
675,Juli::N,долдугаар сар,Gorffennaf
676,August::N,наймдугаар сар,Awst
677,September::N,есдүгээр сар,Medi
678,Oktober::N,аравдугаар сар,Hydref
679,November::N,арван нэгдүгээр сар,Tachwedd
680,Dezember::N,арван хоёрдугаар сар,Rhagfyr
681,Montag::N,даваа,dydd Llun
682,Dienstag::N,мягмар,dydd Mawrth
683,Mittwoch::N,лхагва,dydd Mercher
684,Donnerstag::N,пүрэв,dydd Iau
685,Freitag::N,баасан,dydd Gwener
686,Samstag::N,бямба,dydd Sadwrn
687,Sonntag::N,ням,dydd Sul
688,groß::A,их,mawr
689,groß::A,том,mawr
690,klein::A,бага,bach
691,klein::A,жаахан,bach
692,lang::A,урт,hir
693,kurz::A,охор,byr
694,kurz::A,охор,cwta
695,kurz::A,богино,byr
696,kurz::A,богино,cwta
697,breit::A,өргөн,llydan
698,schmal::A,уйтан,cul
699,schmal::A,нарийн,cul
700,dicht::A,нягт,dwys
701,dicht::A,чигжүү,dwys
702,dick[Gegenstand]::A,зузаан,trwchus
703,dünn::A,нимгэн,tenau
704,fein::A,нарийн,main
705,fest::A,бөх,cadarn
706,fest::A,хатуу,cadarn
707,flach::A,хавтгай,gwastad
708,glatt::A,цагаан,llyfn
709,hart::A,хатуу,caled
710,weich::A,зөөлөн,meddal
711,rund::A,дугуй,crwn
712,rund::A,дугариг,crwn
713,spitz::A,шовх,pigfain
714,spitz::A,шовгор,pigfain
715,scharf::A,хурц,miniog
716,scharf::A,иртэй,miniog
717,stumpf::A,мохоо,pŵl
718,schwer::A,хүнд,trwm
719,schön::A,гуа,teg
720,schön::A,гуа,hardd
721,schön::A,гуа,prydferth
722,schön::A,сайхан,teg
723,schön::A,сайхан,hardd
724,schön::A,сайхан,prydferth
725,heiß::A,халуун,poeth
726,warm::A,дулаан,twym
727,warm::A,дулаан,cynnes
728,kalt::A,хүйтэн,oer
729,kühl::A,сэрүүн,oeraidd
730,frisch::A,эрүүл,iach
731,frisch::A,жихүүн,iach
732,feucht::A,чийгтэй,llaith
733,nass::A,нойтон,gwlyb
734,trocken::A,хатсан,sych
735,voll::A,дүүрэн,llawn
736,leer::A,хоосон,gwag
737,offen::A,онгорхой,agored
738,geschlossen::A,битүү,caead
739,geschlossen::A,битүү,caeëdig
740,geschlossen::A,хаалтай,caead
741,geschlossen::A,хаалтай,caeëdig
742,sauber::A,цэвэр,glân
743,sauber::A,хиргүй,glân
744,schmutzig::A,бохир,budr
745,schmutzig::A,бохир,brwnt
746,schmutzig::A,хиртэй,budr
747,schmutzig::A,хиртэй,brwnt
748,roh::A,түүхий,amrwd
749,reif::A,болсон,aeddfed
750,lecker::A,амттай,blasus
751,lecker::A,амттай,danteithiol
752,süß::A,амттай,melys
753,süß::A,чихэрлэг,melys
754,bitter::A,гашуун,chwerw
755,sauer::A,эсгэлэн,sur
756,hell::A,гэгээн,disglair
757,hell::A,гэрэлтэй,disglair
758,dunkel::A,бараан,tywyll
759,dunkel::A,харанхуй,tywyll
760,schwarz::A,хар,du
761,weiß::A,цагаан,gwyn
762,rot::A,улаан,coch
763,gelb::A,шар,melyn
764,blau::A,хөх,glas
765,blau::A,цэнхэр,glas
766,grün::A,ногоон,gwyrdd
767,grau::A,орог,llwyd
768,grau::A,саарал,llwyd
769,bunt::A,эрээн,lliwgar
770,billig::A,хямд,rhad
771,teuer::A,үнэтэй,drud
772,wertvoll::A,үнэт,gwerthfawr
773,blind::A,сохор,dall
774,taub::A,чих хатуу,byddar
775,kräftig::A,чийрэг,nerthol
776,kräftig::A,чийрэг,grymus
777,stark::A,хүчтэй,cryf
778,stark::A,хүчтэй,cadarn
779,stark::A,чадалтай,cryf
780,stark::A,чадалтай,cadarn
781,schwach::A,сул,gwan
782,fett::A,тарган,tew
783,fett::A,голигор,tew
784,schlank::A,голшиг,main
