,Concept_ID,mrj,sv
56,Träne::N,сӹнзӓвӹд,tår
57,Geschmack::N,тот,smak
58,Geruch::N,пыш,lukt
59,Schlaf::N,ом,sömn
60,Traum::N,ом,dröm
61,Himmel::N,пӹлгом,himmel
62,Sonne::N,кечӹ,sol
63,Mond::N,тӹлзӹ,måne
64,Stern::N,шӹдӹр,stjärna
65,Luft::N,юж,luft
66,Luft::N,воздух,luft
67,Wind::N,мардеж,vind
68,Welle::N,ко,våg
69,Welle::N,ко,bölja
70,Welle::N,коэ,våg
71,Welle::N,коэ,bölja
72,Wasser::N,вӹд,vatten
73,Stein::N,кӱ,sten
74,Boden::N,рок,mark
75,Erde::N,свет,jord
76,Staub::N,пырак,damm
77,Rauch::N,шӹкш,rök
78,Funke::N,ип,gnista
79,Funke::N,тылип,gnista
80,Feuer::N,тыл,eld
81,Licht::N,соты,ljus
82,Licht::N,валгыды,ljus
83,Schatten::N,ӹмӹл,skugga
84,Wetter::N,игечӹ,väder
85,Nebel::N,тӹтӹрӓ,dimma
86,Nebel::N,тӹтӹрӓ,töcken
87,Wolke::N,пӹл,sky
88,Wolke::N,пӹл,moln
89,Regen::N,юр,regn
90,Schnee::N,лым,snö
91,Eis::N,и,is
92,Frost::N,ӱштӹ,frost
93,Kälte::N,ӱштӹ,köld
94,Hitze::N,шокшы,hetta
95,Raureif::N,пöрш,rimfrost
96,Regenbogen::N,шанавӹл,regnbåge
97,Donner::N,хӹдӹртӹш,åska
98,Donner::N,хӹдӹртӹш,dunder
99,Strömung::N,йогы,strömning
100,Tropfen::N,капльы,dropper
101,Tropfen::N,капльык,dropper
102,Schaum::N,шонг,skum
103,Schmutz::N,лявӹрӓ,lort
104,Schmutz::N,лявӹрӓ,smuts
105,See::N,йӓр,sjö
106,Sumpf::N,лӱкӹ,träsk
107,Moor::N,куп,myr
108,Moor::N,куп,mosse
109,Wiese::N,алык,äng
110,Wald::N,шӹргӹ,skog
111,Hügel::N,пӱгӹрикӓ,höjd
112,Hügel::N,пӱгӹрикӓ,kulle
113,Anhöhe::N,кӱкшикӓ,höjd
114,Anhöhe::N,кӱкшикӓ,backe
115,Berg::N,кырык,berg
116,Berg::N,кырык,fjäll
117,Gipfel::N,неркӓ,topp
118,Höhle::N,ы́раж,håla
119,Höhle::N,ы́раж,grotta
120,Abhang::N,полом,slänt
121,Abhang::N,полом,sluttning
122,Quelle::N,вӹдсӹнзӓ,källa
123,Bach::N,ӓнгӹр,bäck
124,Fluss::N,вӹд,älv
125,Fluss::N,вӹд,flod
126,Ufer::N,сир,strand
127,Küste::N,сир,kust
128,Festland::N,мӱлӓндӹ,fastland
129,Meer::N,тангыж,hav
130,Bucht::N,вӹдъял,vik
131,Bucht::N,вӹдъял,bukt
132,Insel::N,острок,ö
133,Blume::N,пеледӹш,blomma
134,Blume::N,пеледӹш,blomster
135,Gras::N,шуды,gräs
136,Wurzel::N,важ,rot
137,Baum::N,пушӓнгӹ,träd
138,Stamm::N,пушӓнгӹ тӹнг,stam
139,Rinde::N,каргыж,bark
140,Ast::N,укш,gren
141,Zweig::N,укш,kvist
142,Blatt::N,листӹ,löv
143,Blatt::N,листӹ,blad
144,Birke::N,куги,björk
145,Kiefer[Baum]::N,йӓктӹ,tall
146,Weide[Baum]::N,уа,pil
147,Weide[Baum]::N,уа,vide
148,Tanne::N,кож,gran
149,Horn::N,шур,horn
150,Feder::N,пын,fjäder
151,Fell::N,кавашты,fäll
152,Fell::N,кавашты,skinn
153,Flügel::N,шылдыр,vinge
154,Klaue::N,кӹч,klöv
155,Kralle::N,лапа,klo
156,Schwanz::N,пач,svans
157,Schwanz::N,пач,stjärt
158,Ei::N,мыны,ägg
159,Nest::N,пӹжӓш,rede
160,Nest::N,пӹжӓш,näste
161,Bau::N,ыраж,bo
162,Tier::N,во́льык,djur
163,Herde::N,кӹтö,flock
164,Kuh::N,ышкал,ko
165,Bulle::N,ӱшкӱж,tjur
166,Pferd::N,имни,häst
167,Schaf::N,шарык,får
168,Schwein::N,сасна,svin
169,Hund::N,пи,hund
170,Katze::N,коти,katt
171,Bär::N,мöскӓ,björn
172,Eichhörnchen::N,ур,ekorre
173,Elch::N,шарды,älg
174,Fuchs::N,рӹвӹж,räv
175,Hase::N,морен,hare
176,Maus::N,каля,mus
177,Wolf::N,пирӹ,varg
178,Vogel::N,кек,fågel
179,Schwarm::N,цуца,svärm
180,Huhn::N,цӹвӹ,höns
181,Hahn::N,ӓптӓн,tupp
182,Gans::N,комбы,gås
183,Adler::N,кучкыж,örn
184,Ente::N,лыды,anka
185,Eule::N,тымана,uggla
186,Kranich::N,тырня,trana
187,Kranich::N,тыртня,trana
188,Krähe::N,лудыгарак,kråka
189,Kuckuck::N,куку,gök
190,Schwan::N,йӱксӹ,svan
191,Fisch::N,кол,fisk
192,Barsch::N,алангы,abborre
193,Hecht::N,нуж,gädda
194,Hecht::N,нужгол,gädda
195,Schlange[Tier]::N,кӹшкы,orm
196,Wurm::N,шукш,mask
197,Spinne::N,ӓнгӹремшӹ,spindel
198,Ameise::N,кыткы,myra
199,Laus::N,ти,lus
200,Mücke::N,кужнер,mygga
201,Mücke::N,кужынер,mygga
202,Fliege::N,шӹнгӓ,fluga
203,Schmetterling::N,лӹпӹ,fjäril
204,Beere::N,мöр,bär
205,Apfel::N,олма,äpple
206,Pilz::N,понгы,svamp
207,Zwiebel::N,охыра,lök
208,Saat::N,нӱшмӹ,sådd
209,Saat::N,нӱшмӱ,sådd
210,Korn::N,пӹрцӹ,korn
211,Heu::N,шуды,hö
212,Schale::N,аваха,skal
213,Schale::N,карлангы,skal
214,Grube::N,йӓм,grop
215,Falle::N,лӱдӹ,fälla
216,Falle::N,лӱдӹш,fälla
217,Schlinge::N,онгы,snara
218,Spur::N,кишӓ,spår
219,Asche::N,ломых,aska
220,Asche::N,ломпыж,aska
221,Dreck::N,лявӹрӓ,lort
222,Eisen::N,кӹртни,järn
223,Gold::N,шöртни,guld
224,Gold::N,шöртньӹ,guld
225,Silber::N,ши,silver
226,Kohle::N,шӱ,kol
227,Glas::N,охоница,glas
228,Lehm::N,шун,lera
229,Sand::N,ошма,sand
230,Mensch::N,эдем,människa
231,Mann::N,пӱэргӹ,man
232,Frau::N,ӹдӹрӓмӓш,kvinna
233,Kind::N,ӓзӓ,barn
234,Kind::N,шачшы,barn
235,Junge::N,рвезӹ,pojke
236,Junge::N,ӹрвезӹ,pojke
237,Mädchen::N,ӹдӹрӓш,flicka
238,Familie::N,йиш,familj
239,Familie::N,семня,familj
240,Großvater::N,тьоти,morfar
241,Großmutter::N,папа,farmor
242,Eltern::N,ӓтя-ӓвӓ,föräldrar
243,Vater::N,ӓтя,far
244,Mutter::N,ӓвӓ,mor
245,Sohn::N,эргӹ,son
246,Tochter::N,ӹдӹр,dotter
247,Bruder::N,ӹза,bror
248,Schwester::N,ӓкӓ,syster
249,Onkel::N,кугуза,morbror
250,Tante::N,куака,tant
251,Ehemann::N,мары,äkta man
252,Ehefrau::N,вӓтӹ,hustru
253,Freude::N,ӹвӹртӹмӓш,fröjd
254,Freude::N,ӹвӹртӹмӓш,glädje
255,Gelächter::N,ваштылмаш,åtlöje
256,Glück::N,пиӓл,lycka
257,Kummer::N,ясы,sorg
258,Wunsch::N,охата,önskan
259,Wunsch::N,шанымаш,önskan
260,Lust::N,шӓр,lust
261,Lust::N,охата,lust
262,Lust::N,шанымаш,lust
263,Geist::N,тух,ande
264,Gedanke::N,шанымаш,tanke
265,Gedächtnis::N,ӓш,minne
266,Verstand::N,ыш,förstånd
267,Sinn::N,кын,mening
268,Sinn::N,кын,betydelse
269,Grund::N,вир,skäl
270,Grund::N,вир,grund
271,Wahrheit::N,тöр,sanning
272,Gespräch::N,хытырымаш,samtal
273,Märchen::N,ямак,saga
274,Erzählung::N,шайыштмаш,berättelse
275,Nachricht::N,увертӓрӹмӓш,meddelande
276,Neuigkeit::N,увер,nyhet
277,Name::N,лӹм,namn
278,Rätsel::N,тышты,gåta
279,Rede::N,шая,tal
280,Rede::N,шамак,tal
281,Sprache::N,йӹлмӹ,språk
282,Stimme::N,юк,stämma
283,Wort::N,шамак,ord
284,Zeichen::N,палӹ,tecken
285,Ruf::N,сӹгӹрӹмӓш,rop
286,Lärm::N,юкланымащ,bråk
287,Lärm::N,юкланымащ,oväsen
288,Laut::N,юк,ljud
289,Ton::N,юк,ton
290,Lied::N,мыры,sång
291,Ruhe::N,тыр,ro
292,Ruhe::N,тыр,lugn
293,Leute::N,эдемвлӓ,folk
294,Volk::N,халык,folk
295,Arbeit::N,пӓшӓ,arbete
296,Gast::N,хына,gäst
297,Geschenk::N,подарка,gåva
298,Geschenk::N,подарка,present
299,Spiel::N,мадыш,lek
300,Spiel::N,мадыш,spel
301,Gesellschaft::N,йӓл,sällskap
302,Gesellschaft::N,йӓлвлӓ,sällskap
303,Hilfe::N,палшык,hjälp
304,Freund::N,тӓнг,vän
305,Kamerad::N,тос,kamrat
306,Angelegenheit::N,дела,ärende
307,Angelegenheit::N,дела,angelägenhet
308,Angelegenheit::N,йела,ärende
309,Angelegenheit::N,йела,angelägenhet
310,Angelegenheit::N,йыла,ärende
311,Angelegenheit::N,йыла,angelägenhet
312,Angelegenheit::N,пӓшӓ,ärende
313,Angelegenheit::N,пӓшӓ,angelägenhet
314,Anzahl::N,шот,antal
315,Art::N,цӹре,art
316,Art::N,цӹре,slag
317,Stück::N,лаштык,stycke
318,Teil::N,пай,del
319,Teil::N,часть,del
320,Hälfte::N,пел,halva
321,Kreis::N,тӹртӹш,krets
322,Kreis::N,тӹртӹш,cirkel
323,Kreuz::N,крестӹ,kors
324,Kreuz::N,крестӹ,kryss
325,Abstand::N,ло,avstånd
326,Entfernung::N,ло,avstånd
327,Gegend::N,вӓр,trakt
328,Platz::N,вӓр,plats
329,Ort::N,вӓр,plats
330,Ort::N,вӓр,ställe
331,Seite::N,öрдӹж,sida
332,Mitte::N,ло,mitt
333,Gegenstand::N,хӓдӹр,föremål
334,Sache::N,хӓдӹр,sak
335,Rand::N,шöр,rand
336,Kante::N,шöр,kant
337,Ecke::N,лык,vrå
338,Ecke::N,лык,hörn
339,Spitze::N,вуй,spets
340,Ende::N,вуй,ända
341,Ende::N,мычаш,ända
342,Loch::N,ыраж,hål
343,Winkel::N,лык,vinkel
344,Muster::N,тӹрлец,mönster
345,Größe::N,кӱкшӹц,storlek
346,Länge::N,кыт,längd
347,Höhe::N,кӱкшӹц,höjd
348,Gewicht::N,нелӹц,tyngd
349,Menge::N,шот,mängd
350,Haufen::N,ара,hög
351,Reihe::N,ряд,rad
352,Boot::N,пыш,båt
353,Ruder::N,вешлӓ,åra
354,Schlitten::N,тир,släde
355,Ski::N,ечӹ,skida
356,Lagerfeuer::N,тыл,lägereld
357,Last::N,нелӹц,last
358,Last::N,нелӹц,börda
359,Gang::N,ход,gång
360,Schritt::N,ашкыл,steg
361,Norden::N,йыдпелвел,norr
362,Süden::N,кечӹвӓлвел,söder
363,Westen::N,кечӹ шӹцмӹ,väster
364,Osten::N,ирвел,öster
365,Osten::N,кечӹ лӱлтмӹ,öster
366,Holz::N,пушӓнгӹ,trä
367,Brett::N,ханга,bräda
368,Platte::N,плитӓ,platta
369,Stütze::N,цӓрӓк,stöd
370,Stütze::N,цӓрӓк,stötta
371,Stange::N,равы,stång
372,Stange::N,намаш,stång
373,Stock::N,панды,käpp
374,Stock::N,панды,pinne
375,Stab::N,равы,stav
376,Rohr::N,пыч,rör
377,Haus::N,пöрт,hus
378,Heim::N,пöрт,hem
379,Ofen::N,камака,ugn
380,Fußboden::N,седӹрӓ,golv
381,Tisch::N,стöл,bord
382,Stuhl::N,пöкен,stol
383,Wiege::N,шипкӓ,vagga
384,Bett::N,койка,säng
385,Bett::N,кравать,säng
386,Regal::N,полицӓ,hylla
387,Kiste::N,шӱ́ндӹк,låda
388,Fenster::N,окня,fönster
389,Tür::N,амаса,dörr
390,Tor::N,хапка,port
391,Zaun::N,забор,staket
392,Zaun::N,забор,stängsel
393,Dach::N,левӓш,tak
394,Leiter::N,ташкалтыш,stege
395,Besen::N,сало,kvast
396,Besen::N,салко,kvast
397,Spaten::N,кольмы,spade
398,Schaufel::N,лоток,skovel
399,Schaufel::N,лоток,skyffel
400,Gabel::N,ви́лка,gaffel
401,Löffel::N,савала,sked
402,Messer::N,кӹзӹ,kniv
403,Nagel::N,пыда,spik
404,Netz::N,вӓпш,nät
405,Haken::N,крӱк,krok
406,Haken::N,кагак,krok
407,Griff::N,кычем,tag
408,Griff::N,кычем,handtag
409,Schloss::N,замок,las
410,Schloss::N,сыравач,las
411,Bild::N,картин,bild
412,Figur::N,кӓн,figur
413,Puppe::N,поханя,docka
414,Beutel::N,мешӓк,påse
415,Bündel::N,топ,bunt
416,Bündel::N,топ,knippa
417,Bündel::N,пидӹш,bunt
418,Bündel::N,пидӹш,knippa
419,Bündel::N,кӹлдӹш,bunt
420,Bündel::N,кӹлдӹш,knippa
421,Tasche::N,сумкы,väska
422,Eimer::N,ведӹрӓ,hink
423,Eimer::N,ведӹрӓ,ämbar
424,Deckel::N,комдыш,lock
425,Geschirr::N,ӓтӹ,servis
426,Geschirr::N,ӓтӹ,porslin
427,Sack::N,мешӓк,säck
428,Tasse::N,цӓшкӓ,kopp
429,Topf::N,ми́ска,gryta
430,Topf::N,ми́ска,kastrull
431,Kessel::N,пад,kittel
432,Essen::N,качкыш,mål
433,Essen::N,качкыш-йӱш,mål
434,Nahrung::N,качкыш,näring
435,Nahrung::N,качкыш-йӱш,näring
436,Speise::N,няня,maträtt
437,Fleisch::N,пай,kött
438,Getreide::N,киндӹ,säd
439,Getreide::N,киндӹ,spannmål
440,Brei::N,шӹрӓш,gröt
441,Brot::N,сыкыр,bröd
442,Scheibe::N,ламыт,skiva
443,Scheibe::N,лаштык,skiva
444,Fett::N,кая,fett
445,Butter::N,ӱ,smör
446,Öl::N,ӱ,olja
447,Salz::N,санзал,salt
448,Suppe::N,лем,soppa
449,Honig::N,мӱ,honung
450,Milch::N,шӹшер,mjölk
451,Tee::N,чӓй,te
452,Leder::N,шарга,läder
453,Leder::N,кавашты,läder
454,Wolle::N,миж,ull
455,Wolle::N,миж,ylle
456,Stoff::N,матер,tyg
457,Stoff::N,матер,stoff
458,Stoff::N,матери,tyg
459,Stoff::N,матери,stoff
460,Nadel::N,им,nål
461,Faden::N,шӹртӹ,tråd
462,Knopf::N,полдыш,knapp
463,Knoten::N,пӱкшем,knut
464,Farbe::N,чиӓ,färg
465,Farbe::N,крӓскӓ,färg
466,Kleidung::N,выргем,klädsel
467,Hemd::N,тыгыр,skjorta
468,Kragen::N,шӱ,krage
469,Ärmel::N,шокш,ärm
470,Hose::N,ялаш,byxor
471,Gürtel::N,ӹштӹ,bälte
472,Mütze::N,упш,mössa
473,Schuh::N,ту́фльы,sko
474,Stiefel::N,кем,stövel
475,Ring::N,шӓргӓш,ring
476,Band::N,лемтӓ,band
477,Kamm::N,шерге,kam
478,Spiegel::N,тӹгӹр,spegel
479,Riemen::N,прӓжӓ,rem
480,Schnur::N,кӓндӹра,snöre
481,Leine::N,керем,lina
482,Decke::N,одеял,täcke
483,Kissen::N,кӹпцӹк,dyna
484,Kissen::N,кӹпцӹк,kudde
485,Tuch::N,савыц,sjal
486,Handtuch::N,шӹргӹсавыц,handduk
487,Handtuch::N,шӹргӹмсавыц,handduk
488,Kraft::N,ви,kraft
489,Stärke::N,ви,styrka
490,Gesundheit::N,шу,hälsa
491,Gesundheit::N,шулык,hälsa
492,Krankheit::N,мыж,sjukdom
493,Schmerz::N,карштыш,smärta
494,Wunde::N,шушыр,sår
495,Fieber::N,ӱштӹмыж,feber
496,Arznei::N,лекӓрцӹ,medicin
497,Arznei::N,лекӓрцӹ,läkemedel
498,Brücke::N,кӹвер,bro
499,Brunnen::N,вӹдсӹнзӓ,brunn
500,Weide::N,ныр,bete
501,Pfad::N,ялгорны,stig
502,Weg::N,корны,väg
503,Straße::N,корны,gata
504,Dorf::N,сола,by
505,Stadt::N,города,stad
506,Brief::N,сирмӓш,brev
507,Buch::N,книгӓ,bok
508,Buchstabe::N,буква́,bokstav
509,Zeitung::N,газет,tidning
510,Zeitung::N,кайзет,tidning
511,Leben::N,житя,liv
512,Tod::N,смöрт,död
513,Grab::N,шӹгер,grav
514,Grab::N,мыгилӓ,grav
515,Grab::N,шӹгерлӓ,grav
516,Kirche::N,церкӹ,kyrka
517,Sünde::N,сулык,synd
518,Gott::N,йымы,gud
519,Arbeiter::N,пӓшӓзӹ,arbetare
520,Chef::N,вуй,chef
521,Meister::N,мастар,mästare
522,Arzt::N,доктор,läkare
523,Lehrer::N,тымдышы,lärare
524,Geld::N,окса,pengar
525,Geschäft::N,торге́йӹмӓш,rörelse
526,Laden::N,лапка,affär
527,Laden::N,магазин,affär
528,Preis::N,ӓк,pris
529,Ware::N,товар,vara
530,Nutzen::N,пайда,gagn
531,Nutzen::N,пайда,nytta
532,Reichtum::N,перке,rikedom
533,Welt::N,сӓндӓлӹк,värld
534,Welt::N,свет,värld
535,Land::N,сӓндӓлӹк,land
536,Staat::N,кугижӓншӹ,stat
537,König::N,король,kung
538,König::N,король,konung
539,Macht::N,власть,makt
540,Grenze::N,пӹсмӓн,gräns
541,Krieg::N,вырсы,krig
542,Feind::N,тышман,fiende
543,Gewalt::N,ви,våld
544,Kampf::N,кредӓлмӓш,kamp
545,Kampf::N,кредӓлмӓш,strid
546,Bogen[Waffe]::N,янгеж,båge
547,Pfeil::N,пикш,pil
548,Gewehr::N,пичӓл,gevär
549,Fehler::N,самынь,fel
550,Lüge::N,шая,lögn
551,Schaden::N,вре́дӓ,skada
552,Unglück::N,пёда,otur
553,Unglück::N,пёда,olycka
554,Unglück::N,тымаша,otur
555,Unglück::N,тымаша,olycka
556,Schuld::N,вуйнамат,skuld
557,Alter::N,иӓш,ålder
558,Alter::N,игечӹ,ålder
559,Schluss::N,пӹтӓртӹш,slut
560,Zeit::N,веремӓ,tid
561,Tag::N,кечӹ,dag
562,Morgen::N,ир,morgon
563,Morgen::N,ирок,morgon
564,Mittag::N,кечӹвӓл,middag
565,Abend::N,вады,kväll
566,Nacht::N,йыд,natt
567,Woche::N,ӓрня,vecka
568,Monat::N,тӹ́лзӹ,månad
569,Jahr::N,год,år
570,Frühling::N,шошым,vår
571,Sommer::N,кӓнгӹж,sommar
572,Herbst::N,шӹжӹ,höst
573,Winter::N,тел,vinter
574,Winter::N,телӹ,vinter
575,Januar::N,январ,januari
576,Januar::N,январь,januari
577,Februar::N,февраль,februari
578,März::N,март,mars
579,April::N,апрель,april
580,Mai::N,май,maj
581,Juni::N,июнь,juni
582,Juli::N,июль,juli
583,August::N,август,augusti
584,September::N,сентябрь,september
585,Oktober::N,октябрь,oktober
586,November::N,ноябрь,november
587,Dezember::N,декавыр,december
588,Montag::N,шачмы,måndag
589,Dienstag::N,кышкыжмы,tisdag
590,Mittwoch::N,вӹрчегӹ,onsdag
591,Donnerstag::N,изӓрня,torsdag
592,Freitag::N,когарня,fredag
593,Samstag::N,кукшыгечӹ,lördag
594,Sonntag::N,рушӓрня,söndag
595,groß::A,кого,stor
596,klein::A,изи,liten
597,lang::A,кужы,lång
598,kurz::A,кӹтӹк,kort
599,breit::A,кымда,bred
600,schmal::A,ӓнгӹсӹр,smal
601,dicht::A,шӹре,tät
602,dick[Gegenstand]::A,кӹжгӹ,tjock
603,dünn::A,вӹцкӹж,tunn
604,fein::A,пыльга,fin
605,fest::A,цаткыды,fast
606,flach::A,тӓлякӓ,platt
607,glatt::A,ягылгы,glatt
608,hart::A,пингӹдӹ,hård
609,weich::A,пышкыды,mjuk
610,rund::A,тӹртӹш,rund
611,spitz::A,кашар,toppig
612,spitz::A,кашар,spetsig
613,scharf::A,кашар,vass
614,scharf::A,кашар,skarp
615,stumpf::A,нӹшкӹ,slö
616,schwer::A,нелӹ,tung
617,schön::A,цевер,skön
618,schön::A,цевер,vacker
619,schön::A,олмыдшы,skön
620,schön::A,олмыдшы,vacker
621,heiß::A,шокшы,het
622,warm::A,шокшы,varm
623,kalt::A,ӱштӹ,kall
624,kühl::A,юалгы,sval
625,kühl::A,юалгы,kylig
626,kühl::A,йонгата,sval
627,kühl::A,йонгата,kylig
628,frisch::A,йонгата,färsk
629,feucht::A,ӹлӹкшӹ,fuktig
630,feucht::A,вӹдӹжгӹ,fuktig
631,nass::A,начкы,våt
632,trocken::A,кукшы,torr
633,voll::A,темшӹ,full
634,voll::A,темыман,full
635,leer::A,йӓрӓ,tom
636,offen::A,виш,öppen
637,geschlossen::A,чӱчмӹ,stängd
638,geschlossen::A,тӹкӹлӓлтшӹ,stängd
639,sauber::A,ире,ren
640,schmutzig::A,шоран,snuskig
641,schmutzig::A,лявӹрӓн,snuskig
642,schmutzig::A,шорангшы,snuskig
643,roh::A,пеле кӱшӹ,rå
644,reif::A,кӱшӹ,mogen
645,lecker::A,тотан,läcker
646,süß::A,мӱӓн,söt
647,bitter::A,качы,besk
648,bitter::A,качы,bitter
649,sauer::A,шапы,sur
650,hell::A,соты,ljus
651,hell::A,валгыды,ljus
652,dunkel::A,пӹц,mörk
653,dunkel::A,пӹцкемӹш,mörk
654,schwarz::A,шим,svart
655,weiß::A,ош,vit
656,weiß::A,ошы,vit
657,rot::A,якшаргы,röd
658,gelb::A,сар,gul
659,gelb::A,сары,gul
660,blau::A,симсӹ,blå
661,grün::A,ыжар,grön
662,grau::A,луды,grå
663,bunt::A,ала,brokig
664,billig::A,шулдаш,billig
665,teuer::A,шергӹ,dyr
666,teuer::A,шергӓкӓн,dyr
667,wertvoll::A,ӓкӓн,värdefull
668,blind::A,слöпöй,blind
669,blind::A,сльöпöй,blind
670,taub::A,тӱтӱк,döv
671,kräftig::A,виӓн,kraftig
672,stark::A,виӓн,stark
673,schwach::A,шава,svag
674,schwach::A,лӹпкӓ,svag
675,schwach::A,слабка,svag
676,fett::A,таза,fet
677,schlank::A,яштака,slank
678,hübsch::A,сӹлнӹ,snygg
679,hübsch::A,сӹлнӹ,vacker
680,hübsch::A,олмыдшы,snygg
681,hübsch::A,олмыдшы,vacker
682,böse::A,шӹдӓн,ond
683,böse::A,шӹдӓн,elak
684,dumm::A,окмак,dum
685,faul::A,ялахай,lat
686,fleißig::A,пӓшам яратышы,flitig
687,geizig::A,шык,snål
688,geizig::A,шык,girig
689,klug::A,ышан,klok
690,geschickt::A,мастар,händig
691,geschickt::A,мастар,skicklig
692,lieb::A,тыри,kär
693,lieb::A,тыри,snäll
694,lustig::A,мындыр,rolig
695,lustig::A,мындыр,lustig
696,lustig::A,сусу,rolig
697,lustig::A,сусу,lustig
698,sanft::A,йӹвӹжӓ,mild
699,hungrig::A,шужышы,hungrig
700,krank::A,церлӹ,sjuk
701,krank::A,хворой,sjuk
702,nackt::A,цӓрӓ,naken
703,traurig::A,сы́лыкан,ledsen
704,traurig::A,сы́лыкан,sorgsen
705,traurig::A,кымы́лдымы,ledsen
706,traurig::A,кымы́лдымы,sorgsen
707,lebendig::A,живой,levande
708,gut::A,яжо,bra
709,schlecht::A,уда,dålig
710,schlecht::A,худа,dålig
711,richtig::A,вургамла,riktig
712,schlimm::A,йӹрнык,illa
713,wahr::A,настоящий,sann
714,wahr::A,настояшый,sann
715,alt::A,шонгы,gammal
716,neu::A,у,ny
717,ehemalig::A,тошты,forn
718,ehemalig::A,тошты,tidigare
719,alt[Lebewesen]::A,ӹлалшӹ,gammal
720,jung::A,нöргӹ,ung
721,jung::A,молода,ung
722,arm::A,укеӓн,fattig
723,reich::A,паян,rik
724,reich::A,пурлыкан,rik
725,bekannt::A,палӹмӹ,känd
726,berühmt::A,лӹмлы,berömd
727,fremd::A,эдемӹн,främmande
728,verschieden::A,тӹрлӹ,åtskillig
729,nah::A,лишӹл,nära
730,fern::A,мӹндӹр,fjärran
731,linker::A,шалахай,vänster
732,rechter::A,вургамла,höger
733,anderer::A,вес,annan
734,anderer::A,весӹ,annan
735,erster::A,икшӹ,första
736,erster::A,икӹмшӹ,första
737,zweiter::A,кокшы,andra
738,dritter::A,кымшы,tredje
739,letzter::A,остатка,sist
740,allein::ADV,иктӹ,allena
741,allein::ADV,иктӹт,allena
742,auf einmal::ADV,тöрöк,på en gång
743,zusammen::ADV,икараш,tillsammans
744,zusammen::ADV,цымырын,tillsammans
745,lange::ADV,кужын,länge
746,plötzlich::ADV,трӱк,plötsligt
747,sofort::ADV,полт,strax
748,sofort::ADV,полт,genast
749,sofort::ADV,тöрöк,strax
750,sofort::ADV,тöрöк,genast
751,sofort::ADV,тӹшӓкок,strax
752,sofort::ADV,тӹшӓкок,genast
753,später::ADV,вара,senare
754,heute::ADV,тагачы,i dag
755,morgen::ADV,иргод,i morgon
756,morgen::ADV,иргодым,i morgon
757,bald::ADV,чӹнь,snart
758,bald::ADV,вӓшке,snart
759,bald::ADV,выртышты,snart
760,dann::ADV,пакыла,då
761,gestern::ADV,тенгечӹ,i går
762,einst::ADV,икӓнӓ,en gång
763,damals::ADV,тӹнӓм,då
764,damals::ADV,тӹнӓм,den gången
765,danach::ADV,пакыла,därefter
766,vorher::ADV,перви,före
767,vorher::ADV,перви,förut
768,zuerst::ADV,андак,först
769,einmal::ADV,гӓнӓк,en gång
770,einmal::ADV,гӓнӓ,en gång
771,manchmal::ADV,кынамжы,ibland
772,oft::ADV,чӹчкӹдӹн,ofta
773,immer::ADV,со,alltid
774,immer::ADV,соок,alltid
775,niemals::ADV,нинам,aldrig
776,niemals::ADV,нигынам,aldrig
777,niemals::ADV,нигынамат,aldrig
778,hier::ADV,тиштӹ,här
779,hierhin::ADV,тишкӹ,hit
