,Concept_ID,et,ja
123,Blume::N,lill,花
124,Gras::N,rohi,草
125,Wurzel::N,juur,根
126,Baum::N,puu,木
127,Stamm::N,tüvi,幹
128,Rinde::N,koor,皮層
129,Ast::N,oks,枝
130,Zweig::N,oks,小枝
131,Blatt::N,leht,葉
132,Birke::N,kask,樺
133,Kiefer[Baum]::N,mänd,松
134,Weide[Baum]::N,paju,柳
135,Tanne::N,nulg,樅
136,Horn::N,sarv,角
137,Feder::N,sulg,羽根
138,Fell::N,karvkate,毛皮
139,Fell::N,karusnahk,毛皮
140,Flügel::N,tiib,羽
141,Flügel::N,tiivik,羽
142,Klaue::N,küüs,鉤爪
143,Kralle::N,küünis,爪
144,Schwanz::N,saba,尻尾
145,Ei::N,muna,卵
146,Nest::N,pesa,巣
147,Bau::N,urg,穴
148,Tier::N,loom,動物
149,Herde::N,kari,群れ
150,Kuh::N,lehm,牛
151,Bulle::N,pull,雄牛
152,Pferd::N,hobune,馬
153,Schaf::N,lammas,羊
154,Schwein::N,siga,豚
155,Hund::N,koer,犬
156,Katze::N,kass,猫
157,Bär::N,karu,熊
158,Eichhörnchen::N,orav,栗鼠
159,Elch::N,põder,ヘラジカ
160,Fuchs::N,rebane,狐
161,Hase::N,jänes,兎
162,Maus::N,hiir,鼠
163,Wolf::N,hunt,狼
164,Vogel::N,lind,鳥
165,Schwarm::N,parv,群れ
166,Huhn::N,kana,鶏
167,Hahn::N,kukk,雄鶏
168,Gans::N,hani,ガチョウ
169,Adler::N,kotkas,鷲
170,Ente::N,part,鴨
171,Eule::N,kakk,フクロウ
172,Eule::N,öökull,フクロウ
173,Kranich::N,kurg,鶴
174,Krähe::N,vares,烏
175,Kuckuck::N,kägu,郭公
176,Schwan::N,luik,白鳥
177,Fisch::N,kala,魚
178,Barsch::N,ahven,鱸
179,Hecht::N,haug,川魳
180,Schlange[Tier]::N,uss,蛇
181,Wurm::N,uss,虫
182,Wurm::N,vagel,虫
183,Spinne::N,ämblik,蜘蛛
184,Ameise::N,sipelgas,蟻
185,Laus::N,täi,虱
186,Mücke::N,sääsk,蚊
187,Fliege::N,kärbes,蝿
188,Schmetterling::N,liblikas,蝶
189,Beere::N,mari,漿果
190,Apfel::N,õun,林檎
191,Pilz::N,seen,茸
192,Zwiebel::N,sibul,玉葱
193,Saat::N,seeme,種
194,Korn::N,iva,粒
195,Korn::N,tera,粒
196,Heu::N,hein,干し草
197,Schale::N,koor,皮
198,Grube::N,kaevand,穴
199,Falle::N,lõks,わな
200,Falle::N,püünis,わな
201,Schlinge::N,aas,輪
202,Spur::N,jälg,跡
203,Asche::N,tuhk,灰
204,Dreck::N,saast,泥
205,Dreck::N,mustus,泥
206,Eisen::N,raud,鉄
207,Gold::N,kuld,金
208,Silber::N,hõbe,銀
209,Kohle::N,süsi,炭
210,Glas::N,klaas,ガラス
211,Lehm::N,savi,ローム
212,Sand::N,liiv,砂
213,Mensch::N,inimene,人
214,Mann::N,mees,男
215,Mann::N,mees,男性
216,Frau::N,naine,女
217,Frau::N,naine,女性
218,Kind::N,laps,子
219,Kind::N,laps,子供
220,Junge::N,poiss,男の子
221,Mädchen::N,tüdruk,女の子
222,Familie::N,perekond,家族
223,Großvater::N,vanaisa,祖父
224,Großvater::N,vanaisa,おじいさん
225,Großmutter::N,vanaema,祖母
226,Großmutter::N,vanaema,おばあさん
227,Eltern::N,vanemad,親
228,Eltern::N,vanemad,両親
229,Vater::N,isa,父
230,Vater::N,isa,お父さん
231,Mutter::N,ema,母
232,Mutter::N,ema,お母さん
233,Sohn::N,poeg,息子
234,Sohn::N,poeg,息子さん
235,Tochter::N,tütar,娘
236,Tochter::N,tütar,お嬢さん
237,Bruder::N,vend,弟
238,Schwester::N,õde,妹
239,Onkel::N,onu,伯父
240,Onkel::N,onu,伯父さん
241,Tante::N,tädi,叔母
242,Tante::N,tädi,叔母さん
243,Ehemann::N,mees,夫
244,Ehemann::N,mees,主人
245,Ehemann::N,abikaasa,夫
246,Ehemann::N,abikaasa,主人
247,Ehefrau::N,naine,妻
248,Ehefrau::N,naine,奥さん
249,Ehefrau::N,abikaasa,妻
250,Ehefrau::N,abikaasa,奥さん
251,Freude::N,rõõm,喜び
252,Gelächter::N,naer,笑い
253,Glück::N,õnn,幸せ
254,Kummer::N,mure,悩み
255,Kummer::N,kurbus,悩み
256,Wunsch::N,soov,希望
257,Lust::N,himu,気
258,Geist::N,vaim,精神
259,Gedanke::N,mõte,考え
260,Gedächtnis::N,mälu,記憶
261,Verstand::N,aru,理解力
262,Verstand::N,mõistus,理解力
263,Sinn::N,tähendus,意味
264,Grund::N,põhjus,理由
265,Wahrheit::N,tõde,真実
266,Gespräch::N,kõne,会話
267,Gespräch::N,vestlus,会話
268,Märchen::N,muinasjutt,童話
269,Erzählung::N,jutustus,物語
270,Nachricht::N,teade,報告
271,Neuigkeit::N,uudis,ニュース
272,Name::N,nimi,名前
273,Rätsel::N,mõistatus,謎
274,Rede::N,kõne,演説
275,Sprache::N,keel,言語
276,Stimme::N,hääl,声
277,Wort::N,sõna,言葉
278,Zeichen::N,märk,記号
279,Ruf::N,hüüe,呼び声
280,Lärm::N,müra,騒音
281,Laut::N,hääl,音
282,Ton::N,toon,音
283,Lied::N,laul,歌
284,Ruhe::N,rahu,静けさ
285,Ruhe::N,vaikus,静けさ
286,Leute::N,inimesed,人々
287,Volk::N,rahvas,民族
288,Arbeit::N,töö,仕事
289,Gast::N,külaline,客
290,Geschenk::N,kingitus,贈り物
291,Spiel::N,mäng,遊び
292,Gesellschaft::N,selts,社会
293,Hilfe::N,abi,援助
294,Freund::N,sõber,友達
295,Kamerad::N,sõber,同志
296,Angelegenheit::N,asi,件
297,Anzahl::N,arv,数
298,Anzahl::N,hulk,数
299,Art::N,liik,種類
300,Stück::N,tükk,部分
301,Teil::N,osa,部分
302,Hälfte::N,pool,半分
303,Kreis::N,ring,円
304,Kreuz::N,rist,十字
305,Linie::N,joon,線
306,Strich::N,joon,線
307,Abstand::N,vahe,距離
308,Entfernung::N,kaugus,距離
309,Entfernung::N,vahemaa,距離
310,Gegend::N,ümbrus,辺
311,Gegend::N,ümbrus,地域
312,Platz::N,ruum,ゆとり
313,Ort::N,paik,所
314,Ort::N,paik,場所
315,Seite::N,pool,横
316,Mitte::N,keskpaik,真ん中
317,Gegenstand::N,ese,物件
318,Sache::N,ese,物
319,Rand::N,äär,端
320,Rand::N,serv,端
321,Kante::N,kant,縁
322,Ecke::N,nurk,角
323,Spitze::N,teravik,先頭
324,Ende::N,ots,端
325,Ende::N,jupp,端
326,Loch::N,auk,穴
327,Winkel::N,nurk,片隅
328,Muster::N,muster,模様
329,Größe::N,suurus,大きさ
330,Länge::N,pikkus,長さ
331,Höhe::N,kõrgus,高さ
332,Gewicht::N,kaal,重さ
333,Gewicht::N,raskus,重さ
334,Menge::N,arv,量
335,Menge::N,hulk,量
336,Haufen::N,hunnik,堆積
337,Reihe::N,rivi,並び
338,Boot::N,paat,ボート
339,Ruder::N,aer,オール
340,Schlitten::N,saan,そり
341,Ski::N,suusk,スキー
342,Lagerfeuer::N,lõke,篝火
343,Last::N,koorem,荷物
344,Gang::N,käik,歩み
345,Schritt::N,samm,歩
346,Norden::N,põhi,北
347,Süden::N,lõuna,南
348,Westen::N,lääs,西
349,Osten::N,ida,東
350,Holz::N,puu,木
351,Holz::N,puu,木材
352,Brett::N,saelaud,板
353,Platte::N,plaat,盤
354,Stütze::N,tugi,支柱
355,Stange::N,latt,棒
356,Stange::N,teivas,棒
357,Stock::N,kepp,杖
358,Stab::N,varras,棒
359,Rohr::N,toru,管
360,Haus::N,maja,家
361,Heim::N,kodu,家
362,Ofen::N,ahi,ストーブ
363,Fußboden::N,põrand,床
364,Tisch::N,laud,机
365,Stuhl::N,tool,椅子
366,Wiege::N,häll,揺籃
367,Wiege::N,kätki,揺籃
368,Bett::N,voodi,ベッド
369,Regal::N,riiul,棚
370,Kiste::N,kast,箱
371,Fenster::N,aken,窓
372,Tür::N,uks,戸
373,Tür::N,uks,ドア
374,Tor::N,värav,門
375,Zaun::N,aed,垣根
376,Zaun::N,tara,垣根
377,Dach::N,katus,屋根
378,Leiter::N,redel,梯子
379,Besen::N,luud,ほうき
380,Spaten::N,labidas,スコップ
381,Schaufel::N,kühvel,シャベル
382,Gabel::N,kahvel,フォーク
383,Löffel::N,lusikas,スプーン
384,Messer::N,nuga,ナイフ
385,Nagel::N,nael,釘
386,Netz::N,võrk,網
387,Haken::N,haak,鉤
388,Haken::N,haak,フック
389,Haken::N,konks,鉤
390,Haken::N,konks,フック
391,Griff::N,sang,取っ手
392,Griff::N,käepide,取っ手
393,Schloss::N,lukk,錠
394,Bild::N,pilt,絵
395,Figur::N,kuju,像
396,Figur::N,kujund,像
397,Puppe::N,nukk,人形
398,Beutel::N,paun,袋
399,Bündel::N,kimp,束
400,Bündel::N,kimp,包み
401,Tasche::N,kott,かばん
402,Eimer::N,pang,バケツ
403,Eimer::N,ämber,バケツ
404,Deckel::N,kaas,蓋
405,Geschirr::N,nõud,食器
406,Sack::N,kott,袋
407,Tasse::N,tass,カップ
408,Topf::N,pada,鍋
409,Kessel::N,pada,釜
410,Essen::N,söök,食事
411,Nahrung::N,toit,食物
412,Speise::N,roog,料理
413,Fleisch::N,liha,肉
414,Getreide::N,teravili,麦
415,Getreide::N,teravili,穀物
416,Brei::N,puder,粥
417,Brot::N,sai,パン
418,Brot::N,leib,パン
419,Scheibe::N,viil,枚
420,Scheibe::N,viil,切れ
421,Scheibe::N,viilukas,枚
422,Scheibe::N,viilukas,切れ
423,Fett::N,rasv,脂肪
424,Butter::N,või,バター
425,Öl::N,õli,油
426,Salz::N,sool,塩
427,Suppe::N,supp,スープ
428,Honig::N,mesi,蜂蜜
429,Milch::N,piim,牛乳
430,Tee::N,tee,茶
431,Tee::N,tee,お茶
432,Leder::N,nahk,革
433,Wolle::N,vill,毛糸
434,Stoff::N,kangas,布
435,Nadel::N,nõel,針
436,Faden::N,niit,糸
437,Knopf::N,nööp,ボタン
438,Knoten::N,sõlm,結び目
439,Farbe::N,värv,ペンキ
440,Kleidung::N,riided,衣服
441,Kleidung::N,riietus,衣服
442,Hemd::N,särk,シャツ
443,Kragen::N,krae,襟
444,Ärmel::N,varrukas,袖
445,Hose::N,püksid,ズボン
446,Gürtel::N,vöö,帯
447,Gürtel::N,vöö,ベルト
448,Mütze::N,müts,帽子
449,Schuh::N,king,靴
450,Stiefel::N,saabas,ブーツ
451,Ring::N,sõrmus,輪
452,Band::N,lint,リボン
453,Kamm::N,kamm,櫛
454,Spiegel::N,peegel,鏡
455,Riemen::N,rihm,緒
456,Schnur::N,nöör,紐
457,Leine::N,jalutusrihm,綱
458,Decke::N,tekk,掛け布団
459,Kissen::N,padi,枕
460,Tuch::N,kalev,スカーフ
461,Handtuch::N,käterätik,タオル
462,Kraft::N,jõud,力
463,Stärke::N,tugevus,強さ
464,Gesundheit::N,tervis,健康
465,Krankheit::N,haigus,病気
466,Schmerz::N,valu,痛み
467,Wunde::N,haav,傷
468,Fieber::N,palavik,熱
469,Arznei::N,ravim,薬
470,Brücke::N,sild,橋
471,Brunnen::N,kaev,井戸
472,Weide::N,karjamaa,牧場
473,Pfad::N,rada,小路
474,Weg::N,tee,道
475,Straße::N,tee,街道
476,Dorf::N,küla,村
477,Stadt::N,linn,町
478,Stadt::N,linn,都市
479,Brief::N,kiri,手紙
480,Buch::N,raamat,本
481,Buchstabe::N,täht,文字
482,Zeitung::N,ajaleht,新聞
483,Leben::N,elu,生活
484,Tod::N,surm,死
485,Grab::N,haud,墓
486,Kirche::N,kirik,教会
487,Sünde::N,patt,罪
488,Gott::N,jumal,神
489,Arbeiter::N,tööline,労働者
490,Chef::N,ülemus,上司
491,Chef::N,juhataja,上司
492,Meister::N,meister,達人
493,Meister::N,meister,マイスター
494,Arzt::N,arst,医者
495,Lehrer::N,õpetaja,先生
496,Geld::N,raha,金
497,Geschäft::N,äri,取り引き
498,Laden::N,pood,店
499,Laden::N,kauplus,店
500,Preis::N,hind,値段
501,Ware::N,kaup,商品
502,Nutzen::N,tulu,利益
503,Nutzen::N,kasulikkus,利益
504,Reichtum::N,rikkus,豊かさ
505,Welt::N,maailm,世界
506,Land::N,maa,国
507,Staat::N,riik,国家
508,König::N,kuningas,国王
509,Macht::N,võim,権力
510,Grenze::N,piir,国境
511,Krieg::N,sõda,戦争
512,Feind::N,vaenlane,敵
513,Gewalt::N,väevõim,暴力
514,Kampf::N,võitlus,戦い
515,Bogen[Waffe]::N,vibu,弓
516,Pfeil::N,nool,矢
517,Gewehr::N,püss,銃
518,Fehler::N,viga,間違い
519,Lüge::N,vale,嘘
520,Schaden::N,kahju,損害
521,Unglück::N,häda,不幸
522,Unglück::N,õnnetus,不幸
523,Schuld::N,süü,罪
524,Alter::N,iga,年
525,Alter::N,iga,年齢
526,Schluss::N,lõpp,終わり
527,Zeit::N,aeg,時
528,Zeit::N,aeg,時間
529,Tag::N,päev,日
530,Morgen::N,hommik,朝
531,Mittag::N,lõuna,昼
532,Mittag::N,keskpäev,昼
533,Abend::N,õhtu,晩
534,Abend::N,õhtu,夕方
535,Nacht::N,öö,夜
536,Woche::N,nädal,週
537,Monat::N,kuu,月
538,Jahr::N,aasta,年
539,Frühling::N,kevad,春
540,Sommer::N,suvi,夏
541,Herbst::N,sügis,秋
542,Winter::N,talv,冬
543,Januar::N,jaanuar,一月
544,Februar::N,veebruar,二月
545,März::N,märts,三月
546,April::N,aprill,四月
547,Mai::N,mai,五月
548,Juni::N,juuni,六月
549,Juli::N,juuli,七月
550,August::N,august,八月
551,September::N,september,九月
552,Oktober::N,oktoober,十月
553,November::N,november,十一月
554,Dezember::N,detsember,十二月
555,Montag::N,esmaspäev,月曜日
556,Dienstag::N,teisipäev,火曜日
557,Mittwoch::N,kesknädal,水曜日
558,Donnerstag::N,neljapäev,木曜日
559,Freitag::N,reede,金曜日
560,Samstag::N,laupäev,土曜日
561,Sonntag::N,pühapäev,日曜日
562,groß::A,suur,大きい
563,klein::A,väike,小さい
564,klein::A,pisike,小さい
565,lang::A,pikk,長い
566,kurz::A,lühike,短い
567,breit::A,lai,広い
568,schmal::A,kitsas,狭い
569,dicht::A,tihe,密な
570,dick[Gegenstand]::A,jäme,厚い
571,dünn::A,õhuke,薄い
572,dünn::A,peenike,薄い
573,fein::A,peen,細い
574,fein::A,õhuke,細い
575,fest::A,püsiv,硬い
576,fest::A,kindel,硬い
577,flach::A,lame,平らな
578,flach::A,tasane,平らな
579,glatt::A,sile,滑らかな
580,hart::A,kõva,堅い
581,weich::A,pehme,柔らかい
582,rund::A,ümar,丸い
583,spitz::A,torkav,尖った
584,scharf::A,terav,鋭い
585,stumpf::A,nüri,鈍い
586,schwer::A,raske,重い
587,schön::A,kena,綺麗な
588,heiß::A,kuum,熱い
589,heiß::A,palav,熱い
590,warm::A,soe,温かい
591,kalt::A,külm,寒い
592,kalt::A,külm,冷たい
593,kühl::A,jahe,涼しい
594,frisch::A,värske,ひんやりした
595,feucht::A,niiske,湿った
596,nass::A,märg,濡れた
597,trocken::A,kuiv,乾いた
598,voll::A,täis,いっぱいの
599,leer::A,tühi,空の
600,offen::A,avatud,開いた
601,offen::A,lahtine,開いた
602,geschlossen::A,suletud,閉まった
603,sauber::A,puhas,清潔な
604,schmutzig::A,räpane,汚い
605,schmutzig::A,määrdunud,汚い
606,roh::A,toores,生の
607,reif::A,küps,熟した
608,lecker::A,hõrk,美味しい
609,lecker::A,maitsev,美味しい
610,süß::A,magus,甘い
611,bitter::A,mõru,苦い
612,sauer::A,hapu,酸っぱい
613,hell::A,hele,明るい
614,dunkel::A,pime,暗い
615,schwarz::A,must,黒い
616,weiß::A,valge,白い
617,rot::A,punane,赤い
618,gelb::A,kollane,黄色い
619,blau::A,sinine,青い
620,grün::A,roheline,緑の
621,grau::A,hall,灰色の
622,bunt::A,kirju,色取り取りの
623,bunt::A,värviline,色取り取りの
624,billig::A,odav,安い
625,teuer::A,kallis,高い
626,wertvoll::A,väärtuslik,貴重な
627,blind::A,pime,盲目の
628,taub::A,kurt,耳が聞こえない
629,kräftig::A,jõuline,強力な
630,stark::A,tugev,強い
631,schwach::A,nõrk,弱い
632,schwach::A,jõuetu,弱い
633,fett::A,rasvane,太った
634,schlank::A,sale,ほっそりした
635,hübsch::A,kena,素敵な
636,böse::A,tige,悪い
637,dumm::A,juhm,馬鹿な
638,dumm::A,rumal,馬鹿な
639,faul::A,laisk,怠惰な
640,fleißig::A,virk,勤勉な
641,fleißig::A,hoolas,勤勉な
642,geizig::A,ihne,けちな
643,klug::A,tark,賢い
644,klug::A,tark,頭のいい
645,klug::A,arukas,賢い
646,klug::A,arukas,頭のいい
647,klug::A,mõistlik,賢い
648,klug::A,mõistlik,頭のいい
649,geschickt::A,osav,器用な
650,lieb::A,armas,愛らしい
651,lustig::A,lõbus,楽しい
652,sanft::A,õrn,温和な
653,hungrig::A,näljane,空腹の
654,krank::A,haige,病気の
655,nackt::A,alasti,裸の
656,traurig::A,kurb,悲しい
657,lebendig::A,elus,生きた
658,gut::A,hea,良い
659,schlecht::A,halb,悪い
660,schlecht::A,halb,駄目な
661,richtig::A,õige,正しい
662,schlimm::A,paha,ひどい
663,wahr::A,tõene,本当の
664,alt::A,vana,古い
665,neu::A,uus,新しい
666,ehemalig::A,endine,以前の
667,alt[Lebewesen]::A,vana,年を取った
668,jung::A,noor,若い
669,arm::A,vaene,貧乏な
670,reich::A,rikas,裕福な
671,bekannt::A,teada,有名な
672,bekannt::A,tuttav,有名な
673,berühmt::A,tuntud,有名な
674,fremd::A,võõras,見知らぬ
675,verschieden::A,erinev,色々な
676,nah::A,lähedane,近い
677,fern::A,kauge,遠い
678,linker::A,vasak,左の
679,rechter::A,parem,右の
680,anderer::A,muu,別の
681,anderer::A,teine,別の
682,erster::A,esimene,一番目
683,zweiter::A,teine,二番目
684,dritter::A,kolmas,三番目
685,letzter::A,viimane,最後の
686,allein::ADV,üksi,一人で
687,auf einmal::ADV,korraga,同時に
688,auf einmal::ADV,ühekorraga,同時に
689,zusammen::ADV,koos,一緒に
690,zusammen::ADV,üheskoos,一緒に
691,lange::ADV,kaua,長い間
692,plötzlich::ADV,äkki,急に
693,plötzlich::ADV,järsku,急に
694,sofort::ADV,kohe,すぐに
695,später::ADV,hiljem,後で
696,jetzt::ADV,nüüd,今
697,heute::ADV,täna,今日
698,morgen::ADV,homme,明日
699,bald::ADV,pea,間もなく
700,bald::ADV,varsti,間もなく
701,dann::ADV,siis,それから
702,gestern::ADV,eile,昨日
703,einst::ADV,vanasti,過去に
704,damals::ADV,tookord,あの時
705,danach::ADV,seejärel,その後で
706,vorher::ADV,enne,以前に
707,zuerst::ADV,enne,まず
708,zuerst::ADV,enne,最初に
709,zuerst::ADV,esmalt,まず
710,zuerst::ADV,esmalt,最初に
711,einmal::ADV,kord,一回
712,einmal::ADV,üks kord,一回
713,manchmal::ADV,mõnikord,時々
714,oft::ADV,tihti,よく
715,oft::ADV,sageli,よく
716,immer::ADV,ikka,いつも
717,immer::ADV,alati,いつも
718,niemals::ADV,mitte kunagi,一度も...ない
719,hier::ADV,siin,こちら
720,hierhin::ADV,siia,ここへ
721,hierhin::ADV,siia,こちらへ
722,von hier::ADV,siit,ここから
723,dort::ADV,seal,そちら
724,dorthin::ADV,sinna,そこへ
725,dorthin::ADV,sinna,そちらへ
726,geradeaus::ADV,otse edasi,真っ直ぐに
727,vorwärts::ADV,edasi,前へ
728,rückwärts::ADV,tagurpidi,後ろへ
729,zurück::ADV,tagasi,後ろへ
730,unten::ADV,all,下に
731,unten::ADV,allpool,下に
732,hinab::ADV,alla,下へ
733,oben::ADV,ülal,上に
734,hinauf::ADV,üles,上へ
735,überall::ADV,kõikjal,どこでも
736,nicht::ADV,ei,ない
737,nicht::ADV,mitte,ない
738,ein wenig::ADV,veidi,少し
739,ein wenig::ADV,veidi,ちょっと
740,ein wenig::ADV,natuke,少し
741,ein wenig::ADV,natuke,ちょっと
742,kaum::ADV,vaevalt,ほとんど～ない
743,sehr::ADV,väga,とても
744,so::ADV,nii,こう
745,noch::ADV,veel,まだ
746,nur::ADV,ainult,～だけ
747,schon::ADV,juba,もう
748,wieder::ADV,jälle,再び
749,vergebens::ADV,asjata,無駄に
750,vor::PRP,ees,前に
751,hinter::PRP,taha,後ろに
752,unter::PRP,all,下に
753,durch::PRP,läbi,通して
754,durch::PRP,kaudu,通して
755,neben::PRP,kõrval,横に
756,zwischen::PRP,vahel,間に
757,wegen::PRP,tõttu,為に
758,wegen::PRP,tõttu,せいで
759,wegen::PRP,pärast,為に
760,wegen::PRP,pärast,せいで
761,dies::PRN,see,これ
762,das::PRN,see,それ
763,alles::PRN,kõik,全部
764,ich::PRN,mina,私
765,du::PRN,sina,あなた
766,er::PRN,tema,彼
767,wir::PRN,me,私達
768,ihr::PRN,te,あなた達
769,sie::PRN,nad,彼ら
770,was::FPRN,mis,何
771,wer::FPRN,kes,誰
772,wer::FPRN,kes,どなた
773,wo::FADV,kus,どこ
774,wo::FADV,kus,どこに
775,wohin::FADV,kuhu,どこへ
776,wie::FADV,kuidas,どう
777,warum::FADV,miks,何故
778,warum::FADV,miks,どうして
779,wieviel::FNUM,mitu,どのくらい
780,wieviel::FNUM,kui palju,どのくらい
781,eins::NUM,üks,一
782,zwei::NUM,kaks,二
783,zwei::NUM,kaks,二つ
784,drei::NUM,kolm,三
785,drei::NUM,kolm,三つ
786,vier::NUM,neli,四
787,vier::NUM,neli,四つ
788,fünf::NUM,viis,五
789,fünf::NUM,viis,五つ
790,sechs::NUM,kuus,六
791,sechs::NUM,kuus,六つ
792,sieben::NUM,seitse,七
793,sieben::NUM,seitse,七つ
794,acht::NUM,kaheksa,八
795,acht::NUM,kaheksa,八つ
796,neun::NUM,üheksa,九
797,neun::NUM,üheksa,九つ
798,zehn::NUM,kümme,十
799,elf::NUM,üksteist,十一
800,zwölf::NUM,kaksteist,十二
801,zwanzig::NUM,kakskümmend,二十
802,dreißig::NUM,kolmkümmend,三十
803,vierzig::NUM,nelikümmend,四十
804,fünfzig::NUM,viiskümmend,五十
805,sechzig::NUM,kuuskümmend,六十
806,siebzig::NUM,seitsekümmend,七十
807,achtzig::NUM,kaheksakümmend,八十
808,neunzig::NUM,üheksakümmend,九十
809,hundert::NUM,sada,百
810,tausend::NUM,tuhat,千
811,und::CNJ,ja,-と
812,und::CNJ,ja,そして
813,oder::CNJ,või,或いは
814,stehen::V,seisma,立っている
815,sitzen::V,istuma,座っている
816,liegen::V,lamama,横になっている
817,hängen::V,rippuma,掛かっている
818,werden::V,saama,なる
819,werden::V,hakkama,なる
820,passieren::V,juhtuma,起こる
821,beginnen::V,algama,始まる
822,beginnen::V,hakkama,始まる
823,enden::V,lõppema,終わる
824,wechseln::V,vahelduma,変わる
825,aufgehen[Sonne]::V,tõusma,出る
826,untergehen[Sonne]::V,loojuma,沈む
827,scheinen[Sonne]::V,paistma,輝く
828,donnern::V,kõmisema,雷が鳴る
829,wehen::V,puhuma,吹く
830,strömen::V,voolama,流れる
831,fließen::V,voolama,流れる
832,sich drehen::V,pöörduma,回転する
833,schwanken::V,kõikuma,揺れる
834,schwingen::V,võnkuma,振動する
835,fallen::V,langema,落ちる
836,brennen::V,põlema,燃える
837,rauchen::V,suitsema,煙を出す
838,regnen::V,sadama,雨が降る
839,gefrieren::V,kinni külmuma,凍る
840,tauen::V,sulama,溶ける
841,schmelzen::V,sulama,溶ける
842,trocknen::V,kuivama,乾く
843,sieden::V,keema,沸く
844,faulen::V,mädanema,腐る
845,verfaulen::V,mädanema,朽ちる
846,reißen::V,rebenema,切れる
847,versinken::V,uppuma,沈む
848,vergehen::V,mööduma,経つ
849,erscheinen::V,ilmuma,現れる
850,verschwinden::V,kaduma,消える
