,Concept_ID,hr,ab
56,Atem::N,dah,аҧсыҧлагаҩгара
57,Hunger::N,glad,амла
58,Träne::N,suza,алабжыш
59,Geschmack::N,ukus,агьама
60,Geruch::N,njuh,афҩы
61,Geruch::N,miris,афҩы
62,Schlaf::N,san,ацəа
63,Traum::N,san,аҧхыӡ
64,Himmel::N,nebo,ажəҩан
65,Sonne::N,sunce,амра
66,Mond::N,mjesec,амза
67,Stern::N,zvijezda,аеҵəа
68,Luft::N,zrak,аҳаир
69,Wind::N,vjetar,аҧша
70,Welle::N,val,ацəқəырҧа
71,Welle::N,talas,ацəқəырҧа
72,Wasser::N,voda,аӡы
73,Stein::N,kamen,ахаҳə
74,Boden::N,tlo,адгьыл
75,Boden::N,zemlja,адгьыл
76,Erde::N,zemlja,адгьыл
77,Staub::N,prah,асаба
78,Staub::N,prašina,асаба
79,Rauch::N,dim,алҩа
80,Funke::N,iskra,акəиц
81,Funke::N,iskra,ацҧхь
82,Funke::N,varnica,акəиц
83,Funke::N,varnica,ацҧхь
84,Feuer::N,vatra,амца
85,Licht::N,svjetlo,алашара
86,Schatten::N,hlad,ашəшьыра
87,Schatten::N,sjena,ашəшьыра
88,Wetter::N,vrijeme,амш
89,Nebel::N,magla,анаҟəа
90,Wolke::N,oblak,аҧсҭҳəа
91,Regen::N,kiša,ақəа
92,Schnee::N,snijeg,асы
93,Eis::N,led,аҵаа
94,Frost::N,mraz,аҵаа
95,Kälte::N,studen,ахьҭа
96,Kälte::N,hladnoća,ахьҭа
97,Hitze::N,vrućina,ашоура
98,Raureif::N,inje,аҵааҧшқа
99,Regenbogen::N,duga,ацəаҟəа
100,Donner::N,grom,адыд
101,Donner::N,grmljavina,адыд
102,Strömung::N,struja,аиасра
103,Strömung::N,struja,амҩасра
104,Strömung::N,strujanje,аиасра
105,Strömung::N,strujanje,амҩасра
106,Tropfen::N,kap,ацəыкəбар
107,Tropfen::N,kaplja,ацəыкəбар
108,Schaum::N,pjena,ашəах
109,Schmutz::N,nečistoća,алымт
110,Schmutz::N,prljavština,алымт
111,See::N,jezero,аӡиа
112,Sumpf::N,bara,аӡмах
113,Moor::N,močvara,
114,Wiese::N,livada,адəы
115,Wald::N,šuma,абна
116,Hügel::N,brijeg,ахəы
117,Hügel::N,brežuljak,ахəы
118,Anhöhe::N,uzvišica,аҳаракыра
119,Berg::N,brdo,ашьха
120,Gipfel::N,vrh,ацəқəа
121,Höhle::N,pećina,аҳаҧы
122,Höhle::N,spilja,аҳаҧы
123,Abhang::N,obronak,анаара
124,Abhang::N,nizbrdica,анаара
125,Quelle::N,izvor,аҵҵырҭа
126,Quelle::N,vrelo,аҵҵырҭа
127,Bach::N,potok,акəараҷҷа
128,Fluss::N,rijeka,аӡиас
129,Ufer::N,obala,ахықə
130,Küste::N,obala,ахықə
131,Küste::N,morska obala,ахықə
132,Festland::N,kopno,абарра
133,Meer::N,more,амшын
134,Bucht::N,zaliv,аӡбжьахала
135,Insel::N,ada,адгьылбжьаха
136,Insel::N,otok,адгьылбжьаха
137,Blume::N,cvijet,ашəҭ
138,Gras::N,trava,аҳасакьын
139,Wurzel::N,korijen,адац
140,Baum::N,drvo,аҵла
141,Baum::N,stablo,аҵла
142,Stamm::N,deblo,ашьапы
143,Stamm::N,stablo,ашьапы
144,Rinde::N,kora,ацəа
145,Ast::N,grana,амахə
146,Ast::N,grana,амахəҭа
147,Zweig::N,grana,амахə
148,Zweig::N,grana,амахəҭа
149,Blatt::N,list,абҕьы
150,Birke::N,breza,аҵааҵла
151,Kiefer[Baum]::N,bor,амза
152,Weide[Baum]::N,iva,аҧслыш
153,Weide[Baum]::N,vŕba,аҧслыш
154,Tanne::N,jela,аҧсаӡ
155,Horn::N,rog,атəыҩа
156,Feder::N,pero,ахӡы
157,Fell::N,koža,ацəа
158,Flügel::N,krilo,амҵəыжəа
159,Klaue::N,papak,ашьапхыц
160,Kralle::N,pandža,
161,Schwanz::N,rep,аҵыхəа
162,Ei::N,jaje,акəтаӷь
163,Nest::N,gnijezdo,аҭра
164,Nest::N,gnijezdo,аҵысҭра
165,Bau::N,jazbina,аҭыҩра
166,Tier::N,životinja,аҧстəы
167,Tier::N,životinja,агыгшəыг
168,Herde::N,krdo,агəарҭа
169,Herde::N,stado,агəарҭа
170,Kuh::N,krava,ажə
171,Bulle::N,bik,ацə
172,Pferd::N,konj,аҽы
173,Schaf::N,ovca,ауаса
174,Schwein::N,svinja,аҳəа
175,Hund::N,pas,ала
176,Hund::N,pseto,ала
177,Katze::N,mačka,ацгəы
178,Bär::N,medvjed,амшə
179,Eichhörnchen::N,vjeverica,аеш
180,Elch::N,los,аҽаҩа
181,Fuchs::N,lisica,абгахəыҷы
182,Hase::N,zec,ажьа
183,Maus::N,miš,аҳəынаҧ
184,Wolf::N,vuk,абгаду
185,Wolf::N,kurjak,абгаду
186,Vogel::N,ptica,аҧсаатə
187,Schwarm::N,roj,
188,Schwarm::N,jato,
189,Huhn::N,kokoš,акəты
190,Hahn::N,kokot,арбаҕь
191,Hahn::N,pijevac,арбаҕь
192,Gans::N,guska,аҟыз
193,Adler::N,orao,ауарба
194,Ente::N,patka,акəата
195,Eule::N,sova,аты
196,Kranich::N,ždral,апҟа
197,Krähe::N,vrana,аҟəараан
198,Kuckuck::N,kukavica,акəыкəу
199,Schwan::N,labud,агьад
200,Fisch::N,riba,аҧсыӡ
201,Barsch::N,grgeč,ацəыбла
202,Hecht::N,štuka,ахиаала
203,Schlange[Tier]::N,guja,амаҭ
204,Schlange[Tier]::N,zmija,амаҭ
205,Wurm::N,crv,ахəа
206,Wurm::N,crv,ахəац
207,Spinne::N,pauk,абызкаҭаҳа
208,Ameise::N,mrav,ашышкамс
209,Laus::N,uš,аҵа
210,Mücke::N,komarac,акəыбры
211,Fliege::N,muha,амҵ
212,Schmetterling::N,leptir,аҧарҧалыкь
213,Beere::N,boba,аргуц
214,Beere::N,bobica,аргуц
215,Apfel::N,jabuka,аҵəа
216,Pilz::N,pečurka,акəкəбаа
217,Zwiebel::N,luk,аџьымшьы
218,Zwiebel::N,luk,аџьымшьхы
219,Zwiebel::N,kapula,аџьымшьы
220,Zwiebel::N,kapula,аџьымшьхы
221,Saat::N,sjemenje,ажəла
222,Korn::N,zrno,арыц
223,Heu::N,sijeno,аҭəа
224,Schale::N,kora,ацəа
225,Schale::N,ljuska,ацəа
226,Grube::N,jama,ажра
227,Grube::N,jama,атыша
228,Falle::N,zamka,арыҧҟьа
229,Falle::N,klopka,арыҧҟьа
230,Schlinge::N,uzao,аҟəараҟəантə
231,Schlinge::N,petlja,аҟəараҟəантə
232,Spur::N,trag,ашьҭа
233,Spur::N,slijed,ашьҭа
234,Asche::N,pepeo,ахəа
235,Dreck::N,blato,аҳəынҵəа
236,Dreck::N,blato,аҟьамсар
237,Eisen::N,željezo,аиха
238,Gold::N,zlato,ахьы
239,Silber::N,srebro,аразны
240,Kohle::N,ugalj,арацəа
241,Kohle::N,ugljen,арацəа
242,Glas::N,staklo,асаркьа
243,Lehm::N,glina,анышəаҧшь
244,Lehm::N,ilovača,анышəаҧшь
245,Sand::N,pijesak,аҧслымӡ
246,Mensch::N,čovjek,ауаҩы
247,Mann::N,muškarac,ахаҵа
248,Frau::N,žena,аҧҳəыс
249,Kind::N,čedo,ахəыҷы
250,Kind::N,dijete,ахəыҷы
251,Junge::N,momče,аҷкəын
252,Junge::N,momče,ахаҵарҧыс
253,Junge::N,dječak,аҷкəын
254,Junge::N,dječak,ахаҵарҧыс
255,Mädchen::N,djevojka,аӡӷаб
256,Mädchen::N,djevojčica,аӡӷаб
257,Familie::N,obitelj,аҭаацəа
258,Familie::N,porodica,аҭаацəа
259,Großvater::N,djed,абду
260,Großmutter::N,baka,анду
261,Eltern::N,roditelji,ани аби
262,Vater::N,otac,аб
263,Mutter::N,majka,ан
264,Sohn::N,sin,аҧа
265,Tochter::N,kći,аҧҳа
266,Tochter::N,kćerka,аҧҳа
267,Bruder::N,brat,аиашьа
268,Schwester::N,sestra,Аҳəшьа
269,Onkel::N,čika,абиашьа
270,Onkel::N,čika,аншьа
271,Onkel::N,ujak,абиашьа
272,Onkel::N,ujak,аншьа
273,Tante::N,ujna,абиаҳəшьа
274,Tante::N,tetka,абиаҳəшьа
275,Ehemann::N,muž,ахаҵа
276,Ehemann::N,muž,аҧшəма
277,Ehemann::N,suprug,ахаҵа
278,Ehemann::N,suprug,аҧшəма
279,Ehefrau::N,žena,аҧҳəыс
280,Ehefrau::N,supruga,аҧҳəыс
281,Freude::N,radost,агəырӷьара
282,Gelächter::N,grohot,ачча
283,Gelächter::N,grohot,аччара
284,Glück::N,sreća,аразҟы
285,Kummer::N,jad,агəырҩа
286,Kummer::N,briga,агəырҩа
287,Wunsch::N,želja,агəхəтəы
288,Wunsch::N,želja,аҭахра
289,Lust::N,volja,агəазыҳəара
290,Geist::N,duh,аҧсы
291,Gedanke::N,misao,ахəыцырҭа
292,Gedächtnis::N,pamćenje,агəынкылара
293,Verstand::N,um,ахшыҩ
294,Verstand::N,razum,ахшыҩ
295,Sinn::N,smisao,аҵакы
296,Sinn::N,značenje,аҵакы
297,Grund::N,razlog,амзыз
298,Wahrheit::N,istina,аиаша
299,Gespräch::N,razgovor,аиҿцәажәара
300,Märchen::N,bajka,алакə
301,Erzählung::N,priča,ажәабжь
302,Erzählung::N,pripovijest,ажәабжь
303,Nachricht::N,vijest,адырраҭара
304,Neuigkeit::N,novost,ажәабжь ҿыц
305,Name::N,ime,ахьӡ
306,Rätsel::N,zagonetka,ацуфара
307,Rede::N,govor,ажәа
308,Rede::N,besjeda,ажәа
309,Sprache::N,jezik,абызшəа
310,Stimme::N,glas,абжьы
311,Wort::N,riječ,ажәа
312,Zeichen::N,znak,адырга
313,Ruf::N,povik,аҿҭы
314,Ruf::N,poklik,аҿҭы
315,Lärm::N,buka,ашьҭыбжь
316,Lärm::N,galama,ашьҭыбжь
317,Laut::N,zvuk,ашьҭыбжь
318,Ton::N,ton,атон
319,Lied::N,pjesma,ашəа
320,Ruhe::N,tišina,аҭынчра
321,Ruhe::N,počinak,аҭынчра
322,Leute::N,ljudi,ауаа
323,Volk::N,puk,ажəлар
324,Volk::N,narod,ажəлар
325,Arbeit::N,rad,аусура
326,Arbeit::N,posao,аусура
327,Gast::N,gost,асас
328,Geschenk::N,dar,аҳамҭа
329,Geschenk::N,dar,аҿанҵа
330,Geschenk::N,poklon,аҳамҭа
331,Geschenk::N,poklon,аҿанҵа
332,Spiel::N,igra,ахəмарра
333,Gesellschaft::N,društvo,агəыҧ
334,Gesellschaft::N,kompanija,агəыҧ
335,Hilfe::N,pomoć,ацхыраара
336,Freund::N,prijatelj,аҩыза
337,Kamerad::N,drug,Аҧхнагьла
338,Kamerad::N,drugar,Аҧхнагьла
339,Angelegenheit::N,posao,аус
340,Anzahl::N,broj,ахыҧхьаӡара
341,Anzahl::N,brojnost,ахыҧхьаӡара
342,Art::N,vid,ахкы
343,Art::N,vrst,ахкы
344,Stück::N,komad,аҽыҭ
345,Teil::N,dio,ахəҭа
346,Hälfte::N,polovina,абжа
347,Kreis::N,krug,агьагьа
348,Kreuz::N,križ,аџьар
349,Linie::N,crta,аицтәар
350,Strich::N,crta,ацəаҳəа
351,Abstand::N,razmak,абжьара
352,Abstand::N,odstojanje,абжьара
353,Entfernung::N,udaljenost,абжьара
354,Gegend::N,kraj,аҭыҧ
355,Gegend::N,predeo,аҭыҧ
356,Platz::N,mjesto,аҭыҧ
357,Ort::N,mjesto,аҭыҧ
358,Seite::N,bok,аган
359,Seite::N,strana,аган
360,Mitte::N,sredina,агəҭа
361,Gegenstand::N,predmet,амаҭəар
362,Sache::N,posao,
363,Rand::N,rub,аҵкар
364,Rand::N,kraj,аҵкар
365,Kante::N,brid,авардым
366,Kante::N,ivica,авардым
367,Ecke::N,ugao,акəакь
368,Spitze::N,vrh,аҧынҵа
369,Spitze::N,šiljak,аҧынҵа
370,Ende::N,konac,анаӡара
371,Loch::N,rupa,акылҵəара
372,Winkel::N,kut,агҿаҩра
373,Winkel::N,kut,акəындхə
374,Winkel::N,kut,акəакь
375,Winkel::N,ugao,агҿаҩра
376,Winkel::N,ugao,акəындхə
377,Winkel::N,ugao,акəакь
378,Muster::N,uzor,аҟҟа
379,Größe::N,veličina,изаҟароу
380,Länge::N,duljina,аура
381,Höhe::N,visina,агылара
382,Gewicht::N,težina,акапан
383,Menge::N,mnoštvo,
384,Menge::N,količina,
385,Haufen::N,hrpa,ачаҟəа
386,Haufen::N,gomila,ачаҟəа
387,Reihe::N,red,ацəаҳəа
388,Boot::N,čun,анышь
389,Boot::N,čamac,анышь
390,Ruder::N,veslo,ажəҩа
391,Schlitten::N,saone,ашəаҩауардын
392,Ski::N,ski,ашəаҩа
393,Ski::N,ski,ашьахаха
394,Ski::N,smučka,ашəаҩа
395,Ski::N,smučka,ашьахаха
396,Lagerfeuer::N,logorska vatra,еиқуу амца
397,Last::N,tovar,ахьанҭара
398,Gang::N,hod,аныҟəара
399,Schritt::N,korak,ашьаҿа
400,Norden::N,sjever,аҩада
401,Süden::N,jug,алада
402,Westen::N,zapad,амраҭашəара
403,Osten::N,istok,амрагылара
404,Holz::N,drvo,амҿымаҭəахə
405,Brett::N,daska,аӷəы
406,Platte::N,ploča,ахаҳәцәы
407,Stütze::N,potpora,аҵаргəа
408,Stütze::N,potpora,агəышьаҟа
409,Stange::N,motka,акьат
410,Stock::N,štap,алаба
411,Stock::N,palica,алаба
412,Stab::N,štap,акьат
413,Stab::N,šipka,акьат
414,Rohr::N,cijev,абыкь
415,Haus::N,kuća,аҩны
416,Heim::N,dom,аҭаацəа
417,Ofen::N,peć,аҳақə
418,Ofen::N,peć,ауаџьаҟ
419,Ofen::N,peć,афрына
420,Fußboden::N,pod,адашьма
421,Tisch::N,stol,аишәа
422,Tisch::N,trpeza,аишәа
423,Stuhl::N,stolac,аҟəардə
424,Stuhl::N,stolica,аҟəардə
425,Wiege::N,kolijevka,агара
426,Bett::N,krevet,акаруаҭ
427,Bett::N,postelja,акаруаҭ
428,Regal::N,polica,акыӷəра
429,Kiste::N,sanduk,аидчаҧала
430,Fenster::N,prozor,аҧенџьыр
431,Tür::N,vrata,ашə
432,Tor::N,vrata,агəашə
433,Tor::N,kapija,агəашə
434,Zaun::N,plot,аанда
435,Zaun::N,ograda,аанда
436,Dach::N,krov,ахыб
437,Leiter::N,ljestve,амардуан
438,Leiter::N,ljestvice,амардуан
439,Besen::N,metla,аҧссага
440,Spaten::N,ašov,ажыга
441,Schaufel::N,lopata,аҭəарӷəы
442,Gabel::N,viljuška,ачқьыҧ
443,Löffel::N,žlica,амҳаҵə
444,Messer::N,nož,аҳəызба
445,Nagel::N,čavao,аҵəымӷ
446,Netz::N,mreža,акаҭа
447,Haken::N,kuka,аҵəаҳə
448,Griff::N,držak,амаа
449,Griff::N,ručica,амаа
450,Schloss::N,brava,асаҧаҭ
451,Bild::N,slika,асахьа
452,Figur::N,figura,афигура
453,Puppe::N,lutka,акьанџьа
454,Beutel::N,kesa,асакь
455,Bündel::N,snop,аҿаҳəара
456,Bündel::N,svežanj,аҿаҳəара
457,Tasche::N,torba,арҭмаҟ
458,Tasche::N,taška,арҭмаҟ
459,Eimer::N,kabao,аведра
460,Deckel::N,poklopac,ахҩа
461,Geschirr::N,suđe,ачысмаҭəа
462,Geschirr::N,posuđe,ачысмаҭəа
463,Sack::N,džak,асакь
464,Sack::N,vreća,асакь
465,Tasse::N,šalica,аҵəца
466,Topf::N,lonac,акаструлиа
467,Kessel::N,kazan,ачуан
468,Essen::N,obrok,
469,Nahrung::N,hrana,афатə
470,Speise::N,jelo,афатə
471,Fleisch::N,meso,акəац
472,Getreide::N,žito,ачакуа
473,Getreide::N,žitarice,ачакуа
474,Brei::N,kaša,ақашь
475,Brot::N,kruh,ача
476,Scheibe::N,kriška,аҽыҭ
477,Scheibe::N,kriška,аҿаҵа
478,Fett::N,mast,ашша
479,Fett::N,salo,ашша
480,Butter::N,buter,ахəша
481,Butter::N,maslac,ахəша
482,Öl::N,ulje,азеҭ
483,Salz::N,sol,аџьыка
484,Suppe::N,supa,асуҧ
485,Honig::N,med,ацха
486,Milch::N,mlijeko,ахш
487,Tee::N,čaj,ачаи
488,Leder::N,koža,ацəа
489,Wolle::N,vuna,аласа
490,Stoff::N,štof,Аба
491,Stoff::N,tkanina,Аба
492,Nadel::N,igla,агəыр
493,Faden::N,nit,арахəыц
494,Faden::N,konac,арахəыц
495,Knopf::N,dugme,аҳəынҵəра
496,Knoten::N,čvor,аиқəҳəала
497,Knoten::N,uzao,аиқəҳəала
498,Farbe::N,farba,ашəыга
499,Kleidung::N,odjeća,амаҭəа
500,Hemd::N,košulja,акьаҿ
501,Kragen::N,ovratnik,ахəда
502,Ärmel::N,rukav,амаӷра
503,Hose::N,hlače,аиқəа
504,Gürtel::N,pas,амаҟа
505,Gürtel::N,pojas,амаҟа
506,Mütze::N,kapa,ахылҧа
507,Schuh::N,cipela,аимаа
508,Stiefel::N,čizma,амагə
509,Ring::N,prsten,амацəаз
510,Band::N,vrpca,алента
511,Kamm::N,češalj,ахҳəа
512,Spiegel::N,zrcalo,асаркьа
513,Spiegel::N,ogledalo,асаркьа
514,Riemen::N,kaiš,аа
515,Riemen::N,remen,аа
516,Schnur::N,vrpca,ашаха
517,Leine::N,uzica,аҕура
518,Decke::N,ćebe,ахыза
519,Decke::N,pokrivač,ахыза
520,Kissen::N,jastuk,ахчы
521,Tuch::N,rubac,акасы
522,Tuch::N,marama,акасы
523,Handtuch::N,ručnik,ампахьшьы
524,Kraft::N,snaga,амч
525,Stärke::N,jakost,амч
526,Gesundheit::N,zdravlje,агəабзиара
527,Krankheit::N,bolest,ачымазара
528,Schmerz::N,bol,ахьаа
529,Wunde::N,rana,ахəра
530,Fieber::N,groznica,ашоура
531,Arznei::N,lijek,ахəшə
532,Brücke::N,most,ацҳа
533,Brücke::N,ćuprija,ацҳа
534,Brunnen::N,bunar,аҵыџь
535,Brunnen::N,zdenac,аҵыџь
536,Weide::N,paša,аҳəырҭа
537,Weide::N,pašnjak,аҳəырҭа
538,Pfad::N,staza,амхəасҭа
539,Weg::N,put,амҩа
540,Straße::N,drum,амҩа
541,Straße::N,cesta,амҩа
542,Dorf::N,selo,ақыҭа
543,Stadt::N,grad,ақалақь
544,Stadt::N,varoš,ақалақь
545,Brief::N,list,ашəҟəы
546,Brief::N,pismo,ашəҟəы
547,Buch::N,knjiga,ашəҟəы
548,Buchstabe::N,slovo,анбан
549,Zeitung::N,novine,агазеҭ
550,Leben::N,život,аҧсҭазаара
551,Tod::N,smrt,аҧсра
552,Grab::N,raka,анышəынҭра
553,Kirche::N,crkva,ауахəама
554,Sünde::N,grijeh,агəнаҳа
555,Gott::N,bog,анцəа
556,Arbeiter::N,radnik,аусуҩ
557,Chef::N,šef,Аиҳабы
558,Meister::N,majstor,аҟаза
559,Arzt::N,liječnik,аҳақьым
560,Lehrer::N,učitelj,арҵаҩы
561,Geld::N,novac,аҧара
562,Geschäft::N,posao,
563,Geschäft::N,trgovina,
564,Laden::N,dućan,амагазин
565,Preis::N,cijena,ахə
566,Ware::N,roba,атауар
567,Nutzen::N,korist,ақьар
568,Reichtum::N,bogatstvo,абеиара
569,Welt::N,svijet,адунеи
570,Land::N,zemlja,атəыла
571,Staat::N,država,аҳəынҭқарра
572,König::N,kralj,акрал
573,Macht::N,moć,амчра
574,Macht::N,vlast,амчра
575,Grenze::N,granica,аҳəаа
576,Krieg::N,rat,аибашьра
577,Feind::N,neprijatelj,Аҕа
578,Gewalt::N,sila,ақəымчра
579,Gewalt::N,nasilje,ақəымчра
580,Kampf::N,boj,ақəҧара
581,Kampf::N,borba,ақəҧара
582,Bogen[Waffe]::N,luk,ахыц
583,Pfeil::N,strijela,ахəымпал
584,Gewehr::N,puška,ашəақь
585,Fehler::N,pogreška,агха
586,Fehler::N,griješka,агха
587,Lüge::N,laž,амц
588,Schaden::N,šteta,аҧырхага
589,Unglück::N,nesreća,арыцҳара
590,Schuld::N,krivnja,ахара
591,Alter::N,dob,ақəра
592,Schluss::N,kraj,анҵəамҭа
593,Schluss::N,konac,анҵəамҭа
594,Zeit::N,doba,аамта
595,Zeit::N,vrijeme,аамта
596,Tag::N,dan,амш
597,Morgen::N,jutro,ашара
598,Morgen::N,jutro,ашьыбжь
599,Mittag::N,podne,шьыбжьон
600,Abend::N,veče,ахəылҧаз
601,Abend::N,veče,ахəлбыҽха
602,Abend::N,večer,ахəылҧаз
603,Abend::N,večer,ахəлбыҽха
604,Nacht::N,noć,аҵх
605,Woche::N,sedmica,амчыбжь
606,Monat::N,mjesec,
607,Jahr::N,godina,
608,Frühling::N,proljeće,ааҕын
609,Sommer::N,ljeto,аҧхын
610,Herbst::N,jesen,ҭагалан
611,Herbst::N,jesen,хкаарачан
612,Winter::N,zima,аӡын
613,Januar::N,januar,ианвар
614,Januar::N,siječanj,ианвар
615,Februar::N,veljača,февраль
616,Februar::N,februar,февраль
617,März::N,mart,март
618,März::N,ožujak,март
619,April::N,april,апрель
620,April::N,travanj,апрель
621,Mai::N,maj,маи
622,Mai::N,svibanj,маи
623,Juni::N,juni,иуун
624,Juni::N,lipanj,иуун
625,Juli::N,juli,иууль
626,Juli::N,srpanj,иууль
627,August::N,august,август
628,August::N,kolovoz,август
629,September::N,rujan,сентиабр
630,September::N,septembar,сентиабр
631,Oktober::N,oktobar,октиабр
632,Oktober::N,listopad,октиабр
633,November::N,studeni,ноиабр
634,November::N,novembar,ноиабр
635,Dezember::N,prosinac,декабр
636,Montag::N,ponedjeljak,ашəахьа
637,Montag::N,ponedjeljnik,ашəахьа
638,Dienstag::N,utorak,аҩаша
639,Dienstag::N,utornik,аҩаша
640,Mittwoch::N,srijeda,ахаша
641,Donnerstag::N,četvrtak,аҧшьаша
642,Freitag::N,petak,ахəаша
643,Samstag::N,subota,асабша
644,Sonntag::N,nedjelja,амҽыша
645,groß::A,velik,аду
646,klein::A,mali,амаҷ
647,klein::A,malen,амаҷ
648,lang::A,dug,ахəхəа
649,lang::A,dugačak,ахəхəа
650,kurz::A,kratak,акьаҿ
651,breit::A,širok,аиужь
652,breit::A,širok,аиҵых
653,schmal::A,uski,аҭшəа
654,schmal::A,uzak,аҭшəа
655,dicht::A,gust,аилач
656,dick[Gegenstand]::A,debeo,ажəпа
657,dünn::A,tanak,
658,fein::A,fin,апа
659,fein::A,fin,аҵаӷа
660,fein::A,fin,аӡа
661,fein::A,tanak,апа
662,fein::A,tanak,аҵаӷа
663,fein::A,tanak,аӡа
664,fest::A,čvrst,аҟаца
665,fest::A,čvrst,аӷəӷəаҟаца
666,flach::A,ravan,ақəаҟьа
667,flach::A,ravan,аҧаҟьа
668,flach::A,plosnat,ақəаҟьа
669,flach::A,plosnat,аҧаҟьа
670,glatt::A,gladak,аимаҩзы
671,hart::A,tvrd,акьакьа
672,weich::A,mek,атата
673,weich::A,mekan,атата
674,rund::A,okrugao,акəмпыл
675,spitz::A,oštar,аҵар
676,spitz::A,šiljast,аҵар
677,scharf::A,oštar,аҵар
678,scharf::A,bridak,аҵар
679,stumpf::A,tup,ацагə
680,schwer::A,težak,ахьанҭа
681,schön::A,krasan,аҧшӡа
682,heiß::A,vruć,ашы
683,warm::A,topao,аҧха
684,kalt::A,hladan,ахьшəашəа
685,kühl::A,hladan,ахьшəашəа
686,kühl::A,hladan,ицәыхьшәашәоу
687,frisch::A,svjež,цқьа
688,feucht::A,vlažan,ацəаак
689,nass::A,mokar,абааӡа
690,trocken::A,suh,Аба
691,trocken::A,suh,аҩа
692,voll::A,pun,азна
693,leer::A,prazan,аҭацəы
694,offen::A,otvoren,аарта
695,geschlossen::A,zatvoren,ихҩоу
696,geschlossen::A,zatvoren,иаркыу
697,sauber::A,čist,ацқьа
698,schmutzig::A,nečist,аҟьашь
699,schmutzig::A,blatan,аҟьашь
700,roh::A,sirov,
701,reif::A,zreo,Арҭ
702,reif::A,zreo,аҟала
703,reif::A,zreo,иҟалахьоу
704,lecker::A,tečan,ахаа
705,lecker::A,ukusan,ахаа
706,süß::A,sladak,азла
707,bitter::A,gorak,аша
708,sauer::A,kiseo,аҵəҵəы
709,hell::A,vedar,алаша
710,hell::A,svijetao,алаша
711,dunkel::A,taman,алашьца
712,schwarz::A,crn,аиқуаҵәа
713,weiß::A,bio,ашкəакəа
714,weiß::A,bijel,ашкəакəа
715,rot::A,crven,аҟаҧшь
716,gelb::A,žut,аҩеижь
717,blau::A,plav,аҽҵәа
718,blau::A,modar,аҽҵәа
719,grün::A,zelen,ашьацҧшҭəала
720,grün::A,zelen,аеҵəа
721,grau::A,siv,ацəыш
722,bunt::A,šaren,Аилыҕраа
723,bunt::A,šaren,аҕраҷкəын
724,billig::A,jeftin,амариа
725,teuer::A,skup,амҩан
726,wertvoll::A,vrijedan,кыр иаҕсоу
727,wertvoll::A,vrijedan,акыр иаҕсоу
728,wertvoll::A,dragocjen,кыр иаҕсоу
729,wertvoll::A,dragocjen,акыр иаҕсоу
730,blind::A,slijep,алашə
731,taub::A,gluh,адагəа
732,kräftig::A,snažan,аӷəӷəа
733,stark::A,jak,абаҟа
734,stark::A,snažan,абаҟа
735,schwach::A,slab,акəада
736,fett::A,pretio,аҧсыла
737,schlank::A,vitak,акала
738,schlank::A,vitak,акьалантар
739,schlank::A,vitak,аиҿартə
740,hübsch::A,zgodan,аҧшӡа
741,böse::A,zao,абааҧсы
742,böse::A,opak,абааҧсы
743,dumm::A,glup,агаӡа
744,faul::A,lijen,аашьа
