,Concept_ID,kl,he
106,Abhang::N,sivinganeq,מדרון
107,Abhang::N,sivinganeq,שפוע
108,Abhang::N,sivingajaaq,מדרון
109,Abhang::N,sivingajaaq,שפוע
110,Abhang::N,kussangajaaq,מדרון
111,Abhang::N,kussangajaaq,שפוע
112,Bach::N,kuunnguaq,נחל
113,Fluss::N,kuuk,נהר
114,Ufer::N,sissap sinaa,גדה
115,Küste::N,sineriak,חוף
116,Meer::N,imaq,ים
117,Bucht::N,ikeq,מפרץ
118,Bucht::N,kangerluk,מפרץ
119,Bucht::N,kangerliumaneq,מפרץ
120,Insel::N,qeqertaq,אי
121,Blume::N,naasoq,פרח
122,Gras::N,ivigaq,דשא
123,Wurzel::N,niulutaq,שרש
124,Baum::N,orpik,עץ
125,Stamm::N,kanaartaq,גזע
126,Rinde::N,ameraq,קלפת עץ
127,Ast::N,avalequt,ענף
128,Zweig::N,avalequt,ענף
129,Blatt::N,pilutaq,עלה
130,Birke::N,patitsit,שדר
131,Weide[Baum]::N,palleq,ערבה
132,Tanne::N,orsuerneq,אשוח
133,Horn::N,nassuk,קרן
134,Feder::N,suluk,נוצה
135,Fell::N,ameq,פרוה
136,Flügel::N,suluk,כנף
137,Flügel::N,isaroq,כנף
138,Klaue::N,kukik,טלף
139,Kralle::N,kukik,טפר
140,Schwanz::N,pamioq,זנב
141,Schwanz::N,paperuusaq,זנב
142,Ei::N,mannik,ביצה
143,Nest::N,ullut,קן
144,Bau::N,ini,מחלה
145,Tier::N,uumasoq,חיה
146,Herde::N,unguukkat,עדר
147,Kuh::N,ussik,פרה
148,Bulle::N,angukulak,פר
149,Bulle::N,anguteralak,פר
150,Bulle::N,angutikulooq,פר
151,Schaf::N,sava,כבשה
152,Schwein::N,puuluki,חזיר
153,Hund::N,qimmeq,כלב
154,Katze::N,puisaaq,חתול
155,Bär::N,allaq,דב
156,Eichhörnchen::N,sissinnguaq,סנאי
157,Fuchs::N,terianniaq,שועל
158,Hase::N,ukaleq,ארנב
159,Maus::N,teriannguaq,עכבר
160,Wolf::N,amaroq,זאב
161,Vogel::N,timmiaq,צפור
162,Huhn::N,kukkukooq,תרנגלת
163,Huhn::N,marloraaqaaq,תרנגלת
164,Hahn::N,kiasiusaq,תרנגול
165,Gans::N,nerleq,אוז
166,Adler::N,nattoralik,עיט
167,Eule::N,uppik,ינשוף
168,Kranich::N,qorlorfik,עגור
169,Kranich::N,qorlorfik,כרוכיה
170,Krähe::N,tuluatsiaq,עורב
171,Kuckuck::N,kukkooq,קוקיה
172,Schwan::N,qussuk,ברבור
173,Fisch::N,aalisagaq,דג
174,Schlange[Tier]::N,pulateriarsuk,נחש
175,Schlange[Tier]::N,pulateriaarsuk,נחש
176,Spinne::N,aasiaq,עכביש
177,Spinne::N,nissavaarsuk,עכביש
178,Ameise::N,uniaaluk,נמלה
179,Laus::N,kumak,כנה
180,Mücke::N,ippernaq,יתוש
181,Fliege::N,ippernaq,זבוב
182,Schmetterling::N,paluaq,פרפר
183,Schmetterling::N,pakkaluaq,פרפר
184,Schmetterling::N,utsuppaluaq,פרפר
185,Schmetterling::N,taqaleqisaaq,פרפר
186,Beere::N,paarmaq,ענבה
187,Beere::N,paarngaq,ענבה
188,Apfel::N,iipili,תפוח
189,Pilz::N,anngiusaq,פטריה
190,Zwiebel::N,uanitsoq,בצל
191,Saat::N,naatsiiassaq,זרעים
192,Korn::N,maannineq,גרעין
193,Schale::N,niutsivik,קלפה
194,Schale::N,ilulissaq qaartussaq,קלפה
195,Grube::N,itersaq,בור
196,Grube::N,itersaq,שוחה
197,Falle::N,pualavoq,מלכדת
198,Schlinge::N,orseq,לולאה
199,Schlinge::N,norloq,לולאה
200,Spur::N,tumaa,עקבה
201,Asche::N,arsat,אפר
202,Dreck::N,minguk,זהמה
203,Eisen::N,savimineq,ברזל
204,Eisen::N,saffiugassaq,ברזל
205,Gold::N,kuulti,זהב
206,Silber::N,siilviuvoq,כסף
207,Kohle::N,aamarsuit aamaruutissat,פחם
208,Glas::N,igalaaq,זכוכית
209,Glas::N,imertarfik,זכוכית
210,Glas::N,igalaamineq,זכוכית
211,Lehm::N,marraq,חרסית
212,Sand::N,sioqqat,חול
213,Mensch::N,inuk,אדם
214,Mensch::N,silamiu,אדם
215,Mann::N,angut,איש
216,Mann::N,angut,גבר
217,Frau::N,arnaq,אשה
218,Frau::N,arnaq,גברת
219,Kind::N,meeraq,ילד
220,Junge::N,nukappiaraq,ילד
221,Mädchen::N,arnannguaq,נערה
222,Familie::N,ilaqutakka,משפחה
223,Familie::N,ilaqutariit,משפחה
224,Großvater::N,aatak,סבא
225,Großmutter::N,aanaq,סבתא
226,Eltern::N,angajoqqaat,הורים
227,Vater::N,ataata,אב
228,Vater::N,ataataq,אב
229,Mutter::N,anaana,אם
230,Sohn::N,erneq,בן
231,Tochter::N,panik,בת
232,Bruder::N,ani,אח
233,Bruder::N,aqqaluk,אח
234,Bruder::N,qatanngut,אח
235,Schwester::N,naja,אחות
236,Schwester::N,aleqa,אחות
237,Schwester::N,qatanngut,אחות
238,Onkel::N,akkak,דוד
239,Tante::N,aja,דודה
240,Tante::N,ajak,דודה
241,Tante::N,atsak,דודה
242,Ehemann::N,ui,איש
243,Ehemann::N,ui,בעל
244,Ehefrau::N,nuliaq,אשה
245,Freude::N,tipaatsussuseq,שמחה
246,Gelächter::N,illaq,צחוק
247,Glück::N,usornaat,אשר
248,Glück::N,usornarsuseq,אשר
249,Wunsch::N,kissaat,אחול
250,Wunsch::N,kissaat,משאלה
251,Lust::N,illigussuseq,חשק
252,Lust::N,illigussuseq,תשוקה
253,Lust::N,piummaseq,חשק
254,Lust::N,piummaseq,תשוקה
255,Geist::N,anerneq,רוח
256,Geist::N,toornaq,רוח
257,Gedanke::N,isumassaq,מחשבה
258,Gedächtnis::N,eqqaamannissuseq,זכרון
259,Verstand::N,isuma,שכל
260,Verstand::N,sianissut,שכל
261,Verstand::N,misigissut,שכל
262,Verstand::N,sianissuseq,שכל
263,Verstand::N,silaqassuseq,שכל
264,Sinn::N,isuma,מובן
265,Sinn::N,isuma,משמעות
266,Grund::N,patsit,סבה
267,Wahrheit::N,sallusuissut,אמת
268,Märchen::N,oqalualaarut,אגדה
269,Märchen::N,oqaluasaaq,אגדה
270,Erzählung::N,oqaluttuaq,ספור
271,Nachricht::N,oqaassut,ידיעה
272,Nachricht::N,oqqersuut,ידיעה
273,Neuigkeit::N,tusarnartaq,חדשה
274,Name::N,ateq,שם
275,Rätsel::N,nalorsitsaarut,תעלומה
276,Rede::N,oqaluuseq,נאום
277,Sprache::N,oqaatsit,לשון
278,Stimme::N,erinaq,קול
279,Stimme::N,qarluuseq,קול
280,Wort::N,oqaasii,מלה
281,Zeichen::N,nalunaaqqut,סימן
282,Ruf::N,qaaqqussut,קריאה
283,Lärm::N,perpaluk,רעש
284,Laut::N,torsukattak,הגה
285,Ton::N,erinaq,צליל
286,Lied::N,taalliaq,שיר
287,Lied::N,erinarsuut,שיר
288,Ruhe::N,qatsunganeq,שלוה
289,Leute::N,inuiak,אנשים
290,Leute::N,inuiaqatigiit,אנשים
291,Volk::N,inuiaat,עם
292,Arbeit::N,suliaq,עבודה
293,Gast::N,qaaqqusaq,אורח
294,Geschenk::N,pajugut,מתנה
295,Hilfe::N,annertoqqut,עזרה
296,Freund::N,tiliaq,חבר
297,Freund::N,tiliaq,ידיד
298,Freund::N,ikinngut,חבר
299,Freund::N,ikinngut,ידיד
300,Kamerad::N,tiliaq,רע
301,Kamerad::N,ikinngut,רע
302,Art::N,ileqquuseq,סוג
303,Stück::N,nakkaalaniku,חתיכה
304,Teil::N,tassiaasat,פרק
305,Hälfte::N,affaq,חצי
306,Kreis::N,kaajaluinneq or kaajaluitsoq,מעגל
307,Kreuz::N,sanningasulik,צלב
308,Linie::N,tittaq,קו
309,Linie::N,titarneq,קו
310,Abstand::N,aku,מרחק
311,Abstand::N,ikiaq,מרחק
312,Entfernung::N,asi,מרחק
313,Gegend::N,nuna,נוף
314,Platz::N,ini,שטח
315,Platz::N,inissaq,שטח
316,Ort::N,sumiiffik,אתר
317,Ort::N,sumiiffik,מקום
318,Seite::N,saneraq,צד
319,Mitte::N,qiteq,אמצע
320,Sache::N,pigisaq,דבר
321,Rand::N,sini,פרור
322,Rand::N,akerfineq,פרור
323,Kante::N,akerfineq,קצה
324,Ecke::N,teqeqqoq,פנה
325,Ecke::N,tikeqqoq,פנה
326,Spitze::N,inngik,קצה
327,Ende::N,isu,סוף
328,Loch::N,putu,חר
329,Winkel::N,teqeqqorissaat,פנה
330,Muster::N,ilisserut,תבנית
331,Größe::N,angissuseq,גדל
332,Länge::N,takissuseq,ארך
333,Gewicht::N,oqimaalutaq,משקל
334,Menge::N,amerlassuseq,כמות
335,Haufen::N,eqimattat,ערמה
336,Reihe::N,allunaasaq,רצף
337,Boot::N,qajaq,סירה
338,Boot::N,angallat,סירה
339,Boot::N,umiatsiaq,סירה
340,Ruder::N,iput,משוט
341,Schlitten::N,qamutit,מזחלת
342,Schlitten::N,qimusseq,מזחלת
343,Ski::N,ataarut,מגלשים
344,Last::N,nammagaq,משא
345,Schritt::N,allorneq,צעד
346,Norden::N,avannaq,צפון
347,Süden::N,qava,דרום
348,Süden::N,kujat,דרום
349,Süden::N,kujataa,דרום
350,Westen::N,kitaa,מערב
351,Osten::N,kangi,מזרח
352,Holz::N,qisuk,עץ
353,Brett::N,salliligaq,קרש
354,Platte::N,qaateq,לוח
355,Stütze::N,ajagutaq,משען
356,Stütze::N,ajaagutaq,משען
357,Stange::N,kaaviffik,מוט
358,Stock::N,ajaappissat,מקל
359,Stab::N,ajaappissat,מוט
360,Rohr::N,sullulik,צנור
361,Haus::N,illu,בית
362,Ofen::N,kissarsuut,תנור
363,Fußboden::N,nateq,רצפה
364,Tisch::N,allattarfik,שלחן
365,Stuhl::N,issiavik,כסא
366,Stuhl::N,issiaffik,כסא
367,Wiege::N,uaasoq,ערש
368,Bett::N,nallavik,מטה
369,Regal::N,ilisivik,מדף
370,Kiste::N,sakissat,תבה
371,Kiste::N,sakissat,ארגז
372,Kiste::N,illerfiusaq,תבה
373,Kiste::N,illerfiusaq,ארגז
374,Fenster::N,aki,חלון
375,Fenster::N,igalaaq,חלון
376,Tür::N,matu,דלת
377,Tor::N,isaaffik,שער
378,Zaun::N,saputit,גדר
379,Dach::N,qaliaq,גג
380,Leiter::N,tummeqqat,סלם
381,Leiter::N,majuartarfiit,סלם
382,Besen::N,saligutit,מטאטא
383,Spaten::N,nivaataq,את
384,Schaufel::N,nivaataq,את
385,Gabel::N,qilluaq,מזלג
386,Gabel::N,ajassaatit,מזלג
387,Löffel::N,alussaat,כף
388,Messer::N,savik,סכין
389,Nagel::N,kukik,מסמר
390,Netz::N,anguffaseq,רשת
391,Haken::N,nissik,וו
392,Haken::N,nissik,קרס
393,Haken::N,qarsorsaq,וו
394,Haken::N,qarsorsaq,קרס
395,Haken::N,qarsorsartoq,וו
396,Haken::N,qarsorsartoq,קרס
397,Griff::N,ipi,ידית
398,Schloss::N,illussaarsuaq,מנעול
399,Bild::N,assiliaq,תמונה
400,Figur::N,kisitsit,פסל
401,Puppe::N,inuusaq,בבה
402,Bündel::N,qilertaq,צרור
403,Tasche::N,pooqattaq,שקית
404,Deckel::N,matu,מכסה
405,Geschirr::N,anut,כלים
406,Tasse::N,tiitorfik,ספל
407,Tasse::N,tiitorfiup ilorlia,ספל
408,Topf::N,qoqqoq,סיר
409,Kessel::N,uunnaavik,קנקן
410,Essen::N,igaaq,אכל
411,Essen::N,igaaq,ארוחה
412,Nahrung::N,neqissaq,הזנה
413,Nahrung::N,neqissaq,תזונה
414,Speise::N,nerisassat,מאכל
415,Speise::N,nerisassat,ארוחה
416,Fleisch::N,neqi,בשר
417,Getreide::N,maannineq,דגן
418,Brot::N,iffit,לחם
419,Brot::N,iffiaq,לחם
420,Scheibe::N,igalaassiaq,עגול
421,Scheibe::N,igalaassiaq,פרוסה
422,Fett::N,tarnutissaq,שמן
423,Fett::N,tarnutissiaq,שמן
424,Butter::N,punneq,חמאה
425,Öl::N,uulia,שמן
426,Salz::N,taratsut,מלח
427,Suppe::N,qajoq,מרק
428,Honig::N,tungusunnitsuut,דבש
429,Milch::N,immuk,חלב
430,Tee::N,tii,תה
431,Tee::N,teeq,תה
432,Wolle::N,nuersagassiaq,צמר
433,Stoff::N,milliaq,בד
434,Stoff::N,milliaq,אריג
435,Stoff::N,qarlissiaq,בד
436,Stoff::N,qarlissiaq,אריג
437,Nadel::N,meqqut,מחט
438,Faden::N,ujalussiaq,חוט
439,Knopf::N,attat,כפתור
440,Knoten::N,akeroq,קשר
441,Knoten::N,qilerneq,קשר
442,Farbe::N,qalipaat,צבע
443,Kleidung::N,atisat,בגדים
444,Kleidung::N,annoraaq,בגדים
445,Hemd::N,ilupaaq,חלצה
446,Kragen::N,qungasiinnaq,צוארון
447,Ärmel::N,aaq,שרוול
448,Hose::N,qarliit,מכנסים
449,Gürtel::N,qiterut,חגורה
450,Gürtel::N,unngersaq,חגורה
451,Mütze::N,nasaq,כובע
452,Schuh::N,skuu,נעל
453,Schuh::N,ikernuk,נעל
454,Schuh::N,ateraasaq,נעל
455,Stiefel::N,kamik,מגף
456,Ring::N,assammiu,טבעת
457,Band::N,qilerutissiaq,סרט
458,Kamm::N,illaagutit,מסרק
459,Kamm::N,illaajaatit pl.,מסרק
460,Spiegel::N,tarrarsuut,מראה
461,Riemen::N,allunaaq,רצועה
462,Schnur::N,kujaaq,חבל
463,Schnur::N,allunaasaq,חבל
464,Leine::N,aleq,מושכות
465,Decke::N,qipik,שמיכה
466,Kissen::N,akit,כרית
467,Tuch::N,qarlissiaq,צעיף
468,Handtuch::N,allarut,מגבת
469,Handtuch::N,allarterut,מגבת
470,Kraft::N,pissak,כוח
471,Stärke::N,qerattarsaat,און
472,Gesundheit::N,peqqisusseq,בריאות
473,Krankheit::N,nappaat,מחלה
474,Schmerz::N,anniaat,כאב
475,Wunde::N,iki,פציעה
476,Fieber::N,nappaat qanimanartoq,חם
477,Arznei::N,imigassaq,תרופה
478,Brücke::N,ikaartarfik,גשר
479,Brunnen::N,tissaluttuliaq,באר
480,Weide::N,masarsuk,אחו
481,Weide::N,masarsuk,מרעה
482,Pfad::N,aqqut,שביל
483,Pfad::N,aqqut,מדרכה
484,Weg::N,aggerfik,דרך
485,Straße::N,aqqusineq,כביש
486,Dorf::N,nunaqarfik,כפר
487,Stadt::N,illorpaat,עיר
488,Stadt::N,illorpalik,עיר
489,Brief::N,allagarsiaq,מכתב
490,Buch::N,atuakkat,ספר
491,Buch::N,mappersagaq,ספר
492,Buchstabe::N,naqinneq,אות
493,Zeitung::N,aviisi,עתון
494,Leben::N,inuussuseq,חיים
495,Tod::N,toqu,מות
496,Tod::N,toquneq,מות
497,Grab::N,iliveq,קבר
498,Grab::N,illissat,קבר
499,Kirche::N,oqaluffik,כנסיה
500,Sünde::N,ajorti,חטא
501,Arbeiter::N,sulisoq,פועל
502,Chef::N,ittoqut,ראש
503,Chef::N,ittoqut,מנהל
504,Meister::N,naalagaq,ממחה
505,Arzt::N,katsorsaasoq,רופא
506,Lehrer::N,ilinniartitsisoq,מורה
507,Geld::N,aningaasat,כסף
508,Geschäft::N,niuertarfik,עסקה
509,Laden::N,niuertarfik,חנות
510,Preis::N,aki,מחיר
511,Ware::N,qaliata pii,סחורה
512,Ware::N,nioqqutissaq,סחורה
513,Nutzen::N,iluaqut,תועלת
514,Welt::N,nunarsuaq,עולם
515,Land::N,nuna,ארץ
516,König::N,kunngi,מלך
517,Macht::N,pissaassuseq,כוח
518,Grenze::N,killik,גבול
519,Krieg::N,sorsunneq,מלחמה
520,Feind::N,akeraq,אויב
521,Feind::N,akerartorti,אויב
522,Feind::N,qinngarsuisoq,אויב
523,Kampf::N,sorsunneq,קרב
524,Kampf::N,sorsunneq,לחימה
525,Pfeil::N,qalugiusaq,חץ
526,Gewehr::N,aallaat,רובה
527,Fehler::N,kukkuneq,טעות
528,Fehler::N,paarlaappaa,טעות
529,Unglück::N,perluut,מזל רע
530,Schuld::N,akiitsugaq,אשמה
531,Schuld::N,akiligassaq,אשמה
532,Alter::N,utoqqaq,גיל
533,Schluss::N,isu,סיום
534,Zeit::N,ulloq,זמן
535,Zeit::N,akuttoqatigiinneq,זמן
536,Tag::N,ulloq,יום
537,Morgen::N,ullaaq,בקר
538,Mittag::N,ulloqeqqa,צהרים
539,Abend::N,unnuk,ערב
540,Nacht::N,unnuaq,לילה
541,Woche::N,sapaatip akunnera,שבוע
542,Monat::N,qaammat,חדש
543,Jahr::N,ukioq,שנה
544,Frühling::N,upernaaq,אביב
545,Sommer::N,aasaq,קיץ
546,Herbst::N,ukiaq,סתו
547,Winter::N,ukioq,חרף
548,Januar::N,siulleeq,ינואר
549,Januar::N,qaammaliaq,ינואר
550,Februar::N,aarlaat,פברואר
551,März::N,marsi,מרץ
552,März::N,martsi,מרץ
553,Mai::N,maaji,מאי
554,Juni::N,juuni,יוני
555,Juli::N,juuli,יולי
556,August::N,aggusti,אוגוסט
557,September::N,septembari,ספטמבר
558,Oktober::N,oktobari,אוקטובר
559,November::N,novembari,נובמבר
560,Dezember::N,detsembari,דצמבר
561,Montag::N,ataasinngortoq,יום שני
562,Dienstag::N,marlunngorneq,יום שלישי
563,Mittwoch::N,pingasunngorneq,יום רביעי
564,Donnerstag::N,sisamanngorneq,יום חמישי
565,Freitag::N,tallimanngorneq,יום ששי
566,Samstag::N,arfininngorneq,יום שבת
567,Sonntag::N,sapaat,יום ראשון
568,Sonntag::N,sapaati,יום ראשון
569,groß::A,angivoq,גדול
570,klein::A,mikivoq,קטן
571,lang::A,takisooq,ארך
572,kurz::A,naatsoq,קצר
573,breit::A,silippoq,רחב
574,schmal::A,amitsoq,צר
575,dicht::A,torsusooq,צפוף
576,dick[Gegenstand]::A,issuvoq,עבה
577,dick[Gegenstand]::A,issusooq,עבה
578,dünn::A,amitsoq,דק
579,fein::A,mamarpoq,מעדן
580,fest::A,tangeqarpoq,מוצק
581,flach::A,nalimmappoq,שטוח
582,glatt::A,quasak,חלק
583,hart::A,mattusooq,קשיח
584,hart::A,manngerpoq,קשיח
585,hart::A,titeqquluppoq,קשיח
586,weich::A,nerumaarpoq,רך
587,rund::A,ammallorippoq,עגל
588,spitz::A,qummukujooq,חד
589,scharf::A,ipippoq,חד
590,stumpf::A,anngerpoq,קהה
591,schwer::A,oqimaappoq,כבד
592,schön::A,kusanarpoq,יפה
593,heiß::A,kiappoq,חם
594,warm::A,oqorpoq,חם
595,kalt::A,issippoq,קר
596,kühl::A,pueqqortippoq,צונן
597,feucht::A,isugutavoq,לח
598,feucht::A,qaasernarpoq,לח
599,nass::A,imerorpoq,רטוב
600,trocken::A,panerpoq,יבש
601,voll::A,ulikkaarpoq,מלא
602,leer::A,imaattuarpoq,ריק
603,offen::A,ammavoq,פתוח
604,geschlossen::A,matuvoq,סגור
605,sauber::A,eqqippoq,נקי
606,sauber::A,sukuluippoq,נקי
607,sauber::A,ipeqanngilaq,נקי
608,schmutzig::A,tapappoq,מלכלך
609,schmutzig::A,minguppoq,מלכלך
610,roh::A,aapavoq,חי
611,reif::A,qaarulerpoq,בשל
612,süß::A,tungusunnippoq,מתוק
613,bitter::A,qasilippoq,מר
614,hell::A,qaamavoq,בהיר
615,dunkel::A,qernerpoq,עמום
616,schwarz::A,qernerpoq,שחר
617,weiß::A,qaqorpoq,לבן
618,rot::A,aappaluppoq,אדם
619,gelb::A,sungaarpoq,צהב
620,blau::A,tungujorpoq,כחל
621,grün::A,qorsooqqippoq,ירק
622,grau::A,qaserpoq,אפר
623,billig::A,akikippoq,זול
624,wertvoll::A,erlinnarpoq,יקר ערך
625,blind::A,tappiippoq,עור
626,blind::A,isigisaqanngilaq,עור
627,taub::A,tusilarpoq,חרש
628,kräftig::A,pissaq,חסן
629,kräftig::A,pissarsuaq,חסן
630,stark::A,sanngivoq,חזק
631,schwach::A,nakuippoq,חלש
632,fett::A,pualavoq,שמן
633,schlank::A,tuappoq,רזה
634,hübsch::A,aatsialaq,יפה תאר
635,böse::A,ajorpoq,רשע
636,dumm::A,taqajak,טפש
637,dumm::A,sikkilluppoq,טפש
638,dumm::A,qaatusimasaqanngilaq,טפש
639,faul::A,eqiasuppoq,עצלן
640,faul::A,eqiattortuvoq,עצלן
641,fleißig::A,eqiasuippoq,חרוץ
642,geizig::A,iasilaarpoq,קמצן
643,geizig::A,tukkuippoq,קמצן
644,klug::A,mallak,נבון
645,klug::A,mallak,פקח
646,klug::A,ittanneq,נבון
647,klug::A,ittanneq,פקח
648,klug::A,kutaappoq,נבון
649,klug::A,kutaappoq,פקח
650,klug::A,kuttaappoq,נבון
651,klug::A,kuttaappoq,פקח
652,klug::A,qarasagippoq,נבון
653,klug::A,qarasagippoq,פקח
654,lieb::A,akisooq,יקר
655,lieb::A,akisooq,אהוב
656,lustig::A,piikulavoq,עליז
657,sanft::A,isumagippoq,עדין
658,hungrig::A,kaappoq,רעב
659,hungrig::A,perlilerpoq,רעב
660,krank::A,napparsimavoq,חולה
661,traurig::A,aliasuppoq,עצוב
662,lebendig::A,uumavoq,חי
663,gut::A,ajunngilaq,טוב
664,schlecht::A,sualuppoq,גרוע
665,richtig::A,iluarpoq,נכון
666,schlimm::A,amiilaarnarpoq,רע
667,wahr::A,ilumoorpoq,אמתי
668,alt::A,pisoqaq,ישן
669,neu::A,nutaavoq,חדש
670,alt[Lebewesen]::A,utoqqaq,זקן
671,jung::A,inuusuppoq,צעיר
672,jung::A,kingulliarsuk,צעיר
673,arm::A,piillasoq,עני
674,arm::A,piitsuuvoq,עני
675,reich::A,pisuuvoq,עשיר
676,berühmt::A,tusaamasaq,מפרסם
677,fremd::A,ajasoornarpoq,זר
678,verschieden::A,allatut,שונה
679,verschieden::A,tamalaat,שונה
680,nah::A,qanippoq,קרוב
681,fern::A,ungasippoq,רחוק
682,linker::A,saamerleq,שמאלי
683,rechter::A,innarluissut,ימין
684,erster::A,siulleq,ראשון
685,zweiter::A,qataatsup tullia,שני
686,dritter::A,pingajorarterut,שלישי
687,letzter::A,kingulleq,אחרון
688,allein::ADV,kisimiippoq,לבד
689,auf einmal::ADV,tassanngaannaq,בו-זמנית
690,zusammen::ADV,attaasa,ביחד
691,zusammen::ADV,attarmik,ביחד
692,lange::ADV,akuni,הרבה זמן
693,plötzlich::ADV,tassanngaannaq,לפתע
694,plötzlich::ADV,tassanngaannaq,פתאום
695,sofort::ADV,erniinnaq,מיד
696,später::ADV,kingorna,לאחר זמן
697,später::ADV,kingorna,יותר מאחר
698,jetzt::ADV,maanna,עכשיו
699,jetzt::ADV,massakkut,עכשיו
700,heute::ADV,ullumi,היום
701,morgen::ADV,aqagu,מחר
702,bald::ADV,erniinnaq,בקרוב
703,dann::ADV,taava,אחר-כך
704,gestern::ADV,ippassaq,אתמול
705,einst::ADV,ataatsimik,לפנים
706,einst::ADV,ilaanni,לפנים
707,damals::ADV,taamani,אז
708,damals::ADV,taamanikkut,אז
709,damals::ADV,taassumuunakkut,אז
710,danach::ADV,taava,אחר-כך
711,vorher::ADV,siornagut,לפני זה
712,einmal::ADV,ilaanni,פעם
713,einmal::ADV,ataatsimik,פעם
714,manchmal::ADV,qaqutigu,לפעמים
715,manchmal::ADV,qaqutigut,לפעמים
716,oft::ADV,akulikitsumik,לעתים קרובות
717,immer::ADV,tamatigut,תמיד
718,hier::ADV,maani,כאן
719,hierhin::ADV,maani,פה
720,dorthin::ADV,ikuuna,שם
721,geradeaus::ADV,narlumut,ישר
722,vorwärts::ADV,pilangavoc,קדימה
723,rückwärts::ADV,kingumut,לאחור
724,rückwärts::ADV,tunumut or tunummut,לאחור
725,zurück::ADV,kingumut,בחזרה
726,zurück::ADV,kingumut,אחורנית
727,zurück::ADV,tunumut or tunummut,בחזרה
728,zurück::ADV,tunumut or tunummut,אחורנית
