,Concept_ID,hu,no
401,Regal::N,állvány,hylle
402,Kiste::N,láda,kasse
403,Fenster::N,ablak,vindu
404,Tür::N,ajtó,dør
405,Tor::N,kapu,port
406,Zaun::N,kerítés,gjerde
407,Dach::N,tető,tak
408,Leiter::N,létra,stige
409,Besen::N,seprű,kost
410,Spaten::N,ásó,spade
411,Schaufel::N,lapát,skuffe
412,Gabel::N,villa,gaffel
413,Löffel::N,kanál,skje
414,Messer::N,kés,kniv
415,Nagel::N,szeg,spiker
416,Netz::N,háló,nett
417,Haken::N,kampó,krok
418,Griff::N,nyél,tak
419,Griff::N,nyél,håndtak
420,Griff::N,fogantyú,tak
421,Griff::N,fogantyú,håndtak
422,Schloss::N,zár,lås
423,Bild::N,kép,bilde
424,Figur::N,alak,figur
425,Puppe::N,bábu,dukke
426,Beutel::N,zacskó,pose
427,Bündel::N,köteg,bylt
428,Tasche::N,táska,veske
429,Eimer::N,vödör,bøtte
430,Deckel::N,fedő,lokk
431,Deckel::N,fedél,lokk
432,Geschirr::N,edény,kjøkkentøy
433,Sack::N,zsák,sekk
434,Tasse::N,csésze,kopp
435,Topf::N,fazék,gryte
436,Kessel::N,üst,kjele
437,Kessel::N,bogrács,kjele
438,Essen::N,evés,mål
439,Essen::N,étkezés,mål
440,Nahrung::N,ennivaló,mat
441,Nahrung::N,ennivaló,næring
442,Speise::N,étel,matrett
443,Fleisch::N,hús,kjøtt
444,Getreide::N,gabona,korn
445,Brei::N,pép,grøt
446,Brei::N,kása,grøt
447,Brot::N,kenyér,brød
448,Scheibe::N,szelet,skive
449,Fett::N,háj,fett
450,Fett::N,zsír,fett
451,Butter::N,vaj,smør
452,Öl::N,olaj,olje
453,Salz::N,só,salt
454,Suppe::N,leves,suppe
455,Honig::N,méz,honning
456,Milch::N,tej,melk
457,Tee::N,tea,te
458,Leder::N,bőr,lær
459,Leder::N,bőr,skinn
460,Wolle::N,gyapjú,ull
461,Stoff::N,szövet,tøy
462,Stoff::N,szövet,stoff
463,Nadel::N,tű,nål
464,Faden::N,fonál,tråd
465,Knopf::N,gomb,knapp
466,Knoten::N,csomó,knute
467,Farbe::N,szín,farge
468,Farbe::N,festék,farge
469,Kleidung::N,ruha,påkledning
470,Kleidung::N,ruházat,påkledning
471,Hemd::N,ing,skjorte
472,Kragen::N,gallér,krage
473,Ärmel::N,ujj,erme
474,Hose::N,gatya,bukse
475,Hose::N,nadrág,bukse
476,Gürtel::N,öv,belte
477,Mütze::N,sapka,lue
478,Schuh::N,cipő,sko
479,Stiefel::N,csizma,støvel
480,Ring::N,gyűrű,ring
481,Band::N,szalag,band
482,Kamm::N,fésű,kam
483,Spiegel::N,tükör,speil
484,Riemen::N,szíj,rem
485,Schnur::N,zsinór,snor
486,Leine::N,póráz,line
487,Decke::N,takaró,teppe
488,Kissen::N,párna,pute
489,Tuch::N,kendő,tøy
490,Handtuch::N,törülköző,håndkle
491,Kraft::N,erő,kraft
492,Stärke::N,erő,styrke
493,Stärke::N,erősség,styrke
494,Gesundheit::N,egészség,helse
495,Gesundheit::N,egészség,sunnhet
496,Krankheit::N,kór,syke
497,Krankheit::N,kór,sykdom
498,Krankheit::N,betegség,syke
499,Krankheit::N,betegség,sykdom
500,Schmerz::N,fájdalom,smerte
501,Wunde::N,seb,sår
502,Fieber::N,láz,feber
503,Arznei::N,orvosság,medisin
504,Arznei::N,orvosság,legemiddel
505,Arznei::N,gyógyszer,medisin
506,Arznei::N,gyógyszer,legemiddel
507,Brücke::N,híd,bro
508,Brunnen::N,kút,brønn
509,Weide::N,legelő,beite
510,Pfad::N,ösvény,sti
511,Weg::N,út,vei
512,Straße::N,út,gate
513,Dorf::N,falu,landsby
514,Stadt::N,város,by
515,Brief::N,levél,brev
516,Buch::N,könyv,bok
517,Buchstabe::N,betű,bokstav
518,Zeitung::N,újság,avis
519,Zeitung::N,hírlap,avis
520,Leben::N,élet,liv
521,Tod::N,halál,død
522,Grab::N,sír,grav
523,Kirche::N,templom,kirke
524,Sünde::N,bűn,synd
525,Sünde::N,vétek,synd
526,Gott::N,isten,gud
527,Arbeiter::N,munkás,arbeider
528,Chef::N,főnök,sjef
529,Meister::N,mester,mester
530,Arzt::N,orvos,lege
531,Lehrer::N,tanár,lærer
532,Lehrer::N,tanító,lærer
533,Geld::N,pénz,penger
534,Geschäft::N,üzlet,forretning
535,Laden::N,bolt,butikk
536,Preis::N,ár,pris
537,Ware::N,áru,vare
538,Nutzen::N,haszon,nytte
539,Reichtum::N,gazdagság,rikdom
540,Welt::N,világ,verden
541,Land::N,ország,land
542,Staat::N,állam,stat
543,König::N,király,konge
544,Macht::N,hatalom,makt
545,Grenze::N,határ,grense
546,Krieg::N,háború,krig
547,Feind::N,ellenség,fiende
548,Gewalt::N,erőszak,vold
549,Kampf::N,harc,kamp
550,Bogen[Waffe]::N,íj,bue
551,Pfeil::N,nyíl,pil
552,Gewehr::N,puska,gevær
553,Gewehr::N,fegyver,gevær
554,Fehler::N,hiba,feil
555,Lüge::N,hazugság,løgn
556,Schaden::N,kár,skade
557,Unglück::N,csapás,uhell
558,Unglück::N,balszerencse,uhell
559,Schuld::N,bűn,skyld
560,Alter::N,kor,alder
561,Schluss::N,vég,slutt
562,Schluss::N,befejezés,slutt
563,Zeit::N,idő,tid
564,Tag::N,nap,dag
565,Morgen::N,reggel,morgen
566,Mittag::N,dél,middag
567,Abend::N,este,aften
568,Nacht::N,éj,natt
569,Nacht::N,éjszaka,natt
570,Woche::N,hét,uke
571,Monat::N,hó,måned
572,Monat::N,hónap,måned
573,Jahr::N,év,år
574,Frühling::N,tavasz,vår
575,Sommer::N,nyár,sommer
576,Herbst::N,ősz,høst
577,Winter::N,tél,vinter
578,Januar::N,január,januar
579,Februar::N,február,februar
580,März::N,március,mars
581,April::N,április,april
582,Mai::N,május,mai
583,Juni::N,június,juni
584,Juli::N,július,juli
585,August::N,augusztus,august
586,September::N,szeptember,september
587,Oktober::N,október,oktober
588,November::N,november,november
589,Dezember::N,december,desember
590,Montag::N,hétfő,mandag
591,Dienstag::N,kedd,tirsdag
592,Mittwoch::N,szerda,onsdag
593,Donnerstag::N,csütörtök,torsdag
594,Freitag::N,péntek,fredag
595,Samstag::N,szombat,lørdag
596,Sonntag::N,vasárnap,søndag
597,groß::A,nagy,stor
598,klein::A,pici,liten
599,klein::A,kicsi,liten
600,lang::A,hosszú,lang
601,kurz::A,rövid,kort
602,breit::A,széles,bred
603,schmal::A,keskeny,smal
604,dicht::A,sűrű,tett
605,dick[Gegenstand]::A,vastag,tykk
606,dünn::A,vékony,tynn
607,fein::A,vékony,fin
608,fest::A,szilárd,fast
609,flach::A,sík,flat
610,flach::A,lapos,flat
611,glatt::A,sima,glatt
612,hart::A,kemény,hard
613,weich::A,puha,myk
614,weich::A,puha,bløt
615,rund::A,kerek,rund
616,spitz::A,hegyes,spiss
617,scharf::A,éles,kvass
618,stumpf::A,tompa,stubb
619,stumpf::A,életlen,stubb
620,schwer::A,nehéz,tung
621,schwer::A,súlyos,tung
622,schön::A,szép,pen
623,schön::A,szép,vakker
624,heiß::A,forró,het
625,warm::A,meleg,varm
626,kalt::A,hideg,kald
627,kühl::A,hűs,kjølig
628,kühl::A,hűvös,kjølig
629,frisch::A,üde,fersk
630,frisch::A,friss,fersk
631,feucht::A,nedves,fuktig
632,nass::A,vizes,våt
633,trocken::A,száraz,tørr
634,voll::A,telt,full
635,leer::A,üres,tom
636,offen::A,nyílt,åpen
637,offen::A,nyitott,åpen
638,geschlossen::A,zárt,lukket
639,geschlossen::A,csukott,lukket
640,sauber::A,tiszta,ren
641,schmutzig::A,piszkos,skitten
642,schmutzig::A,szennyes,skitten
643,roh::A,nyers,rå
644,reif::A,érett,moden
645,lecker::A,finom,lekker
646,süß::A,édes,søt
647,bitter::A,keserű,besk
648,bitter::A,keserű,bitter
649,sauer::A,savanyú,sur
650,hell::A,világos,lys
651,dunkel::A,sötét,mørk
652,schwarz::A,fekete,svart
653,weiß::A,fehér,hvit
654,rot::A,vörös,rød
655,gelb::A,sárga,gul
656,blau::A,kék,blå
657,grün::A,zöld,grønn
658,grau::A,ősz,grå
659,grau::A,szürke,grå
660,bunt::A,tarka,broket
661,bunt::A,színes,broket
662,billig::A,olcsó,billig
663,teuer::A,drága,dyr
664,wertvoll::A,értékes,verdifull
665,blind::A,vak,blind
666,taub::A,süket,døv
667,kräftig::A,erős,kraftig
668,stark::A,erős,sterk
669,schwach::A,gyenge,svak
670,schwach::A,erőtlen,svak
671,fett::A,hájas,fet
672,schlank::A,karcsú,slank
673,hübsch::A,csinos,pen
674,böse::A,rossz,slem
675,böse::A,gonosz,slem
676,dumm::A,buta,dum
677,dumm::A,ostoba,dum
678,faul::A,lusta,lat
679,faul::A,lusta,doven
680,fleißig::A,szorgalmas,flittig
681,geizig::A,fukar,gjerrig
682,geizig::A,fösvény,gjerrig
683,klug::A,okos,klok
684,klug::A,eszes,klok
685,geschickt::A,ügyes,hendig
686,geschickt::A,ügyes,skikket
687,lieb::A,drága,kjær
688,lieb::A,drága,snill
689,lieb::A,kedves,kjær
690,lieb::A,kedves,snill
691,lustig::A,víg,morsom
692,lustig::A,vidám,morsom
693,sanft::A,enyhe,blid
694,hungrig::A,éhes,sulten
695,krank::A,beteg,syk
696,nackt::A,csupasz,naken
697,nackt::A,meztelen,naken
698,traurig::A,bús,sørgmodig
699,traurig::A,szomorú,sørgmodig
700,lebendig::A,élő,levende
701,gut::A,jó,god
702,schlecht::A,rossz,dårlig
703,richtig::A,helyes,riktig
704,schlimm::A,rossz,slem
705,wahr::A,igaz,sann
706,alt::A,ó,gammel
707,alt::A,régi,gammel
708,neu::A,új,ny
709,ehemalig::A,volt,forhenværende
710,ehemalig::A,egykori,forhenværende
711,alt[Lebewesen]::A,öreg,gammel
712,jung::A,fiatal,ung
713,arm::A,szegény,fattig
714,reich::A,gazdag,rik
715,bekannt::A,ismert,kjent
716,bekannt::A,ismeretes,kjent
717,berühmt::A,híres,berømt
718,fremd::A,idegen,fremmed
719,verschieden::A,különböző,forskjellig
720,nah::A,közeli,nær
721,fern::A,távoli,fjern
722,linker::A,bal,venstre
723,rechter::A,jobb,høyre
724,anderer::A,más,annen
725,anderer::A,másik,annen
726,erster::A,első,første
727,zweiter::A,második,annen
728,dritter::A,harmadik,tredje
729,letzter::A,utolsó,sist
730,allein::ADV,egyedül,alene
731,auf einmal::ADV,egyszerre,med ett
732,zusammen::ADV,együtt,sammen
733,zusammen::ADV,összesen,sammen
734,lange::ADV,sokáig,lenge
735,lange::ADV,hosszan,lenge
736,plötzlich::ADV,hirtelen,plutselig
737,plötzlich::ADV,egyszerre,plutselig
738,sofort::ADV,rögtön,straks
739,sofort::ADV,tüstént,straks
740,später::ADV,későn,senere
741,jetzt::ADV,most,nå
742,heute::ADV,ma,i dag
743,morgen::ADV,holnap,i morgen
744,bald::ADV,majd,snart
745,bald::ADV,nemsokára,snart
746,dann::ADV,akkor,så
747,gestern::ADV,tegnap,i går
748,einst::ADV,hajdan,engang
749,damals::ADV,akkor,den gang
750,damals::ADV,akkoriban,den gang
751,danach::ADV,azután,deretter
752,vorher::ADV,előbb,før
753,vorher::ADV,előbb,i forveien
754,zuerst::ADV,először,først
755,einmal::ADV,egyszer,en gang
756,manchmal::ADV,néha,somme tider
757,manchmal::ADV,olykor,somme tider
758,oft::ADV,sokszor,ofte
759,immer::ADV,mindig,alltid
760,niemals::ADV,sohasem,aldri
761,hier::ADV,itt,her
762,hierhin::ADV,erre,hit
763,von hier::ADV,innen,herfra
764,dort::ADV,ott,der
765,dorthin::ADV,oda,dit
766,geradeaus::ADV,egyenesen,rett fram
767,vorwärts::ADV,előre,fram
768,vorwärts::ADV,előre,framover
769,rückwärts::ADV,hátrafelé,baklengs
770,zurück::ADV,hátra,tilbake
771,zurück::ADV,vissza,tilbake
772,unten::ADV,alul,nede
773,hinab::ADV,le,ned
774,hinab::ADV,le,nedover
775,hinab::ADV,lefelé,ned
776,hinab::ADV,lefelé,nedover
777,oben::ADV,fenn,oppe
778,oben::ADV,fenn,ovenpå
779,oben::ADV,felül,oppe
780,oben::ADV,felül,ovenpå
781,hinauf::ADV,fel,opp
782,hinauf::ADV,fel,oppover
783,hinauf::ADV,felfelé,opp
784,hinauf::ADV,felfelé,oppover
785,überall::ADV,mindenütt,overalt
786,nicht::ADV,nem,ikke
787,ein wenig::ADV,egy kicsit,litt
788,kaum::ADV,alig,neppe
789,sehr::ADV,nagyon,svært
790,so::ADV,úgy,så
791,noch::ADV,még,enda
792,nur::ADV,csak,bare
793,nur::ADV,csupán,bare
794,schon::ADV,már,alt
795,schon::ADV,már,allerede
796,wieder::ADV,ismét,igjen
797,wieder::ADV,megint,igjen
798,vergebens::ADV,hiába,forgjeves
799,vor::PRP,előtt,foran
800,vor::PRP,előtt,utenfor
801,hinter::PRP,mögött,bak
802,hinter::PRP,mögött,bakom
803,unter::PRP,alatt,under
804,durch::PRP,át,gjennom
805,durch::PRP,át,igjennom
806,durch::PRP,keresztül,gjennom
807,durch::PRP,keresztül,igjennom
808,neben::PRP,mellett,ved siden av
809,zwischen::PRP,között,mellom
810,wegen::PRP,miatt,på grunn av
811,wegen::PRP,végett,på grunn av
812,dies::PRN,ez,dette
813,das::PRN,az,det
814,alles::PRN,minden,alt
815,ich::PRN,én,jeg
816,du::PRN,te,du
817,er::PRN,ő,han
818,wir::PRN,mi,vi
819,ihr::PRN,ti,dere
820,sie::PRN,ők,de
821,was::FPRN,mi,hva
822,wer::FPRN,ki,hvem
823,wo::FADV,hol,hvor
824,wohin::FADV,hova,hvor ... hen
825,wie::FADV,hogy,hvordan
826,wie::FADV,hogyan,hvordan
827,warum::FADV,miért,hvorfor
828,wieviel::FNUM,hány,hvor mye
829,wieviel::FNUM,mennyi,hvor mye
830,eins::NUM,egy,en
831,eins::NUM,egy,ett
832,zwei::NUM,kettő,to
833,drei::NUM,három,tre
834,vier::NUM,négy,fire
835,fünf::NUM,öt,fem
836,sechs::NUM,hat,seks
837,sieben::NUM,hét,sju
838,acht::NUM,nyolc,åtte
839,neun::NUM,kilenc,ni
840,zehn::NUM,tíz,ti
841,elf::NUM,tizenegy,elleve
842,zwölf::NUM,tizenkettő,tolv
843,zwanzig::NUM,húsz,tjue
844,dreißig::NUM,harminc,tretti
845,vierzig::NUM,negyven,førti
846,fünfzig::NUM,ötven,femti
847,sechzig::NUM,hatvan,seksti
848,siebzig::NUM,hetven,sytti
849,achtzig::NUM,nyolcvan,åtti
850,neunzig::NUM,kilencven,nitti
851,hundert::NUM,száz,hundre
852,tausend::NUM,ezer,tusen
853,und::CNJ,és,og
854,und::CNJ,meg,og
855,oder::CNJ,vagy,eller
856,stehen::V,áll,stå
857,sitzen::V,ül,sitte
