,Concept_ID,kn,el
191,Hecht::N,ಪೈಕ್ ಮೀನು,λούτσος
192,Schlange[Tier]::N,ಹಾವು,φίδι
193,Wurm::N,ಹುಳು,σκουλήκι
194,Spinne::N,ಊರ್ಣನಾಭ,αράχνη
195,Ameise::N,ಇರುವೆ,μυρμήγκι
196,Laus::N,ಹೇನು,ψείρα
197,Mücke::N,ಸೊಳ್ಳೆ,κουνούπι
198,Fliege::N,ನೊಣ,μύγα
199,Schmetterling::N,ಪತಂಗ,πεταλούδα
200,Beere::N,ನಯವಣ್ಣು,ρόγα
201,Apfel::N,ಸೇಬು,μήλο
202,Pilz::N,ಅಣಬೆ,μανιτάρι
203,Zwiebel::N,ನೀರುಳ್ಳಿ,κρεμμύδι
204,Saat::N,ಬಿತ್ತ,σπόρος
205,Korn::N,ಬೀಜ,σπυρί
206,Heu::N,ಕರಡ,σανός
207,Schale::N,ಹೊಟ್ಟು,τσόφλι
208,Grube::N,ಗುಂಡಿ,λάκκος
209,Falle::N,ಬೋನು,παγίδα
210,Schlinge::N,ಉರುಲು,θηλειά
211,Spur::N,ಜಾಡು,ίχνος
212,Asche::N,ಬೂದಿ,στάχτη
213,Dreck::N,ಹೊಲಸು,βρωμιά
214,Eisen::N,ಕಬ್ಬಿಣ,σίδερο
215,Gold::N,ಚಿನ್ನ,μάλαμα
216,Gold::N,ಚಿನ್ನ,χρυσάφι
217,Silber::N,ಬೆಳ್ಳಿ,ασήμι
218,Silber::N,ಬೆಳ್ಳಿ,άργυρος
219,Kohle::N,ಕಲ್ಲಿದ್ದಲು,κάρβουνο
220,Glas::N,ಗಾಜು,γυαλί
221,Lehm::N,ಜೇಡಿಮಣ್ಣು,πηλός
222,Sand::N,ಮರಳು,άμμος
223,Mensch::N,ಪುರುಷ,άνθρωπος
224,Mann::N,ಆಳು,άνδρας
225,Frau::N,ಹೆಣ್ಣು,γυναίκα
226,Kind::N,ಮಗು,παιδί
227,Junge::N,ಹುಡುಗ,αγόρι
228,Mädchen::N,ಹುಡುಗಿ,κοπέλα
229,Mädchen::N,ಹುಡುಗಿ,κορίτσι
230,Familie::N,ಕುಟುಂಬ,οικογένεια
231,Großvater::N,ಅಜ್ಜ,παππούς
232,Großmutter::N,ಅಮ್ಮ,γιαγιά
233,Eltern::N,ಹೆತ್ತವರು,γονείς
234,Vater::N,ತಂದೆ,πατέρας
235,Mutter::N,ಅಮ್ಮ,μητέρα
236,Sohn::N,ಮಗ ,γιος
237,Tochter::N,ಮಗಳು,κόρη
238,Bruder::N,ತಮ್ಮ,αδελφός
239,Schwester::N,ತಂಗಿ,αδελφή
240,Onkel::N,ಸೋದರಮಾವ,θείος
241,Onkel::N,ದೊಡ್ಡಪ್ಪ,θείος
242,Tante::N,ಚಿಕ್ಕಮ್ಮ,θεία
243,Ehemann::N,ಗಂಡ,σύζυγος
244,Ehefrau::N,ಹೆಂಡತಿ,σύζυγος
245,Freude::N,ನಲಿವು,χαρά
246,Gelächter::N,ನಗೆ,γέλια
247,Glück::N,ಆನಂದ,ευτυχία
248,Kummer::N,ದುಃಖ,έγνοια
249,Wunsch::N,ಬಯಕೆ,επιθυμία
250,Lust::N,ಇಷ್ಟ,όρεξη
251,Geist::N,ಆತ್ಮ,πνέυμα
252,Gedanke::N,ಯೋಚನೆ,σκέψη
253,Gedächtnis::N,ಸ್ಮರಣೆ,μνήμη
254,Verstand::N,ಮನಸ್ಸು,νους
255,Sinn::N,ಅರ್ಥ,νόημα
256,Grund::N,ಕಾರಣ,λόγος
257,Wahrheit::N,ಸತ್ಯ,αλήθεια
258,Gespräch::N,ಸಂಭಾಷಣೆ,συνομιλία
259,Märchen::N,ಸುಳ್ಳು ಕಥೆ,παραμύθι
260,Erzählung::N,ಕಥೆ,διήγημα
261,Nachricht::N,ಸಂದೇಶ,είδηση
262,Neuigkeit::N,ಸುದ್ದಿ,νέο
263,Name::N,ಹೆಸರು,όνομα
264,Rätsel::N,ಒಗಟು,αίνιγμα
265,Rede::N,ಮಾತು,λόγος
266,Rede::N,ಮಾತು,ομιλία
267,Sprache::N,ಭಾಷೆ,γλώσσα
268,Stimme::N,ಧ್ವನಿ,φωνή
269,Wort::N,ಮಾತು,λέξη
270,Zeichen::N,ಗುರುತು,σημείο
271,Ruf::N,ಕೂಗು,κραυγή
272,Lärm::N,ಸದ್ದು,θόρυβος
273,Laut::N,ಶಬ್ದ,ήχος
274,Ton::N,ನಾದ,ήχος
275,Ton::N,ನಾದ,τόνος
276,Lied::N,ಗಾನ,τραγούδι
277,Ruhe::N,ಶಾಂತಿ,ησυχία
278,Leute::N,ಮಂದಿ,κόσμος
279,Leute::N,ಮಂದಿ,άνθρωποι
280,Volk::N,ಜನಾಂಗ,λαός
281,Arbeit::N,ಕೆಲಸ,εργασία
282,Gast::N,ಅತಿಥಿ,επισκέπτης
283,Geschenk::N,ಕಾಣಿಕೆ,δώρο
284,Spiel::N,ಆಟ,παιχνίδι
285,Gesellschaft::N,ಸಂಗ,κοινωνία
286,Hilfe::N,ಸಹಾಯ,βοήθεια
287,Freund::N,ಸ್ನೇಹಿತ,φίλος
288,Kamerad::N,ಜೊತೆಗಾರ,σύντροφος
289,Angelegenheit::N,ವಿಚಾರ,υπόθεση
290,Anzahl::N,ಎಣಿಕೆ,αριθμός
291,Art::N,ತರ,είδος
292,Stück::N,ತುಂಡು,κομμάτι
293,Teil::N,ಭಾಗ,μέρος
294,Hälfte::N,ಅರ್ಧ,μισό
295,Kreis::N,ವೃತ್ತ,κύκλος
296,Kreuz::N,ಶಿಲುಬೆ,σταυρός
297,Linie::N,ರೀಖೆ,γραμμή
298,Strich::N,ಗೀಟು,γραμμή
299,Abstand::N,ಅಂತರ,απόσταση
300,Entfernung::N,ದೂರ,απόσταση
301,Gegend::N,ವಿಸ್ತೀರ್ಣ,περιοχή
302,Gegend::N,ವಿಸ್ತೀರ್ಣ,τοποθεσία
