,Concept_ID,cy,da
173,Kranich::N,garan,trane
174,Kranich::N,crychydd,trane
175,Krähe::N,brân,krage
176,Kuckuck::N,cog,gøg
177,Kuckuck::N,cwcw,gøg
178,Schwan::N,alarch,svane
179,Fisch::N,pysgod,fisk
180,Barsch::N,draenog,aborre
181,Hecht::N,penhwyad,gedde
182,Schlange[Tier]::N,neidr,slange
183,Wurm::N,abwydyn,orm
184,Wurm::N,pryf genwair,orm
185,Spinne::N,cor,edderkop
186,Spinne::N,pryf copyn,edderkop
187,Ameise::N,morgrugyn,myre
188,Laus::N,lleuen,lus
189,Mücke::N,gwybedyn,myg
190,Fliege::N,cleren,flue
191,Schmetterling::N,glöyn byw,sommerfugl
192,Schmetterling::N,iâr fach yr haf,sommerfugl
193,Beere::N,aeronen,bær
194,Apfel::N,afal,æble
195,Pilz::N,madarch,svamp
196,Zwiebel::N,nionyn,løg
197,Zwiebel::N,winwnsyn,løg
198,Saat::N,had,sæd
199,Korn::N,grawn,korn
200,Heu::N,gwair,hø
201,Schale::N,croen,skræl
202,Schale::N,plisgyn,skræl
203,Grube::N,pwll,grav
204,Grube::N,pydew,grav
205,Falle::N,magl,fælde
206,Schlinge::N,cwlwm rhedeg,snare
207,Spur::N,ôl,spor
208,Asche::N,lludw,aske
209,Dreck::N,baw,snavs
210,Dreck::N,budreddi,snavs
211,Eisen::N,haearn,jern
212,Gold::N,aur,guld
213,Silber::N,arian,sølv
214,Kohle::N,glo,kul
215,Glas::N,gwydr,glas
216,Lehm::N,clai,ler
217,Sand::N,tywod,sand
218,Mensch::N,dyn,mennesge
219,Mann::N,dyn,mand
220,Frau::N,merch,kvinde
221,Frau::N,gwraig,kvinde
222,Kind::N,plentyn,barn
223,Junge::N,hogyn,dreng
224,Junge::N,bachgen,dreng
225,Mädchen::N,merch,pige
226,Mädchen::N,geneth,pige
227,Familie::N,teulu,familie
228,Familie::N,tylwyth,familie
229,Großvater::N,taid,bedstefar
230,Großvater::N,tad-cu,bedstefar
231,Großmutter::N,nain,bedstemor
232,Großmutter::N,mam-gu,bedstemor
233,Eltern::N,rhieni,forældre
234,Vater::N,tad,far
235,Mutter::N,mam,mor
236,Sohn::N,mab,søn
237,Tochter::N,merch,datter
238,Bruder::N,brawd,bror
239,Schwester::N,chwaer,søster
240,Onkel::N,ewythr,onkel
241,Tante::N,modryb,tante
242,Ehemann::N,gŵr,ægtemand
243,Ehefrau::N,gwraig,hustru
244,Freude::N,gorfoledd,glæde
245,Gelächter::N,chwerthin,latter
246,Glück::N,hapusrwydd,lykke
247,Kummer::N,galar,sorg
248,Wunsch::N,dymuniad,ønske
249,Lust::N,chwant,lyst
250,Geist::N,ysbryd,ånd
251,Gedanke::N,meddwl,tanke
252,Gedächtnis::N,cof,hukommelse
253,Verstand::N,meddwl,forstand
254,Sinn::N,ystyr,mening
255,Sinn::N,ystyr,betydning
256,Grund::N,achos,grund
257,Grund::N,rheswm,grund
258,Wahrheit::N,gwir,sandhed
259,Wahrheit::N,gwirionedd,sandhed
260,Gespräch::N,sgwrs,samtale
261,Märchen::N,chwedl werin,eventyr
262,Erzählung::N,stori,fortælling
263,Nachricht::N,neges,efterretning
264,Neuigkeit::N,newydd,nyhed
265,Name::N,enw,navn
266,Rätsel::N,pos,gåde
267,Rede::N,araith,tale
268,Sprache::N,iaith,sprog
269,Stimme::N,llais,stemme
270,Wort::N,gair,ord
271,Zeichen::N,arwydd,tegn
272,Ruf::N,galwad,råb
273,Lärm::N,trwst,larm
274,Laut::N,sain,lyd
275,Ton::N,tôn,tone
276,Lied::N,cân,sang
277,Ruhe::N,tawelwch,ro
278,Ruhe::N,tawelwch,hvile
279,Leute::N,pobl,folk
280,Leute::N,pobl,mennesker
281,Volk::N,pobl,folk
282,Arbeit::N,gwaith,arbejde
283,Gast::N,gwestai,gæst
284,Geschenk::N,rhodd,gave
285,Geschenk::N,anrheg,gave
286,Spiel::N,chwarae,leg
287,Gesellschaft::N,cwmni,selskab
288,Hilfe::N,cymorth,hjælp
289,Freund::N,cyfaill,ven
290,Kamerad::N,cydymaith,kammerat
291,Angelegenheit::N,pwnc,sag
292,Angelegenheit::N,pwnc,anliggende
293,Anzahl::N,cyfrif,antal
294,Art::N,bath,art
295,Stück::N,darn,stykke
296,Teil::N,rhan,del
297,Hälfte::N,hanner,halvdel
298,Kreis::N,cylch,cirkel
299,Kreuz::N,croes,kors
300,Kreuz::N,croes,kryds
301,Linie::N,llinell,linie
302,Strich::N,strôc,streg
303,Strich::N,trawiad,streg
304,Abstand::N,bwlch,afstand
305,Abstand::N,pellter,afstand
306,Entfernung::N,pellter,afstand
307,Gegend::N,cylch,egn
308,Platz::N,lle,plads
309,Ort::N,lle,sted
310,Seite::N,ochr,side
311,Mitte::N,canol,midte
312,Gegenstand::N,eitem,genstand
313,Sache::N,peth,sag
314,Rand::N,cwr,rand
315,Rand::N,ymyl,rand
316,Kante::N,min,kant
317,Kante::N,ymyl,kant
318,Ecke::N,cornel,hjørne
319,Spitze::N,blaen,spids
320,Ende::N,pen,ende
321,Loch::N,twll,hul
322,Winkel::N,congl,vinkel
323,Muster::N,patrwm,mønster
324,Größe::N,maint,størrelse
325,Größe::N,maintioli,størrelse
326,Länge::N,hyd,længde
327,Höhe::N,uchder,højde
328,Gewicht::N,pwysau,vægt
329,Menge::N,swm,mængde
330,Menge::N,maint,mængde
331,Haufen::N,pentwr,bunke
332,Reihe::N,rhes,række
333,Boot::N,cwch,båd
334,Ruder::N,rhwyf,åre
335,Schlitten::N,sled,kælk
336,Schlitten::N,sled,slæde
337,Schlitten::N,car llusg,kælk
338,Schlitten::N,car llusg,slæde
339,Ski::N,sgi,ski
340,Lagerfeuer::N,coelcerth,lejrbål
341,Last::N,llwyth,last
342,Last::N,llwyth,byrde
343,Gang::N,tro,gang
344,Schritt::N,cam,skridt
345,Norden::N,gogledd,nord
346,Süden::N,de,syd
347,Westen::N,gorllewin,vest
348,Osten::N,dwyrain,øst
349,Holz::N,pren,træ
350,Brett::N,bwrdd,bræt
351,Brett::N,astell,bræt
352,Platte::N,llech,plade
353,Stütze::N,ateg,støtte
354,Stütze::N,cynhalydd,støtte
355,Stange::N,polyn,stang
356,Stock::N,ffon,stok
357,Stock::N,brigyn,stok
358,Stab::N,ffon,stav
359,Rohr::N,pibell,rør
360,Haus::N,tŷ,hus
361,Heim::N,cartref,hjem
362,Ofen::N,stof,ovn
363,Fußboden::N,llawr,gulv
364,Tisch::N,bwrdd,bord
365,Stuhl::N,cadair,stol
366,Wiege::N,crud,vugge
367,Bett::N,gwely,seng
368,Regal::N,silff,reol
369,Kiste::N,bocs,kasse
370,Kiste::N,blwch,kasse
371,Fenster::N,ffenestr,vindue
372,Tür::N,drws,dør
373,Tor::N,porth,port
374,Zaun::N,ffens,stakit
375,Dach::N,to,tag
376,Leiter::N,ysgol,stige
377,Besen::N,ysgub,kost
378,Spaten::N,rhaw,spade
379,Schaufel::N,rhaw,skovl
380,Gabel::N,fforc,gaffel
381,Löffel::N,llwy,ske
382,Messer::N,cyllell,kniv
383,Nagel::N,hoel,søm
384,Netz::N,gwe,net
385,Netz::N,rhwyd,net
386,Haken::N,bach,krog
387,Griff::N,carn,tag
388,Griff::N,carn,håndtag
389,Schloss::N,clo,lås
390,Bild::N,llun,billede
391,Bild::N,pictiwr,billede
392,Figur::N,ffigur,figur
393,Puppe::N,dol,dukke
394,Beutel::N,cwd,pose
395,Bündel::N,bwndel,bylt
396,Bündel::N,bwndel,bundt
397,Bündel::N,coflaid,bylt
398,Bündel::N,coflaid,bundt
399,Tasche::N,cod,taske
400,Eimer::N,bwced,spand
401,Eimer::N,cunnog,spand
402,Deckel::N,caead,låg
403,Geschirr::N,llestri,husgeråd
404,Sack::N,sach,sæk
405,Tasse::N,cwpan,kop
406,Topf::N,pot,gryde
407,Topf::N,crochan,gryde
408,Kessel::N,tegell,kedel
409,Essen::N,pryd o fwyd,måltid
410,Nahrung::N,bwyd,mad
411,Nahrung::N,bwyd,næring
412,Speise::N,saig,ret
413,Fleisch::N,cig,kød
414,Getreide::N,ŷd,korn
415,Getreide::N,llafur,korn
416,Brei::N,uwd,grød
417,Brot::N,bara,brød
418,Scheibe::N,tafell,skive
419,Fett::N,saim,fedt
420,Fett::N,braster,fedt
421,Butter::N,ymenyn,smør
422,Öl::N,olew,olie
423,Salz::N,halen,salt
424,Suppe::N,cawl,suppe
425,Honig::N,mêl,honning
426,Milch::N,llaeth,mælk
427,Milch::N,llefrith,mælk
428,Tee::N,te,te
429,Leder::N,lledr,skind
430,Wolle::N,gwlân,uld
431,Stoff::N,lliain,stof
432,Stoff::N,brethyn,stof
433,Nadel::N,nodwydd,nål
434,Faden::N,edau,tråd
435,Faden::N,edefyn,tråd
436,Knopf::N,botwm,knap
437,Knoten::N,cwlwm,knude
438,Farbe::N,paent,farve
439,Kleidung::N,dillad,påklædning
440,Kleidung::N,gwisgoedd,påklædning
441,Hemd::N,crys,skjorte
442,Kragen::N,coler,krave
443,Ärmel::N,llawes,ærme
444,Hose::N,trowsus,bukser
445,Gürtel::N,gwregys,bælte
446,Mütze::N,cap,hue
447,Schuh::N,esgid,sko
448,Stiefel::N,botasen,støvle
449,Ring::N,modrwy,ring
450,Band::N,rhuban,bånd
451,Kamm::N,crib,kam
452,Spiegel::N,drych,spejl
453,Riemen::N,strap,rem
454,Schnur::N,llinyn,snor
455,Leine::N,tennyn,snor
456,Decke::N,blanced,tæppe
457,Decke::N,gwrthban,tæppe
458,Kissen::N,clustog,pude
459,Kissen::N,gobennydd,pude
460,Tuch::N,sgarff,sjaltørklæde
461,Handtuch::N,tywel,håndklæde
462,Handtuch::N,lliain sychu,håndklæde
463,Kraft::N,grym,kraft
464,Stärke::N,nerth,styrke
465,Stärke::N,cryfder,styrke
466,Gesundheit::N,iechyd,sundhed
467,Krankheit::N,afiechyd,sygdom
468,Krankheit::N,anhwylder,sygdom
469,Schmerz::N,poen,smerte
470,Schmerz::N,gwayw,smerte
471,Wunde::N,clwyf,sår
472,Fieber::N,twymyn,feber
473,Arznei::N,meddyginiaeth,medicin
474,Arznei::N,meddyginiaeth,lægemiddel
475,Brücke::N,pont,bro
476,Brunnen::N,ffynnon,brønd
477,Weide::N,porfa,græsgang
478,Pfad::N,llwybr,sti
479,Weg::N,ffordd,vej
480,Straße::N,heol,gade
481,Straße::N,ffordd,gade
482,Dorf::N,pentref,landsby
483,Stadt::N,tref,by
484,Brief::N,llythyr,brev
485,Buch::N,llyfr,bog
486,Buchstabe::N,llythyren,bogstav
487,Zeitung::N,papur newydd,avis
488,Leben::N,bywyd,liv
489,Tod::N,marwolaeth,død
490,Grab::N,bedd,grav
491,Kirche::N,eglwys,kirke
492,Sünde::N,pechod,synd
493,Gott::N,duw,gud
494,Arbeiter::N,gweithiwr,arbejder
495,Chef::N,pennaeth,chef
496,Meister::N,meistr,mester
497,Arzt::N,meddyg,læge
498,Lehrer::N,athro,lærer
499,Geld::N,pres,penge
500,Geld::N,arian,penge
501,Geschäft::N,busnes,forretning
502,Laden::N,siop,butik
503,Laden::N,siop,forretning
504,Preis::N,pris,pris
505,Ware::N,nwydd,vare
506,Nutzen::N,elw,nytte
507,Nutzen::N,budd,nytte
508,Reichtum::N,cyfoeth,rigdom
509,Welt::N,byd,verden
510,Land::N,gwlad,land
511,Staat::N,gwladwriaeth,stat
512,König::N,brenin,konge
513,Macht::N,grym,magt
514,Macht::N,awdurdod,magt
515,Grenze::N,ffin,grænse
516,Grenze::N,goror,grænse
517,Krieg::N,rhyfel,krig
518,Feind::N,gelyn,fjende
519,Gewalt::N,ffyrnigrwydd,vold
520,Kampf::N,brwydr,kamp
521,Bogen[Waffe]::N,bwa,bue
522,Pfeil::N,saeth,pil
523,Gewehr::N,dryll,gevær
524,Fehler::N,gwall,fejl
525,Fehler::N,camgymeriad,fejl
526,Lüge::N,celwydd,løgn
527,Lüge::N,anwiredd,løgn
528,Schaden::N,niwed,skade
529,Schaden::N,difrod,skade
530,Unglück::N,anffawd,uheld
531,Unglück::N,anffawd,ulykke
532,Schuld::N,bai,skyld
533,Alter::N,oed,alder
534,Schluss::N,diwedd,slut
535,Schluss::N,diwedd,slutning
536,Zeit::N,amser,tid
537,Tag::N,dydd,dag
538,Tag::N,diwrnod,dag
539,Morgen::N,bore,morgen
540,Mittag::N,nawn,middag
541,Abend::N,noswaith,aften
542,Nacht::N,nos,nat
543,Woche::N,wythnos,uge
544,Monat::N,mis,måned
545,Jahr::N,blwyddyn,år
546,Frühling::N,gwanwyn,forår
547,Sommer::N,haf,sommer
548,Herbst::N,hydref,efterår
549,Winter::N,gaeaf,vinter
550,Januar::N,Ionawr,januar
551,Februar::N,Chwefror,februar
552,März::N,Mawrth,marts
553,April::N,Ebrill,april
554,Mai::N,Mai,maj
555,Juni::N,Mehefin,juni
556,Juli::N,Gorffennaf,juli
557,August::N,Awst,august
558,September::N,Medi,september
559,Oktober::N,Hydref,oktober
560,November::N,Tachwedd,november
561,Dezember::N,Rhagfyr,december
562,Montag::N,dydd Llun,mandag
563,Dienstag::N,dydd Mawrth,tirsdag
564,Mittwoch::N,dydd Mercher,onsdag
565,Donnerstag::N,dydd Iau,torsdag
566,Freitag::N,dydd Gwener,fredag
567,Samstag::N,dydd Sadwrn,lørdag
568,Sonntag::N,dydd Sul,søndag
569,groß::A,mawr,stor
570,klein::A,bach,lille
571,lang::A,hir,lang
572,kurz::A,byr,kort
573,kurz::A,cwta,kort
574,breit::A,llydan,bred
575,schmal::A,cul,smal
576,dicht::A,dwys,tæt
577,dick[Gegenstand]::A,trwchus,tyk
578,dünn::A,tenau,tynd
579,fein::A,main,fin
580,fest::A,cadarn,fast
581,flach::A,gwastad,flad
582,glatt::A,llyfn,glat
583,hart::A,caled,hård
584,weich::A,meddal,blød
585,rund::A,crwn,rund
586,spitz::A,pigfain,spids
587,scharf::A,miniog,skarp
588,stumpf::A,pŵl,sløv
589,stumpf::A,pŵl,stump
590,schwer::A,trwm,tung
591,schön::A,teg,skøn
592,schön::A,hardd,skøn
593,schön::A,prydferth,skøn
594,heiß::A,poeth,hed
595,warm::A,twym,varm
596,warm::A,cynnes,varm
597,kalt::A,oer,kold
598,kühl::A,oeraidd,kølig
599,frisch::A,iach,frisk
600,feucht::A,llaith,fugtig
601,nass::A,gwlyb,våd
602,trocken::A,sych,tør
603,voll::A,llawn,fuld
604,leer::A,gwag,tom
605,offen::A,agored,åben
606,geschlossen::A,caead,lukket
607,geschlossen::A,caeëdig,lukket
608,sauber::A,glân,ren
609,schmutzig::A,budr,snavset
610,schmutzig::A,brwnt,snavset
611,roh::A,amrwd,rå
612,reif::A,aeddfed,moden
613,lecker::A,blasus,lækker
614,lecker::A,danteithiol,lækker
615,süß::A,melys,sød
616,bitter::A,chwerw,bitter
617,sauer::A,sur,sur
618,hell::A,disglair,lys
619,dunkel::A,tywyll,mørk
620,schwarz::A,du,sort
621,weiß::A,gwyn,hvid
622,rot::A,coch,rød
623,gelb::A,melyn,gul
624,blau::A,glas,blå
625,grün::A,gwyrdd,grøn
626,grau::A,llwyd,grå
627,bunt::A,lliwgar,broget
628,billig::A,rhad,billig
629,teuer::A,drud,dyr
630,wertvoll::A,gwerthfawr,værdifuld
631,blind::A,dall,blind
632,taub::A,byddar,døv
633,kräftig::A,nerthol,kraftig
634,kräftig::A,grymus,kraftig
635,stark::A,cryf,stærk
636,stark::A,cadarn,stærk
637,schwach::A,gwan,svag
638,fett::A,tew,fed
639,schlank::A,main,slank
640,hübsch::A,tlws,køn
641,böse::A,drwg,ond
642,böse::A,drwg,slem
643,dumm::A,twp,dum
644,faul::A,diog,doven
645,fleißig::A,dyfal,flittig
646,geizig::A,crintach,gerrig
647,geizig::A,cybyddlyd,gerrig
648,klug::A,deallus,klog
649,geschickt::A,medrus,dygtig
650,geschickt::A,medrus,behændig
651,geschickt::A,deheuig,dygtig
652,geschickt::A,deheuig,behændig
653,lieb::A,hoff,rar
654,lieb::A,annwyl,rar
655,lustig::A,llon,lystig
656,sanft::A,mwyn,blid
657,hungrig::A,newynog,sulten
658,krank::A,sâl,syg
659,krank::A,gwael,syg
660,nackt::A,noeth,nøgen
661,traurig::A,trist,bedrøvet
662,lebendig::A,yn fyw,levende
663,gut::A,da,god
664,schlecht::A,drwg,dårlig
665,schlecht::A,gwael,dårlig
666,richtig::A,cywir,rigtig
667,schlimm::A,enbyd,slem
668,wahr::A,gwir,sand
669,alt::A,hen,gammel
670,neu::A,newydd,ny
671,ehemalig::A,blaenorol,forhenværende
672,alt[Lebewesen]::A,oedrannus,gammel
673,jung::A,ifanc,ung
674,arm::A,tlawd,fattig
675,reich::A,cyfoethog,rig
676,bekannt::A,cynefin,kendt
677,bekannt::A,cyfarwydd,kendt
678,berühmt::A,enwog,berømt
679,fremd::A,estron,fremmed
680,verschieden::A,gwahanol,forskellig
681,nah::A,agos,nær
682,fern::A,pell,fjern
683,linker::A,aswy,venstre
684,linker::A,chwith,venstre
685,rechter::A,de,højre
686,rechter::A,deau,højre
687,anderer::A,arall,anden
688,erster::A,cyntaf,første
689,zweiter::A,ail,anden
690,dritter::A,trydydd,tredje
691,letzter::A,olaf,sidste
692,allein::ADV,unig,alene
693,allein::ADV,ar ei ben ei hun,alene
694,auf einmal::ADV,ar yr un pryd,på én gang
695,zusammen::ADV,ynghyd,sammen
696,zusammen::ADV,gyda'i gilydd,sammen
697,lange::ADV,amser hir,længe
698,plötzlich::ADV,yn sydyn,pludselig
699,sofort::ADV,ar unwaith,straks
700,später::ADV,yn ddiweddarach,senere
701,jetzt::ADV,yn awr,nu
702,heute::ADV,heddiw,i dag
703,morgen::ADV,yfory,i morgen
704,bald::ADV,yn fuan,snart
705,bald::ADV,gyda hyn,snart
706,dann::ADV,yna,så
707,dann::ADV,y pryd hwnnw,så
708,gestern::ADV,ddoe,i går
709,einst::ADV,gynt,engang
710,damals::ADV,ar y pryd,dengang
711,damals::ADV,bryd hynny,dengang
712,danach::ADV,wedyn,derefter
713,vorher::ADV,o'r blaen,før
714,vorher::ADV,o'r blaen,forud
715,zuerst::ADV,yn gyntaf,først
716,einmal::ADV,unwaith,en gang
717,manchmal::ADV,weithiau,sommetider
718,manchmal::ADV,ar brydiau,sommetider
719,oft::ADV,yn aml,ofte
720,oft::ADV,yn fynych,ofte
721,immer::ADV,bob amser,altid
722,niemals::ADV,ni ... byth,aldrig
723,niemals::ADV,ni ... erioed,aldrig
724,hier::ADV,yma,her
725,hierhin::ADV,hyd yma,hid
726,hierhin::ADV,hyd yma,herhen
727,von hier::ADV,oddi yma,herfra
728,dort::ADV,acw,der
729,dorthin::ADV,tuag yno,derhen
730,geradeaus::ADV,syth ymlaen,lige ud
731,vorwärts::ADV,ymlaen,fremad
732,rückwärts::ADV,yn ôl,baglæns
733,zurück::ADV,yn ôl,tilbage
734,unten::ADV,isod,nede
735,unten::ADV,isod,forneden
736,unten::ADV,oddi tanodd,nede
737,unten::ADV,oddi tanodd,forneden
738,hinab::ADV,i lawr,ned
739,hinab::ADV,i lawr,nedad
740,hinab::ADV,i waered,ned
741,hinab::ADV,i waered,nedad
742,oben::ADV,fry,oppe
743,oben::ADV,fry,ovenpå
744,hinauf::ADV,i fyny,op
745,hinauf::ADV,i fyny,opad
746,hinauf::ADV,i'r lan,op
747,hinauf::ADV,i'r lan,opad
748,überall::ADV,ym mhobman,overalt
749,nicht::ADV,ni,ikke
750,nicht::ADV,nid,ikke
751,ein wenig::ADV,tipyn,lidt
752,ein wenig::ADV,ychydig,lidt
753,kaum::ADV,prin,knap
754,kaum::ADV,prin,næppe
755,sehr::ADV,iawn,meget
756,so::ADV,fel,så
757,so::ADV,felly,så
758,noch::ADV,eto,endnu
759,nur::ADV,yn unig,kun
760,nur::ADV,yn unig,bare
761,schon::ADV,eisoes,alt
762,schon::ADV,eisoes,allerede
763,schon::ADV,yn barod,alt
764,schon::ADV,yn barod,allerede
765,wieder::ADV,drachefn,igen
766,vergebens::ADV,yn ofer,forgæves
767,vor::PRP,o flaen,foran
768,vor::PRP,o flaen,uden for
769,hinter::PRP,ar ôl,bag
770,hinter::PRP,ar ôl,bagved
771,unter::PRP,islaw,under
772,durch::PRP,trwy,gennem
773,durch::PRP,trwy,igennem
774,neben::PRP,ar bwys,ved siden af
775,zwischen::PRP,rhwng,mellem
776,zwischen::PRP,cydrhwng,mellem
777,wegen::PRP,o achos,på grund af
778,wegen::PRP,oherwydd,på grund af
779,dies::PRN,hyn,dette
780,das::PRN,hynny,det
781,alles::PRN,popeth,alt
782,ich::PRN,fi,jeg
783,du::PRN,ti,du
784,er::PRN,fe,han
785,wir::PRN,ni,vi
786,ihr::PRN,chi,I
787,sie::PRN,hwy,de
788,was::FPRN,pa beth,hvad
789,wer::FPRN,pwy,hvem
790,wo::FADV,ble,hvor
791,wo::FADV,ym mha le,hvor
792,wohin::FADV,i ble,hvorhen
793,wohin::FADV,i ba le,hvorhen
794,wie::FADV,sut,hvordan
795,warum::FADV,pam,hvorfor
796,wieviel::FNUM,faint,hvor meget
797,eins::NUM,un,én
798,zwei::NUM,dau,to
799,drei::NUM,tri,tre
800,vier::NUM,pedwar,fire
801,fünf::NUM,pump,fem
802,sechs::NUM,chwech,seks
803,sieben::NUM,saith,syv
804,acht::NUM,wyth,otte
805,neun::NUM,naw,ni
806,zehn::NUM,deg,ti
807,elf::NUM,un ar ddeg,elleve
808,zwölf::NUM,deuddeg,tolv
809,zwölf::NUM,un deg dau,tolv
810,zwanzig::NUM,ugain,tyve
811,dreißig::NUM,tri deg,tredive
812,dreißig::NUM,deg ar hugain,tredive
813,vierzig::NUM,deugain,fyrre
814,vierzig::NUM,deugain,fyrretyve
815,fünfzig::NUM,hanner cant,halvtreds
816,sechzig::NUM,chwe deg,tres
817,siebzig::NUM,saith deg,halvfjerds
818,siebzig::NUM,deg a thrigain,halvfjerds
819,achtzig::NUM,wyth deg,firs
820,achtzig::NUM,pedar ugain,firs
