,Concept_ID,sl,mrj
628,geschlossen::A,zapŕt,тӹкӹлӓлтшӹ
629,sauber::A,číst,ире
630,sauber::A,líčen,ире
631,schmutzig::A,umázan,шоран
632,schmutzig::A,umázan,лявӹрӓн
633,schmutzig::A,umázan,шорангшы
634,roh::A,suròv,пеле кӱшӹ
635,reif::A,zrèl,кӱшӹ
636,lecker::A,okúsen,тотан
637,süß::A,sládek,мӱӓн
638,bitter::A,grenák,качы
639,sauer::A,kísel,шапы
640,hell::A,svetèl,соты
641,hell::A,svetèl,валгыды
642,dunkel::A,temèn,пӹц
643,dunkel::A,temèn,пӹцкемӹш
644,schwarz::A,čŕn,шим
645,weiß::A,bél,ош
646,weiß::A,bél,ошы
647,rot::A,rdèč,якшаргы
648,gelb::A,žólt,сар
649,gelb::A,žólt,сары
650,gelb::A,rumèn,сар
651,gelb::A,rumèn,сары
652,blau::A,móder,симсӹ
653,grün::A,zelèn,ыжар
654,grau::A,sív,луды
655,bunt::A,písan,ала
656,billig::A,pocéni,шулдаш
657,teuer::A,drág,шергӹ
658,teuer::A,drág,шергӓкӓн
659,wertvoll::A,dragocén,ӓкӓн
660,blind::A,slép,слöпöй
661,blind::A,slép,сльöпöй
662,taub::A,glúh,тӱтӱк
663,kräftig::A,močán,виӓн
664,stark::A,ják,виӓн
665,schwach::A,šíbek,шава
666,schwach::A,šíbek,лӹпкӓ
667,schwach::A,šíbek,слабка
668,fett::A,dêbel,таза
669,schlank::A,vítek,яштака
670,hübsch::A,lép,сӹлнӹ
671,hübsch::A,lép,олмыдшы
672,böse::A,zèl,шӹдӓн
673,böse::A,hudôben,шӹдӓн
674,dumm::A,glúp,окмак
675,dumm::A,bédast,окмак
676,faul::A,lén,ялахай
677,fleißig::A,marljív,пӓшам яратышы
678,geizig::A,škŕt,шык
679,klug::A,pámeten,ышан
680,geschickt::A,spréten,мастар
681,lieb::A,míl,тыри
682,lieb::A,ljúb,тыри
683,lustig::A,vesél,мындыр
684,lustig::A,vesél,сусу
685,sanft::A,láhek,йӹвӹжӓ
686,hungrig::A,láčen,шужышы
687,krank::A,bolán,церлӹ
688,krank::A,bolán,хворой
689,nackt::A,nág,цӓрӓ
690,traurig::A,túžen,сы́лыкан
691,traurig::A,túžen,кымы́лдымы
692,lebendig::A,žív,живой
693,gut::A,dóber,яжо
694,schlecht::A,malopríden,уда
695,schlecht::A,malopríden,худа
696,richtig::A,pravílen,вургамла
697,schlimm::A,húd,йӹрнык
698,wahr::A,resníčen,настоящий
699,wahr::A,resníčen,настояшый
700,alt::A,stàr,шонгы
701,neu::A,nòv,у
702,ehemalig::A,nekdánji,тошты
703,alt[Lebewesen]::A,stàr,ӹлалшӹ
704,jung::A,mlád,нöргӹ
705,jung::A,mlád,молода
706,arm::A,ubóg,укеӓн
707,arm::A,réven,укеӓн
708,reich::A,bogàt,паян
709,reich::A,bogàt,пурлыкан
710,bekannt::A,znán,палӹмӹ
711,berühmt::A,sláven,лӹмлы
712,berühmt::A,znamenít,лӹмлы
713,fremd::A,túj,эдемӹн
714,verschieden::A,razlíčen,тӹрлӹ
715,nah::A,blížnji,лишӹл
716,fern::A,dáleč,мӹндӹр
717,linker::A,lévi,шалахай
718,rechter::A,désni,вургамла
719,anderer::A,drúgi,вес
720,anderer::A,drúgi,весӹ
721,erster::A,pŕvi,икшӹ
722,erster::A,pŕvi,икӹмшӹ
723,zweiter::A,drúgi,кокшы
724,dritter::A,trétji,кымшы
725,letzter::A,poslédnji,остатка
726,allein::ADV,sám,иктӹ
727,allein::ADV,sám,иктӹт
728,auf einmal::ADV,obênem,тöрöк
