,Concept_ID,te,kl
90,Kälte::N,చలి,issi
91,Hitze::N,వేడిమి,kianneq
92,Hitze::N,వేడిమి,kiassuseq
93,Raureif::N,మంచు,kaneq
94,Regenbogen::N,ఇంద్రధనుస్సు,neriusaaq
95,Donner::N,ఉరుము,kalleq
96,Strömung::N,ప్రవాహము,
97,Tropfen::N,చుక్క,kuseriarneq
98,Schaum::N,నురుగు,qapuk
99,Schmutz::N,మైల,minguk
100,See::N,సరస్సు,taseq
101,Sumpf::N,చిత్తడినేల,maqulluk
102,Moor::N,చిత్తడినేల,
103,Wiese::N,పచ్చిక బయలు,masarsuk
104,Wald::N,అడవి,
105,Hügel::N,చివ్నకొండ,qattuneq
106,Hügel::N,చివ్నకొండ,majuariaq
107,Hügel::N,చివ్నకొండ,majorajaaq
108,Hügel::N,చివ్నకొండ,qaqqannguaq
109,Anhöhe::N,కొండ,
110,Berg::N,పర్వతము,qaqqaq
111,Gipfel::N,శిఖరము,
112,Höhle::N,గుహ,qaarusuk
113,Abhang::N,ఏటవాలు,ippik
114,Abhang::N,ఏటవాలు,sivinganeq
115,Abhang::N,ఏటవాలు,sivingajaaq
116,Abhang::N,ఏటవాలు,kussangajaaq
117,Quelle::N,మూలము,
118,Bach::N,కాలువ,kuunnguaq
119,Fluss::N,నది,kuuk
120,Ufer::N,తీరము,sissap sinaa
121,Küste::N,తీరము,sineriak
122,Festland::N,భూమి,
123,Meer::N,సముద్రము,imaq
124,Bucht::N,మరుగు,ikeq
125,Bucht::N,మరుగు,kangerluk
126,Bucht::N,మరుగు,kangerliumaneq
127,Insel::N,దీవి,qeqertaq
128,Blume::N,పుష్పము,naasoq
129,Gras::N,పచ్చగడ్డి,ivigaq
130,Wurzel::N,వేరు,niulutaq
131,Baum::N,చెట్టు,orpik
132,Stamm::N,చెట్టుబోదె,kanaartaq
133,Rinde::N,చెట్టుపట్ట,ameraq
134,Ast::N,కొమ్మ,avalequt
135,Zweig::N,చివుకు,avalequt
136,Blatt::N,ఆకు,pilutaq
137,Birke::N,తరహా చెట్టు,patitsit
138,Kiefer[Baum]::N,దేవదారు చెట్టు,
139,Weide[Baum]::N,జాతిచెట్టు,palleq
140,Tanne::N,దేవదారుచెట్టు,orsuerneq
141,Horn::N,కొమ్ము,nassuk
142,Feder::N,ఈక,suluk
143,Fell::N,తోలు,ameq
144,Flügel::N,ఱెక్క,suluk
145,Flügel::N,ఱెక్క,isaroq
146,Klaue::N,వంకరగోరు,kukik
147,Kralle::N,వంకరగోరు,kukik
148,Schwanz::N,తోక,pamioq
149,Schwanz::N,తోక,paperuusaq
150,Ei::N,గ్రుడ్డు,mannik
151,Nest::N,పక్షిగూడు,ullut
152,Bau::N,గుహ,ini
153,Tier::N,జంతువు,uumasoq
154,Herde::N,మంద,unguukkat
155,Kuh::N,ఆవు,ussik
156,Bulle::N,గిత్త,angukulak
157,Bulle::N,గిత్త,anguteralak
158,Bulle::N,గిత్త,angutikulooq
159,Pferd::N,గుఱ్ఱము,
160,Schaf::N,గొఱ్ఱె,sava
161,Schwein::N,పంది,puuluki
162,Hund::N,కుక్క,qimmeq
163,Katze::N,పిల్లి,puisaaq
164,Bär::N,ఎలుగుబంటి,allaq
165,Eichhörnchen::N,ఉడుత,sissinnguaq
166,Elch::N,కణంజు,
167,Fuchs::N,గుంటనక్క,terianniaq
168,Hase::N,కుందేలు,ukaleq
169,Maus::N,చిట్టెలుక,teriannguaq
170,Wolf::N,తోడేలు,amaroq
171,Vogel::N,పక్షి,timmiaq
172,Schwarm::N,గుంపు,
173,Huhn::N,కోడిపిల్ల,kukkukooq
174,Huhn::N,కోడిపిల్ల,marloraaqaaq
175,Hahn::N,కోడివుంజు,kiasiusaq
176,Gans::N,ఆడుబాతు,nerleq
177,Adler::N,గ్రద్ద,nattoralik
178,Ente::N,పాట్టిబాతు,
179,Eule::N,గ్రుడ్లగూబ,uppik
180,Kranich::N,కొంగ,qorlorfik
181,Krähe::N,కాకి,tuluatsiaq
182,Kuckuck::N,కోయల,kukkooq
183,Schwan::N,హంస,qussuk
184,Fisch::N,చేప,aalisagaq
185,Barsch::N,ఒకచేఁప,
186,Hecht::N,గండుమీను,
187,Schlange[Tier]::N,పాము,pulateriarsuk
188,Schlange[Tier]::N,పాము,pulateriaarsuk
189,Wurm::N,పురుగు,
190,Spinne::N,సాలె పురుగు,aasiaq
191,Spinne::N,సాలె పురుగు,nissavaarsuk
192,Ameise::N,చీమ,uniaaluk
193,Laus::N,పేను,kumak
194,Mücke::N,చీకటీగ,ippernaq
195,Fliege::N,ఈగ,ippernaq
196,Schmetterling::N,సీతాకోకచిలుక,paluaq
197,Schmetterling::N,సీతాకోకచిలుక,pakkaluaq
198,Schmetterling::N,సీతాకోకచిలుక,utsuppaluaq
199,Schmetterling::N,సీతాకోకచిలుక,taqaleqisaaq
200,Beere::N,కాయ,paarmaq
201,Beere::N,కాయ,paarngaq
202,Apfel::N,ఆపిల్ పండు,iipili
203,Pilz::N,కుక్కగొడుగు,anngiusaq
204,Zwiebel::N,నీరుల్లి,uanitsoq
205,Saat::N,విత్తనము,naatsiiassaq
206,Korn::N,గింజ,maannineq
207,Heu::N,ఎండుగడ్డి,
208,Schale::N,పొట్టు,niutsivik
209,Schale::N,పొట్టు,ilulissaq qaartussaq
210,Grube::N,గొయ్యి,itersaq
211,Falle::N,బోను,pualavoq
212,Schlinge::N,ఉరి,orseq
213,Schlinge::N,ఉరి,norloq
214,Spur::N,జాడ,tumaa
215,Asche::N,బూడిద,arsat
216,Dreck::N,ముఱికి,minguk
217,Eisen::N,ఇనుము,savimineq
218,Eisen::N,ఇనుము,saffiugassaq
219,Gold::N,బంగారము,kuulti
220,Silber::N,వెండి,siilviuvoq
221,Kohle::N,నేలబొగ్గు,aamarsuit aamaruutissat
222,Glas::N,గాజు,igalaaq
223,Glas::N,గాజు,imertarfik
224,Glas::N,గాజు,igalaamineq
225,Lehm::N,బంకమన్ను,marraq
226,Sand::N,ఇసుక,sioqqat
227,Mensch::N,నరుడు,inuk
228,Mensch::N,నరుడు,silamiu
229,Mann::N,పురుమడు,angut
230,Frau::N,ఆడుది,arnaq
231,Kind::N,బిడ్డ,meeraq
232,Junge::N,బాలుడు,nukappiaraq
233,Mädchen::N,బాలిక,arnannguaq
234,Familie::N,కుటుంబము,ilaqutakka
235,Familie::N,కుటుంబము,ilaqutariit
236,Großvater::N,తాత,aatak
237,Großmutter::N,అయ్యమ్మ,aanaq
238,Eltern::N,తల్లితండ్రులు,angajoqqaat
239,Vater::N,తండ్రి,ataata
240,Vater::N,తండ్రి,ataataq
241,Mutter::N,తల్లి,anaana
242,Sohn::N,కొడుకు,erneq
243,Tochter::N,కూతురు,panik
244,Bruder::N,పోదరుడు,ani
245,Bruder::N,పోదరుడు,aqqaluk
246,Bruder::N,పోదరుడు,qatanngut
247,Schwester::N,సోదరి,naja
248,Schwester::N,సోదరి,aleqa
249,Schwester::N,సోదరి,qatanngut
250,Onkel::N,మేనమామ,akkak
251,Tante::N,మేనత్త,aja
252,Tante::N,మేనత్త,ajak
253,Tante::N,మేనత్త,atsak
254,Tante::N,పినతల్లి,aja
255,Tante::N,పినతల్లి,ajak
256,Tante::N,పినతల్లి,atsak
257,Ehemann::N,భర్త,ui
258,Ehefrau::N,భార్య,nuliaq
259,Freude::N,సంతోషము,tipaatsussuseq
260,Gelächter::N,నవ్వు,illaq
261,Glück::N,సంతోషము,usornaat
262,Glück::N,సంతోషము,usornarsuseq
263,Kummer::N,దుఃఖము,
264,Wunsch::N,కోరిక,kissaat
265,Lust::N,కోరిక,illigussuseq
266,Lust::N,కోరిక,piummaseq
267,Geist::N,ఆత్మ,anerneq
268,Geist::N,ఆత్మ,toornaq
269,Gedanke::N,ఆలోచన,isumassaq
270,Gedächtnis::N,జ్ఞాపకము,eqqaamannissuseq
271,Verstand::N,మనస్సు,isuma
272,Verstand::N,మనస్సు,sianissut
273,Verstand::N,మనస్సు,misigissut
274,Verstand::N,మనస్సు,sianissuseq
275,Verstand::N,మనస్సు,silaqassuseq
276,Sinn::N,అర్థము,isuma
277,Grund::N,కారణము,patsit
278,Wahrheit::N,సత్యము,sallusuissut
279,Gespräch::N,పంభాషణ,
280,Märchen::N,అద్భుతకథ,oqalualaarut
281,Märchen::N,అద్భుతకథ,oqaluasaaq
282,Erzählung::N,కథ,oqaluttuaq
283,Nachricht::N,వార్త,oqaassut
284,Nachricht::N,వార్త,oqqersuut
285,Neuigkeit::N,వార్త,tusarnartaq
286,Name::N,పేరు,ateq
287,Rätsel::N,చిక్కు,nalorsitsaarut
288,Rede::N,ఉపన్యాసము,oqaluuseq
289,Sprache::N,భాష,oqaatsit
290,Stimme::N,కంరథ్సని,erinaq
291,Stimme::N,కంరథ్సని,qarluuseq
292,Wort::N,మాట,oqaasii
293,Zeichen::N,గుర్తు,nalunaaqqut
294,Ruf::N,పిలువు,qaaqqussut
295,Lärm::N,సందడి,perpaluk
296,Laut::N,ధ్వని,torsukattak
297,Ton::N,స్వరము,erinaq
298,Lied::N,పాట,taalliaq
299,Lied::N,పాట,erinarsuut
300,Ruhe::N,గాలిలేమి,qatsunganeq
301,Leute::N,జనులు,inuiak
302,Leute::N,జనులు,inuiaqatigiit
303,Volk::N,జాతి,inuiaat
304,Arbeit::N,పని,suliaq
305,Gast::N,అతిధి,qaaqqusaq
306,Geschenk::N,దానము,pajugut
307,Spiel::N,ఆట,
308,Gesellschaft::N,జట్టు,
309,Hilfe::N,సాహాయ్యము,annertoqqut
310,Freund::N,స్నేహితుడు,tiliaq
311,Freund::N,స్నేహితుడు,ikinngut
312,Kamerad::N,చెలికాడు,tiliaq
313,Kamerad::N,చెలికాడు,ikinngut
314,Angelegenheit::N,విషయము,
315,Anzahl::N,లెక్క,
316,Art::N,జాతి,ileqquuseq
317,Stück::N,తునుక,nakkaalaniku
318,Teil::N,భాగము,tassiaasat
319,Hälfte::N,సగము,affaq
320,Kreis::N,వృత్తము,kaajaluinneq or kaajaluitsoq
321,Kreuz::N,సిలువ,sanningasulik
322,Linie::N,గీత,tittaq
323,Linie::N,గీత,titarneq
324,Strich::N,గీత,
325,Abstand::N,సందు,aku
326,Abstand::N,సందు,ikiaq
327,Entfernung::N,దూరము,asi
328,Gegend::N,విస్తీర్ణము,nuna
329,Platz::N,ఎడము,ini
330,Platz::N,ఎడము,inissaq
331,Ort::N,స్థలము,sumiiffik
332,Seite::N,ప్రక్క,saneraq
333,Mitte::N,నడిమి,qiteq
334,Gegenstand::N,పద్దు,
335,Sache::N,వస్తువు,pigisaq
336,Rand::N,అంచు,sini
337,Rand::N,అంచు,akerfineq
338,Kante::N,అంచు,akerfineq
339,Ecke::N,మూల,teqeqqoq
340,Ecke::N,మూల,tikeqqoq
341,Spitze::N,మొన,inngik
342,Ende::N,కొన,isu
343,Loch::N,రంధ్రము,putu
344,Winkel::N,కోణము,teqeqqorissaat
345,Muster::N,మాదిరి,ilisserut
346,Größe::N,పరిమాణము,angissuseq
347,Länge::N,పొడుగు,takissuseq
348,Höhe::N,పొడుగు,
349,Gewicht::N,భారము,oqimaalutaq
350,Menge::N,మొత్తము,amerlassuseq
351,Haufen::N,రాశి,eqimattat
352,Reihe::N,వరుస,allunaasaq
353,Boot::N,పడవ,qajaq
354,Boot::N,పడవ,angallat
355,Boot::N,పడవ,umiatsiaq
356,Ruder::N,అడక,iput
357,Schlitten::N,సరవండ్లు,qamutit
358,Schlitten::N,సరవండ్లు,qimusseq
359,Ski::N,స్కీ,ataarut
360,Lagerfeuer::N,నెగడు,
361,Last::N,బరువు,nammagaq
362,Gang::N,నడక,
363,Schritt::N,అడుగు,allorneq
364,Norden::N,ఉత్తరదిక్కు,avannaq
365,Süden::N,దక్షిణము,qava
366,Süden::N,దక్షిణము,kujat
367,Süden::N,దక్షిణము,kujataa
368,Westen::N,పడమర,kitaa
369,Osten::N,తూర్పు,kangi
370,Holz::N,కొయ్య,qisuk
371,Brett::N,పలక,salliligaq
372,Platte::N,పలక,qaateq
373,Stütze::N,వాల్సేడ్లు,ajagutaq
374,Stütze::N,వాల్సేడ్లు,ajaagutaq
375,Stange::N,స్తంభము,kaaviffik
376,Stock::N,కఱ్ఱ,ajaappissat
377,Stab::N,కఱ్ఱ,ajaappissat
378,Rohr::N,గొట్టము,sullulik
379,Haus::N,ఇల్లు,illu
380,Heim::N,స్వగృహము,
381,Ofen::N,పొయ్యి,kissarsuut
382,Fußboden::N,నేల,nateq
383,Tisch::N,మేజా,allattarfik
384,Stuhl::N,కుర్చీ,issiavik
385,Stuhl::N,కుర్చీ,issiaffik
386,Wiege::N,ఉయ్యాల,uaasoq
387,Bett::N,పడక,nallavik
388,Bett::N,మంచం,nallavik
389,Regal::N,అటక,ilisivik
390,Kiste::N,వెట్టె,sakissat
391,Kiste::N,వెట్టె,illerfiusaq
392,Fenster::N,కిటికి,aki
393,Fenster::N,కిటికి,igalaaq
394,Tür::N,ద్వారము,matu
395,Tor::N,ద్వారము,isaaffik
396,Zaun::N,కంచె,saputit
397,Dach::N,ఇంటివైకప్పు,qaliaq
398,Leiter::N,నిచ్చెన,tummeqqat
399,Leiter::N,నిచ్చెన,majuartarfiit
400,Besen::N,చీపురుకట్ట,saligutit
401,Spaten::N,పాఱ,nivaataq
402,Schaufel::N,పాఱ,nivaataq
403,Gabel::N,ముండ్లగరిటె,qilluaq
404,Gabel::N,ముండ్లగరిటె,ajassaatit
405,Löffel::N,గరిటె,alussaat
406,Messer::N,కత్తి,savik
407,Nagel::N,మేకు,kukik
408,Netz::N,వల,anguffaseq
409,Haken::N,కొక్కెము,nissik
410,Haken::N,కొక్కెము,qarsorsaq
411,Haken::N,కొక్కెము,qarsorsartoq
412,Griff::N,పిడి,ipi
413,Schloss::N,తాళము,illussaarsuaq
414,Bild::N,చిత్రము,assiliaq
415,Figur::N,రూపము,kisitsit
416,Puppe::N,బొమ్మ,inuusaq
417,Beutel::N,సంచి,
418,Bündel::N,మూట,qilertaq
419,Tasche::N,సంచి,pooqattaq
420,Eimer::N,చేద,
421,Deckel::N,మూత,matu
422,Geschirr::N,వంటకాలు,anut
423,Sack::N,గోనెసంచి,
424,Tasse::N,గిన్నె,tiitorfik
425,Tasse::N,గిన్నె,tiitorfiup ilorlia
426,Topf::N,కుండ,qoqqoq
427,Kessel::N,నీరుకాచుపాత్ర,uunnaavik
428,Essen::N,ఆహారము,igaaq
429,Nahrung::N,ఆహారము,neqissaq
430,Speise::N,ఆహారము,nerisassat
431,Fleisch::N,మాంసము,neqi
432,Getreide::N,ధాన్యము,maannineq
433,Brei::N,గుజ్జు,
434,Brot::N,రొట్టె,iffit
435,Brot::N,రొట్టె,iffiaq
436,Scheibe::N,బద్ద,igalaassiaq
437,Fett::N,క్రొవ్వు,tarnutissaq
438,Fett::N,క్రొవ్వు,tarnutissiaq
439,Butter::N,వెన్న,punneq
440,Öl::N,నూనె,uulia
441,Salz::N,ఉప్పు,taratsut
442,Suppe::N,చారు,qajoq
443,Honig::N,తెనె,tungusunnitsuut
444,Milch::N,పాలు,immuk
445,Tee::N,తేనీరు,tii
446,Tee::N,తేనీరు,teeq
447,Leder::N,బాగుచేసివతోలు,
448,Wolle::N,ఉన్ని,nuersagassiaq
449,Stoff::N,బట్ట,milliaq
450,Stoff::N,బట్ట,qarlissiaq
451,Nadel::N,సూది,meqqut
452,Faden::N,దారము,ujalussiaq
453,Knopf::N,బొత్తాము,attat
454,Knoten::N,ముడి,akeroq
455,Knoten::N,ముడి,qilerneq
456,Farbe::N,రంగు,qalipaat
457,Kleidung::N,బట్టలు,atisat
458,Kleidung::N,బట్టలు,annoraaq
459,Hemd::N,చొక్కాయ,ilupaaq
460,Kragen::N,మాల,qungasiinnaq
461,Ärmel::N,చొక్కాయచెయ్యి,aaq
462,Hose::N,ఇజారు,qarliit
463,Gürtel::N,పటకా,qiterut
464,Gürtel::N,పటకా,unngersaq
465,Mütze::N,టోపి,nasaq
466,Schuh::N,పాదరక్ష,skuu
467,Schuh::N,పాదరక్ష,ikernuk
468,Schuh::N,పాదరక్ష,ateraasaq
469,Stiefel::N,బూటు,kamik
470,Ring::N,ఉంగరము,assammiu
471,Band::N,నాడా,qilerutissiaq
472,Kamm::N,దువ్వెన,illaagutit
473,Kamm::N,దువ్వెన,illaajaatit pl.
474,Spiegel::N,అద్దము,tarrarsuut
475,Riemen::N,వాడా,allunaaq
476,Schnur::N,దారము,kujaaq
477,Schnur::N,దారము,allunaasaq
478,Leine::N,వారు,aleq
479,Decke::N,కంబళి,qipik
480,Kissen::N,తలగడ,akit
481,Tuch::N,బట్ట,qarlissiaq
482,Handtuch::N,తువాలు,allarut
483,Handtuch::N,తువాలు,allarterut
484,Kraft::N,బలము,pissak
485,Stärke::N,శక్తి,qerattarsaat
486,Gesundheit::N,ఆరోగ్యము,peqqisusseq
487,Krankheit::N,రోగము,nappaat
488,Schmerz::N,నొప్పి,anniaat
489,Wunde::N,గాయము,iki
490,Fieber::N,జ్వరము,nappaat qanimanartoq
491,Arznei::N,మందు,imigassaq
492,Brücke::N,వంతెన,ikaartarfik
493,Brunnen::N,బావి,tissaluttuliaq
494,Brunnen::N,కూపము,tissaluttuliaq
495,Brunnen::N,నుయ్యి,tissaluttuliaq
496,Weide::N,పచ్చికబయలు,masarsuk
497,Pfad::N,కాలిత్రోవ,aqqut
498,Weg::N,మార్గము,aggerfik
499,Straße::N,బాట,aqqusineq
500,Dorf::N,గ్రామము,nunaqarfik
501,Stadt::N,పట్టణము,illorpaat
502,Stadt::N,పట్టణము,illorpalik
503,Brief::N,జాబు,allagarsiaq
504,Buch::N,పుస్తకము,atuakkat
505,Buch::N,పుస్తకము,mappersagaq
506,Buchstabe::N,అక్షరము,naqinneq
507,Zeitung::N,వార్తాపత్రిక,aviisi
508,Leben::N,ప్రాణము,inuussuseq
509,Tod::N,మరణము,toqu
510,Tod::N,మరణము,toquneq
511,Grab::N,సమాధి,iliveq
512,Grab::N,సమాధి,illissat
513,Kirche::N,క్రెస్తవులగుడి,oqaluffik
514,Sünde::N,పాపము,ajorti
515,Gott::N,దేవుడు,
516,Arbeiter::N,పనిపాటుచేశేవాడు,sulisoq
517,Chef::N,యజమానుడు,ittoqut
518,Meister::N,కళాకారుడు,naalagaq
519,Arzt::N,వైద్యుడు,katsorsaasoq
520,Lehrer::N,ఉపాధ్యాయుడు,ilinniartitsisoq
521,Geld::N,ద్రవ్యము,aningaasat
522,Geschäft::N,వ్యాపారము,niuertarfik
523,Laden::N,అంగడి,niuertarfik
524,Preis::N,వెల,aki
525,Ware::N,సరకులు,qaliata pii
526,Ware::N,సరకులు,nioqqutissaq
527,Nutzen::N,ప్రయోజనము,iluaqut
528,Reichtum::N,ధనము,
529,Welt::N,ప్రపంచము,nunarsuaq
530,Land::N,దేశము,nuna
531,Staat::N,రాజ్యము,
532,König::N,రాజు,kunngi
533,Macht::N,అధికారము,pissaassuseq
534,Grenze::N,సరిహద్దు,killik
535,Krieg::N,యుద్ధము,sorsunneq
536,Feind::N,శత్రువు,akeraq
537,Feind::N,శత్రువు,akerartorti
538,Feind::N,శత్రువు,qinngarsuisoq
539,Gewalt::N,దౌర్జన్యము,
540,Kampf::N,పోట్లాట,sorsunneq
541,Bogen[Waffe]::N,విల్లు,
542,Pfeil::N,బాణము,qalugiusaq
543,Gewehr::N,తుపాకి,aallaat
544,Fehler::N,తప్ప,kukkuneq
545,Fehler::N,తప్ప,paarlaappaa
546,Lüge::N,అసత్యము,
547,Schaden::N,నష్టము,
548,Unglück::N,దురదృష్టము,perluut
549,Schuld::N,తప్పు,akiitsugaq
550,Schuld::N,తప్పు,akiligassaq
551,Alter::N,వయస్సు,utoqqaq
552,Schluss::N,ముగింపు,isu
553,Zeit::N,కాలము,ulloq
554,Zeit::N,కాలము,akuttoqatigiinneq
555,Tag::N,దినము,ulloq
556,Morgen::N,ఉదయము,ullaaq
557,Mittag::N,మధ్యాహ్నము,ulloqeqqa
558,Abend::N,సాయంకాలము,unnuk
559,Nacht::N,రత్రి,unnuaq
560,Woche::N,వారము,sapaatip akunnera
561,Monat::N,నెల,qaammat
562,Jahr::N,సంవత్సరము,ukioq
563,Frühling::N,వసంతకాలము,upernaaq
564,Sommer::N,వేసవికాము,aasaq
565,Herbst::N,ఆకురాలుకాలము,ukiaq
566,Winter::N,శీతకాలము,ukioq
567,Januar::N,జనవరి,siulleeq
568,Januar::N,జనవరి,qaammaliaq
569,Februar::N,ఫిబ్రవరి,aarlaat
570,März::N,మార్చి,marsi
571,März::N,మార్చి,martsi
572,April::N,ఏప్రిలు,
573,Mai::N,మే,maaji
574,Juni::N,జూన్,juuni
575,Juli::N,జూలై,juuli
576,August::N,ఆగస్టు,aggusti
577,September::N,సెప్ఠెంబరు,septembari
578,Oktober::N,అక్టోబరు,oktobari
579,November::N,నవంబరు,novembari
580,Dezember::N,డిసెంబర్,detsembari
581,Montag::N,సోమవారము,ataasinngortoq
582,Dienstag::N,మంగళవారము,marlunngorneq
583,Mittwoch::N,బుధవారము,pingasunngorneq
584,Donnerstag::N,గురువారము,sisamanngorneq
585,Freitag::N,శుక్రవారము,tallimanngorneq
586,Samstag::N,శనివారము,arfininngorneq
587,Sonntag::N,ఆదివారము,sapaat
588,Sonntag::N,ఆదివారము,sapaati
589,groß::A,గొప్పైన,angivoq
590,klein::A,చిన్న,mikivoq
591,lang::A,పొడుగాటి,takisooq
592,kurz::A,పొట్టి,naatsoq
593,breit::A,వెడల్పైన,silippoq
594,schmal::A,ఇఱుకైన,amitsoq
595,dicht::A,దట్టమైన,torsusooq
596,dick[Gegenstand]::A,దట్టమైన,issuvoq
597,dick[Gegenstand]::A,దట్టమైన,issusooq
598,dünn::A,పలుచని,amitsoq
599,fein::A,నాజాకైన,mamarpoq
600,fest::A,దృడమైవ,tangeqarpoq
601,flach::A,చదువైన,nalimmappoq
602,glatt::A,నున్నని,quasak
603,hart::A,కఠినమైన,mattusooq
604,hart::A,కఠినమైన,manngerpoq
605,hart::A,కఠినమైన,titeqquluppoq
606,weich::A,మృదువైన,nerumaarpoq
607,rund::A,గుండ్రని,ammallorippoq
608,spitz::A,మొనగల,qummukujooq
609,scharf::A,పదనైన,ipippoq
610,stumpf::A,వాడిలేని,anngerpoq
611,schwer::A,బరువ్తెన,oqimaappoq
612,schön::A,సుందరమైన,kusanarpoq
613,heiß::A,వేడియైన,kiappoq
614,warm::A,వెచ్చని,oqorpoq
615,kalt::A,చల్లని,issippoq
616,kühl::A,చల్లని,pueqqortippoq
617,frisch::A,తాజాయైన,
618,feucht::A,చెమ్మగానున్న,isugutavoq
619,feucht::A,చెమ్మగానున్న,qaasernarpoq
620,nass::A,తడిగామన్న,imerorpoq
621,trocken::A,ఎండిన,panerpoq
622,voll::A,నిండు,ulikkaarpoq
623,leer::A,శూన్యమైన,imaattuarpoq
624,offen::A,తెఱచియున్న,ammavoq
625,geschlossen::A,మూసిన,matuvoq
626,sauber::A,పరిశుద్ధమైన,eqqippoq
627,sauber::A,పరిశుద్ధమైన,sukuluippoq
628,sauber::A,పరిశుద్ధమైన,ipeqanngilaq
629,schmutzig::A,ముఱికియైన,tapappoq
630,schmutzig::A,ముఱికియైన,minguppoq
631,roh::A,పచ్చి,aapavoq
632,reif::A,పండివ,qaarulerpoq
633,lecker::A,రుచి గల,
634,süß::A,తియ్యని,tungusunnippoq
635,bitter::A,చేదైన,qasilippoq
636,sauer::A,పుల్లని,
637,hell::A,కాంతిగల,qaamavoq
638,dunkel::A,చీకటియైన,qernerpoq
639,schwarz::A,నల్లని,qernerpoq
640,weiß::A,తెలుపు,qaqorpoq
641,rot::A,ఎఱ్ఱని,aappaluppoq
642,gelb::A,పసుపు పచ్చ,sungaarpoq
643,blau::A,నీలవర్ణము,tungujorpoq
644,grün::A,ఆకుపచ్చని,qorsooqqippoq
645,grau::A,నెరిసిన,qaserpoq
646,bunt::A,రంగేలీ,
647,billig::A,చౌకయైన,akikippoq
648,teuer::A,వెలపొడుగైన,
649,wertvoll::A,విలుప్తెన,erlinnarpoq
650,blind::A,గ్రుడ్డి,tappiippoq
