,Concept_ID,mn,ta
233,Mädchen::N,бүсгүй,சிறுமி
234,Familie::N,айл,குடும்பம்
235,Großvater::N,өвгөн аав,தாத்தா
236,Großmutter::N,эмэг эх,பாட்டி
237,Großmutter::N,эмгээ,பாட்டி
238,Eltern::N,эцэг эх,பெற்றோர்
239,Vater::N,аав,தந்தை
240,Vater::N,эцэг,தந்தை
241,Mutter::N,эх,தாய்
242,Mutter::N,ээж,தாய்
243,Sohn::N,хүү,மகன்
244,Tochter::N,охин,மகள்
245,Bruder::N,ах,சகோதரன்
246,Bruder::N,дүү,சகோதரன்
247,Schwester::N,эгч,அக்கா
248,Schwester::N,охин дүү,அக்கா
249,Onkel::N,авга ах,தாய் மாமன்
250,Onkel::N,нагац ах,தாய் மாமன்
251,Tante::N,авга эгч,அத்தை
252,Tante::N,нагац эгч,அத்தை
253,Ehemann::N,нөхөр,கணவன்
254,Ehefrau::N,эхнэр,மனைவி
255,Ehefrau::N,гэргий,மனைவி
256,Freude::N,баяр,கொண்டாட்டம்
257,Freude::N,баясгалан,கொண்டாட்டம்
258,Gelächter::N,инээдэм,சிரிப்பு
259,Glück::N,жаргалан,மகிழ்ச்சி
260,Kummer::N,гаслан,துயரம்
261,Wunsch::N,ерөөл,விருப்பம்
262,Lust::N,дур,விருப்பம்
263,Lust::N,хүсэл,விருப்பம்
264,Geist::N,оюун,ஆன்மா
265,Gedanke::N,сэтгэл,எண்ணம்
266,Gedächtnis::N,ой,ஞாபகம்
267,Gedächtnis::N,цээж,ஞாபகம்
268,Verstand::N,ухаан,மனம்
269,Sinn::N,утга,அர்த்தம்
270,Grund::N,учир,காரணம்
271,Wahrheit::N,үнэн,உண்நை
272,Gespräch::N,яриа,பெசு
273,Märchen::N,явган үлгэр,நம்பத்தகாத கதை
274,Erzählung::N,тууж,கதை
275,Nachricht::N,мэдээ,செய்தி
276,Neuigkeit::N,сонин,செய்தி
277,Name::N,нэр,பெயர்
278,Rätsel::N,оньсого,புதிர்
279,Rede::N,хэлсэн үг,பேச்சு
280,Sprache::N,хэл,மொழி
281,Stimme::N,дуу,குரல்
282,Wort::N,үг,வார்த்தை
283,Zeichen::N,тамга,குறி
284,Zeichen::N,тэмдэг,குறி
285,Ruf::N,дуудлага,அழைப்பு
286,Lärm::N,шуугиан,சத்தம்
287,Lärm::N,чимээ,சத்தம்
288,Laut::N,анир,ஒலி
289,Laut::N,дуу,ஒலி
290,Ton::N,авиа,குரல்
291,Ton::N,аялгуу,குரல்
292,Lied::N,дуу,பாட்டு
293,Ruhe::N,энх,அமைதி
294,Ruhe::N,тайван,அமைதி
295,Leute::N,хүмүүс,மக்கள்
296,Volk::N,улс,மக்கள்
297,Arbeit::N,ажил,வேலை
298,Arbeit::N,хөдөлмөр,வேலை
299,Gast::N,зочин,விருந்தாளி
300,Gast::N,айлчин,விருந்தாளி
301,Geschenk::N,бэлэг,பரிசுப் பொருள்
302,Spiel::N,наадам,விளையாட்டு
303,Spiel::N,тоглоом,விளையாட்டு
304,Gesellschaft::N,хамт байх,சமுதாயம்
305,Hilfe::N,тусламж,உதவி
306,Freund::N,найз,நண்பன்
307,Freund::N,нөхөр,நண்பன்
308,Kamerad::N,хань,உடனிருப்பவன்
309,Kamerad::N,нөхөр,உடனிருப்பவன்
310,Angelegenheit::N,хэрэг,செய்தி
311,Anzahl::N,тоо,எண்ணிக்கை
312,Art::N,төрөл,வகை
313,Art::N,янз,வகை
314,Stück::N,хэсэг,துண்டம்
315,Teil::N,хувь,பகுதி
316,Teil::N,хэсэг,பகுதி
317,Hälfte::N,хагас,பாதி
318,Kreis::N,тойрог,வட்டம்
319,Kreis::N,хүрээ,வட்டம்
320,Kreuz::N,загалмай,சிலுவை
321,Linie::N,шугам,கோடு
322,Strich::N,зураас,வாத நோய்
323,Abstand::N,зай,இடைவெளி
324,Entfernung::N,зай,தூரம்
325,Entfernung::N,хол ойр,தூரம்
326,Gegend::N,хавь,வட்டாரம்
327,Gegend::N,газар,வட்டாரம்
328,Platz::N,зай,வெற்றிடம்
329,Platz::N,завсар,வெற்றிடம்
330,Ort::N,газар,இடம்
331,Ort::N,байр,இடம்
332,Seite::N,тал,பக்கம்
333,Seite::N,этгээд,பக்கம்
334,Mitte::N,төв,இடைப்பகுதி
335,Mitte::N,дунд,இடைப்பகுதி
336,Gegenstand::N,юм,உருப்படி
337,Sache::N,үйл,பொருள்
338,Sache::N,хэрэг,பொருள்
339,Rand::N,зах,தொங்கு
340,Rand::N,хөвөө,தொங்கு
341,Kante::N,ирмэг,விளிம்பு
342,Ecke::N,өнцөг,மூலை
343,Spitze::N,үзүүр,முனை
344,Ende::N,зах,முடிவு
345,Ende::N,үзүүр,முடிவு
346,Loch::N,цоорхой,துளை
347,Loch::N,онгорхой,துளை
348,Winkel::N,өнцөг,கோணம்
349,Muster::N,хээ,பாங்கு
350,Muster::N,угалз,பாங்கு
351,Größe::N,хэмжээ,அளவு
352,Länge::N,урт,நீளம்
353,Höhe::N,өндөр,உயரம்
354,Gewicht::N,жин,எடை
355,Menge::N,тоо,தொகை
356,Haufen::N,бөөн,குவியல்
357,Reihe::N,эгнээ,வரிசை
358,Boot::N,завь,படகு
359,Ruder::N,сэлүүр,துடுப்பு
360,Schlitten::N,чарга,சகடையிலா வண்டி
361,Ski::N,цана,பனிச் சறுக்கல்
362,Lagerfeuer::N,түүдэг,மூட்டம்
363,Last::N,ачаа,பாரம்
364,Gang::N,явдал,நடை
365,Schritt::N,алхам,காலடி
366,Norden::N,умар,வடக்கு
367,Süden::N,урд,தெற்கு
368,Süden::N,өмнө,தெற்கு
369,Westen::N,өрнө,மேற்கு திசை
370,Westen::N,баруун,மேற்கு திசை
