,Concept_ID,ja,he
300,Ort::N,所,אתר
301,Ort::N,所,מקום
302,Ort::N,場所,אתר
303,Ort::N,場所,מקום
304,Seite::N,横,צד
305,Mitte::N,真ん中,אמצע
306,Gegenstand::N,物件,אוביקט
307,Sache::N,物,דבר
308,Rand::N,端,פרור
309,Kante::N,縁,קצה
310,Ecke::N,角,פנה
311,Spitze::N,先頭,קצה
312,Ende::N,端,סוף
313,Loch::N,穴,חר
314,Winkel::N,片隅,פנה
315,Muster::N,模様,תבנית
316,Größe::N,大きさ,גדל
317,Länge::N,長さ,ארך
318,Höhe::N,高さ,קומה
319,Höhe::N,高さ,גבה
320,Gewicht::N,重さ,משקל
321,Menge::N,量,כמות
322,Haufen::N,堆積,ערמה
323,Reihe::N,並び,רצף
324,Boot::N,ボート,סירה
325,Ruder::N,オール,משוט
326,Schlitten::N,そり,מזחלת
327,Ski::N,スキー,מגלשים
328,Lagerfeuer::N,篝火,מדורה
329,Last::N,荷物,משא
330,Gang::N,歩み,הליכה
331,Schritt::N,歩,צעד
332,Norden::N,北,צפון
333,Süden::N,南,דרום
334,Westen::N,西,מערב
335,Osten::N,東,מזרח
336,Holz::N,木,עץ
337,Holz::N,木材,עץ
338,Brett::N,板,קרש
339,Platte::N,盤,לוח
340,Stütze::N,支柱,משען
341,Stange::N,棒,מוט
342,Stock::N,杖,מקל
343,Stab::N,棒,מוט
344,Rohr::N,管,צנור
345,Haus::N,家,בית
346,Heim::N,家,בית
347,Ofen::N,ストーブ,תנור
348,Fußboden::N,床,רצפה
349,Tisch::N,机,שלחן
350,Stuhl::N,椅子,כסא
351,Wiege::N,揺籃,ערש
352,Bett::N,ベッド,מטה
353,Regal::N,棚,מדף
354,Kiste::N,箱,תבה
355,Kiste::N,箱,ארגז
356,Fenster::N,窓,חלון
357,Tür::N,戸,דלת
358,Tür::N,ドア,דלת
359,Tor::N,門,שער
360,Zaun::N,垣根,גדר
361,Dach::N,屋根,גג
362,Leiter::N,梯子,סלם
363,Besen::N,ほうき,מטאטא
364,Spaten::N,スコップ,את
365,Schaufel::N,シャベル,את
366,Gabel::N,フォーク,מזלג
367,Löffel::N,スプーン,כף
368,Messer::N,ナイフ,סכין
369,Nagel::N,釘,מסמר
370,Netz::N,網,רשת
371,Haken::N,鉤,וו
372,Haken::N,鉤,קרס
373,Haken::N,フック,וו
374,Haken::N,フック,קרס
375,Griff::N,取っ手,ידית
376,Schloss::N,錠,מנעול
377,Bild::N,絵,תמונה
378,Figur::N,像,פסל
379,Puppe::N,人形,בבה
380,Beutel::N,袋,שק
381,Bündel::N,束,צרור
382,Bündel::N,包み,צרור
383,Tasche::N,かばん,שקית
384,Eimer::N,バケツ,דלי
385,Deckel::N,蓋,מכסה
386,Geschirr::N,食器,כלים
387,Sack::N,袋,שק
388,Tasse::N,カップ,ספל
389,Topf::N,鍋,סיר
390,Kessel::N,釜,קנקן
391,Essen::N,食事,אכל
392,Essen::N,食事,ארוחה
393,Nahrung::N,食物,הזנה
394,Nahrung::N,食物,תזונה
395,Speise::N,料理,מאכל
396,Speise::N,料理,ארוחה
397,Fleisch::N,肉,בשר
398,Getreide::N,麦,דגן
399,Getreide::N,穀物,דגן
400,Brei::N,粥,מחית
401,Brot::N,パン,לחם
402,Scheibe::N,枚,עגול
403,Scheibe::N,枚,פרוסה
404,Scheibe::N,切れ,עגול
405,Scheibe::N,切れ,פרוסה
406,Fett::N,脂肪,שמן
407,Butter::N,バター,חמאה
408,Öl::N,油,שמן
409,Salz::N,塩,מלח
410,Suppe::N,スープ,מרק
411,Honig::N,蜂蜜,דבש
412,Milch::N,牛乳,חלב
413,Tee::N,茶,תה
414,Tee::N,お茶,תה
415,Leder::N,革,עור
416,Wolle::N,毛糸,צמר
417,Stoff::N,布,בד
418,Stoff::N,布,אריג
419,Nadel::N,針,מחט
420,Faden::N,糸,חוט
421,Knopf::N,ボタン,כפתור
422,Knoten::N,結び目,קשר
423,Farbe::N,ペンキ,צבע
424,Kleidung::N,衣服,בגדים
425,Hemd::N,シャツ,חלצה
426,Kragen::N,襟,צוארון
427,Ärmel::N,袖,שרוול
428,Hose::N,ズボン,מכנסים
429,Gürtel::N,帯,חגורה
430,Gürtel::N,ベルト,חגורה
431,Mütze::N,帽子,כובע
432,Schuh::N,靴,נעל
433,Stiefel::N,ブーツ,מגף
434,Ring::N,輪,טבעת
435,Band::N,リボン,סרט
436,Kamm::N,櫛,מסרק
437,Spiegel::N,鏡,מראה
438,Riemen::N,緒,רצועה
439,Schnur::N,紐,חבל
440,Leine::N,綱,מושכות
441,Decke::N,掛け布団,שמיכה
442,Kissen::N,枕,כרית
443,Tuch::N,スカーフ,צעיף
444,Handtuch::N,タオル,מגבת
445,Kraft::N,力,כוח
446,Stärke::N,強さ,און
447,Gesundheit::N,健康,בריאות
448,Krankheit::N,病気,מחלה
449,Schmerz::N,痛み,כאב
450,Wunde::N,傷,פציעה
451,Fieber::N,熱,חם
452,Arznei::N,薬,תרופה
453,Brücke::N,橋,גשר
454,Brunnen::N,井戸,באר
455,Weide::N,牧場,אחו
456,Weide::N,牧場,מרעה
457,Pfad::N,小路,שביל
458,Pfad::N,小路,מדרכה
459,Weg::N,道,דרך
460,Straße::N,街道,כביש
461,Dorf::N,村,כפר
462,Stadt::N,町,עיר
463,Stadt::N,都市,עיר
464,Brief::N,手紙,מכתב
465,Buch::N,本,ספר
466,Buchstabe::N,文字,אות
467,Zeitung::N,新聞,עתון
468,Leben::N,生活,חיים
469,Tod::N,死,מות
470,Grab::N,墓,קבר
471,Kirche::N,教会,כנסיה
472,Sünde::N,罪,חטא
473,Gott::N,神,אל
474,Arbeiter::N,労働者,פועל
475,Chef::N,上司,ראש
476,Chef::N,上司,מנהל
477,Meister::N,達人,ממחה
478,Meister::N,マイスター,ממחה
479,Arzt::N,医者,רופא
480,Lehrer::N,先生,מורה
481,Geld::N,金,כסף
482,Geschäft::N,取り引き,עסקה
483,Laden::N,店,חנות
484,Preis::N,値段,מחיר
485,Ware::N,商品,סחורה
486,Nutzen::N,利益,תועלת
487,Reichtum::N,豊かさ,עשר
488,Welt::N,世界,עולם
489,Land::N,国,ארץ
490,Staat::N,国家,מדינה
491,König::N,国王,מלך
492,Macht::N,権力,כוח
493,Grenze::N,国境,גבול
494,Krieg::N,戦争,מלחמה
495,Feind::N,敵,אויב
496,Gewalt::N,暴力,אלימות
497,Kampf::N,戦い,קרב
498,Kampf::N,戦い,לחימה
499,Bogen[Waffe]::N,弓,קשת
500,Pfeil::N,矢,חץ
501,Gewehr::N,銃,רובה
502,Fehler::N,間違い,טעות
503,Lüge::N,嘘,שקר
504,Schaden::N,損害,נזק
505,Unglück::N,不幸,מזל רע
506,Schuld::N,罪,אשמה
507,Alter::N,年,גיל
508,Alter::N,年齢,גיל
509,Schluss::N,終わり,סיום
510,Zeit::N,時,זמן
511,Zeit::N,時間,זמן
512,Tag::N,日,יום
513,Morgen::N,朝,בקר
514,Mittag::N,昼,צהרים
515,Abend::N,晩,ערב
516,Abend::N,夕方,ערב
517,Nacht::N,夜,לילה
518,Woche::N,週,שבוע
519,Monat::N,月,חדש
520,Jahr::N,年,שנה
521,Frühling::N,春,אביב
522,Sommer::N,夏,קיץ
523,Herbst::N,秋,סתו
524,Winter::N,冬,חרף
525,Januar::N,一月,ינואר
526,Februar::N,二月,פברואר
527,März::N,三月,מרץ
528,April::N,四月,אפריל
529,Mai::N,五月,מאי
530,Juni::N,六月,יוני
531,Juli::N,七月,יולי
532,August::N,八月,אוגוסט
533,September::N,九月,ספטמבר
534,Oktober::N,十月,אוקטובר
535,November::N,十一月,נובמבר
536,Dezember::N,十二月,דצמבר
537,Montag::N,月曜日,יום שני
538,Dienstag::N,火曜日,יום שלישי
539,Mittwoch::N,水曜日,יום רביעי
540,Donnerstag::N,木曜日,יום חמישי
541,Freitag::N,金曜日,יום ששי
542,Samstag::N,土曜日,יום שבת
543,Sonntag::N,日曜日,יום ראשון
544,groß::A,大きい,גדול
545,klein::A,小さい,קטן
546,lang::A,長い,ארך
547,kurz::A,短い,קצר
548,breit::A,広い,רחב
549,schmal::A,狭い,צר
550,dicht::A,密な,צפוף
551,dick[Gegenstand]::A,厚い,עבה
552,dünn::A,薄い,דק
553,fein::A,細い,מעדן
554,fest::A,硬い,מוצק
555,flach::A,平らな,שטוח
556,glatt::A,滑らかな,חלק
557,hart::A,堅い,קשיח
558,weich::A,柔らかい,רך
559,rund::A,丸い,עגל
560,spitz::A,尖った,חד
561,scharf::A,鋭い,חד
562,stumpf::A,鈍い,קהה
563,schwer::A,重い,כבד
564,schön::A,綺麗な,יפה
565,heiß::A,熱い,חם
566,warm::A,温かい,חם
567,kalt::A,寒い,קר
568,kalt::A,冷たい,קר
569,kühl::A,涼しい,צונן
570,frisch::A,ひんやりした,טרי
571,feucht::A,湿った,לח
572,nass::A,濡れた,רטוב
573,trocken::A,乾いた,יבש
574,voll::A,いっぱいの,מלא
575,leer::A,空の,ריק
576,offen::A,開いた,פתוח
577,geschlossen::A,閉まった,סגור
578,sauber::A,清潔な,נקי
579,schmutzig::A,汚い,מלכלך
580,roh::A,生の,חי
581,reif::A,熟した,בשל
582,lecker::A,美味しい,טעים
583,süß::A,甘い,מתוק
584,bitter::A,苦い,מר
585,sauer::A,酸っぱい,חמוץ
586,hell::A,明るい,בהיר
587,dunkel::A,暗い,עמום
588,schwarz::A,黒い,שחר
589,weiß::A,白い,לבן
590,rot::A,赤い,אדם
591,gelb::A,黄色い,צהב
592,blau::A,青い,כחל
593,grün::A,緑の,ירק
594,grau::A,灰色の,אפר
595,bunt::A,色取り取りの,צבעוני
596,billig::A,安い,זול
597,teuer::A,高い,יקר
598,wertvoll::A,貴重な,יקר ערך
599,blind::A,盲目の,עור
600,taub::A,耳が聞こえない,חרש
601,kräftig::A,強力な,חסן
602,stark::A,強い,חזק
603,schwach::A,弱い,חלש
604,fett::A,太った,שמן
605,schlank::A,ほっそりした,רזה
606,hübsch::A,素敵な,יפה תאר
607,böse::A,悪い,רשע
608,dumm::A,馬鹿な,טפש
609,faul::A,怠惰な,עצלן
610,fleißig::A,勤勉な,חרוץ
611,geizig::A,けちな,קמצן
612,klug::A,賢い,נבון
613,klug::A,賢い,פקח
614,klug::A,頭のいい,נבון
615,klug::A,頭のいい,פקח
616,geschickt::A,器用な,מימן
617,lieb::A,愛らしい,יקר
618,lieb::A,愛らしい,אהוב
619,lustig::A,楽しい,עליז
620,sanft::A,温和な,עדין
621,hungrig::A,空腹の,רעב
622,krank::A,病気の,חולה
623,nackt::A,裸の,ערום
624,traurig::A,悲しい,עצוב
625,lebendig::A,生きた,חי
626,gut::A,良い,טוב
627,schlecht::A,悪い,גרוע
628,schlecht::A,駄目な,גרוע
629,richtig::A,正しい,נכון
630,schlimm::A,ひどい,רע
631,wahr::A,本当の,אמתי
632,alt::A,古い,ישן
633,neu::A,新しい,חדש
634,ehemalig::A,以前の,לשעבר
635,alt[Lebewesen]::A,年を取った,זקן
636,jung::A,若い,צעיר
637,arm::A,貧乏な,עני
638,reich::A,裕福な,עשיר
639,bekannt::A,有名な,ידוע
640,berühmt::A,有名な,מפרסם
641,fremd::A,見知らぬ,זר
642,verschieden::A,色々な,שונה
643,nah::A,近い,קרוב
644,fern::A,遠い,רחוק
645,linker::A,左の,שמאלי
646,rechter::A,右の,ימין
647,anderer::A,別の,אחר
648,erster::A,一番目,ראשון
649,zweiter::A,二番目,שני
650,dritter::A,三番目,שלישי
651,letzter::A,最後の,אחרון
652,allein::ADV,一人で,לבד
653,auf einmal::ADV,同時に,בו-זמנית
654,zusammen::ADV,一緒に,ביחד
655,lange::ADV,長い間,הרבה זמן
656,plötzlich::ADV,急に,לפתע
657,plötzlich::ADV,急に,פתאום
658,sofort::ADV,すぐに,מיד
659,später::ADV,後で,לאחר זמן
660,später::ADV,後で,יותר מאחר
661,jetzt::ADV,今,עכשיו
662,heute::ADV,今日,היום
663,morgen::ADV,明日,מחר
664,bald::ADV,間もなく,בקרוב
665,dann::ADV,それから,אחר-כך
666,gestern::ADV,昨日,אתמול
667,einst::ADV,過去に,לפנים
668,damals::ADV,あの時,אז
669,danach::ADV,その後で,אחר-כך
670,vorher::ADV,以前に,לפני זה
671,zuerst::ADV,まず,קדם
672,zuerst::ADV,最初に,קדם
673,einmal::ADV,一回,פעם
674,manchmal::ADV,時々,לפעמים
675,oft::ADV,よく,לעתים קרובות
676,immer::ADV,いつも,תמיד
677,niemals::ADV,一度も...ない,אף פעם
678,hier::ADV,こちら,כאן
679,hierhin::ADV,ここへ,פה
680,hierhin::ADV,こちらへ,פה
681,von hier::ADV,ここから,מפה
682,dort::ADV,そちら,שם
683,dorthin::ADV,そこへ,שם
684,dorthin::ADV,そちらへ,שם
685,geradeaus::ADV,真っ直ぐに,ישר
686,vorwärts::ADV,前へ,קדימה
687,rückwärts::ADV,後ろへ,לאחור
688,zurück::ADV,後ろへ,בחזרה
689,zurück::ADV,後ろへ,אחורנית
690,unten::ADV,下に,למטה
691,hinab::ADV,下へ,למטה
692,oben::ADV,上に,מעל
693,oben::ADV,上に,למעלה
694,hinauf::ADV,上へ,למעלה
695,überall::ADV,どこでも,בכל מקום
696,nicht::ADV,ない,לא
697,ein wenig::ADV,少し,קצת
698,ein wenig::ADV,ちょっと,קצת
699,kaum::ADV,ほとんど～ない,בקשי
700,sehr::ADV,とても,מאוד
701,so::ADV,こう,כך
702,so::ADV,こう,ככה
703,noch::ADV,まだ,עוד
704,noch::ADV,まだ,עדין
705,nur::ADV,～だけ,רק
706,schon::ADV,もう,כבר
707,wieder::ADV,再び,שוב
708,vergebens::ADV,無駄に,לריק
709,vergebens::ADV,無駄に,לשוא
710,vor::PRP,前に,מול
711,hinter::PRP,後ろに,מאחורי
712,unter::PRP,下に,מתחת
713,durch::PRP,通して,דרך
714,neben::PRP,横に,ליד
715,neben::PRP,横に,על-יד
716,zwischen::PRP,間に,בין
717,wegen::PRP,為に,בשל
718,wegen::PRP,為に,בגלל
719,wegen::PRP,せいで,בשל
720,wegen::PRP,せいで,בגלל
721,dies::PRN,これ,זה
722,das::PRN,それ,זה
723,alles::PRN,全部,הכל
724,ich::PRN,私,אני
725,du::PRN,あなた,את
726,du::PRN,あなた,אתה
727,er::PRN,彼,הוא
728,wir::PRN,私達,אנחנו
729,ihr::PRN,あなた達,לה
730,sie::PRN,彼ら,הם
731,was::FPRN,何,מה
732,wer::FPRN,誰,מי
733,wer::FPRN,どなた,מי
734,wo::FADV,どこ,איפה
735,wo::FADV,どこに,איפה
736,wohin::FADV,どこへ,לאן
737,wie::FADV,どう,איך
738,warum::FADV,何故,למה
739,warum::FADV,どうして,למה
740,wieviel::FNUM,どのくらい,כמה
741,eins::NUM,一,אחד
742,zwei::NUM,二,שתים
743,zwei::NUM,二つ,שתים
744,drei::NUM,三,שלושה
745,drei::NUM,三つ,שלושה
746,vier::NUM,四,ארבעה
747,vier::NUM,四つ,ארבעה
748,fünf::NUM,五,חמשה
749,fünf::NUM,五つ,חמשה
750,sechs::NUM,六,ששה
751,sechs::NUM,六つ,ששה
752,sieben::NUM,七,שבעה
753,sieben::NUM,七つ,שבעה
754,acht::NUM,八,שמונה
755,acht::NUM,八つ,שמונה
756,neun::NUM,九,תשעה
757,neun::NUM,九つ,תשעה
758,zehn::NUM,十,עשרה
759,elf::NUM,十一,אחת עשרה
760,zwölf::NUM,十二,שתים עשרה
761,zwanzig::NUM,二十,עשרים
762,dreißig::NUM,三十,שלושים
763,vierzig::NUM,四十,ארבעים
764,fünfzig::NUM,五十,חמשים
765,sechzig::NUM,六十,ששים
766,siebzig::NUM,七十,שבעים
767,achtzig::NUM,八十,שמונים
768,neunzig::NUM,九十,תשעים
769,hundert::NUM,百,מאה
770,tausend::NUM,千,אלף
771,und::CNJ,-と,ו
772,und::CNJ,そして,ו
773,oder::CNJ,或いは,או
774,stehen::V,立っている,עמד
775,sitzen::V,座っている,ישב
776,liegen::V,横になっている,שכב
777,hängen::V,掛かっている,היה תלוי
778,werden::V,なる,הפך ל
779,passieren::V,起こる,קרה
780,beginnen::V,始まる,התחיל
781,enden::V,終わる,הסתים
782,wechseln::V,変わる,השתנה
783,aufgehen[Sonne]::V,出る,זרח
784,untergehen[Sonne]::V,沈む,שקע
785,scheinen[Sonne]::V,輝く,בהק
786,donnern::V,雷が鳴る,רעם
787,wehen::V,吹く,נשב
788,strömen::V,流れる,זרם
789,fließen::V,流れる,זרם
790,sich drehen::V,回転する,הסתובב
791,schwanken::V,揺れる,התנודד
792,schwingen::V,振動する,התנענע
793,fallen::V,落ちる,נפל
794,brennen::V,燃える,בער
795,rauchen::V,煙を出す,עשן
796,regnen::V,雨が降る,ירד גשם
797,gefrieren::V,凍る,קפא
798,tauen::V,溶ける,נמס
799,schmelzen::V,溶ける,התיך
800,trocknen::V,乾く,התיבש
801,sieden::V,沸く,רתח
802,faulen::V,腐る,רקב
803,verfaulen::V,朽ちる,רקב
804,reißen::V,切れる,נקרע
805,versinken::V,沈む,טבע
806,vergehen::V,経つ,עבר
807,erscheinen::V,現れる,נגלה
808,erscheinen::V,現れる,הופיע
809,verschwinden::V,消える,נעלם
810,sinken::V,下がる,ירד
811,abnehmen::V,減る,הפחית
812,zunehmen::V,増える,רבה
813,steigen::V,上がる,עלה
814,wachsen::V,伸びる,גדל
815,glänzen::V,輝く,נצץ
816,glänzen::V,輝く,בהק
817,funkeln::V,ぴかぴか光る,נצנץ
818,lärmen::V,騒ぐ,רעש
819,läuten::V,鳴る,צלצל
820,klingeln::V,鳴る,צלצל
821,klirren::V,がらんがらんと鳴る,קרקש
822,brausen::V,逆巻く,געש
823,rauschen::V,戦ぐ,רשרש
824,klingen::V,鳴る,נשמע
825,bellen::V,吠える,נבח
826,heulen::V,きゃんきゃん鳴く,ילל
827,blasen::V,吹く,נשף
828,pfeifen::V,口笛を吹く,שרק
