,Concept_ID,he,ady
150,Eichhörnchen::N,סנאי,цызэ́
151,Elch::N,דישון,лось
152,Fuchs::N,שועל,баджэ́
153,Hase::N,ארנב,тхьакӏумкӏы́хь
154,Maus::N,עכבר,цыгъо́
155,Wolf::N,זאב,тыгъу́жъ
156,Vogel::N,צפור,бзы́у
157,Schwarm::N,נחיל,отэр
158,Schwarm::N,להקה,отэр
159,Huhn::N,תרנגלת,чэты́
160,Hahn::N,תרנגול,атакъэ́
161,Gans::N,אוז,къа́з
162,Adler::N,עיט,
163,Ente::N,ברוז,псычэ́т
164,Eule::N,ינשוף,тыгъурыгъу
165,Kranich::N,עגור,къэрэ́у
166,Kranich::N,כרוכיה,къэрэ́у
167,Krähe::N,עורב,къолэ́жъ
168,Kuckuck::N,קוקיה,куку́у
169,Schwan::N,ברבור,
170,Fisch::N,דג,пцэжъы́й
171,Barsch::N,אוקונוס,тхыкъэц
172,Hecht::N,זאב הים,лэнд
173,Schlange[Tier]::N,נחש,блэ́
174,Wurm::N,תולעת,хьамлыу
175,Spinne::N,עכביש,бэдж
176,Ameise::N,נמלה,къамзэ́гу
177,Laus::N,כנה,цӏэ
178,Mücke::N,יתוש,аргъо́й
179,Fliege::N,זבוב,бадзэ́
180,Schmetterling::N,פרפר,хьампӏыра́шъу
181,Beere::N,ענבה,маткӏо
182,Apfel::N,תפוח,мыӏэры́с
183,Pilz::N,פטריה,хьаӏу
184,Zwiebel::N,בצל,бжьыны́
185,Saat::N,זרעים,чылапхъ
186,Korn::N,גרעין,цэ
187,Heu::N,חציר,мэкъу
188,Schale::N,קלפה,кӏы́шъу
189,Grube::N,בור,машэ́
190,Grube::N,שוחה,машэ́
191,Falle::N,מלכדת,зэраубытырэ́ ӏэмэпсы́м
192,Schlinge::N,לולאה,бзыуубыт
193,Spur::N,עקבה,ужы
194,Spur::N,עקבה,лъэуж
195,Asche::N,אפר,яжьэ́
196,Dreck::N,זהמה,псынжъы
197,Eisen::N,ברזל,гыучӏы́
198,Eisen::N,ברזל,къэнджа́л
199,Gold::N,זהב,дышъэ́
200,Silber::N,כסף,тыжьы́н
201,Kohle::N,פחם,шӏомыкӏ
202,Glas::N,זכוכית,апч
203,Lehm::N,חרסית,етӏагъо́
204,Sand::N,חול,пшахъо
205,Mensch::N,אדם,цӏыфы́
206,Mann::N,איש,хъулъфы́гъ
207,Mann::N,גבר,хъулъфы́гъ
208,Frau::N,אשה,бӏылъфыгъэ́
209,Frau::N,גברת,бӏылъфыгъэ́
210,Kind::N,ילד,кӏэлэцӏы́кӏу
211,Junge::N,ילד,кӏэлэцӏы́кӏу
212,Mädchen::N,נערה,пшъэшъэжъый
213,Familie::N,משפחה,быны́
214,Familie::N,משפחה,уна́гъу
215,Großvater::N,סבא,тэтэ́жъ
216,Großmutter::N,סבתא,нэнэ́жъ
217,Eltern::N,הורים,ны-тыхэ́р
218,Vater::N,אב,ты
219,Mutter::N,אם,ны
220,Sohn::N,בן,къо
221,Tochter::N,בת,пхъу
222,Bruder::N,אח,шы
223,Schwester::N,אחות,шы́пхъу
224,Onkel::N,דוד,янэ́ш
225,Tante::N,דודה,атэшыпхъу
226,Ehemann::N,איש,лӏы
227,Ehemann::N,בעל,лӏы
228,Ehefrau::N,אשה,шъу́з
229,Freude::N,שמחה,гушӏуа́гъу
230,Gelächter::N,צחוק,щхыныр
231,Glück::N,אשר,насы́п
232,Kummer::N,יגון,тхьамыкӏагъу
233,Kummer::N,עגמה,тхьамыкӏагъу
234,Wunsch::N,אחול,шӏонгъоны́гъ
235,Wunsch::N,משאלה,шӏонгъоны́гъ
236,Lust::N,חשק,шӏонгъоны́гъ
237,Lust::N,תשוקה,шӏонгъоны́гъ
238,Geist::N,רוח,гу
239,Gedanke::N,מחשבה,гупшыс
240,Gedächtnis::N,זכרון,память
241,Verstand::N,שכל,акъы́л
242,Sinn::N,מובן,мэхьанэ
243,Sinn::N,משמעות,мэхьанэ
244,Grund::N,סבה,ушъхьагъу
245,Wahrheit::N,אמת,шъыпкъэ́
246,Gespräch::N,דיון,гущыӏ
247,Märchen::N,אגדה,пшысэ
248,Erzählung::N,ספור,къэба́р
249,Nachricht::N,ידיעה,къэба́р
250,Neuigkeit::N,חדשה,къэбарыкӏ
251,Name::N,שם,цӏэ
252,Rätsel::N,תעלומה,коджэхь-къоджэшх
253,Rede::N,נאום,гущыӏ
254,Sprache::N,לשון,бзэ
255,Stimme::N,קול,макъэ́
256,Wort::N,מלה,гущыӏ
257,Zeichen::N,סימן,тамы́гъ
258,Ruf::N,קריאה,джэ макъ
259,Lärm::N,רעש,макъэ
260,Laut::N,הגה,макъэ
261,Ton::N,צליל,
262,Lied::N,שיר,орэ́д
263,Ruhe::N,שלוה,самбырыныгъ
264,Leute::N,אנשים,цӏыфхэ́р
265,Volk::N,עם,цӏыф лъэпкъ
266,Arbeit::N,עבודה,ӏофшӏакӏэ́н
267,Gast::N,אורח,хьакӏэ́
268,Geschenk::N,מתנה,шӏухьафтын
269,Spiel::N,משחק,еоны́р
270,Spiel::N,משחק,джэгуны́р
271,Spiel::N,משחק,къегъэӏоны́р
272,Gesellschaft::N,חברה,обществ
273,Hilfe::N,עזרה,ӏэпыӏэгъу
274,Freund::N,חבר,ныбджэгъу
275,Freund::N,ידיד,ныбджэгъу
276,Kamerad::N,רע,ныбджэгъу
277,Angelegenheit::N,ענין,ӏофы́
278,Anzahl::N,מספר,пчъагъэ́
279,Art::N,סוג,изэрэщы́т
280,Art::N,סוג,лъэпкъ
281,Stück::N,חתיכה,такъы́р
282,Teil::N,פרק,щыщ
283,Teil::N,פרק,ӏахь
284,Hälfte::N,חצי,ныкъо́
285,Kreis::N,מעגל,хъура́й
286,Kreuz::N,צלב,къащ
287,Linie::N,קו,хъахъ
288,Linie::N,קו,итхъа́гъ
289,Strich::N,קו קצר,хъахъ
290,Strich::N,קו קצר,итхъагъ
291,Abstand::N,מרחק,азыфагу
292,Entfernung::N,מרחק,чӏыгууанэ
293,Gegend::N,נוף,чӏыпӏэ́
294,Platz::N,שטח,азыфагу
295,Ort::N,אתר,чӏыпӏэ́
296,Ort::N,מקום,чӏыпӏэ́
297,Seite::N,צד,лъэны́къу
298,Mitte::N,אמצע,гузэ́гу
299,Gegenstand::N,אוביקט,пкъыгъо
300,Sache::N,דבר,
301,Rand::N,פרור,цакӏэ́
302,Kante::N,קצה,цэгэналъ
303,Ecke::N,פנה,къогъу
304,Spitze::N,קצה,пакӏэ
305,Ende::N,סוף,кӏэ
306,Loch::N,חר,гъуа́н
307,Winkel::N,פנה,къогъу
308,Muster::N,תבנית,тхыпхъэ
309,Größe::N,גדל,иина́гъ
310,Länge::N,ארך,икӏыхьа́гъ
311,Höhe::N,קומה,лъэгагъ
312,Höhe::N,גבה,лъэгагъ
313,Gewicht::N,משקל,онтэгъугъэ́
314,Menge::N,כמות,пчъагъэ́
315,Haufen::N,ערמה,ӏат
316,Reihe::N,רצף,саты́р
317,Boot::N,סירה,къуашъо́
318,Ruder::N,משוט,къошъобэ́щ
319,Schlitten::N,מזחלת,
320,Ski::N,מגלשים,лыжэхэр
321,Lagerfeuer::N,מדורה,пхъэмашӏу
322,Last::N,משא,
323,Gang::N,הליכה,кӏоныр
324,Schritt::N,צעד,лъэубэ́къу
325,Norden::N,צפון,темы́р
326,Süden::N,דרום,къыблэ́
327,Westen::N,מערב,тыгъэкъохьа́пӏ
328,Osten::N,מזרח,тыгьэкъокӏы́пӏ
329,Holz::N,עץ,чъыгы́
330,Brett::N,קרש,пхъэ́мбгъу
331,Platte::N,לוח,упсыхьагъ
332,Stütze::N,משען,кӏэгъэкъон
333,Stange::N,מוט,къорэ́гъ
334,Stock::N,מקל,бэщ
335,Stab::N,מוט,бэщ кӏы́хь
336,Rohr::N,צנור,онджэкъ
337,Haus::N,בית,унэ́
338,Heim::N,בית,унэ́
339,Ofen::N,תנור,гъэжъэн
340,Fußboden::N,רצפה,джэхашъу
341,Tisch::N,שלחן,стол
342,Stuhl::N,כסא,пхъэнтӏэ́кӏу
343,Wiege::N,ערש,кушъэ́
344,Bett::N,מטה,пӏэкӏо́р
345,Regal::N,מדף,мэкӏай
346,Kiste::N,תבה,ящык
347,Kiste::N,ארגז,ящык
348,Fenster::N,חלון,шъхьаныгъу́пчъ
349,Tür::N,דלת,пчъэ
350,Tor::N,שער,къэла́пчъ
351,Zaun::N,גדר,шӏыхьагъэ́
352,Dach::N,גג,шъхьэ́
353,Leiter::N,סלם,лъэо́й
354,Leiter::N,סלם,дэкӏояпӏэ́
355,Besen::N,מטאטא,пхъэнкӏы́пхъ
356,Spaten::N,את,къазгъы́р
357,Schaufel::N,את,хэӏалъ
358,Gabel::N,מזלג,цацэ
359,Löffel::N,כף,джэмы́шх
360,Messer::N,סכין,шъэжъы́й
361,Nagel::N,מסמר,гъучӏыӏу́н
362,Netz::N,רשת,хъытыу
363,Haken::N,וו,хьажтӏаркъу
364,Haken::N,קרס,хьажтӏаркъу
365,Griff::N,ידית,къопс
366,Schloss::N,מנעול,ӏункӏы́бз
367,Bild::N,תמונה,сурэ́т
368,Figur::N,פסל,
369,Puppe::N,בבה,нысхъа́п
370,Beutel::N,שק,дзыо́
371,Bündel::N,צרור,
372,Tasche::N,שקית,ӏэлъмэ́къ
373,Eimer::N,דלי,щалъ
374,Deckel::N,מכסה,шъхьэ
375,Geschirr::N,כלים,хьакъу-шыкъу
376,Sack::N,שק,дзыо́
377,Tasse::N,ספל,чашк
378,Topf::N,סיר,кастрюль
379,Kessel::N,קנקן,шыуа́н
380,Essen::N,אכל,шхэн
381,Essen::N,ארוחה,шхэн
382,Nahrung::N,הזנה,шхэн
383,Nahrung::N,תזונה,шхэн
384,Speise::N,מאכל,шхыныгъу
385,Speise::N,ארוחה,шхыныгъу
386,Fleisch::N,בשר,лы
387,Getreide::N,דגן,лэжьыгъацэ́
388,Brei::N,מחית,пӏастэ́
389,Brot::N,לחם,хьалыгъу
390,Scheibe::N,עגול,такъы́р
391,Scheibe::N,פרוסה,такъы́р
392,Fett::N,שמן,дагъэ́
393,Butter::N,חמאה,тхъу
394,Öl::N,שמן,тхъу
395,Salz::N,מלח,щыгъу
396,Suppe::N,מרק,хьантхъупс
397,Honig::N,דבש,шъоу́
398,Milch::N,חלב,щэ
399,Tee::N,תה,щай
400,Leder::N,עור,кӏы́шъу
401,Wolle::N,צמר,цы
402,Stoff::N,בד,шэкӏы
403,Stoff::N,אריג,шэкӏы
404,Nadel::N,מחט,бгъэ́хаӏу
405,Faden::N,חוט,ӏуда́н
406,Knopf::N,כפתור,занкӏэу
407,Knoten::N,קשר,зэкъодзапӏэ
408,Farbe::N,צבע,краск
409,Kleidung::N,בגדים,щыгъы́ны
410,Hemd::N,חלצה,джан
411,Kragen::N,צוארון,пшъапӏ
412,Ärmel::N,שרוול,гъуап
413,Hose::N,מכנסים,гъончэ́дж
414,Gürtel::N,חגורה,бгыры́пх
415,Mütze::N,כובע,паӏо́
416,Schuh::N,נעל,
417,Stiefel::N,מגף,щазым
418,Ring::N,טבעת,ӏэлъы́н
419,Band::N,סרט,лент
420,Kamm::N,מסרק,мажь
421,Spiegel::N,מראה,гъундж
422,Riemen::N,רצועה,бгыры́пх
423,Schnur::N,חבל,кӏапсэ́
424,Leine::N,מושכות,шъокӏапс
425,Decke::N,שמיכה,чыхӏэн
426,Kissen::N,כרית,шъхьант
427,Tuch::N,צעיף,шъхьэтехъу
428,Handtuch::N,מגבת,ӏаплъэкӏ
429,Kraft::N,כוח,къары́у
430,Kraft::N,כוח,кӏуачӏэ́
431,Stärke::N,און,кӏуачӏэ́
432,Gesundheit::N,בריאות,псауныгъ
433,Krankheit::N,מחלה,узы
434,Schmerz::N,כאב,узы
435,Wunde::N,פציעה,уӏагъэ́
436,Fieber::N,חם,техьа́гъу
437,Fieber::N,חם,жъоку
438,Arznei::N,תרופה,ӏэзэ́гъу
439,Brücke::N,גשר,лъэмы́д ж
440,Brunnen::N,באר,псынэ́
441,Weide::N,אחו,хъупӏэ́
442,Weide::N,מרעה,хъупӏэ́
443,Pfad::N,שביל,лъагъу
444,Pfad::N,מדרכה,лъагъу
445,Weg::N,דרך,гъо́гу
446,Straße::N,כביש,гъо́гу
447,Dorf::N,כפר,къуа́дж
448,Stadt::N,עיר,къалэ́
449,Brief::N,מכתב,тхэн
450,Brief::N,מכתב,письмэ
451,Buch::N,ספר,тхы́лъ
452,Buchstabe::N,אות,хьары́ф
453,Zeitung::N,עתון,газет
454,Leben::N,חיים,гъашӏэ́
455,Tod::N,מות,аджал
456,Grab::N,קבר,бэны́
457,Kirche::N,כנסיה,чылы́с
458,Sünde::N,חטא,гунахь
459,Gott::N,אל,тхьэ
460,Arbeiter::N,פועל,рабоч
461,Chef::N,ראש,гъэр
462,Chef::N,מנהל,гъэр
463,Meister::N,ממחה,ӏэпыӏа́с
464,Arzt::N,רופא,
465,Lehrer::N,מורה,кӏэлэегъа́дж
466,Geld::N,כסף,ахъщ
467,Geschäft::N,עסקה,ӏофшӏэн
468,Laden::N,חנות,туча́н
469,Preis::N,מחיר,уасэ́
470,Ware::N,סחורה,хьап-щып
471,Nutzen::N,תועלת,чар
472,Nutzen::N,תועלת,федэ́
473,Reichtum::N,עשר,байныгъ
474,Welt::N,עולם,дуна́й
475,Land::N,ארץ,хэгъэ́́гу
476,Staat::N,מדינה,къэралыгъу
477,König::N,מלך,пачъы́хь
478,Macht::N,כוח,шынэгъакзэ́
479,Grenze::N,גבול,гъуна́пкъ
480,Krieg::N,מלחמה,зао́
481,Feind::N,אויב,пы́и
482,Gewalt::N,אלימות,егъэзыгъэныгъ
483,Kampf::N,קרב,бэнэныгъ
484,Kampf::N,לחימה,бэнэныгъ
485,Bogen[Waffe]::N,קשת,щабз
486,Pfeil::N,חץ,щэбза́щ
487,Gewehr::N,רובה,шхонч
488,Fehler::N,טעות,хэукъоныгъ
489,Lüge::N,שקר,пцӏы
490,Schaden::N,נזק,зэра́р
491,Unglück::N,מזל רע,тхьамыкӏагъу
492,Schuld::N,אשמה,мысагъэ́
493,Alter::N,גיל,ныбжь
494,Schluss::N,סיום,кӏэ
495,Zeit::N,זמן,уахътэ́
496,Tag::N,יום,мафэ́
497,Morgen::N,בקר,пчэды́жь
498,Mittag::N,צהרים,щэджагьу́
499,Abend::N,ערב,пчыхьэ́
500,Nacht::N,לילה,чэщы́
501,Woche::N,שבוע,тхьамафэ́
502,Monat::N,חדש,мазэ́
503,Jahr::N,שנה,илъэ́с
504,Frühling::N,אביב,гъатхэ́
505,Sommer::N,קיץ,гъэмафэ́
506,Herbst::N,סתו,бжыхьэ́
507,Winter::N,חרף,кӏыма́ф
508,Januar::N,ינואר,январь
509,Februar::N,פברואר,февраль
510,März::N,מרץ,март
511,April::N,אפריל,апрель
512,Mai::N,מאי,май
513,Juni::N,יוני,июнь
514,Juli::N,יולי,июль
515,August::N,אוגוסט,август
516,September::N,ספטמבר,сентябрь
517,Oktober::N,אוקטובר,октябрь
518,November::N,נובמבר,ноябрь
519,Dezember::N,דצמבר,декабрь
520,Montag::N,יום שני,блыпэ́
521,Dienstag::N,יום שלישי,гъубдж
522,Mittwoch::N,יום רביעי,бэрэскэжъый
523,Donnerstag::N,יום חמישי,мэфэ́ку
524,Freitag::N,יום ששי,бэрэскэшху
525,Samstag::N,יום שבת,шэмбэ́т
526,Sonntag::N,יום ראשון,тхьаума́ф
527,groß::A,גדול,ины́
528,klein::A,קטן,цӏы́кӏу
529,lang::A,ארך,кӏыхьэ́
530,kurz::A,קצר,кӏэкӏы́
531,breit::A,רחב,шъуамбгъо́
532,schmal::A,צר,бгъузэ́
533,dicht::A,צפוף,ӏужъу́
534,dick[Gegenstand]::A,עבה,ӏужъу́
535,dünn::A,דק,пӏуакӏэ́
536,fein::A,מעדן,пӏуакӏэ́
537,fest::A,מוצק,пытэ́
538,flach::A,שטוח,тешъо́
539,glatt::A,חלק,зэны́бжь
540,hart::A,קשיח,пытэ́
541,weich::A,רך,шъабэ́
542,rund::A,עגל,хъура́й
543,spitz::A,חד,папцӏэ́
544,scharf::A,חד,чан
545,stumpf::A,קהה,цако́
546,schwer::A,כבד,онтэ́гъу
547,schön::A,יפה,дахэ́
548,heiß::A,חם,жъо́ркъ
549,warm::A,חם,фабэ́у
550,kalt::A,קר,чъыӏэ́
551,kühl::A,צונן,чъыӏэтагъ
552,frisch::A,טרי,чъыӏэтагъ
553,feucht::A,לח,шынагъэ зиӏэ
554,feucht::A,לח,шынэгъакӏэ зиӏэ
555,nass::A,רטוב,цӏынэ́
556,trocken::A,יבש,гъушъ
557,trocken::A,יבש,чъэпхъыгъ
558,voll::A,מלא,из
559,voll::A,מלא,изыбз
560,leer::A,ריק,нэкӏы́
561,offen::A,פתוח,зэдэхыгъэ
562,geschlossen::A,סגור,зэфэшӏыгъ
563,sauber::A,נקי,къабзэ́
564,schmutzig::A,מלכלך,шӏо́и
565,roh::A,חי,мыжъо́
566,reif::A,בשל,чъэпхъыгъ
567,lecker::A,טעים,го́хьы
568,süß::A,מתוק,ӏэшӏу
569,bitter::A,מר,дыджы́
570,sauer::A,חמוץ,хафэ́
571,hell::A,בהיר,нэфын
572,dunkel::A,עמום,мэзэхэ
573,schwarz::A,שחר,шӏуцӏэ
574,weiß::A,לבן,фыжьы́
575,rot::A,אדם,плъыжьы́
576,gelb::A,צהב,гъожьы́
577,blau::A,כחל,шхъуантӏэ
578,grün::A,ירק,шхъуантӏэ
579,grau::A,אפר,шхъо
580,bunt::A,צבעוני,къолэны
581,billig::A,זול,пыут
582,teuer::A,יקר,сикӏа́с
583,teuer::A,יקר,силъа́пӏ
584,wertvoll::A,יקר ערך,пкӏэ зиӏ
585,wertvoll::A,יקר ערך,уасэ́ зыфа́шӏ
586,blind::A,עור,нэшъу́
587,taub::A,חרש,дэгу
588,kräftig::A,חסן,лъэ́ш
589,stark::A,חזק,лъэ́ш
590,schwach::A,חלש,хъыбэй
591,fett::A,שמן,пщэры́
592,schlank::A,רזה,ищыгъэ
593,hübsch::A,יפה תאר,дахэ́
594,böse::A,רשע,ябгэ
595,dumm::A,טפש,делэ
596,faul::A,עצלן,шъхьахы́нэ
597,fleißig::A,חרוץ,егугъурэ
598,geizig::A,קמצן,тхьацэ
599,klug::A,נבון,акъылышӏу́
600,klug::A,פקח,акъылышӏу́
601,geschickt::A,מימן,ӏэпэӏэсэ́
602,geschickt::A,מימן,шо́у шӏыгъэ́
603,lieb::A,יקר,псэм фэд
604,lieb::A,אהוב,псэм фэд
605,lustig::A,עליז,чэф
606,sanft::A,עדין,ӏушъа́б
607,hungrig::A,רעב,гъаблэ́
608,krank::A,חולה,сыма́дж
609,nackt::A,ערום,пцӏанэ́
610,traurig::A,עצוב,нэшхъэй
611,lebendig::A,חי,
612,gut::A,טוב,дэгъу́
613,schlecht::A,גרוע,дэи
614,richtig::A,נכון,тэрэз
615,schlimm::A,רע,щынэгъо
616,wahr::A,אמתי,шъыпкъэ́
617,alt::A,ישן,жъы
618,neu::A,חדש,кӏэ
619,ehemalig::A,לשעבר,-щтыгъэ
620,ehemalig::A,לשעבר,-гъэ
621,alt[Lebewesen]::A,זקן,жъы
622,jung::A,צעיר,ныбжьыкӏэ́
623,arm::A,עני,тхьамы́кӏ
624,reich::A,עשיר,бай
625,bekannt::A,ידוע,нэӏуа́с
626,berühmt::A,מפרסם,цӏэры́ӏу
627,fremd::A,זר,хымэ
628,verschieden::A,שונה,зэфэшъхьафы
629,nah::A,קרוב,благъэ́
630,fern::A,רחוק,чыжьэ
631,linker::A,שמאלי,сэмэ́гу
632,rechter::A,ימין,джабгъу
633,anderer::A,אחר,нэмы́кӏ
634,erster::A,ראשון,апэр
635,zweiter::A,שני,я́тӏонэр
636,dritter::A,שלישי,ящэнэр
637,letzter::A,אחרון,аужыр
638,allein::ADV,לבד,зы
639,auf einmal::ADV,בו-זמנית,ардэдэм
640,auf einmal::ADV,בו-זמנית,асыхьатым
641,zusammen::ADV,ביחד,зэгъусэхэ́у
642,lange::ADV,הרבה זמן,бэрэ́
643,plötzlich::ADV,לפתע,зэкӏэм
644,plötzlich::ADV,פתאום,зэкӏэм
645,sofort::ADV,מיד,ардэдэм
646,sofort::ADV,מיד,асыхьатым
647,später::ADV,לאחר זמן,нэужым
648,später::ADV,יותר מאחר,нэужым
649,jetzt::ADV,עכשיו,джы
650,heute::ADV,היום,непэ́
651,morgen::ADV,מחר,неу́щы
652,bald::ADV,בקרוב,псынкӏэу
653,dann::ADV,אחר-כך,нэужым
654,gestern::ADV,אתמול,тыгъуа́с
655,einst::ADV,לפנים,зэгорэ́м
656,damals::ADV,אז,армэ
657,damals::ADV,אז,ащыгъум
658,danach::ADV,אחר-כך,нэужым
659,vorher::ADV,לפני זה,нахьыпэм
660,zuerst::ADV,קדם,
661,einmal::ADV,פעם,зэ
662,manchmal::ADV,לפעמים,
663,oft::ADV,לעתים קרובות,бэрэ
664,immer::ADV,תמיד,ренэ́у
665,niemals::ADV,אף פעם,
666,hier::ADV,כאן,
667,hierhin::ADV,פה,
668,von hier::ADV,מפה,
669,dort::ADV,שם,модэ
670,dorthin::ADV,שם,модэ́
671,geradeaus::ADV,ישר,занкӏэу
672,vorwärts::ADV,קדימה,ыпэкӏэ
673,rückwärts::ADV,לאחור,ыужыкӏэ́
674,zurück::ADV,בחזרה,ыужыкӏэ́
675,zurück::ADV,אחורנית,ыужыкӏэ́
676,unten::ADV,למטה,ычӏэкӏэ́
677,hinab::ADV,למטה,ычӏэгъы́
678,hinab::ADV,למטה,ычӏэкӏэ́
679,oben::ADV,מעל,ышъхьагъы
680,oben::ADV,למעלה,ышъхьагъы
681,hinauf::ADV,למעלה,ышъхьагъыкӏэ
682,überall::ADV,בכל מקום,тыди́
683,überall::ADV,בכל מקום,тыдэкӏи́
