,Concept_ID,hu,sah
69,Himmel::N,menny,халлаан
70,Sonne::N,nap,күн
71,Mond::N,hold,ый
72,Stern::N,csillag,сулус
73,Luft::N,levegő,салгын
74,Wind::N,szél,тыал
75,Welle::N,hullám,долгун
76,Welle::N,hullám,балхаан
77,Wasser::N,víz,уу
78,Stein::N,kő,таас
79,Boden::N,föld,сир
80,Boden::N,talaj,сир
81,Erde::N,föld,буор
82,Staub::N,por,быыл
83,Rauch::N,füst,буруо
84,Funke::N,szikra,кыым
85,Feuer::N,tűz,уот
86,Licht::N,fény,уот
87,Schatten::N,árnyék,күлүк
88,Wetter::N,idő,күн-дьыл
89,Wetter::N,időjárás,күн-дьыл
90,Nebel::N,köd,туман
91,Wolke::N,felhő,былыт
92,Regen::N,eső,самыыр
93,Schnee::N,hó,хаар
94,Eis::N,jég,муус
95,Frost::N,fagy,тымныы
96,Kälte::N,hideg,тымныы
97,Hitze::N,hő,куйаас
98,Hitze::N,hőség,куйаас
99,Raureif::N,zúzmara,кырыа
100,Regenbogen::N,szivárvány,кустук
101,Donner::N,dörgés,этиҥ
102,Donner::N,mennydörgés,этиҥ
103,Strömung::N,áramlat,сүүрүк
104,Tropfen::N,csepp,таммах
105,Tropfen::N,csepp,хааппыла
106,Schaum::N,hab,күүгэн
107,Schaum::N,tajték,күүгэн
108,Schmutz::N,piszok,кир
109,See::N,tó,күөл
110,Sumpf::N,mocsár,бадараан
111,Moor::N,láp,дьэбэрэ
112,Wiese::N,rét,ходуһа
113,Wiese::N,mező,ходуһа
114,Wald::N,erdő,ойуур
115,Hügel::N,domb,булгунньах
116,Anhöhe::N,magaslat,үрдэл
117,Berg::N,hegy,хайа
118,Gipfel::N,csúcs,чыпчаал
119,Höhle::N,barlang,хайа_хаспаҕа
120,Höhle::N,barlang,көҥүс
121,Abhang::N,lejtő,эниэ
122,Quelle::N,forrás,дьүүктэ
123,Bach::N,patak,үрүйэ
124,Fluss::N,folyó,өрүс
125,Ufer::N,part,биэрэк
126,Küste::N,tengerpart,кытыл
127,Festland::N,szárazföld,кураанах сир
128,Meer::N,tenger,муора
129,Bucht::N,öböl,хомо
130,Bucht::N,öböl,бухта
131,Insel::N,sziget,арыы
132,Blume::N,virág,сибэкки
133,Gras::N,fű,от
134,Wurzel::N,gyökér,силис
135,Baum::N,fa,мас
136,Stamm::N,tő,умнас
137,Stamm::N,törzs,умнас
138,Rinde::N,kéreg,хатырык
139,Ast::N,ág,мутук
140,Zweig::N,gally,лабаа
141,Blatt::N,levél,сэбирдэх
142,Birke::N,nyír,хатыҥ
143,Kiefer[Baum]::N,fenyő,бэс
144,Weide[Baum]::N,fűz,үөт
145,Weide[Baum]::N,fűz,талах
146,Tanne::N,fenyő,харыйа
147,Horn::N,szarv,муос
148,Feder::N,toll,куорсун
149,Fell::N,szőr,тирии
150,Fell::N,bunda,тирии
151,Flügel::N,szárny,кынат
152,Klaue::N,köröm,тыҥырах
153,Kralle::N,karom,баппаҕай
154,Schwanz::N,farok,кутурук
155,Ei::N,tojás,сымыыт
156,Nest::N,fészek,уйа
157,Bau::N,odú,хороон
158,Tier::N,állat,кыыл
159,Tier::N,állat,харамай
160,Herde::N,nyáj,үөр
161,Herde::N,csorda,үөр
162,Kuh::N,tehén,ынах
163,Bulle::N,bika,оҕус
164,Pferd::N,ló,сылгы
165,Schaf::N,juh,овца
166,Schaf::N,birka,овца
167,Schwein::N,sertés,сибиинньэ
168,Hund::N,eb,ыт
169,Hund::N,kutya,ыт
170,Katze::N,macska,куоска
171,Bär::N,medve,эһэ
172,Eichhörnchen::N,mókus,тииҥ
173,Elch::N,jávorszarvas,тайах
174,Fuchs::N,róka,саһыл
175,Hase::N,nyúl,куобах
176,Maus::N,egér,кутуйах
177,Wolf::N,farkas,бөрө
178,Vogel::N,madár,көтөр
179,Schwarm::N,raj,бөлөх
180,Huhn::N,tyúk,куурусса
181,Hahn::N,kakas,бөтүүк
182,Gans::N,lúd,хаас
183,Gans::N,liba,хаас
184,Adler::N,sas,хотой
185,Ente::N,kacsa,кус
186,Eule::N,bagoly,мэкчиргэ
187,Kranich::N,daru,туруйа
188,Krähe::N,varjú,тураах
189,Kuckuck::N,kakukk,кэҕэ
190,Schwan::N,hattyú,куба
191,Fisch::N,hal,балык
192,Barsch::N,sügér,алыһар
193,Hecht::N,csuka,сордон
194,Schlange[Tier]::N,kígyó,моҕой
195,Schlange[Tier]::N,kígyó,эриэн үөн
196,Wurm::N,kukac,үөн
197,Spinne::N,pók,ооҕуй
198,Ameise::N,hangya,кымырдаҕас
199,Laus::N,tetű,быт
200,Mücke::N,szúnyog,кумаар
201,Fliege::N,légy,сахсырҕа
202,Schmetterling::N,lepke,лыах
203,Schmetterling::N,lepke,үрүмэччи
204,Schmetterling::N,pillangó,лыах
205,Schmetterling::N,pillangó,үрүмэччи
206,Beere::N,bogyó,отон
207,Apfel::N,alma,яблоко
208,Pilz::N,gomba,тэллэй
209,Zwiebel::N,hagyma,луук
210,Saat::N,vetőmag,сиэмэ
211,Korn::N,mag,сиэмэ
212,Korn::N,szem,сиэмэ
213,Heu::N,széna,от
214,Schale::N,héj,хах
215,Grube::N,verem,дьаама
216,Falle::N,csapda,сохсо
217,Schlinge::N,tőr,уктаа
218,Spur::N,nyom,суол
219,Asche::N,hamu,күл
220,Dreck::N,sár,бадараан
221,Dreck::N,piszok,бадараан
222,Eisen::N,vas,тимир
223,Gold::N,arany,көмүс
224,Gold::N,arany,кыһыл көмүс
225,Silber::N,ezüst,көмүс
226,Silber::N,ezüst,үрүҥ көмүс
227,Kohle::N,szén,чох
228,Glas::N,üveg,өстүөкүлэ
229,Lehm::N,agyag,туой
230,Lehm::N,vályog,туой
231,Sand::N,homok,кумах
232,Mensch::N,ember,киһи
233,Mann::N,úr,эр
234,Mann::N,férfi,эр
235,Frau::N,nő,дьахтар
236,Frau::N,asszony,дьахтар
237,Kind::N,gyerek,оҕо
238,Kind::N,gyermek,оҕо
239,Junge::N,fiú,уол
240,Mädchen::N,lány,кыыс оҕо
241,Familie::N,család,кэргэн
242,Großvater::N,nagyapa,эһэ
243,Großmutter::N,nagyanya,эбэ
244,Eltern::N,szülők,аҕа-ийэ
245,Vater::N,apa,аҕа
246,Vater::N,atya,аҕа
247,Mutter::N,anya,ийэ
248,Sohn::N,fiú,уол
249,Tochter::N,lány,кыыс
250,Bruder::N,fivér,убай
251,Bruder::N,fivér,быраат
252,Bruder::N,testvér,убай
253,Bruder::N,testvér,быраат
254,Schwester::N,nővér,аҕас
255,Schwester::N,nővér,балыс
256,Schwester::N,lánytestvér,аҕас
257,Schwester::N,lánytestvér,балыс
258,Onkel::N,nagybácsi,таай
259,Onkel::N,nagybácsi,абаҕа
260,Tante::N,nagynéni,эдьиий
261,Ehemann::N,férj,эр
262,Ehefrau::N,feleség,ойох
263,Freude::N,öröm,үөрүү
264,Gelächter::N,nevetés,күлүү
265,Gelächter::N,hahotázás,күлүү
266,Glück::N,boldogság,дьол
267,Glück::N,boldogság,соргу
268,Kummer::N,bánat,кутурҕан
269,Wunsch::N,óhaj,баҕарыы
270,Lust::N,kedv,баҕа
271,Geist::N,elme,тыын
272,Geist::N,szellem,тыын
273,Gedanke::N,gondolat,санаа
274,Gedächtnis::N,emlékezet,өй
275,Verstand::N,ész,өй
276,Verstand::N,értelem,өй
277,Sinn::N,értelem,суолта
278,Grund::N,ok,төрүөт
279,Grund::N,alap,төрүөт
280,Wahrheit::N,igaz,кырдьык
281,Wahrheit::N,igazság,кырдьык
282,Gespräch::N,beszélgetés,бэсиэдэ
283,Gespräch::N,beszélgetés,кэпсэтии
284,Märchen::N,mese,остуоруйа
285,Erzählung::N,elbeszélés,кэпсээн
286,Nachricht::N,hír,биллэриллии
287,Nachricht::N,híradás,биллэриллии
288,Neuigkeit::N,újság,сонун
289,Name::N,név,аат
290,Rätsel::N,rejtvény,таабырын
291,Rede::N,beszéd,этии
292,Rede::N,szónoklat,этии
293,Sprache::N,nyelv,тыл
294,Stimme::N,hang,куолас
295,Wort::N,szó,тыл
296,Zeichen::N,jel,бэлиэ
297,Ruf::N,kiáltás,ыҥырыы
298,Lärm::N,zaj,айдаан
299,Laut::N,hang,тыас
300,Ton::N,hang,дорҕоон
301,Lied::N,dal,ырыа
302,Lied::N,ének,ырыа
303,Ruhe::N,csend,уу чуумпу
304,Ruhe::N,nyugalom,уу чуумпу
305,Leute::N,emberek,дьон
306,Volk::N,nép,дьон
307,Volk::N,nép,норуот
308,Arbeit::N,dolog,үлэ
309,Gast::N,vendég,ыалдьыт
310,Geschenk::N,ajándék,бэлэх
311,Spiel::N,játék,оонньуу
312,Gesellschaft::N,társaság,общество
313,Hilfe::N,segítség,көмө
314,Freund::N,barát,доҕор
315,Kamerad::N,társ,атас
316,Angelegenheit::N,ügy,дьыала
317,Anzahl::N,szám,ахсаан
318,Art::N,faj,биис
319,Art::N,fajta,биис
320,Stück::N,darab,кырбас
321,Teil::N,rész,ирээт
322,Hälfte::N,fél,аҥар
323,Kreis::N,kör,төгүрүк
324,Kreis::N,kör,төгүрүмтэ
325,Kreuz::N,kereszt,кириэс
326,Linie::N,vonal,сурааһын
327,Strich::N,vonás,сурааһын
328,Abstand::N,köz,арыт
329,Entfernung::N,távolság,ыраах
330,Gegend::N,táj,сир
331,Gegend::N,vidék,сир
332,Platz::N,hely,арыт
333,Ort::N,hely,сир
334,Seite::N,fél,өрүт
335,Seite::N,fél,сирэй
336,Seite::N,oldal,өрүт
337,Seite::N,oldal,сирэй
338,Mitte::N,közép,орто
339,Gegenstand::N,tárgy,предмет
340,Sache::N,dolog,мал
341,Rand::N,szél,кытыы
342,Rand::N,szél,ойоҕос
343,Rand::N,perem,кытыы
344,Rand::N,perem,ойоҕос
345,Rand::N,szegély,кытыы
346,Rand::N,szegély,ойоҕос
347,Kante::N,él,кырыы
348,Ecke::N,sarok,муннук
349,Ecke::N,szöglet,муннук
350,Spitze::N,csúcs,чыпчаал
351,Ende::N,vég,төбө
352,Loch::N,lyuk,тэһэҕэс
353,Loch::N,lyuk,дьөлөҕөс
354,Winkel::N,szög,муннук
355,Muster::N,minta,оһуор
356,Größe::N,nagyság,кээмэй
357,Länge::N,hossz,уста
358,Länge::N,hosszúság,уста
359,Höhe::N,magasság,үрдүк
360,Gewicht::N,súly,ыйааһын
361,Menge::N,sokaság,ахсаан
362,Menge::N,mennyiség,ахсаан
363,Haufen::N,halom,чөмчөх
364,Reihe::N,sor,кэккэ
365,Boot::N,csónak,оҥочо
366,Ruder::N,evező,эрдии
367,Schlitten::N,szánkó,сыарҕа
368,Ski::N,sí,хайыһар
369,Lagerfeuer::N,tábortűz,кутаа
370,Last::N,teher,ыарахан
371,Gang::N,járás,хаамыы
372,Schritt::N,lépés,хардыы
373,Norden::N,észak,хоту
374,Süden::N,dél,соҕуруу
375,Westen::N,nyugat,арҕаа
376,Osten::N,kelet,илин
377,Holz::N,fa,мас
378,Brett::N,deszka,дуоска
379,Brett::N,deszka,хаптаһын
380,Platte::N,lap,билиитэ
381,Platte::N,lemez,билиитэ
382,Stütze::N,támasz,тулааһын
383,Stütze::N,támaszték,тулааһын
384,Stange::N,rúd,ураҕас
385,Stange::N,pózna,ураҕас
386,Stock::N,pálca,мас
387,Stock::N,pálca,баалкы
388,Stab::N,bot,ураҕас
389,Rohr::N,cső,турба
390,Haus::N,ház,дьиэ
391,Heim::N,otthon,дьиэ
392,Ofen::N,kályha,оһох
393,Fußboden::N,padló,муоста
394,Tisch::N,asztal,остуол
395,Stuhl::N,szék,устуул
396,Wiege::N,bölcső,биһик
397,Bett::N,ágy,кырабаат
398,Regal::N,polc,долбуур
399,Regal::N,állvány,долбуур
400,Kiste::N,láda,дьааһык
401,Fenster::N,ablak,түннүк
402,Tür::N,ajtó,аан
403,Tor::N,kapu,аан
404,Zaun::N,kerítés,соппулуот
405,Dach::N,tető,кырыыса
406,Leiter::N,létra,кирилиэс
407,Besen::N,seprű,миинньик
408,Spaten::N,ásó,күрдьэх
409,Schaufel::N,lapát,күрдьэх
410,Gabel::N,villa,биилкэ
411,Löffel::N,kanál,луоска
412,Messer::N,kés,быһах
413,Nagel::N,szeg,тоһоҕо
414,Netz::N,háló,илим
415,Haken::N,kampó,көхө
416,Griff::N,nyél,ук
417,Griff::N,nyél,тутаах
418,Griff::N,fogantyú,ук
419,Griff::N,fogantyú,тутаах
420,Schloss::N,zár,күлүүс
421,Bild::N,kép,хартыына
422,Figur::N,alak,фигура
423,Puppe::N,bábu,куукула
424,Beutel::N,zacskó,мөһөөччук
425,Bündel::N,köteg,баайыы
426,Tasche::N,táska,суумка
427,Eimer::N,vödör,биэдэрэ
428,Deckel::N,fedő,хаппах
429,Deckel::N,fedél,хаппах
430,Geschirr::N,edény,иһит
431,Sack::N,zsák,куул
432,Tasse::N,csésze,сэлиэнэй
433,Topf::N,fazék,көстүрүүҥкэ
434,Kessel::N,üst,хочуол
435,Kessel::N,bogrács,хочуол
436,Essen::N,evés,аһылык
437,Essen::N,étkezés,аһылык
438,Nahrung::N,ennivaló,ас
439,Speise::N,étel,аһылык
440,Fleisch::N,hús,эт
441,Getreide::N,gabona,злактар
442,Brei::N,pép,хааһы
443,Brei::N,kása,хааһы
444,Brot::N,kenyér,килиэп
445,Scheibe::N,szelet,куһуок
446,Fett::N,háj,сыа
447,Fett::N,zsír,сыа
448,Butter::N,vaj,арыы
449,Öl::N,olaj,арыы
450,Salz::N,só,туус
451,Suppe::N,leves,мин
452,Honig::N,méz,мүөт
453,Milch::N,tej,үүт
454,Tee::N,tea,чэй
455,Leder::N,bőr,тирии
456,Wolle::N,gyapjú,түү
457,Stoff::N,szövet,таҥас
458,Nadel::N,tű,иннэ
459,Faden::N,fonál,сап
460,Knopf::N,gomb,тимэх
461,Knoten::N,csomó,түмүк
462,Farbe::N,szín,кырааска
463,Farbe::N,festék,кырааска
464,Kleidung::N,ruha,таҥас
465,Kleidung::N,ruházat,таҥас
466,Hemd::N,ing,ырбаахы
467,Kragen::N,gallér,саҕа
468,Ärmel::N,ujj,сиэх
469,Hose::N,gatya,ыстаан
470,Hose::N,gatya,бүрүүкэ
471,Hose::N,nadrág,ыстаан
472,Hose::N,nadrág,бүрүүкэ
473,Gürtel::N,öv,кур
474,Mütze::N,sapka,бэргэһэ
475,Schuh::N,cipő,бачыыҥка
476,Stiefel::N,csizma,саппыкы
477,Ring::N,gyűrű,биһилэх
478,Band::N,szalag,лиэнтэ
479,Kamm::N,fésű,тараах
480,Spiegel::N,tükör,сиэркилэ
481,Riemen::N,szíj,кур
482,Schnur::N,zsinór,быа
483,Leine::N,póráz,тэһиин
484,Decke::N,takaró,суорҕан
485,Kissen::N,párna,сыттык
486,Tuch::N,kendő,былаат
487,Handtuch::N,törülköző,соттор
488,Kraft::N,erő,сыра
489,Stärke::N,erő,күүс
490,Stärke::N,erősség,күүс
491,Gesundheit::N,egészség,доруобуйа
492,Krankheit::N,kór,ыарыы
493,Krankheit::N,betegség,ыарыы
494,Schmerz::N,fájdalom,ыарыы
495,Wunde::N,seb,баас
496,Fieber::N,láz,түрүлгэн
497,Fieber::N,láz,лихорадка
498,Fieber::N,láz,температура
499,Arznei::N,orvosság,эмп
500,Arznei::N,gyógyszer,эмп
501,Brücke::N,híd,күргэ
502,Brunnen::N,kút,холуодьас
503,Weide::N,legelő,мэччирэҥ
504,Pfad::N,ösvény,ыллык
505,Weg::N,út,суол
506,Straße::N,út,суол
507,Dorf::N,falu,дэриэбинэ
508,Stadt::N,város,куорат
509,Brief::N,levél,сурук
510,Buch::N,könyv,кинигэ
511,Buchstabe::N,betű,буква
512,Zeitung::N,újság,хаһыат
513,Zeitung::N,hírlap,хаһыат
514,Leben::N,élet,тыын
515,Tod::N,halál,өлүү
516,Grab::N,sír,иин
517,Kirche::N,templom,таҥара дьиэтэ
518,Sünde::N,bűn,айыы
519,Sünde::N,vétek,айыы
520,Gott::N,isten,тангара
521,Arbeiter::N,munkás,үлэһит
522,Chef::N,főnök,баһылык
523,Chef::N,főnök,начальник
524,Meister::N,mester,уус
525,Meister::N,mester,маастар
526,Arzt::N,orvos,врач
527,Lehrer::N,tanár,учуутал
528,Lehrer::N,tanító,учуутал
529,Geld::N,pénz,харчы
530,Geschäft::N,üzlet,идэ
531,Laden::N,bolt,маҕаһыын
532,Preis::N,ár,сыана
533,Ware::N,áru,табаар
534,Nutzen::N,haszon,туһа
535,Reichtum::N,gazdagság,баай
536,Welt::N,világ,аан дойду
537,Land::N,ország,дойду
538,Staat::N,állam,государство
539,König::N,király,король
540,Macht::N,hatalom,былаас
541,Grenze::N,határ,кыраныысса
542,Krieg::N,háború,сэрии
543,Feind::N,ellenség,өстөөх
544,Gewalt::N,erőszak,күүһүлээһин
545,Kampf::N,harc,охсуһуу
546,Bogen[Waffe]::N,íj,ох
547,Pfeil::N,nyíl,ох
548,Gewehr::N,puska,саа
549,Gewehr::N,fegyver,саа
550,Fehler::N,hiba,сыыһа
551,Lüge::N,hazugság,сымыйа
552,Schaden::N,kár,хоромньу
553,Unglück::N,csapás,алдьархай
554,Unglück::N,balszerencse,алдьархай
555,Schuld::N,bűn,буруй
556,Alter::N,kor,саас
557,Schluss::N,vég,тиһэх
558,Schluss::N,befejezés,тиһэх
559,Zeit::N,idő,бириэмэ
560,Tag::N,nap,күн
561,Morgen::N,reggel,сарсыарда
562,Mittag::N,dél,күн ортото
563,Abend::N,este,киэһэ
564,Nacht::N,éj,түүн
565,Nacht::N,éjszaka,түүн
566,Woche::N,hét,нэдиэлэ
567,Monat::N,hó,ый
568,Monat::N,hónap,ый
569,Jahr::N,év,сыл
570,Jahr::N,év,дьыл
571,Frühling::N,tavasz,саас
572,Sommer::N,nyár,сайын
573,Herbst::N,ősz,күһүн
574,Winter::N,tél,кыһын
575,Januar::N,január,тохсунньу
576,Februar::N,február,олунньу
577,März::N,március,кулун тутар
578,April::N,április,муус устар ый
579,Mai::N,május,ыам ыйа
580,Juni::N,június,бэс ыйа
581,Juli::N,július,от ыйа
582,August::N,augusztus,атырдьах ыйа
583,September::N,szeptember,балаҕан ыйа
584,Oktober::N,október,алтынньы
585,November::N,november,сэтинньи
586,Dezember::N,december,ахсынньы
587,Montag::N,hétfő,бэнидиэнньик
588,Dienstag::N,kedd,оптуорунньук
589,Mittwoch::N,szerda,сэрэдэ
590,Donnerstag::N,csütörtök,чэппиэр
591,Freitag::N,péntek,бээтинсэ
592,Samstag::N,szombat,субуота
593,Sonntag::N,vasárnap,баскыһыанньа
594,groß::A,nagy,бөдөҥ
595,groß::A,nagy,улахан
596,klein::A,pici,кыр
597,klein::A,kicsi,кыр
598,lang::A,hosszú,уһун
599,kurz::A,rövid,кылгас
600,breit::A,széles,кэтит
601,schmal::A,keskeny,кыараҕас
602,dicht::A,sűrű,хойуу
603,dick[Gegenstand]::A,vastag,суон
604,dick[Gegenstand]::A,vastag,хойуу
605,dünn::A,vékony,чараас
606,fein::A,vékony,бытархай
607,fein::A,vékony,синньигес
608,fest::A,szilárd,бөҕө
609,fest::A,szilárd,кытаанах
610,flach::A,sík,хаптаҕай
611,flach::A,lapos,хаптаҕай
612,glatt::A,sima,кылааккай
613,hart::A,kemény,хатан
614,hart::A,kemény,кытаанах
615,weich::A,puha,сымнаҕас
616,rund::A,kerek,төгүрүк
617,spitz::A,hegyes,сытыы
618,spitz::A,hegyes,уһуктаах
619,scharf::A,éles,сытыы
620,stumpf::A,tompa,сыппах
621,stumpf::A,életlen,сыппах
622,schwer::A,nehéz,ыарахан
623,schwer::A,súlyos,ыарахан
624,schön::A,szép,кыраһыабай
625,heiß::A,forró,итии
626,warm::A,meleg,ичигэс
627,kalt::A,hideg,тымныы
628,kühl::A,hűs,сөрүүн
629,kühl::A,hűvös,сөрүүн
630,frisch::A,üde,ыраас
631,frisch::A,üde,сөрүүн
632,frisch::A,üde,тымныы
633,frisch::A,friss,ыраас
634,frisch::A,friss,сөрүүн
635,frisch::A,friss,тымныы
636,feucht::A,nedves,сииктээх
637,nass::A,vizes,инчэҕэй
638,trocken::A,száraz,кураан
639,voll::A,telt,толору
640,leer::A,üres,иччитэх
641,offen::A,nyílt,аһаҕас
642,offen::A,nyitott,аһаҕас
643,geschlossen::A,zárt,бүтэй
644,geschlossen::A,csukott,бүтэй
645,sauber::A,tiszta,сэбэр
646,schmutzig::A,piszkos,кирдээх
647,schmutzig::A,szennyes,кирдээх
648,roh::A,nyers,сиикэй
649,reif::A,érett,буспут
650,reif::A,érett,сиппит-хоппут
651,lecker::A,finom,минньигэс
652,süß::A,édes,минньигэс
653,bitter::A,keserű,аһыы
654,sauer::A,savanyú,аһыы
655,hell::A,világos,сырдык
656,dunkel::A,sötét,хараҥа
657,schwarz::A,fekete,хара
658,weiß::A,fehér,үрүҥ
659,weiß::A,fehér,маҥан
660,rot::A,vörös,кыһыл
661,gelb::A,sárga,саһархай
662,blau::A,kék,күөх
663,grün::A,zöld,күөх
664,grün::A,zöld,от күөҕэ
665,grau::A,ősz,сиэрэй
666,grau::A,szürke,сиэрэй
667,bunt::A,tarka,эриэн
668,bunt::A,színes,эриэн
669,billig::A,olcsó,чэпчэки
670,teuer::A,drága,сыаналаах
671,wertvoll::A,értékes,сыаналаах
672,blind::A,vak,хараҕа суох
673,taub::A,süket,дьүлэй
674,kräftig::A,erős,модун
675,stark::A,erős,күүстээх
676,schwach::A,gyenge,мөлтөх
677,schwach::A,erőtlen,мөлтөх
678,fett::A,hájas,эмис
679,schlank::A,karcsú,дьылҕан
680,schlank::A,karcsú,дьыпсаҕай
681,hübsch::A,csinos,олус кэрэ
682,hübsch::A,csinos,көрүөхтэн үчүгэй
683,böse::A,rossz,өһүөннээх
684,böse::A,gonosz,өһүөннээх
685,dumm::A,buta,акаары
686,dumm::A,ostoba,акаары
687,faul::A,lusta,нэс
688,fleißig::A,szorgalmas,кыһамньылаах
689,geizig::A,fukar,иҥсэлээх
690,geizig::A,fösvény,иҥсэлээх
691,klug::A,okos,өйдөөх
692,klug::A,eszes,өйдөөх
693,geschickt::A,ügyes,наһаа дьоҕурдаах
694,lieb::A,drága,тапталлаах
695,lieb::A,kedves,тапталлаах
696,lustig::A,víg,көрдөөх
697,lustig::A,vidám,көрдөөх
698,sanft::A,enyhe,намчы
699,sanft::A,enyhe,сымнаҕас
700,hungrig::A,éhes,аччык
701,krank::A,beteg,ыалдьар
702,nackt::A,csupasz,сыгынньах
703,nackt::A,meztelen,сыгынньах
704,traurig::A,bús,санаарҕабыллаах
705,traurig::A,szomorú,санаарҕабыллаах
706,lebendig::A,élő,тыыннаах
707,gut::A,jó,үтүө
708,gut::A,jó,үчүгэй
709,schlecht::A,rossz,куһаҕан
710,richtig::A,helyes,сөп
711,schlimm::A,rossz,сидьиҥ
712,schlimm::A,rossz,быдьар
713,wahr::A,igaz,кырдьык
714,alt::A,ó,былыргы
715,alt::A,régi,былыргы
716,neu::A,új,саҥа
717,ehemalig::A,volt,урукку
718,ehemalig::A,egykori,урукку
719,alt[Lebewesen]::A,öreg,кырдьаҕас
720,jung::A,fiatal,эдэр
721,arm::A,szegény,дьадаҥы
722,reich::A,gazdag,баай
723,bekannt::A,ismert,билэр
724,bekannt::A,ismeretes,билэр
725,berühmt::A,híres,аатырбыт
726,fremd::A,idegen,атын
727,verschieden::A,különböző,араас
728,nah::A,közeli,чугас
729,fern::A,távoli,ыраах
730,linker::A,bal,хаҥас
731,rechter::A,jobb,уҥа
732,anderer::A,más,атын
733,anderer::A,másik,атын
734,erster::A,első,маҥнайгы
735,zweiter::A,második,иккис
736,dritter::A,harmadik,үһүс
737,letzter::A,utolsó,тиһэх
738,allein::ADV,egyedül,соҕотох
739,auf einmal::ADV,egyszerre,биирдэ
740,zusammen::ADV,együtt,холбуу
741,zusammen::ADV,összesen,холбуу
742,lange::ADV,sokáig,уһуннук
743,lange::ADV,hosszan,уһуннук
744,plötzlich::ADV,hirtelen,эмискэ
745,plötzlich::ADV,egyszerre,эмискэ
746,sofort::ADV,rögtön,тута
747,sofort::ADV,tüstént,тута
748,später::ADV,későn,хойут
749,jetzt::ADV,most,билигин
750,heute::ADV,ma,бүгүн
751,morgen::ADV,holnap,сарсын
752,bald::ADV,majd,өтөр
753,bald::ADV,nemsokára,өтөр
754,dann::ADV,akkor,кэнна
755,gestern::ADV,tegnap,бэҕэһээ
756,einst::ADV,hajdan,биир төгүл
757,einst::ADV,hajdan,арай биирдэ
758,damals::ADV,akkor,оччоҕо
759,damals::ADV,akkoriban,оччоҕо
760,danach::ADV,azután,аары
761,danach::ADV,azután,ол кэнниттэн
762,vorher::ADV,előbb,урут
763,zuerst::ADV,először,маҥнай
764,einmal::ADV,egyszer,биирдэ
765,manchmal::ADV,néha,арыт
766,manchmal::ADV,olykor,арыт
767,oft::ADV,sokszor,чаастатык
768,immer::ADV,mindig,мэлдьи
769,niemals::ADV,sohasem,хаһан да
770,hier::ADV,itt,маныаха
771,hierhin::ADV,erre,бэттэх
772,von hier::ADV,innen,мантан
773,dort::ADV,ott,онно
774,dorthin::ADV,oda,онно
775,geradeaus::ADV,egyenesen,быһа
776,geradeaus::ADV,egyenesen,быһаччы
777,vorwärts::ADV,előre,инники
778,rückwärts::ADV,hátrafelé,төттөру
779,zurück::ADV,hátra,төттөрү
780,zurück::ADV,vissza,төттөрү
