,Concept_ID,os,av
1287,einladen::V,ӕрхонын,тӏадеахӏизе
1288,einladen::V,ӕрбахонын,ахӏизе
1289,einladen::V,ӕрбахонын,тӏадеахӏизе
1290,vereinigen::V,баиу кӕнын,цолъизабизе
1291,besuchen::V,абæрæг кæнын,баккизе
1292,besuchen::V,абæрæг кæнын,хьвадизе
1293,besuchen::V,бабæрæг кæнын,баккизе
1294,besuchen::V,бабæрæг кæнын,хьвадизе
1295,besuchen::V,бауайын,баккизе
1296,besuchen::V,бауайын,хьвадизе
1297,treffen::V,фембæлын,дандчӏвазе
1298,sich versammeln::V,æрæмбырд уын,данделъизе
1299,sich versammeln::V,æрæмбырд уын,бакӏаризе
1300,spielen::V,хъазын,басандизе
1301,singen::V,зарын,ахӏизе
1302,tanzen::V,кафын,кьурдизе
1303,sich trennen::V,фæйнæрдæм фæцæуын айхæлын,батӏалъизе
1304,verlassen::V,ныууадзын,тезе
1305,verlassen::V,ныууадзын,рехунтезе
1306,retten::V,фервӕзын кӕнын,хвасар гьабизе
1307,retten::V,фервӕзын кӕнын,хвасарлъизабизе
1308,bewachen::V,хъахъхъӕнын,цӏунизе
1309,schützen::V,хъахъхъӕнын,цӏунизе
1310,verteidigen::V,бахизын,цӏунизе
1311,sich schlagen::V,хыл кæнын,багъизе
1312,schießen::V,ӕхсын,речӏчӏизе
1313,siegen::V,басӕттын,бергьине
1314,siegen::V,фӕуӕлахиз уӕвын,бергьине
1315,ärgern::V,мӕсты кӕнын,вагъизавизе
1316,schlagen::V,ныццæвын,кьабизе
1317,stechen::V,фæрæхойын,къазабизе
1318,stoßen::V,риуыгъын,тункизе
1319,stoßen::V,риуыгъын,хъилдизе
1320,stehlen::V,давын,щинкӏизабизе
1321,stören::V,хъыгдарын,квекӏен гьабизе
1322,stören::V,хъыгдарын,татубахъи гьабизе
1323,belästigen::V,хъыгдарын,рахӏатхвезабизе
1324,verbergen::V,бамбӕхсын,бахчизе
1325,verbergen::V,бамбӕхсын,балъго тезе
1326,verbergen::V,басусӕг кӕнын,бахчизе
1327,verbergen::V,басусӕг кӕнын,балъго тезе
1328,täuschen::V,фӕливын,божуда рекӏкӏ гьабизе
1329,täuschen::V,фӕливын,гуккизе
1330,täuschen::V,асайын,божуда рекӏкӏ гьабизе
1331,täuschen::V,асайын,гуккизе
1332,betrügen::V,асайын,хӏилла гьабизе
1333,betrügen::V,асайын,сандирахълъи гьабизе
1334,töten::V,амарын,чӏвазе
1335,wohnen::V,цӕрын,яшав гьабизе
1336,arbeiten::V,кусын,хӏалтӏизе
1337,sammeln::V,æртонын,бакӏаризе
1338,pflücken::V,тонын,бетӏизе
1339,jagen::V,цуан кæнын,чан гьабизе
1340,fischen::V,кæсаг ахсын æнгуырæй,ччугӏа кквезе
1341,fischen::V,æнгуыр дарын,ччугӏа кквезе
1342,fassen::V,ӕрцахсын,кквезе
1343,hüten::V,хизын,кваназабизе
1344,treiben::V,скъӕрын,гъезе
1345,anbinden::V,бабæттын,бухьине
1346,anbinden::V,æрбæттын,бухьине
1347,füttern::V,холлаг дæттын,кваназабизе
1348,füttern::V,холлаг æвæрын,кваназабизе
1349,füttern::V,дарын,кваназабизе
1350,melken::V,дуцын,бечӏчӏизе
1351,hacken::V,кæрдын,чӏвазе
1352,hacken::V,лыгтæ кæнын,чӏвазе
1353,gießen::V,бакалын,лъалъазе
1354,reifen::V,срæгъæд уын,барщизе
1355,reifen::V,сцæттæ уын,барщизе
1356,zubereiten::V,сцӕттӕ кӕнын,бежа-белъине
1357,kochen::V,фыцын,белъине
1358,backen::V,фыцын,базе
1359,braten::V,цурын,бежизе
1360,umrühren::V,ахæццæ кæнын,багъаризе
1361,umrühren::V,азмæнтын,багъаризе
1362,umrühren::V,астауын,багъаризе
1363,stricken::V,кæнын,хьухьине
1364,stricken::V,бийын,хьухьине
1365,nähen::V,хуыйын,букъизе
1366,färben::V,ахорын,кьер гьабизе
1367,reinigen::V,ссыгъдæг кæнын,бацӏцӏине
1368,reinigen::V,ныссыгъдæг кæнын,бацӏцӏине
1369,reinigen::V,ныссæрфын,бацӏцӏине
1370,waschen::V,ӕхсын,чуризе
1371,abwischen::V,сӕрфын,бацӏцӏине
1372,spülen::V,æнхъæвзын,хулизе
1373,fegen::V,мӕрзын,лъухьизе
1374,kehren::V,мӕрзын,лъухьизе
1375,baden::V,хи найын,чордезе
1376,sich waschen::V,хи æхсын,
1377,ausziehen::V,ласын,бахъизе
1378,anziehen::V,скæнын,ретӏине
1379,sich anziehen::V,дзаума скæнын,ретӏине
1380,sich anziehen::V,дарæс скæнын,ретӏине
1381,kämmen::V,ныффасын,хазе
1382,kämmen::V,æрфасын,хазе
1383,schmücken::V,фӕлындын,чӏухӏизабизе
1384,sagen::V,зæгъын,бицине
1385,sprechen::V,дзурын,бицине
1386,reden::V,ныхас кӕнын,гаргадизе
1387,sich unterhalten::V,ныхас кæнын,гаргадизе
1388,fragen::V,фӕрсын,цӏехезе
1389,fragen::V,фӕрсын,гьикъизе
1390,bitten::V,курын,гьаризе
1391,erzählen::V,радзурын,бицине
1392,erzählen::V,ратаурæгъ кæнын,бицине
1393,mitteilen::V,фехъусын кæнын,лъазабизе
1394,nennen::V,хонын,цӏар лъезе
1395,rufen::V,сидын,ахӏизе
1396,prahlen::V,ӕппӕлын,беццаризе
1397,übersetzen::V,ратæлмац кæнын,буссинабизе
1398,denken::V,ӕнхъӕлын,ургъизе
1399,denken::V,хъуыды кӕнын,ургъизе
1400,glauben::V,уырнын,божизе
1401,bemerken::V,фенын,берречӏчӏизе
1402,erkennen::V,базонын,лъазе
1403,erkennen::V,базонын,батӏаго бахъизе
1404,begreifen::V,ӕмбарын,бичӏчӏизе
1405,begreifen::V,бамбарын,бичӏчӏизе
1406,lernen::V,ахуыр кӕнын,цӏализе
1407,wissen::V,зонын,лъазе
1408,sich erinnern an::V,зæрдыл æрлæууын,ракӏалде щвезе
1409,sich erinnern an::V,æрымысын,ракӏалде щвезе
1410,sich erinnern an::V,æрбаймысын,ракӏалде щвезе
1411,sich erinnern an::V,æрхъуыды кæнын,ракӏалде щвезе
1412,vergessen::V,ферох кæнын,кӏочене
1413,vergessen::V,айрох кæнын,кӏочене
1414,messen::V,барын,борцине
1415,zählen::V,нымайын,рикӏкӏине
1416,rechnen::V,хынцын,рикӏкӏине
1417,lesen::V,кӕсын,цӏализе
1418,lesen::V,фӕрсын,цӏализе
1419,malen::V,ныв кӕнын,бахъизе
1420,zeichnen::V,ныв кӕнын,бахъизе
1421,schreiben::V,фыссын,хъвазе
1422,besitzen::V,хицау уын,щвезе
1423,besitzen::V,хицау уын,бу́кӏине
1424,kaufen::V,балхӕнын,босизе
1425,verkaufen::V,уӕй кӕнын,бичизе
1426,bezahlen::V,бафидын,кьезе
1427,zahlen::V,фидын,кьезе
1428,beherrschen::V,æлдариуæг кæнын,
1429,ertragen::V,бавзарын,баччизе
1430,rauschen::V,,шуршудизе
1431,treten::V,,мал тункизе
