,Concept_ID,pt,tt
64,Geruch::N,cheiro,ис
65,Schlaf::N,sono,йокы
66,Traum::N,sonho,төш
67,Himmel::N,céu,күк
68,Sonne::N,sol,кояш
69,Mond::N,lua,ай
70,Stern::N,estrela,йолдыз
71,Luft::N,ar,һава
72,Wind::N,vento,җил
73,Welle::N,onda,дулкын
74,Wasser::N,água,су
75,Stein::N,pedra,таш
76,Boden::N,solo,туфрак
77,Erde::N,terra,җир
78,Staub::N,pó,тузан
79,Rauch::N,fumo,төтен
80,Funke::N,faísca,очкын
81,Funke::N,centelha,очкын
82,Feuer::N,fogo,ут
83,Licht::N,luz,якты
84,Schatten::N,sombra,күләгә
85,Wetter::N,tempo,һава
86,Nebel::N,nevoeiro,томан
87,Wolke::N,nuvem,болыт
88,Regen::N,chuva,яңгыр
89,Schnee::N,neve,кар
90,Eis::N,gelo,боз
91,Frost::N,gelo,суык
92,Frost::N,gelo,салкын
93,Frost::N,geada,суык
94,Frost::N,geada,салкын
95,Kälte::N,frio,суык
96,Kälte::N,frio,салкын
97,Hitze::N,ardor,эсселек
98,Raureif::N,geada,бәс
99,Raureif::N,geada,сыкы
100,Regenbogen::N,arco-iris,салават күпере
101,Donner::N,trovão,күкрәү
102,Strömung::N,corrente,агыш'агым
103,Tropfen::N,gota,тамчы
104,Schaum::N,espuma,күбек
105,Schmutz::N,sujidade,пычрак
106,Schmutz::N,imundície,пычрак
107,See::N,lago,күл
108,Sumpf::N,charco,саз
109,Sumpf::N,pântano,саз
110,Moor::N,pântano,торфлык
111,Wiese::N,prado,болын
112,Wald::N,bosque,урман
113,Wald::N,floresta,урман
114,Hügel::N,colina,калку
115,Anhöhe::N,alto,үр
116,Anhöhe::N,outeiro,үр
117,Berg::N,monte,тау
118,Berg::N,montanha,тау
119,Gipfel::N,pico,оч
120,Höhle::N,caverna,мәгарә
121,Abhang::N,encosta,кабырга
122,Quelle::N,fonte,чишмә
123,Bach::N,regato,елга
124,Bach::N,ribeiro,елга
125,Fluss::N,rio,дәрья
126,Ufer::N,beira,су кырые
127,Küste::N,costa,яр буе
128,Festland::N,terra firme,коры җир
129,Meer::N,mar,диңгез
130,Bucht::N,baía,бухта
131,Bucht::N,baía,култык
132,Insel::N,ilha,атау
133,Insel::N,ilha,утрау
134,Blume::N,flor,чәчкә
135,Gras::N,erva,үлән
136,Wurzel::N,raiz,тамыр
137,Baum::N,árvore,агач
138,Stamm::N,tronco,кәүсә
139,Rinde::N,casca,кабык
140,Ast::N,ramo,ботак
141,Zweig::N,galho,ботак
142,Zweig::N,galho,тармак
143,Blatt::N,folha,яфрак
144,Birke::N,bétula,каен
145,Kiefer[Baum]::N,pinheiro,нарат
146,Weide[Baum]::N,salgueiro,тал
147,Tanne::N,abeto,чыршы
148,Horn::N,corno,мөгез
149,Horn::N,chifre,мөгез
150,Feder::N,pena,йон
151,Fell::N,pele,тире
152,Flügel::N,asa,канат
153,Klaue::N,pata,тырнак
154,Kralle::N,unha,тырнак
155,Kralle::N,garra,тырнак
156,Schwanz::N,rabo,койрык
157,Schwanz::N,cauda,койрык
158,Ei::N,ovo,күкәй
159,Ei::N,ovo,йомырка
160,Nest::N,ninho,оя
161,Bau::N,toca,өн
162,Bau::N,covil,өн
163,Tier::N,animal,хайван
164,Herde::N,rebanho,көтү
165,Kuh::N,vaca,сыер
166,Bulle::N,touro,үгез
167,Pferd::N,cavalo,ат
168,Schaf::N,ovelha,сарык
169,Schwein::N,porco,дуңгыз
170,Hund::N,cão,эт
171,Katze::N,gata,песи
172,Bär::N,urso,аю
173,Eichhörnchen::N,esquilo,тиен
174,Elch::N,alce,поши
175,Fuchs::N,raposa,төлке
176,Hase::N,lebre,куян
177,Maus::N,rato,тычкан
178,Wolf::N,lobo,бүре
179,Vogel::N,ave,кош
180,Vogel::N,pássaro,кош
181,Schwarm::N,bando,көтү
182,Schwarm::N,enxame,көтү
183,Huhn::N,galinha,тавык
184,Hahn::N,galo,әтәч
185,Gans::N,ganso,каз
186,Adler::N,águia,каракош
187,Ente::N,pata,үрдәк
188,Eule::N,mocho,ябалак
189,Eule::N,coruja,ябалак
190,Kranich::N,grou,торна
191,Krähe::N,gralha,карга
192,Kuckuck::N,cuco,күке
193,Kuckuck::N,cuco,кәккүк
194,Schwan::N,cisne,аккош
195,Fisch::N,peixe,балык
196,Barsch::N,perca,алабуга
197,Hecht::N,lúcio,чуртан
198,Schlange[Tier]::N,serpente,елан
199,Wurm::N,verme,корт
200,Spinne::N,aranha,үрмәкүч
201,Ameise::N,formiga,кырмыска
202,Laus::N,piolho,бет
203,Mücke::N,mosquito,черки
204,Mücke::N,mosquito,озынборын
205,Fliege::N,mosca,чебен
206,Schmetterling::N,borboleta,күбәләк
207,Beere::N,bago,җиләк
208,Apfel::N,maçã,алма
209,Pilz::N,fungo,гөмбә
210,Pilz::N,cogumelo,гөмбә
211,Zwiebel::N,cebola,суган
212,Zwiebel::N,cebola,суганбаш
213,Saat::N,sementeira,орлык
214,Korn::N,grão,иген
215,Korn::N,grão,орлык
216,Heu::N,feno,печән
217,Schale::N,casca,кабык
218,Grube::N,cova,баз
219,Grube::N,cova,чокыр
220,Grube::N,fossa,баз
221,Grube::N,fossa,чокыр
222,Falle::N,armadilha,тозак
223,Falle::N,armadilha,капкын
224,Schlinge::N,laço,элмәк
225,Spur::N,pista,эз
226,Spur::N,vestígio,эз
227,Asche::N,cinza,көл
228,Dreck::N,sujidade,пычрак
229,Eisen::N,ferro,тимер
230,Gold::N,ouro,алтын
231,Silber::N,prata,көмеш
232,Kohle::N,carvão,күмер
233,Glas::N,vidro,пыяла
234,Lehm::N,barro,балчык
235,Lehm::N,argila,балчык
236,Sand::N,areia,ком
237,Mensch::N,homem,адәм
238,Mensch::N,homem,инсан
239,Mensch::N,pessoa,адәм
240,Mensch::N,pessoa,инсан
241,Mann::N,homem,ир
242,Frau::N,mulher,хатын
243,Kind::N,filho,бала
244,Kind::N,criança,бала
245,Junge::N,rapaz,малай
246,Junge::N,menino,малай
247,Mädchen::N,menina,кыз
248,Mädchen::N,rapariga,кыз
249,Familie::N,família,гаилә
250,Großvater::N,avô,бабай
251,Großmutter::N,avó,әби
252,Eltern::N,pais,ата-ана
253,Vater::N,pai,ата
254,Mutter::N,mãe,ана
255,Sohn::N,filho,ул
256,Tochter::N,filha,кыз
257,Bruder::N,irmão,кардәш
258,Schwester::N,irmã,апа
259,Schwester::N,irmã,сеңел
260,Onkel::N,tio,дәдә
261,Onkel::N,tio,дәдәй
262,Tante::N,tia,түти
263,Tante::N,tia,тәтәй
264,Ehemann::N,esposo,ир
265,Ehefrau::N,esposa,хатын
266,Freude::N,prazer,сөенеч
267,Freude::N,alegria,сөенеч
268,Gelächter::N,risada,көлү
269,Gelächter::N,risada,көлеш
270,Gelächter::N,gargalhada,көлү
271,Gelächter::N,gargalhada,көлеш
272,Glück::N,felicidade,бәхет
273,Kummer::N,aflição,хәсрәт
274,Kummer::N,desgosto,хәсрәт
275,Wunsch::N,desejo,теләк
276,Lust::N,vontade,теләк
277,Lust::N,vontade,теләү
278,Geist::N,mente,рух
279,Geist::N,espírito,рух
280,Gedanke::N,ideia,уй
281,Gedanke::N,ideia,фикер
282,Gedanke::N,pensamento,уй
283,Gedanke::N,pensamento,фикер
284,Gedächtnis::N,memória,хәтер
285,Verstand::N,razão,акыл
286,Verstand::N,inteligência,акыл
287,Sinn::N,sentido,мәгънә
288,Sinn::N,significado,мәгънә
289,Grund::N,causa,сәбәп
290,Grund::N,motivo,сәбәп
291,Wahrheit::N,verdade,хак
292,Gespräch::N,conversa,әңгәмә
293,Gespräch::N,conversação,әңгәмә
294,Märchen::N,conto,әкият
295,Erzählung::N,conto,хикәя
296,Erzählung::N,narrativa,хикәя
297,Nachricht::N,mensagem,хәбәр
298,Neuigkeit::N,notícia,яңалык
299,Neuigkeit::N,novidade,яңалык
300,Name::N,nome,исем
301,Rätsel::N,adivinha,табышмак
302,Rede::N,oração,нотык
303,Rede::N,discurso,нотык
304,Sprache::N,língua,тел
305,Stimme::N,voz,тавыш
306,Wort::N,palavra,сүз
307,Zeichen::N,marca,ишарә
308,Ruf::N,grito,дәшү
309,Ruf::N,chamada,дәшү
310,Lärm::N,ruído,шау
311,Lärm::N,barulho,шау
312,Laut::N,som,аваз
313,Ton::N,tom,шалтырату
314,Lied::N,canção,җыр
315,Ruhe::N,calma,тынлык
316,Ruhe::N,silêncio,тынлык
317,Leute::N,gente,халык
318,Leute::N,pessoas,халык
319,Volk::N,povo,халык
320,Volk::N,nação,халык
321,Arbeit::N,trabalho,эш
322,Arbeit::N,trabalho,хезмәт
323,Gast::N,hóspede,кунак
324,Gast::N,convidado,кунак
325,Geschenk::N,prenda,бүләк
326,Geschenk::N,presente,бүләк
327,Spiel::N,jogo,уен
328,Gesellschaft::N,companhia,җәмгыять
329,Hilfe::N,ajuda,ярдәм
330,Hilfe::N,ajuda,булышлык
331,Hilfe::N,socorro,ярдәм
332,Hilfe::N,socorro,булышлык
333,Freund::N,amigo,дус
334,Kamerad::N,camarada,иптәш
335,Angelegenheit::N,assunto,эш
336,Anzahl::N,número,микъдар
337,Anzahl::N,quantidade,микъдар
338,Art::N,tipo,төр
339,Art::N,espécie,төр
340,Stück::N,pedaço,кисәк
341,Teil::N,peça,өлеш
342,Teil::N,parte,өлеш
343,Hälfte::N,metade,ярым
344,Kreis::N,círculo,түгәрәк
345,Kreuz::N,cruz,хач
346,Kreuz::N,cruz,тәре
347,Linie::N,linha,сызык
348,Strich::N,traço,сызык
349,Abstand::N,distância,ара
350,Entfernung::N,distância,ераклык
351,Gegend::N,área,урын
352,Gegend::N,região,урын
353,Platz::N,lugar,бушлык
354,Ort::N,sítio,урын
355,Seite::N,lado,як
356,Mitte::N,meio,урта
357,Gegenstand::N,objecto,нәрсә
358,Sache::N,coisa,нәрсә
359,Rand::N,bordo,чит
360,Rand::N,margem,чит
361,Kante::N,borda,кырый
362,Kante::N,aresta,кырый
363,Ecke::N,esquina,почмак
364,Spitze::N,ponta,оч
365,Ende::N,cabo,азак
366,Ende::N,extremo,азак
367,Loch::N,furo,тишек
368,Loch::N,buraco,тишек
369,Winkel::N,canto,почмак
370,Winkel::N,ângulo,почмак
371,Muster::N,padrão,парча
372,Muster::N,desenho,парча
373,Größe::N,tamanho,зурлык
374,Länge::N,comprimento,озынлык
375,Höhe::N,altura,биеклек
376,Höhe::N,altitude,биеклек
377,Gewicht::N,peso,авырлык
378,Menge::N,quantidade,микъдар
379,Haufen::N,pilha,өем
380,Reihe::N,fila,рәт
381,Boot::N,barco,каек
382,Boot::N,barco,көймә
383,Ruder::N,remo,ишкәк
384,Schlitten::N,trenó,чана
385,Ski::N,esqui,чаңгы
386,Lagerfeuer::N,fogueira,костёр
387,Last::N,carga,йөк
388,Gang::N,curso,йөреш
389,Gang::N,caminhada,йөреш
390,Schritt::N,passo,адым
391,Norden::N,norte,төньяк
392,Süden::N,sul,көньяк
393,Westen::N,oeste,көнбатыш
394,Westen::N,ocidente,көнбатыш
395,Osten::N,este,шәрык
396,Osten::N,este,көнчыгыш
397,Osten::N,leste,шәрык
398,Osten::N,leste,көнчыгыш
399,Osten::N,oriente,шәрык
400,Osten::N,oriente,көнчыгыш
401,Holz::N,madeira,агач
402,Brett::N,tábua,такта
403,Brett::N,prancha,такта
404,Platte::N,laje,плитә
405,Platte::N,chapa,плитә
406,Stütze::N,apoio,таяу
407,Stütze::N,suporte,таяу
408,Stange::N,vara,колга
409,Stange::N,barra,колга
410,Stock::N,pau,таяк
411,Stock::N,bengala,таяк
412,Stab::N,bastão,таяк
413,Rohr::N,cano,торба
414,Haus::N,casa,өй
415,Haus::N,casa,йорт
416,Heim::N,lar,гаилә
417,Heim::N,lar,нәсел
418,Heim::N,casa,гаилә
419,Heim::N,casa,нәсел
420,Ofen::N,estufa,мич
421,Ofen::N,aquecedor,мич
422,Fußboden::N,piso,идән
423,Tisch::N,mesa,өстәл
424,Stuhl::N,cadeira,утыргыч
425,Wiege::N,berço,бишек
426,Bett::N,cama,ятак
427,Bett::N,cama,урын-җир
428,Regal::N,estante,киштә
429,Regal::N,estante,шүрлек
430,Regal::N,prateleira,киштә
431,Regal::N,prateleira,шүрлек
432,Kiste::N,caixa,әрҗә
433,Fenster::N,janela,тәрәзә
434,Tür::N,porta,ишек
435,Tor::N,portão,капка
436,Zaun::N,cerca,койма
437,Zaun::N,vedação,койма
438,Dach::N,telhado,түбә
439,Leiter::N,escada,баскыч
440,Leiter::N,escada móvel,баскыч
441,Besen::N,vassoura,себерке
442,Spaten::N,pá,көрәк
443,Schaufel::N,pá,көрәк
444,Gabel::N,garfo,чәннечке
445,Löffel::N,colher,кашык
446,Messer::N,faca,пычак
447,Nagel::N,cravo,кадак
448,Netz::N,rede,челтәр
449,Haken::N,gancho,ыргак
450,Griff::N,asa,тотка
451,Griff::N,cabo,тотка
452,Schloss::N,fechadura,йозак
453,Bild::N,imagem,рәсем
454,Bild::N,imagem,картина
455,Figur::N,figura,сын
456,Figur::N,figura,фигура
457,Puppe::N,boneca,курчак
458,Beutel::N,saco,луза
459,Beutel::N,bolsa,луза
460,Bündel::N,fardo,бәйләм
461,Tasche::N,saco,букча
462,Tasche::N,bolso,букча
463,Eimer::N,balde,чиләк
464,Deckel::N,tampa,капкач
465,Geschirr::N,louça,савыт-саба
466,Geschirr::N,louça,кашык-аяк
467,Sack::N,saca,капчык
468,Tasse::N,chávena,чынаяк
469,Topf::N,tacho,чүлмәк
470,Topf::N,panela,чүлмәк
471,Kessel::N,caldeira,казан
472,Essen::N,refeição,ашау
473,Nahrung::N,comida,азык
474,Nahrung::N,comida,тәгам
475,Nahrung::N,comida,ашамлык
476,Nahrung::N,alimento,азык
477,Nahrung::N,alimento,тәгам
478,Nahrung::N,alimento,ашамлык
479,Speise::N,prato,ризык
480,Fleisch::N,carne,ит
481,Getreide::N,cereais,ашлык
482,Brei::N,puré,ботка
483,Brot::N,pão,ипи
484,Brot::N,pão,икмәк
485,Scheibe::N,fatia,телем
486,Fett::N,banha,май
487,Fett::N,gordura,май
488,Butter::N,manteiga,май
489,Öl::N,azeite,май
490,Salz::N,sal,тоз
491,Suppe::N,sopa,шулпа
492,Suppe::N,caldo,шулпа
493,Honig::N,mel,бал
494,Milch::N,leite,сөт
495,Tee::N,chá,чәй
496,Leder::N,couro,күн
497,Wolle::N,lã,йон
498,Stoff::N,pano,тукыма
499,Stoff::N,tecido,тукыма
500,Nadel::N,agulha,энә
501,Faden::N,fio,җеп
502,Knopf::N,botão,төймә
503,Knoten::N,nó,төен
504,Farbe::N,corante,буяу
505,Kleidung::N,roupa,кием
506,Kleidung::N,vestuário,кием
507,Hemd::N,camisa,күлмәк
508,Kragen::N,gola,яка
509,Ärmel::N,manga,җиң
510,Hose::N,calça,чалбар
511,Gürtel::N,cinto,билбау
512,Mütze::N,boné,бүрек
513,Mütze::N,barrete,бүрек
514,Schuh::N,sapato,башмак
515,Stiefel::N,bota,итек
516,Ring::N,anel,балдак
517,Band::N,fita,тасма
518,Band::N,faixa,тасма
519,Kamm::N,pente,тарак
520,Spiegel::N,espelho,көзге
521,Riemen::N,correia,каеш
522,Schnur::N,corda,бау
523,Schnur::N,cordel,бау
524,Leine::N,trela,тезген
525,Decke::N,cobertor,юрган
526,Kissen::N,almofada,мендәр
527,Tuch::N,pano,яулык
528,Handtuch::N,toalha,сөлгә
529,Kraft::N,força,егәр
530,Kraft::N,força,дәрман
531,Stärke::N,força,көч
532,Stärke::N,força,дәрман
533,Gesundheit::N,saúde,саулык
534,Krankheit::N,doença,чир
535,Krankheit::N,doença,хаста
536,Krankheit::N,doença,сырхау
537,Krankheit::N,enfermidade,чир
538,Krankheit::N,enfermidade,хаста
539,Krankheit::N,enfermidade,сырхау
540,Schmerz::N,dor,авырту
541,Wunde::N,chaga,яра
542,Wunde::N,chaga,җәрәхәт
543,Wunde::N,ferida,яра
544,Wunde::N,ferida,җәрәхәт
545,Fieber::N,febre,бизгәк
546,Arznei::N,remédio,дару
547,Brücke::N,ponte,күпер
548,Brunnen::N,poço,кое
549,Weide::N,pastagem,утлавык
550,Pfad::N,senda,сукмак
551,Pfad::N,trilho,сукмак
552,Weg::N,caminho,юл
553,Straße::N,via,урам
554,Straße::N,estrada,урам
555,Dorf::N,aldeia,авыл
556,Stadt::N,cidade,шәһәр
557,Brief::N,carta,хат
558,Buch::N,livro,китап
559,Buchstabe::N,letra,хәреф
560,Zeitung::N,jornal,газет
561,Zeitung::N,jornal,газета
562,Leben::N,vida,гомер
563,Leben::N,vida,тормыш
564,Leben::N,vida,тереклек
565,Tod::N,morte,үлем
566,Grab::N,túmulo,гүр
567,Grab::N,túmulo,кабер
568,Grab::N,sepultura,гүр
569,Grab::N,sepultura,кабер
570,Kirche::N,igreja,чиркәү
571,Sünde::N,pecado,язык
572,Sünde::N,pecado,гөнаһ
573,Gott::N,deus,алла
574,Gott::N,deus,ходай
575,Arbeiter::N,operário,эшче
576,Arbeiter::N,trabalhador,эшче
577,Chef::N,chefe,башлык
578,Chef::N,patrão,башлык
579,Meister::N,mestre,оста
580,Arzt::N,médico,врач
581,Arzt::N,médico,табиб
582,Lehrer::N,professor,укытучы
583,Lehrer::N,professor,мөгаллим
584,Geld::N,dinheiro,акча
585,Geschäft::N,negócio,эш
586,Laden::N,loja,кибет
587,Laden::N,loja,магазин
588,Preis::N,preço,бәя
589,Preis::N,preço,бәһа
590,Ware::N,mercadoria,товар
591,Nutzen::N,proveito,файда
592,Reichtum::N,riqueza,байлык
593,Welt::N,mundo,дөнья
594,Land::N,país,ил
595,Staat::N,Estado,дәүләт
596,König::N,rei,патша
597,Macht::N,poder,хакимият
598,Macht::N,potência,хакимият
599,Grenze::N,fronteira,чик
600,Krieg::N,guerra,сугыш
601,Feind::N,inimigo,дошман
602,Gewalt::N,violência,көчләү
603,Kampf::N,luta,көрәш
604,Kampf::N,combate,көрәш
605,Bogen[Waffe]::N,arco,җәя
606,Pfeil::N,seta,ук
607,Pfeil::N,flecha,ук
608,Gewehr::N,espingarda,мылтык
609,Fehler::N,erro,хата
610,Fehler::N,falha,хата
611,Lüge::N,mentira,ялган
612,Schaden::N,dano,зыян
613,Schaden::N,dano,зарар
614,Schaden::N,estrago,зыян
615,Schaden::N,estrago,зарар
616,Unglück::N,desgraça,бәла
617,Schuld::N,culpa,гаеп
618,Alter::N,idade,яшь
619,Schluss::N,fim,ахыр
620,Zeit::N,tempo,заман
621,Tag::N,dia,көн
622,Morgen::N,manhã,иртә
623,Mittag::N,meio-dia,өйлә
624,Abend::N,noite,кич
625,Abend::N,tardinha,кич
626,Nacht::N,noite,төн
627,Woche::N,semana,атна
628,Monat::N,mês,ай
629,Jahr::N,ano,ел
630,Frühling::N,primavera,яз
631,Sommer::N,verão,җәй
632,Herbst::N,outono,көз
633,Winter::N,inverno,кыш
634,Januar::N,Janeiro,гыйнвар
635,Februar::N,Fevereiro,февраль
636,März::N,Março,март
637,April::N,Abril,апрель
638,Mai::N,Maio,май
639,Juni::N,Junho,июнь
640,Juli::N,Julho,июль
641,August::N,Agosto,август
642,September::N,Setembro,сентябрь
643,Oktober::N,Outubro,октябрь
644,November::N,Novembro,ноябрь
645,Dezember::N,Dezembro,декабрь
646,Montag::N,segunda-feira,дүшәмбе
647,Dienstag::N,terça-feira,сишәмбе
648,Mittwoch::N,quarta-feira,чәршәмбе
649,Donnerstag::N,quinta-feira,атнакич
650,Donnerstag::N,quinta-feira,пәнҗешәмбе
651,Freitag::N,sexta-feira,җомга
652,Samstag::N,sábado,шимбә
653,Sonntag::N,domingo,якшәмбе
654,groß::A,grande,зур
655,klein::A,pequeno,кечкенә
656,lang::A,comprido,озын
657,kurz::A,curto,кыска
658,breit::A,largo,киң
659,schmal::A,estreito,кысык
660,dicht::A,denso,куе
661,dick[Gegenstand]::A,grosso,калын
662,dünn::A,delgado,нечкә
663,fein::A,fino,нәзакәтле
664,fein::A,subtil,нәзакәтле
665,fest::A,firme,нык
666,fest::A,sólido,нык
667,flach::A,plano,яссы
668,flach::A,plano,ялпак
669,glatt::A,liso,шома
670,hart::A,duro,каты
671,weich::A,mole,йомшак
672,rund::A,redondo,түгәрәк
673,spitz::A,agudo,очлы
674,scharf::A,afiado,үткен
675,stumpf::A,rombo,үтмәс
676,schwer::A,pesado,салмак
677,schön::A,belo,гүзәл
678,schön::A,bonito,гүзәл
679,heiß::A,quente,эссе
680,warm::A,quente,җылы
681,kalt::A,frio,суык
682,kalt::A,frio,салкын
683,kühl::A,fresco,салкынча
684,frisch::A,fresco,салкынча
685,feucht::A,húmido,юеш
686,nass::A,molhado,дымлы
687,trocken::A,seco,коры
688,voll::A,cheio,тулы
689,leer::A,vazio,буш
690,offen::A,aberto,ачык
691,geschlossen::A,fechado,йомык
692,sauber::A,limpo,пакь
693,sauber::A,limpo,чиста
694,schmutzig::A,sujo,керле
695,schmutzig::A,sujo,пычрак
696,roh::A,cru,чи
697,reif::A,maduro,өлгергән
698,lecker::A,delicioso,тәмле
699,süß::A,doce,татлы
700,bitter::A,amargo,ачы
701,sauer::A,azedo,әче
702,hell::A,claro,якты
703,dunkel::A,escuro,кара
704,dunkel::A,sombrio,кара
705,schwarz::A,preto,кара
706,weiß::A,branco,ак
707,rot::A,vermelho,кызыл
708,gelb::A,amarelo,сары
709,blau::A,azul,күк
710,grün::A,verde,яшел
711,grau::A,cinzento,соры
712,bunt::A,colorido,чуар
713,billig::A,barato,арзан
714,teuer::A,caro,хаклы
715,wertvoll::A,valioso,кыйммәтле
716,wertvoll::A,precioso,кыйммәтле
717,blind::A,cego,сукыр
718,blind::A,cego,күзсез
719,taub::A,surdo,чукрак
720,taub::A,surdo,саңгырау
721,kräftig::A,forte,егәрле
722,kräftig::A,poderoso,егәрле
723,stark::A,forte,нык
724,stark::A,forte,базык
725,stark::A,robusto,нык
726,stark::A,robusto,базык
727,schwach::A,débil,зәгыйфь
728,fett::A,gordo,симез
729,schlank::A,esbelto,нәзек
730,hübsch::A,giro,чибәр
731,hübsch::A,bonito,чибәр
732,böse::A,mau,усал
733,dumm::A,parvo,акылсыз
734,dumm::A,estúpido,акылсыз
735,faul::A,preguiçoso,ялкау
736,faul::A,preguiçoso,иренчәк
737,fleißig::A,aplicado,тырыш
738,fleißig::A,aplicado,тырышучан
739,fleißig::A,diligente,тырыш
740,fleißig::A,diligente,тырышучан
741,geizig::A,avarento,саран
742,klug::A,prudente,акыллы
743,klug::A,inteligente,акыллы
744,geschickt::A,hábil,маһир
745,lieb::A,caro,сөекле
746,lieb::A,querido,сөекле
747,lustig::A,alegre,күңелле
748,sanft::A,suave,басынкы
749,sanft::A,brando,басынкы
750,hungrig::A,faminto,ач
751,krank::A,doente,чирле
752,krank::A,doente,сырхау
753,krank::A,enfermo,чирле
754,krank::A,enfermo,сырхау
755,nackt::A,nu,шәрә
756,nackt::A,despido,шәрә
757,traurig::A,triste,ямансу
758,lebendig::A,vivo,тере
759,gut::A,bom,яхшы
760,schlecht::A,mau,начар
761,schlecht::A,ruim,начар
762,richtig::A,justo,дөрес
763,richtig::A,correcto,дөрес
764,schlimm::A,mau,әшәкә
765,schlimm::A,grave,әшәкә
766,wahr::A,verdadeiro,чып-чын
767,alt::A,velho,иске
768,alt::A,antigo,иске
769,neu::A,novo,яңа
770,ehemalig::A,antigo,элекке
771,alt[Lebewesen]::A,velho,карт
772,jung::A,jovem,яшь
773,arm::A,pobre,фәкыйрь
774,reich::A,rico,бай
775,bekannt::A,conhecido,таныш
776,berühmt::A,famoso,атаклы
777,berühmt::A,célebre,атаклы
778,fremd::A,alheio,ят
779,fremd::A,estranho,ят
780,verschieden::A,diverso,төрле
781,verschieden::A,diferente,төрле
782,nah::A,próximo,якын
783,fern::A,remoto,ерак
784,fern::A,distante,ерак
785,linker::A,esquerdo,сул
786,rechter::A,direito,уң
787,anderer::A,outro,бүтән
788,erster::A,primeiro,беренче
789,zweiter::A,segundo,икенче
790,dritter::A,terceiro,өченче
791,letzter::A,final,ахыргы
792,letzter::A,último,ахыргы
793,allein::ADV,só,ялгыз
794,auf einmal::ADV,de vez,бердән
795,zusammen::ADV,juntos,бергә
796,lange::ADV,muito tempo,озак
797,plötzlich::ADV,de repente,искәрмәстән
798,sofort::ADV,imediatamente,хәзер
799,später::ADV,mais tarde,соңрак
800,jetzt::ADV,agora,хәзер
801,heute::ADV,hoje,бүген
802,morgen::ADV,amanhã,иртәгә
803,bald::ADV,logo,тиздән
804,bald::ADV,breve,тиздән
805,dann::ADV,então,аннары
806,dann::ADV,depois,аннары
807,gestern::ADV,ontem,кичә
808,einst::ADV,antigamente,берчак
809,damals::ADV,então,ул вакытта
810,damals::ADV,então,ул чакта
811,danach::ADV,logo,да
812,danach::ADV,depois,да
813,vorher::ADV,antes,элек
814,zuerst::ADV,primeiro,башта
815,einmal::ADV,uma vez,бер
816,einmal::ADV,uma vez,бер мәртәбә
817,manchmal::ADV,às vezes,кайчакта
818,oft::ADV,muitas vezes,еш
819,immer::ADV,sempre,һәркайчан
820,niemals::ADV,nunca,hичбер вакыт
821,hier::ADV,cá,монда
822,hier::ADV,cá,биредә
823,hier::ADV,aqui,монда
824,hier::ADV,aqui,биредә
825,hierhin::ADV,para cá,монда
826,von hier::ADV,daqui,моннан
827,dort::ADV,lá,анда
828,dort::ADV,ali,анда
829,dorthin::ADV,lá,тегеләй
830,dorthin::ADV,para lá,тегеләй
831,geradeaus::ADV,em frente,турыдан-туры
832,vorwärts::ADV,avante,алга
