,Concept_ID,mhr,ga
337,Hilfe::N,по́лыш,cabhair
338,Freund::N,таҥ,cara
339,Freund::N,йолта́ш,cara
340,Kamerad::N,таҥ,comrádaí
341,Angelegenheit::N,паша́,ábhar
342,Anzahl::N,чот,líon
343,Art::N,вид,sórt
344,Art::N,вид,saghas
345,Stück::N,ка́тыш,píosa
346,Stück::N,ла́стык,píosa
347,Teil::N,ужа́ш,cuid
348,Teil::N,ужа́ш,páirt
349,Hälfte::N,пел,leath
350,Hälfte::N,пе́ле,leath
351,Kreis::N,ты́ртыш,ciorcal
352,Kreuz::N,ыре́с,cros
353,Linie::N,ли́ний,líne
354,Strich::N,коре́ш,stríoc
355,Abstand::N,кокла́,achar
356,Entfernung::N,тора́,fad
357,Entfernung::N,ку́жыт,fad
358,Gegend::N,кунде́м,ceantar
359,Platz::N,ку́мдык,áit
360,Platz::N,ку́мдык,spás
361,Ort::N,вер,áit
362,Ort::N,о́лмо,áit
363,Seite::N,ӧ́рдыж,taobh
364,Mitte::N,покше́л,lár
365,Gegenstand::N,наста́,ball
366,Gegenstand::N,наста́,ábhar
367,Sache::N,наста́,ní
368,Sache::N,наста́,rud
369,Rand::N,тӱр,imeall
370,Rand::N,тӱр,ciumhais
371,Kante::N,тӱр,corr
372,Kante::N,тӱр,colbha
373,Ecke::N,лук,coirnéal
374,Spitze::N,вуй,gob
375,Spitze::N,вуй,barr
376,Ende::N,муча́ш,ceann
377,Ende::N,муча́ш,foirceann
378,Loch::N,рож,poll
379,Winkel::N,лук,cúinne
380,Winkel::N,лук,uillinn
381,Muster::N,пеза́к,patrún
382,Muster::N,узо́р,patrún
383,Muster::N,ӱ́лгӧ,patrún
384,Größe::N,кӱ́кшыт,méid
385,Größe::N,кӱ́кшыт,toise
386,Länge::N,ку́тыш,fad
387,Höhe::N,кӱ́кшыт,airde
388,Gewicht::N,не́лыт,meáchan
389,Menge::N,чот,méid
390,Haufen::N,кы́шыл,cnap
391,Reihe::N,рада́м,líne
392,Reihe::N,рада́м,sraith
393,Boot::N,пуш,bád
394,Ruder::N,эшка́к,rámh
395,Ruder::N,эшка́к,maide rámha
396,Schlitten::N,тер,carr sleamhnáin
397,Schlitten::N,изде́р,carr sleamhnáin
398,Ski::N,е́че,scí
399,Lagerfeuer::N,туло́то,tine champa
400,Last::N,нӧ́лтыш,ualach
401,Gang::N,ошкылма́ш,siúlóid
402,Schritt::N,о́шкыл,céim
