,Concept_ID,ml,it
106,Sumpf::N,ചതുപ്പുനിലം,palude
107,Moor::N,പാഴ്നിലം,torbiera
108,Wiese::N,പുൽത്തകിടി,prato
109,Wald::N,വനം,bosco
110,Wald::N,വനം,foresta
111,Wald::N,കാട്,bosco
112,Wald::N,കാട്,foresta
113,Hügel::N,കുന്ന്,colle
114,Hügel::N,കുന്ന്,collina
115,Anhöhe::N,ഉയർന്ന ഭൂമി,altura
116,Berg::N,പർവ്വതം,monte
117,Berg::N,പർവ്വതം,montagna
118,Gipfel::N,ഉച്ചകോടി,cima
119,Höhle::N,ഗുഹ,grotta
120,Höhle::N,ഗുഹ,caverna
121,Abhang::N,ചരിവ്,pendìo
122,Quelle::N,ഉറവിടം,sorgente
123,Bach::N,അരുവി,ruscello
124,Fluss::N,നദി,fiume
125,Ufer::N,തീരം,riva
126,Küste::N,കടൽത്തീരം,costa
127,Festland::N,കര,terraferma
128,Meer::N,കടൽ,mare
129,Bucht::N,ഉൾക്കടല്,cala
130,Insel::N,ദ്വീപ്,ìsola
131,Blume::N,പൂവ്,fiore
132,Gras::N,പുല്ല്,erba
133,Wurzel::N,വേര്,radice
134,Baum::N,മരം,àlbero
135,Stamm::N,തായ്ത്തടി,tronco
136,Rinde::N,പട്ട,corteccia
137,Ast::N,ശാഖ,ramo
138,Zweig::N,ശാഖ,ramo
139,Blatt::N,ഇല,foglia
140,Birke::N,പൂവരശ്,betulla
141,Kiefer[Baum]::N,പൈൻമരം,pino
142,Weide[Baum]::N,വില്ലോ,sàlice
143,Tanne::N,ദേവദാരു,abete
144,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,corno
145,Feder::N,തൂവൽ,penna
146,Fell::N,മൃദുരോമം,manto
147,Fell::N,മൃദുരോമം,pelame
148,Flügel::N,ചിറക്,ala
149,Klaue::N,നഖം,grinfia
150,Kralle::N,നഖം,unghia
151,Kralle::N,നഖം,artiglio
152,Schwanz::N,വാൽ,coda
153,Ei::N,മുട്ട,uovo
154,Nest::N,കൂട്,nido
155,Bau::N,മാളം,covo
156,Tier::N,മൃഗം,bestia
157,Tier::N,മൃഗം,animale
158,Herde::N,കൂട്ടം,gregge
159,Kuh::N,പശു,vacca
160,Bulle::N,കാള,toro
161,Pferd::N,കുതിര,cavallo
162,Schaf::N,ആട്,pècora
163,Schwein::N,പന്നി,porco
164,Schwein::N,പന്നി,maiale
165,Hund::N,നായ്,cane
166,Katze::N,പൂച്ച,gatta
167,Bär::N,കരടി,orso
168,Eichhörnchen::N,അണ്ണാൻ,scoiàttolo
169,Elch::N,കടമാന്,alce
170,Fuchs::N,കുറുക്കൻ,volpe
171,Hase::N,മുയൽ,lepre
172,Maus::N,ചുണ്ടലി,topo
173,Maus::N,ചുണ്ടലി,sorcio
174,Wolf::N,ചെന്നായ,lupo
175,Vogel::N,പക്ഷി,uccello
176,Schwarm::N,കൂട്ടം,stormo
177,Huhn::N,കോഴി,gallina
178,Hahn::N,പൂവൻകോഴി,gallo
179,Gans::N,അരയന്നം,oca
180,Adler::N,കഴുകൻ,àquila
181,Ente::N,താറാവ്,ànatra
182,Eule::N,മൂങ്ങ,gufo
183,Eule::N,മൂങ്ങ,civetta
184,Kranich::N,കൊക്ക്,gru
185,Krähe::N,കാക്ക,cornacchia
186,Kuckuck::N,കുയിൽ,cuccù
187,Kuckuck::N,കുയിൽ,cùculo
188,Schwan::N,അരയന്നം,cigno
189,Fisch::N,മത്സ്യം,pesce
190,Barsch::N,ഒരിനം മത്സ്യം,pèrsico
191,Hecht::N,ഒരു മത്സ്യം,luccio
192,Schlange[Tier]::N,പാമ്പ്,serpente
193,Wurm::N,വിര,baco
194,Wurm::N,വിര,verme
195,Spinne::N,ചിലന്തി,ragno
196,Ameise::N,ഉറുമ്പ്,formica
197,Laus::N,പേന്,pidocchio
198,Mücke::N,മശകം,zanzara
199,Fliege::N,ഈച്ച,mosca
200,Schmetterling::N,ചിത്രശലഭം,farfalla
201,Beere::N,ബെറി,bacca
202,Apfel::N,ആപ്പിൾ,mela
203,Pilz::N,കൂൺ,fungo
204,Zwiebel::N,സവാള,cipolla
205,Saat::N,വിത്ത്,semente
206,Korn::N,ധാന്യം,grano
207,Heu::N,വയ്ക്കോൽ,fieno
208,Schale::N,തൊലി,buccia
209,Grube::N,കുഴി,cava
210,Grube::N,കുഴി,fossa
211,Falle::N,കെണി,tràppola
212,Schlinge::N,കുടുക്ക്,laccio
213,Spur::N,ചുവട്,traccia
214,Asche::N,ചാരം,cenere
215,Dreck::N,അഴുക്ക്,fango
216,Eisen::N,ഇരുമ്പ്,ferro
217,Gold::N,സ്വർണ്ണം,oro
218,Silber::N,വെള്ളി,argento
219,Kohle::N,കൽക്കരി,carbone
220,Glas::N,ഗ്ലാസ്,vetro
221,Lehm::N,കളിമണ്ണ്,argilla
222,Sand::N,മണൽ,arena
223,Sand::N,മണൽ,sabbia
224,Mensch::N,മനുഷ്യർ,uomo
225,Mensch::N,മനുഷ്യർ,èssere umano
226,Mann::N,പുരുഷൻ,uomo
227,Frau::N,സ്ത്രീ,donna
228,Kind::N,കുഞ്ഞ്,bambino
229,Junge::N,ആൺകുട്ടി,ragazzo
230,Mädchen::N,പെൺകുട്ടി,ragazza
231,Familie::N,കുടുംബം,famiglia
232,Großvater::N,അപ്പൂപ്പൻ,nonno
233,Großmutter::N,അമ്മുമ്മ,nonna
234,Eltern::N,മാതാപിതാക്കള്,genitori
235,Vater::N,അച്ഛൻ,padre
236,Mutter::N,അമ്മ,madre
237,Sohn::N,മകൻ,figlio
238,Tochter::N,മകൾ,figlia
239,Bruder::N,ചേട്ടൻ,fratello
240,Bruder::N,അനിയൻ,fratello
241,Schwester::N,ചേച്ചി,sorella
242,Schwester::N,അനിയത്തി,sorella
243,Onkel::N,അമ്മാവൻ,zio
244,Tante::N,മാമി,zia
245,Ehemann::N,ഭർത്താവ്,marito
246,Ehefrau::N,ഭാര്യ,moglie
247,Freude::N,ആഹ്ലാദം,gioia
248,Freude::N,ആഹ്ലാദം,piacere
249,Gelächter::N,ചിരിയുടെ ശബ്ദം,risata
250,Glück::N,സന്തോഷം,felicità
251,Glück::N,സന്തുഷ്ടി,felicità
252,Kummer::N,ശോകം,afflizione
253,Wunsch::N,ആഗ്രഹം,desiderio
254,Lust::N,ആഗ്രഹം,voglia
255,Geist::N,ചുറുചുറുക്ക്,mente
256,Geist::N,ചുറുചുറുക്ക്,spìrito
257,Gedanke::N,ചിന്ത,idea
258,Gedanke::N,ചിന്ത,pensiero
259,Gedächtnis::N,ഓർമ്മശക്തി,memoria
260,Verstand::N,മനസ്സ്,intelletto
261,Sinn::N,അർത്ഥം,senso
262,Sinn::N,അർത്ഥം,significato
263,Grund::N,കാരണം,causa
264,Grund::N,കാരണം,motivo
265,Grund::N,കാരണം,ragione
266,Wahrheit::N,സത്യം,verità
267,Gespräch::N,സല്ലാപം,discorso
268,Gespräch::N,സല്ലാപം,conversazione
269,Märchen::N,യക്ഷിക്കഥ,fiaba
270,Märchen::N,യക്ഷിക്കഥ,fàvola
271,Erzählung::N,കഥ,racconto
272,Erzählung::N,കഥ,narrazione
273,Nachricht::N,സന്ദേശം,messaggio
274,Neuigkeit::N,വാർത്ത,notizia
275,Name::N,പേര്,nome
276,Rätsel::N,പ്രഹേളിക,indovinello
277,Rede::N,സംസാരം,discorso
278,Sprache::N,ഭാഷ,lingua
279,Sprache::N,ഭാഷ,linguaggio
280,Stimme::N,സ്വരം,voce
281,Wort::N,വാക്ക്,parola
282,Zeichen::N,സംജ്ഞ,segno
283,Zeichen::N,സംജ്ഞ,segnale
284,Ruf::N,വിളി,chiamata
285,Lärm::N,ആരവം,chiasso
286,Lärm::N,ആരവം,strèpito
287,Laut::N,ശബ്ദം,suono
288,Ton::N,സ്വരഭേദം,tono
289,Lied::N,പാട്ട്,canto
290,Lied::N,പാട്ട്,canzone
291,Ruhe::N,നിശ്ചലത,calma
292,Ruhe::N,നിശ്ചലത,tranquillità
293,Leute::N,ജനങ്ങൾ,gente
294,Volk::N,രാഷ്ടം,pòpolo
295,Arbeit::N,ജോലി,lavoro
296,Gast::N,അതിലി,òspite
297,Gast::N,അതിലി,invitato
298,Geschenk::N,സമ്മാനം,regalo
299,Spiel::N,കളി,gioco
300,Gesellschaft::N,കൂട്ടായ്മ,compagnìa
301,Hilfe::N,സഹായം,aiuto
302,Hilfe::N,സഹായം,soccorso
303,Freund::N,സുഹൃത്ത്,amico
304,Kamerad::N,കൂട്ടാളി,camerata
305,Angelegenheit::N,കാര്യം,affare
306,Angelegenheit::N,കാര്യം,faccenda
307,Anzahl::N,എണ്ണം,nùmero
308,Anzahl::N,എണ്ണം,quantità
309,Art::N,തരം,tipo
310,Art::N,തരം,specie
311,Stück::N,കഷണം,pezzo
312,Teil::N,ഭാഗം,parte
313,Hälfte::N,പകുതി,metà
314,Kreis::N,വൃത്തം,cìrcolo
315,Kreuz::N,കുരിശടയാളം,croce
316,Linie::N,വര,lìnea
317,Linie::N,രേഖ,lìnea
318,Strich::N,പക്ഷാഘാതം,tratto
319,Abstand::N,വിടവ്,distanza
320,Entfernung::N,അകലം,distanza
321,Entfernung::N,അകലം,lontananza
322,Gegend::N,പ്രദേശം,regione
323,Platz::N,ഇടം,posto
324,Platz::N,ഇടം,spazio
325,Ort::N,സ്ഥലം,luogo
326,Ort::N,സ്ഥലം,località
327,Seite::N,വശം,lato
328,Seite::N,വശം,parte
329,Mitte::N,മധ്യസ്ഥാനം,mezzo
330,Mitte::N,മധ്യസ്ഥാനം,centro
331,Gegenstand::N,സാധനം,oggetto
332,Sache::N,വസ്തു,cosa
333,Rand::N,തൊങ്ങൽ,orlo
334,Rand::N,തൊങ്ങൽ,bordo
335,Kante::N,അറ്റം,spìgolo
336,Ecke::N,മൂല,canto
337,Spitze::N,അഗ്രം,punta
338,Ende::N,അവസാനം,capo
339,Ende::N,അവസാനം,estremità
340,Loch::N,ദ്വാരം,buco
341,Winkel::N,കോൺ,àngolo
342,Muster::N,ക്രമം,disegno
343,Größe::N,വലുപ്പം,taglia
344,Größe::N,വലുപ്പം,grandezza
345,Länge::N,നീളം,lunghezza
346,Höhe::N,ഉയരം,altezza
347,Gewicht::N,കട്ടി,peso
348,Menge::N,അളവ്,quantità
349,Haufen::N,കൂമ്പാരം,cùmulo
350,Haufen::N,കൂമ്പാരം,mucchio
351,Reihe::N,വരി,fila
352,Boot::N,ബോട്ട്,barca
353,Boot::N,ബോട്ട്,battello
354,Ruder::N,പങ്കായം,remo
355,Schlitten::N,ഉരുളില്ലാവണ്ടി,slitta
356,Ski::N,ഹിമപാദുകം,sci
357,Lagerfeuer::N,തീ,falò
358,Lagerfeuer::N,തീ,fuoco di bivacco
359,Last::N,ഭാരം,càrico
360,Gang::N,നടത്തം,andata
361,Schritt::N,ചുവട്,passo
362,Norden::N,വടക്ക്,nord
363,Norden::N,വടക്ക്,settentrione
364,Süden::N,തെക്ക്,sud
365,Süden::N,തെക്ക്,meridione
366,Westen::N,പടിഞ്ഞാറ്,òvest
367,Westen::N,പടിഞ്ഞാറ്,occidente
368,Osten::N,കിഴക്ക്,est
369,Osten::N,കിഴക്ക്,oriente
370,Holz::N,തടി,legno
371,Brett::N,ബോർഡ്,asse
372,Brett::N,ബോർഡ്,tàvola
373,Platte::N,തകിട്,lastra
374,Platte::N,തകിട്,piastra
375,Stütze::N,താങ്ങ്,supporto
376,Stange::N,കമ്പ്,sbarra
377,Stange::N,കമ്പ്,pèrtica
378,Stock::N,വടി,verga
379,Stock::N,വടി,bastone
380,Stock::N,വടി,bacchetta
381,Stab::N,കുറുവടി,asta
382,Rohr::N,കുഴൽ,tubo
383,Haus::N,വീട്,casa
384,Heim::N,വീട്,casa
385,Ofen::N,സ്റ്റൌ,stufa
386,Fußboden::N,തറ,pavimento
387,Tisch::N,മേശ,tàvolo
388,Stuhl::N,കസേര,sedia
389,Wiege::N,തൊട്ടിൽ,culla
390,Bett::N,കിടക്ക,letto
391,Regal::N,ഷെൽഫ്,scaffale
392,Kiste::N,പെട്ടി,cassa
393,Fenster::N,ജനൽ,finestra
394,Tür::N,വാതിൽ,porta
395,Tor::N,കവാടം,portone
396,Zaun::N,വേലി,recinto
397,Dach::N,മേൽക്കുര,tetto
398,Leiter::N,ഏണി,scala
399,Leiter::N,ഏണി,scala a pioli
400,Besen::N,ചൂല്,scopa
401,Spaten::N,തൂമ്പ,vanga
402,Schaufel::N,തൂമ്പ,pala
403,Gabel::N,മുൾക്കത്തി,forchetta
404,Löffel::N,സ്പൂൺ,cucchiaio
405,Messer::N,കത്തി,coltello
406,Nagel::N,ആണി,chiodo
407,Netz::N,വല,rete
408,Haken::N,കൊളുത്ത്,uncino
409,Griff::N,കൈപ്പിടി,mànico
410,Griff::N,കൈപ്പിടി,maniglia
411,Schloss::N,പൂട്ട്,serratura
412,Bild::N,ചിത്രം,quadro
413,Bild::N,ചിത്രം,immàgine
414,Figur::N,കണക്ക്,figura
415,Puppe::N,പാവ,bàmbola
416,Beutel::N,ബാഗ്,borsa
417,Beutel::N,ബാഗ്,sacchetto
418,Bündel::N,കെട്ട്,fascio
419,Bündel::N,കെട്ട്,fagotto
420,Tasche::N,ബാഗ്,borsa
421,Eimer::N,ബക്കറ്റ്,secchio
422,Deckel::N,ഉറ,coperchio
423,Geschirr::N,പിഞ്ഞാണം,stoviglie
424,Sack::N,ചാക്ക്,sacco
425,Tasse::N,കപ്പ്,tazza
426,Topf::N,പാത്രം,pèntola
427,Kessel::N,കെറ്റ്ല്,paiolo
428,Kessel::N,കെറ്റ്ല്,calderone
429,Essen::N,ആഹാരസമയം,pasto
430,Essen::N,ആഹാരസമയം,mangiare
431,Nahrung::N,ഭക്ഷണം,cibo
432,Nahrung::N,ഭക്ഷണം,alimento
433,Speise::N,ഡിഷ്,piatto
434,Fleisch::N,മാംസം,carne
435,Getreide::N,ചോളം,cereali
436,Brei::N,കഞ്ഞി,purè
437,Brei::N,കഞ്ഞി,pappa
438,Brot::N,റോട്ടി,pane
439,Scheibe::N,തുണ്ട്,fetta
440,Scheibe::N,തുണ്ട്,trancia
441,Fett::N,കൊഴുപ്പ്,grasso
442,Butter::N,വെണ്ണ,burro
443,Öl::N,എണ്ണ,olio
444,Salz::N,ഉപ്പ്,sale
445,Suppe::N,സൂപ്പ്,zuppa
446,Suppe::N,സൂപ്പ്,minestra
447,Honig::N,തേൻ,miele
448,Milch::N,പാൽ,latte
449,Tee::N,ചായ,tè
450,Leder::N,തുകൽ,pelle
451,Wolle::N,കമ്പിളി,lana
452,Stoff::N,തുണി,panno
453,Stoff::N,തുണി,tessuto
454,Nadel::N,സൂചി,ago
455,Faden::N,നൂല്,filo
456,Knopf::N,ബട്ടൺ,bottone
457,Knoten::N,കുരുക്ക്,nodo
458,Farbe::N,പെയിൻറ്,pittura
459,Kleidung::N,വസ്ത്രങ്ങൾ,vestiti
460,Kleidung::N,വസ്ത്രങ്ങൾ,vestiario
461,Hemd::N,ഷർട്ട്,camicia
462,Kragen::N,കുപ്പായക്കഴുത്ത്,bàvero
463,Kragen::N,കുപ്പായക്കഴുത്ത്,colletto
464,Ärmel::N,കുപ്പായക്കൈ,mànica
465,Hose::N,ട്രൌസർ,calzoni
466,Gürtel::N,ബെൽറ്റ്,cintura
467,Mütze::N,തൊപ്പി,berretto
468,Schuh::N,ഷൂ,scarpa
469,Stiefel::N,ബൂട്ട്,stivale
470,Ring::N,മോതിരം,anello
471,Band::N,റിബൺ,nastro
472,Band::N,റിബൺ,fettuccia
473,Kamm::N,ചീപ്പ്,pèttine
474,Spiegel::N,കണ്ണാടി,specchio
475,Riemen::N,സ്ട്രാപ്പ്,cinghia
476,Schnur::N,ചരട്,corda
477,Leine::N,കെട്ടാനുള്ള തോൽവാർ,guinzaglio
478,Decke::N,പുതപ്പ്,coperta
479,Kissen::N,തലയിണ,cuscino
480,Kissen::N,തലയിണ,guanciale
481,Tuch::N,സ്കാർഫ്,fazzoletto
482,Handtuch::N,തോർത്ത്,asciugamano
483,Kraft::N,ശക്തി,forza
484,Stärke::N,ശക്തി,forza
485,Stärke::N,ശക്തി,vigore
486,Stärke::N,ശക്തി,fortezza
487,Gesundheit::N,ആരോഗ്യം,salute
488,Krankheit::N,അസുഖം,malattìa
489,Schmerz::N,വേദന,dolore
490,Wunde::N,മുറിവ്,piaga
491,Wunde::N,മുറിവ്,ferita
492,Fieber::N,പനി,febbre
493,Arznei::N,മരുന്ന്,fàrmaco
494,Arznei::N,മരുന്ന്,medicina
495,Brücke::N,പാലം,ponte
496,Brunnen::N,കിണർ,pozzo
497,Weide::N,മേച്ചൽ,pàscolo
498,Pfad::N,വഴി,sentiero
499,Weg::N,വഴി,via
500,Weg::N,വഴി,cammino
501,Straße::N,റോഡ്,strada
502,Dorf::N,ഗ്രാമം,paese
503,Dorf::N,ഗ്രാമം,villaggio
504,Stadt::N,നഗരം,città
505,Brief::N,കത്ത്,lèttera
506,Buch::N,പുസ്തകം,libro
507,Buchstabe::N,അക്ഷരം,lèttera
508,Zeitung::N,വർത്തമാനപത്രം,giornale
509,Leben::N,ജീവൻ,vita
510,Tod::N,മരണം,morte
511,Grab::N,ശവക്കുഴി,tomba
512,Grab::N,ശവക്കുഴി,sepolcro
513,Kirche::N,പള്ളി,chiesa
514,Sünde::N,പാപം,peccato
515,Gott::N,ദൈവം,dio
516,Arbeiter::N,ജോലിക്കാരൻ,operaio
517,Arbeiter::N,ജോലിക്കാരൻ,lavoratore
518,Chef::N,മേധാവി,capo
519,Chef::N,മേധാവി,padrone
520,Meister::N,യജമാനൻ,mastro
521,Meister::N,യജമാനൻ,maestro
522,Arzt::N,ഡോക്ടർ,mèdico
523,Arzt::N,ഡോക്ടർ,dottore
524,Lehrer::N,അധ്യാപകൻ,professore
525,Geld::N,പണം,soldi
526,Geld::N,പണം,denaro
527,Geschäft::N,ബിസിനസ്,affare
528,Geschäft::N,ബിസിനസ്,negozio
529,Laden::N,കട,negozio
530,Preis::N,വില,prezzo
531,Ware::N,ചരക്ക്,merce
532,Nutzen::N,ലാഭം,ùtile
533,Nutzen::N,ലാഭം,profitto
534,Reichtum::N,ധനം,ricchezza
535,Welt::N,ലോകം,mondo
536,Land::N,രാജ്യം,paese
537,Staat::N,രാജ്യം,Stato
538,König::N,രാജാവ്,re
539,Macht::N,അധികാരം,potere
540,Grenze::N,അതിർത്തി,confine
541,Grenze::N,അതിർത്തി,frontiera
542,Krieg::N,യുദ്ധം,guerra
543,Feind::N,ശത്രു,nemico
544,Gewalt::N,അക്രമം,violenza
545,Kampf::N,പോരാട്ടം,lotta
546,Bogen[Waffe]::N,വില്ല്,arco
547,Pfeil::N,അമ്പ്,freccia
548,Gewehr::N,തോക്ക്,fucile
549,Fehler::N,പിശക്,errore
550,Fehler::N,പിശക്,sbaglio
551,Lüge::N,കള്ളം,bugìa
552,Lüge::N,കള്ളം,menzogna
553,Schaden::N,കേടുപാട്,danno
554,Unglück::N,ദൌർഭാഗ്യം,sfortuna
555,Schuld::N,തെറ്റ്,colpa
556,Alter::N,വയസ്സ്,età
557,Schluss::N,നിഗമനം,fine
558,Zeit::N,സമയം,tempo
559,Tag::N,ദിവസം,giorno
560,Tag::N,ദിവസം,giornata
561,Morgen::N,പ്രഭാതം,mattina
562,Mittag::N,ഉച്ച,mezzogiorno
563,Abend::N,സായാഹ്നം,sera
564,Abend::N,സായാഹ്നം,serata
565,Nacht::N,രാത്രി,notte
566,Woche::N,ആഴ്ച,settimana
567,Monat::N,മാസം,mese
568,Jahr::N,വർഷം,anno
569,Frühling::N,വസന്തം,primavera
570,Sommer::N,വേനൽ,estate
571,Herbst::N,ശരത്കാലം,autunno
572,Winter::N,ശൈത്യം,inverno
573,Januar::N,ജനുവരി,gennaio
574,Februar::N,ഫെബ്രുവരി,febbraio
575,März::N,മാർച്ച്,marzo
576,April::N,ഏപ്രിൾ മാസം,aprile
577,Mai::N,മെയ് മാസം,maggio
578,Juni::N,ജൂൺ,giugno
579,Juli::N,ജൂലൈ,luglio
580,August::N,ആഗസ്റ്റ്,agosto
581,September::N,സെപ്തംബർ,settembre
582,Oktober::N,ഒക്ടോബർ,ottobre
583,November::N,നവംബർ,novembre
584,Dezember::N,ഡിസംബർ,dicembre
585,Montag::N,തിങ്കളാഴ്ച,lunedì
586,Dienstag::N,ചൊവ്വ,martedì
587,Mittwoch::N,ബുധനാഴ്ച,mercoledì
588,Donnerstag::N,വ്യാഴാഴ്ച,giovedì
589,Freitag::N,വെള്ളിയാഴ്ച,venerdì
590,Samstag::N,ശനിയാഴ്ച,sàbato
591,Sonntag::N,ഞായറാഴ്ച,domenica
592,groß::A,വലിയ,grande
593,klein::A,ചെറിയ,pìccolo
594,lang::A,നീണ്ട,lungo
595,kurz::A,ഹ്രസ്വമായ,corto
596,breit::A,വിശാലമായ,largo
597,schmal::A,ഇടുങ്ങിയ,stretto
598,dicht::A,നിബിഡമായ,denso
599,dick[Gegenstand]::A,തടിച്ച,spesso
600,dünn::A,മെലിഞ്ഞ,sottile
601,fein::A,നേർത്ത,fine
602,fein::A,നേർത്ത,delicato
603,fest::A,ഉറപ്പുള്ള,sodo
604,fest::A,ഉറപ്പുള്ള,fisso
605,flach::A,പരന്ന,piano
606,flach::A,പരന്ന,piatto
607,glatt::A,മിനുസമുള്ള,liscio
608,hart::A,കട്ടിയുള്ള,duro
609,weich::A,മൃദുവായ,molle
610,rund::A,വട്ടത്തിലുള്ള,rotondo
611,spitz::A,മുനയുള്ള,aguzzo
612,spitz::A,മുനയുള്ള,appuntito
613,scharf::A,മൂർച്ചയുള്ള,affilato
614,scharf::A,മൂർച്ചയുള്ള,tagliente
615,stumpf::A,തുറന്നടിക്കുന്ന,smussato
616,schwer::A,ഭാരമുള്ള,pesante
617,schön::A,മനോഹരമായ,bello
618,heiß::A,ചൂടുള്ള,caldo
619,heiß::A,ചൂടുള്ള,bollente
620,warm::A,ചൂടുള്ള,caldo
621,kalt::A,തണുത്ത,freddo
622,kühl::A,തണുപ്പുള്ള,fresco
623,frisch::A,ശുദ്ധമായ,fresco
624,feucht::A,ഈറനുള്ള,ùmido
625,nass::A,നനഞ്ഞ,bagnato
626,trocken::A,വരണ്ട,secco
627,voll::A,നിറയെ,pieno
628,leer::A,ഒഴിഞ്ഞ,vuoto
629,offen::A,തുറന്ന,aperto
630,geschlossen::A,അടച്ച,chiuso
631,sauber::A,വൃത്തിയുള്ള,netto
632,sauber::A,വൃത്തിയുള്ള,pulito
633,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sporco
634,schmutzig::A,അഴുക്കുനിറഞ്ഞ,sùdicio
635,roh::A,അസംസ്കൃതമായ,crudo
636,reif::A,പഴുത്ത,maturo
637,lecker::A,രുചികരമായ,ghiotto
638,lecker::A,രുചികരമായ,squisito
639,süß::A,മധുരമുള്ള,dolce
640,bitter::A,കടുത്ത,amaro
641,sauer::A,പുളിപ്പുള്ള,aspro
642,sauer::A,പുളിപ്പുള്ള,acerbo
643,hell::A,ജ്വലിക്കുന്ന,chiaro
644,dunkel::A,ഇരുണ്ട,buio
645,dunkel::A,ഇരുണ്ട,oscuro
646,schwarz::A,കറുത്ത,nero
647,weiß::A,വെളുത്ത,bianco
648,rot::A,ചുവന്ന,rosso
649,gelb::A,മഞ്ഞനിറമായ,giallo
