,Concept_ID,br,mrj
87,Regenbogen::N,gwareg-ar-glav,шанавӹл
88,Donner::N,kurun,хӹдӹртӹш
89,Strömung::N,red,йогы
90,Tropfen::N,bannac'h,капльы
91,Tropfen::N,bannac'h,капльык
92,Tropfen::N,takenn,капльы
93,Tropfen::N,takenn,капльык
94,Schaum::N,spoum,шонг
95,Schmutz::N,fank,лявӹрӓ
96,See::N,lenn,йӓр
97,Sumpf::N,gwern,лӱкӹ
98,Moor::N,taouarc'heg,куп
99,Wiese::N,prad,алык
100,Wald::N,koad,шӹргӹ
101,Hügel::N,torgenn,пӱгӹрикӓ
102,Anhöhe::N,run,кӱкшикӓ
103,Berg::N,menez,кырык
104,Gipfel::N,barr,неркӓ
105,Höhle::N,kav,ы́раж
106,Abhang::N,naou,полом
107,Quelle::N,feunteun,вӹдсӹнзӓ
108,Bach::N,gwazh,ӓнгӹр
109,Fluss::N,stêr,вӹд
110,Ufer::N,ribl,сир
111,Küste::N,aod,сир
112,Festland::N,douar,мӱлӓндӹ
113,Meer::N,mor,тангыж
114,Bucht::N,mor-bihan,вӹдъял
115,Insel::N,enez,острок
116,Blume::N,bleunienn,пеледӹш
117,Gras::N,geot,шуды
118,Wurzel::N,gwrizienn,важ
119,Baum::N,gwezenn,пушӓнгӹ
120,Stamm::N,kef,пушӓнгӹ тӹнг
121,Rinde::N,rusk,каргыж
122,Ast::N,barr,укш
123,Zweig::N,bod,укш
124,Blatt::N,delienn,листӹ
125,Birke::N,bezvenn,куги
126,Kiefer[Baum]::N,pinenn,йӓктӹ
127,Weide[Baum]::N,halegenn,уа
128,Tanne::N,sapenn,кож
129,Horn::N,korn,шур
130,Feder::N,pluñv,пын
131,Fell::N,kreoñ,кавашты
132,Flügel::N,askell,шылдыр
133,Klaue::N,skilf,кӹч
134,Kralle::N,skilf,лапа
135,Schwanz::N,lost,пач
136,Ei::N,vi,мыны
137,Nest::N,neizh,пӹжӓш
138,Bau::N,douarenn,ыраж
139,Tier::N,loen,во́льык
140,Herde::N,tropell,кӹтö
141,Kuh::N,buoc'h,ышкал
142,Bulle::N,tarv,ӱшкӱж
143,Pferd::N,marc'h,имни
144,Schaf::N,dañvad,шарык
145,Schwein::N,pemoc'h,сасна
146,Hund::N,ki,пи
147,Katze::N,kazh,коти
148,Bär::N,arzh,мöскӓ
149,Eichhörnchen::N,gwiñver,ур
150,Elch::N,karv-dour,шарды
151,Fuchs::N,louarn,рӹвӹж
152,Hase::N,gad,морен
153,Maus::N,logodenn,каля
154,Wolf::N,bleiz,пирӹ
155,Vogel::N,labous,кек
156,Schwarm::N,nijad,цуца
157,Huhn::N,yar,цӹвӹ
158,Hahn::N,kilhog,ӓптӓн
159,Gans::N,gwazenn,комбы
160,Adler::N,erer,кучкыж
161,Ente::N,houad,лыды
162,Eule::N,toud,тымана
163,Kranich::N,garan,тырня
164,Kranich::N,garan,тыртня
165,Krähe::N,bran,лудыгарак
166,Kuckuck::N,koukoug,куку
167,Schwan::N,alarc'h,йӱксӹ
168,Fisch::N,pesk,кол
169,Barsch::N,brell,алангы
170,Hecht::N,beked,нуж
171,Hecht::N,beked,нужгол
172,Schlange[Tier]::N,naer,кӹшкы
173,Wurm::N,preñv,шукш
174,Spinne::N,kevnidenn,ӓнгӹремшӹ
175,Ameise::N,merion,кыткы
176,Laus::N,laouenn,ти
177,Mücke::N,moustik,кужнер
178,Mücke::N,moustik,кужынер
179,Fliege::N,kelienenn,шӹнгӓ
180,Schmetterling::N,balafenn,лӹпӹ
181,Beere::N,hog,мöр
182,Apfel::N,aval,олма
183,Pilz::N,kabell-touseg,понгы
184,Zwiebel::N,ognonenn,охыра
185,Saat::N,had,нӱшмӹ
186,Saat::N,had,нӱшмӱ
187,Korn::N,ed,пӹрцӹ
188,Heu::N,foenn,шуды
189,Schale::N,peliadur,аваха
190,Schale::N,peliadur,карлангы
191,Falle::N,pech,лӱдӹ
192,Falle::N,pech,лӱдӹш
193,Schlinge::N,krouglas,онгы
194,Asche::N,ludu,ломых
195,Asche::N,ludu,ломпыж
196,Dreck::N,fank,лявӹрӓ
197,Eisen::N,houarn,кӹртни
198,Gold::N,aour,шöртни
199,Gold::N,aour,шöртньӹ
200,Silber::N,arc'hant,ши
201,Kohle::N,glaou,шӱ
202,Glas::N,gwer,охоница
203,Sand::N,traezh,ошма
204,Mensch::N,den,эдем
205,Mann::N,den,пӱэргӹ
206,Frau::N,maouez,ӹдӹрӓмӓш
207,Kind::N,bugel,ӓзӓ
208,Kind::N,bugel,шачшы
209,Junge::N,paotr,рвезӹ
210,Junge::N,paotr,ӹрвезӹ
211,Mädchen::N,plac'h,ӹдӹрӓш
212,Familie::N,familh,йиш
213,Familie::N,familh,семня
214,Großvater::N,tad-kozh,тьоти
215,Großmutter::N,mamm-gozh,папа
216,Eltern::N,kerent,ӓтя-ӓвӓ
217,Vater::N,tad,ӓтя
218,Mutter::N,mamm,ӓвӓ
219,Sohn::N,mab,эргӹ
220,Tochter::N,merc'h,ӹдӹр
221,Bruder::N,breur,ӹза
222,Schwester::N,c'hoar,ӓкӓ
223,Onkel::N,eontr,кугуза
224,Tante::N,moereb,куака
225,Ehemann::N,gwaz,мары
226,Ehefrau::N,gwreg,вӓтӹ
227,Freude::N,levenez,ӹвӹртӹмӓш
228,Gelächter::N,c'hoarzherezh,ваштылмаш
229,Glück::N,chañs,пиӓл
230,Kummer::N,doan,ясы
231,Wunsch::N,c'hoant,охата
232,Wunsch::N,c'hoant,шанымаш
233,Lust::N,c'hoant,шӓр
234,Lust::N,c'hoant,охата
235,Lust::N,c'hoant,шанымаш
236,Geist::N,spered,тух
237,Gedanke::N,soñj,шанымаш
238,Gedächtnis::N,eñvor,ӓш
239,Verstand::N,skiant,ыш
240,Sinn::N,ster,кын
241,Grund::N,kaoz,вир
242,Wahrheit::N,gwirionez,тöр
243,Gespräch::N,kaozeadenn,хытырымаш
244,Märchen::N,kaoz korriganez,ямак
245,Erzählung::N,kontadenn,шайыштмаш
246,Nachricht::N,keloù,увертӓрӹмӓш
247,Neuigkeit::N,kelaouenn,увер
248,Name::N,anv,лӹм
249,Rätsel::N,divinatez,тышты
250,Rede::N,diskour,шая
251,Rede::N,diskour,шамак
252,Sprache::N,yezh,йӹлмӹ
253,Stimme::N,mouezh,юк
254,Wort::N,ger,шамак
255,Zeichen::N,sin,палӹ
256,Ruf::N,galv,сӹгӹрӹмӓш
257,Lärm::N,trouz,юкланымащ
258,Ton::N,ton,юк
259,Lied::N,kanaouenn,мыры
260,Ruhe::N,sioulded,тыр
261,Leute::N,tud,эдемвлӓ
262,Volk::N,pobl,халык
263,Arbeit::N,labour,пӓшӓ
264,Gast::N,kouviad,хына
265,Geschenk::N,prof,подарка
266,Spiel::N,c'hoari,мадыш
267,Gesellschaft::N,kompagnunezh,йӓл
268,Gesellschaft::N,kompagnunezh,йӓлвлӓ
269,Gesellschaft::N,kavandad,йӓл
270,Gesellschaft::N,kavandad,йӓлвлӓ
271,Hilfe::N,sikour,палшык
272,Freund::N,mignon,тӓнг
273,Kamerad::N,kamarad,тос
274,Angelegenheit::N,afer,дела
275,Angelegenheit::N,afer,йела
276,Angelegenheit::N,afer,йыла
277,Angelegenheit::N,afer,пӓшӓ
278,Anzahl::N,niver,шот
279,Art::N,sort,цӹре
280,Stück::N,tamm,лаштык
281,Teil::N,pezh,пай
282,Teil::N,pezh,часть
283,Hälfte::N,hanterenn,пел
284,Kreis::N,kelc'h,тӹртӹш
285,Kreuz::N,kroaz,крестӹ
286,Linie::N,linenn,
287,Strich::N,tenn,
288,Abstand::N,distok,ло
289,Entfernung::N,keid,ло
290,Entfernung::N,kehid,ло
291,Gegend::N,korn-bro,вӓр
292,Platz::N,plasenn,вӓр
293,Ort::N,lec'h,вӓр
294,Seite::N,tu,öрдӹж
295,Mitte::N,kreiz,ло
296,Gegenstand::N,tra,хӓдӹр
297,Sache::N,tra,хӓдӹр
298,Rand::N,kantenn,шöр
299,Kante::N,kantenn,шöр
300,Ecke::N,korn,лык
301,Spitze::N,begell,вуй
302,Ende::N,dibenn,вуй
303,Ende::N,dibenn,мычаш
304,Loch::N,toull,ыраж
305,Muster::N,tresadenn,тӹрлец
306,Größe::N,ment,кӱкшӹц
307,Länge::N,hirder,кыт
308,Höhe::N,uhelder,кӱкшӹц
309,Gewicht::N,pouez,нелӹц
310,Menge::N,bern,шот
311,Haufen::N,bern,ара
312,Reihe::N,steud,ряд
313,Boot::N,bag,пыш
314,Ruder::N,roeñv,вешлӓ
315,Schlitten::N,trainell,тир
316,Ski::N,ski,ечӹ
317,Last::N,karg,нелӹц
318,Gang::N,kerzh,ход
319,Schritt::N,paz,ашкыл
320,Norden::N,norzh,йыдпелвел
321,Norden::N,hanternoz,йыдпелвел
322,Süden::N,su,кечӹвӓлвел
323,Süden::N,kreisteiz,кечӹвӓлвел
324,Westen::N,kuzh-heol,кечӹ шӹцмӹ
325,Osten::N,reter,ирвел
326,Osten::N,reter,кечӹ лӱлтмӹ
327,Osten::N,sav-heol,ирвел
328,Osten::N,sav-heol,кечӹ лӱлтмӹ
329,Holz::N,koad,пушӓнгӹ
330,Brett::N,plankenn,ханга
331,Platte::N,plakenn,плитӓ
332,Stütze::N,harp,цӓрӓк
333,Stange::N,sparl,равы
334,Stange::N,sparl,намаш
335,Stock::N,bazh,панды
336,Stab::N,bazh,равы
337,Rohr::N,tub,пыч
338,Rohr::N,korz,пыч
339,Haus::N,ti,пöрт
340,Heim::N,kêr,пöрт
341,Ofen::N,forn,камака
342,Fußboden::N,plañchod,седӹрӓ
343,Tisch::N,taol,стöл
344,Stuhl::N,kador,пöкен
345,Wiege::N,kavell,шипкӓ
346,Bett::N,gwele,койка
347,Bett::N,gwele,кравать
348,Regal::N,estajerenn,полицӓ
349,Kiste::N,kased,шӱ́ндӹк
350,Fenster::N,prenestr,окня
351,Tür::N,dor,амаса
352,Tor::N,portal,хапка
353,Zaun::N,sklotur,забор
354,Dach::N,toenn,левӓш
355,Leiter::N,skeul,ташкалтыш
356,Besen::N,skubell,сало
357,Besen::N,skubell,салко
358,Spaten::N,pal,кольмы
359,Schaufel::N,pal,лоток
360,Gabel::N,fourchetez,ви́лка
361,Löffel::N,loa,савала
362,Messer::N,kontell,кӹзӹ
363,Nagel::N,tach,пыда
364,Netz::N,roued,вӓпш
365,Haken::N,krog,крӱк
366,Haken::N,krog,кагак
367,Griff::N,kemer,кычем
368,Schloss::N,potenn,замок
369,Schloss::N,potenn,сыравач
370,Bild::N,skeudenn,картин
371,Figur::N,skeud,кӓн
372,Figur::N,figur,кӓн
373,Puppe::N,merc'hodenn,поханя
374,Beutel::N,sac'h,мешӓк
375,Bündel::N,feskenn,топ
376,Bündel::N,feskenn,пидӹш
377,Bündel::N,feskenn,кӹлдӹш
378,Tasche::N,sac'h,сумкы
379,Eimer::N,sailh,ведӹрӓ
380,Deckel::N,pallenn,комдыш
381,Geschirr::N,listriaj,ӓтӹ
382,Sack::N,sac'h,мешӓк
383,Tasse::N,tas,цӓшкӓ
384,Topf::N,pod,ми́ска
385,Kessel::N,chaodouron,пад
386,Essen::N,pred,качкыш
387,Essen::N,pred,качкыш-йӱш
388,Nahrung::N,boued,качкыш
389,Nahrung::N,boued,качкыш-йӱш
390,Speise::N,meuz,няня
391,Fleisch::N,kig,пай
392,Getreide::N,ed,киндӹ
393,Brei::N,yod,шӹрӓш
394,Brot::N,bara,сыкыр
395,Scheibe::N,tailhenn,ламыт
396,Scheibe::N,tailhenn,лаштык
397,Fett::N,lard,кая
398,Butter::N,amann,ӱ
399,Öl::N,eoul,ӱ
400,Salz::N,holen,санзал
401,Suppe::N,soubenn,лем
402,Honig::N,mel,мӱ
403,Milch::N,laezh,шӹшер
404,Tee::N,te,чӓй
405,Leder::N,lêr,шарга
406,Leder::N,lêr,кавашты
407,Wolle::N,gloan,миж
408,Stoff::N,danvez,матер
409,Stoff::N,danvez,матери
410,Nadel::N,nadoz,им
411,Faden::N,neudenn,шӹртӹ
412,Knopf::N,bouton,полдыш
413,Knoten::N,skoulm,пӱкшем
414,Farbe::N,liv,чиӓ
415,Farbe::N,liv,крӓскӓ
416,Kleidung::N,dilhad,выргем
417,Hemd::N,roc'hed,тыгыр
418,Kragen::N,gouzoug,шӱ
419,Ärmel::N,milgin,шокш
420,Hose::N,bragoù,ялаш
421,Gürtel::N,gouriz,ӹштӹ
422,Mütze::N,boned,упш
423,Schuh::N,botez,ту́фльы
424,Stiefel::N,botez,кем
425,Ring::N,gwalenn,шӓргӓш
426,Band::N,bagad,лемтӓ
427,Kamm::N,krib,шерге
428,Spiegel::N,melezour,тӹгӹр
429,Riemen::N,lerenn,прӓжӓ
430,Schnur::N,kordenn,кӓндӹра
431,Leine::N,roll,керем
432,Decke::N,golo,одеял
433,Kissen::N,goubenner,кӹпцӹк
434,Tuch::N,mezher,савыц
435,Handtuch::N,toailhon,шӹргӹсавыц
436,Handtuch::N,toailhon,шӹргӹмсавыц
437,Kraft::N,nerzh,ви
438,Stärke::N,nerzhder,ви
439,Gesundheit::N,yec'hed,шу
440,Gesundheit::N,yec'hed,шулык
441,Krankheit::N,klañved,мыж
442,Schmerz::N,poan,карштыш
443,Schmerz::N,droug,карштыш
444,Wunde::N,gloazadenn,шушыр
445,Fieber::N,terzhienn,ӱштӹмыж
446,Arznei::N,louzoù,лекӓрцӹ
447,Brücke::N,pont,кӹвер
448,Brunnen::N,puñs,вӹдсӹнзӓ
449,Weide::N,prad,ныр
450,Pfad::N,gwenodenn,ялгорны
451,Weg::N,hent,корны
452,Straße::N,ru,корны
453,Straße::N,hent,корны
454,Dorf::N,kêr,сола
455,Dorf::N,kêriadenn,сола
456,Stadt::N,kêr,города
457,Brief::N,lizher,сирмӓш
458,Buch::N,levr,книгӓ
459,Buchstabe::N,lizherenn,буква́
460,Zeitung::N,kazetenn,газет
461,Zeitung::N,kazetenn,кайзет
462,Leben::N,buhez,житя
463,Tod::N,marv,смöрт
464,Grab::N,bez,шӹгер
465,Grab::N,bez,мыгилӓ
466,Grab::N,bez,шӹгерлӓ
467,Kirche::N,iliz,церкӹ
468,Sünde::N,pec'hed,сулык
469,Gott::N,doue,йымы
470,Arbeiter::N,labourer,пӓшӓзӹ
471,Arbeiter::N,micherour,пӓшӓзӹ
472,Chef::N,penn,вуй
473,Meister::N,mestr,мастар
474,Arzt::N,mezeg,доктор
475,Arzt::N,medisin,доктор
476,Lehrer::N,skolaer,тымдышы
477,Lehrer::N,kelenner,тымдышы
478,Geld::N,arc'hant,окса
479,Geschäft::N,stal,торге́йӹмӓш
480,Laden::N,stal,лапка
481,Laden::N,stal,магазин
482,Preis::N,priz,ӓк
483,Ware::N,marc'hadourezh,товар
484,Nutzen::N,gounidegezh,пайда
485,Nutzen::N,lañs,пайда
486,Nutzen::N,profit,пайда
487,Nutzen::N,spleit,пайда
488,Reichtum::N,pinvidigezh,перке
489,Welt::N,douar,сӓндӓлӹк
490,Welt::N,douar,свет
491,Land::N,bro,сӓндӓлӹк
492,Staat::N,stad,кугижӓншӹ
493,König::N,roue,король
494,Macht::N,galloud,власть
495,Grenze::N,harzoù,пӹсмӓн
496,Krieg::N,brezel,вырсы
497,Feind::N,eneber,тышман
498,Gewalt::N,tâerder,ви
499,Kampf::N,kann,кредӓлмӓш
500,Bogen[Waffe]::N,gwareg,янгеж
501,Pfeil::N,saezh,пикш
502,Gewehr::N,fuzuilh,пичӓл
503,Fehler::N,fazi,самынь
504,Lüge::N,gaou,шая
505,Schaden::N,gwall,вре́дӓ
506,Unglück::N,gwalleur,пёда
507,Unglück::N,gwalleur,тымаша
508,Schuld::N,kablusted,вуйнамат
509,Schuld::N,pec'hedigezh,вуйнамат
510,Alter::N,oad,иӓш
511,Alter::N,oad,игечӹ
512,Schluss::N,diwezh,пӹтӓртӹш
513,Zeit::N,amzer,веремӓ
514,Tag::N,deizh,кечӹ
515,Morgen::N,beure,ир
516,Morgen::N,beure,ирок
517,Morgen::N,mintin,ир
518,Morgen::N,mintin,ирок
519,Mittag::N,kreisteiz,кечӹвӓл
520,Abend::N,abardaez,вады
521,Nacht::N,noz,йыд
522,Woche::N,sizhun,ӓрня
523,Monat::N,miz,тӹ́лзӹ
524,Jahr::N,bloaz,год
525,Frühling::N,nevezamzer,шошым
526,Sommer::N,hañv,кӓнгӹж
527,Herbst::N,diskaramzer,шӹжӹ
528,Winter::N,goañv,тел
529,Winter::N,goañv,телӹ
530,Januar::N,Genver,январ
531,Januar::N,Genver,январь
532,Februar::N,C'hwevrer,февраль
533,März::N,Meurzh,март
534,April::N,Ebrel,апрель
535,Mai::N,Mae,май
536,Juni::N,Mezheven,июнь
537,Juli::N,Gouhere,июль
538,August::N,Eost,август
539,September::N,Gwengolo,сентябрь
540,Oktober::N,Here,октябрь
541,November::N,Du,ноябрь
542,Dezember::N,Kerzu,декавыр
543,Montag::N,Lun,шачмы
544,Dienstag::N,Meurzh,кышкыжмы
545,Mittwoch::N,Merc'her,вӹрчегӹ
546,Donnerstag::N,Yaou,изӓрня
547,Freitag::N,Gwener,когарня
548,Samstag::N,Sadorn,кукшыгечӹ
549,Sonntag::N,Sul,рушӓрня
550,groß::A,bras,кого
551,klein::A,bihan,изи
552,lang::A,hir,кужы
553,kurz::A,berr,кӹтӹк
554,breit::A,ledan,кымда
555,schmal::A,strizh,ӓнгӹсӹр
556,dicht::A,stank,шӹре
557,dick[Gegenstand]::A,tev,кӹжгӹ
558,dünn::A,moan,вӹцкӹж
559,fein::A,munut,пыльга
560,fest::A,start,цаткыды
561,flach::A,plaen,тӓлякӓ
562,glatt::A,lintr,ягылгы
563,glatt::A,levn,ягылгы
564,hart::A,kalet,пингӹдӹ
565,weich::A,blot,пышкыды
566,rund::A,ront,тӹртӹш
567,spitz::A,poentet,кашар
568,scharf::A,dremm,кашар
569,stumpf::A,talsoc'h,нӹшкӹ
570,schwer::A,pounner,нелӹ
571,schön::A,kaer,цевер
572,schön::A,kaer,олмыдшы
573,heiß::A,tomm,шокшы
574,warm::A,tomm,шокшы
575,kalt::A,yen,ӱштӹ
576,kühl::A,yen,юалгы
577,kühl::A,yen,йонгата
578,frisch::A,fresk,йонгата
579,feucht::A,gleb,ӹлӹкшӹ
580,feucht::A,gleb,вӹдӹжгӹ
581,nass::A,gleb,начкы
582,trocken::A,sec'h,кукшы
583,voll::A,leun,темшӹ
584,voll::A,leun,темыман
585,leer::A,goullo,йӓрӓ
586,offen::A,digor,виш
587,geschlossen::A,serr,чӱчмӹ
588,geschlossen::A,serr,тӹкӹлӓлтшӹ
589,sauber::A,naet,ире
590,schmutzig::A,lous,шоран
591,schmutzig::A,lous,лявӹрӓн
592,schmutzig::A,lous,шорангшы
593,roh::A,kriz,пеле кӱшӹ
594,reif::A,darev,кӱшӹ
595,lecker::A,lipous,тотан
596,lecker::A,saourus,тотан
597,süß::A,dous,мӱӓн
598,bitter::A,c'hwerv,качы
599,sauer::A,trenk,шапы
600,hell::A,sklaer,соты
601,hell::A,sklaer,валгыды
602,dunkel::A,teñval,пӹц
603,dunkel::A,teñval,пӹцкемӹш
604,schwarz::A,du,шим
605,weiß::A,gwenn,ош
606,weiß::A,gwenn,ошы
607,rot::A,ruz,якшаргы
608,gelb::A,melen,сар
609,gelb::A,melen,сары
610,blau::A,glas,симсӹ
611,grün::A,gwer,ыжар
612,grau::A,louet,луды
613,bunt::A,liesliv,ала
614,billig::A,marc'had-mat,шулдаш
615,teuer::A,ker,шергӹ
616,teuer::A,ker,шергӓкӓн
617,wertvoll::A,prizius,ӓкӓн
618,blind::A,dall,слöпöй
619,blind::A,dall,сльöпöй
620,taub::A,bouzar,тӱтӱк
621,kräftig::A,start,виӓн
622,stark::A,kreñv,виӓн
623,schwach::A,gwan,шава
624,schwach::A,gwan,лӹпкӓ
625,schwach::A,gwan,слабка
626,fett::A,lard,таза
627,schlank::A,sinkl,яштака
628,hübsch::A,koant,сӹлнӹ
629,hübsch::A,koant,олмыдшы
630,böse::A,gwall,шӹдӓн
631,dumm::A,glep,окмак
632,faul::A,lezirek,ялахай
633,fleißig::A,studius,пӓшам яратышы
634,geizig::A,tost,шык
635,klug::A,speredek,ышан
636,geschickt::A,dornet,мастар
637,lieb::A,koant,тыри
638,lustig::A,laouen,мындыр
639,lustig::A,laouen,сусу
640,sanft::A,flour,йӹвӹжӓ
641,hungrig::A,marnaon,шужышы
642,krank::A,klañv,церлӹ
643,krank::A,klañv,хворой
644,nackt::A,noazh,цӓрӓ
645,traurig::A,trist,сы́лыкан
646,traurig::A,trist,кымы́лдымы
647,lebendig::A,bev,живой
648,gut::A,mad,яжо
649,schlecht::A,fall,уда
650,schlecht::A,fall,худа
651,schlecht::A,gwall,уда
652,schlecht::A,gwall,худа
653,richtig::A,reizh,вургамла
654,schlimm::A,gwall,йӹрнык
655,wahr::A,gwir,настоящий
656,wahr::A,gwir,настояшый
657,alt::A,kozh,шонгы
658,neu::A,nevez,у
659,ehemalig::A,kozh,тошты
660,alt[Lebewesen]::A,kozh,ӹлалшӹ
661,jung::A,yaouank,нöргӹ
662,jung::A,yaouank,молода
663,arm::A,paour,укеӓн
664,reich::A,pinvidik,паян
665,reich::A,pinvidik,пурлыкан
666,bekannt::A,anavezet,палӹмӹ
667,berühmt::A,brudet,лӹмлы
668,fremd::A,dizanav,эдемӹн
669,verschieden::A,disheñel,тӹрлӹ
670,nah::A,nes,лишӹл
671,fern::A,diabell,мӹндӹр
672,linker::A,kleiz,шалахай
673,rechter::A,dehoù,вургамла
674,anderer::A,all,вес
675,anderer::A,all,весӹ
676,erster::A,kentañ,икшӹ
677,erster::A,kentañ,икӹмшӹ
678,zweiter::A,eil,кокшы
679,dritter::A,trede,кымшы
680,letzter::A,diwezhañ,остатка
681,allein::ADV,e-unan,иктӹ
682,allein::ADV,e-unan,иктӹт
683,auf einmal::ADV,ar un dro,тöрöк
684,zusammen::ADV,asambles,икараш
685,zusammen::ADV,asambles,цымырын
686,lange::ADV,pell,кужын
687,plötzlich::ADV,en un taol,трӱк
688,sofort::ADV,diouzhtu,полт
689,sofort::ADV,diouzhtu,тöрöк
690,sofort::ADV,diouzhtu,тӹшӓкок
691,später::ADV,diwezhatoc'h,вара
692,jetzt::ADV,bremañ,
693,heute::ADV,hiziv,тагачы
694,morgen::ADV,arc'hoazh,иргод
695,morgen::ADV,arc'hoazh,иргодым
696,bald::ADV,hepdale,чӹнь
697,bald::ADV,hepdale,вӓшке
698,bald::ADV,hepdale,выртышты
699,dann::ADV,a-c'houde,пакыла
700,gestern::ADV,dec'h,тенгечӹ
701,einst::ADV,gwechall,икӓнӓ
702,damals::ADV,neuze,тӹнӓм
703,danach::ADV,goude,пакыла
704,vorher::ADV,diagent,перви
705,zuerst::ADV,da gentañ,андак
706,einmal::ADV,ur wech,гӓнӓк
707,einmal::ADV,ur wech,гӓнӓ
708,manchmal::ADV,a-wechoù,кынамжы
709,oft::ADV,alies,чӹчкӹдӹн
710,immer::ADV,atav,со
711,immer::ADV,atav,соок
712,immer::ADV,bepred,со
713,immer::ADV,bepred,соок
714,niemals::ADV,gwech ebet,нинам
715,niemals::ADV,gwech ebet,нигынам
716,niemals::ADV,gwech ebet,нигынамат
717,hier::ADV,amañ,тиштӹ
718,hierhin::ADV,dre amañ,тишкӹ
719,von hier::ADV,alemañ,тишец
720,von hier::ADV,alemañ,тишецӹн
721,dort::ADV,aze,тӹштӹ
722,dort::ADV,ahont,тӹштӹ
723,dorthin::ADV,di,тӹшкӹ
724,dorthin::ADV,di,тӹшкӹлӓ
725,dorthin::ADV,aze,тӹшкӹ
726,dorthin::ADV,aze,тӹшкӹлӓ
727,dorthin::ADV,ahont,тӹшкӹ
728,dorthin::ADV,ahont,тӹшкӹлӓ
729,geradeaus::ADV,war-eeun,вик
730,geradeaus::ADV,war-eeun,тура
731,vorwärts::ADV,war-raok,анзыкы
732,rückwärts::ADV,war-lerc'h,мӹнгеш
733,zurück::ADV,war-dreñv,мӹнгеш
734,unten::ADV,en traoñ,ӱлнӹ
735,unten::ADV,en traoñ,лӹвӓлнӹ
736,hinab::ADV,a-izel,ӱлӹкӹ
737,hinab::ADV,a-izel,лӹвӓкӹ
738,oben::ADV,en nec'h,вӹлнӹ
739,hinauf::ADV,e-krec'h,кӱшкӹлӓ
740,hinauf::ADV,e-krec'h,кӱш
741,überall::ADV,dre-holl,йӹлт
742,überall::ADV,dre-holl,цилӓ вӓре
743,nicht::ADV,ne ... ket,уке
744,ein wenig::ADV,un tammig,изиш
745,ein wenig::ADV,un tammig,иклаштык
