,Concept_ID,te,he
165,Hecht::N,గండుమీను,זאב הים
166,Schlange[Tier]::N,పాము,נחש
167,Wurm::N,పురుగు,תולעת
168,Spinne::N,సాలె పురుగు,עכביש
169,Ameise::N,చీమ,נמלה
170,Laus::N,పేను,כנה
171,Mücke::N,చీకటీగ,יתוש
172,Fliege::N,ఈగ,זבוב
173,Schmetterling::N,సీతాకోకచిలుక,פרפר
174,Beere::N,కాయ,ענבה
175,Apfel::N,ఆపిల్ పండు,תפוח
176,Pilz::N,కుక్కగొడుగు,פטריה
177,Zwiebel::N,నీరుల్లి,בצל
178,Saat::N,విత్తనము,זרעים
179,Korn::N,గింజ,גרעין
180,Heu::N,ఎండుగడ్డి,חציר
181,Schale::N,పొట్టు,קלפה
182,Grube::N,గొయ్యి,בור
183,Grube::N,గొయ్యి,שוחה
184,Falle::N,బోను,מלכדת
185,Schlinge::N,ఉరి,לולאה
186,Spur::N,జాడ,עקבה
187,Asche::N,బూడిద,אפר
188,Dreck::N,ముఱికి,זהמה
189,Eisen::N,ఇనుము,ברזל
190,Gold::N,బంగారము,זהב
191,Silber::N,వెండి,כסף
192,Kohle::N,నేలబొగ్గు,פחם
193,Glas::N,గాజు,זכוכית
194,Lehm::N,బంకమన్ను,חרסית
195,Sand::N,ఇసుక,חול
196,Mensch::N,నరుడు,אדם
197,Mann::N,పురుమడు,איש
198,Mann::N,పురుమడు,גבר
199,Frau::N,ఆడుది,אשה
200,Frau::N,ఆడుది,גברת
201,Kind::N,బిడ్డ,ילד
202,Junge::N,బాలుడు,ילד
203,Mädchen::N,బాలిక,נערה
204,Familie::N,కుటుంబము,משפחה
205,Großvater::N,తాత,סבא
206,Großmutter::N,అయ్యమ్మ,סבתא
207,Eltern::N,తల్లితండ్రులు,הורים
208,Vater::N,తండ్రి,אב
209,Mutter::N,తల్లి,אם
210,Sohn::N,కొడుకు,בן
211,Tochter::N,కూతురు,בת
212,Bruder::N,పోదరుడు,אח
213,Schwester::N,సోదరి,אחות
214,Onkel::N,మేనమామ,דוד
215,Tante::N,మేనత్త,דודה
216,Tante::N,పినతల్లి,דודה
217,Ehemann::N,భర్త,איש
218,Ehemann::N,భర్త,בעל
219,Ehefrau::N,భార్య,אשה
220,Freude::N,సంతోషము,שמחה
221,Gelächter::N,నవ్వు,צחוק
222,Glück::N,సంతోషము,אשר
223,Kummer::N,దుఃఖము,יגון
224,Kummer::N,దుఃఖము,עגמה
225,Wunsch::N,కోరిక,אחול
226,Wunsch::N,కోరిక,משאלה
227,Lust::N,కోరిక,חשק
228,Lust::N,కోరిక,תשוקה
229,Geist::N,ఆత్మ,רוח
230,Gedanke::N,ఆలోచన,מחשבה
231,Gedächtnis::N,జ్ఞాపకము,זכרון
232,Verstand::N,మనస్సు,שכל
233,Sinn::N,అర్థము,מובן
234,Sinn::N,అర్థము,משמעות
235,Grund::N,కారణము,סבה
236,Wahrheit::N,సత్యము,אמת
237,Gespräch::N,పంభాషణ,דיון
238,Märchen::N,అద్భుతకథ,אגדה
239,Erzählung::N,కథ,ספור
240,Nachricht::N,వార్త,ידיעה
241,Neuigkeit::N,వార్త,חדשה
242,Name::N,పేరు,שם
243,Rätsel::N,చిక్కు,תעלומה
244,Rede::N,ఉపన్యాసము,נאום
245,Sprache::N,భాష,לשון
246,Stimme::N,కంరథ్సని,קול
247,Wort::N,మాట,מלה
248,Zeichen::N,గుర్తు,סימן
249,Ruf::N,పిలువు,קריאה
250,Lärm::N,సందడి,רעש
251,Laut::N,ధ్వని,הגה
252,Ton::N,స్వరము,צליל
253,Lied::N,పాట,שיר
254,Ruhe::N,గాలిలేమి,שלוה
255,Leute::N,జనులు,אנשים
256,Volk::N,జాతి,עם
257,Arbeit::N,పని,עבודה
258,Gast::N,అతిధి,אורח
259,Geschenk::N,దానము,מתנה
260,Spiel::N,ఆట,משחק
261,Gesellschaft::N,జట్టు,חברה
262,Hilfe::N,సాహాయ్యము,עזרה
263,Freund::N,స్నేహితుడు,חבר
264,Freund::N,స్నేహితుడు,ידיד
265,Kamerad::N,చెలికాడు,רע
266,Angelegenheit::N,విషయము,ענין
267,Anzahl::N,లెక్క,מספר
268,Art::N,జాతి,סוג
269,Stück::N,తునుక,חתיכה
270,Teil::N,భాగము,פרק
271,Hälfte::N,సగము,חצי
272,Kreis::N,వృత్తము,מעגל
273,Kreuz::N,సిలువ,צלב
274,Linie::N,గీత,קו
275,Strich::N,గీత,קו קצר
276,Abstand::N,సందు,מרחק
277,Entfernung::N,దూరము,מרחק
278,Gegend::N,విస్తీర్ణము,נוף
279,Platz::N,ఎడము,שטח
280,Ort::N,స్థలము,אתר
281,Ort::N,స్థలము,מקום
282,Seite::N,ప్రక్క,צד
283,Mitte::N,నడిమి,אמצע
284,Gegenstand::N,పద్దు,אוביקט
285,Sache::N,వస్తువు,דבר
286,Rand::N,అంచు,פרור
287,Kante::N,అంచు,קצה
288,Ecke::N,మూల,פנה
289,Spitze::N,మొన,קצה
290,Ende::N,కొన,סוף
291,Loch::N,రంధ్రము,חר
292,Winkel::N,కోణము,פנה
293,Muster::N,మాదిరి,תבנית
294,Größe::N,పరిమాణము,גדל
295,Länge::N,పొడుగు,ארך
296,Höhe::N,పొడుగు,קומה
297,Höhe::N,పొడుగు,גבה
298,Gewicht::N,భారము,משקל
299,Menge::N,మొత్తము,כמות
300,Haufen::N,రాశి,ערמה
301,Reihe::N,వరుస,רצף
302,Boot::N,పడవ,סירה
303,Ruder::N,అడక,משוט
304,Schlitten::N,సరవండ్లు,מזחלת
305,Ski::N,స్కీ,מגלשים
306,Lagerfeuer::N,నెగడు,מדורה
307,Last::N,బరువు,משא
308,Gang::N,నడక,הליכה
309,Schritt::N,అడుగు,צעד
310,Norden::N,ఉత్తరదిక్కు,צפון
311,Süden::N,దక్షిణము,דרום
312,Westen::N,పడమర,מערב
313,Osten::N,తూర్పు,מזרח
314,Holz::N,కొయ్య,עץ
315,Brett::N,పలక,קרש
316,Platte::N,పలక,לוח
317,Stütze::N,వాల్సేడ్లు,משען
318,Stange::N,స్తంభము,מוט
319,Stock::N,కఱ్ఱ,מקל
320,Stab::N,కఱ్ఱ,מוט
321,Rohr::N,గొట్టము,צנור
322,Haus::N,ఇల్లు,בית
323,Heim::N,స్వగృహము,בית
324,Ofen::N,పొయ్యి,תנור
325,Fußboden::N,నేల,רצפה
326,Tisch::N,మేజా,שלחן
327,Stuhl::N,కుర్చీ,כסא
328,Wiege::N,ఉయ్యాల,ערש
329,Bett::N,పడక,מטה
330,Bett::N,మంచం,מטה
331,Regal::N,అటక,מדף
332,Kiste::N,వెట్టె,תבה
333,Kiste::N,వెట్టె,ארגז
334,Fenster::N,కిటికి,חלון
335,Tür::N,ద్వారము,דלת
336,Tor::N,ద్వారము,שער
337,Zaun::N,కంచె,גדר
338,Dach::N,ఇంటివైకప్పు,גג
339,Leiter::N,నిచ్చెన,סלם
340,Besen::N,చీపురుకట్ట,מטאטא
341,Spaten::N,పాఱ,את
342,Schaufel::N,పాఱ,את
343,Gabel::N,ముండ్లగరిటె,מזלג
344,Löffel::N,గరిటె,כף
345,Messer::N,కత్తి,סכין
346,Nagel::N,మేకు,מסמר
347,Netz::N,వల,רשת
348,Haken::N,కొక్కెము,וו
349,Haken::N,కొక్కెము,קרס
350,Griff::N,పిడి,ידית
351,Schloss::N,తాళము,מנעול
352,Bild::N,చిత్రము,תמונה
353,Figur::N,రూపము,פסל
354,Puppe::N,బొమ్మ,בבה
355,Beutel::N,సంచి,שק
356,Bündel::N,మూట,צרור
357,Tasche::N,సంచి,שקית
358,Eimer::N,చేద,דלי
359,Deckel::N,మూత,מכסה
360,Geschirr::N,వంటకాలు,כלים
361,Sack::N,గోనెసంచి,שק
362,Tasse::N,గిన్నె,ספל
363,Topf::N,కుండ,סיר
364,Kessel::N,నీరుకాచుపాత్ర,קנקן
365,Essen::N,ఆహారము,אכל
366,Essen::N,ఆహారము,ארוחה
367,Nahrung::N,ఆహారము,הזנה
368,Nahrung::N,ఆహారము,תזונה
369,Speise::N,ఆహారము,מאכל
370,Speise::N,ఆహారము,ארוחה
371,Fleisch::N,మాంసము,בשר
372,Getreide::N,ధాన్యము,דגן
373,Brei::N,గుజ్జు,מחית
374,Brot::N,రొట్టె,לחם
375,Scheibe::N,బద్ద,עגול
376,Scheibe::N,బద్ద,פרוסה
377,Fett::N,క్రొవ్వు,שמן
378,Butter::N,వెన్న,חמאה
379,Öl::N,నూనె,שמן
380,Salz::N,ఉప్పు,מלח
381,Suppe::N,చారు,מרק
382,Honig::N,తెనె,דבש
383,Milch::N,పాలు,חלב
384,Tee::N,తేనీరు,תה
385,Leder::N,బాగుచేసివతోలు,עור
386,Wolle::N,ఉన్ని,צמר
387,Stoff::N,బట్ట,בד
388,Stoff::N,బట్ట,אריג
389,Nadel::N,సూది,מחט
390,Faden::N,దారము,חוט
391,Knopf::N,బొత్తాము,כפתור
392,Knoten::N,ముడి,קשר
393,Farbe::N,రంగు,צבע
394,Kleidung::N,బట్టలు,בגדים
395,Hemd::N,చొక్కాయ,חלצה
396,Kragen::N,మాల,צוארון
397,Ärmel::N,చొక్కాయచెయ్యి,שרוול
398,Hose::N,ఇజారు,מכנסים
399,Gürtel::N,పటకా,חגורה
400,Mütze::N,టోపి,כובע
401,Schuh::N,పాదరక్ష,נעל
402,Stiefel::N,బూటు,מגף
403,Ring::N,ఉంగరము,טבעת
404,Band::N,నాడా,סרט
405,Kamm::N,దువ్వెన,מסרק
406,Spiegel::N,అద్దము,מראה
407,Riemen::N,వాడా,רצועה
408,Schnur::N,దారము,חבל
409,Leine::N,వారు,מושכות
410,Decke::N,కంబళి,שמיכה
411,Kissen::N,తలగడ,כרית
412,Tuch::N,బట్ట,צעיף
413,Handtuch::N,తువాలు,מגבת
414,Kraft::N,బలము,כוח
415,Stärke::N,శక్తి,און
416,Gesundheit::N,ఆరోగ్యము,בריאות
417,Krankheit::N,రోగము,מחלה
418,Schmerz::N,నొప్పి,כאב
419,Wunde::N,గాయము,פציעה
420,Fieber::N,జ్వరము,חם
421,Arznei::N,మందు,תרופה
422,Brücke::N,వంతెన,גשר
423,Brunnen::N,బావి,באר
424,Brunnen::N,కూపము,באר
425,Brunnen::N,నుయ్యి,באר
426,Weide::N,పచ్చికబయలు,אחו
427,Weide::N,పచ్చికబయలు,מרעה
428,Pfad::N,కాలిత్రోవ,שביל
429,Pfad::N,కాలిత్రోవ,מדרכה
430,Weg::N,మార్గము,דרך
431,Straße::N,బాట,כביש
432,Dorf::N,గ్రామము,כפר
433,Stadt::N,పట్టణము,עיר
434,Brief::N,జాబు,מכתב
435,Buch::N,పుస్తకము,ספר
436,Buchstabe::N,అక్షరము,אות
437,Zeitung::N,వార్తాపత్రిక,עתון
438,Leben::N,ప్రాణము,חיים
439,Tod::N,మరణము,מות
440,Grab::N,సమాధి,קבר
441,Kirche::N,క్రెస్తవులగుడి,כנסיה
442,Sünde::N,పాపము,חטא
443,Gott::N,దేవుడు,אל
444,Arbeiter::N,పనిపాటుచేశేవాడు,פועל
445,Chef::N,యజమానుడు,ראש
446,Chef::N,యజమానుడు,מנהל
447,Meister::N,కళాకారుడు,ממחה
448,Arzt::N,వైద్యుడు,רופא
449,Lehrer::N,ఉపాధ్యాయుడు,מורה
450,Geld::N,ద్రవ్యము,כסף
451,Geschäft::N,వ్యాపారము,עסקה
452,Laden::N,అంగడి,חנות
453,Preis::N,వెల,מחיר
454,Ware::N,సరకులు,סחורה
455,Nutzen::N,ప్రయోజనము,תועלת
456,Reichtum::N,ధనము,עשר
457,Welt::N,ప్రపంచము,עולם
458,Land::N,దేశము,ארץ
459,Staat::N,రాజ్యము,מדינה
460,König::N,రాజు,מלך
461,Macht::N,అధికారము,כוח
462,Grenze::N,సరిహద్దు,גבול
463,Krieg::N,యుద్ధము,מלחמה
464,Feind::N,శత్రువు,אויב
465,Gewalt::N,దౌర్జన్యము,אלימות
466,Kampf::N,పోట్లాట,קרב
467,Kampf::N,పోట్లాట,לחימה
468,Bogen[Waffe]::N,విల్లు,קשת
469,Pfeil::N,బాణము,חץ
470,Gewehr::N,తుపాకి,רובה
471,Fehler::N,తప్ప,טעות
472,Lüge::N,అసత్యము,שקר
473,Schaden::N,నష్టము,נזק
474,Unglück::N,దురదృష్టము,מזל רע
475,Schuld::N,తప్పు,אשמה
476,Alter::N,వయస్సు,גיל
477,Schluss::N,ముగింపు,סיום
478,Zeit::N,కాలము,זמן
479,Tag::N,దినము,יום
480,Morgen::N,ఉదయము,בקר
481,Mittag::N,మధ్యాహ్నము,צהרים
482,Abend::N,సాయంకాలము,ערב
483,Nacht::N,రత్రి,לילה
484,Woche::N,వారము,שבוע
485,Monat::N,నెల,חדש
486,Jahr::N,సంవత్సరము,שנה
487,Frühling::N,వసంతకాలము,אביב
488,Sommer::N,వేసవికాము,קיץ
489,Herbst::N,ఆకురాలుకాలము,סתו
490,Winter::N,శీతకాలము,חרף
491,Januar::N,జనవరి,ינואר
492,Februar::N,ఫిబ్రవరి,פברואר
493,März::N,మార్చి,מרץ
494,April::N,ఏప్రిలు,אפריל
495,Mai::N,మే,מאי
496,Juni::N,జూన్,יוני
497,Juli::N,జూలై,יולי
498,August::N,ఆగస్టు,אוגוסט
499,September::N,సెప్ఠెంబరు,ספטמבר
500,Oktober::N,అక్టోబరు,אוקטובר
501,November::N,నవంబరు,נובמבר
502,Dezember::N,డిసెంబర్,דצמבר
503,Montag::N,సోమవారము,יום שני
504,Dienstag::N,మంగళవారము,יום שלישי
505,Mittwoch::N,బుధవారము,יום רביעי
506,Donnerstag::N,గురువారము,יום חמישי
507,Freitag::N,శుక్రవారము,יום ששי
508,Samstag::N,శనివారము,יום שבת
509,Sonntag::N,ఆదివారము,יום ראשון
510,groß::A,గొప్పైన,גדול
511,klein::A,చిన్న,קטן
512,lang::A,పొడుగాటి,ארך
513,kurz::A,పొట్టి,קצר
514,breit::A,వెడల్పైన,רחב
515,schmal::A,ఇఱుకైన,צר
516,dicht::A,దట్టమైన,צפוף
517,dick[Gegenstand]::A,దట్టమైన,עבה
518,dünn::A,పలుచని,דק
519,fein::A,నాజాకైన,מעדן
520,fest::A,దృడమైవ,מוצק
521,flach::A,చదువైన,שטוח
522,glatt::A,నున్నని,חלק
523,hart::A,కఠినమైన,קשיח
524,weich::A,మృదువైన,רך
525,rund::A,గుండ్రని,עגל
526,spitz::A,మొనగల,חד
527,scharf::A,పదనైన,חד
528,stumpf::A,వాడిలేని,קהה
529,schwer::A,బరువ్తెన,כבד
530,schön::A,సుందరమైన,יפה
531,heiß::A,వేడియైన,חם
532,warm::A,వెచ్చని,חם
533,kalt::A,చల్లని,קר
534,kühl::A,చల్లని,צונן
535,frisch::A,తాజాయైన,טרי
536,feucht::A,చెమ్మగానున్న,לח
537,nass::A,తడిగామన్న,רטוב
538,trocken::A,ఎండిన,יבש
539,voll::A,నిండు,מלא
540,leer::A,శూన్యమైన,ריק
541,offen::A,తెఱచియున్న,פתוח
542,geschlossen::A,మూసిన,סגור
543,sauber::A,పరిశుద్ధమైన,נקי
544,schmutzig::A,ముఱికియైన,מלכלך
545,roh::A,పచ్చి,חי
546,reif::A,పండివ,בשל
547,lecker::A,రుచి గల,טעים
548,süß::A,తియ్యని,מתוק
549,bitter::A,చేదైన,מר
550,sauer::A,పుల్లని,חמוץ
551,hell::A,కాంతిగల,בהיר
552,dunkel::A,చీకటియైన,עמום
553,schwarz::A,నల్లని,שחר
554,weiß::A,తెలుపు,לבן
555,rot::A,ఎఱ్ఱని,אדם
556,gelb::A,పసుపు పచ్చ,צהב
557,blau::A,నీలవర్ణము,כחל
558,grün::A,ఆకుపచ్చని,ירק
559,grau::A,నెరిసిన,אפר
560,bunt::A,రంగేలీ,צבעוני
561,billig::A,చౌకయైన,זול
562,teuer::A,వెలపొడుగైన,יקר
563,wertvoll::A,విలుప్తెన,יקר ערך
564,blind::A,గ్రుడ్డి,עור
565,taub::A,చెవిటి,חרש
566,kräftig::A,శక్తి గల,חסן
567,stark::A,బలమైన,חזק
568,schwach::A,బలహీనమైన,חלש
569,fett::A,క్రొవ్విన,שמן
570,schlank::A,సన్నని,רזה
571,hübsch::A,సాగప్తెన,יפה תאר
572,böse::A,చెడ్డ,רשע
573,dumm::A,తెలివిలేని,טפש
574,faul::A,సోమరియైన,עצלן
575,fleißig::A,శ్రద్దగల,חרוץ
576,geizig::A,పిసినారియైన,קמצן
577,klug::A,తెలివిగల,נבון
578,klug::A,తెలివిగల,פקח
579,geschickt::A,నిపుణతగల,מימן
580,lieb::A,ప్రియమైన,יקר
581,lieb::A,ప్రియమైన,אהוב
582,lustig::A,ఉల్లాసము గల,עליז
583,sanft::A,సాధువైన,עדין
584,hungrig::A,ఆకలిగొనిన,רעב
585,krank::A,వ్యాధిగల,חולה
586,nackt::A,దిగంబరమైన,ערום
587,traurig::A,విచారముగల,עצוב
588,lebendig::A,ప్రాణముతో నున్న,חי
589,gut::A,మంచి,טוב
590,schlecht::A,చెడ్డ,גרוע
591,richtig::A,సరియైన,נכון
592,schlimm::A,అసహ్యమైన,רע
593,wahr::A,నిజమైన,אמתי
594,alt::A,ముసలి,ישן
595,neu::A,క్రొత్త,חדש
596,ehemalig::A,పూర్వపు,לשעבר
597,alt[Lebewesen]::A,ముసలి,זקן
598,jung::A,పసి,צעיר
599,arm::A,బీద,עני
600,reich::A,ధనవంతుడైన,עשיר
601,bekannt::A,తెలిసిన,ידוע
602,berühmt::A,ప్రపిద్దికెక్కివ,מפרסם
603,fremd::A,అన్యమైన,זר
604,verschieden::A,భేదమైన,שונה
605,nah::A,దగ్గఱనున్న,קרוב
606,fern::A,దూరమందున్న,רחוק
607,linker::A,ఎడమప్రక్కగ,שמאלי
608,rechter::A,కుడి,ימין
609,anderer::A,వేఱ్తెన,אחר
610,erster::A,మొదటి,ראשון
611,zweiter::A,రెండన,שני
612,dritter::A,మూడో,שלישי
613,letzter::A,కడపటి,אחרון
614,allein::ADV,ఒంటిగా,לבד
615,auf einmal::ADV,హరాత్తుగ,בו-זמנית
616,zusammen::ADV,కలిసి,ביחד
617,lange::ADV,బహుకాలము,הרבה זמן
618,plötzlich::ADV,హరాత్తుగ,לפתע
619,plötzlich::ADV,హరాత్తుగ,פתאום
620,sofort::ADV,తక్షణము,מיד
621,später::ADV,ఇటీవలి,לאחר זמן
622,später::ADV,ఇటీవలి,יותר מאחר
623,jetzt::ADV,ఇప్పుడు,עכשיו
624,heute::ADV,నేడు,היום
625,morgen::ADV,ఱేపు,מחר
626,bald::ADV,శీఘ్రముగ,בקרוב
627,dann::ADV,అప్పుడు,אחר-כך
628,gestern::ADV,నిన్నటి దినము,אתמול
629,einst::ADV,పూర్వమొకప్పుడు,לפנים
630,damals::ADV,అప్పుడు,אז
631,danach::ADV,అప్పుడు,אחר-כך
632,vorher::ADV,ఎదుట,לפני זה
633,zuerst::ADV,మొదటిలో,קדם
634,einmal::ADV,ఒకసారి,פעם
635,manchmal::ADV,అప్పటప్పటికి,לפעמים
636,oft::ADV,తఱచుగా,לעתים קרובות
637,immer::ADV,ఎల్లప్పుడు,תמיד
638,niemals::ADV,ఎప్పుడునులేదు,אף פעם
639,hier::ADV,ఇక్కడ,כאן
640,hierhin::ADV,ఇక్కడకు,פה
641,von hier::ADV,ఇక్కడనుండి,מפה
642,dort::ADV,అక్కడ,שם
643,dorthin::ADV,అక్కడికి,שם
644,geradeaus::ADV,సూటిగా,ישר
645,vorwärts::ADV,ముందుకు,קדימה
646,rückwärts::ADV,వెనుకకు,לאחור
647,zurück::ADV,వెనుకభాగము,בחזרה
648,zurück::ADV,వెనుకభాగము,אחורנית
649,unten::ADV,క్రింద,למטה
650,hinab::ADV,కిందికి,למטה
651,oben::ADV,మీద,מעל
652,oben::ADV,మీద,למעלה
653,hinauf::ADV,పైకి,למעלה
654,überall::ADV,అంతటా,בכל מקום
655,nicht::ADV,కాదు,לא
656,ein wenig::ADV,కొంచెము,קצת
657,kaum::ADV,చాలిచాలక,בקשי
658,sehr::ADV,చాల,מאוד
659,so::ADV,ఆలాగున,כך
660,so::ADV,ఆలాగున,ככה
661,noch::ADV,ఇప్పటికిని,עוד
662,noch::ADV,ఇప్పటికిని,עדין
663,nur::ADV,మాత్రము,רק
664,schon::ADV,ఇదివఱకే,כבר
665,wieder::ADV,తిరిగి,שוב
666,vergebens::ADV,నిష్ఫలముగా,לריק
667,vergebens::ADV,నిష్ఫలముగా,לשוא
668,vor::PRP,ముందు,מול
669,hinter::PRP,వెనుక,מאחורי
670,unter::PRP,క్రింద,מתחת
671,durch::PRP,ద్వారా,דרך
672,neben::PRP,దగ్గెర,ליד
673,neben::PRP,దగ్గెర,על-יד
674,zwischen::PRP,మధ్య,בין
675,wegen::PRP,కారణంగా,בשל
676,wegen::PRP,కారణంగా,בגלל
677,dies::PRN,ఇది,זה
678,das::PRN,అది,זה
679,alles::PRN,సకలము,הכל
680,ich::PRN,నేను,אני
681,du::PRN,నీవు,את
682,du::PRN,నీవు,אתה
683,er::PRN,అతడు,הוא
684,wir::PRN,మనము,אנחנו
