,Concept_ID,cv,ca
350,Strich::N,йӗр,ratlla
351,Abstand::N,хушӑ,distància
352,Entfernung::N,хушӑ,distància
353,Gegend::N,вырӑн,regió
354,Gegend::N,вырӑн,contrada
355,Platz::N,хутлӑх,cabuda
356,Ort::N,вырӑн,lloc
357,Seite::N,ен,banda
358,Seite::N,ен,costāt
359,Seite::N,аяк,banda
360,Seite::N,аяк,costāt
361,Seite::N,айӑк,banda
362,Seite::N,айӑк,costāt
363,Mitte::N,варӑ,mig
364,Mitte::N,варӑ,centre
365,Gegenstand::N,япала,objecte
366,Sache::N,япала,cosa
367,Rand::N,вӗҫ,vora
368,Rand::N,вӗҫ,marge
369,Rand::N,хӗрӗ,vora
370,Rand::N,хӗрӗ,marge
371,Rand::N,хӗрри,vora
372,Rand::N,хӗрри,marge
373,Kante::N,хайкача,caire
374,Kante::N,хайкача,cantell
375,Kante::N,хысак,caire
376,Kante::N,хысак,cantell
377,Ecke::N,кӗтес,cantonada
378,Spitze::N,вӗҫ,punta
379,Ende::N,вӗҫ,cap
380,Loch::N,шӑтӑк,forāt
381,Winkel::N,кӗтес,racó
382,Muster::N,эреш,dibuix
383,Muster::N,эреш,disseny
384,Größe::N,пысӑкӑш,grandària
385,Länge::N,вӑрӑмӑш,longitud
386,Höhe::N,ҫӳллӗш,altura
387,Höhe::N,ҫӳллӗш,altitud
388,Gewicht::N,виҫе,pes
389,Gewicht::N,йывӑрӑш,pes
390,Menge::N,йыш,quantitat
391,Haufen::N,купа,pila
392,Reihe::N,рет,fila
393,Boot::N,кимӗ,bot
394,Boot::N,кимӗ,barca
395,Ruder::N,кӗсмен,rem
396,Schlitten::N,ҫуна,trineu
397,Ski::N,йӗлтӗр,esquí
398,Lagerfeuer::N,вут,foc de campament
399,Lagerfeuer::N,кӑвайт,foc de campament
400,Last::N,сулмаклӑх,càrrega
401,Last::N,йывӑр япала,càrrega
402,Gang::N,куҫӑм,marxa
403,Schritt::N,утӑм,pas
404,Schritt::N,пусӑм,pas
405,Norden::N,ҫурҫӗр,nord
406,Süden::N,кӑнтӑр,sud
407,Westen::N,анӑҫ,oest
408,Westen::N,анӑҫ,occident
409,Westen::N,хӗвел анӑҫ,oest
410,Westen::N,хӗвел анӑҫ,occident
411,Osten::N,хӗвел тухӑҫ,est
412,Osten::N,хӗвел тухӑҫ,orient
413,Holz::N,йывӑҫ,fusta
414,Brett::N,хӑма,taula
415,Platte::N,плита,placa
416,Stütze::N,ура,suport
417,Stange::N,шерте,vara
418,Stock::N,патак,pal
419,Stab::N,шӑчӑ,bastó
420,Rohr::N,пӑрӑх,tub
421,Haus::N,ҫурт,casa
422,Heim::N,кил,llar
423,Ofen::N,кӑмака,estufa
424,Fußboden::N,урай,terra
425,Tisch::N,сӗтел,taula
426,Stuhl::N,пукан,cadira
427,Wiege::N,сӑпка,bressol
428,Bett::N,кравать,llit
429,Regal::N,ҫӳлӗк,prestatgeria
430,Regal::N,сентре,prestatgeria
431,Kiste::N,ещӗк,caixa
432,Kiste::N,сунтӑх,caixa
433,Fenster::N,чӳрече,finestra
434,Tür::N,алӑк,porta
435,Tor::N,хапха,portal
436,Zaun::N,хӳме,tanca
437,Dach::N,тӑрӑ,teulada
438,Leiter::N,пусма,escala
439,Leiter::N,пусма,escala de mà
440,Besen::N,шӑпӑр,escombra
441,Spaten::N,кӗреҫе,pala
442,Schaufel::N,кӗреҫе,pala
443,Gabel::N,вилка,forquilla
444,Löffel::N,кашӑк,cullera
445,Messer::N,ҫӗҫӗ,coltell
446,Nagel::N,пӑта,clau
447,Netz::N,тетел,filat
448,Haken::N,йӑрхах,ganxo
449,Haken::N,ҫекӗл,ganxo
450,Griff::N,хӑлӑп,puny
451,Griff::N,хӑлӑп,mànec
452,Schloss::N,ҫӑра,pany
453,Bild::N,сӑн,imatge
454,Bild::N,сӑнлӑх,imatge
455,Bild::N,картина,imatge
456,Figur::N,кӗлетке,figura
457,Puppe::N,пукане,nina
458,Beutel::N,михӗ,bossa
459,Bündel::N,ҫыхӑ,feix
460,Bündel::N,ҫыхӑ,paquet
461,Bündel::N,тӗрке,feix
462,Bündel::N,тӗрке,paquet
463,Tasche::N,сумка,bossa
464,Eimer::N,витре,galleda
465,Deckel::N,хупӑ,tapa
466,Deckel::N,хупӑ,tapadora
467,Geschirr::N,савӑт-сапа,vaixella
468,Sack::N,михӗ,sac
469,Sack::N,михӗ,saca
470,Tasse::N,курка,tassa
471,Topf::N,кастрюль,pot
472,Topf::N,кастрюль,olla
473,Kessel::N,хуран,caldera
474,Essen::N,апат,àpat
475,Essen::N,апат,menjada
476,Nahrung::N,апат-ҫимӗс,aliment
477,Speise::N,апат,plat
478,Speise::N,ҫимӗҫ,plat
479,Fleisch::N,аш,carn
480,Fleisch::N,какай,carn
481,Getreide::N,тырӑ,cereals
482,Brei::N,пӑтӑ,puré
483,Brot::N,ҫӑкӑр,pa
484,Scheibe::N,чӗлӗ,tall
485,Scheibe::N,чӗлӗ,llesca
486,Scheibe::N,касӑк,tall
487,Scheibe::N,касӑк,llesca
488,Fett::N,ҫу,greix
489,Butter::N,ҫу,mantega
490,Öl::N,ҫу,oli
491,Salz::N,тӑвар,sal
492,Suppe::N,яшка,sopa
493,Honig::N,пыл,mel
494,Milch::N,сӗт,llet
495,Tee::N,чей,te
496,Leder::N,сӑран,cuir
497,Wolle::N,ҫӑм,llana
498,Stoff::N,тӗртӗм,tela
499,Nadel::N,йӗп,agulla
500,Faden::N,ҫип,fil
501,Knopf::N,тӳме,botó
502,Knoten::N,йӑлӑ,nus
503,Farbe::N,сӑрӑ,pintura
504,Kleidung::N,тум,roba
505,Kleidung::N,тум,vestits
506,Kleidung::N,ҫипуҫ,roba
507,Kleidung::N,ҫипуҫ,vestits
508,Kleidung::N,тум-тир,roba
509,Kleidung::N,тум-тир,vestits
510,Hemd::N,кӗпе,camisa
511,Kragen::N,ҫуха,coll
512,Ärmel::N,ҫанӑ,màniga
513,Hose::N,шӑлавар,pantalōns
514,Gürtel::N,пиҫиххи,cinturó
515,Mütze::N,ҫӗлӗк,gorra
516,Schuh::N,пушмак,sabata
517,Schuh::N,ботинок,sabata
518,Stiefel::N,атӑ,bota
519,Ring::N,ҫӗрӗ,anell
520,Band::N,хаю,veta
521,Band::N,хаю,cinta
522,Band::N,йӗсме,veta
523,Band::N,йӗсме,cinta
524,Kamm::N,тура,pinta
525,Spiegel::N,тӗкӗр,mirāll
526,Spiegel::N,куҫ кӗски,mirāll
527,Riemen::N,чӗн,corretja
528,Schnur::N,кантра,corda
529,Leine::N,касмӑк,corretja
530,Decke::N,утиял,manta
531,Decke::N,утиял,flassada
532,Kissen::N,ҫытар,coixí
533,Kissen::N,минтер,coixí
534,Tuch::N,тутӑр,mocador
535,Handtuch::N,ал шӑлли,tovallola
536,Kraft::N,вӑй,força
537,Kraft::N,хӑват,força
538,Stärke::N,хал,vigor
539,Stärke::N,хӑват,vigor
540,Gesundheit::N,хал,salut
541,Gesundheit::N,сывлӑх,salut
542,Krankheit::N,чир,malaltia
543,Schmerz::N,ырату,dolor
544,Wunde::N,суран,ferida
545,Fieber::N,сив чир,febre
546,Arznei::N,эмел,medicament
547,Brücke::N,кӗпер,pont
548,Brunnen::N,ҫӑл,pou
549,Brunnen::N,пусӑ,pou
550,Weide::N,ҫаран,pastura
551,Pfad::N,йӗр,senda
552,Pfad::N,йӗр,sender
553,Pfad::N,сукмак,senda
554,Pfad::N,сукмак,sender
555,Weg::N,ҫул,camí
556,Weg::N,ҫул-йӗр,camí
557,Straße::N,ҫӳрев,carretera
558,Straße::N,ҫул ҫӳрени,carretera
559,Dorf::N,ял,poble
560,Stadt::N,хула,ciutāt
561,Brief::N,ҫыру,carta
562,Buch::N,кӗнеке,llibre
563,Buchstabe::N,сас палли,lletra
564,Zeitung::N,хаҫат,diāri
565,Leben::N,пурнӑҫ,vida
566,Tod::N,вилӗм,mort
567,Grab::N,масар шӑтӑкӗ,tomba
568,Kirche::N,чиркӳ,església
569,Sünde::N,ҫылӑх,pecat
570,Gott::N,турӑ,déu
571,Arbeiter::N,рабочи,obrer
572,Chef::N,пуҫлӑх,cap
573,Meister::N,ӑста,mestre
574,Meister::N,мастер,mestre
575,Arzt::N,врач,metge
576,Arzt::N,тухтӑр,metge
577,Lehrer::N,учитель,mestre
578,Lehrer::N,вӗрентекен,mestre
579,Geld::N,укҫа,dinērs
580,Geschäft::N,бизнес,negoci
581,Laden::N,магазин,tenda
582,Laden::N,магазин,botiga
583,Preis::N,хак,preu
584,Ware::N,тавар,mercaderia
585,Nutzen::N,пайта,profit
586,Reichtum::N,мул,riquesa
587,Welt::N,тӗнче,món
588,Land::N,ҫӗр-шыв,país
589,Staat::N,патшàлӑх,estat
590,König::N,король,rei
591,Macht::N,власть,poder
592,Macht::N,власть,potència
593,Grenze::N,чикӗ,frontera
594,Krieg::N,вӑрҫӑ,guerra
595,Feind::N,тӑшман,enemic
596,Gewalt::N,ирӗксӗрлӳ,violència
597,Kampf::N,кӗрешӳ,lluita
598,Bogen[Waffe]::N,ухӑ,arc
599,Pfeil::N,ҫӗмрен,fletxa
600,Pfeil::N,ухӑ йӗппи,fletxa
601,Gewehr::N,пӑшал,fusell
602,Gewehr::N,пӑшал,escopeta
603,Fehler::N,йӑнӑш,falta
604,Lüge::N,суя,mentida
605,Lüge::N,ултав,mentida
606,Schaden::N,сиен,dany
607,Unglück::N,шар,desgràcia
608,Unglück::N,инкек,desgràcia
609,Schuld::N,айӑп,culpa
610,Alter::N,ҫул шучӗ,edat
611,Schluss::N,пӗтни,fi
612,Schluss::N,пӗтни,final
613,Schluss::N,пӗтмӗш,fi
614,Schluss::N,пӗтмӗш,final
615,Zeit::N,вӑхӑт,temps
616,Tag::N,кун,dia
617,Morgen::N,ир,matí
618,Mittag::N,кӑнтӑрла,migdia
619,Abend::N,каҫ,vespre
620,Nacht::N,каҫ,nit
621,Woche::N,эрне,setmana
622,Monat::N,уйӑх,mes
623,Jahr::N,ҫулталӑк,any
624,Frühling::N,ҫур,primavera
625,Frühling::N,ҫуркунне,primavera
626,Sommer::N,ҫу,estīu
627,Sommer::N,ҫулла,estīu
628,Herbst::N,кӗр,tardor
629,Herbst::N,кӗркунне,tardor
630,Winter::N,хӗл,hivērn
631,Winter::N,хӗлле,hivērn
632,Januar::N,январь,gener
633,Februar::N,февраль,febrer
634,Februar::N,кӗҫӗн кӑрлач,febrer
635,März::N,март,març
636,März::N,пуш уйӑхӗ,març
637,April::N,апрель,abril
638,Mai::N,май,maig
639,Juni::N,июнь,juny
640,Juli::N,июль,juliol
641,August::N,август,agost
642,September::N,сентябрь,setembre
643,September::N,авӑн уйӑхӗ,setembre
644,Oktober::N,октябрь,octubre
645,November::N,ноябрь,novembre
646,Dezember::N,раштав,desembre
647,Dezember::N,декабрь,desembre
648,Montag::N,тунти кун,dilluns
649,Dienstag::N,ытлари кун,dimarts
650,Mittwoch::N,юн кун,dimecres
651,Donnerstag::N,кӗҫнерни кун,dijous
652,Freitag::N,эрне кун,divendres
653,Samstag::N,шӑмат кун,dissabte
654,Sonntag::N,вырсарни кун,diumenge
655,groß::A,пысӑк,gros
656,klein::A,пӗчӗк,petīt
657,lang::A,вӑрӑм,llarg
658,kurz::A,кӗске,curt
659,breit::A,сарлака,ample
660,schmal::A,ансӑр,estret
661,dicht::A,йӑвӑ,dens
662,dick[Gegenstand]::A,хулӑн,gruixūt
663,dünn::A,ҫинҫе,prim
664,dünn::A,ҫӳхе,prim
665,fein::A,тарай,fi
666,fein::A,вӗлтӗрти,fi
667,fest::A,тӗреклӗ,ferm
668,fest::A,тӗреклӗ,sòlid
669,flach::A,лаптак,pla
670,glatt::A,такӑр,llis
671,hart::A,хытӑ,dur
672,weich::A,ҫемҫе,tou
673,rund::A,ҫавра,rodó
674,spitz::A,шӗвӗр,punxegut
675,scharf::A,ҫивӗч,agut
676,stumpf::A,мӑка,rom
677,stumpf::A,мӑка,esmussat
678,stumpf::A,пуклак,rom
679,stumpf::A,пуклак,esmussat
680,stumpf::A,тӗрӗнчӗк,rom
681,stumpf::A,тӗрӗнчӗк,esmussat
682,stumpf::A,ӑнкарусӑр,rom
683,stumpf::A,ӑнкарусӑр,esmussat
684,schwer::A,йывӑр,pesāt
685,schön::A,илемлӗ,bonīc
686,heiß::A,вӗри,calēnt
687,warm::A,ӑшӑ,càlid
688,kalt::A,сивӗ,fred
689,kühl::A,уҫӑ,fresc
690,frisch::A,уҫӑ,fresc
691,feucht::A,йӗпе,humit
692,nass::A,нӳрӗ,mullat
693,trocken::A,типӗ,sec
694,voll::A,тулли,ple
695,leer::A,пушӑ,buit
696,offen::A,уҫӑ,obert
697,geschlossen::A,хупӑ,tancat
698,sauber::A,таса,net
699,schmutzig::A,пылчӑклӑ,brut
700,schmutzig::A,вараланчӑк,brut
701,roh::A,чӗрӗ,cru
702,reif::A,пулнӑ,madur
703,reif::A,пиҫӗхнӗ,madur
704,reif::A,аталаннӑ,madur
705,reif::A,пиҫсе ҫитнӗ,madur
706,lecker::A,тутлӑ,deliciós
707,lecker::A,техӗмлӗ,deliciós
708,süß::A,пылак,dolç
709,bitter::A,йӳҫӗ,amarg
710,sauer::A,йӳҫӗ,agre
711,sauer::A,йӳҫек,agre
712,sauer::A,кӑвасак,agre
713,hell::A,ҫутӑ,clar
714,dunkel::A,тӗттӗм,fosc
715,schwarz::A,хура,negre
716,weiß::A,шурӑ,blanc
717,rot::A,хӗрлӗ,vermēll
718,gelb::A,сарӑ,groc
719,blau::A,кӑвак,blau
720,grün::A,симӗс,verd
721,grün::A,пиҫмен,verd
722,grün::A,ӑс пухман,verd
723,grau::A,кӑвак,gris
724,bunt::A,чӑпар,multicolor
725,billig::A,йӳнӗ,barat
726,teuer::A,хаклӑ,car
727,wertvoll::A,паха,preciós
728,blind::A,суккӑр,cec
729,taub::A,хӑлхасӑр,sord
730,kräftig::A,хӑватлӑ,fort
731,kräftig::A,хӑватлӑ,vigorós
732,stark::A,вирлӗ,fort
733,schwach::A,халсӑр,feble
734,fett::A,самӑр,gras
735,fett::A,мӑнтӑр,gras
736,schlank::A,йӑрӑс,esvelt
737,schlank::A,яштака,esvelt
738,hübsch::A,хитре,maco
739,böse::A,усал,dolent
740,dumm::A,ухмах,ximple
741,dumm::A,ухмах,estúpid
742,faul::A,наян,gandūl
743,faul::A,наян,mandrós
744,faul::A,юлхав,gandūl
745,faul::A,юлхав,mandrós
746,faul::A,ӳркенчӗк,gandūl
747,faul::A,ӳркенчӗк,mandrós
748,fleißig::A,хастар,diligēnt
