,Concept_ID,ta,mdf
537,November::N,நவம்பர் மாதம்,эйндамков
538,Dezember::N,டிசம்பர்,кучкаков
539,Montag::N,திங்கட் கிழமை,одговши
540,Dienstag::N,செவ்வாய்க்கிழமை,ша́вши
541,Mittwoch::N,புதன் கிழமை,вержи
542,Donnerstag::N,வியாழக் கிழமை,шува́ланя
543,Freitag::N,வெள்ளிக்கிழமை,пя́денця
544,Samstag::N,சனிக்கிழமை,ёткши
545,Sonntag::N,ஞாயிறுக் கிழமை,таргоши
546,groß::A,பெரிய,оцю
547,klein::A,சிறிய,ёмла
548,lang::A,நீண்ட,кува́ка
549,kurz::A,குட்டையான,нюрьхкя́ня
550,breit::A,அகலமான,кели
551,schmal::A,குறுகலான,тяйня
552,dicht::A,அடர்த்தியான,сиде
553,dicht::A,அடர்த்தியான,туста
554,dick[Gegenstand]::A,தடித்த,эчке
555,dünn::A,சன்னமான,шува́ня
556,fein::A,மெல்லிய,шува́ня
557,fest::A,உறுதியாள,кеме
558,flach::A,தட்டையான,лапш
559,glatt::A,வழுவழுப்பான,вадяв
560,glatt::A,வழுவழுப்பான,такор
561,hart::A,கடினமான,калгода
562,weich::A,மென்மையான,ляпе
563,rund::A,உருண்டையான,кру́глай
564,spitz::A,திகந்தமாக,ботаз
565,spitz::A,திகந்தமாக,оржа
566,scharf::A,கூரான,оржа
567,stumpf::A,உளம் திறந்த,ношка
568,schwer::A,கனமான,стака
569,schön::A,அழகான,мазы
570,heiß::A,சூடான,пси
571,warm::A,இதமான,лямбе
572,kalt::A,குளிர்ச்சியான,кельме
573,kühl::A,குளிர்ச்சியான,эше
574,frisch::A,சுத்தமான,свежай
575,feucht::A,ஈரமான,летьке
576,nass::A,ஈரமான,начка
577,trocken::A,உலர்ந்த,коське
578,voll::A,நிரம்பிய,пяшксе
579,leer::A,காலியான,шава
580,offen::A,திறந்த,панжада
581,offen::A,திறந்த,виде
582,geschlossen::A,மூடப்பட்ட,пякстаф
583,geschlossen::A,மூடப்பட்ட,сёлгф
584,sauber::A,சுத்தமான,ару
585,schmutzig::A,அழக்கான,рда́зу
586,schmutzig::A,அழக்கான,пя́ндра
587,roh::A,கச்சா,верок
588,reif::A,பழுத்த,ке́нерьф
589,lecker::A,சுவைமிக்க,танцти
590,süß::A,இனிப்பான,ламбама
591,bitter::A,கசப்பான,сяпи
592,sauer::A,புளிப்பாக,шапама
593,hell::A,பளபளப்பான,валда
594,dunkel::A,கருமையான,шобда
595,schwarz::A,கருப்பு வண்ண,равжа
596,weiß::A,வெண்மையன,акша
597,rot::A,சிவப்பு,якстерь
598,gelb::A,மஞ்சள் வண்ணம்,тюжя́
599,blau::A,நீல வண்ண,сенем
600,grün::A,பச்சை வண்ண,пиже
601,grün::A,பச்சை வண்ண,сянгяря
602,grau::A,சாம்பல் நிற,уле
603,bunt::A,வண்ண மயமான,сёрмав
604,billig::A,மலிவான,у́цез
605,billig::A,மலிவான,аф пи́тни
606,teuer::A,விலை அதிகமான,пи́тни
607,wertvoll::A,மதிப்புள்ள,питни
608,blind::A,பார்வையற்ற,сокор
609,taub::A,செவிடான,пярав
610,kräftig::A,வலிமையான,пяк вии
611,stark::A,பலமான,вии
612,schwach::A,பலவீனமான,лафча
613,fett::A,பருமனாக,куя́
614,schlank::A,ஒல்லியான,виде ронга
615,hübsch::A,அழகிய,мазы
616,böse::A,கேடு விளைவிக்கும்,кяжи
617,dumm::A,முட்டாள்தனமான,аф ёню
618,dumm::A,முட்டாள்தனமான,шава пря
619,faul::A,சோம்பலான,нола
620,fleißig::A,ஊக்கந்தளராத,ку́лхцонды
621,geizig::A,கஞேசத்தனமான,кирьжя
622,geizig::A,கஞேசத்தனமான,жаднай
623,klug::A,சாதுரியமான,ёню
624,klug::A,சாதுரியமான,пря́ви
625,geschickt::A,திறமையள்ள,маштозь тиф
626,lieb::A,அன்புக்குரிய,цебярь
627,lustig::A,களிப்புமிக்க,ра́хси
628,sanft::A,சாதுவான,сетьме
629,hungrig::A,பசியுடன்,вача
630,hungrig::A,பசியுடன்,вачеда
631,krank::A,நோயுற்று,сяряди
632,nackt::A,ஆடையற்ற,штада
633,nackt::A,ஆடையற்ற,кърхтапа
634,traurig::A,சோகமான,ла́жнай
635,lebendig::A,பிழைப்பு,эряй
636,gut::A,நல்ல,пара
637,gut::A,நல்ல,цебярь
638,schlecht::A,கெட்ட,кальдяв
639,richtig::A,சரியான,виде
640,schlimm::A,அருவருப்பான,кальдяв
641,wahr::A,உண்மையான,афкуксонь
642,alt::A,பழைய,ташта
643,neu::A,புதிய,од
644,ehemalig::A,முன்நாள்,и́нгольдень
645,alt[Lebewesen]::A,வயதான,сире
646,jung::A,இளமையான,од
647,arm::A,ஏழ்மையான,а́шу
648,reich::A,செல்வம் படைத்த,козя
649,bekannt::A,பழக்கப்பட்ட,содаф
650,berühmt::A,புகழ்பெற்ற,содавикс
651,fremd::A,அயல் நாட்டு,лия
652,fremd::A,அயல் நாட்டு,аф содаф
653,verschieden::A,வித்தியாசமான,аф фкя ла́цонь
654,nah::A,பக்கத்தில் உள்ள,мала
655,nah::A,பக்கத்தில் உள்ள,аф ичкоздень
656,fern::A,தொலை தூரத்தில்,и́чкоздень
657,fern::A,தொலை தூரத்தில்,куна́рдонь
658,linker::A,மீந்திருக்கும்,кержи
659,rechter::A,வலதுபக்கம்,види
660,anderer::A,மற்ற,лия
661,erster::A,முதனமையான,васенце
662,zweiter::A,இரண்டாவது,омбоце
663,dritter::A,மூன்றாவது,колмоце
664,letzter::A,கடைசி,ме́кольце
665,allein::ADV,தனியாக,ськамонза
666,auf einmal::ADV,தடீரென்று,вихцок
667,zusammen::ADV,சேர்ந்து,марс
668,zusammen::ADV,சேர்ந்து,ма́рса
669,lange::ADV,அதிக நோம்,кува́тьс
670,plötzlich::ADV,தடீரென்று,а́пак учт
671,sofort::ADV,உடனடியாக,тяникиге
672,später::ADV,பிறகு,ме́ле
673,jetzt::ADV,இப்பொழது,тяни
