,Concept_ID,no,sl
320,Kreis::N,ring,kolobár
321,Kreis::N,sirkel,króg
322,Kreis::N,sirkel,kolobár
323,Kreuz::N,kors,kríž
324,Kreuz::N,kryss,kríž
325,Linie::N,linje,próga
326,Strich::N,strek,čŕta
327,Abstand::N,avstand,preslédek
328,Entfernung::N,avstand,oddáljenost
329,Gegend::N,strøk,kràj
330,Gegend::N,strøk,dežêla
331,Platz::N,plass,prôstor
332,Ort::N,sted,mésto
333,Seite::N,side,bòk
334,Seite::N,side,strán
335,Mitte::N,midte,sredína
336,Gegenstand::N,gjenstand,prédmet
337,Sache::N,sak,réč
338,Sache::N,sak,stvár
339,Rand::N,rand,kràj
340,Kante::N,kant,rób
341,Ecke::N,hjørne,vogál
342,Spitze::N,spiss,óst
343,Ende::N,ende,kônec
344,Loch::N,hull,lúknja
345,Winkel::N,vinkel,kót
346,Muster::N,mønster,vzórec
347,Größe::N,størrelse,veličína
348,Länge::N,lengde,dolžína
349,Höhe::N,høyde,vršína
350,Gewicht::N,vekt,téža
351,Menge::N,mengde,količína
352,Haufen::N,haug,kùp
353,Haufen::N,haug,kopíca
354,Haufen::N,bunke,kùp
355,Haufen::N,bunke,kopíca
356,Reihe::N,rekke,níz
357,Reihe::N,rekke,vŕsta
358,Boot::N,båt,čóln
359,Ruder::N,åre,vêslo
360,Schlitten::N,slede,saní
361,Schlitten::N,kjelke,saní
362,Ski::N,ski,smučí
363,Lagerfeuer::N,leirbål,táborni ôgenj
364,Last::N,bør,tôvor
365,Last::N,last,tôvor
366,Gang::N,gang,hòd
367,Schritt::N,steg,korák
368,Schritt::N,skritt,korák
369,Norden::N,nord,séver
370,Süden::N,sør,júg
371,Westen::N,vest,zapàd
372,Osten::N,øst,vzhòd
373,Holz::N,tre,lés
374,Brett::N,fjøl,deskà
375,Brett::N,brett,deskà
376,Platte::N,plate,plôča
377,Stütze::N,støtte,opóra
378,Stütze::N,støtte,zaslómba
379,Stange::N,stang,gréd
380,Stock::N,pinne,pálica
381,Stab::N,stav,pálica
382,Stab::N,kjepp,pálica
383,Rohr::N,rør,cév
384,Haus::N,hus,híša
385,Heim::N,hjem,dóm
386,Ofen::N,ovn,péč
387,Fußboden::N,gulv,pòd
388,Tisch::N,bord,míza
389,Stuhl::N,stol,stòl
390,Wiege::N,vogge,zíbel
391,Bett::N,seng,póstelja
392,Regal::N,reol,políca
393,Regal::N,hylle,políca
394,Kiste::N,kasse,zabòj
395,Fenster::N,vindu,ôkno
396,Tür::N,dør,vráta
397,Tor::N,port,velíka vráta
398,Zaun::N,gjerde,ográja
399,Dach::N,tak,stréha
400,Leiter::N,stige,léstev
401,Besen::N,kost,mêtla
402,Spaten::N,spade,lopáta
403,Schaufel::N,skuffe,lopáta
404,Gabel::N,gaffel,vílice
405,Löffel::N,skje,žlíca
406,Messer::N,kniv,nòž
407,Nagel::N,spiker,žebèlj
408,Netz::N,nett,mréža
409,Haken::N,krok,kljúka
410,Griff::N,tak,ročáj
411,Griff::N,tak,oprijèm
412,Griff::N,håndtak,ročáj
413,Griff::N,håndtak,oprijèm
414,Schloss::N,lås,ključávnica
415,Bild::N,bilde,slíka
416,Figur::N,figur,figúra
417,Figur::N,figur,postáva
418,Puppe::N,dukke,lútka
419,Beutel::N,pose,môšnja
420,Bündel::N,bylt,cúla
421,Bündel::N,bylt,svéženj
422,Tasche::N,veske,tórba
423,Tasche::N,veske,tobôlec
424,Eimer::N,bøtte,vêdro
425,Deckel::N,lokk,pokròv
426,Deckel::N,lokk,poklópec
427,Geschirr::N,kjøkkentøy,posóda
428,Sack::N,sekk,vréča
429,Tasse::N,kopp,skodélica
430,Topf::N,gryte,lônec
431,Kessel::N,kjele,kôtel
432,Essen::N,mål,hrána
433,Nahrung::N,mat,živílo
434,Nahrung::N,næring,živílo
435,Speise::N,matrett,jéd
436,Fleisch::N,kjøtt,mesó
437,Getreide::N,korn,žíto
438,Brei::N,grøt,káša
439,Brot::N,brød,krùh
440,Scheibe::N,skive,réženj
441,Fett::N,fett,mást
442,Fett::N,fett,maščôba
443,Butter::N,smør,máslo
444,Öl::N,olje,ólje
445,Salz::N,salt,sól
446,Suppe::N,suppe,júha
447,Honig::N,honning,méd
448,Milch::N,melk,mléko
449,Tee::N,te,čáj
450,Leder::N,lær,úsnje
451,Leder::N,skinn,úsnje
452,Wolle::N,ull,vólna
453,Stoff::N,tøy,blagó
454,Stoff::N,stoff,blagó
455,Nadel::N,nål,ígla
456,Faden::N,tråd,nít
457,Knopf::N,knapp,gúmb
458,Knoten::N,knute,vôzel
459,Farbe::N,farge,bárva
460,Kleidung::N,påkledning,obléka
461,Hemd::N,skjorte,srájca
462,Kragen::N,krage,ovrátnik
463,Ärmel::N,erme,rokáv
464,Hose::N,bukse,hláče
465,Gürtel::N,belte,pás
466,Mütze::N,lue,kápa
467,Mütze::N,lue,čépica
468,Schuh::N,sko,čévelj
469,Stiefel::N,støvel,škórenj
470,Ring::N,ring,pŕstan
471,Band::N,band,trák
472,Kamm::N,kam,glavník
473,Spiegel::N,speil,zrcálo
474,Spiegel::N,speil,ogledálo
475,Riemen::N,rem,jêrmen
476,Schnur::N,snor,vŕvca
477,Leine::N,line,konôpec
478,Decke::N,teppe,odéja
479,Kissen::N,pute,blazína
480,Tuch::N,tøy,pŕt
481,Tuch::N,tøy,rúta
482,Handtuch::N,håndkle,brisáča
483,Kraft::N,kraft,síla
484,Stärke::N,styrke,jákost
485,Gesundheit::N,helse,zdrávje
486,Gesundheit::N,sunnhet,zdrávje
487,Krankheit::N,syke,bolézen
488,Krankheit::N,sykdom,bolézen
489,Schmerz::N,smerte,ból
490,Schmerz::N,smerte,bolečína
491,Wunde::N,sår,rána
492,Fieber::N,feber,vročína
493,Arznei::N,medisin,lék
494,Arznei::N,medisin,zdravílo
495,Arznei::N,legemiddel,lék
496,Arznei::N,legemiddel,zdravílo
497,Brücke::N,bro,móst
498,Brunnen::N,brønn,vodnják
499,Weide::N,beite,páša
500,Pfad::N,sti,stezà
501,Weg::N,vei,pót
502,Straße::N,gate,césta
503,Dorf::N,landsby,vás
504,Stadt::N,by,mésto
505,Brief::N,brev,písmo
506,Buch::N,bok,knjíga
507,Buchstabe::N,bokstav,čŕka
508,Zeitung::N,avis,čásnik
509,Leben::N,liv,življênje
510,Tod::N,død,smŕt
511,Grab::N,grav,gròb
512,Kirche::N,kirke,cérkev
513,Sünde::N,synd,gréh
514,Gott::N,gud,bóg
515,Arbeiter::N,arbeider,délavec
516,Chef::N,sjef,šéf
517,Meister::N,mester,mójster
518,Arzt::N,lege,zdravník
