,Concept_ID,da,ce
65,Boden::N,jord,цӏенкъа
66,Erde::N,jord,латта
67,Staub::N,støv,чан
68,Rauch::N,røg,кӏур
69,Funke::N,gnist,суй
70,Feuer::N,ild,цӏе
71,Licht::N,lys,серло
72,Schatten::N,skygge,ӏиндагӏ
73,Wetter::N,vejr,хенан хӏоттам
74,Nebel::N,tåge,дохк
75,Wolke::N,sky,марха
76,Regen::N,regn,догӏа
77,Schnee::N,sne,ло
78,Eis::N,is,ша
79,Frost::N,frost,шело
80,Kälte::N,kulde,шело
81,Hitze::N,hede,йовхо
82,Raureif::N,rimfrost,йис
83,Regenbogen::N,regnbue,стелаӏад
84,Donner::N,torden,ткъес
85,Strömung::N,strømning,дӏаэхар
86,Strömung::N,strømning,дӏасалелар
87,Tropfen::N,dråbe,тӏадам
88,Schaum::N,skum,чопа
89,Schmutz::N,snavs,хатт
90,See::N,sø,ӏам
91,Sumpf::N,sump,уьшал
92,Moor::N,mose,уьшал
93,Wiese::N,eng,бай
94,Wald::N,skov,хьун
95,Hügel::N,høj,гу
96,Hügel::N,høj,шу
97,Hügel::N,høj,барз
98,Hügel::N,bakke,гу
99,Hügel::N,bakke,шу
100,Hügel::N,bakke,барз
101,Anhöhe::N,høj,акъари
102,Anhöhe::N,bakke,акъари
103,Berg::N,bjerg,лам
104,Gipfel::N,top,бохь
105,Höhle::N,hule,хьех
106,Abhang::N,skrænt,басе
107,Abhang::N,skråning,басе
108,Quelle::N,kilde,шовда
109,Bach::N,bæk,татол
110,Fluss::N,flod,хи
111,Ufer::N,bred,хийист
112,Küste::N,kyst,йист
113,Festland::N,fastland,латта
114,Meer::N,hav,xӏорд
115,Bucht::N,bugt,чож
116,Insel::N,ø,гӏайре
117,Blume::N,blomst,зезаг
118,Gras::N,græs,буц
119,Wurzel::N,rod,орам
120,Baum::N,træ,дитт
121,Stamm::N,stamme,гӏад
122,Stamm::N,stamme,тайпа
123,Rinde::N,bark,кевстиг
124,Ast::N,gren,га
125,Zweig::N,kvist,га
126,Blatt::N,blad,гӏа
127,Birke::N,birk,дакх
128,Kiefer[Baum]::N,fyrretræ,бага
129,Weide[Baum]::N,piletræ,дак
130,Tanne::N,gran,база
131,Horn::N,horn,маӏа
132,Feder::N,fjer,пелаг
133,Fell::N,skind,цӏока
134,Flügel::N,vinge,тӏам
135,Klaue::N,klov,мӏара
136,Kralle::N,klo,тlод
137,Schwanz::N,hale,цӏога
138,Ei::N,æg,xӏoa
139,Nest::N,rede,бен
140,Bau::N,bo,lуьрг
141,Tier::N,dyr,дийнат
142,Herde::N,flok,жа
143,Kuh::N,ko,етт
144,Bulle::N,tyr,сту
145,Pferd::N,hest,говр
146,Schaf::N,får,жий
147,Schaf::N,får,уьстагӏ
148,Schwein::N,gris,хьакха
149,Hund::N,hund,жӏаьла
150,Katze::N,kat,цициг
151,Bär::N,bjørn,ча
152,Eichhörnchen::N,egern,тарсал
153,Elch::N,elg,сай
154,Fuchs::N,ræv,цхьогал
155,Hase::N,hare,пхьагал
156,Maus::N,mus,дахка
157,Wolf::N,ulv,борз
158,Vogel::N,fugl,олхазар
159,Schwarm::N,sværm,
160,Huhn::N,høne,котам
161,Hahn::N,hane,нӏаьна
162,Hahn::N,hane,боргӏал
163,Gans::N,gås,гӏаз
164,Adler::N,ørn,aьрзу
165,Ente::N,and,бад
166,Eule::N,ugle,бухӏа
167,Kranich::N,trane,гӏаргӏули
168,Krähe::N,krage,къиг
169,Kuckuck::N,gøg,aттйокх
170,Schwan::N,svane,гӏургӏаз
171,Fisch::N,fisk,чӏара
172,Barsch::N,aborre,окунь
173,Hecht::N,gedde,гӏазкхийн чӏара
174,Schlange[Tier]::N,slange,лаьхьа
175,Wurm::N,orm,нӏаьна
176,Spinne::N,edderkop,гезг
177,Ameise::N,myre,зингат
178,Laus::N,lus,меза
179,Laus::N,lus,гӏениг
180,Mücke::N,myg,чуьрк
181,Fliege::N,flue,моза
182,Schmetterling::N,sommerfugl,полла
183,Beere::N,bær,цӏазам
184,Apfel::N,æble,ӏаж
185,Pilz::N,svamp,жӏаьлин нускал
186,Zwiebel::N,løg,xох
187,Saat::N,sæd,чlу
188,Korn::N,korn,буьртиг
189,Heu::N,hø,йол
190,Schale::N,skræl,пардо
191,Grube::N,grav,ор
192,Falle::N,fælde,кӏело
193,Schlinge::N,snare,
194,Spur::N,spor,лар
195,Asche::N,aske,чим
196,Dreck::N,snavs,мода
197,Eisen::N,jern,эчиг
198,Gold::N,guld,деши
199,Silber::N,sølv,дети
200,Kohle::N,kul,кӏора
201,Glas::N,glas,aнгали
202,Lehm::N,ler,поппар
203,Sand::N,sand,гӏум
204,Mensch::N,mennesge,адам
205,Mann::N,mand,майра
206,Frau::N,kvinde,зуда
207,Kind::N,barn,бер
208,Junge::N,dreng,жимха
209,Mädchen::N,pige,жима йоӏ
210,Familie::N,familie,доьзал
211,Großvater::N,bedstefar,ненада
212,Großmutter::N,bedstemor,денана
213,Eltern::N,forældre,да-нана
214,Vater::N,far,да
215,Mutter::N,mor,нана
216,Sohn::N,søn,кӏант
217,Tochter::N,datter,йоӏ
218,Bruder::N,bror,ваша
219,Schwester::N,søster,йиша
220,Onkel::N,onkel,деваша
221,Tante::N,tante,дейиша
222,Ehemann::N,ægtemand,майра
223,Ehefrau::N,hustru,зуда
224,Freude::N,glæde,самукъа
225,Freude::N,glæde,хазахетар
226,Gelächter::N,latter,белам
227,Glück::N,lykke,ирс
228,Kummer::N,sorg,бала
229,Wunsch::N,ønske,лаам
230,Lust::N,lyst,лаам
231,Geist::N,ånd,са
232,Gedanke::N,tanke,ойла
233,Gedächtnis::N,hukommelse,диццадалар
234,Verstand::N,forstand,хьекъал
235,Sinn::N,mening,маьӏна
236,Sinn::N,betydning,маьӏна
237,Grund::N,grund,бахьана
238,Wahrheit::N,sandhed,бакъдерг
239,Gespräch::N,samtale,къамел
240,Märchen::N,eventyr,туьйра
241,Erzählung::N,fortælling,дийцар
242,Nachricht::N,efterretning,хаам
243,Neuigkeit::N,nyhed,керланиг
244,Name::N,navn,цӏе
245,Rätsel::N,gåde,хӏетал-метал
246,Rede::N,tale,къамел
247,Sprache::N,sprog,мотт
248,Stimme::N,stemme,aз
249,Wort::N,ord,дош
250,Zeichen::N,tegn,билгало
251,Ruf::N,råb,кхайкхар
252,Lärm::N,larm,гӏовгӏа
253,Laut::N,lyd,аз
254,Ton::N,tone,aз
255,Lied::N,sang,илли
256,Ruhe::N,ro,тийналла
257,Ruhe::N,hvile,тийналла
258,Leute::N,folk,нах
259,Leute::N,mennesker,нах
260,Volk::N,folk,халкъ
261,Arbeit::N,arbejde,болх
262,Gast::N,gæst,хьаша
263,Geschenk::N,gave,совгӏат
264,Spiel::N,leg,ловзар
265,Gesellschaft::N,selskab,юкъаралла
266,Hilfe::N,hjælp,гӏо
267,Freund::N,ven,доттагl
268,Kamerad::N,kammerat,накъост
269,Angelegenheit::N,sag,гӏуллакх
270,Angelegenheit::N,anliggende,гӏуллакх
271,Anzahl::N,antal,терахь
272,Art::N,art,
273,Stück::N,stykke,юьхк
274,Teil::N,del,дакъа
275,Hälfte::N,halvdel,ах
276,Kreis::N,cirkel,го
277,Kreuz::N,kors,жӏара
278,Kreuz::N,kryds,жӏара
279,Linie::N,linie,сиз
280,Strich::N,streg,сиз
281,Abstand::N,afstand,юкъ
282,Entfernung::N,afstand,
283,Gegend::N,egn,мeттиг
284,Platz::N,plads,майда
285,Ort::N,sted,меттиг
286,Seite::N,side,aгӏo
287,Mitte::N,midte,юкъ
288,Gegenstand::N,genstand,хӏума
289,Sache::N,sag,хӏума
290,Rand::N,rand,йист
291,Kante::N,kant,йист
292,Ecke::N,hjørne,са
293,Spitze::N,spids,ралла
294,Ende::N,ende,юьхьиг
295,Loch::N,hul,ӏуьрг
296,Winkel::N,vinkel,са
297,Muster::N,mønster,дагар
298,Muster::N,mønster,тӏамар
299,Größe::N,størrelse,барам
300,Länge::N,længde,йохалла
301,Höhe::N,højde,локхалла
302,Gewicht::N,vægt,йозалла
303,Menge::N,mængde,дукхалла
304,Haufen::N,bunke,сал
305,Haufen::N,bunke,оьла
306,Reihe::N,række,рагӏ
307,Reihe::N,række,могӏа
308,Boot::N,båd,кема
309,Ruder::N,åre,пийсиг
310,Schlitten::N,kælk,салаз
311,Schlitten::N,slæde,салаз
312,Ski::N,ski,когсалаз
313,Lagerfeuer::N,lejrbål,цӏе
314,Last::N,last,дукъ
315,Last::N,byrde,дукъ
316,Gang::N,gang,лелар
317,Schritt::N,skridt,гӏулч
318,Norden::N,nord,къилбаседе
319,Süden::N,syd,къилбе
320,Westen::N,vest,малхбузе
321,Osten::N,øst,малхбале
322,Holz::N,træ,дечиг
323,Brett::N,bræt,у
324,Platte::N,plade,у
325,Stütze::N,støtte,гӏopтоp
326,Stange::N,stang,гӏуркх
327,Stock::N,stok,ӏаса
328,Stab::N,stav,гӏаж
329,Rohr::N,rør,биргӏа
330,Haus::N,hus,цӏа
331,Heim::N,hjem,кхерч
332,Ofen::N,ovn,кхерч
333,Fußboden::N,gulv,цӏенкъа
334,Tisch::N,bord,шун
335,Stuhl::N,stol,гӏант
336,Wiege::N,vugge,ага
337,Bett::N,seng,маьнга
338,Regal::N,reol,терхи
339,Kiste::N,kasse,яьшка
340,Fenster::N,vindue,кор
341,Tür::N,dør,неӏ
342,Tor::N,port,ков
343,Zaun::N,stakit,керт
344,Dach::N,tag,тхов
345,Leiter::N,stige,лами
346,Besen::N,kost,нуй
347,Spaten::N,spade,бел
348,Schaufel::N,skovl,аьшкал
349,Gabel::N,gaffel,мӏара
350,Löffel::N,ske,ӏайг
351,Messer::N,kniv,урс
352,Nagel::N,søm,хьостам
353,Netz::N,net,бой
354,Haken::N,krog,мӏара
355,Griff::N,tag,
356,Griff::N,håndtag,
357,Schloss::N,lås,чӏега
358,Bild::N,billede,сурт
359,Figur::N,figur,
360,Puppe::N,dukke,тайниг
361,Beutel::N,pose,гали
362,Bündel::N,bylt,кочар
363,Bündel::N,bundt,кочар
364,Tasche::N,taske,тӏоьрмиг
365,Eimer::N,spand,чийлик
366,Deckel::N,låg,негӏар
367,Geschirr::N,husgeråd,пхьегӏа
368,Sack::N,sæk,гали
369,Tasse::N,kop,кад
370,Topf::N,gryde,яй
371,Kessel::N,kedel,яй
372,Essen::N,måltid,юург
373,Nahrung::N,mad,кхача
374,Nahrung::N,næring,кхача
375,Speise::N,ret,юург
376,Fleisch::N,kød,жижиг
377,Getreide::N,korn,буьртиг
378,Brei::N,grød,xудар
379,Brot::N,brød,бепиг
380,Brot::N,brød,кхаллар
381,Scheibe::N,skive,цастар
382,Fett::N,fedt,мохь
383,Butter::N,smør,налха
384,Öl::N,olie,даьтта
385,Salz::N,salt,туьха
386,Suppe::N,suppe,чорпа
387,Honig::N,honning,моз
388,Milch::N,mælk,шура
389,Tee::N,te,чай
390,Leder::N,skind,цӏока
391,Wolle::N,uld,тӏapгӏa
392,Stoff::N,stof,кӏади
393,Nadel::N,nål,маха
394,Faden::N,tråd,тай
395,Knopf::N,knap,нуьйда
396,Knoten::N,knude,шад
397,Farbe::N,farve,сир
398,Farbe::N,farve,басар
399,Kleidung::N,påklædning,бедар
400,Hemd::N,skjorte,коч
401,Kragen::N,krave,кач
402,Ärmel::N,ærme,пхьош
403,Hose::N,bukser,хеча
404,Gürtel::N,bælte,доьхка
405,Mütze::N,hue,куй
406,Schuh::N,sko,мача
407,Stiefel::N,støvle,этка
408,Ring::N,ring,чӏуг
409,Band::N,bånd,лента
410,Kamm::N,kam,ехк
411,Spiegel::N,spejl,куьзга
412,Riemen::N,rem,доьхка
413,Schnur::N,snor,муш
414,Leine::N,snor,кочатосу доьхка
415,Decke::N,tæppe,юргӏа
416,Kissen::N,pude,гIайба
417,Tuch::N,sjaltørklæde,исхар
418,Handtuch::N,håndklæde,гата
419,Kraft::N,kraft,гӏора
420,Stärke::N,styrke,гӏап
421,Gesundheit::N,sundhed,могашалла
422,Krankheit::N,sygdom,цамгар
423,Schmerz::N,smerte,лазар
424,Wunde::N,sår,чов
425,Fieber::N,feber,xорша
426,Arznei::N,medicin,молха
427,Arznei::N,lægemiddel,молха
428,Brücke::N,bro,тӏай
429,Brunnen::N,brønd,гӏу
430,Weide::N,græsgang,дак
431,Pfad::N,sti,тача
432,Weg::N,vej,некъ
433,Straße::N,gade,урам
434,Dorf::N,landsby,юрт
435,Stadt::N,by,гӏала
436,Brief::N,brev,кехат
437,Buch::N,bog,жайна
438,Buchstabe::N,bogstav,элп
439,Zeitung::N,avis,газет
440,Leben::N,liv,дахар
441,Tod::N,død,далар
442,Tod::N,død,ӏожалла
443,Grab::N,grav,каш
444,Kirche::N,kirke,килс
445,Sünde::N,synd,къа
446,Gott::N,gud,дела
447,Arbeiter::N,arbejder,белхало
448,Chef::N,chef,хьаькам
449,Meister::N,mester,говзанча
450,Arzt::N,læge,лор
451,Lehrer::N,lærer,хьехархо
452,Geld::N,penge,aхча
453,Geschäft::N,forretning,туька
454,Laden::N,butik,туька
455,Laden::N,forretning,туька
456,Preis::N,pris,мах
457,Ware::N,vare,хlума
458,Nutzen::N,nytte,пайда
459,Reichtum::N,rigdom,хьал
460,Welt::N,verden,дуьне
461,Land::N,land,мохк
462,Staat::N,stat,пачхьалкх
463,König::N,konge,паччахь
464,Macht::N,magt,ӏедал
465,Grenze::N,grænse,доза
466,Krieg::N,krig,тӏом
467,Feind::N,fjende,мостагӏ
468,Gewalt::N,vold,гӏело
469,Kampf::N,kamp,къийсам
470,Bogen[Waffe]::N,bue,
471,Pfeil::N,pil,пха
472,Gewehr::N,gevær,топ
473,Fehler::N,fejl,гӏалат
474,Lüge::N,løgn,аьшпаш
475,Schaden::N,skade,зен
476,Unglück::N,uheld,бала
477,Unglück::N,ulykke,бала
478,Schuld::N,skyld,бехк
479,Alter::N,alder,хан
480,Schluss::N,slut,чакхе
481,Schluss::N,slutning,чакхе
482,Zeit::N,tid,хан
483,Tag::N,dag,де
484,Morgen::N,morgen,ӏуьйре
485,Mittag::N,middag,делкъе
486,Abend::N,aften,суьйре
487,Nacht::N,nat,буьйса
488,Woche::N,uge,кӏира
489,Monat::N,måned,бутт
490,Jahr::N,år,шо
491,Frühling::N,forår,бӏаьсте
492,Sommer::N,sommer,аьхке
493,Herbst::N,efterår,гуьйре
494,Winter::N,vinter,ӏа
495,Januar::N,januar,январь
496,Februar::N,februar,февраль
497,März::N,marts,март
498,April::N,april,апрель
499,Mai::N,maj,май
500,Juni::N,juni,июнь
501,Juli::N,juli,июль
502,August::N,august,август
503,September::N,september,сентябрь
504,Oktober::N,oktober,октябрь
505,November::N,november,ноябрь
506,Dezember::N,december,декабрь
507,Montag::N,mandag,оршот
508,Dienstag::N,tirsdag,шинара
509,Mittwoch::N,onsdag,кхаара
510,Donnerstag::N,torsdag,еара
511,Freitag::N,fredag,пӏераска
512,Samstag::N,lørdag,шот
513,Sonntag::N,søndag,кӏиранде
514,groß::A,stor,доккха
515,klein::A,lille,кегий
516,lang::A,lang,еха
517,kurz::A,kort,доца
518,breit::A,bred,шуьйра
519,schmal::A,smal,готта
520,dicht::A,tæt,луьста
521,dick[Gegenstand]::A,tyk,стомма
522,dünn::A,tynd,дуткъа
523,fein::A,fin,ховха
524,fest::A,fast,чӏогӏа
525,flach::A,flad,чӏапа
526,glatt::A,glat,шера
527,hart::A,hård,чӏогӏa
528,weich::A,blød,кӏеда
529,rund::A,rund,горга
530,spitz::A,spids,ира
531,scharf::A,skarp,ира
532,stumpf::A,sløv,аьртa
533,stumpf::A,stump,аьртa
534,schwer::A,tung,деза
535,schön::A,skøn,хаза
536,heiß::A,hed,довха
537,warm::A,varm,довха
538,kalt::A,kold,шийла
539,kühl::A,kølig,шийла
540,frisch::A,frisk,керла
541,feucht::A,fugtig,тӏуьна
542,nass::A,våd,тӏеда
543,trocken::A,tør,eкъа
544,voll::A,fuld,дуьзна
545,leer::A,tom,яьсса
546,offen::A,åben,диллина
547,geschlossen::A,lukket,дӏакъевлина
548,geschlossen::A,lukket,дӏачӏагӏдина
549,sauber::A,ren,цӏена
550,schmutzig::A,snavset,боьха
551,roh::A,rå,буьйда
552,reif::A,moden,хилла
553,lecker::A,lækker,чоме
554,süß::A,sød,мерза
555,bitter::A,bitter,къаьхьа
556,sauer::A,sur,муьста
557,hell::A,lys,сирла
558,dunkel::A,mørk,бодане
559,schwarz::A,sort,ӏаьржа
560,weiß::A,hvid,кӏайн
561,rot::A,rød,цӏен
562,gelb::A,gul,можа
563,blau::A,blå,сийна
564,grün::A,grøn,баьццара
565,grau::A,grå,cира
566,grau::A,grå,мокха
567,bunt::A,broget,къорза
568,billig::A,billig,дораха
569,teuer::A,dyr,деза
570,wertvoll::A,værdifuld,мехала
571,blind::A,blind,бӏаьрзе
572,taub::A,døv,къора
573,kräftig::A,kraftig,нуьцкъала
574,stark::A,stærk,зоьртала
575,stark::A,stærk,нуьцкъала
576,schwach::A,svag,гӏорасиза
577,fett::A,fed,дерстана
578,schlank::A,slank,куц долу
579,hübsch::A,køn,хаза
580,böse::A,ond,вон
581,böse::A,slem,вон
582,dumm::A,dum,сонта
583,faul::A,doven,мало ен
584,fleißig::A,flittig,тӏера
585,geizig::A,gerrig,пис
586,geizig::A,gerrig,сутара
587,klug::A,klog,хьекъале
588,geschickt::A,dygtig,тӏахъаьлла
589,geschickt::A,behændig,тӏахъаьлла
590,lieb::A,rar,хьоме
591,lustig::A,lystig,самукъане
592,sanft::A,blid,кlеда
593,hungrig::A,sulten,меца
594,krank::A,syg,цомгуш долу
595,nackt::A,nøgen,дерзана
596,traurig::A,bedrøvet,самукъане воцу
597,lebendig::A,levende,дийна
598,gut::A,god,дика
599,schlecht::A,dårlig,вон
600,richtig::A,rigtig,нийса
601,schlimm::A,slem,вон
602,wahr::A,sand,бакъдолу
603,alt::A,gammel,къена
604,neu::A,ny,керла
605,ehemalig::A,forhenværende,хилла
606,alt[Lebewesen]::A,gammel,къена
607,jung::A,ung,къона
608,arm::A,fattig,къен
609,reich::A,rig,хьоле
610,bekannt::A,kendt,девзаш долу
611,berühmt::A,berømt,цӏеяхана
612,fremd::A,fremmed,нехан
613,verschieden::A,forskellig,тайп-тайпанара
614,nah::A,nær,гергара
615,fern::A,fjern,гена
616,fern::A,fjern,генара
617,linker::A,venstre,аьрру
618,rechter::A,højre,аьтту
619,anderer::A,anden,кхин
620,erster::A,første,хьалхара
621,zweiter::A,anden,шолгIа
622,dritter::A,tredje,кхоалгӏа
623,letzter::A,sidste,тӏаьххьара
624,allein::ADV,alene,цхьаъ
625,auf einmal::ADV,på én gang,цу сохьтта
626,zusammen::ADV,sammen,цхьана
627,lange::ADV,længe,дукха
628,plötzlich::ADV,pludselig,цIеххьана
629,sofort::ADV,straks,цу сохьтта
630,später::ADV,senere,тӏаьхьо
631,jetzt::ADV,nu,хӏинца
632,heute::ADV,i dag,тахана
633,morgen::ADV,i morgen,кхана
634,bald::ADV,snart,кеста
635,dann::ADV,så,тӏаккха
636,gestern::ADV,i går,селхана
637,einst::ADV,engang,цкъа
638,damals::ADV,dengang,хӏетахьь
639,danach::ADV,derefter,тӏаккха
640,vorher::ADV,før,хьалхa
641,vorher::ADV,forud,хьалхa
642,zuerst::ADV,først,хьалха
643,einmal::ADV,en gang,цкъа
644,manchmal::ADV,sommetider,цкъаццкъа
645,oft::ADV,ofte,кест-кеста
646,immer::ADV,altid,даим
647,niemals::ADV,aldrig,цкъа а
648,hier::ADV,her,кхузахь
649,hierhin::ADV,hid,кхуза
650,hierhin::ADV,herhen,кхуза
651,von hier::ADV,herfra,кхузара
652,dort::ADV,der,цигахь
653,dorthin::ADV,derhen,цига
654,geradeaus::ADV,lige ud,нийса дӏа
655,vorwärts::ADV,fremad,хьалха
656,rückwärts::ADV,baglæns,юха
657,zurück::ADV,tilbage,юха
658,unten::ADV,nede,лахахь
659,unten::ADV,forneden,лахахь
660,hinab::ADV,ned,охьа
661,hinab::ADV,nedad,охьа
662,oben::ADV,oppe,лакхахь
663,oben::ADV,ovenpå,лакхахь
664,hinauf::ADV,op,хьала
665,hinauf::ADV,opad,хьала
666,überall::ADV,overalt,массанхьа
667,nicht::ADV,ikke,ца
668,ein wenig::ADV,lidt,кӏеззиг
669,kaum::ADV,knap,халла
670,kaum::ADV,næppe,халла
671,sehr::ADV,meget,вуно
672,so::ADV,så,
673,noch::ADV,endnu,кхин
674,nur::ADV,kun,бен ...ца
675,nur::ADV,bare,бен ...ца
676,schon::ADV,alt,хӏинцале
677,schon::ADV,allerede,хӏинцале
678,wieder::ADV,igen,юха а
679,vergebens::ADV,forgæves,эрна
680,vor::PRP,foran,хьалха
681,vor::PRP,uden for,хьалха
682,hinter::PRP,bag,тӏехьа
683,hinter::PRP,bagved,тӏехьа
684,unter::PRP,under,кIелахь
685,durch::PRP,gennem,чекх
686,durch::PRP,igennem,чекх
687,neben::PRP,ved siden af,юххе
688,zwischen::PRP,mellem,юккъехь
689,wegen::PRP,på grund af,дуьхьа
690,dies::PRN,dette,и
691,dies::PRN,dette,иза
692,das::PRN,det,и
693,das::PRN,det,иза
694,alles::PRN,alt,дерриг
695,ich::PRN,jeg,cо
696,du::PRN,du,хьо
697,er::PRN,han,и
698,er::PRN,han,иза
699,wir::PRN,vi,тхо
700,wir::PRN,vi,вай
701,ihr::PRN,I,шу
702,sie::PRN,de,уьш
703,was::FPRN,hvad,хӏун
704,wer::FPRN,hvem,мила
705,wo::FADV,hvor,мичaхь
706,wohin::FADV,hvorhen,мича
707,wie::FADV,hvordan,муха
708,warum::FADV,hvorfor,хӏунда
709,wieviel::FNUM,hvor meget,мел
710,wieviel::FNUM,hvor meget,маса
711,eins::NUM,én,цхьаъ
712,zwei::NUM,to,шиъ
713,drei::NUM,tre,кхоъ
714,vier::NUM,fire,диъ
715,fünf::NUM,fem,пхиъ
716,sechs::NUM,seks,ялх
717,sieben::NUM,syv,ворхӏ
718,acht::NUM,otte,бархӏ
719,neun::NUM,ni,исс
720,zehn::NUM,ti,итт
721,elf::NUM,elleve,цхьайтта
722,zwölf::NUM,tolv,шийтта
723,zwanzig::NUM,tyve,ткъа
724,dreißig::NUM,tredive,ткъе итт
725,vierzig::NUM,fyrre,шовзткъа
726,vierzig::NUM,fyrretyve,шовзткъа
727,fünfzig::NUM,halvtreds,шовзткъе итт
728,sechzig::NUM,tres,кхузткъа
729,siebzig::NUM,halvfjerds,кхузткъе итт
730,achtzig::NUM,firs,дезткъа
731,neunzig::NUM,halvfems,дезткъе итт
732,hundert::NUM,hundrede,бӏе
733,tausend::NUM,tusind,эзар
734,und::CNJ,og,a
735,oder::CNJ,eller,я
736,stehen::V,stå,латта
737,sitzen::V,sidde,хиъна ӏан
738,liegen::V,ligge,ӏилла
739,hängen::V,hænge,кхаза
740,werden::V,blive,хила
741,passieren::V,ske,хила
742,passieren::V,hænde,хила
743,beginnen::V,begynde,доло
744,enden::V,ende,дӏадерза
745,wechseln::V,veksle,хийца
746,aufgehen[Sonne]::V,gå op,кхета
747,aufgehen[Sonne]::V,stå op,кхета
748,untergehen[Sonne]::V,gå ned,чубуза
749,scheinen[Sonne]::V,skinne,серло яла
750,donnern::V,tordne,къекъа
751,wehen::V,blæse,хьекха
752,strömen::V,strømme,эха
753,fließen::V,flyde,охьаэха
754,sich drehen::V,dreje sig,хьийза
755,schwanken::V,vakle,леста
756,schwingen::V,svinge,лесто
757,fallen::V,falde,охьакхета
758,brennen::V,brænde,дага
759,rauchen::V,ryge,оза
760,regnen::V,regne,догlа догlу
761,gefrieren::V,fryse,гӏоро
762,tauen::V,tø,даша
763,schmelzen::V,smelte,лала
764,trocknen::V,tørre,дакъо
765,sieden::V,koge,кхехка
766,faulen::V,rådne,дахкадала
767,verfaulen::V,rådne,дахкадала
768,reißen::V,briste,хеда
769,versinken::V,synke,хичудаха
770,versinken::V,synke ned,хичудаха
771,vergehen::V,forløbe,дlаэха
772,erscheinen::V,vise sig,схьадала
773,erscheinen::V,vise sig,ӏоттадала
774,verschwinden::V,forsvinde,къайладала
775,sinken::V,synke,лахдала
776,abnehmen::V,aftage,
777,zunehmen::V,tiltage,лакхадала
778,steigen::V,stige,хьаладала
779,wachsen::V,gro,кхиа
780,wachsen::V,vokse,кхиа
781,glänzen::V,glinse,лепа
782,funkeln::V,tindre,къега
783,lärmen::V,larme,гӏовгӏаян
784,läuten::V,ringe,детта
785,klingeln::V,ringe,дека
786,klirren::V,klirre,дека
787,brausen::V,bruse,хьаьдда даха
788,rauschen::V,suse,леста
789,klingen::V,lyde,дека
790,klingen::V,klinge,дека
791,bellen::V,gø,лета
792,heulen::V,hyle,угӏа
793,blasen::V,blæse,хӏуп баха
794,pfeifen::V,fløjte,шок етта
795,schreien::V,skrige,мохь бетта
796,stöhnen::V,stønne,узарш дан
797,zittern::V,dirre,дега
798,zittern::V,skælve,дега
799,leben::V,leve,даха
800,geboren werden::V,fødes,хила
801,atmen::V,ånde,садеӏа
802,trinken::V,drikke,мала
803,essen::V,spise,кхалла
804,schlucken::V,synke,къурдбан
805,müde werden::V,blive træt,кӏаддала
806,einschlafen::V,falde i søvn,наб кхета
807,schlafen::V,sove,вижа
808,schlafen::V,sove,наб ян
809,schlafen::V,sove,дижина хила
810,aufwachen::V,vågne,самадала
811,aufstehen::V,stå op,гӏатта
812,sich erholen::V,komme sig,садаӏа
813,krank werden::V,blive syg,цомгуш хила
814,krank sein::V,være syg,цомгуш хила
