,Concept_ID,no,el
176,Pferd::N,hest,άλογο
177,Schaf::N,får,πρόβατο
178,Schwein::N,gris,γουρούνι
179,Hund::N,hund,σκυλί
180,Hund::N,hund,σκύλος
181,Katze::N,katt,γάτα
182,Bär::N,bjørn,άρκτος
183,Bär::N,bjørn,αρκούδα
184,Eichhörnchen::N,ekorn,βερβερίτσα
185,Elch::N,elg,άλκη
186,Fuchs::N,rev,αλεπού
187,Hase::N,hare,λαγός
188,Maus::N,mus,ποντικός
189,Wolf::N,ulv,λύκος
190,Wolf::N,varg,λύκος
191,Vogel::N,fugl,πουλί
192,Schwarm::N,sverm,σμήνος
193,Huhn::N,høne,κότα
194,Huhn::N,høne,όρνιθα
195,Hahn::N,hane,πετεινός
196,Gans::N,gås,χήνα
197,Adler::N,ørn,αετός
198,Ente::N,and,πάπια
199,Eule::N,ugle,κουκουβάγια
200,Kranich::N,trane,γερανός
201,Krähe::N,kråke,καρακάξα
202,Kuckuck::N,gjøk,κούκος
203,Schwan::N,svane,κύκνος
204,Fisch::N,fisk,ψάρι
205,Barsch::N,abbor,πέρκα
206,Hecht::N,gjedde,λούτσος
207,Schlange[Tier]::N,orm,φίδι
208,Schlange[Tier]::N,slange,φίδι
209,Wurm::N,orm,σκουλήκι
210,Wurm::N,mark,σκουλήκι
211,Spinne::N,edderkopp,αράχνη
212,Ameise::N,maur,μυρμήγκι
213,Laus::N,lus,ψείρα
214,Mücke::N,mygg,κουνούπι
215,Fliege::N,flue,μύγα
216,Schmetterling::N,sommerfugl,πεταλούδα
217,Beere::N,bær,ρόγα
218,Apfel::N,eple,μήλο
219,Pilz::N,sopp,μανιτάρι
220,Zwiebel::N,løk,κρεμμύδι
221,Saat::N,sæd,σπόρος
222,Korn::N,korn,σπυρί
223,Heu::N,høy,σανός
224,Schale::N,skall,τσόφλι
225,Grube::N,grop,λάκκος
226,Falle::N,felle,παγίδα
227,Schlinge::N,snare,θηλειά
228,Spur::N,spor,ίχνος
229,Asche::N,aske,στάχτη
230,Dreck::N,møkk,βρωμιά
231,Dreck::N,skitt,βρωμιά
232,Eisen::N,jern,σίδερο
233,Gold::N,gull,μάλαμα
234,Gold::N,gull,χρυσάφι
235,Silber::N,sølv,ασήμι
236,Silber::N,sølv,άργυρος
237,Kohle::N,kol,κάρβουνο
238,Kohle::N,kull,κάρβουνο
239,Glas::N,glass,γυαλί
240,Lehm::N,leire,πηλός
241,Sand::N,sand,άμμος
242,Mensch::N,menneske,άνθρωπος
243,Mann::N,mann,άνδρας
244,Frau::N,kvinne,γυναίκα
245,Kind::N,barn,παιδί
246,Junge::N,gutt,αγόρι
247,Mädchen::N,pike,κοπέλα
248,Mädchen::N,pike,κορίτσι
249,Mädchen::N,jente,κοπέλα
250,Mädchen::N,jente,κορίτσι
251,Familie::N,familie,οικογένεια
252,Großvater::N,bestefar,παππούς
253,Großmutter::N,bestemor,γιαγιά
254,Eltern::N,foreldre,γονείς
255,Vater::N,far,πατέρας
256,Mutter::N,mor,μητέρα
257,Sohn::N,sønn,γιος
258,Tochter::N,datter,κόρη
259,Bruder::N,bror,αδελφός
260,Schwester::N,søster,αδελφή
261,Onkel::N,onkel,θείος
262,Tante::N,tante,θεία
263,Ehemann::N,ektemann,σύζυγος
264,Ehefrau::N,hustru,σύζυγος
265,Freude::N,glede,χαρά
266,Gelächter::N,latter,γέλια
267,Glück::N,lykke,ευτυχία
268,Kummer::N,sorg,έγνοια
269,Wunsch::N,ønske,επιθυμία
270,Lust::N,lyst,όρεξη
271,Geist::N,ånd,πνέυμα
272,Gedanke::N,tanke,σκέψη
273,Gedächtnis::N,minne,μνήμη
274,Gedächtnis::N,hukommelse,μνήμη
275,Verstand::N,forstand,νους
276,Sinn::N,mening,νόημα
277,Sinn::N,betydning,νόημα
278,Grund::N,grunn,λόγος
279,Wahrheit::N,sannhet,αλήθεια
280,Gespräch::N,samtale,συνομιλία
281,Märchen::N,eventyr,παραμύθι
282,Erzählung::N,fortelling,διήγημα
283,Nachricht::N,melding,είδηση
284,Neuigkeit::N,nyhet,νέο
285,Name::N,navn,όνομα
286,Rätsel::N,gåte,αίνιγμα
287,Rede::N,tale,λόγος
288,Rede::N,tale,ομιλία
289,Sprache::N,språk,γλώσσα
290,Stimme::N,stemme,φωνή
291,Wort::N,ord,λέξη
292,Zeichen::N,tegn,σημείο
293,Ruf::N,rop,κραυγή
294,Lärm::N,bråk,θόρυβος
295,Laut::N,lyd,ήχος
296,Ton::N,tone,ήχος
297,Ton::N,tone,τόνος
298,Lied::N,vise,τραγούδι
299,Ruhe::N,ro,ησυχία
300,Leute::N,folk,κόσμος
301,Leute::N,folk,άνθρωποι
302,Volk::N,folk,λαός
303,Arbeit::N,arbeid,εργασία
304,Gast::N,gjest,επισκέπτης
305,Geschenk::N,gave,δώρο
306,Spiel::N,lek,παιχνίδι
307,Spiel::N,spill,παιχνίδι
308,Gesellschaft::N,selskap,κοινωνία
309,Hilfe::N,hjelp,βοήθεια
310,Freund::N,venn,φίλος
311,Kamerad::N,kamerat,σύντροφος
312,Angelegenheit::N,sak,υπόθεση
313,Angelegenheit::N,anliggende,υπόθεση
314,Anzahl::N,antall,αριθμός
315,Art::N,art,είδος
316,Art::N,slag,είδος
317,Stück::N,stykke,κομμάτι
318,Teil::N,del,μέρος
319,Hälfte::N,halvdel,μισό
320,Kreis::N,ring,κύκλος
321,Kreis::N,sirkel,κύκλος
322,Kreuz::N,kors,σταυρός
323,Kreuz::N,kryss,σταυρός
324,Linie::N,linje,γραμμή
325,Strich::N,strek,γραμμή
326,Abstand::N,avstand,απόσταση
327,Entfernung::N,avstand,απόσταση
328,Gegend::N,strøk,περιοχή
329,Gegend::N,strøk,τοποθεσία
330,Platz::N,plass,χώρος
331,Ort::N,sted,τόπος
332,Seite::N,side,πλευρά
333,Mitte::N,midte,μέση
334,Gegenstand::N,gjenstand,αντικείμενο
335,Sache::N,sak,πράγμα
336,Rand::N,rand,άκρη
337,Rand::N,rand,χείλος
338,Kante::N,kant,άκρη
339,Ecke::N,hjørne,γωνιά
340,Spitze::N,spiss,μύτη
341,Ende::N,ende,άκρη
342,Loch::N,hull,τρύπα
343,Winkel::N,vinkel,γωνία
344,Muster::N,mønster,σχέδιο
345,Größe::N,størrelse,μέγεθος
346,Länge::N,lengde,μήκος
347,Höhe::N,høyde,ύψος
348,Gewicht::N,vekt,βάρος
349,Menge::N,mengde,ποσότητα
350,Haufen::N,haug,σωρός
351,Haufen::N,bunke,σωρός
352,Reihe::N,rekke,αράδα
353,Boot::N,båt,βάρκα
354,Ruder::N,åre,κουπί
355,Schlitten::N,slede,έλκηθρο
356,Schlitten::N,kjelke,έλκηθρο
357,Ski::N,ski,σκι
358,Lagerfeuer::N,leirbål,φωτιά
359,Last::N,bør,φορτίο
360,Last::N,last,φορτίο
361,Gang::N,gang,δρόμος
362,Schritt::N,steg,βήμα
363,Schritt::N,skritt,βήμα
364,Norden::N,nord,βορράς
365,Süden::N,sør,νότος
366,Westen::N,vest,δύση
367,Osten::N,øst,ανατολή
368,Holz::N,tre,ξύλο
369,Brett::N,fjøl,σανίδι
370,Brett::N,brett,σανίδι
371,Platte::N,plate,πλάκα
372,Stütze::N,støtte,στήριγμα
373,Stange::N,stang,ραβδί
374,Stange::N,stang,κοντός
375,Stock::N,pinne,ξύλο
376,Stock::N,pinne,μπαστούνι
377,Stab::N,stav,ραβδί
378,Stab::N,kjepp,ραβδί
379,Rohr::N,rør,σωλήνας
380,Haus::N,hus,σπίτι
381,Heim::N,hjem,σπίτι
382,Ofen::N,ovn,σόμπα
383,Ofen::N,ovn,θερμάστρα
384,Fußboden::N,gulv,πάτωμα
385,Tisch::N,bord,τραπέζι
386,Stuhl::N,stol,καρέκλα
387,Wiege::N,vogge,κούνια
388,Bett::N,seng,κρεβάτι
389,Regal::N,reol,ράφι
390,Regal::N,hylle,ράφι
391,Kiste::N,kasse,κιβώτιο
392,Fenster::N,vindu,παράθυρο
393,Tür::N,dør,πόρτα
394,Tor::N,port,πύλη
395,Zaun::N,gjerde,φράχτης
396,Dach::N,tak,στέγη
397,Leiter::N,stige,σκάλα
398,Leiter::N,stige,κλίμακα
399,Besen::N,kost,σκούπα
400,Spaten::N,spade,φτυάρι
401,Schaufel::N,skuffe,φτυάρι
402,Gabel::N,gaffel,πιρούνι
403,Löffel::N,skje,κουτάλι
404,Messer::N,kniv,μαχαίρι
405,Nagel::N,spiker,καρφί
406,Netz::N,nett,δίχτυ
407,Haken::N,krok,γάντζος
408,Haken::N,krok,αγκίστρι
409,Griff::N,tak,λαβή
410,Griff::N,håndtak,λαβή
411,Schloss::N,lås,κλειδαριά
412,Bild::N,bilde,εικόνα
413,Figur::N,figur,ανάστημα
414,Puppe::N,dukke,κούκλα
415,Beutel::N,pose,πουγγί
416,Bündel::N,bylt,δεμάτι
417,Tasche::N,veske,τσάντα
418,Eimer::N,bøtte,κουβάς
419,Deckel::N,lokk,καπάκι
420,Geschirr::N,kjøkkentøy,σκεύη
421,Sack::N,sekk,σάκος
422,Tasse::N,kopp,φλιτζάνι
423,Topf::N,gryte,χύτρα
424,Kessel::N,kjele,καζάνι
425,Essen::N,mål,φαγητό
426,Nahrung::N,mat,τροφή
427,Nahrung::N,næring,τροφή
428,Speise::N,matrett,φαγητό
429,Fleisch::N,kjøtt,κρέας
430,Getreide::N,korn,σιτάρι
431,Brei::N,grøt,χυλός
432,Brot::N,brød,ψωμί
433,Brot::N,brød,άρτος
434,Scheibe::N,skive,φέτα
435,Fett::N,fett,πάχος
436,Butter::N,smør,βούτυρο
437,Öl::N,olje,λάδι
438,Salz::N,salt,αλάτι
439,Suppe::N,suppe,σούπα
440,Honig::N,honning,μέλι
441,Milch::N,melk,γάλα
442,Tee::N,te,τσάι
443,Leder::N,lær,πετσί
444,Leder::N,skinn,πετσί
445,Wolle::N,ull,μαλλί
446,Stoff::N,tøy,ύφασμα
447,Stoff::N,stoff,ύφασμα
448,Nadel::N,nål,βελόνα
449,Faden::N,tråd,κλωστή
450,Knopf::N,knapp,κουμπί
451,Knoten::N,knute,κόμπος
452,Farbe::N,farge,μπογιά
453,Kleidung::N,påkledning,ρούχα
454,Kleidung::N,påkledning,ενδυμασία
455,Hemd::N,skjorte,πουκάμισο
456,Kragen::N,krage,κολάρο
457,Ärmel::N,erme,μανίκι
458,Hose::N,bukse,πανταλόνι
459,Gürtel::N,belte,ζώνη
460,Mütze::N,lue,σκούφος
461,Schuh::N,sko,παπούτσι
462,Stiefel::N,støvel,μπότα
463,Ring::N,ring,δαχτυλίδι
464,Band::N,band,κορδέλα
465,Kamm::N,kam,χτένα
466,Spiegel::N,speil,καθρέφτης
467,Riemen::N,rem,λουρί
468,Schnur::N,snor,κορδόνι
469,Leine::N,line,σχοινί
470,Decke::N,teppe,κουβέρτα
471,Kissen::N,pute,μαξιλάρι
472,Tuch::N,tøy,πανί
473,Tuch::N,tøy,μαντήλι
474,Handtuch::N,håndkle,πετσέτα
475,Kraft::N,kraft,δύναμη
476,Stärke::N,styrke,ισχύς
477,Stärke::N,styrke,δύναμη
478,Gesundheit::N,helse,υγεία
479,Gesundheit::N,sunnhet,υγεία
480,Krankheit::N,syke,αρρώστια
481,Krankheit::N,sykdom,αρρώστια
482,Schmerz::N,smerte,πόνος
483,Wunde::N,sår,πληγή
484,Fieber::N,feber,πυρετός
485,Arznei::N,medisin,φάρμακο
486,Arznei::N,legemiddel,φάρμακο
487,Brücke::N,bro,γέφυρα
488,Brunnen::N,brønn,πηγάδι
489,Weide::N,beite,βοσκή
490,Pfad::N,sti,μονοπάτι
491,Weg::N,vei,δρόμος
492,Straße::N,gate,οδός
493,Straße::N,gate,δρόμος
494,Dorf::N,landsby,χωριό
495,Stadt::N,by,πόλη
496,Brief::N,brev,γράμμα
497,Brief::N,brev,επιστολή
498,Buch::N,bok,βιβλίο
499,Buchstabe::N,bokstav,γράμμα
500,Zeitung::N,avis,εφημερίδα
501,Leben::N,liv,ζωή
502,Leben::N,liv,βίος
503,Tod::N,død,θάνατος
504,Grab::N,grav,τάφος
505,Kirche::N,kirke,εκκλησία
506,Sünde::N,synd,αμαρτία
507,Gott::N,gud,θεός
508,Arbeiter::N,arbeider,εργάτης
509,Chef::N,sjef,προϊστάμενος
510,Meister::N,mester,μάστορας
511,Meister::N,mester,αρχιτεχνίτης
512,Arzt::N,lege,γιατρός
513,Lehrer::N,lærer,δάσκαλος
514,Geld::N,penger,λεφτά
515,Geld::N,penger,χρήματα
516,Geschäft::N,forretning,συναλλαγή
517,Laden::N,butikk,μαγαζί
518,Laden::N,butikk,κατάστημα
519,Preis::N,pris,τιμή
520,Ware::N,vare,εμπόρευμα
521,Nutzen::N,nytte,όφελος
522,Reichtum::N,rikdom,πλούτος
523,Welt::N,verden,κόσμος
524,Land::N,land,χώρα
525,Staat::N,stat,κράτος
526,Staat::N,stat,πολιτεία
527,König::N,konge,βασιλιάς
528,Macht::N,makt,εξουσία
529,Grenze::N,grense,σύνορα
530,Krieg::N,krig,πόλεμος
531,Feind::N,fiende,εχθρός
532,Gewalt::N,vold,βία
533,Kampf::N,kamp,αγώνας
534,Bogen[Waffe]::N,bue,τόξο
535,Pfeil::N,pil,σαΐτα
536,Gewehr::N,gevær,τουφέκι
537,Fehler::N,feil,λάθος
538,Fehler::N,feil,σφάλμα
539,Lüge::N,løgn,ψέμα
540,Lüge::N,løgn,ψεύδος
541,Schaden::N,skade,ζημία
542,Unglück::N,uhell,δυστυχία
543,Schuld::N,skyld,ενοχή
544,Schuld::N,skyld,φταίξιμο
545,Alter::N,alder,ηλικία
546,Schluss::N,slutt,τέλος
547,Zeit::N,tid,χρόνος
548,Tag::N,dag,μέρα
549,Tag::N,dag,ημέρα
550,Morgen::N,morgen,πρωί
551,Mittag::N,middag,μεσημέρι
552,Abend::N,aften,βράδυ
553,Nacht::N,natt,νύχτα
554,Woche::N,uke,εβδομάδα
555,Monat::N,måned,μήνας
556,Jahr::N,år,έτος
557,Jahr::N,år,χρόνος
558,Frühling::N,vår,άνοιξη
559,Sommer::N,sommer,καλοκαίρι
560,Herbst::N,høst,φθινόπωρο
561,Winter::N,vinter,χειμώνας
562,Januar::N,januar,Ιανουάριος
563,Februar::N,februar,Φεβρουάριος
564,März::N,mars,Μάρτιος
565,April::N,april,Απρίλιος
566,Mai::N,mai,Μάιος
567,Juni::N,juni,Ιούνιος
568,Juli::N,juli,Ιούλιος
569,August::N,august,Αύγουστος
570,September::N,september,Σεπτέμβριος
571,Oktober::N,oktober,Οκτώβριος
572,November::N,november,Νοέμβριος
573,Dezember::N,desember,Δεκέμβριος
574,Montag::N,mandag,Δευτέρα
575,Dienstag::N,tirsdag,Τρίτη
576,Mittwoch::N,onsdag,Τετάρτη
577,Donnerstag::N,torsdag,Πέμπτη
578,Freitag::N,fredag,Παρασκευή
579,Samstag::N,lørdag,Σάββατο
580,Sonntag::N,søndag,Κυριακή
581,groß::A,stor,μεγάλος
582,klein::A,liten,μικρός
583,lang::A,lang,μακρύς
584,kurz::A,kort,κοντός
585,breit::A,bred,φαρδύς
586,schmal::A,smal,στενός
587,dicht::A,tett,πυκνός
588,dick[Gegenstand]::A,tykk,παχύς
589,dick[Gegenstand]::A,tykk,χοντρός
590,dünn::A,tynn,ψιλός
591,dünn::A,tynn,λεπτός
592,fein::A,fin,ψιλός
593,fest::A,fast,στερεός
594,flach::A,flat,επίπεδος
595,glatt::A,glatt,λείος
596,glatt::A,glatt,ομαλός
597,hart::A,hard,σκληρός
598,weich::A,myk,μαλακός
599,weich::A,bløt,μαλακός
600,rund::A,rund,στρογγυλός
601,spitz::A,spiss,μυτερός
602,scharf::A,kvass,κοφτερός
603,stumpf::A,stubb,αμβλύς
604,schwer::A,tung,βαρύς
605,schön::A,pen,ωραίος
606,schön::A,pen,όμορφος
607,schön::A,vakker,ωραίος
608,schön::A,vakker,όμορφος
609,heiß::A,het,ζεστός
610,warm::A,varm,θερμός
611,kalt::A,kald,κρύος
612,kalt::A,kald,ψυχρός
613,kühl::A,kjølig,δροσερός
614,frisch::A,fersk,νωπός
615,frisch::A,fersk,φρέσκος
616,feucht::A,fuktig,υγρός
617,nass::A,våt,βρεγμένος
618,trocken::A,tørr,ξηρός
619,trocken::A,tørr,στεγνός
620,voll::A,full,γεμάτος
621,leer::A,tom,άδειος
622,offen::A,åpen,ανοιχτός
623,geschlossen::A,lukket,κλειστός
624,sauber::A,ren,καθαρός
625,schmutzig::A,skitten,βρώμικος
626,schmutzig::A,skitten,λερωμένος
627,roh::A,rå,ωμός
628,reif::A,moden,ώριμος
629,lecker::A,lekker,νόστιμος
630,süß::A,søt,γλυκός
631,bitter::A,besk,πικρός
632,bitter::A,bitter,πικρός
633,sauer::A,sur,ξινός
634,hell::A,lys,φωτεινός
635,dunkel::A,mørk,σκοτεινός
636,schwarz::A,svart,μαύρος
637,schwarz::A,svart,μελανός
638,weiß::A,hvit,άσπρος
639,rot::A,rød,κόκκινος
640,gelb::A,gul,κίτρινος
641,blau::A,blå,μπλε
642,blau::A,blå,γαλανός
643,grün::A,grønn,πράσινος
644,grau::A,grå,γκρίζος
645,bunt::A,broket,ποικιλόχρωπος
646,billig::A,billig,φτηνός
647,teuer::A,dyr,ακριβός
648,wertvoll::A,verdifull,πολύτιμος
649,blind::A,blind,τυφλός
650,taub::A,døv,κουφός
651,kräftig::A,kraftig,δυνατός
652,stark::A,sterk,γερός
653,schwach::A,svak,αδύνατος
654,fett::A,fet,παχύς
655,schlank::A,slank,λεπτός
656,schlank::A,slank,λυγερός
657,hübsch::A,pen,όμορφος
658,hübsch::A,pen,χαριτωμένος
659,böse::A,slem,κακός
660,dumm::A,dum,κουτός
661,dumm::A,dum,ανόητος
662,faul::A,lat,τεμπέλης
663,faul::A,doven,τεμπέλης
664,fleißig::A,flittig,εργατικός
665,geizig::A,gjerrig,τσιγγούνης
666,klug::A,klok,έξυπνος
667,geschickt::A,hendig,επιδέξιος
668,geschickt::A,skikket,επιδέξιος
669,lieb::A,kjær,φίλος
670,lieb::A,kjær,αγαπητός
671,lieb::A,snill,φίλος
672,lieb::A,snill,αγαπητός
673,lustig::A,morsom,εύθυμος
674,lustig::A,morsom,χαρούμενος
675,sanft::A,blid,ήπιος
676,hungrig::A,sulten,πεινασμένος
677,krank::A,syk,άρρωστος
678,nackt::A,naken,γυμνός
679,traurig::A,sørgmodig,λυπημένος
680,lebendig::A,levende,ζωντανός
681,gut::A,god,καλός
682,schlecht::A,dårlig,κακός
683,richtig::A,riktig,σωστός
684,schlimm::A,slem,άσχημος
685,wahr::A,sann,αληθής
686,wahr::A,sann,αληθινός
687,alt::A,gammel,παλιός
688,neu::A,ny,νέος
689,neu::A,ny,καινούργιος
690,ehemalig::A,forhenværende,παλιός
691,alt[Lebewesen]::A,gammel,γέρος
692,jung::A,ung,νέος
693,arm::A,fattig,φτωχός
694,reich::A,rik,πλούσιος
695,bekannt::A,kjent,γνωστός
696,berühmt::A,berømt,περίφημος
697,berühmt::A,berømt,ξακουσμένος
698,fremd::A,fremmed,ξένος
699,verschieden::A,forskjellig,διαφορετικός
700,nah::A,nær,κοντινός
701,fern::A,fjern,μακριά
702,linker::A,venstre,αριστερός
703,rechter::A,høyre,δεξιός
704,anderer::A,annen,άλλος
705,erster::A,første,πρώτος
706,zweiter::A,annen,δεύτερος
707,dritter::A,tredje,τρίτος
708,letzter::A,sist,τελευταίος
709,allein::ADV,alene,μόνος
710,auf einmal::ADV,med ett,εφάπαξ
711,zusammen::ADV,sammen,μαζί
712,lange::ADV,lenge,πολύν καιρό
713,plötzlich::ADV,plutselig,έξαφνα
714,sofort::ADV,straks,αμέσως
715,später::ADV,senere,αργότερα
716,jetzt::ADV,nå,τώρα
717,heute::ADV,i dag,σήμερα
718,morgen::ADV,i morgen,αύριο
719,bald::ADV,snart,σε λίγο
720,bald::ADV,snart,εντός ολίγου
721,dann::ADV,så,ύστερα
722,gestern::ADV,i går,χτες
723,einst::ADV,engang,ποτέ
724,einst::ADV,engang,άλλοτε
725,damals::ADV,den gang,τότε
726,danach::ADV,deretter,μετά
727,danach::ADV,deretter,ύστερα
728,vorher::ADV,før,πριν
729,vorher::ADV,før,προηγουμένως
730,vorher::ADV,i forveien,πριν
731,vorher::ADV,i forveien,προηγουμένως
732,zuerst::ADV,først,πρώτα
733,einmal::ADV,en gang,μία φορά
734,manchmal::ADV,somme tider,κάποτε
735,oft::ADV,ofte,συχνά
736,oft::ADV,ofte,πολλές φορές
737,immer::ADV,alltid,πάντα
738,immer::ADV,alltid,πάντοτε
739,niemals::ADV,aldri,ποτέ
740,hier::ADV,her,εδώ
741,hierhin::ADV,hit,εδώ
742,von hier::ADV,herfra,από δω
743,dort::ADV,der,εκεί
744,dorthin::ADV,dit,προς τα κει
745,geradeaus::ADV,rett fram,κατευθείαν
746,vorwärts::ADV,fram,εμπρός
747,vorwärts::ADV,framover,εμπρός
748,rückwärts::ADV,baklengs,πίσω
749,zurück::ADV,tilbake,πίσω
750,unten::ADV,nede,κάτω
751,hinab::ADV,ned,προς τα κάτω
752,hinab::ADV,nedover,προς τα κάτω
753,oben::ADV,oppe,πάνω
754,oben::ADV,oppe,επάνω
755,oben::ADV,ovenpå,πάνω
756,oben::ADV,ovenpå,επάνω
