,Concept_ID,no,pt
997,laufen::V,løpe,caminhar
998,schreiten::V,skride,andar
999,schreiten::V,skride,caminhar
1000,spazierengehen::V,spasere,passear
1001,spazierengehen::V,gå en tur,passear
1002,eilen::V,ile,apressar-se
1003,sich beeilen::V,skynde seg,apressar-se
1004,sich beeilen::V,skynde seg,despachar-se
1005,sausen::V,suse,correr
1006,rennen::V,løpe,correr
1007,springen::V,hoppe,saltar
1008,springen::V,springe,saltar
1009,klettern::V,klatre,trepar
1010,schaukeln::V,huske,baloiçar
1011,kriechen::V,krype,rastejar
1012,kriechen::V,krype,arrastar-se
1013,schwimmen::V,svømme,nadar
1014,tauchen::V,dykke,mergulhar
1015,rudern::V,ro,remar
1016,fahren::V,kjøre,ir
1017,fliegen::V,fly,voar
1018,gehen::V,gå,ir
1019,gehen::V,gå,andar
1020,weggehen::V,gå bort,partir
1021,weggehen::V,gå bort,ir-se embora
1022,abfahren::V,reise,sair
1023,abfahren::V,reise,partir
1024,anhalten::V,stanse,parar
1025,hineingehen::V,gå inn,entrar
1026,eintreten::V,tre inn,entrar
1027,kommen::V,komme,vir
1028,ankommen::V,ankomme,chegar
1029,ankommen::V,komme til,chegar
1030,zurückkommen::V,komme tilbake,voltar
1031,zurückkommen::V,komme tilbake,regressar
1032,bleiben::V,bli,ficar
1033,bleiben::V,bli,permanecer
1034,bleiben::V,forbli,ficar
1035,bleiben::V,forbli,permanecer
1036,warten::V,vente,esperar
1037,erwarten::V,vente,esperar
1038,erwarten::V,vente,aguardar
1039,suchen::V,søke,buscar
1040,suchen::V,søke,procurar
1041,finden::V,finne,achar
1042,finden::V,finne,encontrar
1043,versuchen::V,prøve,tentar
1044,versuchen::V,forsøke,tentar
1045,vorbereiten::V,forberede,preparar
1046,lieben::V,elske,amar
1047,lieben::V,elske,querer
1048,mögen::V,like,gostar de
1049,lachen::V,le,rir
1050,lachen::V,le,rir-se
1051,rühren::V,røre,comover
1052,weinen::V,gråte,chorar
1053,schimpfen::V,skjelle,ralhar
1054,sich ärgern::V,ergre seg,zangar-se
1055,sich fürchten::V,være redd,ter medo de
1056,sich fürchten::V,være redd,ter receio de
1057,fürchten::V,være redd for,temer
1058,fürchten::V,være redd for,recear
1059,fliehen::V,rømme,fugir
1060,fliehen::V,flykte,fugir
1061,flüchten::V,flykte,refugiar-se
1062,sehen::V,se,ver
1063,anschauen::V,se på,olhar
1064,anschauen::V,betrakte,olhar
1065,ansehen::V,anse,mirar
1066,hören::V,høre,ouvir
1067,zuhören::V,tilhøre,escutar
1068,probieren::V,smake,provar
1069,probieren::V,smake,saborear
1070,probieren::V,smake på,provar
1071,probieren::V,smake på,saborear
1072,riechen::V,lukte,cheirar
1073,fühlen::V,føle,sentir
1074,scheinen::V,se ut,parecer
1075,zu sehen sein::V,synes,estar à vista
1076,vernehmen::V,få vite,ouvir
1077,frieren::V,fryse,ter frio
1078,tun::V,gjøre,fazer
1079,können::V,kunne,saber
1080,wollen::V,ville,querer
1081,anfangen::V,begynne,iniciar
1082,beenden::V,avslutte,acabar
1083,beenden::V,avslutte,terminar
1084,aufhören::V,slutte,cessar
1085,aufhören::V,slutte,desistir
1086,aufhören::V,holde opp,cessar
1087,aufhören::V,holde opp,desistir
1088,gelingen::V,lykkes,sair bem
1089,gelingen::V,lykkes,dar bom resultado
1090,geraten::V,bli,sair
1091,geraten::V,bli,dar resultado
1092,öffnen::V,åpne,abrir
1093,schließen::V,lukke,fechar
1094,schließen::V,stenge,fechar
1095,stellen::V,stille,pôr
1096,stellen::V,stille,colocar
1097,setzen::V,sette,pôr
1098,setzen::V,sette,meter
1099,legen::V,legge,pôr
1100,legen::V,legge,meter
1101,berühren::V,berøre,tocar
1102,verbinden::V,forbinde,unir
1103,verbinden::V,forbinde,ligar
1104,bedecken::V,dekke,cobrir
1105,aufhängen::V,henge,pendurar
1106,aufhängen::V,henge opp,pendurar
1107,anzünden::V,tenne,acender
1108,anzünden::V,antenne,acender
1109,anzünden::V,tenne på,acender
1110,aufheben::V,løfte,apanhar
1111,aufheben::V,løfte,levantar
1112,aufheben::V,ta opp,apanhar
1113,aufheben::V,ta opp,levantar
1114,zurücklassen::V,slippe tilbake,deixar
1115,verlieren::V,miste,perder
1116,fallen lassen::V,droppe,deixar cair
1117,fallen lassen::V,la falle,deixar cair
1118,machen::V,lage,fazer
1119,machen::V,gjøre,fazer
1120,herstellen::V,fremstille,produzir
1121,bauen::V,bygge,edificar
1122,bauen::V,bygge,construir
1123,reparieren::V,reparere,reparar
1124,reparieren::V,reparere,consertar
1125,verbessern::V,rette,melhorar
1126,verbessern::V,forbedre,melhorar
1127,ändern::V,forandre,mudar
1128,ändern::V,forandre,alterar
1129,graben::V,grave,cavar
1130,beugen::V,bøye,curvar
1131,biegen::V,bøye,vergar
1132,drehen::V,dreie,girar
1133,wenden::V,vende,virar
1134,wenden::V,vende,voltar
1135,umdrehen::V,snu,virar
1136,umdrehen::V,snu,revolver
1137,heben::V,heve,levantar
1138,hochheben::V,løfte,erguer
1139,hochheben::V,løfte,levantar
1140,ergreifen::V,gripe,apanhar
1141,ergreifen::V,få tak i,apanhar
1142,halten::V,holde,segurar
1143,drücken::V,trykke,apertar
1144,schieben::V,skyve,empurrar
1145,kratzen::V,klø,raspar
1146,kratzen::V,klore,raspar
1147,lecken::V,slikke,lamber
1148,beißen::V,bite,morder
1149,abreißen::V,rive av,arrancar
1150,abschneiden::V,skjære av,talhar
1151,binden::V,binde,ligar
1152,stecken::V,stikke,meter
1153,stecken::V,stikke,enfiar
1154,brechen::V,bryte,romper
1155,brechen::V,bryte,quebrar
1156,brechen::V,briste,romper
1157,brechen::V,briste,quebrar
1158,klopfen::V,banke,bater
1159,hauen::V,hogge,bater
1160,kleben::V,klistre,colar
1161,reiben::V,gni,esfregar
1162,streichen::V,stryke,barrar
