,Concept_ID,ga,ce
269,Kummer::N,buairt,бала
270,Wunsch::N,guí,лаам
271,Wunsch::N,achainí,лаам
272,Lust::N,fonn,лаам
273,Geist::N,meon,са
274,Geist::N,spiorad,са
275,Gedanke::N,smaoineamh,ойла
276,Gedächtnis::N,cuimhne,диццадалар
277,Verstand::N,ciall,хьекъал
278,Verstand::N,intinn,хьекъал
279,Sinn::N,brí,маьӏна
280,Sinn::N,ciall,маьӏна
281,Grund::N,fáth,бахьана
282,Wahrheit::N,fírinne,бакъдерг
283,Gespräch::N,comhrá,къамел
284,Märchen::N,scéal,туьйра
285,Erzählung::N,scéal,дийцар
286,Nachricht::N,teachtaireacht,хаам
287,Neuigkeit::N,scéala,керланиг
288,Name::N,ainm,цӏе
289,Rätsel::N,tomhas,хӏетал-метал
290,Rede::N,óráid,къамел
291,Rede::N,aitheasc,къамел
292,Sprache::N,teanga,мотт
293,Stimme::N,guth,aз
294,Wort::N,focal,дош
295,Zeichen::N,comhartha,билгало
296,Ruf::N,glaoch,кхайкхар
297,Lärm::N,torann,гӏовгӏа
298,Laut::N,fuaim,аз
299,Ton::N,ton,aз
300,Lied::N,amhrán,илли
301,Ruhe::N,suaimhneas,тийналла
302,Leute::N,muintir,нах
303,Volk::N,pobal,халкъ
304,Arbeit::N,obair,болх
305,Gast::N,aoi,хьаша
306,Geschenk::N,féirín,совгӏат
307,Geschenk::N,bronntanas,совгӏат
308,Spiel::N,cluiche,ловзар
309,Gesellschaft::N,comhluadar,юкъаралла
310,Hilfe::N,cúnamh,гӏо
311,Hilfe::N,cabhair,гӏо
312,Freund::N,cara,доттагl
313,Kamerad::N,comrádaí,накъост
314,Angelegenheit::N,ábhar,гӏуллакх
315,Anzahl::N,líon,терахь
316,Art::N,sórt,
317,Art::N,saghas,
318,Stück::N,píosa,юьхк
319,Teil::N,cuid,дакъа
320,Teil::N,páirt,дакъа
321,Hälfte::N,leath,ах
322,Kreis::N,ciorcal,го
323,Kreuz::N,cros,жӏара
324,Linie::N,líne,сиз
325,Strich::N,stríoc,сиз
326,Abstand::N,achar,юкъ
327,Entfernung::N,fad,
328,Gegend::N,ceantar,мeттиг
329,Platz::N,áit,майда
330,Platz::N,spás,майда
331,Ort::N,áit,меттиг
332,Seite::N,taobh,aгӏo
333,Mitte::N,lár,юкъ
334,Gegenstand::N,ball,хӏума
335,Gegenstand::N,ábhar,хӏума
336,Sache::N,ní,хӏума
337,Sache::N,rud,хӏума
338,Rand::N,imeall,йист
339,Rand::N,ciumhais,йист
340,Kante::N,corr,йист
341,Kante::N,colbha,йист
342,Ecke::N,coirnéal,са
343,Spitze::N,gob,ралла
344,Spitze::N,barr,ралла
345,Ende::N,ceann,юьхьиг
346,Ende::N,foirceann,юьхьиг
347,Loch::N,poll,ӏуьрг
348,Winkel::N,cúinne,са
349,Winkel::N,uillinn,са
350,Muster::N,patrún,дагар
351,Muster::N,patrún,тӏамар
352,Größe::N,méid,барам
353,Größe::N,toise,барам
354,Länge::N,fad,йохалла
355,Höhe::N,airde,локхалла
356,Gewicht::N,meáchan,йозалла
357,Menge::N,méid,дукхалла
358,Haufen::N,cnap,сал
359,Haufen::N,cnap,оьла
360,Reihe::N,líne,рагӏ
361,Reihe::N,líne,могӏа
362,Reihe::N,sraith,рагӏ
363,Reihe::N,sraith,могӏа
364,Boot::N,bád,кема
365,Ruder::N,rámh,пийсиг
366,Ruder::N,maide rámha,пийсиг
367,Schlitten::N,carr sleamhnáin,салаз
368,Ski::N,scí,когсалаз
369,Lagerfeuer::N,tine champa,цӏе
370,Last::N,ualach,дукъ
371,Gang::N,siúlóid,лелар
372,Schritt::N,céim,гӏулч
373,Schritt::N,coiscéim,гӏулч
374,Norden::N,tuaisceart,къилбаседе
375,Süden::N,deisceart,къилбе
376,Westen::N,iarthar,малхбузе
377,Osten::N,oirthear,малхбале
378,Holz::N,adhmad,дечиг
379,Brett::N,clár,у
380,Platte::N,leac,у
381,Stütze::N,taca,гӏopтоp
382,Stange::N,polla,гӏуркх
383,Stange::N,cuaille,гӏуркх
384,Stock::N,bata,ӏаса
385,Stock::N,maide,ӏаса
386,Stab::N,maide,гӏаж
387,Stab::N,bachall,гӏаж
388,Rohr::N,píopa,биргӏа
389,Haus::N,teach,цӏа
390,Heim::N,baile,кхерч
391,Ofen::N,sornóg,кхерч
392,Fußboden::N,urlár,цӏенкъа
393,Tisch::N,bord,шун
394,Tisch::N,tábla,шун
395,Stuhl::N,cathaoir,гӏант
396,Wiege::N,cliabhán,ага
397,Bett::N,leaba,маьнга
398,Regal::N,seilf,терхи
399,Kiste::N,bosca,яьшка
400,Fenster::N,fuinneoig,кор
401,Tür::N,doras,неӏ
402,Tor::N,geata,ков
403,Zaun::N,fál,керт
404,Zaun::N,claí,керт
405,Dach::N,díon,тхов
406,Leiter::N,dréimire,лами
407,Besen::N,scuab,нуй
408,Spaten::N,spád,бел
409,Spaten::N,rámhainn,бел
410,Schaufel::N,sluasaid,аьшкал
411,Gabel::N,forc,мӏара
412,Gabel::N,gabhlóg,мӏара
413,Löffel::N,spúnóg,ӏайг
414,Messer::N,scian,урс
415,Nagel::N,tairne,хьостам
416,Netz::N,líon,бой
417,Netz::N,eangach,бой
418,Haken::N,croch,мӏара
419,Griff::N,cos,
420,Griff::N,hanla,
421,Schloss::N,glas,чӏега
422,Bild::N,pictiúr,сурт
423,Figur::N,fíor,
424,Puppe::N,bábóg,тайниг
425,Beutel::N,mála,гали
426,Beutel::N,mealbhóg,гали
427,Bündel::N,beart,кочар
428,Tasche::N,mála,тӏоьрмиг
429,Eimer::N,buicéad,чийлик
430,Deckel::N,clár,негӏар
431,Deckel::N,claibín,негӏар
432,Geschirr::N,soithí,пхьегӏа
433,Geschirr::N,gréithe,пхьегӏа
434,Sack::N,sac,гали
435,Sack::N,mála,гали
436,Tasse::N,cupán,кад
437,Topf::N,pota,яй
438,Kessel::N,citeal,яй
439,Essen::N,béile,юург
440,Nahrung::N,bia,кхача
441,Speise::N,mias,юург
442,Fleisch::N,feoil,жижиг
443,Getreide::N,grán,буьртиг
444,Getreide::N,arbhar,буьртиг
445,Brei::N,brúitín,xудар
446,Brot::N,arán,бепиг
447,Brot::N,arán,кхаллар
448,Scheibe::N,píosa,цастар
449,Scheibe::N,slisne,цастар
450,Fett::N,saill,мохь
451,Fett::N,méathras,мохь
452,Butter::N,im,налха
453,Öl::N,ola,даьтта
454,Salz::N,salann,туьха
455,Suppe::N,sú,чорпа
456,Suppe::N,anraith,чорпа
457,Honig::N,mil,моз
458,Milch::N,bainne,шура
459,Tee::N,tae,чай
460,Leder::N,leathar,цӏока
461,Wolle::N,olann,тӏapгӏa
462,Stoff::N,éadach,кӏади
463,Nadel::N,snáthaid,маха
464,Faden::N,snáth,тай
465,Knopf::N,cnaipe,нуьйда
466,Knoten::N,snaidhm,шад
467,Farbe::N,péint,сир
468,Farbe::N,péint,басар
469,Kleidung::N,éadaí,бедар
470,Hemd::N,léine,коч
471,Kragen::N,bóna,кач
472,Ärmel::N,muinchille,пхьош
473,Hose::N,bríste,хеча
474,Hose::N,treabhsar,хеча
475,Gürtel::N,crios,доьхка
476,Mütze::N,caipín,куй
477,Schuh::N,bróg,мача
478,Stiefel::N,buatais,этка
479,Ring::N,fáinne,чӏуг
480,Band::N,ribín,лента
481,Kamm::N,cíor,ехк
482,Spiegel::N,scáthán,куьзга
483,Riemen::N,iall,доьхка
484,Riemen::N,strapa,доьхка
485,Schnur::N,téad,муш
486,Schnur::N,sreangán,муш
487,Leine::N,iall,кочатосу доьхка
488,Decke::N,pluid,юргӏа
489,Decke::N,blaincéad,юргӏа
490,Kissen::N,piliúr,гIайба
491,Kissen::N,adhartán,гIайба
492,Tuch::N,scaif,исхар
493,Handtuch::N,tuáille,гата
494,Kraft::N,fórsa,гӏора
495,Stärke::N,neart,гӏап
496,Gesundheit::N,sláinte,могашалла
497,Krankheit::N,tinneas,цамгар
498,Krankheit::N,breoiteacht,цамгар
499,Schmerz::N,pian,лазар
500,Wunde::N,goin,чов
501,Fieber::N,fiabhras,xорша
502,Arznei::N,cógas,молха
503,Brücke::N,droichead,тӏай
504,Brunnen::N,tobar,гӏу
505,Weide::N,féarach,дак
506,Pfad::N,cosán,тача
507,Pfad::N,conair,тача
508,Weg::N,slí,некъ
509,Weg::N,bealach,некъ
510,Straße::N,bóthar,урам
511,Dorf::N,sráidbhaile,юрт
512,Stadt::N,baile,гӏала
513,Stadt::N,cathair,гӏала
514,Brief::N,litir,кехат
515,Buch::N,cín,жайна
516,Buch::N,leabhar,жайна
517,Buchstabe::N,litir,элп
518,Zeitung::N,nuachtán,газет
519,Leben::N,saol,дахар
520,Leben::N,beatha,дахар
521,Tod::N,bás,далар
522,Tod::N,bás,ӏожалла
523,Grab::N,uaigh,каш
524,Kirche::N,eaglais,килс
525,Sünde::N,peaca,къа
526,Gott::N,dia,дела
527,Arbeiter::N,oibrí,белхало
528,Chef::N,saoiste,хьаькам
529,Chef::N,ceannasaí,хьаькам
530,Meister::N,máistir,говзанча
531,Arzt::N,lia,лор
532,Arzt::N,dochtúir,лор
533,Lehrer::N,oide,хьехархо
534,Lehrer::N,múinteoir,хьехархо
535,Geld::N,airgead,aхча
536,Geschäft::N,gnó,туька
537,Laden::N,siopa,туька
538,Preis::N,praghas,мах
539,Ware::N,earra,хlума
540,Nutzen::N,tairbhe,пайда
541,Reichtum::N,rachmas,хьал
542,Reichtum::N,saibhreas,хьал
543,Welt::N,domhan,дуьне
544,Land::N,tír,мохк
545,Staat::N,stát,пачхьалкх
546,König::N,rí,паччахь
547,Macht::N,cumhacht,ӏедал
548,Grenze::N,críoch,доза
549,Grenze::N,teorainn,доза
550,Krieg::N,cogadh,тӏом
551,Feind::N,namhaid,мостагӏ
552,Gewalt::N,foréigean,гӏело
553,Kampf::N,troid,къийсам
554,Bogen[Waffe]::N,bogha,
555,Pfeil::N,saighead,пха
556,Gewehr::N,gunna,топ
557,Fehler::N,botún,гӏалат
558,Fehler::N,meancóg,гӏалат
559,Lüge::N,bréag,аьшпаш
560,Lüge::N,éitheach,аьшпаш
561,Schaden::N,dochar,зен
562,Schaden::N,damáiste,зен
563,Unglück::N,drochrath,бала
564,Schuld::N,locht,бехк
565,Schuld::N,milleán,бехк
566,Alter::N,aois,хан
567,Schluss::N,deireadh,чакхе
568,Zeit::N,am,хан
569,Zeit::N,aimsir,хан
570,Tag::N,lá,де
571,Morgen::N,maidin,ӏуьйре
572,Mittag::N,nóin,делкъе
573,Abend::N,tráthnóna,суьйре
574,Nacht::N,oíche,буьйса
575,Woche::N,seachtain,кӏира
576,Monat::N,mí,бутт
577,Jahr::N,bliain,шо
578,Frühling::N,earrach,бӏаьсте
579,Sommer::N,samhradh,аьхке
580,Herbst::N,fómhar,гуьйре
581,Winter::N,geimhreadh,ӏа
582,Januar::N,Eanáir,январь
583,Februar::N,Feabhra,февраль
584,März::N,Márta,март
585,April::N,Aibreán,апрель
586,Mai::N,Bealtaine,май
587,Juni::N,Meitheamh,июнь
588,Juli::N,Iúil,июль
589,August::N,Lúnasa,август
590,September::N,Meán Fómhair,сентябрь
591,Oktober::N,Deireadh Fómhair,октябрь
592,November::N,Samhain,ноябрь
593,November::N,Mí na Samhna,ноябрь
594,Dezember::N,Mí na Nollag,декабрь
595,Montag::N,Luan,оршот
596,Montag::N,Dé Luain,оршот
597,Dienstag::N,Máirt,шинара
598,Dienstag::N,Dé Máirt,шинара
599,Mittwoch::N,Céadaoin,кхаара
600,Mittwoch::N,Dé Céadaoin,кхаара
601,Donnerstag::N,Déardaoin,еара
602,Freitag::N,Aoine,пӏераска
603,Freitag::N,Dé hAoine,пӏераска
604,Samstag::N,Satharn,шот
605,Samstag::N,Dé Sathairn,шот
606,Sonntag::N,Domhnach,кӏиранде
607,Sonntag::N,Dé Domhnaigh,кӏиранде
608,groß::A,mór,доккха
609,klein::A,beag,кегий
610,lang::A,fada,еха
611,kurz::A,gearr,доца
612,kurz::A,gairid,доца
613,breit::A,leathan,шуьйра
614,breit::A,fairsing,шуьйра
615,schmal::A,cúng,готта
616,dicht::A,dlúth,луьста
617,dick[Gegenstand]::A,tiubh,стомма
618,dünn::A,caol,дуткъа
619,dünn::A,tanaí,дуткъа
620,fein::A,scáinte,ховха
621,fein::A,fíneálta,ховха
622,fest::A,daingean,чӏогӏа
623,flach::A,cothrom,чӏапа
624,glatt::A,mín,шера
625,glatt::A,sleamhain,шера
626,hart::A,crua,чӏогӏa
627,weich::A,bog,кӏеда
628,rund::A,cruinn,горга
629,spitz::A,gobach,ира
630,spitz::A,biorach,ира
631,scharf::A,géar,ира
632,scharf::A,faobhrach,ира
633,stumpf::A,maol,аьртa
634,schwer::A,trom,деза
635,schön::A,álainn,хаза
636,heiß::A,te,довха
637,warm::A,te,довха
638,kalt::A,fuar,шийла
639,kühl::A,fionnuar,шийла
640,frisch::A,úr,керла
641,frisch::A,friseáilte,керла
642,feucht::A,tais,тӏуьна
643,nass::A,fliuch,тӏеда
644,trocken::A,tirim,eкъа
645,voll::A,lán,дуьзна
646,leer::A,folamh,яьсса
647,offen::A,oscailte,диллина
648,geschlossen::A,dúnta,дӏакъевлина
649,geschlossen::A,dúnta,дӏачӏагӏдина
650,geschlossen::A,druidte,дӏакъевлина
651,geschlossen::A,druidte,дӏачӏагӏдина
652,sauber::A,glan,цӏена
653,schmutzig::A,salach,боьха
654,roh::A,amh,буьйда
655,reif::A,aibí,хилла
656,lecker::A,blasta,чоме
657,süß::A,milis,мерза
658,bitter::A,searbh,къаьхьа
659,sauer::A,géar,муьста
660,sauer::A,searbh,муьста
661,hell::A,geal,сирла
662,hell::A,soilseach,сирла
663,dunkel::A,dorcha,бодане
664,schwarz::A,dubh,ӏаьржа
665,weiß::A,bán,кӏайн
666,rot::A,dearg,цӏен
667,gelb::A,buí,можа
668,blau::A,gorm,сийна
669,grün::A,glas,баьццара
670,grün::A,uaine,баьццара
671,grau::A,liath,cира
672,grau::A,liath,мокха
673,bunt::A,ildathach,къорза
674,bunt::A,dathannach,къорза
675,billig::A,saor,дораха
676,teuer::A,daor,деза
677,teuer::A,costasach,деза
678,wertvoll::A,luachmhar,мехала
679,blind::A,dall,бӏаьрзе
680,blind::A,caoch,бӏаьрзе
681,taub::A,bodhar,къора
682,kräftig::A,cumhachtach,нуьцкъала
683,stark::A,tréan,зоьртала
684,stark::A,tréan,нуьцкъала
685,stark::A,láidir,зоьртала
686,stark::A,láidir,нуьцкъала
687,schwach::A,lag,гӏорасиза
688,schwach::A,fann,гӏорасиза
689,fett::A,ramhar,дерстана
690,schlank::A,caol,куц долу
691,schlank::A,seang,куц долу
692,hübsch::A,álainn,хаза
693,hübsch::A,dathúil,хаза
694,böse::A,olc,вон
695,dumm::A,dúr,сонта
696,dumm::A,amaideach,сонта
697,faul::A,falsa,мало ен
698,faul::A,leisciúil,мало ен
699,fleißig::A,dícheallach,тӏера
700,geizig::A,barainneach,пис
701,geizig::A,barainneach,сутара
702,geizig::A,sprionlaithe,пис
703,geizig::A,sprionlaithe,сутара
704,klug::A,cliste,хьекъале
705,geschickt::A,oilte,тӏахъаьлла
706,geschickt::A,ealaíonta,тӏахъаьлла
707,lieb::A,dil,хьоме
708,lieb::A,dílis,хьоме
709,lustig::A,aerach,самукъане
710,lustig::A,meidhreach,самукъане
711,sanft::A,bog,кlеда
712,sanft::A,séimh,кlеда
713,hungrig::A,ocrach,меца
714,krank::A,tinn,цомгуш долу
715,krank::A,breoite,цомгуш долу
716,nackt::A,nocht,дерзана
717,traurig::A,brónach,самукъане воцу
718,lebendig::A,beo,дийна
719,gut::A,maith,дика
720,schlecht::A,dona,вон
721,schlecht::A,droch-,вон
722,richtig::A,ceart,нийса
723,schlimm::A,gránna,вон
724,schlimm::A,tubaisteach,вон
725,wahr::A,fíor,бакъдолу
726,alt::A,sean,къена
727,neu::A,úr,керла
728,neu::A,nua,керла
729,ehemalig::A,iar-,хилла
730,ehemalig::A,sean-,хилла
731,alt[Lebewesen]::A,sean,къена
732,alt[Lebewesen]::A,aosta,къена
733,jung::A,óg,къона
734,arm::A,bocht,къен
735,reich::A,saibhir,хьоле
736,reich::A,rachmasach,хьоле
737,bekannt::A,atá eolas air,девзаш долу
738,berühmt::A,cailiúil,цӏеяхана
739,berühmt::A,clúiteach,цӏеяхана
740,fremd::A,coimhthíoch,нехан
741,verschieden::A,éagsúil,тайп-тайпанара
742,verschieden::A,difriúil,тайп-тайпанара
743,nah::A,gar,гергара
744,nah::A,deas,гергара
745,fern::A,i bhfad uainn,гена
746,fern::A,i bhfad uainn,генара
747,fern::A,i bhfad i gcéin,гена
748,fern::A,i bhfad i gcéin,генара
749,linker::A,clé,аьрру
750,rechter::A,deas,аьтту
751,anderer::A,eile,кхин
752,erster::A,céad,хьалхара
753,zweiter::A,dóú,шолгIа
754,zweiter::A,dara,шолгIа
755,dritter::A,tríú,кхоалгӏа
756,dritter::A,treas,кхоалгӏа
757,letzter::A,déanach,тӏаьххьара
758,letzter::A,deireanach,тӏаьххьара
759,allein::ADV,i d'aonar,цхьаъ
760,auf einmal::ADV,ag an am céanna,цу сохьтта
761,zusammen::ADV,le chéile,цхьана
762,zusammen::ADV,in eineacht,цхьана
763,lange::ADV,fada,дукха
764,plötzlich::ADV,go tobann,цIеххьана
765,plötzlich::ADV,i dtobainne,цIеххьана
766,sofort::ADV,ar an toirt,цу сохьтта
767,sofort::ADV,ar an bpointe,цу сохьтта
768,später::ADV,níos déanaí,тӏаьхьо
769,jetzt::ADV,anois,хӏинца
770,heute::ADV,inniu,тахана
771,morgen::ADV,amárach,кхана
772,bald::ADV,go luath,кеста
773,bald::ADV,gan mhoill,кеста
774,dann::ADV,ansin,тӏаккха
775,gestern::ADV,inné,селхана
776,einst::ADV,tráth,цкъа
777,einst::ADV,uair amháin,цкъа
778,damals::ADV,ag an am,хӏетахьь
779,damals::ADV,an t-am sin,хӏетахьь
780,danach::ADV,ina dhiaidh sin,тӏаккха
781,vorher::ADV,cheana,хьалхa
782,vorher::ADV,roimhe sin,хьалхa
783,zuerst::ADV,ar dtús,хьалха
784,einmal::ADV,uair amháin,цкъа
785,manchmal::ADV,uaireanta,цкъаццкъа
786,oft::ADV,minic,кест-кеста
787,immer::ADV,i gcónaí,даим
788,niemals::ADV,riamh,цкъа а
789,hier::ADV,anseo,кхузахь
