,Concept_ID,vep,uk
84,Nebel::N,sumeg,туман
85,Wolke::N,pil'v,хмара
86,Regen::N,vihm,дощ
87,Schnee::N,lumi,сніг
88,Eis::N,jä,лід
89,Frost::N,hala,мороз
90,Frost::N,pakaine,мороз
91,Kälte::N,vilu,холод
92,Hitze::N,räk,жар
93,Raureif::N,hüde,іній
94,Regenbogen::N,jumalanbembel',райдуга
95,Donner::N,juru,грім
96,Donner::N,jumalanjuru,грім
97,Strömung::N,joksmuz,струмина
98,Tropfen::N,tilkuine,крапля
99,Schaum::N,vaht,піна
100,Schmutz::N,redu,бруд
101,Schmutz::N,pačak,бруд
102,See::N,järv,озеро
103,Sumpf::N,so,драговина
104,Moor::N,so,болото
105,Wiese::N,nit,луг
106,Wiese::N,nit,лука
107,Wald::N,mec,ліс
108,Hügel::N,kukaz,горб
109,Anhöhe::N,kukaz,височина
110,Berg::N,mägi,гора
111,Gipfel::N,ladv,вершина
112,Höhle::N,mägionduz,печера
113,Abhang::N,paute,схил
114,Quelle::N,lähte,джерело
115,Bach::N,oja,струмок
116,Fluss::N,jogi,річка
117,Ufer::N,rand,берег
118,Küste::N,randišt,узбережжя
119,Festland::N,kuivma,суша
120,Meer::N,meri,море
121,Bucht::N,laht,бухта
122,Bucht::N,laht,затока
123,Insel::N,sar',острів
124,Blume::N,änik,квітка
125,Gras::N,hein,трава
126,Wurzel::N,jur',корінь
127,Baum::N,pu,дерево
128,Stamm::N,tüvi,стовбур
129,Rinde::N,kor',кора
130,Ast::N,oks,гілка
131,Zweig::N,oks,галузь
132,Zweig::N,barb,галузь
133,Blatt::N,lehtez,лист
134,Birke::N,koiv,береза
135,Kiefer[Baum]::N,pedai,сосна
136,Weide[Baum]::N,raid,верба
137,Tanne::N,kuz',ялиця
138,Horn::N,sar'v,ріг
139,Feder::N,höuneh,перо
140,Fell::N,nahk,хутро
141,Flügel::N,suug,крило
142,Klaue::N,künz',кіготь
143,Kralle::N,künz',лапа
144,Schwanz::N,händ,хвіст
145,Ei::N,muna,яйце
146,Nest::N,peza,гніздо
147,Bau::N,uru,лігво
148,Tier::N,živat,тварина
149,Herde::N,kogo,стадо
150,Kuh::N,lehm,корова
151,Bulle::N,härg,бик
152,Bulle::N,härg,бугай
153,Pferd::N,hebo,кінь
154,Schaf::N,lambaz,вівця
155,Schwein::N,siga,свиня
156,Hund::N,koir,собака
157,Katze::N,kaži,кішка
158,Bär::N,kondi,ведмідь
159,Eichhörnchen::N,orav,білка
160,Elch::N,hirb',лось
161,Fuchs::N,reboi,лисиця
162,Hase::N,jäniš,заєць
163,Maus::N,hir',миша
164,Wolf::N,händikaz,вовк
165,Vogel::N,lind,птах
166,Schwarm::N,parveh,зграя
167,Huhn::N,kana,курка
168,Hahn::N,kukoi,півень
169,Gans::N,hanh',гуска
170,Adler::N,orl,орел
171,Ente::N,sorz,качка
172,Eule::N,hir'pulo,сова
173,Kranich::N,kurg,журавель
174,Krähe::N,variš,ворона
175,Kuckuck::N,kägi,зозуля
176,Schwan::N,joucen,лебідь
177,Fisch::N,kala,риба
178,Barsch::N,ahven,окунь
179,Hecht::N,haug',щука
180,Schlange[Tier]::N,kü,змія
181,Schlange[Tier]::N,mado,змія
182,Wurm::N,mado,черв’як
183,Spinne::N,hämähouk,павук
184,Ameise::N,murahaine,мурашка
185,Laus::N,täi,воша
186,Mücke::N,säs'k,комар
187,Fliege::N,kärbhaine,муха
188,Schmetterling::N,lipkaine,метелик
189,Beere::N,marj,ягода
190,Apfel::N,jablok,яблуко
191,Pilz::N,sen',гриб
192,Pilz::N,babuk,гриб
193,Zwiebel::N,lauk,цибуля
194,Saat::N,semned,сім’я
195,Korn::N,jüvä,зерно
196,Korn::N,vill',зерно
197,Heu::N,hein,сіно
198,Schale::N,kor',шкірка
199,Grube::N,kop,яма
200,Falle::N,rida,пастка
201,Schlinge::N,rihm,петля
202,Spur::N,jäl'g,слід
203,Asche::N,tuhk,зола
204,Asche::N,tuhk,попіл
205,Dreck::N,redu,бруд
206,Dreck::N,pačak,бруд
207,Eisen::N,raud,залізо
208,Gold::N,kuld,золото
209,Silber::N,hobed,срібло
210,Kohle::N,hil',вугілля
211,Glas::N,stökol,скло
212,Lehm::N,savi,глина
213,Sand::N,lete,пісок
214,Mensch::N,mez',людина
215,Mensch::N,ristit,людина
216,Mann::N,mez',чоловік
217,Frau::N,naine,жінка
218,Kind::N,laps',дитина
219,Junge::N,poig,хлопець
220,Junge::N,prihaine,хлопець
221,Mädchen::N,neičukaine,дівчина
222,Familie::N,kanz,сім’я
223,Familie::N,kanz,родина
224,Familie::N,pereh,сім’я
225,Familie::N,pereh,родина
226,Großvater::N,ded,дідусь
227,Großmutter::N,bab,бабуся
228,Eltern::N,vanhembad,батьки
229,Eltern::N,kazvatajad,батьки
230,Vater::N,tat,батько
231,Mutter::N,mam,мати
232,Sohn::N,poig,син
233,Tochter::N,tütär,дочка
234,Bruder::N,veik,брат
235,Bruder::N,vell',брат
236,Schwester::N,čiža,сестра
237,Schwester::N,sizar,сестра
238,Onkel::N,däd',дядько
239,Tante::N,tädi,тітка
240,Ehemann::N,mužik,чоловік
241,Ehefrau::N,ak,жінка
242,Ehefrau::N,ak,дружина
243,Freude::N,ilo,радощі
244,Freude::N,ihastuz,радощі
245,Gelächter::N,nagr,сміх
246,Glück::N,oza,щастя
247,Kummer::N,gor'a,горе
248,Wunsch::N,taht,бажання
249,Lust::N,himo,бажання
250,Geist::N,heng,дух
251,Gedanke::N,meletuz,думка
252,Gedächtnis::N,mušt,пам’ять
253,Verstand::N,mel',розум
254,Sinn::N,jüvä,зміст
255,Sinn::N,jüvä,значення
256,Grund::N,sü,причина
257,Wahrheit::N,tozi,правда
258,Gespräch::N,lodu,розмова
259,Gespräch::N,pagin,розмова
260,Märchen::N,sarn,байка
261,Erzählung::N,sanutez,повість
262,Erzählung::N,sanutez,оповідання
263,Nachricht::N,tedotuz,повідомлення
264,Neuigkeit::N,uzištuz,новина
265,Name::N,nimi,ім’я
266,Rätsel::N,ozoitez,загадка
267,Rede::N,pagin,промова
268,Rede::N,sanad,промова
269,Sprache::N,kel',мова
270,Stimme::N,än',голос
271,Wort::N,sana,слово
272,Zeichen::N,znam,знак
273,Ruf::N,kida,оклик
274,Ruf::N,kucund,оклик
275,Lärm::N,judu,шум
276,Laut::N,kulund,звук
277,Ton::N,kulund,тон
278,Lied::N,pajo,пісня
279,Ruhe::N,lebu,спокій
280,Leute::N,rahvaz,люди
281,Volk::N,rahvaz,народ
282,Arbeit::N,tö,робота
283,Arbeit::N,rad,робота
284,Gast::N,adiv,гість
285,Geschenk::N,lahj,подарунок
286,Spiel::N,vänd,гра
287,Gesellschaft::N,sebr,товариство
288,Hilfe::N,abu,допомога
289,Freund::N,sebranik,друг
290,Freund::N,sebranik,приятель
291,Kamerad::N,sebranik,товариш
292,Angelegenheit::N,azj,справа
293,Anzahl::N,lugu,число
294,Art::N,rod,рід
295,Art::N,rodsugu,рід
296,Stück::N,pala,кусок
297,Stück::N,supal,кусок
298,Teil::N,pala,частина
299,Hälfte::N,pol',половина
300,Kreis::N,ümbruz,круг
301,Kreis::N,ümbruz,коло
302,Kreis::N,kehkruz,круг
303,Kreis::N,kehkruz,коло
304,Kreuz::N,rist,хрест
305,Linie::N,pird,лінія
306,Strich::N,pird,штрих
307,Abstand::N,keskust,проміжок
308,Entfernung::N,matk,відстань
309,Gegend::N,taho,місцевість
310,Platz::N,avaruz',площа
311,Ort::N,koht,місце
312,Seite::N,pol',сторона
313,Seite::N,kül'g,сторона
314,Mitte::N,kesk,середина
315,Gegenstand::N,kalu,предмет
316,Sache::N,azj,річ
317,Rand::N,röun,край
318,Kante::N,röun,ребро
319,Ecke::N,saum,ріг
320,Spitze::N,agjaine,кінчик
321,Ende::N,agj,кінець
322,Loch::N,reig,діра
323,Winkel::N,čoga,куток
324,Winkel::N,saum,куток
325,Muster::N,kirjam,узор
326,Größe::N,suruz',розмір
327,Länge::N,piduz,довжина
328,Höhe::N,korktuz',висота
329,Gewicht::N,jügu,вага
330,Gewicht::N,vedäduz,вага
331,Menge::N,äjüz',кількість
332,Haufen::N,kogo,купа
333,Reihe::N,rivi,ряд
334,Boot::N,veneh,човен
335,Ruder::N,air,весло
336,Schlitten::N,regi,сани
337,Schlitten::N,regut,сани
338,Ski::N,suks',лижа
339,Lagerfeuer::N,nodj,вогнище
340,Lagerfeuer::N,pažag,вогнище
341,Last::N,jüguz,тягар
342,Last::N,jüguz,вантаж
343,Gang::N,astund,хід
344,Schritt::N,hašk,крок
345,Norden::N,pohjoine,північ
346,Süden::N,suvi,південь
347,Westen::N,päivlaskm,захід
348,Osten::N,päivnouzm,схід
349,Holz::N,pu,дрова
350,Brett::N,laud,дошка
351,Platte::N,keitim,плита
352,Stütze::N,tugi,підпірка
353,Stange::N,arz',жердина
354,Stock::N,kalu,палиця
355,Stab::N,seibaz,палиця
356,Rohr::N,torv,труба
357,Haus::N,pert',дім
358,Haus::N,pert',хата
359,Heim::N,kodi,житло
360,Ofen::N,päč,піч
361,Fußboden::N,lava,підлога
362,Tisch::N,laud,стіл
363,Tisch::N,stal'c,стіл
364,Stuhl::N,ištim,стілець
365,Wiege::N,kätte,колиска
366,Bett::N,sija,ліжко
367,Bett::N,sija,постіль
368,Bett::N,magaduzsija,ліжко
369,Bett::N,magaduzsija,постіль
370,Regal::N,palič,полиця
371,Kiste::N,mülütim,ящик
372,Fenster::N,ikun,вікно
373,Tür::N,uks',двері
374,Tor::N,verai,ворота
375,Zaun::N,aid,паркан
376,Zaun::N,aid,огорожа
377,Dach::N,katuz,дах
378,Leiter::N,pordhad,драбина
379,Besen::N,lud,мітла
380,Besen::N,vast,мітла
381,Spaten::N,labid,заступ
382,Schaufel::N,labid,совок
383,Schaufel::N,labid,лопата
384,Gabel::N,hangoine,виделка
385,Löffel::N,luzik,ложка
386,Messer::N,veič,ніж
387,Nagel::N,nagl,цвях
388,Netz::N,verk,сіть
389,Haken::N,kouk,крюк
390,Griff::N,kägä,ручка
391,Griff::N,kägä,держак
392,Griff::N,varz',ручка
393,Griff::N,varz',держак
394,Schloss::N,lukkol,замок
395,Bild::N,kuva,картина
396,Figur::N,figur,фігура
397,Puppe::N,tätüine,лялька
398,Beutel::N,havad,мішечок
399,Beutel::N,havad,торбинка
400,Bündel::N,toppaz,в’язка
401,Bündel::N,käč,в’язка
402,Tasche::N,sumk,сумка
403,Eimer::N,vädr,відро
404,Deckel::N,katuz,кришка
405,Geschirr::N,astii,посуд
406,Sack::N,havad,мішок
407,Tasse::N,čašk,чашка
408,Topf::N,pada,горщик
409,Kessel::N,katil,котел
410,Essen::N,sönd,їжа
411,Nahrung::N,söm,харч
412,Speise::N,sömine,страва
413,Fleisch::N,liha,м’ясо
414,Getreide::N,vill',хліб
415,Getreide::N,vill',збіжжя
416,Brei::N,pudr,каша
417,Brot::N,leib,хліб
418,Scheibe::N,bibaleh,скибочка
419,Scheibe::N,šlik,скибочка
420,Fett::N,razv,жир
421,Butter::N,voi,масло
422,Öl::N,voi,олія
423,Salz::N,sol,сіль
424,Suppe::N,lem',суп
425,Suppe::N,keitoz,суп
426,Honig::N,mezi,мед
427,Milch::N,maid,молоко
428,Tee::N,čai,чай
429,Leder::N,nahk,шкіра
430,Wolle::N,vill,шерсть
431,Stoff::N,kangaz,тканина
432,Nadel::N,negl,голка
433,Faden::N,nit',нитка
434,Knopf::N,nübl',ґудзик
435,Knoten::N,sol'm,вузол
436,Farbe::N,muju,фарба
437,Kleidung::N,sobad,одяг
438,Kleidung::N,sobad,убрання
439,Hemd::N,paid,сорочка
440,Kragen::N,kagluz,комір
441,Ärmel::N,hijam,рукав
442,Hose::N,štanad,брюки
443,Gürtel::N,vö,пояс
444,Mütze::N,šapuk,шапка
445,Schuh::N,keng',ботинок
446,Stiefel::N,sapug,чобіт
447,Ring::N,rengaz,кільце
448,Band::N,lentaine,стрічка
449,Kamm::N,suga,гребінець
450,Spiegel::N,zerkol,дзеркало
451,Riemen::N,vö,ремінь
452,Schnur::N,nor,вірьовка
453,Leine::N,talutimnor,шворка
454,Decke::N,sijakatuz,ковдра
455,Kissen::N,pöluz,подушка
456,Tuch::N,paik,хустка
457,Handtuch::N,käzipaik,рушник
458,Kraft::N,vägi,сила
459,Stärke::N,vahvuz',сила
460,Gesundheit::N,tervhuz,здоров’я
461,Krankheit::N,läžund,хвороба
462,Schmerz::N,kibu,біль
463,Wunde::N,čapatez,рана
464,Fieber::N,säru,гарячка
465,Arznei::N,zel'l',ліки
466,Brücke::N,sild,міст
467,Brunnen::N,kaiv,колодязь
468,Weide::N,omaluine,пасовище
469,Pfad::N,tehut,стежка
470,Weg::N,te,шлях
471,Weg::N,te,дорога
472,Straße::N,te,вулиця
473,Dorf::N,külä,село
474,Stadt::N,lidn,місто
475,Brief::N,kirjeine,лист
476,Buch::N,kirj,книга
477,Buch::N,kirj,книжка
478,Buchstabe::N,kirjam,буква
479,Buchstabe::N,kirjam,літера
480,Zeitung::N,lehtez,газета
481,Leben::N,elo,життя
482,Tod::N,surm,смерть
483,Grab::N,kaum,могила
484,Kirche::N,jumalanpert',церква
485,Sünde::N,grähk,гріх
486,Gott::N,jumal,бог
487,Arbeiter::N,radnik,робітник
488,Chef::N,pämez',хазяїн
489,Meister::N,mastar,умілець
490,Arzt::N,lekar',лікар
491,Lehrer::N,opendai,вчитель
492,Geld::N,rahad,гроші
493,Geschäft::N,biznes,заняття
494,Laden::N,lauk,магазин
495,Laden::N,lauk,крамниця
496,Preis::N,arv,ціна
497,Ware::N,tavar,товар
498,Nutzen::N,liža,вигода
499,Nutzen::N,liža,користь
500,Reichtum::N,kodielo,багатство
501,Reichtum::N,kal'huz',багатство
502,Welt::N,mail'm,світ
503,Land::N,ma,країна
504,Staat::N,valdkund,держава
505,König::N,kunigaz,король
506,Macht::N,vald,влада
507,Grenze::N,röun,кордон
508,Krieg::N,soda,війна
509,Feind::N,vihanik,ворог
510,Feind::N,vastustai,ворог
511,Gewalt::N,vägivald,насильство
512,Kampf::N,tora,бій
513,Kampf::N,tora,боротьба
514,Bogen[Waffe]::N,taug,лук
515,Pfeil::N,nol,стріла
516,Gewehr::N,oružj,рушниця
517,Gewehr::N,oružj,гвинтівка
518,Fehler::N,viga,помилка
519,Lüge::N,kelastuz,брехня
520,Schaden::N,pahuz',шкода
521,Schaden::N,pahuz',збиток
522,Unglück::N,bed,нещастя
523,Unglück::N,gor'a,нещастя
524,Schuld::N,värhuz',провина
525,Alter::N,igä,вік
526,Alter::N,igä,літа
527,Schluss::N,lop,кінець
528,Zeit::N,aig,час
529,Tag::N,päiv,день
530,Morgen::N,homendez,ранок
531,Mittag::N,keskpäiv,південь
532,Abend::N,eht,вечір
533,Nacht::N,ö,ніч
534,Woche::N,nedal',тиждень
535,Monat::N,ku,місяць
536,Jahr::N,voz',рік
537,Frühling::N,keväz',весна
538,Sommer::N,keza,літо
539,Herbst::N,sügüz',осінь
540,Winter::N,tal'v,зима
541,Januar::N,viluku,січень
542,Februar::N,uhoku,лютий
543,März::N,keväz'ku,березень
544,April::N,sulaku,квітень
545,Mai::N,semendku,травень
546,Juni::N,kezaku,червень
547,Juli::N,heinku,липень
548,August::N,eloku,серпень
549,September::N,sügüz'ku,вересень
550,Oktober::N,reduku,жовтень
551,November::N,kül'mku,листопад
552,Dezember::N,tal'vku,грудень
553,Montag::N,ezmärg,понеділок
554,Dienstag::N,tožnarg,вівторок
555,Mittwoch::N,koumanz'päiv,середа
556,Donnerstag::N,nellänz'päiv,четвер
557,Freitag::N,pätnič,п’ятниця
558,Freitag::N,videnz'päiv,п’ятниця
559,Samstag::N,sobat,субота
560,Sonntag::N,pühäpäiv,неділя
561,groß::A,sur',великий
562,groß::A,järed,великий
563,klein::A,pen',малий
564,klein::A,pen',маленький
565,klein::A,pičuine,малий
566,klein::A,pičuine,маленький
567,lang::A,pit'k,довгий
568,kurz::A,lühüd,короткий
569,breit::A,leved,широкий
570,schmal::A,kaid,вузький
571,dicht::A,tihed,густий
572,dick[Gegenstand]::A,paks,товстий
573,dünn::A,hoik,тонкий
574,fein::A,hen,дрібний
575,fest::A,luja,міцний
576,fest::A,ninev,міцний
577,flach::A,lapak,плоский
578,glatt::A,siled,рівний
579,glatt::A,siled,гладенький
580,hart::A,kova,твердий
581,weich::A,pehmed,м’який
582,rund::A,kehker,круглий
583,spitz::A,nügu,гострокінцевий
584,spitz::A,terav,гострокінцевий
585,scharf::A,terav,гострий
586,stumpf::A,tül'c,тупий
587,schwer::A,jüged,важкий
588,schön::A,čoma,вродливий
589,heiß::A,räk,жаркий
590,heiß::A,räk,гарячий
591,warm::A,läm',теплий
592,kalt::A,vilu,холодний
593,kühl::A,raibak,прохолодний
594,kühl::A,viluhk,прохолодний
595,frisch::A,lahed,свіжий
596,feucht::A,neps,вогкий
597,feucht::A,toreh,вогкий
598,nass::A,märg,мокрий
599,trocken::A,kuiv,сухий
600,voll::A,täuz',повний
601,leer::A,joudai,пустий
602,offen::A,avoin,відкритий
603,offen::A,avol'jaine,відкритий
604,geschlossen::A,saubaline,закритий
605,geschlossen::A,saubaline,зачинений
606,sauber::A,puhtaz,чистий
607,sauber::A,puhtaz,охайний
608,schmutzig::A,redukaz,брудний
609,roh::A,rohk,сирий
610,roh::A,toreh,сирий
611,reif::A,küps,зрілий
612,lecker::A,magukaz,смачний
613,süß::A,maged,солодкий
614,bitter::A,karged,гіркий
615,sauer::A,muiged,кислий
616,hell::A,kirkas,світлий
617,hell::A,valgei,світлий
618,dunkel::A,pimed,темний
619,schwarz::A,must,чорний
620,weiß::A,vauged,сивий
621,rot::A,rusked,червоний
622,gelb::A,pakuine,жовтий
623,blau::A,sinine,синій
624,grün::A,vihand,зелений
625,grau::A,hahk,сірий
626,bunt::A,kirjav,барвистий
627,billig::A,odav,дешевий
628,teuer::A,kalliž,дорогий
629,wertvoll::A,arvokas,цінний
630,blind::A,soged,сліпий
631,taub::A,kurdiž,глухий
632,kräftig::A,vägev,могутній
633,stark::A,vahv,сильний
634,stark::A,vägekaz,сильний
635,schwach::A,väll',слабкий
636,fett::A,razvakaz,жирний
637,fett::A,razvakaz,товстий
638,schlank::A,kapos,тонкий
639,schlank::A,kapos,стрункий
640,hübsch::A,čoma,чарівний
641,böse::A,äred,злий
642,böse::A,äred,лихий
643,böse::A,käred,злий
644,böse::A,käred,лихий
645,dumm::A,el'getoi,дурний
646,faul::A,lašk,ледачий
647,fleißig::A,radonnavedii,старанний
648,geizig::A,ažlak,скупий
649,klug::A,melev,мудрий
650,klug::A,melev,розумний
651,klug::A,melekaz,мудрий
652,klug::A,melekaz,розумний
653,geschickt::A,mahtokaz,умілий
654,lieb::A,izo,милий
655,lieb::A,sula,милий
656,lustig::A,ilokaz,веселий
657,sanft::A,laskav,лагідний
658,hungrig::A,näl'ghine,голодний
659,krank::A,läžui,слабий
660,nackt::A,alastoi,голий
661,traurig::A,opalahine,сумний
662,lebendig::A,eläb,живий
663,gut::A,hüvä,добрий
664,schlecht::A,huba,поганий
665,schlecht::A,huba,кепський
666,richtig::A,oiged,правильний
667,schlimm::A,paha,бридкий
668,wahr::A,todesine,справжній
669,alt::A,vanh,старий
670,neu::A,uz',новий
671,ehemalig::A,edeline,колишній
672,alt[Lebewesen]::A,ravaz,старий
673,jung::A,nor',молодий
674,arm::A,gol'l',бідний
675,reich::A,elokaz,багатий
676,bekannt::A,tutab,знайомий
677,berühmt::A,tetab,славетний
678,fremd::A,veraz,чужий
679,verschieden::A,erazvuitte,різний
680,nah::A,läheline,близький
681,fern::A,edahaine,далекий
682,linker::A,hura,лівий
683,rechter::A,oiged,правий
684,anderer::A,toine,інакший
685,erster::A,ezmäine,перший
686,zweiter::A,toine,другий
687,dritter::A,koumanz',третій
688,letzter::A,jäl'gmäine,останній
689,allein::ADV,üksnäze,сам
690,allein::ADV,üksnäze,один
691,auf einmal::ADV,ühten aigan,відразу
692,zusammen::ADV,ühtes,разом
693,zusammen::ADV,ühtes,спільно
694,lange::ADV,hätken,довго
695,plötzlich::ADV,äkkid,раптом
696,sofort::ADV,kerdalaz,зараз
697,später::ADV,möhemba,пізніше
698,jetzt::ADV,nügüd',тепер
699,heute::ADV,tämbei,сьогодні
700,morgen::ADV,homen,завтра
701,bald::ADV,pigai,незабаром
702,dann::ADV,sid',потім
703,gestern::ADV,eglai,вчора
704,einst::ADV,ende,колись
705,einst::ADV,kerdan,колись
706,damals::ADV,siloi,тоді
707,danach::ADV,sid',згодом
708,vorher::ADV,ende,раніше
709,zuerst::ADV,ezmäi,спершу
710,zuerst::ADV,ezmäi,спочатку
711,einmal::ADV,kerdan,один раз
712,manchmal::ADV,erašti,іноді
713,manchmal::ADV,erašti,інколи
714,oft::ADV,paksus,часто
715,immer::ADV,kaiken,завжди
716,niemals::ADV,ei nikonz,ніколи
717,hier::ADV,täs,тут
718,hier::ADV,tägä,тут
719,hierhin::ADV,tänna,сюди
720,von hier::ADV,täspäi,звідси
721,von hier::ADV,sid'päi,звідси
722,dort::ADV,sigä,там
723,dorthin::ADV,sinna,туди
724,dorthin::ADV,nakkale,туди
725,geradeaus::ADV,kohtha,прямо
726,vorwärts::ADV,edehe,вперед
727,rückwärts::ADV,sel'gin,назад
728,zurück::ADV,tagaze,назад
729,unten::ADV,alahan,внизу
730,hinab::ADV,alaz,вниз
731,hinab::ADV,alahaks,вниз
732,oben::ADV,ülähän,вгорі
733,hinauf::ADV,ülez,вгору
734,hinauf::ADV,ülähäks,вгору
735,überall::ADV,kaikjal,скрізь
736,nicht::ADV,ei,не
737,ein wenig::ADV,vähän,трохи
738,ein wenig::ADV,vähän,небагато
739,kaum::ADV,habi,ледве
740,sehr::ADV,lujas,дуже
741,so::ADV,muga,так
742,so::ADV,ninga,так
743,noch::ADV,völ,ще
744,nur::ADV,järg,лише
745,nur::ADV,järg,тільки
746,nur::ADV,vaiše,лише
747,nur::ADV,vaiše,тільки
748,schon::ADV,jo,вже
749,wieder::ADV,möst,знову
750,vergebens::ADV,uhtei,дарма
751,vor::PRP,edes,перед
752,hinter::PRP,taga,ззаду
753,hinter::PRP,taga,позаду
754,unter::PRP,al,під
755,durch::PRP,läbi,крізь
756,durch::PRP,kal't,крізь
757,neben::PRP,rindal,біля
758,zwischen::PRP,keskes,між
759,wegen::PRP,tagut,з-за
760,wegen::PRP,tagut,через
761,dies::PRN,nece,це
762,das::PRN,se,то
763,alles::PRN,kaik,все
764,ich::PRN,minä,я
765,du::PRN,sinä,ти
766,er::PRN,hän,він
767,wir::PRN,mö,ми
768,ihr::PRN,tö,ви
769,sie::PRN,hö,вони
770,was::FPRN,mi,що
771,wer::FPRN,ken,хто
772,wo::FADV,kus,де
773,wohin::FADV,kuna,куди
774,wie::FADV,kut,як
775,wie::FADV,mit',як
776,warum::FADV,mikš,чому
777,wieviel::FNUM,äjak,скільки
778,wieviel::FNUM,kuverz',скільки
779,eins::NUM,üks',один
780,zwei::NUM,kaks',два
781,drei::NUM,koume,три
782,vier::NUM,nel'l',чотири
783,fünf::NUM,viž,п’ять
784,sechs::NUM,kuz',шість
785,sieben::NUM,seičeme,сім
786,acht::NUM,kahesa,вісім
787,neun::NUM,ühesa,дев’ять
788,zehn::NUM,kümne,десять
789,elf::NUM,üks'toštkümne,одинадцять
790,zwölf::NUM,kaks'toštkümne,дванадцять
791,zwanzig::NUM,kaks'kümne,двадцять
792,dreißig::NUM,koumekümne,тридцять
793,vierzig::NUM,nel'l'kümne,сорок
794,fünfzig::NUM,vižkümne,п’ятдесят
795,sechzig::NUM,kuz'kümne,шістдесят
796,siebzig::NUM,seičemekümne,сімдесят
797,achtzig::NUM,kahesakümne,вісімдесят
798,neunzig::NUM,ühesakümne,дев’яносто
799,hundert::NUM,sada,сто
800,tausend::NUM,tuha,тисяча
801,und::CNJ,i,і
802,und::CNJ,da,і
803,oder::CNJ,vai,або
804,stehen::V,seišta,стояти
805,sitzen::V,ištta,сидіти
806,liegen::V,venuda,лежати
807,hängen::V,ripta,висіти
808,werden::V,lindä,стати
809,werden::V,lindä,робитися
810,werden::V,tehtas,стати
811,werden::V,tehtas,робитися
812,passieren::V,ozaitas,трапитися
813,beginnen::V,augotadas,початися
814,enden::V,loptas,кінчитися
815,wechseln::V,vajehtadas,мінятися
816,aufgehen[Sonne]::V,nousta,зійти
817,untergehen[Sonne]::V,lasktas,зайти
818,scheinen[Sonne]::V,paštta,світити
819,donnern::V,juraita,гриміти
820,wehen::V,dölta,віяти
821,wehen::V,puhuda,віяти
822,strömen::V,valadas,литися
823,fließen::V,valuda,текти
824,sich drehen::V,punotas,обертатися
825,schwanken::V,čibuda,коливатися
826,schwingen::V,čibuda,хитатися
827,schwingen::V,čibuda,гойдатися
828,fallen::V,langeta,падати
829,brennen::V,pallada,горіти
830,rauchen::V,savustada,диміти
831,regnen::V,vihmda,дощити
832,gefrieren::V,jäduda,змерзнути
